,WT-qscR-1 raw counts,WT-qscR-2 raw counts,qscR-1 raw counts,qscR-2 raw counts
PA2117,10,8,9,2
PA2118,7,10,0,2
PA2119,43,47,30,14
PA2120,4,2,0,1
PA2121,12,20,6,2
PA2122,13,5,2,1
PA2123,5,8,2,2
PA2124,7,12,7,3
PA2125,6,9,3,1
PA2126,6,3,3,2
PA2126.1,6,3,1,0
PA2127,29,37,12,8
PA2128,3,1,2,0
PA2129,5,3,0,1
PA2130,14,20,4,4
PA2131,11,4,1,2
PA2132,0,1,0,1
PA2133,6,4,0,2
PA2134,14,6,9,8
PA2135,8,11,2,0
PA2136,10,4,0,1
PA2137,3,0,0,0
PA2138,15,21,5,3
PA2139,0,0,0,0
PA2140,0,1,0,0
PA2141,7,4,1,0
PA2142,12,23,3,3
PA2143,9,4,0,2
PA2144,51,49,13,16
PA2145,2,4,0,0
PA2146,12,9,9,2
PA2147,14,20,8,7
PA2148,5,5,3,1
PA2149,0,0,0,0
PA2150,13,7,2,4
PA2151,26,20,10,5
PA2152,48,57,23,9
PA2153,31,24,8,5
PA2154,7,5,3,0
PA2155,12,12,5,2
PA2156,1,3,2,2
PA2157,3,4,7,3
PA2158,16,14,6,6
PA2159,7,15,7,5
PA2160,28,34,13,12
PA2161,0,1,2,0
PA2162,38,26,8,10
PA2163,19,29,10,6
PA2164,46,36,13,8
PA2165,30,26,7,14
PA2166,4,12,3,3
PA2167,29,18,11,4
PA2168,6,7,1,4
PA2169,3,7,4,5
PA2170,1,1,0,0
PA2171,33,13,19,13
PA2172,27,37,11,6
PA2173,6,8,4,2
PA2174,8,2,0,2
PA2175,4,4,0,0
PA2176,10,6,4,6
PA2177,30,34,15,16
PA2178,9,6,2,1
PA2179,6,5,4,1
PA2180,11,12,2,2
PA2181,13,7,2,0
PA2182,3,2,2,0
PA2183,1,0,0,0
PA2184,3,9,5,6
PA2185,6,1,2,0
PA2186,0,1,0,0
PA2187,7,4,0,0
PA2188,4,3,5,1
PA2189,1,2,0,1
PA2190,37,37,13,14
PA2191,6,11,2,0
PA2192,2,2,1,1
PA2193,3,4,4,0
PA2194,30,26,11,10
PA2195,25,26,14,16
PA2196,13,16,15,7
PA2197,58,37,25,17
PA2198,4,4,7,4
PA2199,19,26,21,8
PA2200,28,11,3,3
PA2201,5,3,1,1
PA2202,3,5,0,0
PA2203,2,5,0,2
PA2204,3,6,2,0
PA2205,5,2,1,0
PA2206,26,21,2,5
PA2207,6,7,2,1
PA2208,1,2,0,0
PA2209,4,7,2,4
PA2210,13,6,1,4
PA2211,5,3,1,0
PA2212,9,0,1,0
PA2213,4,7,1,4
PA2214,8,10,2,2
PA2215,8,9,1,1
PA2216,8,11,0,3
PA2217,10,15,0,2
PA2218,3,7,3,2
PA2219,3,10,1,0
PA2220,9,21,2,0
PA2221,20,8,3,5
PA2222,9,7,0,1
PA2223,5,14,5,1
PA2224,3,4,1,0
PA2225,2,1,0,0
PA2226,20,11,3,2
PA2227,10,26,2,2
PA2228,24,14,3,3
PA2229,20,12,4,3
PA2230,3,3,3,1
PA2231,60,37,22,25
PA2232,101,102,65,28
PA2233,39,41,12,11
PA2234,21,29,14,13
PA2235,48,48,43,26
PA2236,19,21,6,10
PA2237,18,20,11,7
PA2238,13,32,14,12
PA2239,11,11,8,8
PA2240,19,16,8,9
PA2241,8,11,5,0
PA2242,11,4,8,7
PA2243,14,16,6,6
PA2244,43,33,12,5
PA2245,28,25,3,4
PA2246,36,17,7,12
PA2247,303,248,50,39
PA2248,235,256,39,32
PA2249,322,283,45,26
PA2250,261,298,46,18
PA2251,12,15,3,2
PA2252,21,17,4,1
PA2253,7,10,3,5
PA2254,7,4,1,1
PA2255,3,4,0,2
PA2256,14,15,2,0
PA2257,4,5,0,0
PA2258,3,6,0,0
PA2259,12,18,7,3
PA2260,3,7,1,0
PA2261,10,11,2,0
PA2262,12,5,6,3
PA2263,8,7,3,0
PA2264,13,16,5,3
PA2265,33,26,19,11
PA2266,28,13,7,3
PA2267,11,11,5,2
PA2268,16,11,0,2
PA2269,7,17,4,5
PA2270,3,8,2,1
PA2271,4,5,2,0
PA2272,26,25,16,2
PA2273,17,5,3,4
PA2274,7,16,6,2
PA2275,14,19,7,5
PA2276,11,9,2,2
PA2277,4,1,1,0
PA2278,12,10,2,5
PA2279,2,0,0,0
PA2280,1,3,1,1
PA2281,13,7,2,0
PA2282,9,9,4,0
PA2283,14,22,16,12
PA2284,4,12,11,2
PA2285,10,12,4,6
PA2286,37,57,29,16
PA2287,27,30,16,5
PA2288,20,11,8,7
PA2289,12,16,11,7
PA2290,54,62,37,27
PA2291,14,10,5,1
PA2292,0,0,0,0
PA2293,6,7,1,1
PA2294,5,2,2,0
PA2295,3,3,1,0
PA2296,5,5,3,2
PA2297,0,0,0,0
PA2298,29,38,13,5
PA2299,19,9,6,1
PA2300,30,38,24,26
PA2301,1,6,2,1
PA2302,123,100,44,26
PA2303,8,11,3,2
PA2304,12,13,6,9
PA2305,48,58,27,21
PA2306,11,3,1,3
PA2307,2,7,0,0
PA2308,3,5,0,0
PA2309,6,5,0,1
PA2310,4,9,2,0
PA2311,0,0,0,0
PA2312,3,2,1,1
PA2313,16,7,2,6
PA2314,17,6,2,1
PA2315,11,9,3,3
PA2316,18,6,0,2
PA2317,8,11,10,4
PA2318,12,5,3,3
PA2319,0,0,0,0
PA2320,17,18,3,5
PA2321,4,6,2,0
PA2322,18,15,9,2
PA2323,12,6,5,5
PA2324,11,7,0,1
PA2325,11,9,6,2
PA2326,15,7,7,1
PA2327,14,9,8,3
PA2328,16,15,7,3
PA2329,7,7,7,5
PA2330,14,8,11,9
PA2331,7,12,10,12
PA2332,6,12,9,4
PA2333,11,14,4,1
PA2334,11,3,0,2
PA2335,16,18,2,2
PA2336,11,11,1,0
PA2337,3,10,4,4
PA2338,9,10,0,2
PA2339,1,5,1,0
PA2340,2,2,2,0
PA2341,6,12,2,3
PA2342,9,18,2,2
PA2343,6,11,0,1
PA2344,10,7,3,3
PA2345,20,18,10,5
PA2346,8,4,0,0
PA2347,7,10,4,3
PA2348,5,9,0,1
PA2349,6,7,1,1
PA2350,9,6,1,0
PA2351,3,8,1,2
PA2352,2,7,1,0
PA2353,7,12,4,1
PA2354,3,6,0,0
PA2355,10,12,0,0
PA2356,12,3,6,1
PA2357,1,1,0,0
PA2358,1,1,1,1
PA2359,13,5,2,0
PA2360,19,16,8,7
PA2361,52,37,15,17
PA2362,10,10,5,2
PA2363,38,42,21,16
PA2364,19,16,5,3
PA2365,7,1,11,3
PA2366,30,26,30,33
PA2367,1,0,8,5
PA2368,0,2,0,1
PA2369,16,14,17,8
PA2370,12,20,8,2
PA2371,27,34,18,10
PA2372,11,12,8,0
PA2373,20,30,11,8
PA2374,8,1,4,0
PA2375,6,4,9,6
PA2376,1,2,1,1
PA2377,7,5,0,2
PA2378,36,35,19,11
PA2379,5,4,3,2
PA2380,0,0,1,1
PA2381,43,46,55,20
PA2382,14,12,5,7
PA2383,8,6,1,1
PA2384,3,0,0,0
PA2385,9,11,2,1
PA2386,3,10,5,5
PA2387,3,8,4,0
PA2388,52,47,18,4
PA2389,6,7,1,1
PA2390,9,18,1,4
PA2391,13,4,1,5
PA2392,13,8,1,0
PA2393,17,10,0,2
PA2394,6,7,2,0
PA2395,5,6,2,2
PA2396,11,11,0,0
PA2397,30,20,8,8
PA2398,29,24,6,5
PA2399,80,81,23,13
PA2400,86,75,9,12
PA2402,175,149,52,32
PA2403,7,6,0,2
PA2404,2,6,2,0
PA2405,0,5,0,0
PA2406,4,4,2,1
PA2407,10,3,0,1
PA2408,2,4,0,0
PA2409,8,7,0,0
PA2410,6,9,1,0
PA2411,4,2,1,0
PA2412,1,0,0,0
PA2413,12,14,2,3
PA2414,20,22,10,7
PA2415,5,3,1,1
PA2416,16,13,2,2
PA2417,15,15,7,5
PA2418,7,5,1,1
PA2419,1,3,2,1
PA2420,7,10,3,6
PA2421,7,4,0,1
PA2422,0,4,1,0
PA2423,31,44,22,15
PA2424,102,87,29,7
PA2425,7,2,0,1
PA2426,8,1,0,0
PA2427,2,0,0,0
PA2428,4,4,0,2
PA2429,2,0,0,0
PA2430,7,5,5,1
PA2431,16,29,7,2
PA2432,11,5,0,0
PA2433,2,7,12,5
PA2434,13,14,3,7
PA2435,82,74,25,16
PA2436,27,26,1,2
PA2437,4,5,2,1
PA2438,3,16,2,2
PA2439,16,10,2,4
PA2440,3,5,3,0
PA2441,4,1,4,2
PA2442,19,15,20,6
PA2443,84,72,19,16
PA2444,24,16,5,6
PA2445,116,128,131,84
PA2446,7,14,7,5
PA2447,6,3,1,2
PA2448,15,22,7,8
PA2449,13,11,6,5
PA2450,3,10,2,1
PA2451,5,7,0,0
PA2452,9,3,1,1
PA2453,1,0,3,3
PA2454,13,12,2,2
PA2455,5,5,2,0
PA2456,6,15,2,1
PA2457,12,10,2,2
PA2458,25,27,20,11
PA2459,9,11,4,2
PA2460,1,4,0,0
PA2461,36,25,8,3
PA2462,164,173,33,25
PA2463,9,13,1,0
PA2464,6,6,1,0
PA2465,8,3,2,0
PA2466,27,17,8,5
PA2467,2,7,0,2
PA2468,1,1,1,0
PA2469,11,12,7,6
PA2470,8,9,5,1
PA2471,7,1,0,0
PA2472,7,6,1,3
PA2473,1,0,3,3
PA2474,6,6,1,0
PA2475,21,12,12,3
PA2476,12,14,6,3
PA2477,6,4,1,3
PA2478,6,16,9,10
PA2479,2,4,0,2
PA2480,20,10,8,5
PA2481,16,15,16,6
PA2482,14,11,4,4
PA2483,159,131,33,18
PA2484,36,23,5,8
PA2485,8,15,2,1
PA2486,0,0,1,0
PA2487,0,1,1,0
PA2488,6,7,2,2
PA2489,9,1,1,2
PA2490,1,4,0,1
PA2491,30,29,11,3
PA2492,22,24,13,7
PA2493,8,9,2,0
PA2494,23,32,6,1
PA2495,12,13,1,1
PA2496,4,3,2,0
PA2497,13,16,4,3
PA2498,7,4,0,0
PA2499,2,4,2,1
PA2500,36,33,5,6
PA2501,12,14,3,4
PA2502,13,9,2,2
PA2503,61,66,43,21
PA2504,73,97,68,41
PA2505,8,10,3,2
PA2506,0,0,1,0
PA2507,5,3,4,0
PA2508,0,3,0,0
PA2509,5,9,5,0
PA2510,9,5,3,1
PA2511,31,37,7,11
PA2512,113,109,51,30
PA2513,25,23,15,4
PA2514,33,36,30,11
PA2515,11,15,6,4
PA2516,14,12,4,2
PA2517,6,1,1,2
PA2518,7,13,3,0
PA2519,6,9,1,0
PA2520,27,45,10,11
PA2521,13,9,3,0
PA2522,3,9,0,2
PA2523,11,6,2,2
PA2524,9,15,6,4
PA2525,14,8,1,5
PA2526,20,37,7,3
PA2527,47,48,11,3
PA2528,12,13,5,5
PA2529,17,15,11,0
PA2530,12,11,5,1
PA2531,8,6,4,0
PA2532,4,7,9,7
PA2533,15,20,10,3
PA2534,12,9,6,2
PA2535,6,4,3,1
PA2536,9,10,2,1
PA2537,3,4,2,2
PA2538,2,6,0,1
PA2539,12,17,5,1
PA2540,27,25,6,2
PA2541,11,10,1,1
PA2542,39,32,3,6
PA2543,11,12,5,3
PA2544,6,8,7,2
PA2545,5,4,4,2
PA2546,3,8,1,1
PA2547,4,10,1,6
PA2548,10,10,0,1
PA2549,8,8,3,4
PA2550,9,15,1,1
PA2551,9,15,9,7
PA2552,64,63,35,10
PA2553,122,156,52,27
PA2554,30,25,7,0
PA2555,96,106,25,27
PA2556,8,9,1,2
PA2557,17,29,2,1
PA2558,8,7,3,1
PA2559,19,17,9,6
PA2559.1,0,2,1,0
PA2560,2,2,0,0
PA2561,24,24,4,11
PA2562,242,245,56,51
PA2563,44,34,30,17
PA2564,89,83,60,35
PA2565,17,11,17,9
PA2566,126,155,118,96
PA2566.1,0,0,0,0
PA2567,92,118,18,9
PA2568,15,10,2,2
PA2569,0,5,0,0
PA2570,31,25,29,9
PA2571,46,44,39,14
PA2572,117,123,72,36
PA2573,242,249,99,53
PA2574,16,24,9,8
PA2575,8,2,12,8
PA2576,10,16,3,0
PA2577,12,7,6,2
PA2578,10,0,1,1
PA2579,17,14,17,6
PA2580,9,7,2,2
PA2581,14,11,8,2
PA2582,51,36,14,11
PA2583,45,59,19,13
PA2584,4,6,0,1
PA2585,40,46,6,7
PA2586,84,93,43,28
PA2587,31,39,24,8
PA2588,51,46,23,8
PA2589,20,12,3,1
PA2590,17,17,1,7
PA2591,48,54,26,13
PA2592,15,27,22,12
PA2593,1,4,1,0
PA2594,5,3,4,1
PA2595,4,1,4,0
PA2596,5,8,0,0
PA2597,14,15,3,2
PA2598,1,1,0,2
PA2599,5,7,2,2
PA2600,9,4,2,0
PA2601,13,11,2,2
PA2602,4,5,0,0
PA2603,19,13,9,2
PA2604,68,74,49,39
PA2605,17,17,7,5
PA2606,2,11,3,2
PA2607,3,2,4,1
PA2608,1,3,0,1
PA2609,12,14,11,9
PA2610,7,13,4,3
PA2611,27,18,18,4
PA2612,12,20,11,12
PA2613,23,17,10,6
PA2614,6,12,2,6
PA2615,60,70,27,23
PA2616,60,36,28,16
PA2617,8,4,4,0
PA2618,147,202,24,21
PA2619,4,6,3,3
PA2620,1328,1416,294,173
PA2621,45,60,8,12
PA2622,33,39,33,18
PA2623,278,359,223,174
PA2624,71,71,76,45
PA2625,2,8,4,0
PA2626,29,24,9,13
PA2627,9,8,6,6
PA2628,13,9,4,2
PA2629,28,38,24,11
PA2630,16,28,7,6
PA2631,68,53,16,3
PA2632,19,13,9,0
PA2633,48,44,19,14
PA2634,263,293,110,72
PA2635,29,41,7,9
PA2636,1,0,1,0
PA2637,15,21,13,10
PA2638,75,93,66,37
PA2639,120,98,94,95
PA2640,20,22,41,15
PA2641,77,91,80,52
PA2642,222,267,232,155
PA2643,41,41,38,18
PA2644,21,20,23,8
PA2645,5,4,6,3
PA2646,2,3,5,2
PA2647,64,72,52,33
PA2648,30,31,43,31
PA2649,31,32,15,20
PA2650,7,1,5,4
PA2651,12,10,10,3
PA2652,28,41,24,14
PA2653,7,10,3,0
PA2654,77,77,38,23
PA2655,1,1,0,1
PA2656,18,16,5,5
PA2657,26,27,16,10
PA2658,13,9,12,5
PA2659,11,19,18,9
PA2660,11,13,4,5
PA2661,4,11,4,0
PA2662,17,26,10,3
PA2663,3,6,1,3
PA2664,20,9,10,8
PA2665,67,70,13,5
PA2666,2,2,0,0
PA2667,2,4,1,4
PA2668,0,0,1,0
PA2669,4,1,2,0
PA2670,3,6,1,2
PA2671,10,6,4,1
PA2672,5,1,0,1
PA2673,6,4,0,0
PA2674,2,1,0,0
PA2675,1,3,0,0
PA2676,6,5,2,2
PA2677,14,14,1,3
PA2678,7,8,2,1
PA2679,63,60,38,21
PA2680,11,5,2,0
PA2681,6,4,1,1
PA2682,16,16,9,2
PA2683,9,8,5,1
PA2683.1,0,1,0,1
PA2684,50,42,7,7
PA2685,18,31,14,4
PA2686,3,5,2,1
PA2687,15,14,7,1
PA2688,28,23,3,6
PA2689,7,6,1,0
PA2690,0,0,0,0
PA2691,17,19,7,5
PA2692,8,3,5,3
PA2693,1,1,1,0
PA2694,1,2,0,0
PA2695,9,7,3,2
PA2696,12,5,2,1
PA2697,0,1,1,0
PA2698,6,1,1,0
PA2699,10,19,17,6
PA2700,13,13,2,0
PA2701,18,20,3,5
PA2702,8,9,2,0
PA2703,0,0,0,0
PA2704,3,13,6,0
PA2705,17,31,10,2
PA2706,5,9,1,3
PA2707,41,26,16,6
PA2708,19,24,4,3
PA2709,21,21,17,13
PA2710,1,5,3,1
PA2711,24,18,11,8
PA2712,5,11,1,0
PA2713,9,14,4,2
PA2714,24,5,3,4
PA2715,0,1,0,0
PA2716,9,12,2,3
PA2717,9,10,10,2
PA2718,17,14,7,1
PA2719,1,2,1,1
PA2720,5,4,0,2
PA2721,11,13,6,3
PA2722,6,0,6,2
PA2723,5,2,2,1
PA2724,2,4,0,3
PA2725,31,20,4,8
PA2726,8,8,3,4
PA2727,33,29,7,5
PA2728,18,29,8,1
PA2729,9,9,1,0
PA2730,7,13,3,3
PA2731,15,6,5,2
PA2732,80,75,38,32
PA2733,15,8,0,5
PA2734,43,48,12,8
PA2735,93,62,43,25
PA2736,13,25,4,3
PA2737,21,17,3,7
PA2738,368,334,56,36
PA2739,34,51,21,16
PA2740,23,11,4,7
PA2741,98,119,68,44
PA2742,15,10,6,6
PA2743,83,93,65,34
PA2744,57,59,30,21
PA2745,13,16,5,5
PA2746,31,29,43,23
PA2747,10,18,20,15
PA2748,7,17,4,1
PA2749,9,12,6,3
PA2750,6,2,3,0
PA2751,6,2,6,2
PA2752,2,0,0,0
PA2753,27,60,6,1
PA2754,34,33,9,11
PA2755,5,6,4,2
PA2756,10,10,10,4
PA2757,0,0,4,0
PA2758,8,10,5,0
PA2759,20,19,3,9
PA2760,64,64,31,15
PA2761,1,4,2,1
PA2762,1,2,1,0
PA2763,0,3,0,0
PA2764,2,5,1,4
PA2765,11,5,9,10
PA2766,3,4,2,0
PA2767,11,5,1,3
PA2768,2,2,1,2
PA2769,2,5,1,2
PA2770,11,9,6,5
PA2771,19,23,22,8
PA2772,3,3,0,2
PA2773,3,2,0,0
PA2774,1,4,2,2
PA2775,3,2,4,0
PA2776,27,34,12,7
PA2777,33,47,12,7
PA2778,29,22,1,2
PA2779,23,31,13,3
PA2780,2,2,3,2
PA2781,5,8,2,3
PA2782,2,6,2,2
PA2783,23,11,1,3
PA2784,4,4,1,1
PA2785,2,0,1,0
PA2786,7,2,1,0
PA2787,41,29,11,11
PA2788,203,173,91,51
PA2789,5,9,1,0
PA2790,6,10,1,0
PA2791,0,1,1,0
PA2792,10,3,0,2
PA2793,8,12,2,2
PA2794,35,25,7,9
PA2795,7,18,7,1
PA2796,10,22,13,8
PA2797,65,35,24,22
PA2798,87,84,25,30
PA2799,6,7,9,3
PA2800,24,39,13,12
PA2801,5,6,0,1
PA2802,7,10,2,1
PA2803,7,8,0,4
PA2804,4,5,0,0
PA2805,9,17,9,4
PA2806,16,7,2,3
PA2807,3,6,1,0
PA2808,0,0,0,0
PA2809,3,7,2,3
PA2810,20,17,0,3
PA2811,6,9,1,4
PA2812,5,16,6,0
PA2813,12,15,1,1
PA2814,16,13,3,2
PA2815,265,277,161,92
PA2816,6,10,1,8
PA2817,13,10,4,7
PA2818,18,21,6,5
PA2819,3,2,1,0
PA2820,28,24,5,2
PA2821,5,6,3,1
PA2822,3,9,3,2
PA2823,6,9,5,6
PA2824,48,51,24,14
PA2825,13,6,4,2
PA2826,11,5,2,1
PA2827,76,56,17,18
PA2828,15,18,3,8
PA2829,2,2,0,0
PA2830,56,38,19,11
PA2831,11,8,2,5
PA2832,7,6,1,2
PA2833,3,1,0,0
PA2834,16,13,7,1
PA2835,11,9,1,1
PA2836,6,10,2,1
PA2837,8,5,0,1
PA2838,9,10,3,1
PA2839,0,8,0,0
PA2840,42,20,13,5
PA2841,12,15,5,7
PA2842,4,9,4,4
PA2843,15,22,5,6
PA2844,16,12,9,4
PA2845,1,0,0,0
PA2846,14,9,3,4
PA2847,8,14,3,1
PA2848,8,8,1,0
PA2849,3,4,8,1
PA2850,5,4,0,0
PA2851,29,24,30,11
PA2852,18,15,7,3
PA2853,370,381,305,166
PA2854,123,161,53,35
PA2855,1,6,5,0
PA2856,10,6,4,3
PA2857,9,10,2,0
PA2858,37,27,4,2
PA2859,5,5,1,1
PA2860,32,14,9,10
PA2861,2,9,6,1
PA2862,8,8,1,0
PA2863,5,2,3,3
PA2864,14,10,10,5
PA2865,12,15,9,8
PA2866,15,10,0,3
PA2867,80,87,42,22
PA2868,7,8,2,0
PA2869,8,7,6,6
PA2870,26,40,11,12
PA2871,15,16,4,6
PA2872,12,2,6,4
PA2873,23,27,4,5
PA2874,7,9,0,4
PA2875,15,20,6,3
PA2876,4,4,1,2
PA2877,4,9,3,0
PA2878,4,4,2,0
PA2879,9,12,1,1
PA2880,1,1,3,0
PA2881,2,2,1,0
PA2882,5,5,1,0
PA2883,37,36,10,9
PA2884,22,13,7,3
PA2885,8,14,2,6
PA2886,21,24,8,3
PA2887,11,7,5,2
PA2888,9,14,2,3
PA2889,19,10,5,5
PA2890,3,4,3,0
PA2891,11,18,4,2
PA2892,7,6,2,3
PA2893,17,12,10,2
PA2894,5,5,1,1
PA2895,26,17,11,3
PA2896,12,20,1,2
PA2897,81,108,44,32
PA2898,0,3,0,0
PA2899,11,6,6,0
PA2900,27,24,19,11
PA2901,8,10,12,3
PA2902,12,10,9,3
PA2903,12,9,3,2
PA2904,5,7,5,0
PA2905,3,4,5,0
PA2906,9,10,0,0
PA2907,12,21,7,5
PA2908,7,6,2,1
PA2909,0,3,0,1
PA2910,1,3,1,0
PA2911,21,27,3,3
PA2912,3,4,1,1
PA2913,5,4,1,2
PA2914,8,8,4,5
PA2915,21,18,11,4
PA2916,5,4,1,0
PA2917,24,21,7,10
PA2918,25,30,5,12
PA2919,2,7,4,4
PA2920,170,151,62,37
PA2921,8,10,8,1
PA2922,8,4,1,0
PA2923,3,8,2,0
PA2924,6,6,1,0
PA2925,5,0,1,0
PA2926,6,11,0,3
PA2927,31,20,12,11
PA2928,12,6,1,0
PA2929,7,3,0,0
PA2930,38,23,11,4
PA2931,33,30,4,3
PA2932,11,18,4,4
PA2933,12,7,5,0
PA2934,3,8,4,3
PA2935,0,3,0,0
PA2936,4,5,0,0
PA2937,65,70,38,26
PA2938,97,87,54,26
PA2939,27,30,53,25
PA2940,17,12,4,6
PA2941,1,3,0,3
PA2942,19,6,8,4
PA2943,8,7,13,6
PA2944,27,52,9,9
PA2945,9,13,8,4
PA2946,20,32,18,13
PA2947,3,3,0,1
PA2948,5,2,4,3
PA2949,4,10,3,4
PA2950,25,51,12,13
PA2951,109,103,53,36
PA2952,57,69,37,30
PA2953,39,39,34,20
PA2954,3,8,3,1
PA2955,5,10,5,2
PA2956,6,10,3,3
PA2957,21,24,11,7
PA2958,30,29,4,11
PA2959,10,14,13,5
PA2960,10,4,12,5
PA2961,18,12,8,4
PA2962,19,11,6,2
PA2963,13,14,6,5
PA2964,5,14,1,0
PA2965,34,26,13,2
PA2966,10,9,12,6
PA2967,53,50,19,19
PA2968,35,34,5,3
PA2969,5,12,3,4
PA2970,2,5,5,6
PA2971,15,21,13,7
PA2972,4,1,1,1
PA2973,33,23,7,2
PA2974,19,17,7,6
PA2975,84,69,12,17
PA2976,175,205,138,92
PA2977,17,15,2,4
PA2978,2,1,3,6
PA2979,17,12,10,3
PA2980,2,0,1,0
PA2981,13,14,10,4
PA2982,3,4,1,0
PA2983,9,6,3,2
PA2984,24,27,6,7
PA2985,9,2,4,3
PA2986,8,10,5,1
PA2987,7,15,15,1
PA2988,16,22,5,3
PA2989,26,21,11,10
PA2990,14,17,6,5
PA2991,35,61,34,17
PA2992,1,0,0,0
PA2993,19,10,7,4
PA2994,7,10,14,3
PA2995,8,5,3,2
PA2996,3,3,5,2
PA2997,9,10,0,2
PA2998,16,9,10,6
PA2999,24,17,23,7
PA3000,35,32,8,5
PA3001,75,79,64,35
PA3002,62,56,46,28
PA3003,12,5,3,1
PA3004,9,18,8,4
PA3005,27,19,8,10
PA3006,41,50,16,5
PA3007,25,32,16,5
PA3008,7,4,7,1
PA3009,19,23,8,4
PA3010,13,24,7,4
PA3011,54,58,34,23
PA3012,3,10,6,6
PA3013,35,23,15,14
PA3014,40,50,26,36
PA3015,12,10,2,2
PA3016,5,3,1,0
PA3017,43,49,12,14
PA3018,4,10,3,3
PA3019,42,33,20,11
PA3020,23,24,15,13
PA3021,4,4,5,3
PA3022,36,28,32,14
PA3023,25,26,11,9
PA3024,13,18,3,3
PA3025,8,15,3,8
PA3026,16,10,11,2
PA3027,6,9,3,2
PA3028,16,8,4,2
PA3029,6,4,2,3
PA3030,4,2,0,0
PA3031,16,17,14,13
PA3032,15,13,22,6
PA3033,0,4,0,0
PA3034,15,16,5,7
PA3035,1,5,0,1
PA3036,8,8,4,3
PA3037,7,13,3,2
PA3038,24,12,5,7
PA3039,9,13,1,3
PA3040,53,57,25,20
PA3041,36,47,25,14
PA3042,10,12,2,2
PA3043,14,8,4,8
PA3044,22,16,3,2
PA3045,1,4,1,2
PA3046,5,5,3,2
PA3047,13,26,20,3
PA3048,62,41,9,11
PA3049,104,117,161,92
PA3050,16,19,10,10
PA3051,16,16,2,0
PA3052,9,20,15,2
PA3053,15,17,2,3
PA3054,27,28,10,6
PA3055,12,9,2,2
PA3056,8,14,2,1
PA3057,0,1,0,0
PA3058,15,13,4,1
PA3059,10,11,2,2
PA3060,7,11,2,0
PA3061,13,5,1,1
PA3062,2,3,0,2
PA3063,37,28,5,3
PA3064,26,18,4,3
PA3065,2,9,2,1
PA3066,8,8,1,4
PA3067,1,6,0,0
PA3068,135,93,85,51
PA3069,7,9,5,1
PA3070,43,38,30,8
PA3071,13,15,7,1
PA3072,7,2,1,4
PA3073,8,5,2,3
PA3074,17,19,9,3
PA3075,24,12,3,4
PA3076,17,26,9,1
PA3077,8,9,5,4
PA3078,24,21,2,2
PA3079,18,20,15,4
PA3080,15,9,5,5
PA3081,10,11,4,3
PA3082,27,26,5,2
PA3083,72,66,45,34
PA3084,15,13,3,1
PA3085,6,7,3,1
PA3086,10,2,1,1
PA3087,10,15,6,0
PA3088,12,8,4,2
PA3089,30,51,10,3
PA3090,8,7,1,1
PA3091,91,107,33,21
PA3092,24,24,6,8
PA3093,19,19,5,4
PA3094,15,15,5,7
PA3095,2,5,2,0
PA3096,21,10,3,0
PA3097,12,4,4,1
PA3098,6,3,3,0
PA3099,2,1,0,0
PA3100,5,3,2,0
PA3101,3,3,1,1
PA3102,13,13,4,7
PA3103,51,37,16,11
PA3104,25,30,20,12
PA3105,39,34,15,15
PA3106,16,6,2,2
PA3107,40,50,26,8
PA3108,64,69,34,27
PA3109,11,14,4,4
PA3110,16,13,3,4
PA3111,16,35,8,13
PA3112,21,31,21,19
PA3113,11,19,11,4
PA3114,11,9,1,4
PA3115,471,463,53,47
PA3116,15,12,5,1
PA3117,28,28,14,4
PA3118,31,22,10,5
PA3119,6,9,3,3
PA3120,31,22,14,1
PA3121,101,93,34,12
PA3122,17,22,11,3
PA3123,23,16,10,8
PA3124,34,28,7,2
PA3125,16,13,0,0
PA3126,188,174,21,17
PA3127,6,7,1,4
PA3128,7,10,7,0
PA3129,12,11,5,2
PA3130,1,2,1,1
PA3131,2,5,4,3
PA3132,10,9,0,1
PA3133,2,7,1,1
PA3134,26,27,11,4
PA3135,16,6,1,4
PA3136,5,7,3,0
PA3137,21,19,8,8
PA3138,57,48,43,24
PA3139,47,57,30,19
PA3140,4,0,0,1
PA3141,195,217,81,46
PA3142,16,12,2,3
PA3143,6,14,7,4
PA3144,0,0,0,0
PA3145,19,20,10,5
PA3146,15,3,5,3
PA3147,20,25,5,4
PA3148,12,14,4,2
PA3149,16,11,3,2
PA3150,19,20,11,2
PA3151,10,13,1,0
PA3152,9,10,0,0
PA3153,8,18,3,3
PA3154,15,28,3,1
PA3155,18,23,10,9
PA3156,21,17,10,3
PA3157,47,41,14,8
PA3158,35,24,14,5
PA3159,90,89,68,45
PA3160,64,49,21,4
PA3161,19,24,2,1
PA3162,347,355,247,143
PA3163,7,6,1,2
PA3165,24,15,1,6
PA3166,20,16,12,7
PA3167,19,19,13,7
PA3168,147,128,84,52
PA3169,20,20,6,5
PA3170,14,18,17,12
PA3171,28,33,9,10
PA3172,8,12,7,6
PA3173,26,24,10,4
PA3174,5,1,2,0
PA3175,15,13,5,2
PA3176,10,0,8,1
PA3177,34,44,14,8
PA3178,3,1,1,1
PA3179,39,28,7,8
PA3180,3,8,2,2
PA3181,27,17,1,8
PA3182,13,21,3,2
PA3183,43,50,16,3
PA3184,13,17,7,3
PA3185,71,67,21,20
PA3186,14,13,2,2
