,Control_180_read,Control_30_read,OCH_180_read,OCH_30_read
PA2069,59,25,55,30
PA2070,60,42,102,46
PA2071,1035,127,796,120
PA2072,303,24,223,31
PA2073,464,22,43,23
PA2074,191,6,34,7
PA2075,104,42,91,53
PA2076,189,76,45,164
PA2077,126,43,59,55
PA2078,164,35,70,33
PA2079,282,52,72,71
PA2080,502,95,78,105
PA2081,304,113,63,126
PA2082,100,40,33,51
PA2083,140,50,73,81
PA2084,87,33,79,54
PA2085,16,9,12,6
PA2086,28,11,28,11
PA2087,11,5,24,6
PA2088,23,15,32,7
PA2089,156,69,109,78
PA2090,18,3,47,6
PA2091,22,11,46,15
PA2092,31,7,40,7
PA2093,14,7,10,10
PA2094,45,9,34,17
PA2095,61,44,86,54
PA2096,52,19,51,29
PA2097,107,58,61,116
PA2098,47,19,30,18
PA2099,62,26,32,29
PA2100,313,130,135,156
PA2101,105,73,61,87
PA2102,96,30,49,47
PA2103,352,102,176,138
PA2104,304,102,165,121
PA2105,222,109,150,110
PA2106,229,85,171,120
PA2107,27,3,30,4
PA2108,60,16,89,34
PA2109,9,53,15,52
PA2110,31,84,33,128
PA2111,37,216,35,250
PA2112,28,75,33,104
PA2113,58,238,42,282
PA2114,98,565,94,672
PA2115,109,92,56,110
PA2116,76,130,61,165
PA2117,110,105,88,163
PA2118,115,53,82,84
PA2118a,55,9,10,14
PA2119,4009,1273,421,1076
PA2120,105,46,58,42
PA2121,232,66,116,51
PA2122,429,45,93,49
PA2123,304,90,114,145
PA2124,31,19,70,22
PA2125,60,32,58,68
PA2126,213,115,41,121
PA2127,1099,555,91,530
PA2128,82,17,34,33
PA2129,8,3,15,11
PA2130,46,38,79,37
PA2131,23,13,32,8
PA2132,10,7,30,9
PA2133,11,5,29,9
PA2134,11,7,87,2
PA2135,17,11,42,8
PA2136,29,13,20,13
PA2137,7,4,19,6
PA2138,63,25,140,19
PA2140,4,4,11,2
PA2141,6,3,26,1
PA2142,50,8,59,9
PA2142a,50,5,14,1
PA2143,7,5,24,7
PA2144,118,63,278,98
PA2145,10,3,23,4
PA2146,4,0,111,3
PA2147,50,23,142,35
PA2148,6,2,17,5
PA2149,0,1,13,3
PA2150,23,7,68,7
PA2151,51,22,227,42
PA2152,104,37,356,64
PA2153,41,14,195,25
PA2154,10,5,61,7
PA2155,14,7,67,11
PA2156,9,1,27,5
PA2157,31,15,60,18
PA2158,19,17,82,19
PA2159,7,1,41,2
PA2160,65,26,294,33
PA2161,2,5,14,5
PA2162,39,29,161,35
PA2163,32,19,133,13
PA2164,25,15,109,8
PA2165,56,35,174,35
PA2166,56,7,515,6
PA2167,25,9,207,8
PA2168,11,9,107,7
PA2169,4,3,67,2
PA2170,3,1,17,2
PA2171,17,9,286,11
PA2172,28,16,155,16
PA2173,8,4,54,3
PA2173a,7,2,32,5
PA2174,103,14,70,20
PA2175,52,29,40,24
PA2176,28,9,135,11
PA2177,255,55,280,81
PA2178,40,6,63,7
PA2179,27,11,54,14
PA2180,18,9,92,13
PA2181,29,13,48,17
PA2182,29,5,31,6
PA2183,11,2,23,8
PA2184,17,7,41,8
PA2185,22,26,60,32
PA2187,12,3,17,12
PA2188,24,11,38,17
PA2189,22,9,19,18
PA2190,31,17,106,18
PA2191,62,62,75,47
PA2192,8,4,25,10
PA2193,191,81,9,94
PA2194,648,219,52,271
PA2195,791,178,67,272
PA2196,91,39,37,58
PA2197,328,80,138,102
PA2198,68,10,26,23
PA2199,426,350,226,366
PA2200,134,113,77,144
PA2201,92,59,61,85
PA2202,108,55,52,82
PA2203,26,33,27,45
PA2204,342,622,86,1110
PA2205,64,31,57,44
PA2206,144,94,68,82
PA2207,34,16,34,20
PA2208,11,3,10,5
PA2209,42,17,25,11
PA2210,49,26,54,31
PA2211,50,15,28,11
PA2212,91,16,36,13
PA2213,17,7,31,8
PA2214,17,20,43,16
PA2215,46,10,38,26
PA2216,58,11,33,11
PA2217,47,16,66,27
PA2218,100,42,67,47
PA2219,22,30,40,32
PA2220,216,66,109,65
PA2221,51,35,73,39
PA2222,249,19,147,39
PA2223,356,59,248,84
PA2224,103,41,57,52
PA2225,27,10,14,16
PA2226,92,27,73,40
PA2227,266,108,172,131
PA2228,109,66,88,81
PA2229,158,73,58,84
PA2230,129,85,51,125
PA2231,876,439,333,492
PA2232,902,294,346,389
PA2233,362,144,161,174
PA2234,561,233,213,309
PA2235,1534,545,579,763
PA2236,506,214,188,277
PA2237,611,381,300,465
PA2238,387,190,170,227
PA2239,395,194,190,241
PA2240,274,145,130,202
PA2241,112,80,83,75
PA2242,387,225,183,234
PA2243,50,20,75,40
PA2244,33,14,140,19
PA2246,106,38,65,38
PA2247,301,837,2524,1126
PA2248,137,377,1479,567
PA2249,121,265,1173,398
PA2250,152,304,1586,492
PA2251,100,57,52,77
PA2252,109,649,56,952
PA2253,135,203,82,271
PA2254,25,12,25,27
PA2255,23,15,33,23
PA2256,27,22,46,33
PA2257,10,5,21,4
PA2258,37,10,21,12
PA2259,3539,1288,1854,1716
PA2260,1236,142,271,183
PA2261,2059,111,474,166
PA2262,2319,90,343,101
PA2263,2139,64,512,82
PA2264,2681,163,941,190
PA2265,5467,257,1699,341
PA2266,2236,93,694,122
PA2267,226,39,100,66
PA2268,82,32,53,23
PA2269,56,23,49,24
PA2270,157,101,72,105
PA2271,72,29,53,30
PA2272,475,314,620,417
PA2273,128,27,94,69
PA2274,25,13,25,10
PA2275,39,26,57,22
PA2276,99,76,90,56
PA2277,29,15,8,20
PA2278,54,37,37,36
PA2279,60,27,32,26
PA2280,107,51,47,65
PA2281,132,113,97,173
PA2282,104,350,21,458
PA2283,145,675,41,976
PA2284,85,147,46,224
PA2285,284,1145,28,1569
PA2286,192,471,65,643
PA2287,127,200,71,299
PA2288,82,81,39,107
PA2289,291,251,221,271
PA2290,1084,534,530,707
PA2291,29951,1621,886,1969
PA2292,16,8,29,14
PA2293,35,12,49,21
PA2294,43,15,33,23
PA2295,24,16,35,17
PA2296,94,37,57,59
PA2297,23,6,6,9
PA2298,243,102,95,131
PA2299,78,52,39,78
PA2300,82,34,44,51
PA2301,227,39,73,69
PA2302,3665,85,869,107
PA2303,638,16,163,26
PA2304,714,16,179,37
PA2305,1929,148,420,251
PA2306,1098,74,83,82
PA2307,25,7,41,20
PA2308,16,6,27,14
PA2309,19,11,25,8
PA2310,26,25,15,44
PA2311,3,14,3,46
PA2312,15,47,16,64
PA2312a,81,19,59,30
PA2314,25,8,37,10
PA2315,10,9,44,15
PA2316,134,61,74,65
PA2317,162,52,70,82
PA2318,116,47,88,52
PA2319,158,67,85,101
PA2320,517,382,436,526
PA2321,1193,1441,959,1799
PA2322,4673,1361,1108,1996
PA2323,5475,1100,2415,1274
PA2324,53,35,55,40
PA2325,42,18,44,20
PA2326,44,9,39,18
PA2327,65,18,42,26
PA2328,170,47,81,40
PA2329,143,31,54,39
PA2330,152,27,65,61
PA2331,205,54,54,89
PA2332,154,76,65,110
PA2333,57,49,74,61
PA2334,14,37,35,60
PA2335,38,20,56,28
PA2336,36,12,24,21
PA2337,147,71,133,66
PA2338,195,31,77,35
PA2339,79,21,39,25
PA2340,54,22,35,28
PA2341,119,15,61,17
PA2342,113,34,75,38
PA2343,36,14,55,16
PA2344,80,34,59,35
PA2345,236,61,118,82
PA2346,20,14,43,17
PA2347,21,11,49,19
PA2348,29,9,33,13
PA2349,27,6,25,12
PA2350,24,7,32,13
PA2351,16,9,16,14
PA2352,199,237,66,333
PA2353,160,139,102,171
PA2354,26,19,24,20
PA2355,24,9,43,23
PA2356,16,19,33,18
PA2357,9,9,17,14
PA2358,31,30,22,86
PA2359,62,114,53,240
PA2360,242,23,115,12
PA2361,500,42,221,38
PA2362,115,9,51,7
PA2363,337,21,127,26
PA2364,84,22,28,16
PA2365,867,26,212,44
PA2366,3126,65,739,53
PA2367,907,15,247,11
PA2368,110,4,23,4
PA2369,560,16,175,22
PA2370,131,8,74,17
PA2371,509,30,246,39
PA2373,432,87,234,95
PA2374,62,6,32,8
PA2375,93,12,70,21
PA2376,20,42,41,50
PA2377,63,35,68,49
PA2378,3065,838,825,1153
PA2379,587,278,261,360
PA2380,151,156,175,208
PA2381,280,118,457,71
PA2382,80,47,72,53
PA2383,81,35,59,60
PA2384,57,20,33,25
PA2385,42,48,76,58
PA2386,38,80,49,88
PA2387,51,30,33,32
PA2388,401,263,249,355
PA2389,117,97,63,119
PA2390,172,128,94,156
PA2391,102,83,91,114
PA2392,102,91,90,86
PA2393,24,39,27,36
PA2394,33,35,38,59
PA2395,34,33,24,45
PA2396,111,131,85,159
PA2397,167,117,158,141
PA2398,811,399,194,546
PA2399,373,493,356,587
PA2400,303,397,248,433
PA2402,431,469,486,591
PA2403,103,49,68,60
PA2404,68,20,17,16
PA2405,56,19,17,18
PA2406,62,16,29,16
PA2407,188,106,87,85
PA2408,73,26,39,26
PA2409,72,35,29,38
PA2410,220,100,65,121
PA2411,23,54,35,62
PA2412,5,9,7,24
PA2413,20,31,49,38
PA2414,48,16,96,24
PA2415,16,1,18,5
PA2416,50,28,96,35
PA2417,89,37,79,50
PA2418,26,12,36,14
PA2419,57,30,35,15
PA2420,25,13,43,17
PA2421,27,30,40,33
PA2422,34,4,16,8
PA2423,308,74,100,118
PA2424,205,192,436,272
PA2425,11,10,14,9
PA2426,12,7,19,13
PA2427,5,6,7,9
PA2428,39,18,37,19
PA2429,21,1,9,7
PA2430,133,13,94,35
PA2431,147,34,105,57
PA2432,133,64,71,87
PA2433,55,16,694,7
PA2434,52,18,59,42
PA2435,260,192,284,210
PA2436,189,179,140,183
PA2437,58,23,54,27
PA2438,77,35,63,56
PA2439,93,53,84,75
PA2440,29,40,70,62
PA2441,63,41,146,80
PA2442,80,73,123,82
PA2443,144,78,132,84
PA2444,559,76,75,115
PA2445,445,632,395,834
PA2446,85,59,30,92
PA2447,54,23,56,31
PA2448,214,45,93,74
PA2449,259,264,135,361
PA2450,124,125,64,119
PA2453,130,282,63,338
PA2454,187,303,107,335
PA2455,583,403,405,443
PA2457,200,189,94,224
PA2458,373,249,112,272
PA2459,207,306,132,372
PA2460,300,288,66,262
PA2461,452,310,114,381
PA2462,14542,5025,2802,6357
PA2463,414,236,169,304
PA2464,290,108,140,178
PA2465,11,3,30,8
PA2466,66,36,86,32
PA2467,31,18,31,11
PA2468,21,7,16,10
PA2469,91,50,85,64
PA2470,70,16,74,20
PA2471,72,25,65,23
PA2472,30,23,70,17
PA2473,17,3,16,4
PA2474,42,14,25,16
PA2475,176,39,129,53
PA2476,172,81,54,125
PA2477,51,29,31,34
PA2478,64,88,71,98
PA2479,116,123,50,175
PA2480,350,374,127,481
PA2481,1049,993,200,1300
PA2482,724,675,132,919
PA2483,380,354,167,412
PA2484,211,142,166,190
PA2485,50,13,84,15
PA2486,35,8,122,8
PA2487,28,8,56,9
PA2488,27,16,52,19
PA2489,136,56,115,82
PA2490,27,30,53,54
PA2491,703,230,434,373
PA2492,687,352,353,426
PA2493,47,36,49,45
PA2494,85,115,85,103
PA2495,53,40,63,19
PA2496,50,33,20,35
PA2497,53,20,55,22
PA2498,12,5,31,1
PA2499,26,7,30,9
PA2500,1223,448,157,427
PA2501,477,257,102,221
PA2502,113,127,75,128
PA2503,234,160,113,198
PA2504,184,47,285,62
PA2505,43,42,38,31
PA2506,4,3,6,4
PA2507,71,24,87,24
PA2508,15,6,33,9
PA2509,24,12,61,16
PA2510,46,29,54,46
PA2511,58,45,77,58
PA2512,38,16,49,22
PA2513,15,5,17,6
PA2514,29,16,36,13
PA2515,11,5,27,4
PA2516,16,9,39,6
PA2517,12,4,14,3
PA2518,35,8,49,11
PA2519,126,31,79,35
PA2520,112,71,92,61
PA2521,32,16,35,22
PA2522,16,11,56,12
PA2523,34,28,32,20
PA2524,112,83,87,85
PA2525,515,263,264,269
PA2526,517,237,237,280
PA2527,616,332,294,398
PA2528,230,148,129,173
PA2529,611,208,289,282
PA2530,679,103,221,148
PA2531,69,71,40,113
PA2532,859,419,348,565
PA2533,1864,347,221,493
PA2534,77,34,44,43
PA2535,357,201,233,201
PA2536,688,143,187,172
PA2537,597,117,150,139
PA2538,148,28,50,41
PA2539,316,54,73,85
PA2540,923,237,277,289
PA2541,247,127,118,171
PA2542,550,331,427,443
PA2543,305,188,283,249
PA2544,355,74,340,129
PA2545,375,304,163,419
PA2546,101,64,56,98
PA2547,55,37,55,67
PA2548,57,52,58,63
PA2549,273,225,66,332
PA2550,2701,747,169,1281
PA2551,687,472,311,568
PA2552,300,92,88,67
PA2553,357,42,85,33
PA2554,144,22,26,14
PA2555,597,95,90,60
PA2556,146,74,81,89
PA2557,119,94,67,61
PA2558,45,84,32,100
PA2559,301,159,227,188
PA2559a,53,30,30,36
PA2560,155,88,104,130
PA2561,113,128,130,144
PA2562,530,137,1097,127
PA2563,74,112,72,113
PA2564,41,28,64,25
PA2565,28,14,21,16
PA2566,107,23,63,31
PA2567,2820,1274,823,1313
PA2568,221,136,142,164
PA2569,25,19,42,17
PA2570,14,10,14,6
PA2571,296,54,277,68
PA2572,737,69,326,96
PA2573,716,126,440,148
PA2574,154,55,120,67
PA2575,838,161,617,200
PA2576,60,26,35,37
PA2577,160,59,49,67
PA2578,140,48,49,46
PA2579,558,256,246,305
PA2580,64,24,47,33
PA2581,1187,505,452,679
PA2582,1372,921,1142,1223
PA2583,917,728,523,934
PA2584,326,285,206,363
PA2585,838,711,517,877
PA2586,983,659,563,914
PA2587,652,98,162,194
PA2588,237,92,84,114
PA2589,59,26,41,44
PA2590,82,34,59,35
PA2591,743,191,243,310
PA2592,850,1705,333,919
PA2593,54,69,19,52
PA2594,158,256,83,266
PA2595,64,58,25,72
PA2596,33,29,35,31
PA2597,61,20,55,27
PA2598,84,36,31,51
PA2599,77,43,42,68
PA2600,59,48,47,72
PA2601,127,45,53,62
PA2602,37,33,18,33
PA2603,160,197,110,204
PA2604,1775,696,1377,869
PA2605,144,51,57,55
PA2606,102,50,57,57
PA2607,148,65,28,72
PA2608,170,107,48,97
PA2609,411,187,264,248
PA2610,170,118,126,152
PA2611,970,519,339,643
PA2612,1938,1130,748,1419
PA2613,1361,700,488,939
PA2614,1282,699,491,1004
PA2615,2672,1893,995,2613
PA2616,1749,1515,1200,1739
PA2617,265,151,112,214
PA2618,454,137,252,160
PA2619,546,2151,262,2653
PA2620,7830,3164,4893,3957
PA2621,2057,1257,1716,1594
PA2622,3275,376,2185,435
PA2623,21480,3127,14746,4979
PA2624,4736,6567,1161,9646
PA2625,119,111,44,139
PA2626,803,1148,367,1417
PA2627,413,398,169,574
PA2628,137,116,73,138
PA2629,911,2087,532,2856
PA2630,776,1128,86,1086
PA2631,481,565,214,620
PA2632,349,299,119,299
PA2633,617,355,270,353
PA2634,14377,1739,3217,2110
PA2635,97,56,95,76
PA2636,74,25,24,36
PA2637,943,869,585,1373
PA2638,2215,1626,1093,2466
PA2639,4742,4308,1823,5964
PA2640,941,686,283,853
PA2641,2333,1600,899,2275
PA2642,6781,6055,2793,8091
PA2643,1622,1330,656,1891
PA2644,1256,1133,633,1543
PA2645,670,525,275,709
PA2646,427,313,154,418
PA2647,2846,2109,1102,2994
PA2648,1834,1290,578,1717
PA2649,1940,1476,704,1928
PA2650,130,57,62,73
PA2651,442,332,461,365
PA2652,573,773,231,810
PA2653,93,439,83,506
PA2654,1077,398,366,528
PA2655,101,65,66,60
PA2656,282,193,150,253
PA2657,340,188,172,229
PA2658,416,164,190,231
PA2659,610,206,406,277
PA2660,178,141,114,187
PA2661,238,127,88,185
PA2662,243,69,98,92
PA2663,37,10,13,17
PA2664,89,45,41,62
PA2665,196,180,103,170
PA2666,123,350,136,399
PA2667,2637,1829,1098,2428
PA2669,57,42,59,30
PA2670,124,56,83,68
PA2671,40,22,38,31
PA2672,22,6,13,17
PA2673,12,3,7,5
PA2674,20,18,18,14
PA2675,21,10,14,11
PA2676,45,31,37,21
PA2677,82,44,60,49
PA2678,120,46,135,71
PA2679,315,43,73,179
PA2680,45,16,43,17
PA2681,82,25,59,36
PA2682,341,94,163,106
PA2683,284,60,111,80
PA2684,1369,375,338,425
PA2685,1031,515,323,636
PA2686,28,12,29,25
PA2687,33,24,40,44
PA2688,72,41,100,50
PA2689,54,40,61,40
PA2690,131,74,78,96
PA2691,135,33,84,43
PA2692,87,102,94,123
PA2693,29,50,41,57
PA2694,49,31,37,44
PA2695,169,106,137,157
PA2696,103,53,137,51
PA2697,9,10,7,10
PA2698,268,50,114,57
PA2699,93,16,119,22
PA2700,41,20,50,24
PA2701,75,23,84,26
PA2702,219,122,99,152
PA2703,82,32,39,69
PA2704,401,88,95,107
PA2705,840,358,496,485
PA2706,326,138,147,179
PA2707,1695,927,967,1148
PA2708,71,33,179,40
PA2709,1572,341,882,484
PA2710,243,47,91,64
PA2711,592,75,85,113
PA2712,118,49,82,82
PA2713,153,49,62,41
PA2714,654,50,98,66
PA2715,136,30,30,29
PA2716,143,87,114,157
PA2717,115,27,524,35
PA2718,98,44,72,57
PA2719,105,59,80,91
PA2720,152,113,86,159
PA2721,80,21,107,9
PA2722,48,9,52,12
PA2723,66,20,32,23
PA2724,40,15,37,21
PA2725,847,302,299,350
PA2726,255,47,87,70
PA2729,535,123,206,143
PA2730,1379,799,842,1071
PA2732,5203,2918,2400,3821
PA2733,788,480,304,655
PA2734,2385,1530,885,2036
PA2735,3991,3049,1578,3929
PA2736,300,275,133,341
PA2737,2245,783,811,1098
PA2738,4359,2493,2322,2995
PA2739,3343,3063,796,3493
PA2740,1878,1850,469,2286
PA2741,9371,23359,2432,28328
PA2742,9401,28280,3832,34575
PA2743,10013,20147,4818,24731
PA2744,4856,8544,2284,10663
PA2745,81,77,85,103
PA2746,83,62,125,77
PA2746a,61,44,68,59
PA2747,200,76,1773,111
PA2747a,71,27,50,36
PA2748,120,100,82,113
PA2749,56,48,31,57
PA2750,54,37,53,55
PA2750a,57,41,65,66
PA2751,52,36,240,37
PA2752,19,9,13,19
PA2753,806,362,109,317
PA2754,862,272,559,237
PA2754a,101,45,73,66
PA2755a,125,59,105,45
PA2755,827,332,362,445
PA2756,653,385,427,475
PA2757,16,25,20,30
PA2758,72,24,42,30
PA2759,805,838,147,657
PA2760,27583,12076,4945,15600
PA2761,233,92,78,94
PA2762,385,18,36,34
PA2763,4,11,8,16
PA2763a,11,19,6,19
PA2764,381,108,592,160
PA2765,872,415,505,576
PA2766,52,20,27,25
PA2767,80,19,53,28
PA2768,57,59,18,86
PA2769,159,85,37,99
PA2770,414,288,134,400
PA2771,359,139,232,165
PA2772,126,83,65,107
PA2772a,51,21,16,23
PA2773,120,54,54,68
PA2774,332,121,46,170
PA2775,118,98,26,104
PA2776,174,1709,232,1699
PA2777,107,214,240,176
PA2778,189,62,71,58
PA2779,481,91,238,74
PA2780,385,139,286,155
PA2781,437,77,487,104
PA2782,55,16,63,36
PA2783,59,68,52,61
PA2784,25,14,12,15
PA2785,11,8,6,4
PA2786,28,62,15,70
PA2787,163,46,120,35
PA2788,290,164,202,131
PA2789,123,69,70,101
PA2790,181,49,74,75
PA2791,64,14,31,30
PA2792,241,62,45,82
PA2793,487,233,105,334
PA2795,243,389,143,490
PA2796,1688,440,1005,579
PA2797,1010,455,527,582
PA2798,1448,1224,754,1487
PA2799,167,59,87,71
PA2800,1806,1870,1461,2513
PA2801,113,56,63,76
PA2802,243,157,167,197
PA2803,26,5,43,19
PA2804,20,20,24,15
PA2805,1594,647,990,648
PA2806,135,223,81,294
PA2807,15,17,15,24
PA2808,16,6,7,15
PA2809,91,37,50,47
PA2810,155,46,87,75
PA2811,555,112,156,150
PA2812,788,200,248,274
PA2813,360,86,195,114
PA2814,218,63,91,81
PA2815,1347,132,2084,198
PA2816,64,24,98,18
PA2817,162,157,117,235
PA2818,267,242,189,283
PA2820,654,396,294,466
PA2821,472,192,279,224
PA2822,314,111,136,149
PA2823,508,194,281,294
PA2824,786,329,427,411
PA2825,227,36,74,55
PA2826,387,51,137,51
PA2827,470,168,328,285
PA2828,626,732,254,907
PA2829,96,65,36,78
PA2830,824,374,228,441
PA2831,598,266,314,375
PA2832,288,77,174,141
PA2833,28,6,32,23
PA2834,128,69,103,86
PA2835,25,22,43,29
PA2836,27,19,35,18
PA2837,22,21,40,30
PA2838,23,16,28,18
PA2839,27,31,47,34
PA2840,203,4371,122,4322
PA2841,166,72,164,86
PA2842,128,108,75,120
PA2843,441,359,207,425
PA2844,114,86,100,106
PA2845,8,3,6,8
PA2846,91,51,66,43
PA2847,38,21,39,20
PA2848,57,32,29,40
PA2849,136,42,47,50
PA2850,144,50,45,58
PA2851,2961,7638,1432,9126
PA2852,154,115,133,140
PA2853,60021,24334,28945,31715
PA2854,1553,1181,998,1353
PA2855,110,73,73,91
PA2856,286,120,189,149
PA2857,111,73,81,73
PA2858,318,118,199,151
PA2859,163,87,84,130
PA2860,402,296,330,414
PA2861,102,67,72,58
PA2862,11067,149,853,143
PA2863,1064,24,96,34
PA2864,434,71,190,85
PA2865,257,226,202,339
PA2866,141,111,56,124
PA2867,3408,1536,368,1346
PA2868,198,107,49,78
PA2869,97,85,87,93
PA2870,205,115,163,149
PA2871,372,131,241,184
PA2872,176,73,125,94
PA2873,269,123,158,149
PA2874,126,92,97,88
PA2875,260,137,138,167
PA2876,89,117,70,126
PA2877,112,66,81,80
PA2878,76,60,49,78
PA2879,175,99,62,133
PA2880,240,21,36,34
PA2881,140,12,40,29
PA2882,55,20,35,19
PA2883,180,79,434,111
PA2884,352,185,180,239
PA2885,211,123,93,146
PA2886,183,79,92,63
PA2887,188,16,44,22
PA2888,277,30,77,42
PA2889,374,41,102,38
PA2890,91,11,47,18
PA2891,222,21,97,38
PA2892,136,16,49,20
PA2893,911,186,186,177
PA2894,250,108,154,136
PA2895,99,33,115,60
PA2896,176,80,103,94
PA2897,2433,968,1285,1261
PA2898,15,10,13,16
PA2899,133,72,100,89
PA2900,545,388,214,524
PA2901,346,382,143,493
PA2902,296,202,138,295
PA2903,386,264,128,287
PA2904,258,186,54,237
PA2905,102,67,14,81
PA2906,340,312,102,374
PA2907,154,100,104,145
PA2908,235,126,100,154
PA2909,68,44,39,37
PA2910,18,21,27,37
PA2911,212,261,80,270
PA2912,55,44,40,36
PA2913,69,53,43,53
PA2914,129,59,78,64
PA2915,230,75,138,109
PA2916,10,10,42,18
PA2917,111,136,213,157
PA2918,282,32,387,35
PA2919,52,12,34,9
PA2920,433,64,275,95
PA2921,79,33,57,35
PA2922,33,8,50,18
PA2923,13,7,17,6
PA2924,26,16,28,8
PA2925,34,19,25,14
PA2926,16,11,15,19
PA2927,147,34,108,48
PA2928,109,49,88,56
PA2929,34,18,20,18
PA2930,187,88,119,95
PA2931,76,32,60,52
PA2932,39,14,52,15
PA2933,35,12,76,18
PA2934,27,19,24,28
PA2935,33,21,29,14
PA2936,15,11,19,11
PA2937,108,29,279,52
PA2938,138,25,98,32
PA2939,1670,27,356,43
PA2940,97,29,55,60
PA2941,75,53,51,58
PA2942,248,229,141,290
PA2943,399,228,284,212
PA2944,1420,822,219,874
PA2945,917,652,133,785
PA2946,670,260,101,324
PA2947,208,58,45,100
PA2948,308,84,67,116
PA2949,211,80,129,128
PA2950,1083,956,707,1265
PA2951,15395,4996,5075,6740
PA2952,11991,4906,4194,6703
PA2953,8366,5612,3098,6324
PA2954,236,97,79,105
PA2955,189,115,77,108
PA2956,147,217,63,237
PA2957,387,668,206,836
PA2958,229,186,229,201
PA2959,359,427,197,512
PA2960,428,454,266,543
PA2961,509,359,239,498
PA2962,323,230,118,305
PA2963,356,399,206,492
PA2964,572,487,169,536
PA2965,2887,2530,900,2906
PA2966,8594,6101,4396,8211
PA2967,2759,2035,983,2420
PA2968,683,764,354,901
PA2969,744,1613,139,1913
PA2970,1243,4144,279,5266
PA2971,1034,3627,254,4200
PA2972,87,138,55,135
PA2973,1082,1269,446,1636
PA2974,526,487,158,614
PA2975,749,746,232,953
PA2976,7450,10140,1664,12803
PA2977,487,395,161,508
PA2978,326,230,81,290
PA2979,607,350,205,451
PA2980,243,169,103,202
PA2981,336,288,180,381
PA2982,279,290,171,348
PA2983,198,258,139,341
PA2984,131,46,109,68
PA2985,81,73,48,90
PA2986,512,480,291,647
PA2987,432,331,197,455
PA2988,413,583,237,724
PA2989,250,100,119,130
PA2990,999,442,596,645
PA2991,1989,1658,1060,2835
PA2992,193,121,92,167
PA2993,517,497,165,590
PA2994,992,818,254,1102
PA2995,484,436,105,556
PA2996,458,383,92,493
PA2997,556,536,96,662
PA2998,971,955,183,1227
PA2999,932,1234,274,1612
PA3000,425,698,151,798
PA3001,7092,6261,4453,8486
PA3002,2566,1602,1141,1956
PA3003,528,246,239,325
PA3004,756,227,370,310
PA3005,590,264,276,396
PA3006,2551,1236,388,1247
PA3007,457,504,231,637
PA3008,341,293,173,357
PA3009,314,287,188,358
PA3010,571,345,335,426
PA3011,5012,3623,1488,4757
PA3012,170,221,78,314
PA3013,7831,4771,2295,6426
PA3014,10322,7039,3356,8799
PA3015,336,136,104,191
PA3016,210,39,32,58
PA3017,1001,224,400,256
PA3018,325,209,61,219
PA3019,653,1361,242,1707
PA3020,1117,643,527,696
PA3021,1001,265,355,317
PA3022,730,185,266,241
PA3023,353,92,445,94
PA3024,439,107,147,125
PA3025,358,89,131,112
PA3026,852,163,161,192
PA3027,498,231,117,309
PA3028,986,207,368,347
PA3029,586,189,263,268
PA3030,123,64,64,70
PA3031,7970,1025,6289,1441
PA3032,84,60,136,47
PA3033,70,35,32,48
PA3034,211,160,108,186
PA3035,102,31,33,34
PA3036,65,15,47,32
PA3037,64,25,33,35
PA3038,16999,522,53,1097
PA3039,138,103,57,171
PA3040,901,127,1979,177
PA3041,300,41,450,53
PA3042,151,23,205,29
PA3043,972,373,665,472
PA3044,145,85,78,68
PA3045,18,34,15,22
PA3046,447,563,307,784
PA3047,1095,914,372,1091
PA3048,547,986,223,1158
PA3049,1053,185,10800,206
PA3050,495,665,301,922
PA3051,121,57,66,73
PA3052,712,341,263,424
PA3053,300,116,153,144
PA3054,917,264,200,279
PA3055,366,114,201,164
PA3056,155,72,115,74
PA3057,13,6,7,7
PA3058,73,37,92,57
PA3059,69,20,114,43
PA3060,41,21,91,25
PA3061,53,21,92,27
PA3062,22,9,49,8
PA3063,87,50,263,57
PA3064,79,28,229,55
PA3065,36,17,54,26
PA3066,60,38,74,68
PA3067,23,18,16,35
PA3068,4070,1486,4523,1923
PA3069,82,48,83,64
PA3070,818,684,311,771
PA3071,280,194,128,208
PA3072,29,18,36,28
PA3073,136,72,81,97
PA3074,342,223,173,278
PA3075,333,203,147,231
PA3076,274,88,132,138
PA3077,161,63,75,89
PA3078,495,144,173,209
PA3079,17404,943,551,1104
PA3080,3781,462,288,537
PA3081,5307,628,244,747
PA3082,8337,1208,492,1507
PA3083,3716,1735,1600,2272
PA3084,434,382,173,412
PA3085,182,144,96,163
PA3086,281,114,118,149
PA3087,445,221,270,298
PA3088,473,345,307,468
PA3089,219,54,113,51
PA3089a,121,54,88,66
PA3091,527,271,469,298
PA3092,1497,809,459,939
PA3093,197,202,126,253
PA3094,238,153,146,179
PA3095,148,36,61,44
PA3096,484,118,184,128
PA3097,375,163,135,194
PA3098,345,117,107,131
PA3099,300,68,67,114
PA3100,334,63,86,88
PA3101,1258,270,394,356
PA3102,567,141,137,179
PA3103,1466,453,465,611
PA3104,808,423,277,614
PA3105,3866,1006,966,1470
PA3106,672,411,241,566
PA3107,1488,1076,779,1309
PA3108,2391,2054,1264,2515
PA3109,138,184,67,264
PA3110,524,332,229,406
PA3111,1341,916,654,1208
PA3112,1179,840,476,1141
PA3113,643,594,316,744
PA3114,315,270,126,274
PA3115,9158,4100,2567,4767
PA3116,287,379,79,431
