gene,E11,E12,E1E21,E1E22,E21,E22,WT1,WT2
CDS111657,7923,7577,6013,5779,5435,5538,7429,7047
CDS103528,13056,13328,17151,15751,15144,15563,12477,13108
CDS113193,1678,1493,776,859,804,760,1357,1612
CDS102964,1279,1207,1021,1052,1101,959,1096,1239
pseudo111894,16807,14388,11094,11629,10613,11641,12701,14992
CDS111599,1875,1994,3672,3313,3076,2950,1762,1858
CDS113969,1444,1505,2946,2633,2514,2392,1445,1446
CDS106573,29142,25482,107135,100855,117556,86387,19891,25213
CDS110227,10283,8576,10648,9898,10437,8912,8179,8875
CDS111053,3351,3872,4720,3991,3266,3334,3843,3182
CDS105977,977,957,972,889,967,775,897,876
CDS110495,2137,1763,1253,1212,1247,1095,1504,1834
CDS105359,774,670,436,441,468,428,616,657
CDS113269,1539,1499,1171,1343,1534,1125,1337,1453
CDS112639,474,446,523,537,491,451,401,418
CDS106883,72,49,294,222,208,239,30,53
CDS110823,8106,7339,6492,6086,6248,5710,6945,7000
CDS104631,27127,25896,31725,29944,32067,28390,23872,25224
CDS103954,2978,3058,1665,1800,1333,1498,2533,2737
CDS111681,8318,9726,6672,6616,6386,6477,9782,9596
CDS109125,34712,29568,24475,25162,28529,24518,27021,29745
CDS113517,4142,3969,3145,2820,2821,2613,3589,3793
CDS113107,10507,10086,4863,4592,3965,4383,9700,8596
CDS133907,8513,7467,5166,5114,5322,4733,6478,7239
CDS103282,612,611,676,591,507,569,564,546
CDS109770,3111,3103,9262,8307,8555,7772,2869,3112
CDS111963,4234,3995,3481,3345,3216,3067,3507,3852
CDS109786,3359,2995,3420,2978,2700,2455,2833,2944
CDS105329,926,678,861,799,686,721,585,662
CDS107819,269,228,737,755,807,683,235,244
CDS112071,9091,9508,6720,7146,9511,6504,8884,9325
CDS105217,174,100,504,496,458,400,105,130
CDS111823,3884,4028,5305,4884,4254,4248,3908,3808
CDS134051,8248,7077,5637,5621,6216,4995,6734,7175
CDS105615,2286,1750,2817,3032,3870,2673,1473,1722
CDS108713,1943,1516,2271,2167,2597,1953,1351,1561
CDS106815,1147,1275,4506,3650,3128,3365,1164,1091
CDS113279,556,450,274,270,216,254,404,477
CDS110417,14236,13142,10706,10106,9788,9478,12474,12122
CDS111989,2911,2327,2560,3169,2825,2769,1629,2561
ncRNA191134,30,37,324,281,194,261,43,32
CDS104048,6143,7137,5196,5070,3777,4997,6604,6380
CDS113805,11245,12165,14434,12748,16494,12011,10765,10334
CDS106299,378,402,1922,1632,1407,1374,354,363
CDS109194,144774,129535,136286,125919,129667,119665,120994,122123
CDS104491,988,1042,1244,1100,1065,975,888,929
CDS108003,1550,1550,1311,1256,1280,1127,1317,1438
CDS104563,16085,13947,11680,11228,10904,10700,12469,13623
CDS104721,277,250,474,502,708,425,224,243
CDS113373,1762,1905,2275,1950,1981,1912,1559,1597
CDS103422,6559,6216,5522,5352,4702,4941,5705,5844
CDS108747,5629,4323,3606,3911,3877,3520,4217,4144
CDS113931,1925,1446,3198,3004,3625,2541,1306,1527
CDS108819,37060,32358,23341,23480,25723,21847,29797,31078
CDS105167,8590,8032,8034,7841,6957,6986,7673,8304
CDS111835,5461,5351,16396,14376,12888,12920,4718,4795
CDS104575,533,473,543,518,691,485,454,448
CDS108439,1551,1257,1574,1587,1756,1471,1097,1256
CDS112224,12267,10165,5719,5725,5349,5275,8558,9989
CDS107701,1534,1452,1135,1231,1081,1117,1368,1382
CDS107101,7184,1918,1980,3177,7245,2741,1463,2486
CDS107503,4692,5505,11191,9257,9624,7931,4981,4819
CDS113335,4445,4766,3362,3417,3127,3036,4411,4391
CDS106229,5764,5912,14238,11619,11189,9903,5670,5306
CDS104601,3414,2657,1703,1741,2089,1576,2494,2766
CDS104617,2423,2056,1630,1460,1675,1382,1829,2094
CDS104156,741,716,1179,1055,910,888,696,642
CDS111331,15053,12308,6185,6484,5710,6271,10207,12489
CDS105115,1068,1026,1612,1479,1725,1248,890,906
CDS111617,4504,3605,2452,2533,2875,2430,3342,3833
CDS110531,4196,4394,6283,5723,5474,5114,3796,3931
CDS107847,679,454,1050,1042,1182,933,479,495
CDS134055,227,240,561,438,304,395,210,228
CDS107711,669,452,1202,1302,1161,1117,398,473
CDS105155,2806,2149,2740,2641,2807,2458,2064,2175
CDS111003,517,497,562,572,518,483,419,517
CDS109566,1299,1129,1347,1190,1277,990,1055,1153
CDS107667,1937,1407,1200,1349,1135,1180,1270,1538
CDS105713,541,456,989,976,965,816,433,466
CDS105017,4686,4444,5018,4524,5041,4285,4201,4574
CDS110581,558,470,801,849,841,666,325,480
CDS104885,634,667,640,668,693,585,531,629
CDS113043,1101,965,1456,1472,1364,1422,867,943
CDS107631,3799,3522,791,1356,654,1259,3112,3908
CDS109618,1626,1545,2192,1952,2231,1833,1550,1508
CDS105707,1057,938,2157,1875,1798,1641,914,960
CDS113215,23442,23374,13639,15362,20031,13863,17788,24251
ncRNA191118,231,206,259,256,278,241,182,207
CDS106575,35187,32812,123808,115882,134299,101554,26581,32059
CDS106203,4108,3358,7727,7297,3761,4928,3193,2927
CDS105773,97,86,498,451,501,430,93,90
CDS108283,8675,7851,7709,7282,14352,6167,7268,6023
CDS104555,2405,2501,2512,2430,2504,2206,2058,2206
CDS111501,1852,1875,3108,2683,2467,2108,1853,1729
CDS110307,60807,60308,32320,31829,26911,30975,58069,54645
CDS107543,1677,1628,1265,1311,1556,1149,1387,1755
CDS113635,413,406,657,558,535,510,384,376
CDS112917,2589,2512,2234,2233,2265,2038,2279,2249
CDS109454,351,379,1334,1212,1061,1043,367,342
CDS110805,5328,4622,3578,3382,3217,3030,4260,4342
CDS109610,102,61,124,104,76,83,53,65
CDS110819,18304,13903,11460,11353,12047,10818,12908,14524
CDS112895,5544,4680,3723,3520,3682,3314,4300,4566
tRNA109075,3273,4700,2850,2783,1879,2788,4981,4583
CDS103266,48,38,199,174,146,160,49,44
CDS108009,6912,5491,10629,9939,10066,8884,4828,5606
CDS103188,554,479,1012,921,1003,867,436,492
CDS105509,5247,4576,4011,4256,4536,3883,4185,4746
CDS104475,3588,3448,5086,4637,4481,4124,3246,3159
CDS109101,2194,2050,3633,3606,3901,3410,2051,2061
CDS110120,9184,8144,7297,6762,5698,6391,7803,7804
CDS112817,11752,11013,6692,6634,7022,6165,9551,10911
CDS111097,410,404,548,520,520,445,409,357
CDS103974,630,480,468,515,916,507,433,513
CDS102898,7493,7666,11861,10572,8936,8932,7279,7369
CDS110685,610,633,601,599,647,503,564,558
CDS110909,12931,11092,9097,8835,9072,8065,10113,10700
CDS113717,937,627,465,586,850,481,539,884
CDS111789,7566,6386,9181,8751,8516,7546,6242,6448
CDS109736,928,773,912,1035,1181,884,575,826
CDS104699,5751,5392,4057,4292,3949,4010,4558,5036
CDS110204,31981,16442,15284,18440,47001,15026,13744,15060
CDS106661,2505,2469,2163,2289,2253,1951,2213,2190
CDS108627,2470,2131,2413,2178,2656,1970,1731,2262
CDS111453,7109,7308,10732,9852,9753,8528,6641,6346
CDS103530,11723,10686,18072,16717,16923,15988,9955,10791
CDS110835,9499,7505,7118,6590,6290,5754,6882,7556
tRNA111925,336,524,222,233,185,243,678,494
CDS104599,3672,2907,2447,2486,3063,2120,2601,2926
CDS110987,35,25,223,183,185,178,34,31
CDS107977,225,170,334,341,330,246,202,166
CDS109146,11912,10437,9954,9664,9290,9003,9590,9828
ncRNA302408,21147,17758,15054,20012,21098,16374,16401,20176
CDS108519,143,126,385,336,368,277,111,145
CDS112649,3317,3164,3224,2880,2511,2474,2669,3431
CDS109642,91,89,122,111,96,99,95,77
CDS111415,275,235,211,242,292,233,176,244
CDS103022,8685,9489,10892,9316,7723,7509,8118,9717
CDS112196,10381,8692,7320,7191,5895,6852,8268,8229
CDS109266,1290,1015,1316,1209,1112,1076,914,1144
CDS105595,837,708,888,833,860,798,685,720
CDS113777,17807,14694,16113,16247,16612,14488,12848,14084
CDS110695,98,132,145,185,146,154,116,161
CDS107327,579,467,522,543,680,533,395,498
CDS103818,780,818,617,592,583,527,816,734
CDS103696,698,514,827,809,884,711,446,572
CDS110172,3848,2648,4691,4683,4540,4330,2557,3071
CDS107443,2614,3272,1991,2040,1364,1896,2938,3177
CDS107595,995,752,470,536,255,428,654,753
CDS108121,11756,11434,6446,6826,6477,6842,10635,11407
CDS109912,342,165,297,296,488,319,143,204
CDS111725,4441,6121,2707,2930,2167,2913,4954,5473
CDS109129,18969,18702,16187,16078,16371,14717,17340,17843
CDS113487,1346,1416,1000,1056,1151,1050,1209,1425
CDS21131613,2475,1856,1076,1393,972,1248,1710,2298
CDS113567,12274,10803,11375,10983,12413,10143,9652,10810
CDS105541,319,227,306,389,425,348,210,258
CDS103830,41168,33759,15856,16879,18869,15825,31588,35527
CDS113765,2320,1646,2308,2418,2425,2171,1222,1944
CDS108655,401,366,500,433,536,404,307,315
CDS111011,11,5,52,45,42,46,11,16
CDS111831,20173,21098,10586,10056,10402,9232,18261,21091
CDS111577,1606,1410,1712,1508,1720,1385,1303,1479
CDS105727,2218,1723,1522,1564,1456,1339,1509,1782
CDS105787,4881,4034,6988,7381,7453,6920,3659,4140
CDS107149,1292,563,479,534,1510,521,447,518
CDS113987,1313,1212,1529,1455,1379,1380,1182,1172
CDS111847,3606,3564,5321,4931,5126,4078,2852,3604
CDS108785,6142,4602,4080,4351,4499,3952,4009,4968
CDS113511,563,533,778,675,764,595,423,510
CDS110631,2743,2588,3459,3303,2634,2781,2266,2471
CDS105841,1171,1010,2940,2670,2425,2467,932,1092
CDS113593,7133,7606,8241,7276,8939,6774,7120,6961
CDS108133,145,128,422,423,481,325,113,109
CDS113893,2702,2134,1263,1260,1098,1149,1917,2142
CDS113461,634,644,3738,3080,2472,2838,524,633
CDS106757,298,244,370,355,447,317,200,249
CDS107367,115,79,144,116,135,90,52,95
CDS134063,2345,1953,1998,2051,1964,1788,1767,1999
CDS102812,57708,47627,21624,22468,34561,21697,44957,48233
CDS110158,1091,962,2250,2071,2571,1996,955,953
CDS107617,389,319,361,351,653,391,269,283
CDS103950,1665,1374,1727,1513,1892,1385,1189,1447
CDS103424,1616,1459,2028,1882,2427,1861,1272,1431
CDS110831,5686,5140,4859,4451,4318,4273,4818,4959
CDS103410,8939,8803,7594,7802,8146,7468,8093,8919
CDS110869,6730,6770,6844,6604,6421,5639,5713,6530
CDS109534,460,323,773,608,606,515,307,333
CDS111455,8408,7423,8087,7784,9077,7325,6708,7588
CDS108857,678,650,797,715,694,659,622,701
tRNA107951,228,267,198,162,138,167,302,246
CDS102784,153,183,228,182,170,171,143,152
CDS112144,9812,10368,9051,8894,11159,8133,9119,11158
CDS110779,2443,2533,2569,2207,2006,2186,2381,2145
CDS109726,1872,1786,1292,1119,940,984,1761,1707
CDS105413,328,307,449,435,332,358,318,352
CDS110563,194,154,285,311,335,282,126,163
CDS113129,2622,2273,1131,1098,1008,1049,2126,2197
CDS103244,637,615,1422,1274,1213,1061,490,558
CDS104136,155,127,381,380,403,290,128,143
CDS105281,388,344,265,280,340,240,332,401
CDS103040,302,188,249,264,456,272,166,218
CDS113537,8270,7393,5861,5443,4945,5236,7035,7272
CDS106961,94,56,719,574,616,471,48,86
CDS107861,2764,2453,2798,2615,3110,2453,2262,2511
CDS112123,3251,2241,3460,3145,3093,2440,2187,2498
CDS104487,5126,4957,4625,4136,3978,3568,4466,4317
CDS107935,706,598,593,580,697,564,581,702
CDS107665,4889,4141,4079,3936,4002,3365,3665,4015
CDS106053,1292,1081,1221,1244,1638,1198,1107,1213
CDS110243,1545,1293,2722,2489,2907,2111,1169,1354
CDS111583,3809,3041,2044,2174,2053,1909,2706,3317
CDS112517,251,228,436,400,516,392,193,229
CDS113955,7386,4103,5592,6396,6235,6172,3365,5407
CDS111077,107,71,191,153,220,175,67,84
CDS113361,12941,11343,8651,9143,9278,8327,10082,12119
CDS104114,35,17,325,281,246,252,24,13
CDS109850,629,488,1307,1177,1520,1137,492,533
CDS108891,3933,4321,2683,2362,2234,2327,4148,3780
CDS112021,81,65,254,199,166,176,62,63
CDS111479,3548,2884,3202,3195,2946,2791,2784,2897
CDS109760,745,651,744,664,601,523,608,589
CDS102966,1793,1739,3240,3032,3261,2940,1579,1678
CDS106197,9010,8574,9492,9638,6273,7767,7924,8459
CDS105103,2624,2805,2216,2185,2378,2093,2775,2873
CDS113611,1438,1196,1231,1234,1485,1177,1169,1293
CDS104377,854,779,1502,1359,1671,1060,613,727
CDS112553,4218,4202,6970,6301,7024,5755,4032,3614
CDS111809,742,634,951,888,714,709,580,634
CDS109198,9268,7254,13023,11415,11112,10247,6753,7450
CDS107937,495,430,566,553,646,492,354,496
CDS113613,3079,2577,1936,2075,2611,1922,2202,2590
CDS108471,99,77,215,211,254,176,100,106
CDS104543,254,323,531,450,503,418,246,293
CDS112955,9173,8506,6585,6471,6001,6876,7476,8414
CDS112739,7486,6672,6714,6364,7282,5653,6270,6511
CDS103090,23973,26604,36969,31361,34468,26300,24228,22848
CDS105265,8139,6372,6514,6998,8383,6306,5756,7210
CDS102884,1052,771,911,878,726,695,703,871
CDS112393,21187,22076,13717,12898,13556,12140,20905,20065
CDS113027,18498,15140,12975,13053,14839,12523,13284,14626
CDS110633,1868,1959,2291,2076,1734,1949,1648,1903
CDS110559,174,166,388,368,414,342,150,139
CDS113151,4582,4054,4102,4017,3737,3682,3760,3849
CDS104359,4108,3994,3756,3573,4016,3209,3642,3834
CDS108781,990,825,1061,1035,1142,989,800,904
CDS104783,4380,3931,2511,2458,2562,2276,3669,4078
CDS105063,506,490,756,717,852,656,397,460
CDS109980,1763,1632,1398,1252,1049,1141,1632,1453
CDS107277,6396,5200,2312,2473,2751,2103,4413,5162
CDS110463,7460,7093,3803,3820,3194,3768,6677,6419
CDS108301,8636,9376,7654,6897,6708,6051,8934,8245
CDS103718,1070,1060,1016,962,1639,900,834,941
CDS110855,7024,6803,8679,7758,8793,6722,6453,6272
CDS113089,4629,4305,3746,3411,4001,3123,3881,3990
CDS133901,19303,16233,10815,10616,10932,9768,15230,15614
CDS108169,511,350,948,898,816,621,352,406
CDS112765,12705,11995,11052,10627,11662,9555,10750,11912
CDS111959,3826,3317,2946,2984,3436,2865,3169,3645
CDS105991,22032,17629,8858,9735,11556,8713,17621,16480
CDS106749,4141,2925,3588,3441,5364,2947,2344,3191
CDS105669,1276,1155,2504,2112,1864,1800,1162,1109
CDS104339,7093,5723,5210,4807,5622,4086,5007,6026
CDS106463,1895,1802,1854,1695,1492,1567,1667,1638
CDS112755,41047,36284,37893,36793,35885,34527,33284,34921
CDS110279,1222,1054,1142,1121,1135,972,939,1028
CDS108223,1409,1249,1592,1423,1689,1285,1199,1288
CDS103078,320,286,1303,1047,1011,873,288,250
CDS111191,869,757,662,585,601,555,714,746
CDS103764,209,107,107,185,156,145,71,151
CDS110249,1168,1090,1109,1142,1315,1078,986,1105
CDS112214,943,996,872,885,1026,757,788,894
CDS113141,1940,1343,1480,1409,1331,1131,1280,1426
CDS38821035,1111,1063,1070,1174,1175,1118,991,1043
CDS111911,2410,2273,2739,2376,2699,2227,2090,2123
CDS106913,11909,10543,9532,9250,8899,7954,9049,10466
CDS134025,4889,4183,2786,2791,3277,2593,4156,4211
CDS112273,1180,977,878,917,852,810,860,981
CDS103542,5045,4256,4294,4343,4407,3962,3404,4460
CDS110647,650,620,680,777,751,720,415,681
CDS110537,13133,14322,14392,12882,13328,11344,12559,13521
CDS112567,3768,3317,2182,2119,2110,1744,2932,3415
CDS108701,22818,17602,10731,11899,14089,11126,14950,19357
CDS109542,530,745,2091,1562,1090,1439,695,624
CDS113783,4717,4823,4446,3924,3693,3691,4333,4408
CDS112431,674,633,992,849,775,754,614,558
CDS108933,510,535,315,348,346,312,464,473
CDS111433,6287,7176,13968,13065,13988,11380,6909,6709
CDS108845,1563,1102,2689,2519,2603,2310,1028,1240
CDS113149,4083,3821,3950,3443,2531,3573,3676,3509
CDS102888,7507,5754,6185,6010,5643,4657,4994,5892
CDS105589,289,243,435,415,471,379,242,263
CDS111157,1409,1192,724,1051,637,885,1092,1324
CDS103914,36519,39998,35082,32922,35134,28849,33894,37173
CDS106043,2788,2357,2902,2553,3037,2268,2151,2399
CDS106261,2966,2944,2822,2437,2829,2311,2579,2892
CDS111335,102043,84673,45052,45863,38913,43835,71932,85485
CDS113995,46672,37311,22703,23657,20178,23078,32178,39415
CDS105239,771,560,1128,976,1083,925,511,642
CDS112315,12450,11147,11511,10990,10482,10103,9873,10403
CDS103820,2439,2313,1984,2035,1696,1882,2306,2258
CDS104092,141,127,168,142,145,135,104,107
CDS111357,74714,63874,37797,36653,32622,35841,57437,63104
CDS108021,1172,951,707,669,810,629,856,962
CDS103314,289,264,365,309,336,322,242,253
CDS106755,1315,1028,1390,1198,1713,990,998,972
CDS105501,5792,6522,8694,8148,8021,7568,5780,5978
CDS113809,1888,1927,1704,1682,1455,1468,1902,1850
CDS107299,43254,35341,46536,43989,47300,37435,31272,35133
CDS109742,2165,999,1185,1270,2555,1176,923,1221
CDS113867,8527,9368,5403,5238,4567,4617,8864,8696
CDS103070,2254,1709,4249,4006,3481,3291,1646,1984
CDS112037,2117,2182,3828,3425,3806,3237,2095,2007
CDS103496,1107,1030,1383,1350,1296,1281,894,1032
CDS107513,23404,30186,33496,28768,33506,24339,23621,24664
CDS113377,1322,1117,1345,1343,1149,1199,993,1043
CDS113375,3745,3088,3489,3314,3193,3088,2972,2815
CDS110757,1574,1431,2421,2253,2091,2054,1298,1391
CDS109025,6385,4598,4385,4361,4857,4001,4521,4870
CDS103712,1614,1587,1724,1563,1741,1417,1456,1513
CDS106163,496,454,346,367,161,183,365,422
CDS110365,30,36,110,93,76,74,25,25
CDS107721,190,148,611,513,630,517,129,152
CDS105233,164,140,407,422,412,366,149,156
CDS109516,49789,48801,44326,43619,51618,38121,44946,44727
CDS106945,755,698,985,953,856,799,600,665
CDS105925,348,466,346,300,284,272,377,340
CDS103762,376,215,302,411,359,338,176,244
CDS106869,6410,4792,3948,3815,4210,3477,4530,4887
CDS110124,7528,6844,4594,4461,4021,4005,6209,6490
CDS105771,94,78,337,324,345,258,70,80
CDS104074,15446,14621,10389,10354,10320,9514,12840,14078
CDS108225,805,704,1177,1090,1131,931,597,688
CDS103578,5050,3369,2369,2558,3904,2437,3098,3856
CDS107105,4134,1076,1150,1601,3797,1277,938,1402
CDS112615,17070,18512,11988,11513,13587,10824,17408,17719
CDS110483,17923,15407,12633,12139,13211,11325,13427,15562
CDS103916,140203,158216,123943,121112,138340,111919,129549,145321
CDS103464,3226,3063,1932,1917,1954,1851,3015,3311
CDS112109,1090,988,2156,2132,2444,1851,979,932
CDS105303,103,82,92,94,118,80,57,80
ncRNA5836691,16,24,2,1,1,1,24,24
CDS110499,2390,2176,2476,2492,2257,2182,1906,2241
CDS113607,1293,1003,1110,1126,1374,1127,1004,1063
CDS111323,81805,70624,36081,36107,31778,35526,62471,71092
CDS108793,5860,4610,3359,3346,3520,3275,3737,4897
CDS105913,7207,5054,4456,4683,9260,4123,5001,5255
CDS107553,47912,39401,5142,10416,2960,9018,36176,45233
CDS112869,2595,2425,2040,1986,1642,1902,2230,2281
CDS112957,9728,8790,6905,6733,6236,6761,7789,8646
CDS111687,1748,1617,1345,1287,1290,1116,1555,1625
CDS108001,1196,1209,918,928,1008,787,974,1088
CDS109298,2358,2020,2485,2207,2020,1938,1919,1949
CDS109550,6492,9854,20169,15295,10029,14033,9637,7174
CDS105583,752,600,611,569,786,477,562,594
CDS113015,1770,1300,2035,1971,1937,1636,1217,1340
CDS105485,1418,1486,1584,1609,1681,1367,1334,1416
CDS105865,444,417,476,396,338,316,362,407
ncRNA105831,1261,1424,1144,934,959,1005,1544,1477
CDS109702,383,320,328,359,504,388,274,390
CDS102880,499,353,631,607,474,418,357,398
CDS111917,5525,5029,7392,6778,6838,6007,4530,5147
CDS102958,1862,1365,3025,2585,3519,2140,1109,1382
CDS102798,150,123,442,358,366,333,99,114
CDS105015,1526,1466,1572,1697,1385,1513,1386,1655
CDS107137,192,75,125,127,335,118,49,65
CDS112571,15716,15170,11610,11162,11012,10318,14490,14188
CDS112087,1737,1451,2019,1972,2432,1767,1234,1371
CDS107349,61,53,80,46,46,50,51,56
CDS108715,6000,4516,5075,4969,4351,4643,4409,4697
CDS107235,1673,1438,1203,1316,1410,1180,1265,1530
CDS111179,133,103,121,144,121,103,96,100
CDS105789,3843,3643,6967,6757,6533,6510,3461,3638
CDS104361,18610,16764,24824,21010,20714,20330,16263,14760
CDS110437,3277,2853,3709,3577,3355,3487,2746,2633
CDS110339,1914,1320,1661,1668,2130,1343,1167,1467
CDS113547,3176,2899,2061,2006,2022,1914,2591,2846
CDS109602,751,509,794,1273,871,954,396,555
CDS106405,15280,12254,7158,7618,8315,6857,10955,13207
CDS109812,1292,1025,837,916,1448,864,1172,1264
CDS108127,410,350,1302,1219,1326,1060,264,309
CDS105897,2025,1634,1397,1400,1533,1262,1690,1731
CDS108459,2298,2333,3028,2854,3117,2585,2106,2340
CDS110329,1788,1752,2069,1950,1920,1702,1569,1745
CDS107713,939,649,992,1043,812,731,519,717
CDS107647,1629,1250,2842,2501,2616,2411,1138,1274
CDS106991,1617,1334,2275,2320,2849,2089,1181,1394
CDS111867,2597,2061,2169,2083,1805,2008,1717,2354
CDS21131608,2194,2407,2226,2071,2123,1962,2145,2342
CDS105183,5050,3530,3601,3398,3642,3142,3140,3734
CDS110074,3218,2704,2278,2164,2179,1917,2420,2725
CDS103212,135,143,275,200,271,185,115,139
CDS109670,174,149,130,135,142,124,135,166
CDS105355,4134,3726,2000,1926,2130,1957,3135,3887
CDS110471,3060,3681,4867,4429,4722,4144,3550,3361
CDS109478,4749,3116,3125,3039,3801,2590,2657,3548
CDS106827,14811,11487,6410,7107,11767,6577,10413,11386
CDS108073,8568,7084,6678,6638,7745,6269,6146,7144
CDS108513,1678,1359,1581,1416,1441,1254,1244,1382
CDS113483,9211,8636,9217,8508,8655,7779,6956,8400
CDS107353,209,162,196,190,160,155,170,167
CDS108057,158,138,411,340,345,333,136,135
CDS108081,14381,11859,11613,11578,12792,10275,9833,12094
CDS112465,277,241,986,932,797,850,254,232
CDS109868,4260,3514,2580,2540,2814,2267,3455,3807
CDS108995,1671,1410,1762,1730,1537,1394,1360,1546
CDS110667,70266,64229,50738,50420,70286,47342,56596,65166
CDS105701,330,330,439,411,421,383,272,318
CDS111473,5326,5097,3856,3698,3512,3567,4662,5164
CDS104493,4182,4450,4036,3951,4132,3443,3846,4327
CDS110973,443,439,259,275,220,229,444,434
CDS112969,24457,21525,10159,10276,9781,9380,22302,20358
CDS103608,680,404,562,601,660,510,348,492
CDS112777,6158,5238,6073,5865,5023,4938,5011,5229
CDS104561,29652,23596,17946,17643,17937,16565,21588,24661
CDS109544,1102,1591,4087,3078,2166,2808,1608,1249
CDS110851,9230,9738,5235,4670,5511,4747,8712,9673
CDS112249,22175,18162,19709,18989,18033,17608,15434,18111
CDS111753,11853,10420,6177,6209,6460,5830,9371,9771
CDS108943,328,235,214,197,208,153,191,228
CDS109776,176380,179309,174829,161750,205494,135044,129847,167747
CDS109376,55,50,85,88,70,69,46,32
tRNA104793,1779,1652,2000,1880,1832,1988,1642,1774
CDS110391,4457,3880,3707,3441,4250,2916,3684,4088
CDS106691,34,45,52,66,58,60,47,41
CDS111979,12553,10429,8474,8007,7934,7412,9908,10145
CDS113661,173,260,742,615,603,583,206,223
CDS106959,297,275,2298,2139,1977,1759,242,278
CDS111857,1346,1092,2587,2309,2271,2005,972,1093
CDS104357,1317,1357,1530,1387,1541,1240,1323,1230
CDS104246,9694,8779,11448,11400,12153,9973,8204,9471
CDS107549,5688,5925,1286,2015,1047,2114,5759,6723
CDS104773,6792,6410,6951,6508,6628,5844,6071,5808
CDS105679,10942,10394,10547,10781,10978,9484,9248,10201
CDS111735,7001,5959,5825,5612,5064,5113,5363,5682
CDS109045,5622,5641,4465,4244,4945,3747,4165,5795
CDS110733,1324,1217,1117,1090,1022,931,1216,1397
CDS112821,792,688,1288,1140,1369,1046,564,652
CDS106841,18955,15754,25428,21288,21816,18283,14125,15803
CDS109992,196,155,327,364,338,245,140,171
CDS107845,4911,4936,4960,4741,4769,4547,4497,4751
CDS113183,722,625,595,553,480,440,626,723
CDS103628,860,745,1932,1780,1864,1626,728,716
CDS110645,630,487,685,781,848,808,384,624
CDS105055,73,69,78,69,80,55,65,58
CDS112321,2425,2001,1674,1611,1416,1328,1752,2096
CDS102938,13103,9881,6990,7046,10484,6750,9165,10693
CDS112919,442,823,356,360,228,369,726,789
CDS106325,1039317,840054,529500,540709,684465,523891,754794,872457
CDS107583,103884,78518,29279,45667,21141,37984,72549,93322
CDS104975,5172,4386,7460,6949,6801,6107,4093,4273
CDS105859,22386,21504,14728,14179,16581,13507,18047,20471
CDS111167,48,33,503,441,283,370,37,51
CDS111055,23268,25188,23626,21613,21856,19203,22687,22489
CDS111513,733,585,1894,1858,2248,1562,527,613
CDS112351,56759,53007,37040,35454,29709,33223,48156,47253
CDS108771,2412,1814,1218,1257,1305,1143,1683,1836
CDS113421,1314,1223,1621,1573,1461,1310,1113,1197
CDS106699,2875,2955,1807,1644,1388,1560,2765,2671
CDS108679,768,647,1133,947,886,787,663,676
CDS110865,11953,7638,9508,8895,13974,7748,6113,8600
CDS113579,556,374,774,728,672,624,327,496
ncRNA302402,11929,9969,8259,8519,9090,8046,9073,10597
CDS107905,435,350,326,320,372,291,363,297
CDS104787,19020,16302,11236,11106,11229,10408,14967,16451
CDS103568,2274,1817,2835,2774,2347,2328,1553,1939
CDS103510,1704,1358,922,873,733,770,1340,1297
CDS108605,2162,1762,1797,1842,1742,1582,1566,1836
CDS111495,3594,3097,4103,4040,5441,3803,2663,3171
CDS104925,5514,5122,4399,4582,4750,3842,4322,4785
CDS106965,135,100,625,475,432,399,85,102
CDS110811,1168,1041,1420,1300,1315,1136,833,1039
CDS103060,686,682,1047,836,795,807,664,723
CDS113799,1529,1352,1237,1195,1035,1127,1276,1379
CDS107589,495,434,214,255,202,240,375,473
CDS112415,1550,1562,867,825,989,817,1379,1621
CDS103552,4646,4250,3718,3512,3873,3153,3893,4164
CDS113993,91942,70275,42079,44518,40666,42986,61555,75926
CDS104751,36,26,37,36,72,34,34,33
CDS107355,68,56,89,90,74,82,52,71
CDS113843,6233,5252,3409,3949,3807,3462,4463,5375
CDS106459,1790,1618,3364,3116,2963,2739,1542,1513
CDS107865,1758,1704,5557,4955,5121,4589,1523,1605
CDS103190,342,296,530,565,601,431,256,356
CDS108281,2142,2791,4415,3350,3856,3104,2493,2268
CDS111975,3347,3233,2477,2469,2270,2286,3086,3151
CDS105431,610,385,865,860,969,702,364,404
CDS112333,2344,2539,2192,2011,2191,1933,2229,2421
CDS106067,1899,1728,2048,1821,1735,1734,1638,1703
CDS105641,371,302,1415,1169,1181,1106,265,276
CDS111931,23612,11127,15842,20015,19732,17982,8964,12443
CDS106345,76126,56465,40330,42119,52359,38229,46531,60836
CDS108097,594,491,1098,1107,969,906,526,520
CDS110847,1602,1313,1655,1510,1557,1366,1147,1301
CDS108797,5158,4733,2957,2737,2187,2518,4477,4177
CDS106069,818,856,604,570,669,516,791,782
CDS103052,2549,2127,2879,2767,3488,2420,1949,2214
CDS112397,1143,1013,1371,1357,1535,1355,970,963
CDS113747,561,383,697,680,535,490,384,478
CDS108263,9996,10096,8619,8429,9569,8363,9386,10281
CDS107947,12388,11167,9759,9215,9475,8358,10931,10443
CDS111807,16329,13501,12748,12566,12653,12148,11514,13370
CDS103166,570,539,829,693,767,698,451,513
CDS109081,12057,9953,6590,6673,7190,6427,8773,10082
CDS113439,237,208,824,744,744,697,170,186
CDS21131618,2282,1841,1614,1640,1945,1528,1756,1932
