gene,E11,E12,E1E21,E1E22,E21,E22,WT1,WT2
CDS112529,593,467,484,498,547,445,451,449
CDS105253,1468,809,1899,1948,2843,1634,715,746
CDS113513,2402,2209,3622,3364,3785,3093,2078,2148
CDS104513,551,639,716,725,663,623,536,564
CDS111627,4539,2795,2235,2454,4435,2087,2675,2840
CDS109504,3721,3715,6206,5814,5939,5268,3463,3462
CDS113031,6065,5724,5741,5502,5499,5140,4837,5572
CDS111173,4310,4947,4472,3738,3550,3579,4559,4116
CDS106849,1166,990,909,993,825,889,879,1145
CDS107075,3107,931,837,1022,3019,834,697,958
CDS106099,241,260,678,678,480,601,232,237
CDS112129,13479,10968,8481,8913,9681,8155,9357,11068
CDS105395,154,149,401,342,349,316,106,133
CDS106327,6645,7373,7127,6156,4990,5629,6588,6795
CDS109634,2498,2151,527,829,599,781,2215,2488
CDS108365,2532,2922,2263,1837,2012,1723,2659,2630
CDS102820,794,709,841,921,931,844,687,753
CDS104417,1992,1699,2370,2407,2511,2139,1724,1858
CDS104531,21222,20297,11780,11748,13037,11036,17685,20110
CDS107841,1828,1721,413,629,281,573,1568,2247
CDS108839,2995,2717,2629,2286,2409,2037,2449,2580
CDS113465,10221,11097,13981,11599,9815,10761,10388,9840
CDS106465,2776,2391,2450,2331,2658,2113,2131,2428
CDS111965,4567,3976,3535,3287,3356,3384,3620,3839
CDS104433,1515,1358,1331,1387,1077,1155,1188,1140
CDS108227,1746,1806,1335,1201,1231,1244,1653,1619
CDS106383,112392,105687,91729,89422,88940,85570,95960,100080
CDS111197,166,123,228,219,237,207,118,144
CDS105379,3200,3048,2590,2328,2097,2138,2778,2763
CDS102930,1005,853,1505,1207,1144,1027,711,791
CDS104355,258,153,343,310,319,251,138,211
CDS110054,21257,20682,17593,15995,16954,15393,18793,19656
CDS112935,92,80,256,227,231,181,70,81
CDS111541,64,52,155,138,131,101,50,57
CDS110687,909,825,474,490,527,485,788,781
CDS105457,6865,6439,4223,3846,5245,3557,5690,6586
CDS112429,509,605,585,519,518,495,551,511
CDS106249,312,199,996,884,978,824,188,224
CDS102970,455,393,1098,986,1274,986,342,415
CDS105137,747,638,998,889,937,876,587,644
CDS110651,244,269,446,444,331,344,270,245
CDS113463,159,150,315,289,310,249,149,145
CDS104445,142,147,187,197,174,134,139,125
CDS107279,6089,4825,2123,2377,2493,1839,3964,4774
CDS110761,5382,4280,5086,4636,5032,3986,3738,4614
CDS105801,640,405,597,673,985,631,356,500
CDS103214,257,231,390,406,367,336,181,260
CDS110130,53915,47145,22516,23306,18091,22412,42390,45347
CDS110367,71,61,143,99,103,82,67,59
CDS106341,7794,7325,8501,7314,7600,6477,6854,7811
CDS113345,5560,4873,2686,2482,2368,2470,4819,4787
CDS104403,1417,1389,1464,1254,1620,1180,1327,1345
CDS108465,106,87,115,122,131,105,96,98
CDS110110,13082,10708,9051,9517,9303,9151,10087,10512
CDS107893,2076,1603,2057,1897,1775,1740,1589,1572
CDS103586,716,793,451,551,444,407,714,703
CDS111563,2566,2583,4225,3711,3483,3039,2287,2491
CDS105887,472,361,556,528,537,464,317,353
CDS103142,403,412,255,286,376,293,323,427
CDS110921,1760,1529,2306,1947,1950,1968,1563,1498
CDS104589,494,484,425,428,390,361,426,422
CDS106119,7129,6742,4742,4406,4510,4469,6611,6651
CDS107581,48622,39163,13466,22148,10414,18505,35098,45340
CDS103864,6339,6847,4539,4392,3722,4016,6402,6295
CDS111669,8035,7714,5610,5679,5142,5267,7100,7280
CDS109678,594,615,1050,914,828,758,517,588
CDS111537,1551,1233,5188,5296,4852,4042,1038,1334
CDS109366,721,326,421,539,1344,407,283,345
CDS105107,606,531,1080,899,1095,900,507,563
tRNA112239,2345,2785,1082,1029,844,980,3036,2607
CDS108567,1503,1292,1593,1549,2008,1442,1241,1314
CDS105243,27,11,85,59,73,53,17,17
CDS113669,180,143,191,199,214,198,144,180
CDS112305,2818,2071,2177,2122,2206,1923,1756,2212
CDS107377,1839,1273,1081,1126,1471,1061,1046,1417
CDS107037,269,215,337,316,327,288,173,211
CDS109472,25394,20860,23669,23191,22853,19164,18981,21329
CDS103030,4426,3755,5010,5064,5560,4735,3249,4111
CDS112455,478,391,412,353,302,263,344,409
CDS109802,2246,1619,1810,1716,1644,1408,1581,1757
CDS111147,5356,4322,5022,4726,4636,3929,3609,4449
CDS103270,17059,13934,11871,11959,13878,10720,12050,14325
CDS104859,2676,2352,5296,4654,4528,4230,2300,2283
CDS105023,4446,3452,7531,6723,7634,6260,3016,3607
CDS105609,379,248,297,308,362,274,199,290
CDS110565,100,63,109,116,173,96,42,61
CDS105691,6685,5698,10871,10308,10213,8834,5659,5502
CDS110451,5227,4809,4097,3953,4133,3687,4795,4599
CDS110657,2076,1814,1671,1625,1466,1333,1711,1815
CDS104559,3003,2588,2574,2380,2306,2033,2352,2682
CDS111065,44,30,162,132,141,119,35,46
CDS110214,8506,8327,7621,7365,7591,6657,7629,8089
