geneID,PAK_AR2A.Expression,s1_9A.Expression
PA1275,80,147
PA4289,427,784
PA2007,3097,5685
PA4323,939,1718
PA5216,504,922
PA2199,545,997
PA0138,290,530
PA0075,278,508
PA3098,91,166
PA2993,889,1621
PA2644,843,1536
PA2878,72,131
PA1264,88,160
PA3774,11,20
PA2060,11,20
PA5458,492,894
PA3760,197,357
PA5356,422,764
PA2241,135,244
PA1932,165,297
PA1218,25,45
PA3495,304,547
PA4577,1018,1830
PA2371,113,203
PA2940,275,494
PA1419,83,149
PA1567,351,630
PA1197,647,1161
PA4855,479,859
PA3458,1222,2191
PA2539,189,338
PA3412,28,50
PA1789,10241,18267
PA4336,709,1263
PA0370,380,676
PA4913,423,752
PA4182,435,772
PA2643,972,1725
PA0101,313,555
PA1129,101,179
PA4556,449,795
PA0121,195,345
PA1948,1047,1851
PA0836,6137,10840
PA1604,766,1352
PA4658,263,464
PA3293,80,141
PA0529,809,1422
PA2691,73,128
PA0793,506,887
PA1203,179,313
PA4448,1211,2117
PA5124,736,1286
PA5006,1899,3316
PA2238,315,550
PA5302,944,1645
PA2577,558,972
PA4027a,85,148
PA5054,2136,3714
PA2630,931,1618
PA5091,361,627
PA4165,163,283
PA4759,788,1368
PA0079,519,901
PA4321,844,1464
PA2071,465,805
PA2914,232,401
PA2606,184,318
PA0300,4688,8091
PA2179,51,88
PA1321,40,69
PA1238,18,31
PA4771,1157,1992
PA1974,25,43
PA4557,469,806
PA4385,22343,38352
PA4489,4966,8520
PA5232,6876,11788
PA2173,14,24
PA4414,3871,6631
PA5449,717,1228
PA1943,589,1008
PA5389,214,366
PA2155,41,70
PA2059,27,46
PA4831,391,665
PA2409,20,34
PA1276,201,341
PA5214,1674,2839
PA5487,4556,7703
PA2150,16,27
PA1927,162,273
PA2542,783,1318
PA0423,14630,24614
PA1483a,370,622
PA3362,241,405
PA2341,25,42
PA1973,153,257
PA0444,289,485
PA4328,1600,2685
PA1864,83,139
PA2501,1466,2452
PA4575,781,1306
PA5378,893,1493
