Gene,PAO1_control1,PAO1_control2,PAO1_control3,PAO1_FBI1,PAO1_FBI2,PAO1_FBI3
dnaA,3895,1291,1652,2370,2399,2384
dnaN,1970,486,538,858,806,870
PA0011,773,933,380,618,497,477
PA0099,286,414,294,396,286,289
PA0981,395,528,462,656,676,885
PA0982,357,2050,1525,3400,3872,4194
PA0983,309,808,543,1511,955,885
PA0984,178,119,73,121,81,110
pyoS5,812,757,693,1664,1178,1008
PA0986,16,30,33,37,22,37
PA0987,40,62,30,101,77,57
PA0988,159,231,106,208,191,144
PA0989,366,318,380,280,250,247
PA0990,87,188,91,239,162,199
PA0100,650,594,403,653,426,388
cupC1,262,475,343,362,364,272
cupC2,71,80,57,103,74,73
cupC3,329,476,277,604,454,393
ogt,663,887,678,952,757,670
pqsA,2832,815,1218,1085,1221,1388
pqsB,5442,4772,4693,1986,3575,3022
pqsC,2036,911,1478,998,1155,1379
pqsD,2650,2547,2823,1378,1726,1701
pqsE,3808,6378,5574,2960,3660,3342
phnA,4627,4282,4280,2740,2967,2937
PA0101,158,320,104,112,101,75
phnB,1267,3264,2324,1172,1297,1233
mvfR,3213,4820,4298,3424,2655,2086
nadA,1458,2638,1826,2225,1860,1437
PA1005,963,1495,533,677,667,490
PA1006,55,178,28,71,71,60
PA1007,312,1360,167,309,324,257
bcp,585,1108,359,322,567,471
PA1009,947,1453,434,797,622,589
dapA,1350,2976,505,1008,886,716
PA1011,1697,3216,646,878,1146,959
PA0102,643,708,576,539,657,789
PA1012,566,3835,509,920,1017,648
purC,1445,3411,1004,1798,1590,1255
PA1014,1001,565,743,794,768,764
PA1015,256,282,210,320,300,233
PA1016,207,301,133,222,206,182
pauA,158,160,138,171,135,111
PA1018,75,77,63,85,51,59
mucK,97,112,90,137,103,81
PA1019a,453,199,239,245,70,161
PA0103,181,591,199,374,211,237
PA1020,235,96,105,132,108,139
PA1021,194,140,202,196,170,171
PA1022,1109,539,828,934,885,786
PA1023,263,116,121,134,100,127
PA1024,229,190,182,151,193,157
PA1025,90,97,62,91,80,45
PA1026,85,650,174,399,255,240
PA1027,448,555,259,641,292,268
PA1028,422,389,302,388,381,326
PA1029,1463,637,1347,1883,1925,2311
PA0103a,413,438,256,534,334,310
PA1030,740,827,987,967,1332,1553
PA1031,675,677,549,1129,918,989
quiP,1196,1263,859,1170,1051,963
PA1033,610,576,437,606,690,777
PA1034,140,178,64,191,138,110
PA1035,518,374,310,894,638,691
PA1036,607,394,382,613,319,332
PA1037,839,576,471,926,572,485
PA1038,111,228,123,246,147,160
coxB,7382,18844,7713,18563,9768,7510
PA1039,416,359,331,439,273,235
PA1040,248,587,311,511,529,436
PA1041,33447,9498,15447,25315,12339,14104
PA1042,358,419,230,850,364,272
PA1043,393,591,295,629,385,258
PA1044,56,209,45,142,90,88
PA1045,471,891,353,574,589,599
PA1046,470,1784,726,1225,1419,1083
PA1047,484,500,190,353,324,305
PA1048,3098,2870,1665,2209,1735,1666
coxA,5891,7904,1881,5648,2956,2394
pdxH,935,393,309,360,422,459
PA1050,421,421,278,308,312,263
PA1051,202,257,134,318,204,182
PA1052,391,420,229,192,229,174
PA1052a,206,104,87,117,115,107
PA1053,8314,6883,4831,10483,5232,5741
PA1054,1128,1269,884,1168,1105,1075
PA1055,165,158,123,168,145,119
PA1056,635,647,542,556,476,480
PA1057,341,260,199,256,206,240
PA0107,1756,2249,562,1561,831,596
PA1058,127,126,58,78,63,54
PA1059,102,83,56,61,74,77
PA1060,245,734,303,900,590,428
PA1061,453,761,747,1193,572,481
PA1062,144,251,118,203,116,93
PA1063,58,101,34,71,33,45
PA1064,202,272,162,448,288,227
PA1065,193,300,177,410,208,191
PA1066,331,829,359,477,339,266
PA1067,42,102,46,99,53,63
coIII,4409,7337,3914,7523,6316,5163
PA1068,413,472,371,459,319,323
PA1069,972,819,832,973,844,704
braG,263,148,230,303,293,255
braF,544,361,383,528,452,386
braE,336,320,319,391,339,319
braD,274,495,283,594,422,329
braC,4641,3798,3562,5871,2929,2746
PA1075,181,581,258,252,347,331
PA1076,858,411,203,1119,475,419
flgB,9789,12293,11679,41414,20114,17796
PA0012,147,371,144,397,411,292
PA0109,2884,5694,3558,4637,5634,5167
flgC,1404,4436,4791,11343,6872,5172
flgD,1128,4507,4656,8242,5541,4008
flgE,5673,7186,6556,11359,5226,4255
flgF,13730,8515,14934,20800,23077,21816
flgG,3289,14424,11080,34344,22938,16519
flgH,1366,12939,9177,19388,7523,4096
flgI,787,9317,2402,3663,1357,889
flgJ,1566,6448,2128,3997,1128,944
flgK,3775,8138,2189,5503,2009,1795
flgL,6986,19561,7801,23426,9399,7000
PA0110,2129,2849,1436,1687,2935,2843
PA1088,883,3097,725,1463,613,498
PA1089,201,374,112,256,119,93
PA1090,168,314,109,221,138,114
fgtA,2446,2559,2184,2118,1758,1349
fliC,136741,323250,183504,534787,199132,148553
PA1093,7942,24920,8058,18795,5719,3616
fliD,29375,62614,26131,75878,34990,24739
PA1095,14175,64415,43245,158445,117466,114682
PA1096,2790,9418,3807,33714,15577,15878
fleQ,2404,1339,1248,3324,2405,2500
PA0111,1214,539,158,241,350,393
fleS,686,10867,3544,18395,8605,6856
fleR,818,5292,1611,4718,970,635
fliE,447,4610,1529,14343,8744,6433
fliF,1177,8742,3016,13223,6317,4399
fliG,1163,3387,983,2646,1122,877
PA1103,322,830,194,378,256,178
fliI,234,746,230,340,232,205
fliJ,181,445,169,200,173,126
PA1106,345,304,113,303,207,204
PA1107,487,1018,472,1143,897,590
PA0112,688,717,261,274,286,277
PA1108,240,382,180,237,201,161
PA1109,230,279,146,163,113,115
PA1110,127,251,94,113,116,88
PA1111,323,783,497,1017,787,980
PA1112,759,1211,584,783,756,668
PA1112a,452,378,211,392,337,324
PA1112b,531,1128,357,689,548,405
PA1113,314,1452,338,534,497,444
PA1114,114,396,112,161,157,128
PA0113,1881,654,303,644,595,754
PA1115,1542,5626,2280,3788,2324,1959
PA1116,94,862,79,232,188,141
PA1117,197,956,307,550,414,263
PA1118,1994,4596,2723,8507,4229,4033
yfiB,664,437,519,469,555,453
tpbB,646,449,539,453,515,425
yfiR,520,799,487,1486,729,485
PA1122,2981,1347,1273,1949,1519,1737
PA1123,181,116,132,157,122,103
dgt,1094,366,543,635,631,573
senC,1170,742,415,558,627,605
PA1125,502,313,337,229,346,288
PA1126,259,324,216,251,272,257
PA1127,806,1904,394,450,431,463
PA1128,166,118,102,148,133,100
PA1129,295,236,209,200,156,117
rhlC,2435,1346,1562,1169,1049,955
PA1131,2374,2544,1314,998,1258,790
PA1132,113,230,123,264,252,191
PA1133,68,76,50,90,57,39
PA1134,147,178,90,132,99,114
PA0115,121,187,80,124,92,76
PA1135,3972,670,677,1947,1253,1484
PA1136,529,610,420,305,264,230
PA1137,1485,1075,1021,775,694,402
PA1138,107,106,123,115,91,120
PA1139,412,360,224,280,196,234
PA1140,479,133,148,259,188,211
PA1141,109,89,63,50,85,44
PA1142,86,131,88,64,78,74
PA1143,38,54,38,56,43,34
PA1144,99,139,76,141,99,110
PA0116,178,372,359,425,296,284
PA1145,83,77,52,66,50,47
PA1146,132,259,111,107,128,94
PA1147,185,212,107,113,95,98
toxA,195,285,164,202,192,149
PA1149,65,56,17,48,42,38
pys2,10244,10302,12149,12679,9447,9591
imm2,6852,4211,2939,5878,2584,2182
PA1153,103,187,113,191,97,122
PA1154,68,95,51,105,69,58
nrdB,6834,2485,3010,4561,2959,2491
PA0117,124,258,106,199,128,183
nrdA,9243,2620,3798,6784,4570,4477
PA1157,198,163,107,142,136,116
PA1158,180,350,222,381,258,221
PA1159,149,199,107,364,244,159
PA1160,420,494,284,319,336,315
rrmA,218,316,131,171,164,111
dapE,282,383,266,223,257,230
ndvB,617,1278,551,738,726,625
PA1164,170,231,92,222,157,103
pcpS,166,145,86,102,124,92
PA0118,62,149,66,93,109,80
PA1166,865,435,350,1205,553,550
PA1167,302,678,407,759,561,555
PA1168,16,45,16,25,14,7
PA1169,254,671,211,345,248,235
PA1170,137,544,127,255,196,169
PA1171,488,933,355,324,293,232
napC,332,1523,533,571,340,255
napB,138,569,191,233,108,72
napA,2106,6787,2834,4250,1745,1016
napD,854,1603,779,1591,710,448
PA0013,113,561,180,306,264,230
PA0119,301,370,279,435,299,328
napF,1227,2591,1106,1700,1055,903
napE,2879,8308,4174,6118,6586,6006
oprH,217806,64803,85885,116349,96921,110440
phoP,4517,1431,1578,1807,2431,2865
phoQ,3043,1483,1882,2058,2517,2590
PA1181,1053,2467,1296,1629,1319,972
PA1182,448,890,423,302,272,233
dctA,205,680,255,1554,589,365
PA1184,120,1004,129,195,236,138
PA1185,59,485,61,146,170,112
PA0120,308,197,199,300,192,177
PA1186,56,883,50,100,148,55
PA1187,152,1025,146,395,297,214
PA1188,645,1388,373,422,509,386
PA1189,268,716,198,215,293,254
PA1190,2185,8272,5158,21613,12471,16549
PA1191,301,1220,479,912,764,507
PA1192,373,661,339,340,440,409
PA1193,141,270,114,136,103,118
PA1194,75,386,83,209,130,127
PA1195,185,262,100,211,180,175
PA0121,247,182,147,239,145,155
PA1196,1212,573,582,393,506,576
PA1197,843,432,999,621,696,690
PA1198,415,273,237,345,331,336
PA1199,988,446,437,469,414,429
PA1200,436,226,204,191,317,255
PA1201,289,234,223,257,212,230
PA1202,1519,568,443,1302,570,427
PA1203,253,147,141,208,126,136
PA1204,571,260,258,445,351,331
PA1205,568,380,269,383,343,281
PA0122,23327,21813,17165,53574,20437,17701
PA1206,154,136,69,185,121,83
kefB,509,424,320,449,369,358
PA1208,469,1329,620,1307,1001,763
PA1209,194,556,159,190,123,154
PA1210,116,323,109,167,113,69
PA1211,132,302,93,76,57,64
PA1212,171,425,176,275,152,96
PA1213,73,171,70,139,126,59
PA1214,169,372,214,192,167,122
PA1215,245,322,205,248,124,156
PA0123,1906,3004,1321,2737,2129,1448
PA1216,573,160,188,244,185,95
PA1217,849,391,426,407,325,233
PA1218,448,145,317,245,187,126
PA1219,48,96,64,68,43,50
PA1220,107,85,100,103,48,68
PA1221,155,130,134,205,143,217
PA1222,586,602,478,448,407,374
PA1223,219,352,165,230,209,187
PA1224,72,57,45,81,44,67
PA1225,104,162,111,131,85,92
PA0124,112,305,109,145,158,146
PA1226,262,159,141,90,145,143
PA1227,142,133,109,76,82,109
PA1228,28,22,15,38,21,31
PA1229,68,84,64,45,76,61
PA1230,46,50,48,76,45,48
PA1231,31,39,23,80,68,51
PA1232,177,175,124,164,127,121
PA1233,47,24,28,39,28,29
PA1234,107,54,31,49,47,35
PA1235,58,51,45,33,47,29
PA0125,261,380,174,228,233,218
PA1236,117,284,253,465,389,362
PA1237,26,135,55,75,75,72
PA1238,170,373,212,304,234,214
PA1239,124,228,144,203,181,166
PA1240,82,175,65,133,122,75
PA1241,55,45,32,59,37,32
PA1242,259,537,232,355,309,234
PA1243,933,918,660,742,715,641
PA1244,7134,7252,7879,5336,3766,3353
PA1245,7011,10261,9520,3957,6338,3175
PA0126,99,525,99,133,131,69
aprD,1145,1432,1329,786,690,471
aprE,1019,1047,1640,1312,775,519
aprF,715,1552,1179,841,558,346
aprA,10624,9522,7632,8274,4341,2237
aprI,753,1318,862,559,485,518
PA1251,631,1616,803,450,569,506
PA1252,620,714,500,452,409,340
PA1253,115,205,113,114,106,82
PA1254,47,41,28,71,52,31
PA1255,353,376,446,198,455,252
PA0127,255,225,74,147,159,133
PA1256,108,80,66,162,114,97
PA1257,88,96,60,94,86,59
PA1258,33,72,42,82,43,59
PA1259,165,311,195,238,236,178
PA1260,138,453,440,689,482,696
PA1261,137,140,198,124,113,121
PA1262,142,194,125,116,120,136
PA1263,381,213,232,287,279,252
PA1264,210,241,187,264,143,151
PA1265,31,20,25,41,37,30
PA0128,401,389,322,410,438,419
PA1266,40,33,21,37,33,23
PA1267,23,31,26,29,22,16
PA1268,25,27,18,38,15,23
PA1269,194,93,75,181,155,160
PA1270,117,119,68,104,61,79
PA1271,333,312,407,443,379,301
cobO,211,140,149,212,146,119
cobB,160,116,83,93,77,73
PA1274,42,21,26,31,28,16
cobD,39,39,33,37,34,28
PA0014,28,199,30,76,78,49
gabP,622,1133,583,647,612,591
cobC,60,48,27,30,35,31
cobQ,72,78,55,77,33,31
cobP,25,28,22,17,14,14
cobU,54,39,35,37,28,45
PA1280,20,41,19,30,16,28
cobV,98,128,48,88,73,73
PA1282,239,221,120,186,145,138
PA1283,1616,1130,1300,737,1157,892
PA1284,390,509,355,435,348,327
PA1285,150,185,89,102,106,93
PA0130,1388,733,871,1034,980,824
PA1286,64,645,37,68,91,32
PA1287,1060,862,550,668,560,459
PA1288,3113,2148,1946,2757,2494,2252
PA1289,515,4534,1445,3104,2303,2019
PA1290,117,81,103,157,141,146
PA1291,75,110,50,73,66,45
PA1292,586,373,336,355,435,505
PA1293,282,202,126,235,184,200
rnd,422,413,263,569,397,410
PA1295,42,42,34,63,36,45
PA0131,476,381,523,682,806,573
PA1296,333,1051,378,401,442,398
PA1297,311,1262,250,339,295,296
PA1298,152,876,104,390,242,254
PA1299,94,241,45,80,106,89
PA1300,925,204,286,335,560,490
PA1301,849,309,282,272,530,487
PA1302,763,1057,600,1129,920,996
PA1303,54,127,24,50,39,45
PA1304,488,500,301,325,335,295
PA1305,130,310,110,329,275,307
PA0132,273,292,232,292,232,251
PA1306,192,425,189,205,263,218
PA1307,800,570,531,624,593,531
PA1308,222,227,188,194,219,211
PA1309,240,207,169,191,216,193
phnW,369,147,149,195,169,171
phnX,192,147,108,152,93,80
PA1312,112,149,63,56,88,90
PA1313,130,129,90,108,68,58
PA1314,125,98,99,95,66,62
PA1315,221,224,147,228,200,220
PA0133,202,271,168,286,188,178
PA1316,354,1147,625,645,532,383
cyoA,88,168,141,229,117,113
cyoB,437,789,537,968,584,593
cyoC,61,171,77,147,81,72
cyoD,57,149,77,102,77,50
cyoE,122,229,89,99,66,67
PA1322,170,255,132,311,192,173
PA1323,2024,6817,4597,9332,6887,7302
PA1324,1614,1774,804,2368,1293,1219
PA0134,405,509,316,469,374,383
PA1325,24,45,27,59,32,38
ilvA2,109,190,61,119,76,61
PA1327,2509,3621,2620,3909,2563,2263
PA1328,381,646,344,278,304,244
PA1329,10,62,7,21,11,11
PA1330,154,280,85,160,124,127
PA1331,166,506,123,164,156,135
PA1332,641,8943,1392,806,857,625
PA1333,492,1771,564,828,490,440
PA1334,166,424,237,327,278,300
PA0135,8,15,4,12,9,8
PA1335,387,552,376,632,340,312
PA1336,400,737,369,537,495,390
ansB,11411,2242,4903,5066,5669,5197
ggt,1294,1172,767,1000,852,801
PA1339,1474,1424,683,1274,639,596
PA1340,667,776,332,861,391,342
PA1341,405,1016,423,650,481,393
PA1342,15831,15115,15601,27416,14581,12726
PA1343,347,251,316,374,294,292
PA1344,758,698,571,863,467,387
PA0136,115,228,102,253,174,110
PA1345,685,36344,7675,24226,11050,8096
PA1346,85,5156,429,416,196,98
PA1347,103,1689,103,176,147,101
PA1348,146,669,136,215,152,121
PA1349,215,585,231,878,285,266
PA1350,247,666,225,391,243,184
PA1351,180,798,173,195,151,84
PA1352,52,541,39,87,65,32
PA1353,1121,396,365,1143,512,412
PA1354,746,431,483,1478,554,464
PA0137,86,93,75,117,84,85
PA1355,135,490,393,1167,642,517
PA1356,496,1310,672,1470,719,536
PA1357,238,352,205,288,163,134
PA1358,367,481,326,635,405,373
PA1359,114,463,140,255,330,320
PA1360,184,560,200,207,329,186
PA1361,263,586,192,172,242,184
PA1362,190,308,108,162,178,183
PA1363,101,481,84,158,148,145
PA1364,40,318,29,43,46,23
PA0138,126,152,82,151,118,100
PA1365,284,1566,230,338,318,227
PA1366,340,1425,465,2731,1677,1487
PA1367,73,68,49,80,49,79
PA1368,189,196,113,300,171,150
PA1369,615,579,672,731,599,610
PA1370,978,472,965,944,915,771
PA1371,1691,989,1114,1110,1234,1313
PA1372,11922,4955,7242,5664,5346,5020
fabF2,331,349,226,278,182,247
PA1374,62,48,37,47,52,65
PA0015,259,338,213,210,203,239
ahpC,35842,3715,7748,14690,13339,14439
pdxB,503,344,260,195,288,235
aceK,2056,509,897,879,1090,1195
PA1377,442,301,291,255,234,264
PA1378,61,61,34,52,75,87
PA1379,109,100,60,137,77,88
PA1380,185,240,136,171,138,135
PA1381,58,129,35,128,66,52
PA1382,2910,3041,3412,2915,3543,3712
PA1383,418,1073,545,1913,1171,1216
galE,118,206,147,204,123,156
ahpF,2398,459,732,1294,1295,1227
PA1385,205,291,217,409,298,286
PA1386,248,416,237,502,341,325
PA1387,421,1071,615,1530,1113,1242
PA1388,112,229,160,355,239,323
PA1389,144,302,161,405,190,189
PA1390,73,181,91,200,133,104
PA1391,109,173,87,200,102,101
PA1392,201,611,469,874,735,793
cysC,62,122,72,187,168,131
PA1394,25,40,12,50,12,25
PA0141,1047,1533,1233,902,597,540
PA1395,53,60,43,82,58,43
PA1396,94,236,86,157,140,126
PA1397,127,108,70,93,90,92
PA1398,81,76,42,43,28,66
PA1399,119,150,65,159,187,177
PA1400,342,369,285,343,192,264
PA1401,151,146,61,168,105,79
PA1402,250,467,370,684,440,392
PA1403,200,337,200,332,220,206
PA1404,513,1370,1868,2377,1608,1741
PA0142,152,223,173,155,132,156
PA1405,119,110,78,110,98,80
PA1406,150,212,129,203,185,183
PA1407,74,95,56,57,60,50
PA1408,764,1667,1193,1755,1661,2358
aphA,113,138,88,151,115,107
PA1410,79,91,42,111,64,63
PA1411,152,155,74,119,70,80
PA1412,138,156,91,86,61,50
PA1413,176,275,182,212,257,196
PA1414,3027,7708,4269,12143,9469,11143
nuh,754,344,404,442,354,365
PA1415,486,2904,954,2773,2128,1754
PA1416,422,4671,773,1854,1508,1259
PA1417,186,2818,278,621,765,311
PA1418,283,2664,332,770,611,463
PA1419,279,2804,395,571,532,405
PA1420,41,559,85,150,112,73
gbuA,120,1159,237,279,271,150
gbuR,263,1339,280,308,280,232
bdlA,1650,7424,2499,4145,1977,1830
PA1424,66,231,67,87,67,79
PA0144,208,220,153,145,141,120
PA1424a,51,124,34,70,60,41
PA1425,61,265,68,138,99,41
PA1428a,164,277,112,223,194,126
PA1428,38,234,51,90,88,46
PA1429,1723,1284,871,951,1063,1027
lasR,9286,11781,9243,14448,9753,7592
rsaL,8052,10218,10334,8891,7488,5845
lasI,45246,9022,14888,18603,11647,12513
PA1433,823,1311,633,578,710,564
PA1434,256,576,264,336,342,231
PA0145,102,163,109,71,87,75
PA1435,117,551,87,213,139,132
PA1436,426,1288,510,851,605,583
PA1437,154,164,48,125,122,118
PA1438,293,372,163,214,204,145
PA1439,495,1229,678,1501,1518,1249
PA1440,1834,2146,1366,4165,2935,2603
PA1441,4188,12770,11271,25881,18864,22953
PA1442,3019,12851,7984,22867,18817,15961
fliM,3941,18302,11634,22751,14215,9522
fliN,593,3181,1666,2858,1857,1361
PA0146,108,175,146,210,162,143
fliO,280,1379,315,753,468,319
fliP,690,2267,737,1354,1138,854
fliQ,154,338,148,530,309,257
fliR,229,449,214,719,391,378
flhB,216,342,125,207,160,134
PA1450,198,225,158,278,193,200
PA1451,113,363,175,953,616,597
flhA,5174,18988,12377,32939,29022,31175
flhF,14563,51123,40532,94697,75027,75365
fleN,2604,7737,3309,11100,5532,4425
PA0147,194,138,97,139,114,113
fliA,3449,10659,3085,13092,7438,4949
cheY,2239,3289,1999,2318,1791,1545
cheZ,2156,2930,1252,2132,1247,1030
PA1458,7867,29290,10272,23990,11839,7728
PA1459,1373,3021,1072,1343,900,811
motC,458,562,244,334,279,245
motD,663,1040,659,2367,1143,1070
PA1462,961,4504,1842,8251,4268,3221
PA1463,5658,23650,15643,28946,18830,19414
PA1464,5079,10747,5364,12126,4565,3677
PA0148,304,174,206,300,217,234
PA1465,936,4153,960,1758,1227,1094
PA1466,257,1008,361,1475,902,834
PA1467,111,293,112,415,235,216
PA1468,104,98,42,73,95,72
PA1469,254,227,150,141,167,162
PA1470,229,297,122,289,162,155
PA1471,273,545,488,1447,1041,1355
PA1472,118,221,106,207,108,93
PA1473,245,778,373,391,204,225
PA1474,2866,5669,3363,5851,3378,3214
trkA,847,1146,1117,1401,992,783
PA0149,79,104,48,55,52,42
ccmA,185,247,133,175,223,180
ccmB,248,414,250,304,317,318
ccmC,412,347,194,242,221,193
PA1478,42,26,42,51,35,36
ccmE,288,359,266,220,215,180
ccmF,906,940,984,1106,761,674
ccmG,259,317,210,254,184,213
ccmH,119,155,125,108,118,67
cycH,305,450,283,237,257,218
PA1483a,153,267,143,190,239,171
PA0150,57,39,29,34,25,40
PA1484,120,111,70,147,87,91
PA1485,156,176,95,183,121,119
PA1486,313,170,138,120,199,158
PA1487,239,179,153,149,142,159
PA1488,237,225,185,311,215,205
PA1489,143,201,164,247,209,182
PA1490,84,103,86,96,70,82
PA1491,214,447,216,572,295,278
PA1492,62,64,41,86,45,66
cysP,1446,442,559,793,834,919
PA0151,100,123,79,141,109,107
PA1494,479,560,342,637,391,422
PA1495,108,135,99,55,62,46
PA1496,94,131,105,169,92,122
PA1497,66,85,47,95,44,65
pykF,69,84,51,80,71,52
PA1499,56,65,55,76,39,42
PA1500,90,63,55,142,99,70
PA1501,701,643,897,606,793,812
gcl,226,414,264,349,282,280
PA1503,93,71,86,58,112,84
pcaQ,126,134,76,132,114,129
PA1504,155,112,165,179,141,121
moaA2,1115,894,442,648,754,732
PA1506,112,190,105,83,88,76
PA1507,346,642,363,395,413,397
PA1508,47,60,32,121,78,74
PA1509,1018,1059,1046,1208,1032,1040
PA1510,472,658,457,939,567,514
PA1511,176,315,166,405,284,342
hcpA,2,0,8,6,7,9
PA1513,826,355,313,412,413,408
pcaH,596,234,219,357,388,467
PA1514,430,343,377,490,413,400
alc,712,637,422,558,564,583
PA1516,245,134,109,138,77,118
PA1517,1096,430,835,920,721,787
PA1518,292,155,219,450,399,442
PA1519,101,259,177,192,208,178
PA1520,810,526,307,705,409,344
PA1521,547,527,343,506,352,243
PA1522,460,475,242,315,256,209
xdhB,2524,1876,1567,1487,1011,963
pcaG,314,164,145,225,225,265
xdhA,578,969,586,906,730,697
alkB2,683,720,464,8268,6087,6060
PA1526,285,846,416,719,582,484
PA1527,1266,1837,1397,1505,1644,1584
zipA,11440,6812,7531,9725,10035,10233
lig,997,2158,1165,1753,1399,1050
PA1530,179,313,173,212,177,197
PA1531,126,336,114,220,226,213
dnaX,2257,1561,1406,1959,1852,1772
pcaR,409,120,167,262,205,186
PA1533,2290,790,665,1280,831,785
recR,136,149,57,91,77,75
PA1535,243,317,191,295,236,314
PA1536,142,173,118,132,128,114
PA1537,192,201,96,349,159,120
PA1538,614,408,324,8799,5580,8661
PA1539,539,1017,682,1301,1291,1573
PA1540,149,330,273,464,530,463
PA1541,194,584,434,935,907,880
PA1542,264,331,258,2785,1939,3157
PA0156,670,543,518,816,482,451
apt,157,191,152,174,147,125
anr,1819,2245,1333,2007,1711,1538
PA1545,7893,27722,23991,85063,33582,38075
hemN,11867,6355,5234,17023,11394,11541
PA1547,313,615,270,865,613,554
PA1548,179,256,165,404,237,266
PA1549,1338,1831,1316,1431,1389,1310
PA1550,1116,942,657,574,487,468
PA1551,6588,4937,9357,5999,5851,4958
ccoP1,2266,1561,1296,2122,1388,1210
PA0157,659,498,412,508,351,312
ccoQ1,475,487,511,827,348,205
ccoO1,1188,864,929,1489,669,466
ccoN1,3647,2032,2399,4764,2851,2481
ccoP2,2693,1511,1886,2447,1655,1759
ccoQ2,973,1084,1355,1164,834,765
ccoO2,3738,1197,2123,2673,1737,1640
ccoN2,11563,2028,6957,6907,9818,9955
PA1558,165,236,169,162,160,203
PA1559,365,2165,789,2584,1003,797
aer,3983,6590,3938,4326,3577,3696
PA0158,1909,1338,1340,1334,1336,1219
acnA,14489,14205,12390,15680,9360,8307
PA1563,410,362,368,424,299,257
PA1564,146,142,70,149,174,148
PA1565,177,253,145,246,133,112
PA1566,191,412,214,400,149,131
PA1567,349,400,267,250,224,257
PA1568,70,184,84,117,88,85
PA1569,140,226,131,222,210,189
PA1570,251,295,208,229,244,266
PA1571,888,1348,735,2691,1295,1035
PA0017,313,560,548,368,495,505
PA0159,415,268,225,268,329,253
PA1572,4070,3442,2942,3511,2989,2770
PA1573,514,699,480,510,551,489
PA1574,98,122,55,212,132,86
PA1575,512,2053,938,2651,1995,1796
PA1576,688,448,363,427,424,461
PA1577,275,198,203,261,238,251
PA1578,409,325,304,329,199,226
PA1578a,56,82,71,158,103,125
PA1579,1447,1282,720,1642,1050,888
gltA,10358,1914,2735,4709,4002,4295
PA0160,145,153,103,209,128,116
sdhC,926,749,702,1032,921,772
sdhD,606,542,558,781,816,727
sdhA,5072,1320,2059,2737,2605,2732
sdhB,3374,964,1608,2717,2062,1871
sucA,15170,4087,7554,10147,8227,7812
sucB,6904,2461,3024,7428,3134,3318
lpdG,6058,2823,3118,4484,3079,2782
sucC,10485,1918,2650,4307,3852,4377
sucD,2490,681,580,1059,938,849
braB,907,672,442,590,472,393
opdC,107,201,119,301,230,160
PA1591,84,205,65,281,153,133
PA1592,12398,13787,5213,23350,9088,8405
PA1593,42,79,37,48,36,39
PA1594,30,52,12,41,19,38
PA1595,116,233,113,101,141,116
htpG,2858,738,1828,2093,2274,1983
PA1597,325,298,239,192,171,195
PA1598,101,121,62,72,88,72
PA1599,72,143,69,49,56,46
PA1600,88,191,112,79,104,58
PA0163,65,116,54,66,74,60
PA1601,145,327,206,228,210,187
PA1602,53,91,64,100,74,64
PA1603,87,234,113,205,143,153
PA1604,1418,885,841,990,925,922
PA1605,661,739,573,1210,851,962
PA1606,89,194,88,146,147,170
PA1607,439,626,446,424,305,214
PA1608,568,4076,1092,2367,1412,1253
fabB,3903,2269,2602,5106,2393,2179
fabA,427,543,457,1131,787,636
PA0164,96,243,92,219,141,134
PA1611,464,1234,638,4797,1993,1595
PA1612,111,572,323,1071,890,813
PA1613,565,940,713,1875,1483,1643
gpsA,1788,1384,1131,2184,1670,1750
PA1615,440,212,166,278,117,157
PA1616,456,344,272,367,311,284
PA1617,4238,1308,1751,3655,4298,4116
PA1618,456,367,470,397,488,446
PA1619,144,172,74,110,115,94
PA1620,48,56,19,59,37,41
PA0165,165,385,188,494,342,282
PA1621,317,281,203,197,198,207
PA1622,262,134,107,125,154,159
PA1623,899,410,321,357,451,540
PA1624,431,240,186,180,283,274
PA1625,380,860,419,793,899,1198
PA1626,95,106,65,100,64,63
PA1627,210,134,116,157,143,141
PA1628,180,174,100,123,83,114
PA1629,81,79,65,64,56,70
PA1630,197,157,110,267,192,175
PA0166,209,577,224,306,295,217
PA1631,125,76,56,110,86,87
kdpF,1632,17639,8094,19564,10783,10364
kdpA,1011,19999,5760,8263,4050,3243
kdpB,243,23370,3091,3696,623,282
kdpC,52,4819,341,781,87,36
kdpD,396,3137,339,604,277,203
kdpE,104,121,42,86,67,50
PA1638,34,39,8,45,22,14
PA1639,79,88,53,80,90,70
PA1640,299,222,173,337,262,250
PA0167,402,418,287,307,440,255
PA1641,688,157,276,542,339,396
selD,852,500,583,591,497,450
PA1643,408,569,358,455,339,281
PA1643a,641,818,507,1692,893,801
PA1644,325,300,242,278,268,244
PA1645,299,249,190,296,221,198
PA1646,509,478,407,450,418,317
PA1647,308,192,205,342,195,232
PA1648,280,244,159,3324,890,446
PA1649,96,128,113,475,200,178
PA0168,43,99,36,56,55,22
PA1650,495,356,255,354,275,208
PA1651,428,354,273,361,300,261
PA1652,132,85,69,111,86,86
PA1653,51,32,29,61,62,38
PA1654,440,143,208,228,225,236
PA1655,195,68,109,154,139,136
PA1656,1260,746,933,964,887,754
PA1657,351,201,348,363,287,251
PA1658,556,326,370,620,352,320
PA1659,33,24,13,36,22,16
PA0169,52,178,56,63,95,52
PA1660,157,163,136,190,141,127
