Gene,PAO1_control1,PAO1_control2,PAO1_control3,PAO1_FBI1,PAO1_FBI2,PAO1_FBI3
PA5152,1749,1045,2134,2280,2553,2521
PA5153,2492,584,881,2005,1264,1216
PA5154,248,90,115,176,171,196
norC,1509,2886,1936,4141,5545,3442
PA5155,151,92,88,115,134,96
PA5156,115,156,109,188,148,122
PA5157,123,130,105,136,96,104
PA5158,386,357,298,300,263,252
PA5159,460,406,491,505,342,339
PA5160,720,590,518,888,615,529
rmlB,3086,863,927,1339,1352,1387
rmlD,1508,640,744,707,963,890
rmlA,2125,460,754,948,1050,1187
norB,352,660,388,624,568,179
rmlC,760,168,237,397,319,356
PA5165,850,541,529,583,666,756
PA5166,677,357,341,358,330,274
PA5167,3099,2045,1975,6749,2486,2254
PA5168,426,768,379,510,533,561
PA5169,455,396,213,307,269,253
arcD,20605,8313,15893,23552,13354,10590
arcA,31235,10080,15612,25692,11132,8743
arcB,41324,12541,15588,37926,11363,8481
arcC,6202,4178,3990,6169,2758,2002
PA0525,348,1460,692,1206,1589,881
PA5174,1494,1399,926,866,913,981
cysQ,575,781,407,440,459,347
PA5176,552,458,231,400,223,228
PA5177,404,375,208,447,306,332
PA5178,7633,3414,2437,8833,3166,3040
PA5179,279,275,140,584,250,255
PA5180,1261,11214,873,1529,1233,1231
PA5181,5932,10043,1728,2748,2637,3563
PA5182,821,559,374,1117,474,465
PA0052,703,1054,670,1000,841,754
PA0526,310,863,533,819,1106,675
PA5183,115,118,82,101,64,56
PA5183a,177,190,176,171,206,160
PA5184,316,295,185,282,281,221
PA5185,237,335,164,186,165,169
PA5186,1269,1538,1125,865,1133,769
PA5187,819,481,542,594,393,403
PA5188,397,226,236,244,217,228
PA5189,164,162,120,122,128,137
PA5190,105,88,97,80,94,83
PA5191,118,99,49,202,145,139
dnr,804,404,412,487,486,474
pckA,649,372,448,831,657,682
yrfI,161,176,143,211,189,182
PA5194,166,175,157,222,169,213
PA5195,216,145,161,214,267,278
PA5196,91,61,29,95,85,114
rimK,157,162,88,199,156,166
PA5198,360,287,190,220,262,192
amgS,280,278,138,257,243,212
amgR,660,371,260,385,393,417
PA5201,322,502,270,420,344,298
PA5202,79,188,85,76,97,78
gshA,1180,1116,727,831,801,819
argA,354,433,202,237,266,183
PA5205,313,418,182,282,267,294
argE,1226,805,699,591,839,781
PA5207,247,604,206,258,213,187
PA5208,1081,1667,814,3390,2156,1892
PA5209,1018,1651,1002,2907,1664,1958
PA5210,4383,5532,4158,3707,3759,3078
PA5211,485,795,444,321,302,280
PA0528,61,121,66,139,135,112
PA5212,1634,8764,4069,9844,6194,6901
gcvP1,3402,6345,3938,4833,3340,2788
gcvH1,855,545,1189,1342,894,784
gcvT1,1452,824,1272,1791,1384,1296
PA5216,439,524,379,413,448,448
PA5217,1660,258,534,728,1103,1324
PA5218,460,426,298,365,290,328
PA5219,3455,1000,1487,1650,1880,1785
PA5220,12113,615,2048,2936,3365,3575
PA5221,1553,482,602,677,727,745
PA0529,153,1005,226,360,227,166
PA5222,177,97,110,134,108,95
ubiH,806,666,671,528,544,488
pepP,1841,922,1104,1178,1202,1021
PA5225,615,514,407,462,410,315
PA5226,2449,1358,1602,2297,2268,2267
PA5227,523,387,223,484,340,370
PA5228,424,834,416,740,841,840
PA5229,1257,1222,1482,1771,1226,948
PA5230,379,722,475,583,452,294
PA0530,132,627,166,184,125,82
PA5231,1043,1149,821,780,790,804
PA5232,4661,1372,2377,1440,1868,2148
PA5233,139,155,103,220,138,147
PA5234,542,389,396,1707,1052,721
glpT,263,553,294,453,350,305
PA5236,380,300,251,226,229,271
PA5237,576,174,237,311,383,469
PA5238,216,332,183,473,333,344
rho,3344,2762,2515,3791,2194,1820
trxA,1854,1442,661,1686,867,756
PA0531,149,593,209,488,277,325
ppx,1102,823,753,982,942,959
ppk,7822,3555,3606,3701,3521,3609
hemB,8745,3216,4260,4187,3249,3399
PA5244,208,189,140,295,261,192
PA5245,1959,412,325,773,659,613
PA5246,105,186,102,97,103,105
PA5247,299,470,255,275,231,229
PA5248,365,785,356,524,381,436
PA5249,205,1049,347,818,549,362
PA5250,863,1021,699,1064,729,680
PA0532,228,306,240,295,337,297
PA5251,422,481,450,689,606,587
PA5252,1336,2494,4284,1951,3419,2758
PA5252a,1482,1865,1906,1739,1615,1349
algP,8265,4454,2789,4920,4102,3976
PA5254,154,267,94,220,159,113
algQ,1496,2008,941,1964,1311,1168
dsbH,121,250,91,118,111,86
PA5257,1321,1187,741,730,1060,970
PA5258,1098,1155,527,850,1056,1012
hemD,927,1765,646,1077,1420,1469
PA0533,182,254,211,226,199,172
hemC,860,1266,499,430,548,567
algR,2560,3946,2193,4693,2973,2567
algZ,1421,2681,2046,6882,4000,4562
argH,1752,802,749,1092,1041,1072
PA5264,497,784,508,994,746,714
PA5265,582,1042,641,1139,858,979
PA5266,129,378,131,295,181,156
hcpB,58,262,180,632,218,149
corA,404,172,169,348,238,276
PA5269,490,527,332,472,340,268
PA0534,575,4040,5493,2889,667,654
PA5270,313,321,197,424,332,330
PA5271,657,1638,1110,2181,1771,1978
cyaA,940,2730,982,1860,1521,1450
PA5273,97,306,103,128,131,85
rnk,225,199,102,221,161,152
PA5275,247,830,499,493,647,567
lppL,193,153,160,213,193,164
lysA,1591,471,461,508,677,724
dapF,1000,465,440,475,466,513
PA5279,684,511,374,441,383,372
PA0053,169,430,231,570,388,375
PA0535,93,758,637,426,165,172
sss,193,288,138,169,168,161
PA5281,145,152,82,141,82,81
PA5282,92,251,136,196,140,155
PA5283,413,566,293,410,369,326
PA5284,116,154,53,106,110,71
PA5285,4406,3403,3257,14419,6869,4926
PA5286,276,640,449,2061,1392,1219
amtB,338,411,283,527,342,284
glnK,8137,7172,5747,8105,4168,3231
PA5289,87,66,76,83,102,85
PA0536,285,652,253,330,233,165
PA5290,293,422,263,490,355,338
PA5291,487,496,324,674,544,476
pchP,599,465,748,582,562,583
PA5293,150,210,128,182,142,132
PA5294,179,309,175,260,231,202
PA5295,753,472,316,418,418,359
rep,357,612,361,620,474,423
poxB,306,768,244,404,284,254
PA5298,361,281,262,388,290,319
PA5299,778,1077,413,567,564,439
PA0537,503,885,632,929,745,674
cycB,308,456,297,470,587,502
PA5301,3232,2438,2177,2558,1840,1775
dadX,161,387,243,229,193,159
PA5303,222,586,447,356,199,133
dadA,2130,2359,2911,2598,1727,1255
PA5305,1155,556,627,799,495,557
PA5306,1197,622,806,1251,407,436
PA5307,2445,1779,2343,2385,1611,1422
lrp,916,616,507,667,879,882
PA5309,180,165,123,171,145,147
dsbB,197,202,119,143,166,168
PA5310,285,416,271,384,303,299
PA5311,180,251,241,161,154,122
PA5312,5113,1124,2128,3233,2388,2472
PA5313,1825,630,863,1043,979,962
PA5314,184,41,65,113,82,65
rpmG,720,267,233,645,335,274
rpmB,1386,472,580,1118,749,653
PA5317,1080,501,458,654,582,533
PA5318,338,393,244,244,245,172
PA0539,49,172,68,122,117,117
radC,304,317,200,319,314,255
coaC,549,669,502,895,700,646
dut,134,138,76,132,117,94
algC,1953,1841,1759,3141,2067,2069
argB,794,683,567,1053,666,602
PA5324,352,356,247,382,370,287
PA5325,119,146,115,140,173,191
PA5326,53,77,27,56,53,24
PA5327,55,189,80,185,128,141
PA5328,13,41,10,15,20,12
PA0540,88,130,67,119,88,106
PA5329,381,292,196,408,333,337
PA5330,804,841,595,1233,938,965
pyrE,947,1146,975,1594,1411,1387
crc,865,949,618,1185,803,709
PA5333,112,100,62,136,112,85
rph,584,523,398,641,431,411
PA5335,663,427,411,623,490,583
gmk,240,365,214,383,232,207
rpoZ,231,257,185,269,235,252
spoT,2525,928,1295,1399,1658,1631
PA0541,197,163,142,173,142,146
PA5339,324,182,135,237,206,137
PA5340,188,177,133,188,145,131
PA5341,74,267,60,72,63,38
PA5342,89,186,55,90,72,61
PA5343,307,492,215,168,213,190
oxyR,695,647,353,531,545,674
recG,879,1717,659,858,848,807
PA5346,4291,2718,1798,2194,2252,2141
PA5347,304,509,186,387,343,311
PA5348,2459,5078,2143,5421,4503,4056
PA0542,1046,214,316,471,352,310
PA5349,1388,1500,890,970,856,837
rubA2,1385,950,875,2012,1095,1049
rubA1,102,104,91,155,92,96
PA5352,79,235,86,114,69,55
glcF,109,362,114,125,95,69
glcE,73,230,58,53,71,26
glcD,223,499,208,370,240,200
glcC,1333,1180,620,1340,972,951
PA5357,342,949,365,1098,395,309
ubiA,1838,3451,1852,5162,1963,1434
PA0543,812,2007,1556,1185,1570,1302
PA5359,2460,4030,2634,8593,2881,1959
phoB,465,559,628,828,763,883
phoR,239,395,186,219,228,229
PA5362,534,446,327,389,404,349
PA5363,1187,1039,961,2113,1475,1335
PA5364,873,823,485,797,585,567
phoU,530,279,366,341,300,240
pstB,451,425,360,485,375,364
pstA,190,282,241,237,201,190
pstC,209,245,162,309,197,194
PA0544,304,866,475,480,483,380
pstS,267,320,207,385,265,283
PA5370,271,233,169,476,303,357
PA5371,591,365,257,274,367,280
betA,585,737,604,654,711,630
betB,926,581,636,679,707,633
PA0054,370,577,325,443,362,337
PA0545,502,940,517,469,357,327
betI,198,166,195,216,226,219
betT1,113,160,95,206,96,148
PA5376,1039,369,411,670,405,366
PA5377,369,264,224,347,291,214
PA5378,892,521,500,839,684,588
sdaB,581,521,406,483,370,359
gbdR,1220,1898,1531,951,844,744
PA5381,606,350,380,146,298,261
PA5382,68,54,33,43,23,45
PA5383,54,37,28,43,33,36
metK,1077,2200,1562,3159,936,663
PA5384,14,17,15,25,7,2
cdhB,6,17,6,14,7,8
cdhA,22,36,17,38,23,26
cdhC,46,67,34,121,60,43
PA5388,60,184,152,213,131,119
cdhR,159,53,89,76,82,67
PA5390,84,68,53,54,59,35
PA5391,28,22,13,29,28,24
PA5392,54,39,34,60,45,34
PA5393,83,79,44,103,62,60
PA0547,977,4400,2473,5026,1867,1278
cls,275,137,129,145,139,118
PA5395,66,21,28,70,30,35
PA5396,496,97,148,245,228,240
PA5397,507,90,174,230,223,188
dgcA,1527,419,643,718,680,584
dgcB,381,173,204,249,186,162
PA5400,128,88,45,51,49,45
PA5401,134,66,107,117,69,59
PA5402,96,125,91,138,105,110
PA5403,61,116,83,153,129,122
tktA,3338,1211,1898,2888,1926,1819
PA5404,106,186,100,149,96,78
PA5405,249,261,135,249,164,135
PA5406,229,384,220,376,254,170
PA5407,311,370,201,285,249,177
PA5408,1232,958,695,743,559,458
