,YAbR10-OD1-MTB-1.bam.sorted.bam,YAbR18-OD1-PACS2-3.bam.sorted.bam,YAbR24-OD3-C3719-3.bam.sorted.bam,YAbR32-OD3-PA14-2.bam.sorted.bam,YAbR4-OD1-C3719-1.bam.sorted.bam,YAbR11-OD1-MTB-2.bam.sorted.bam,YAbR1-OD1-B133-1.bam.sorted.bam,YAbR25-OD3-CF5-1.bam.sorted.bam,YAbR33-OD3-PA14-3.bam.sorted.bam,YAbR5r-OD1-C3719-.bam.sorted.bam,YAbR13-OD1-PA14-.bam.sorted.bam,YAbR20r-OD3-B133-2.bam.sorted.bam,YAbR27-OD3-CF5-.bam.sorted.bam,YAbR34r-OD3-PACS2-.bam.sorted.bam,YAbR8-OD1-CF5-2.bam.sorted.bam,YAbR14-OD1-PA14-.bam.sorted.bam,YAbR21-OD3-B133-3.bam.sorted.bam,YAbR28r-OD3-MTB-1.bam.sorted.bam,YAbR36-OD3-PACS2-3.bam.sorted.bam,YAbR9-OD1-CF5-3.bam.sorted.bam,YAbR17-OD1-PACS2-2.bam.sorted.bam,YAbR22-OD3-C3719-1.bam.sorted.bam,YAbR30-OD3-MTB-3.bam.sorted.bam,YAbR3-OD1-B133-3.bam.sorted.bam
PA14_RS03445,2004,576,25,665,457,746,639,500,676,2450,109,144,557,909,584,643,2,429,1828,490,748,1523,250,653
PA14_RS03475,310,102,6,203,22,114,133,104,208,315,35,43,180,85,112,179,2,93,138,135,136,96,62,175
PA14_RS03480,248,64,5,127,14,161,102,52,173,162,25,16,61,74,56,132,7,153,121,42,95,74,72,126
PA14_RS03485,363,139,6,155,42,161,140,105,159,500,30,106,155,120,92,134,28,116,127,117,127,116,51,211
tuf,50579,15126,208,10943,8097,17142,22385,9289,12344,44379,3134,2767,15093,5266,10223,26460,288,9430,6277,9533,23353,19519,5932,17566
PA14_RS03515,1600,429,16,175,188,486,584,167,209,1048,109,50,136,201,244,603,8,103,148,256,616,301,67,488
PA14_RS03520,5565,3408,71,1050,791,2081,2074,1172,1352,5287,442,322,919,1255,1202,3355,19,700,1217,1626,3947,1651,439,1236
rplK,11033,4418,48,2051,1406,6115,4869,1203,2278,10943,872,229,2108,673,3213,7352,109,731,411,3600,8389,2184,520,2858
PA14_RS03530,20732,10758,38,5158,1551,13040,10210,2176,6131,16122,3253,776,4907,2190,4948,16564,23,3061,3204,7869,19762,4583,1417,8012
PA14_RS03535,14786,9306,77,2033,3096,5962,7545,1413,2575,12661,1313,314,3327,653,7741,10045,42,1426,1024,8202,15869,3948,908,4730
PA14_RS03540,23324,15682,406,3529,5801,8475,10032,2539,5630,27816,2046,507,7601,1577,8050,14595,86,2289,3705,15496,19423,14804,1053,18549
rpoB,40076,32872,276,18806,9720,16702,15502,5768,22369,49375,7144,2457,12550,4711,11731,45209,219,9752,5029,15302,51327,15642,5724,15330
rpoC,56543,54769,700,30933,14996,27630,23808,10247,32833,71301,8823,4334,23501,6959,22055,57039,579,21727,7844,27432,77567,31694,11461,32389
PA14_RS03555,9337,2117,13,1072,1072,3202,3372,553,1052,4998,527,120,675,564,972,3645,5,414,589,639,3155,1536,235,1178
PA14_RS03560,35082,13228,80,3183,3742,15376,7134,2992,6650,13049,1177,1319,2872,2950,5278,10405,27,1967,6448,8389,11566,9568,1545,24105
fusA,76245,47669,528,18027,14151,30605,35896,14829,25933,73371,7598,3264,17218,9571,23094,50046,375,7105,8029,28897,60839,26029,6894,31133
PA14_RS03575,25738,1571,66,466,766,2607,3994,636,632,11502,305,95,790,396,909,2405,18,312,355,880,3089,1115,186,2333
PA14_RS03580,18384,6645,911,1510,1981,6023,6277,1618,2116,10521,1361,372,1964,746,3905,6928,66,878,699,4149,10620,3312,559,6192
PA14_RS03585,15100,7874,85,1134,2457,5833,5422,1503,1763,11506,1660,655,1243,1024,4070,5800,24,969,654,5161,9800,4101,784,7645
PA14_RS03590,4481,1561,9,457,715,2199,2922,446,466,3911,778,138,544,313,663,2187,2,354,197,714,3386,968,197,992
PA14_RS03595,19379,8140,54,2346,2831,7107,9419,2241,3461,14756,1961,1523,2981,1112,3792,9940,53,1437,1372,7815,15909,6482,1080,9346
PA14_RS03600,2900,1274,8,382,576,1367,2444,498,393,3938,566,142,826,185,742,1846,5,363,183,830,3421,909,240,922
PA14_RS03605,6907,1967,44,534,777,2724,3143,744,711,7902,616,154,1303,289,1246,2822,12,445,373,1801,4362,1933,208,1625
PA14_RS03610,23161,8265,147,2253,3899,10336,9033,2190,2372,15092,1735,511,4170,902,4346,10609,111,1889,569,4855,13305,4623,1034,3011
PA14_RS03615,13138,6527,65,1204,1744,4698,4361,1494,2068,10387,678,300,3041,578,1779,5625,15,1104,542,3317,8935,3529,695,4855
PA14_RS03620,1475,448,1,138,205,324,524,106,110,1020,115,28,291,90,137,303,0,95,45,221,784,161,88,422
PA14_RS03625,5115,1089,34,318,483,3360,3649,395,263,5311,611,37,1173,141,351,2203,38,318,83,393,3709,634,102,416
PA14_RS03630,5550,1395,12,962,970,3153,4229,762,802,6222,879,122,2175,284,1068,3547,26,896,158,1075,6155,1049,373,959
PA14_RS03635,6123,3651,217,835,1087,2152,2478,626,944,4939,601,153,1655,313,1683,3254,35,689,383,1852,5017,1449,490,2255
PA14_RS03640,25874,15411,233,4224,5954,16178,9197,2270,6084,18314,1472,897,9362,1690,12713,13184,51,4340,2685,14203,19121,17061,3531,12480
PA14_RS03645,10747,11789,137,1457,3220,5946,4783,1313,2136,11927,1335,441,3513,1127,4377,6611,17,1953,1607,4236,11526,7329,950,3690
rpsH,3417,916,4,470,338,1115,1567,252,331,2320,272,47,377,307,461,1558,2,323,214,469,2168,492,106,431
PA14_RS03655,10143,1952,58,1236,783,3141,2862,738,1880,6024,480,181,1075,492,1505,4246,16,431,886,2489,3571,3243,335,2304
PA14_RS03660,4918,1278,129,405,565,2187,2088,417,527,3834,475,93,665,317,606,1902,21,210,327,1004,1876,1239,84,1335
PA14_RS03665,11744,3833,126,1453,1722,4615,5088,1047,2668,8381,1041,247,1501,890,2061,6785,58,774,655,1998,5963,2477,411,3204
PA14_RS03670,664,65,10,20,34,127,265,14,41,633,74,9,24,21,24,166,2,6,8,35,194,57,9,81
PA14_RS03675,9678,4869,68,1074,1446,2360,3940,803,1632,8770,1108,374,998,897,1706,4443,84,485,1377,2449,8039,2117,288,4189
PA14_RS03680,39901,16027,147,6049,6419,26007,14306,3833,8379,23109,2591,1081,11423,4081,11160,18689,54,4038,15026,14134,26500,31796,2227,19429
PA14_RS03685,2535,747,74,281,177,634,1279,306,357,3256,138,11,600,112,303,594,18,41,208,428,961,923,55,610
PA14_RS03690,7196,1921,13,1382,1004,2087,2651,493,1059,4690,441,72,1150,314,1549,2680,10,574,139,1407,5682,874,357,497
PA14_RS03695,5216,1177,11,655,573,1966,2395,456,722,5962,567,139,820,401,825,2123,5,310,264,1227,3203,1486,159,1801
PA14_RS03700,32105,18671,126,8323,6773,29539,5604,2262,13439,11447,1106,991,7340,2815,8912,15665,13,5189,2961,8944,13597,14202,3498,8529
PA14_RS03705,43381,20348,94,12363,6290,16969,16021,4784,15627,33230,4144,2486,8410,3994,8487,20616,44,6692,6487,11068,32288,17505,4180,18727
rplQ,7754,2849,27,2072,1223,2365,2931,914,2497,7029,497,280,2110,481,1893,5700,26,865,951,3400,5328,3783,639,3802
PA14_RS03715,1412,627,26,17336,462,568,1487,745,10755,2990,190,1358,1154,2889,442,976,530,4480,2507,623,950,505,2038,813
bfr,3220,959,5,1681,317,1539,2091,343,1744,2662,324,162,567,415,1064,1438,22,1436,231,1255,1436,226,933,1070
PA14_RS03725,3469,565,51,497,307,1131,790,834,606,2779,174,76,1114,314,707,896,18,340,300,1144,839,880,225,667
PA14_RS03730,599,103,168,63,43,122,170,214,92,908,44,21,259,114,165,99,26,69,181,199,85,288,26,294
PA14_RS03735,2047,225,94,386,171,763,726,984,479,2883,101,89,1572,319,239,568,21,188,333,322,622,773,107,300
PA14_RS03740,386,72,433,625,260,125,189,15,1366,1544,184,421,7,389,11,389,115,202,521,5,63,3417,141,781
PA14_RS03745,10,3,26,43,10,8,8,0,40,225,7,5,0,18,2,14,2,8,20,0,3,318,7,24
PA14_RS03750,49,3,273,25,25,6,21,1,59,366,25,25,0,29,1,20,0,2,47,0,3,340,7,53
PA14_RS03755,129,38,286,326,195,48,117,6,537,1485,70,93,10,318,3,195,20,31,547,3,40,6550,40,129
