,YAbR10-OD1-MTB-1.bam.sorted.bam,YAbR18-OD1-PACS2-3.bam.sorted.bam,YAbR24-OD3-C3719-3.bam.sorted.bam,YAbR32-OD3-PA14-2.bam.sorted.bam,YAbR4-OD1-C3719-1.bam.sorted.bam,YAbR11-OD1-MTB-2.bam.sorted.bam,YAbR1-OD1-B133-1.bam.sorted.bam,YAbR25-OD3-CF5-1.bam.sorted.bam,YAbR33-OD3-PA14-3.bam.sorted.bam,YAbR5r-OD1-C3719-.bam.sorted.bam,YAbR13-OD1-PA14-.bam.sorted.bam,YAbR20r-OD3-B133-2.bam.sorted.bam,YAbR27-OD3-CF5-.bam.sorted.bam,YAbR34r-OD3-PACS2-.bam.sorted.bam,YAbR8-OD1-CF5-2.bam.sorted.bam,YAbR14-OD1-PA14-.bam.sorted.bam,YAbR21-OD3-B133-3.bam.sorted.bam,YAbR28r-OD3-MTB-1.bam.sorted.bam,YAbR36-OD3-PACS2-3.bam.sorted.bam,YAbR9-OD1-CF5-3.bam.sorted.bam,YAbR17-OD1-PACS2-2.bam.sorted.bam,YAbR22-OD3-C3719-1.bam.sorted.bam,YAbR30-OD3-MTB-3.bam.sorted.bam,YAbR3-OD1-B133-3.bam.sorted.bam
PA14_RS17925,39,15,3,95,9,18,13,34,107,90,4,11,43,68,22,17,3,48,54,27,9,21,31,32
PA14_RS17930,65,31,1,31,35,25,26,38,53,162,12,6,40,46,16,31,0,37,138,23,39,150,13,36
PA14_RS17935,149,12,8,25,14,35,27,27,39,244,11,9,22,16,11,36,5,36,42,19,25,65,16,51
PA14_RS17940,357,78,4,100,85,50,108,276,226,882,69,66,260,119,77,84,1,107,157,245,95,135,53,109
PA14_RS17945,76,11,0,88,12,25,25,61,96,198,4,22,58,29,8,15,22,62,90,21,28,33,28,13
PA14_RS17950,196,32,0,60,17,69,36,81,34,169,14,20,67,26,39,57,0,74,24,120,29,33,38,75
PA14_RS30660,1,0,0,1,0,0,0,2,3,3,1,0,2,2,0,4,0,1,0,0,4,2,1,1
PA14_RS17955,7,1,0,4,1,3,2,13,23,29,1,2,5,5,4,0,0,5,7,4,8,3,7,6
PA14_RS17960,16,1,0,4,4,1,4,3,5,16,1,0,3,1,0,4,0,12,5,6,0,6,1,9
PA14_RS17965,68,61,5,107,6,27,31,40,299,134,13,16,66,60,20,20,7,169,91,38,47,57,27,93
PA14_RS30665,9,0,0,0,0,0,4,0,0,15,0,0,4,3,1,0,0,3,1,3,0,2,2,17
PA14_RS17970,20,10,0,10,4,5,14,15,17,37,1,1,7,21,6,18,0,22,11,12,9,4,13,16
PA14_RS17975,95,42,9,76,11,39,198,43,124,199,17,9,67,27,108,48,5,165,77,50,48,24,140,128
PA14_RS17980,108,15,5,87,29,59,96,56,80,154,11,14,98,34,95,95,3,69,54,95,68,78,67,46
PA14_RS17985,231,113,1,147,46,93,129,239,210,432,29,70,244,173,105,141,4,117,239,181,116,177,50,169
acnA,789,529,108,4607,352,247,425,1378,5529,3081,108,898,1591,1946,336,317,417,6008,2641,668,940,1063,5186,495
PA14_RS17995,861,852,101,624,995,228,743,213,760,5522,201,117,235,241,113,611,98,210,387,281,1070,1611,102,876
PA14_RS18000,1830,941,128,292,3073,513,622,311,299,12192,200,113,247,194,89,845,3,214,203,235,652,3067,273,989
PA14_RS18005,40,6,11,12,9,19,8,43,15,80,5,9,45,29,16,17,2,7,39,31,23,41,6,6
ccoO,3811,3139,79,1313,926,1105,2579,904,1873,5670,460,1038,1663,2636,1270,2133,48,1280,2733,2216,3930,2466,501,5986
PA14_RS18020,88,108,3,43,21,7,577,177,50,517,22,10,755,70,49,37,3,28,197,41,240,92,3,104
ccoP,3953,3476,118,2423,871,1721,3507,1234,3835,5825,438,915,2245,2170,787,3225,131,2491,4949,1632,4574,2132,934,3713
PA14_RS18040,328,24,0,22,48,81,227,30,29,395,68,11,75,14,12,90,0,39,5,40,46,44,11,105
PA14_RS30670,2,5,0,9,1,1,3,3,2,22,1,0,3,1,3,0,0,0,1,3,2,0,0,1
PA14_RS18055,335,128,60,593,26,227,316,76,583,556,47,166,140,160,83,239,29,499,377,90,455,100,244,229
PA14_RS18060,318,109,13,190,29,83,159,77,220,496,35,35,62,57,46,104,10,132,84,91,158,77,39,227
ccoS,7,5,2,0,0,5,5,0,9,39,1,0,5,8,2,1,0,4,5,2,3,3,4,21
PA14_RS18070,21,17,3,4,4,2,14,8,16,50,10,6,7,22,5,6,3,9,10,14,2,12,1,31
hemN,4459,705,42,1780,1046,2022,2390,1504,2708,6197,388,321,4503,1674,1040,2249,40,1852,2054,1828,1391,1348,1249,1220
PA14_RS18080,84,133,4,332,8,31,178,40,271,196,47,49,54,243,26,124,47,35,239,26,209,34,19,144
PA14_RS18085,578,596,55,844,413,288,464,714,940,2447,106,220,644,1185,565,450,25,439,1453,964,713,1499,202,668
PA14_RS18090,106,34,1,50,26,43,65,76,81,356,26,8,69,121,44,65,0,38,283,70,73,122,9,38
PA14_RS18095,67,15,1,360,7,33,23,76,248,81,12,28,82,72,23,27,25,155,135,20,51,60,128,11
PA14_RS18100,44,11,0,33,3,44,21,3,39,24,3,4,9,22,12,15,0,25,56,12,22,9,3,6
PA14_RS30675,15,1,1,7,3,2,8,13,4,36,2,2,8,13,2,2,0,3,8,17,7,8,2,0
PA14_RS18110,138,32,6,88,21,61,44,38,34,194,8,7,39,39,59,23,3,35,56,81,33,104,20,40
PA14_RS18115,44,32,7,97,16,33,18,79,62,180,15,9,133,69,32,23,0,45,148,50,27,81,27,27
PA14_RS18120,29,9,0,88,10,13,27,9,70,85,6,15,37,12,8,25,0,58,16,8,9,25,31,18
PA14_RS18125,54,6,1,4,5,10,3,13,14,60,5,3,27,12,8,10,0,3,26,13,8,20,1,32
PA14_RS18130,369,80,0,123,21,90,76,81,168,196,16,20,60,87,103,83,6,119,95,163,92,114,68,125
PA14_RS18135,340,103,2,27,76,51,163,72,54,742,51,68,68,55,109,87,0,33,24,213,85,66,30,244
PA14_RS18140,1422,750,13,403,471,743,786,468,387,2530,159,124,881,317,258,615,2,500,312,370,1423,749,423,368
PA14_RS18145,2178,377,56,210,219,425,583,571,317,2488,109,69,635,303,405,327,6,163,431,837,324,419,98,626
PA14_RS18150,60,24,0,144,15,15,4,5,178,55,19,5,16,19,10,16,0,12,16,5,4,11,6,43
ffs,319,39,0,243,22,43,233,486,223,544,26,11,373,49,79,137,1,69,176,205,69,63,21,158
PA14_RS30685,2,0,0,4019,0,0,1,0,4382,22,54,1,2,1,0,152,0,0,2,1,0,1,0,1
PA14_RS18155,382,427,6,550,92,200,204,307,588,772,63,76,508,247,298,316,2,253,696,366,448,338,218,278
PA14_RS18160,974,529,38,645,166,305,343,1022,676,1720,149,122,1444,460,582,663,16,414,791,844,766,432,293,563
PA14_RS18165,886,751,64,1422,254,306,514,716,1233,1530,150,189,896,950,306,651,46,560,1161,615,935,626,288,615
smc,1824,437,30,1224,287,636,647,272,1035,2231,172,129,320,301,460,581,20,869,391,631,601,635,502,876
PA14_RS18175,564,221,45,333,69,279,241,74,209,750,34,36,165,131,187,213,5,385,315,311,330,225,152,161
PA14_RS18180,66,43,18,50,33,18,30,93,83,157,25,26,120,111,55,26,3,80,112,61,68,89,42,40
xdhA,272,50,4,206,17,120,81,169,152,215,19,39,263,160,66,71,0,237,266,173,92,71,165,77
xdhB,281,83,19,523,26,155,117,330,417,421,27,95,407,304,141,90,25,1111,369,190,93,123,453,169
xdhC,92,30,13,128,3,18,24,81,95,166,4,16,87,111,39,30,9,152,312,70,28,85,65,30
PA14_RS18205,766,369,7,273,228,399,220,291,178,792,87,152,346,514,314,321,0,330,388,490,391,380,207,217
PA14_RS30695,13,2,0,1,1,0,1,1,2,17,0,0,3,3,1,0,0,1,3,3,6,1,2,4
PA14_RS18210,33,15,3,46,11,13,22,41,29,95,8,12,32,60,29,20,2,21,46,39,28,26,21,3
uraH,27,13,7,46,5,16,24,46,30,64,9,11,50,30,38,47,0,28,34,18,30,29,23,7
PA14_RS18220,169,116,70,272,24,102,91,277,204,268,41,54,403,190,187,151,13,80,259,354,173,105,68,33
uraD,112,32,3,50,8,26,19,45,53,157,14,4,66,39,24,26,1,19,71,46,35,27,22,11
alc,170,95,6,169,21,77,63,154,151,285,32,49,129,173,93,71,2,244,203,244,111,101,88,77
PA14_RS18235,63,50,9,112,29,44,40,67,75,188,8,20,102,75,49,30,12,71,218,41,74,132,66,14
PA14_RS18240,186,104,6,231,66,96,53,269,245,303,21,24,348,305,113,107,3,241,352,239,166,155,183,47
PA14_RS18245,21,6,9,9,4,7,1,37,36,84,2,0,27,27,24,5,0,8,15,51,18,58,13,0
PA14_RS18250,49,10,7,64,31,23,24,46,84,147,7,5,53,16,27,30,2,51,16,27,8,141,30,12
PA14_RS18255,35,9,0,301,12,8,51,17,294,88,43,22,22,26,15,63,2,57,36,7,20,39,25,21
PA14_RS18260,57,27,4,463,10,6,57,44,477,90,33,26,61,99,29,153,0,97,70,31,67,19,60,20
PA14_RS18265,28,33,2,164,15,11,23,23,182,88,8,10,50,100,6,26,0,125,84,20,53,119,45,10
PA14_RS18270,92,30,6,21,27,36,11,217,28,382,7,17,204,98,88,24,1,45,186,87,41,204,30,34
PA14_RS18275,82,13,1,7,9,9,11,22,3,59,16,4,18,13,21,24,1,12,13,43,19,9,2,26
PA14_RS18285,105,30,10,24,15,31,14,34,16,184,9,4,43,62,46,38,1,26,59,55,51,53,4,33
PA14_RS18290,11,2,0,1,1,3,3,4,11,35,2,1,8,9,3,3,1,3,5,8,3,7,2,7
gcl,78,36,1,27,16,35,12,68,59,105,9,8,105,89,45,18,2,35,118,71,43,97,16,12
hyi,78,88,4,142,38,40,23,140,188,189,19,44,170,167,64,38,1,200,426,120,93,184,77,49
PA14_RS18305,69,5,15,23,12,17,11,95,33,142,5,17,93,38,39,19,15,43,130,87,17,68,17,99
PA14_RS18310,22,9,0,12,4,8,2,12,7,33,6,5,16,11,7,8,0,12,48,8,20,18,2,6
pyk,1954,482,125,418,451,419,764,781,817,4311,217,135,1227,676,631,669,33,328,1475,1549,640,1304,207,943
PA14_RS18320,6,0,3,1,2,1,0,7,5,16,1,0,6,5,3,1,1,1,0,0,0,2,0,8
PA14_RS18325,61,17,12,40,10,32,28,23,30,127,4,5,38,33,23,22,7,17,42,42,49,41,12,20
PA14_RS18330,20,3,18,4,0,1,1,3,3,46,2,3,4,1,1,4,0,2,4,6,1,5,5,1
PA14_RS18335,72,20,5,44,28,20,34,49,30,220,15,2,43,76,26,32,0,28,150,29,30,83,20,12
PA14_RS18340,763,353,178,248,196,281,453,509,313,2169,91,48,770,195,311,375,51,97,216,427,658,734,83,372
PA14_RS18345,60,18,0,51,11,15,16,36,55,109,13,2,47,25,12,25,0,9,77,58,37,38,8,16
PA14_RS18350,98,60,25,38,11,56,12,74,68,134,9,14,96,84,35,59,1,91,104,18,119,77,32,19
PA14_RS18355,57,15,0,16,4,14,30,57,17,97,11,12,78,15,33,5,0,10,31,20,16,62,14,3
PA14_RS18360,57,17,3,26,19,17,20,101,20,136,14,5,143,32,51,18,1,17,37,50,28,41,10,26
PA14_RS18365,40,10,4,21,11,5,13,30,10,87,7,5,35,6,19,2,0,12,2,21,5,13,8,17
PA14_RS18370,43,9,12,20,4,15,17,35,32,112,8,6,50,11,17,27,3,24,36,47,9,18,17,63
PA14_RS18375,31,13,9,5,8,9,6,42,21,52,4,6,45,6,6,6,0,26,4,16,0,4,4,8
PA14_RS18380,31,119,1,94,77,32,14,47,38,76,32,24,83,45,20,34,0,89,84,33,45,105,42,19
PA14_RS18385,71,193,0,57,25,53,39,51,71,229,5,3,63,65,30,49,0,24,107,67,248,122,26,40
PA14_RS18390,90,22,2,8,11,10,46,27,40,301,10,15,10,9,7,14,11,13,20,30,10,55,19,88
ccmI,369,89,21,89,34,51,133,87,107,707,33,32,83,29,57,61,13,44,61,133,86,103,32,215
PA14_RS18400,153,124,9,288,49,89,100,45,215,249,21,49,153,41,72,104,5,136,64,103,266,154,84,80
PA14_RS18405,242,96,6,122,29,57,81,65,113,748,20,32,155,20,30,74,2,55,53,124,142,87,44,118
PA14_RS18410,729,657,11,499,187,342,425,217,596,1537,74,125,299,207,257,336,29,213,176,382,935,363,179,361
PA14_RS18415,117,71,3,81,25,45,44,48,130,245,16,19,52,56,28,64,1,25,46,33,88,59,11,39
ccmD,18,0,0,2,5,4,18,8,10,71,1,1,11,1,3,10,0,0,1,13,5,9,0,15
PA14_RS18425,207,118,5,106,42,63,75,59,120,348,18,48,82,87,62,119,1,33,133,149,191,130,39,123
ccmB,150,76,4,53,24,61,50,35,103,205,15,32,41,49,59,42,0,49,139,84,104,132,19,142
PA14_RS18435,71,59,4,16,12,17,10,89,18,157,11,15,44,93,27,11,0,7,83,45,33,58,7,127
PA14_RS18440,194,113,12,240,36,25,191,81,352,335,62,186,77,280,44,117,24,108,362,56,106,87,63,334
PA14_RS18445,15,16,6,39,3,0,7,4,25,23,7,6,10,19,3,10,1,20,40,0,24,8,2,12
PA14_RS18450,31,32,0,95,0,17,12,0,138,26,6,16,0,55,0,38,5,45,194,0,49,1,41,33
PA14_RS18455,20,2,0,19,9,6,7,10,22,48,4,10,8,25,5,3,1,16,14,2,5,2,4,11
PA14_RS18460,71,15,6,20,4,48,17,82,21,122,7,5,289,72,41,5,1,14,166,33,22,14,5,27
PA14_RS18465,32,20,0,54,13,7,16,40,32,106,0,8,45,64,15,12,0,10,124,21,46,41,11,16
PA14_RS18470,75,34,2,28,7,25,22,40,43,118,11,14,55,47,9,31,6,36,61,42,13,25,21,52
PA14_RS18475,62,54,0,45,13,20,46,27,34,115,13,21,30,27,26,31,0,50,40,63,55,32,30,33
PA14_RS18480,121,17,14,48,18,25,47,126,58,317,24,24,94,40,16,35,5,83,39,50,40,26,61,157
PA14_RS18485,516,269,0,1006,57,147,305,331,1020,856,118,170,445,389,184,345,9,730,372,223,350,191,1235,229
PA14_RS18490,283,197,4,299,40,90,174,183,315,561,58,77,268,223,140,164,21,196,576,238,214,140,278,348
PA14_RS18495,500,105,3,319,69,168,266,852,367,857,52,54,1143,279,206,184,15,350,650,253,120,452,240,218
PA14_RS18500,158,100,20,178,27,39,158,56,173,359,40,51,90,76,62,151,36,92,152,128,124,105,40,248
motC,267,247,11,381,59,109,208,139,538,509,73,183,217,357,213,248,35,418,516,512,229,277,407,801
PA14_RS18510,787,345,113,765,95,186,553,325,927,1173,195,175,397,486,237,596,301,793,546,316,513,154,674,541
PA14_RS18515,1497,692,15,1513,172,583,1114,660,1722,2037,233,278,933,824,832,1008,102,1419,1349,1326,1025,467,1673,1283
PA14_RS18520,1253,632,24,1992,264,666,761,451,1909,1533,144,259,1053,797,584,744,74,2163,2900,931,1057,872,1771,943
PA14_RS18525,980,844,85,1177,241,733,595,721,1169,1442,125,149,1194,699,844,640,57,1429,1104,893,1354,609,1320,372
fliA,1298,597,25,898,256,638,613,642,996,1822,181,187,1586,882,575,545,22,1301,968,895,823,585,1199,436
PA14_RS18535,881,427,69,726,177,413,392,1212,882,1653,107,150,1802,791,611,439,36,2031,1128,861,728,741,1735,380
flhF,940,319,33,308,52,173,313,879,456,1085,110,185,919,476,474,274,35,1145,755,893,289,211,1378,529
flhA,667,215,6,257,22,209,334,774,293,709,49,101,846,591,916,306,38,974,552,1264,342,151,928,459
PA14_RS18550,76,35,15,24,17,10,29,16,62,134,11,11,15,39,14,34,0,20,61,26,17,79,15,67
PA14_RS18555,78,45,65,33,21,24,38,63,40,319,22,21,41,46,22,31,1,36,102,43,29,118,32,145
PA14_RS18560,189,73,5,237,35,74,75,106,158,281,40,35,131,91,212,72,1,300,153,136,56,151,160,77
fliR,102,47,0,47,18,22,38,23,46,114,12,13,48,49,57,39,0,99,93,109,34,24,93,94
fliQ,133,55,7,53,7,39,35,45,80,226,12,5,50,53,40,25,2,54,137,50,51,58,100,66
fliP,291,128,3,142,31,168,102,121,132,287,19,37,206,112,249,111,11,187,260,289,140,125,214,90
fliO,49,14,1,9,5,4,11,63,14,107,10,7,41,9,19,7,1,21,26,52,11,17,12,26
fliN,467,65,5,266,17,140,119,125,287,367,33,72,152,89,55,136,16,494,135,117,75,84,628,176
PA14_RS18590,874,472,31,1196,123,381,542,888,887,1412,67,187,1164,703,821,527,22,1167,1465,939,1023,606,998,392
PA14_RS18595,169,67,0,71,4,50,59,211,92,170,8,18,158,143,160,62,0,147,73,160,85,45,48,89
PA14_RS18600,1457,124,0,81,2,247,150,245,113,715,55,41,226,166,109,117,1,296,250,182,122,12,126,272
PA14_RS18605,1024,327,33,921,306,656,367,2815,1240,1938,119,144,3502,760,1778,525,9,560,1209,2392,549,1486,188,566
PA14_RS18610,121,22,26,63,16,38,41,48,45,170,9,17,42,55,48,43,15,46,173,75,62,84,20,30
PA14_RS18615,102,67,13,86,34,57,41,87,120,277,15,12,130,155,71,31,0,66,253,45,43,149,50,31
PA14_RS18620,130,46,2,88,25,44,17,135,79,219,14,28,138,303,57,54,7,119,180,50,58,73,61,52
PA14_RS18625,69,40,2,75,16,20,21,112,86,202,13,12,96,78,34,18,1,66,226,59,34,96,30,52
PA14_RS18630,25,6,1,41,4,13,13,42,21,66,4,4,36,26,2,8,0,16,11,13,12,13,4,15
PA14_RS18635,42,23,9,26,3,18,9,18,23,74,1,2,15,26,3,11,5,10,28,24,18,15,7,14
PA14_RS18640,819,40,23,186,122,173,122,151,232,1029,58,108,197,78,74,172,20,125,152,65,67,250,103,242
PA14_RS18645,3849,73,66,1641,1438,1360,1005,63,1829,3533,297,2664,101,180,43,1018,424,2971,296,77,65,2533,2277,1762
PA14_RS18650,358,265,10,524,74,280,156,132,530,1038,34,97,214,217,119,148,15,211,768,414,111,502,230,187
PA14_RS18655,1267,784,155,4437,481,794,939,1487,4220,3051,160,1085,2106,3044,750,956,135,2266,3960,897,1237,2150,3035,805
PA14_RS18660,1561,1448,389,1020,529,496,882,578,2315,4143,320,297,1568,1110,405,407,128,1658,1496,1061,1722,790,351,2742
PA14_RS18665,19,5,0,11,17,7,10,9,8,80,4,5,18,7,20,7,1,9,6,15,11,21,3,26
PA14_RS18670,67,70,5,39,19,23,37,33,22,151,4,16,66,38,39,28,1,14,58,33,61,40,30,60
PA14_RS18675,29,101,0,14,11,6,18,36,33,183,10,6,21,196,31,13,0,8,174,71,140,29,6,22
PA14_RS18680,23,6,0,10,1,5,9,1,0,54,0,2,5,4,8,6,0,3,8,5,7,1,1,33
PA14_RS18685,23,9,0,7,0,16,15,9,17,35,7,7,11,1,0,20,1,3,12,4,4,1,3,26
PA14_RS18690,12,31,2,68,7,13,28,29,75,68,9,7,47,64,24,25,4,13,82,18,72,44,4,26
PA14_RS18695,43,12,0,7,3,7,16,6,16,35,3,7,14,20,12,7,0,12,48,7,10,9,2,30
PA14_RS18705,131,10,0,25,19,47,14,1340,41,953,15,4,1997,33,545,43,0,16,34,894,22,31,9,6
PA14_RS18710,76,5,3,7,9,30,7,3199,6,1421,11,1,2844,17,372,30,0,2,11,482,17,13,2,3
PA14_RS18715,206,17,1,22,32,92,34,3315,20,1551,23,1,3730,45,727,71,0,33,43,990,34,20,7,32
PA14_RS18720,158,11,6,10,11,51,20,496,6,352,21,4,583,12,370,53,10,16,36,559,9,30,7,11
PA14_RS18725,109,17,7,30,15,21,12,251,25,239,12,2,257,29,172,27,0,17,47,325,47,43,10,15
PA14_RS18730,277,1396,13,1547,255,128,104,710,1207,1772,76,25,1279,1202,673,295,6,399,1880,1023,1490,2261,254,80
PA14_RS30700,2817,3345,91,5194,1594,1128,3560,3115,4572,23350,90,641,12505,5415,3280,1159,32,4910,7459,3463,3562,7872,2833,2444
PA14_RS18735,113,26,2,9,9,31,13,81,11,166,8,5,89,37,21,7,0,22,45,65,19,22,16,18
PA14_RS18740,33,14,20,18,6,28,22,25,3,65,3,4,18,10,6,9,0,11,19,16,17,19,9,18
PA14_RS18745,36,14,7,11,12,15,9,35,20,94,13,4,18,23,11,16,0,20,18,39,8,51,15,9
PA14_RS18750,59,37,8,34,14,26,40,49,44,133,12,12,60,35,85,56,0,33,48,135,10,46,32,32
PA14_RS18755,44,8,5,2,3,15,34,17,13,113,3,8,32,9,35,19,0,8,11,35,5,16,16,22
PA14_RS30705,0,2,0,2,0,1,4,1,0,5,1,0,5,4,1,2,0,1,0,0,1,6,0,0
PA14_RS18760,74,42,22,251,35,22,22,74,300,238,13,57,123,169,46,25,7,211,300,33,48,167,197,44
PA14_RS18765,68,6,9,40,6,13,16,5,48,99,5,12,16,41,11,16,7,36,44,21,27,35,24,21
PA14_RS18770,47,17,3,33,5,11,26,12,42,81,4,6,18,25,5,21,0,21,38,14,16,15,10,25
PA14_RS18775,202,96,1,85,58,59,100,41,136,272,36,22,75,38,73,98,5,58,120,92,114,78,28,234
PA14_RS18780,8,17,0,14,1,0,4,8,8,45,3,2,6,44,4,4,0,5,48,24,23,23,2,1
PA14_RS18785,30,6,0,24,2,10,5,29,26,51,7,11,36,39,9,13,1,10,56,7,13,10,8,25
PA14_RS18790,32,3,5,9,4,7,4,30,16,55,3,1,8,9,8,4,1,6,27,10,4,27,0,18
PA14_RS18795,44,22,2,34,12,19,10,59,32,88,8,5,106,45,26,26,2,31,79,32,26,98,15,19
PA14_RS18800,65,12,10,30,15,18,14,56,21,113,6,15,84,21,13,11,6,17,48,35,17,34,16,17
PA14_RS18805,33,5,7,3,6,9,10,55,12,108,5,1,26,8,5,7,2,14,17,28,3,25,6,4
PA14_RS18810,41,17,4,15,5,21,7,13,12,83,3,0,5,29,3,12,6,21,43,8,25,27,14,3
PA14_RS18815,61,11,4,19,9,17,15,27,34,88,10,9,61,34,30,25,2,9,62,33,21,54,2,36
PA14_RS18820,259,39,8,34,13,19,74,110,58,415,19,8,82,48,32,32,4,20,102,76,52,105,20,52
PA14_RS18825,17,31,5,13,12,5,21,36,19,70,6,2,29,27,10,12,2,11,56,6,38,60,4,16
PA14_RS18830,11,2,0,13,1,0,7,2,14,25,3,2,10,5,6,4,0,15,2,7,2,5,19,3
PA14_RS18835,107,8,0,20,1,28,26,2,43,23,11,2,1,18,0,22,2,52,20,1,16,0,11,64
PA14_RS18840,42,25,0,20,0,6,6,0,37,32,10,8,1,23,3,15,0,18,33,1,18,9,3,16
PA14_RS18845,124,105,3,86,23,38,44,0,112,117,19,27,1,210,0,57,2,152,223,1,105,123,71,58
PA14_RS18850,31,15,3,21,6,13,29,41,32,81,11,2,41,31,8,29,0,20,20,25,29,15,5,8
PA14_RS18855,729,129,15,567,165,226,189,353,575,1113,68,77,298,285,127,223,4,198,256,211,231,821,204,152
PA14_RS18860,5,6,0,348,7,2,7,3,188,32,6,5,4,9,12,83,0,18,1,10,3,10,13,3
PA14_RS18865,109,32,7,44,24,6,28,58,43,215,15,10,20,29,17,17,0,9,64,65,29,65,12,43
PA14_RS18870,34,10,0,2,2,7,8,11,11,46,2,2,8,11,1,1,0,5,20,3,12,10,3,9
PA14_RS18880,2,8,0,1519,4,4,1,5,1191,24,42,1,9,6,6,85,0,8,7,4,3,6,5,4
PA14_RS18885,7,1,0,1516,6,2,1,1,1389,15,18,0,9,3,4,51,0,8,6,1,1,5,10,4
PA14_RS18890,2,2,0,407,0,4,1,10,451,13,4,1,4,4,0,21,0,15,3,2,2,2,2,2
PA14_RS30710,0,2,0,215,5,2,2,4,175,11,11,9,4,4,10,23,0,15,1,4,1,18,7,2
PA14_RS18895,6,3,0,1092,6,1,5,2,986,32,25,1,10,9,4,106,0,9,6,2,8,7,6,3
PA14_RS18900,2,1,0,309,1,2,2,0,188,19,15,1,6,5,1,42,0,3,0,1,3,4,4,2
PA14_RS18905,1,0,0,44,0,1,0,2,16,0,5,0,3,2,0,4,0,0,0,1,0,0,1,1
PA14_RS30715,3,0,0,5,1,2,1,1,15,1,1,0,3,1,1,1,0,5,2,0,3,2,2,0
PA14_RS18910,2,4,0,90,0,0,1,4,112,23,11,0,3,6,4,81,0,10,5,0,2,2,3,1
PA14_RS18915,12,7,0,56,5,7,3,8,19,16,2,2,24,23,9,22,0,39,16,4,17,22,20,3
PA14_RS18920,6,4,0,179,5,5,4,6,187,35,29,6,4,7,4,74,0,14,3,6,6,8,10,2
PA14_RS18925,2,1,0,79,1,0,0,1,30,14,10,3,0,1,3,29,0,3,1,0,0,4,1,2
PA14_RS30720,0,0,0,96,0,0,1,0,78,8,6,0,3,0,0,30,0,1,0,1,0,0,0,2
PA14_RS18930,2,0,0,96,1,0,0,1,46,15,3,0,2,0,1,36,0,1,0,0,0,0,0,2
PA14_RS18935,2,0,0,109,1,0,2,2,57,19,15,2,1,1,0,30,0,7,2,0,2,1,3,3
PA14_RS18940,4,0,0,241,1,1,1,4,122,14,8,3,0,4,0,48,0,3,3,0,0,0,0,1
PA14_RS18945,102,15,1,4,9,22,5,41,6,165,10,1,44,30,15,16,0,25,29,20,17,31,8,22
PA14_RS18950,126,32,13,50,23,32,45,51,59,314,24,14,79,81,45,66,0,34,210,93,30,395,34,107
PA14_RS18955,24,3,7,4,3,3,8,4,3,69,0,2,4,8,2,11,0,5,6,1,3,21,3,20
PA14_RS18960,21,3,0,12,5,3,10,8,15,29,7,8,17,21,4,8,0,12,23,8,7,87,6,6
PA14_RS18965,9,7,0,10,2,4,5,20,17,25,1,3,43,7,7,3,0,7,10,11,4,16,5,2
PA14_RS18970,284,83,1,40,52,72,66,103,88,349,25,13,109,148,144,85,5,26,119,254,82,255,22,117
PA14_RS18975,52,11,5,5,7,9,22,54,1,145,16,1,32,4,19,15,0,7,3,55,15,20,3,23
PA14_RS18980,57,15,5,6,11,14,9,15,3,100,12,5,24,21,22,11,1,11,22,41,20,25,6,38
PA14_RS18985,65,17,3,16,17,10,31,28,26,148,8,21,26,7,18,22,13,14,11,33,29,54,7,33
PA14_RS18990,60,23,35,10,13,16,35,37,27,256,19,4,31,15,20,24,13,9,15,31,28,28,6,47
PA14_RS18995,25,3,1,45,3,2,1,24,40,52,6,18,17,23,6,3,2,12,56,11,7,13,6,5
PA14_RS19000,1,1,0,2,1,0,1,2,7,6,0,2,3,2,0,0,0,8,2,2,1,0,4,0
PA14_RS19005,8,8,2,17,3,2,12,24,15,51,2,21,19,32,7,2,36,18,76,8,5,29,18,20
PA14_RS19010,21,1,0,14,3,0,2,9,23,16,2,22,10,31,1,2,5,12,31,4,3,14,6,1
PA14_RS19015,11,4,1,5,2,1,1,1,15,9,2,2,7,6,1,2,0,3,9,8,4,3,4,6
PA14_RS19020,13,5,0,56,8,2,3,16,87,32,2,22,9,19,1,12,10,35,4,1,1,8,12,27
PA14_RS19025,48,13,1,119,7,20,17,53,145,80,9,23,49,56,21,16,0,61,80,40,20,33,39,17
PA14_RS19030,9,6,1,72,2,0,0,14,99,15,1,11,12,36,3,7,0,8,37,0,8,2,2,1
PA14_RS30725,7,1,3,133,4,5,10,39,99,66,6,12,35,102,10,6,1,10,254,12,10,60,4,19
PA14_RS19040,13,13,0,20,5,11,15,13,20,43,4,4,32,18,5,3,0,17,23,8,29,17,8,11
PA14_RS19045,10,18,2,18,7,5,7,22,8,39,2,8,18,10,3,4,0,14,27,18,6,11,2,6
PA14_RS19050,87,56,1,155,12,16,25,103,183,148,12,32,85,99,19,30,10,126,151,55,48,64,54,29
PA14_RS19055,204,112,7,782,58,44,89,133,945,396,53,205,106,481,56,132,7,339,312,231,141,198,142,174
PA14_RS19060,68,58,0,277,6,38,23,26,220,82,19,6,30,31,11,73,0,61,24,7,105,24,38,18
PA14_RS19065,1435,2744,47,3282,576,593,1529,2119,3302,5348,166,272,5075,1296,1295,988,36,3254,1701,1590,3902,2114,3553,823
PA14_RS19070,246,339,19,233,73,87,227,86,210,653,37,20,236,112,234,126,11,182,122,314,401,353,107,110
