Name,B_1,B_2,B_3,P_1,P_2,P_3
thyA,197,193,132,158,201,146
PA0343,57,53,37,76,73,86
PA0344,8,19,17,5,21,15
PA0345,18,17,12,22,24,19
PA0346,11,31,32,15,14,13
glpQ,17,24,12,17,29,18
PA0348,18,30,17,32,26,34
PA0349,10,12,9,23,15,23
folA,46,37,30,60,79,74
PA0351,49,39,29,35,38,37
PA0352,204.6666667,186.1666667,125,179,174,183
ilvD,132,145.1428571,112,162,155,132.25
PA0354,219,203,170,190,173,163
pfpI,65,59,34,67,45,58
PA0356,135,144,82,154,163,160
mutM,73,77,57,85,98,64
PA0358,54,46,38.33333333,45,74,61
PA0359,77,164,123,150,184,151
PA0360,83,123,93,205,217,182
PA0361,62,60,43,54,59,60
fdx1,206,198,138,174,186,214
coaD,65.44444444,120.9444444,71.55555556,138.5,156.5,129.5
PA0364,26,45,25,48,66,52
PA0365,9,28,22,29,41,50
PA0366,73,47,38,81,85,72
PA0367,58,37,15,74,65,68
PA0368,28,45,36,50,45,47
PA0369,15,12,9,16,25,19
PA0370,24,20,9,36,33,30
PA0371,63,49,40,40,57,64.08333333
PA0372,199,188.3333333,104.3333333,167,188,127
ftsY,142,132,123,134,156,131.2
ftsE,82,101,57,82,106,72
ftsX,246,242,182,155.2,187,157
rpoH,2502,2256,1458,1338,1297,1148
PA0377,76,51,48,29,31,17
PA0378,61,63,48,52,67,45
PA0379,51,51,37,77,91,58
PA0380,97,129,103,97,96,70
thiG,160,148,84,125,120,103
micA,182,163,98,70,99,39
PA0383,30,36,14,26,23,20
PA0384,26,21,17,18,20,14
PA0385,77,86,55,79,68,68
PA0386,69,70,45,24,49,26
PA0387,25,43,29,38,31,37
PA0388,112,208,115,101,102,109
PA0389,69,78,80,79,82,54
metX,116,150,117,209,211,177
PA0391,56,46,43,77,115,114
PA0392,76,84,71,83,131,89
proC,44,33,20,27.5,34,29
PA0394,93,93,61,49,49,45
pilT,144,196,149,280,362,296
pilU,80,95,82,161,196,215
PA0397,35,56,36,68,67,62
PA0398,57,69,67,146,150,130
PA0399,47,67,69,101,111,93
PA0400,57.5,55,48,79,100,86
PA0401,54,51,35,69,87,62.14285714
pyrB,197,177,136,167,196,145
pyrR,84,101,62,87,89,79
PA0404,34,26,13,18,37.07142857,19
algH,88,61,49,63,94,84
tonB3,79,74,64,73,80,67
gshB,142,176,112,185,184,185.0434783
pilG,351,492,335,351,384,334.3333333
pilH,139,189,150,273,290,218
pilI,92,126,100,147,218,165
pilJ,159,241,208,266,414,419.5
pilK,184,238,134,392,542,449
chpA,279,463,386,616,783,723
chpB,49,73,36,108,134,122
chpC,28,40,23.33333333,22,39,30.33333333
chpD,17,21,13,23,37,28
chpE,20,30,25,31,23,24
PA0418,21,37,26,49,58,48
PA0419,20,42,29,46,35,27
bioA,96,83,87,96,134,150
PA0421,159,169,116,210,197,192
PA0422,1209,956,546,1776,1774,1295
pasP,763,393,238,444,523,379.5
mexR,260,336,228,95,98,97
mexA,613,454,274,445,373,396
mexB,868,548,428,404.0769231,566,515
oprM,192,154,97.25,145,199.0769231,181
PA0428,644,424,345,166,238,218
PA0429,1181,938,684.2,574,721,730
metF,276,144,77,82,96,99
PA0431,320,115,95,31,56,53
sahH,907,488,279,249,322,276
PA0433,22,25,19,32,21,14
PA0434,13,21,20,20,18,23
PA0435,38,37,19,38,44,43
PA0436,97,140,118,178,220,223.5
codA,13,20,11,15,22,17
codB,15,20,13,28,22,16
PA0439,14,11,8,19,26,16
PA0440,11,13,18,32,19,21
dht,35,49,43,30,38,33
PA0442,40,30,19,22,27,19
PA0443,41,30,27,47.5,42.5,33
PA0444,16,19,22,24,21,16
PA0445,89.33333333,64.66666667,47.16666667,68.33333333,76.83333333,64.83333333
PA0446,38,149,127,44,74,72
gcdH,119,506,478,160,278,344
gcdR,120,213,148,139,168,124
PA0449,254,724,502,420,455,331
PA0450,41,49,29,51,56,52
PA0451,116,193,161,68,67,93
PA0452,93,111,75,117,110,116
PA0453,10,16.5,11.5,11,19,13.5
PA0454,79,116.3333333,63.33333333,95,103,88
dbpA,92,93,71,63,111,76.16666667
PA0456,1322,889,590,674,1166,940
PA0457,43,53,30,38,67,47
PA0457.1,6,5,6,16,17,25
PA0458,38.33333333,34.33333333,28,58,95,60
PA0459,65,124,123,474,695,630
PA0460,214,184,98,220,241,211
PA0461,125,109,80,140,152,109
PA0462,347,264,136.5,152,151,122
creB,64,78,50,68,65,59
creC,25,18,16,41,34,29.1
creD,42,32,27,43,50,35
PA0466,9.5,10,7,21,19,7
PA0467,6,15,16,17,18,19
PA0468,38,44,34,29,31,43
PA0469,53,60,46,59,84,71
fiuA,56,95,55,65,58,61
fiuR,19,31,36,6,6,7
fiuI,121,182,110,98,80,65
PA0473,79,91,66,128,131,132
PA0474,4,6,5,11,10,6
PA0475,9,10,12,25,23,12
PA0476,66.07142857,78,58,58,70,75
PA0477,36,55,51,46,46,41
PA0478,39,34,26,41,28,30
PA0479,19,50,34,19,35,26
PA0480,10,13,10,7,5,14
PA0481,35,40,24,63,74,54
glcB,216,363,228,175,252,203
PA0483,66,64,65,81,86,91
PA0484,76,120,87,149,185,199
PA0485,210,192,111,110,117,120
PA0486,67,57,48,48,77,64
PA0487,22,27,25,45,41,44
PA0488,15,23,16,21,24,24
PA0489,10,7,5,8,7,3
PA0490,237,209,115,71,57,48
PA0491,75,137,87,37,59,47
PA0492,412,293,232,37,69,43
PA0493,137,98,66,64,71,34
PA0494,138,87,70,35,52,21
PA0495,134,59,45,38,60,32
PA0496,157,86,52,52,86,27
PA0497,93,87,63,110,109,119
PA0498,69,72,52,73,101,75
PA0499,28,39,13,41,41.33333333,51
bioB,320,379,293,127,231,115
bioF,34,71,58,24,31,16
PA0502,21,31,21,24,31,20
PA0503,12,27,17,11,14,7
bioD,1,9,9,4,7,4
PA0505,233,219,142,159,159,132
PA0506,1019,1677,1150,530,545,466
PA0507,48,58,34.375,69,86,56
PA0508,217,175,123,99,96,76
nirN,74,162,126,365,498,416
nirE,22,54,46,108,150,111
nirJ,57,113,94,183,289,209
nirH,26,49,55,149,241,179
nirG,23,42,62,117,170,126
nirL,33,63,82,117,177,113
PA0515,32,84,88,91,188,123
nirF,88,235,185,323,639,419
nirC,34,102,60,378,594,389
nirM,34.33333333,106,65,418,645,450
nirS,420,902,732,2910,4780.5,2912.5
nirQ,100,143,90,96,134,125
PA0521,52,93,61,33,61,24
PA0522,17,28,10,5,20,1
norC,1113,1218.142857,794,413,1128,289
norB,892,1312,986.5,338,901,275.0416667
PA0525,215,450,407,89,231,60
PA0526,90,161,136,252,345,165
dnr,34,45,36,124,113,115
prrH,3210,6789,6522.666667,263,354,172
PA0528,20,27,18,31.5,33,38
PA0529,220,314,243,99,133,121
PA0530,36,54,24,51,50,33
PA0531,18,25,21,24,24,9
PA0532,20,23,10,20,19,22
PA0533,48,48,24,67,87,65
pauB1,237,424,317,202,187,177
PA0535,69,123,118,42,39,28
PA0536,104,61,51,74,83,63
PA0537,455,347,194,236,237,197
dsbB,89,96,59,59,69,56
PA0539,69,72,66,46,46,31
PA0540,155,198,142,248,252,287
PA0541,63,104,70,143,159,177
PA0542,18,21,15,45,58,38
PA0543,39,50,26,40,35,34
PA0544,22,30,24,37,37,33
PA0545,99,181,142,276,185,193
metK,1654,1117,832,204,269.25,420
PA0547,1569,1507,1283,290,390,483
tktA,715,623,458,523,571,545
PA0549,179,106,71,49,64,73
PA0550,6,7,4,8,8,9
epd,201,212,90,206,195,159
pgk,140,106,62,111,140,87
PA0553,63,94,58,41,37,45
PA0554,83,91,70,74,93,62
fda,359,256,155,186,263,247
PA0556,21,31,19,15,22,21
PA0557,8,15,11,17,14,14
PA0558,55,60,54,66,82,82
PA0559,43,43,33,42,56,57
PA0560,116,89,83,100,161,141
PA0561,262,264,181,321,318,284
PA0562,71,58,43,60,76,51
PA0563,189,159,116,169,241,177
PA0564,29,27,30,34,46,37
PA0565,26,41,20,34,36,42
PA0566,18,24,12,25,34,36
PA0567,118,125,78,31,45,50
PA0568,21,21,13,28,28,26
PA0569,12,13,13,16,13,14
PA0570,7,14,9,22,15,23
PA0571,54,64,34,60,90,87
PA0572,47,56,50,245,391,363.25
PA0573,15,11,24,27,29,27
PA0574,75,74,54,101,132,104
PA0574.1,83,118,98.5,91.25,89,78
PA0575,130.5,109,92,153.0909091,160,183
rpoD,6786,4634,3360.5,2260,2866,2526
dnaG,791,575,320.25,180,246,225
PA0578,589,439,275,91,135,90
rpsU,2316,2131,1338,625,825,590
gcp,467,517,417,232,286,222
PA0581,52,84,38.5,56,67,54
folB,112,71,37,61,60,39
PA0583,115,55,23,35,31,36
cca,43,57,32,56,70,51
PA0585,25,44,50,28,37,30
PA0586,257,440,462,461,590,568
PA0587,185,325,298,412,491,396
PA0588,930,1106,856,1536,1717.2,1710
PA0589,33,33,27,26,40,36
apaH,124,129,73,104,100,105
PA0591,55,64,40,39,43,33
ksgA,327,326,219,241,239,233
pdxA,93,58,45,48,86,69
surA,350,290,195,220,341,325
lptD,1570,1374,953,1102,1502,1247
PA0596,236,358,217,198,175,156
PA0597,32,43,33,50,42,27
PA0598,65,64,64,81,78,64
PA0599,30,32,31,41,43,35
agtS,248,326.1666667,257,230,275,231
agtR,53,40,34,41,52,37
PA0602,66,91,70,165,221,188
agtA,409,211,105,47,71,53
agtB,171,82,63,42,62,55
agtC,106,64,37,42,66,47
agtD,68,56,30,45,64,48.07692308
rpe,280,252,197,227,254,226
PA0608,172,161,118,163,222,177
trpE,229,169,119,227,288,204
prtN,46,41,35,39,48,38
prtR,37,59,34,85.25,84,87
ptrB,3,2,2,3,6,2
PA0613,9,15,6,32,16,16
PA0614,5,11,3,24,25,22
PA0615,36,34.16666667,33,77,58,76
PA0616,21,25,17,41,31,41
PA0617,4,9,9,15,12,20
PA0618,28,39,32,72,65,58
PA0619,10,19,8,34,48,40
PA0620,239,264,216,351,431,436
PA0621,59,49,47,121,156,162
PA0622,38,55,43,80,121,123
PA0623,20,26,20,77,72,73
PA0624,15,10,9,38,23,36
PA0625,52,71,60,125,132,126
PA0626,28,31,36,56,50.08333333,67
PA0627,10,11,10,23,29,22
PA0628,38,31,28,64,71,63
PA0629,6,9,5,9,16,12
PA0630,4,3,6,4,8,6
PA0631,1,4,7,4,2,6
PA0632,11,8,5,25,35,28
PA0633,31,30,18.25,76,88,96
PA0634,9,10,6,38,44,51
PA0635,7,7,10,24,28,24
PA0636,42,52,40,117,99,88
PA0637,12,12,11,21,23,23
PA0638,5,12,11,9,14,17
PA0639,11,17,11,29,21,28
PA0640,13,13,18,43,34,40
PA0641,39,61,44,93,89,105
PA0642,83,75,63,94,105,80
PA0643,66,82,65,108,114,123
PA0644,101,81,66,145,132,141
PA0645,74,70,61,99,109,107
PA0646,131,159,115,204,197,208
PA0647,65,66,48,110,133,121
PA0648,127,116,79,203,224,229
trpG,90,70,57,98,118,92
trpD,129,118,87,200,214,210
trpC,78,94,54,82,113,97
vfr,384,369,206,389,522,492
PA0653,193,199,151,256,313,223
speD,254,213,138,93,130,90
PA0655,181,195,169,252,203,221
PA0656,30.2,45.2,36,52,66,62
PA0657,75,114,81.5,138,166,139
PA0658,80,91,49,71,72,69
PA0659,88,122,72.25,181,232.25,167
PA0660,62,74,61,79,105,77
PA0661,41,81,49,99,78,86
argC,368,276,220,385,398,399
PA0663,91,84,58,79,108,107
PA0664,120,128,85,96,115,112
PA0665,712,909,674,326.3333333,362,350
PA0666,285,170,127,65,125,99
PA0667,821,649,412,382,421.5833333,327
tyrZ,1085,853,768,550,859,751
PA0668.1,1064665.778,1124666.362,815083.2111,1084545.383,1016859.267,1052734.319
PA0668.2,3039.7,1767.5,1315.75,447.45,684,569.65
PA0668.3,559.25,390.5,369.75,154.75,191.5,175.5
PA0668.4,4221958.211,5516971.435,4702746.84,3910266.15,4043480,4017187.038
PA0668.5,203827.6524,266891.8762,277261.2667,289920.2548,265869.2786,277262.319
PA0669,111,145,89,115,129,135
PA0670,11,14,12,22,12,24
PA0671,20,8,9,3.5,8,9
hemO,253,383,236,67,73,46
PA0673,11,13,9,25,22,19
vreA,37,26,10,17,9,17
vreI,19,17,7,8,6,9
vreR,24,23,14,12,10,8
hxcW,3,13,8,17,14,7
hxcU,8,11,2,8,9,4
hxcP,8,21,23,12.25,13,13
hxcV,11,13,7,13,10,9
hxcT,12,9,3,12,8,11
hxcX,4,4,0,8.25,5,10
hxcY,0,4,6,7,4.166666667,6
hxcZ,7,3,2,10,7,4
hxcQ,23,11.75,5.25,23,17,15
hxcR,6,8,8,6,11,11
hxcS,7,9,8,11,15,8
lapA,19,19,16,15,33,21
lapB,78,79,61,81,102,102
pdtA,428.6666667,579.5,342,494.25,519,459
phdA,29,21,8,33,33,29
pdtB,9,13,5,39,27,14
exbB2,17.07692308,14,7,17,20,10
exbD2,4,4,3,9,14,9
PA0695,0,4,0,1,1,4
PA0696,10,11,12,15,20,14
PA0697,10,8,6,11,10,10
PA0698,9,5,9,21,11,12
PA0699,3,1,0,8,8,6
PA0700,1,8,5,9,2,6
PA0701,20,19,12,20,23,15
PA0702,7,5,6,6,10,17
PA0703,20,28,20,38,35,22
PA0704,47,63,42,41,79,52
migA,176,147,111,136,159,135
cat,214,241,215,198,246,222
toxR,50,117,103,13,14,18
PA0708,64,79,69,60,73,61
PA0708.1,11,13,25,16,26,22
PA0709,17,24,8,27,21,32
gloA2,8,9,8,12,8,10
PA0711,13,16,8,15,14,23
PA0712,48,38,26,29,35,53.5
PA0713,154,474,348,231,240,290
PA0714,123,123,92,165,180,273
prrF1,1763.5,3852.5,3329.833333,159,217.5,97
PA0715,466,334,268,245,332,267
PA0716,267,231,187,180,273,215
PA0717,22,24,6,29,25,29
PA0718,22,16,16,22,24,13
PA0719,20,23,16,19,30,12
PA0720,19,19,21,26,33,22
PA0721,8,6,6,6,6,4
PA0722,30,28,27,45,45,53
coaB,46,36,37,92,82,82
PA0724,125,174,125,154,146,150
PA0725,17,31,16,36,28,34
PA0726,51,81,47,106.2,103,100
PA0727,151,224,155,208,215,162
PA0728,96,85.5,72,101,81,106
PA0729,440,214,131,130,174,149
PA0729.1,177.8333333,284.5,242.8333333,274,316.25,290.2
PA0730,76,84,58,186,277,268
PA0731,114,88,69.33333333,77.5,90,92
PA0732,113,109,63,70,103,103
PA0733,63,59,31,36,36,40
PA0734,70,57,39,25,36,17
PA0735,13,7,17,19,14,13
PA0736,27,35,24,49.5,59,44
PA0737,201,128,62,33,26,20
PA0738,61,38,22,10,17,10
PA0739,76,64,41,80,76,57
sdsA1,32,27,13,27,29,37.16666667
PA0741,19,30,25,18,31,35
PA0742,8,15,11,17,39,25
PA0743,43,34,50,56,63,57
PA0744,21,44,43,66,121,80
PA0745,24,51,36,77,127,118
PA0746,28,62,47,61,139,111
PA0747,55,58,51,128.25,160,174
PA0749,42,46,21,66,80,46
ung,39,36,20.5,67,67,41
PA0751,25,32,21,25,41,34
PA0752,16,21,17,42,34,41
PA0753,7,5,7,4,9,9
PA0754,32,29,21,32,65,34
opdH,40,44,24,41,56,36
PA0756,44,61,28,54,49,40
PA0757,26,27,19,19,21.14285714,19
PA0758,158,111,83,81,139,97
PA0759,84,111,87,132,149,92
PA0760,134,119,62,114,111,73
nadB,247.1666667,274.6666667,186.6666667,155.1666667,186.1666667,184.5
algU,4914,3518.166667,2075,1091,1004,811
mucA,2134,1100,717,547,428,389
mucB,891,676,492,334,337,273
mucC,455,353,256,266,333,258
mucD,376.3333333,300,211.3333333,228,339,310.3333333
