,FPKM of control,FPKM of Ag NP-1ppm,FPKM of Ag NP-20ppm,FPKM of Ag NP-25ppm-1,FPKM of Ag NP-25ppm-2,FPKM of Ag NR-1ppm,FPKM of Ag NR-30ppm,FPKM of Ag NR-300ppm
PA2102,74.7619,35.88825479,14.98454842,37.2106,44.0498,72.32987951,81.05867513,69.94846797
PA0213,52.2639,44.44790875,18.84667823,97.2452,75.4629,44.90880913,50.88449864,63.89502329
PA2103,22.4277,15.09148619,11.92883449,14.0852,18.8641,23.08635196,25.79999438,26.50024353
PA2104,45.0251,23.37904924,23.51334438,20.857,30.0956,35.64729076,43.74362567,43.01361941
PA2105,42.4488,22.61229906,42.88717459,21.0444,22.9307,36.74547631,44.18335923,42.19890128
PA2106,27.3201,21.89360055,41.45429956,13.8158,16.6632,30.17491221,30.78454384,28.02561998
PA2107,33.3559,12.48091964,6.114604773,16.064,17.4878,20.4305957,31.02953099,32.57283179
PA2108,25.7791,12.44408149,7.070250244,12.5965,12.2815,17.39968254,22.64473683,19.40440224
PA2109,17.8036,11.64713008,7.281020829,11.4497,13.4625,12.35774617,19.84035673,14.75540062
PA2110,19.7442,10.33251321,6.962109533,13.5691,12.2972,14.64664206,25.45842057,23.00315449
PA2111,26.2964,19.42285265,15.38846981,21.1128,20.595,18.64470124,24.42005301,25.95021932
PA2112,22.6448,14.85105704,12.31570257,17.7357,16.5535,15.30761342,27.42361114,27.96297816
PA0214,68.1432,47.27447719,19.08890329,122.602,102.716,58.11538725,63.55105581,70.06859171
opdO,15.8887,14.28725937,11.61213061,12.6297,11.9001,12.54350128,16.10419216,15.16888651
PA2114,29.4101,23.46584854,23.03746212,22.1888,17.6526,24.77309573,30.02189305,27.70132395
PA2115,22.371,14.32091962,10.6498381,14.7151,13.2784,16.53120155,24.46037564,24.44783475
PA2116,15.3427,15.06954046,10.94148857,10.5759,11.6768,13.23132323,16.37807659,16.77534638
PA2117,30.6343,14.52832314,15.93303867,17.2777,15.32,21.52796398,29.19973042,25.62848186
ada,24.6663,12.16657785,3.723325985,13.4625,9.20534,19.9649199,28.7209341,24.4982193
PA2118a,18.8508,51.43838652,36.58293399,16.5141,26.3738,19.85212667,25.04769331,26.91935785
PA2119,43.4134,125.7033231,160.6562119,38.2371,43.5298,55.38933451,63.36403287,67.16608195
PA2120,13.6048,11.87370257,21.5055611,13.2974,13.4871,15.89345552,16.65670779,10.48009712
PA2121,27.454,16.80458916,12.08136018,17.2546,14.4231,21.40004989,26.63521603,27.34212033
PA0215,29.9323,37.95978113,40.21002924,48.4783,45.6587,34.87922976,28.58732418,31.3604193
PA2122,27.6819,86.68005244,78.32544691,34.3829,34.7652,26.57063805,31.49869782,25.94288818
PA2123,17.8517,49.25850855,33.95824317,15.912,17.7638,16.3032073,20.20477547,22.63647527
PA2124,24.3208,12.88679531,9.949802769,17.0657,13.1814,17.740323,24.61390362,23.46601694
PA2125,21.9587,11.83347935,14.39684311,17.0207,14.5242,13.27020223,25.45035406,25.97321994
PA2126,20.7229,36.53133305,36.08020501,19.3433,20.378,17.16535806,23.31891544,32.05872163
PA2127,26.1715,44.89837438,81.73429903,26.5659,24.5611,24.94675815,26.66173321,28.20223971
cupA1,23.7342,58.10640622,146.3051994,44.4751,45.4962,23.57569544,37.6952191,37.25679245
cupA2,20.2567,21.67446825,25.23339165,17.8894,12.7515,19.1027449,19.56636252,20.10500064
cupA3,23.0289,12.58707195,6.151331258,14.1391,13.0485,15.82192201,24.26821214,22.3607592
cupA4,20.5818,11.99378214,7.255603583,11.8945,12.6218,15.15157679,19.46022281,18.55219978
PA0216,56.1622,76.11860282,45.47426438,103.218,107.558,58.74209821,50.04087043,45.6159891
cupA5,22.2864,12.30114068,1.978459905,11.54,7.20825,16.09657359,22.68168157,19.82139292
PA2133,20.4918,15.04484559,3.397162079,12.9551,12.9093,16.55085649,21.81084896,18.79887563
PA2134,39.7539,18.07536429,26.79544657,14.1821,13.6298,20.31819714,26.09714631,22.88907644
PA2135,26.2934,9.497447136,4.546733237,13.9012,10.9872,19.56765975,27.27037801,26.82081898
PA2136,19.9868,9.651938121,2.70526256,8.85026,9.93744,13.47122713,22.56089106,20.97114866
PA2137,22.0304,26.19219035,34.47732373,14.8207,14.7818,20.11416443,24.89444296,17.85764703
PA2138,19.2957,15.11013155,12.31349072,12.6595,11.3218,16.99694459,18.95975301,20.19439834
PA2139,22.5375,7.149264326,5.686290266,8.21387,11.6356,30.45357941,13.48065983,27.24627825
PA2140,42.3033,18.58997898,0,28.6998,28.7181,26.08508754,49.70982876,33.52808817
PA2141,21.1848,11.27223982,1.671922045,12.6259,9.52607,14.85931509,21.67868753,19.05969784
PA0217,38.8566,48.81974192,32.23891694,69.4019,80.4447,35.28107892,33.19235549,36.60994836
PA2142,25.6866,13.27114114,6.827176789,12.0182,16.8673,23.57807074,23.78619351,18.35797766
PA2142a,30.976,7.478488015,17.37723476,5.89425,12.6383,5.499298501,14.61833942,20.69710888
PA2143,36.8273,21.27585,30.21105462,17.7047,18.5328,35.25512954,37.72071878,35.98306203
glgP,29.6169,18.09501454,14.9956123,13.8981,17.2794,26.69977112,26.67796627,24.34611422
PA2145,21.3502,13.26975979,22.43276495,7.50946,12.796,22.97198033,17.6008941,15.71151588
PA2146,95.111,69.96363057,647.3192368,110.437,49.3809,55.09764181,61.73820628,50.60623183
katE,21.9768,12.58111397,10.23349148,11.9001,14.8192,17.57279741,20.01331365,18.66442171
PA2148,32.4251,13.70804898,6.356317872,20.1784,12.8012,26.046695,33.62930396,30.11667051
PA2149,16.1468,14.12165391,3.749924841,6.00565,7.91214,9.512428702,18.17284308,12.69700962
PA2150,35.7066,17.61007322,11.88707642,15.2707,21.1553,28.67706325,32.17075021,28.63082196
PA0218,57.9106,110.105181,83.7118015,107.494,120.009,63.45783572,53.96238763,56.09700269
PA2151,29.8023,15.9204181,6.609111321,14.3916,17.4678,22.37521122,29.69876194,24.4440202
PA2152,27.5005,13.35945122,7.089075193,13.5772,14.3479,20.12864302,27.03219839,23.2983074
glgB,25.3069,13.88631104,8.882112061,14.7062,13.2396,20.47283752,25.28777351,22.71057206
PA2154,27.7893,10.07656972,7.620781089,14.6379,13.9202,19.22754406,26.88933634,23.37930134
PA2155,24.3081,9.81328903,3.223431364,10.4843,9.35722,17.71787903,25.63828069,20.18198963
PA2156,20.0491,9.539053634,4.080158853,14.1263,10.3367,17.45451669,22.8851686,23.17440908
PA2157,37.9357,18.62120282,8.075003556,21.7388,19.8985,27.76475388,32.76866228,31.66626387
PA2158,25.2299,14.35815909,10.52305572,15.5709,17.3761,20.18644363,25.97608619,24.18595522
PA2159,32.9884,34.5629463,57.08661529,20.2543,18.5115,24.19889139,29.64696323,22.7339181
PA2160,28.3108,15.70688623,15.41280916,16.2066,16.9438,24.07939956,24.59780368,21.13448669
qor,56.0096,131.0531197,146.2380614,133.546,129.521,65.66067878,52.56946629,53.7050927
PA0219,49.5749,202.4172992,151.1715463,111.764,117.118,42.92304866,43.8767392,45.31842563
PA2161,20.4286,6.523537076,3.770105085,9.68622,14.6252,21.68635758,25.55034993,13.30227732
PA2162,26.7867,10.45068574,5.101968985,14.9921,11.5061,20.91891244,27.87231991,25.45303304
PA2163,37.0978,14.28302701,8.28645866,19.5663,17.1931,23.20120632,39.56350042,34.95857953
PA2164,21.7562,12.66689956,8.22041336,13.3441,13.0779,18.28724537,22.79064702,21.0755999
PA2165,27.2067,17.20615918,16.82723955,13.9179,15.7767,24.84563088,26.79960343,26.20692843
PA2166,27.1183,50.35381713,194.4309676,41.2191,45.1923,25.67620133,30.58265955,30.22617793
PA2167,38.0102,31.02552792,28.68332739,22.3335,21.9359,28.22912091,37.4014676,35.48201881
PA2168,35.2611,16.52835683,9.36445074,15.5984,17.4559,26.81090896,36.56101862,32.92566064
PA2169,20.141,24.3961156,25.1074486,10.0314,15.0122,19.61095094,16.48070786,21.016779
PA2170,6.6198,12.81901111,16.24671322,4.31162,0,15.65482031,6.924650486,9.236683016
PA0220,46.3585,97.86401447,56.43836053,81.6619,88.1982,43.77825515,38.6225626,40.34166007
PA2171,46.2318,69.08087375,49.37994163,29.5536,29.7299,40.38414896,50.22609233,51.55087278
PA2172,23.2755,24.21351268,19.55566747,16.2963,13.2516,21.4030924,22.42271643,25.73283515
PA2173,16.241,26.80529152,21.05803162,11.5959,9.27466,8.892629833,18.64763134,21.51632761
PA2173a,48.8709,35.68887247,23.89528554,19.3212,19.163,36.41874478,39.99017356,19.19118183
PA2174,86.2483,37.54314569,17.04004133,30.5009,36.4823,62.95636903,78.07000839,51.50735859
PA2175,21.8866,28.41192888,43.51142675,11.5685,19.9843,23.94439431,24.84397295,19.94152139
PA2176,17.8667,18.3425176,19.27572192,12.7262,13.6913,14.96953745,26.21137887,20.52471678
PA2177,25.8868,17.80709286,14.81639589,14.8671,16.084,23.08003292,27.67338338,24.2429364
PA2178,30.3073,17.77542969,6.235192136,15.9202,17.3983,26.40595052,30.88381442,26.51236336
PA2179,27.5498,12.17591299,4.790132643,12.6034,12.5051,19.4931809,22.85726379,22.62292032
PA0221,26.8873,174.0439844,155.6880321,87.5072,97.3135,26.94702017,22.91042847,25.52165258
PA2180,28.6204,17.46497186,9.278234887,12.801,16.1626,23.61375729,24.08700549,23.21132511
PA2181,27.308,12.75506118,5.78307401,15.8967,14.8247,19.55792789,31.21906433,24.36915996
PA2182,33.9221,18.35408749,8.638427993,14.8729,22.7459,39.2230223,34.36880917,24.35508336
PA2183,12.5218,7.478248098,8.159522883,0,3.45594,13.25797484,14.14355433,12.56893929
PA2184,30.6495,12.91985079,22.20133939,15.5381,17.1467,29.02443712,29.27417686,21.21188712
katN,27.8915,18.51244138,14.15332683,19.1207,20.5467,27.73818067,31.58920004,24.23545674
PA2187,17.8036,14.35971934,13.98682919,11.2454,14.0332,12.88770833,12.30452684,16.58800324
PA2188,24.0359,10.16027306,3.949955991,10.901,11.7517,19.33787588,22.40938176,16.22384693
PA2189,29.4155,15.98052055,9.225065811,16.7499,18.493,21.6081265,30.63840437,19.68669136
PA2190,42.5193,34.94828979,90.78319289,28.2981,31.0745,29.79371579,36.69584693,23.30724281
PA0222,35.7737,112.6071968,60.13853171,77.022,80.3364,34.68240182,32.01717885,28.04034135
exoY,33.465,20.34001794,11.05389548,23.2625,24.1557,29.81178367,35.7126556,28.37806139
PA2192,26.6816,10.60439783,7.100387987,10.1223,15.5598,16.73120459,27.20889561,15.77256668
hcnA,29.716,14.30797809,9.180720197,14.3586,6.16814,29.1774816,30.39996282,39.35949724
hcnB,23.349,13.94389442,4.367553031,12.181,10.7873,22.08821865,25.89435068,27.18949784
hcnC,21.8387,11.86252355,7.037494592,12.4433,10.451,24.02146375,28.69728576,30.72762206
PA2196,23.1474,18.12514967,27.5646867,11.9027,17.7729,17.41538712,23.93150148,20.96975607
PA2197,24.4522,26.81216262,23.41514591,16.759,18.7313,23.37481945,25.85574205,25.60706802
PA2198,29.8929,23.62672604,9.590287395,13.9208,15.8197,20.52297793,25.67691421,22.04722273
PA2199,33.4231,33.64917962,24.99709671,18.5701,22.5195,31.3272746,41.62854067,39.44464983
PA2200,21.9969,11.70042076,6.272920064,13.416,12.5562,17.24426353,21.47614964,20.08309564
PA0223,104.881,138.939328,272.8109832,88.4554,98.7681,91.68207263,86.39208972,81.20008519
PA2201,17.7484,7.705925778,5.705595252,10.2748,8.9165,14.91112778,21.76410205,17.683137
PA2202,34.6046,17.55353248,4.317362579,26.923,18.2498,27.67325706,38.54210893,40.11022581
PA2203,27.9708,13.15188376,4.668846004,18.7973,17.7469,17.14754198,30.7052897,25.54439446
PA2204,78.8342,45.91723158,100.9523291,27.4537,45.5856,79.75437498,98.54381258,92.59424893
PA2205,16.1607,8.427271219,9.97699595,8.34785,12.2102,15.47335818,19.10182975,15.89999717
PA2206,33.1389,18.71786057,11.28661225,15.5533,19.1875,28.20235008,34.1080606,29.90397915
PA2207,22.1234,8.783244916,3.792260808,12.4161,12.9287,17.34352665,19.86647402,17.91946431
PA2208,16.8759,7.679257429,2.579761056,9.89665,11.0828,13.80120616,19.47770468,11.83738805
PA2209,21.4969,10.26468551,5.115656877,10.59,12.7465,19.14681495,20.54355072,17.79929936
PA2210,20.6475,10.57195877,3.001685858,15.8261,11.6021,20.02514949,22.31167356,23.41294266
PA0224,61.0776,110.7635309,145.2783814,115.761,127.466,75.5815703,64.39302377,62.44115362
PA2211,28.4768,13.52921636,4.517453161,15.2405,11.5423,19.525788,30.80878025,28.11406319
PA2212,22.4019,8.886304476,2.415873529,12.8883,11.0009,16.31914585,22.32564899,19.19903946
PA2213,16.7361,7.20559247,2.436848867,10.4004,10.3961,15.40479673,15.98974203,13.11961973
PA2214,29.9934,13.44993212,5.406330296,17.0261,15.5897,21.53274137,26.81789226,23.50691108
PA2215,22.4881,9.900573718,9.942812994,12.0251,15.6468,18.27675598,20.35282453,17.83839726
PA2216,24.4624,9.110045347,3.116110667,14.1826,15.5906,19.9413942,21.89562931,19.49735517
PA2217,24.7014,10.81994688,2.754017405,13.4349,14.2074,22.53746713,26.9232186,24.16265332
PA2218,24.6258,14.49560524,14.93832116,12.7765,18.9448,24.61015694,24.60463337,22.40485033
opdE,28.1075,18.49437055,5.980847121,15.5764,16.9869,26.2780377,27.79875622,17.35546351
PA2220,33.8679,17.05045485,26.06203699,18.1327,20.3905,33.39108939,33.56238632,27.87137609
PA0225,64.5302,81.05608839,64.42798833,119.839,112.359,80.10783202,54.74534684,64.61742064
PA2221,21.1428,12.98221142,41.7539828,12.7407,19.7738,17.03160637,20.9783969,17.05806276
PA2222,32.8833,26.83508235,44.87067521,21.0188,25.5398,33.12944077,39.38052977,38.76334349
PA2223,39.5067,30.08663537,55.07332672,21.1066,28.0056,38.37694201,41.83316373,34.27423166
PA2224,23.6962,18.63628992,47.92827404,11.7709,14.0135,18.60942368,24.39163944,20.91027233
PA2225,41.8996,24.4472785,49.89940437,17.8447,26.7826,36.6939115,45.78142795,37.30992319
PA2226,28.5536,24.57236127,47.86066938,15.0767,16.7715,29.13446749,27.71551837,27.78072479
vqsM,27.825,29.66888721,64.27919937,19.137,18.5682,28.92735927,33.10033193,28.07882034
PA2228,35.7936,23.24299312,45.22345854,23.1812,23.9574,34.36896019,38.9423256,31.44973004
PA2229,16.2264,26.19082797,33.55941841,13.9183,13.9132,19.88809788,19.42638848,16.65605664
PA2230,18.8617,20.88374441,34.2651174,13.9566,13.9984,22.5289983,21.43840989,19.40035925
PA0226,32.4597,32.80407655,22.35720538,52.3837,55.7709,30.57561846,30.63741269,30.14220805
pslA,32.0145,29.96151023,46.57005577,19.9298,21.3494,34.10600199,37.98799774,34.11432999
pslB,35.1575,27.85042688,26.14462156,19.2779,18.3198,34.12246453,39.72090416,38.14251979
pslC,30.1839,19.26185981,17.28080091,17.7157,16.6658,28.76988989,34.21720969,32.3646761
pslD,24.6832,22.40029646,22.78267301,18.0208,16.2447,25.98114222,33.68531524,28.65466136
pslE,27.898,22.824952,28.11293001,18.1045,18.4721,27.7662006,32.5616361,32.03318633
pslF,32.5529,15.89114742,8.180415948,16.685,15.7277,30.20056131,37.63009662,36.77827595
pslG,29.3056,20.05323136,11.58666714,15.3226,18.2625,25.45550425,34.33867072,28.14149684
pslH,26.3763,16.63065404,8.759694962,14.2442,14.6985,24.9347171,31.28006497,33.32729602
pslI,31.3783,17.18310155,8.206363673,20.6811,18.3558,24.51115854,36.34837831,31.67830107
pslJ,22.6008,11.58004668,14.0323132,13.4853,12.939,24.10235751,25.44342199,23.55822398
PA0227,27.2195,29.60313157,15.75800637,53.0766,47.1368,26.47468136,23.67888403,26.82251919
pslK,28.4178,13.27751656,7.031992986,17.5356,13.8874,21.37030452,31.99887412,30.02236302
pslL,29.6394,14.72285171,25.01789885,18.6941,20.8484,25.04017531,30.43506121,30.23635124
pslM,27.5916,13.5309454,4.32706142,20.9633,17.3508,20.02917225,30.08484247,25.91767875
pslN,28.3688,14.93379632,16.14686415,18.2594,13.5959,21.94354907,24.43783184,28.88628676
bkdR,21.8496,15.00282481,24.59795254,10.7083,13.2036,20.27120314,23.74618343,20.84033251
bkdA1,30.8977,17.1328473,17.44489962,18.092,18.4006,24.99828292,27.97203485,24.56449143
bkdA2,28.534,20.55407761,13.82652151,14.046,19.2364,24.98241773,22.08089294,19.66397022
bkdB,24.9001,12.25814494,14.26079704,12.8902,10.9531,17.0630794,24.61133198,23.74200647
lpdV,21.5083,17.70078948,17.11467735,13.1229,14.2839,16.43846914,20.96281227,23.95040112
PA2251,21.2093,15.01290314,21.83952293,16.2371,14.1421,17.82158524,21.59352953,23.94756352
pcaF,41.1688,32.98527442,13.40095546,67.299,58.8799,34.37634426,32.10541092,43.79988086
PA2252,24.557,18.50853434,16.13182657,18.6697,14.3448,19.66668787,25.83788145,21.72873471
ansA,34.3198,12.91243431,10.51214761,20.7747,16.5557,25.33870533,38.21411276,33.79569191
pvcA,16.5851,8.35154309,3.848710126,10.082,12.3886,12.46328349,15.22474165,16.95350094
pvcB,22.9752,8.317370361,5.053724029,10.9326,11.7835,15.06697155,22.14162379,22.46755994
pvcC,19.9307,8.973278033,2.80258389,12.8613,13.6524,14.9874999,19.72370927,17.94423471
pvcD,26.7162,9.216175482,2.434720229,16.5929,16.6991,18.86839241,31.17377371,23.94177981
ptxR,19.6269,11.48196115,6.226124513,10.9516,12.1069,14.23703236,17.95405673,14.07614978
ptxS,34.1226,27.95691314,11.54185595,20.4366,17.8847,34.65731589,39.01643221,44.83455488
PA2260,23.1605,13.54965426,5.042162164,11.5653,13.4893,18.47338148,17.67469786,21.05736052
PA2261,19.0818,8.589205815,8.12242368,12.4695,11.4434,15.83323826,21.62425487,22.87053868
hemF,120.073,2632.558045,4744.920221,746.552,789.886,273.9903172,167.6215714,252.6819408
pcaT,42.2867,49.36638781,27.40115016,70.5472,71.4739,38.0880457,34.59504839,38.59013831
PA2262,28.0838,18.02194991,11.41948321,17.6256,18.9273,25.10885158,28.73010517,25.55693067
PA2263,26.8568,13.10445698,6.476152504,18.0343,17.2315,20.91492454,31.86999226,28.41144036
PA2264,18.1468,17.01927175,25.24317898,15.1507,15.8699,15.01758541,13.89776124,16.68200344
PA2265,22.4323,17.36334177,23.89771165,17.1982,21.805,18.67770982,23.41871256,27.19936416
PA2266,16.8941,13.01955308,13.8967867,12.1659,11.3465,14.14359619,16.9780018,16.59671254
PA2267,21.8953,16.29827839,10.79643293,13.8762,14.9886,20.7282052,26.23615807,22.68751943
PA2268,24.923,10.06810383,3.651928782,14.9883,12.7311,15.38166036,28.46156973,23.79976067
PA2269,25.6655,13.50608879,5.449428878,16.6377,15.9779,20.50441535,26.32753056,24.07540206
PA2270,19.3378,13.00948694,20.19382673,13.0078,10.1001,13.75929096,17.32084959,17.45397364
PA2271,14.3649,12.68794347,10.51981209,14.5443,9.65835,14.10579423,15.58653493,17.28728494
pcaB,53.5385,46.26990628,23.07432464,102.852,82.5677,46.96226826,51.11513261,53.93861782
pbpC,28.1852,17.29277778,23.67544421,16.8586,17.4093,22.94485468,27.00292877,25.1124328
soxR,35.9647,21.11968244,47.45190542,19.7145,21.0986,29.22340377,36.78926454,25.88089007
PA2274,12.4278,14.13976664,15.58377643,10.1013,8.49358,18.24954201,14.95334712,14.27939224
PA2275,25.6027,12.44592125,11.2005229,15.0666,12.5543,19.73343579,20.7038571,18.49068883
PA2276,24.2088,11.83318812,10.07689472,12.1421,16.2705,22.60965885,21.43358662,18.27281461
arsR,17.4467,17.83062849,55.06686822,20.7984,22.3683,18.82000676,15.73789435,13.75196837
arsB,31.9415,16.86670364,30.98269567,26.5815,22.2124,24.73479969,33.87922636,28.15205204
arsC,25.9549,10.43765531,33.7693249,23.3962,28.1315,24.35973764,27.32223142,22.06630486
PA2280,24.9631,17.17663461,31.73683261,18.9707,21.101,20.68950938,22.83649186,19.08236133
PA2281,23.8723,19.07671375,28.17978054,16.8354,12.8327,22.54289696,29.61094155,23.71563348
pcaD,47.357,47.63816497,16.18320672,82.9855,71.509,36.37859387,48.82259858,52.25312159
PA2282,41.8693,26.0407846,75.95234343,28.1227,21.7292,40.4418059,45.44892615,35.49295795
PA2283,29.4058,23.46023378,67.11120747,25.8226,21.1364,26.82780249,32.5298751,29.38941886
PA2284,37.7124,35.34120026,84.2389158,51.8962,33.5961,30.3390725,43.13734932,38.96695022
PA2285,28.4209,42.4772646,146.3795171,38.4816,42.2265,28.89485967,33.46511522,29.55285303
PA2286,36.7094,96.25039016,311.266434,90.9055,69.9115,40.3017704,42.84508801,41.90124526
PA2287,47.0997,307.957279,811.6534754,168.656,162.217,59.17130299,64.57702843,56.63775804
PA2288,63.4796,627.8403627,2541.438352,416.853,423.727,123.9301516,86.15320518,80.82168513
PA2289,24.5106,12.39934786,14.9549293,14.0848,15.8104,21.69432081,22.88850062,20.80184462
gcd,36.6364,22.47825802,20.60205519,22.1526,20.633,38.04661252,46.85776374,45.87823343
PA2291,38.4503,36.66604338,51.24984199,24.9641,37.0424,38.71986193,43.21560366,41.79065239
pcaC,30.1308,37.98487305,25.68819421,60.9175,48.384,31.41629368,31.68140311,34.88845525
PA2292,19.0252,8.621157452,13.65445941,18.3652,5.31963,10.06883478,18.58554684,24.43077353
PA2293,39.0858,12.07851701,2.663094372,26.5804,20.2446,29.24337283,40.71138206,36.57382418
PA2294,27.6394,10.14359181,4.381146638,20.648,16.4799,22.63681596,27.2248226,27.89078055
PA2295,30.4939,14.39258165,4.462603665,24.8293,21.1365,25.86114064,34.39951638,33.20104745
PA2296,16.9298,9.161194052,8.005172352,11.0048,11.7856,16.90439078,14.93325346,14.60699209
PA2297,32.1189,23.3196155,11.55662587,21.1558,14.0014,27.65691416,29.36324051,30.49351115
PA2298,21.8339,16.96472868,31.41015001,20.3069,20.6047,21.97719383,26.79096461,28.31262057
PA2299,18.5069,19.61638196,59.7216127,21.5013,24.0813,17.76484708,26.21221456,24.13459319
chiC,18.1288,8.559714933,3.469954867,11.3725,13.3531,18.38747173,18.79023462,18.35212289
PA2301,26.2826,14.12095427,10.85482638,17.6693,17.3356,22.25230633,33.77253278,31.22385358
PA0233,36.5408,43.80185622,27.37257984,56.7579,56.2329,37.06281143,32.31410786,36.14521421
ambE,40.4733,18.7184427,8.04809654,20.6475,17.2713,37.57060226,45.38430647,41.99831243
ambD,25.186,16.1050594,5.95711207,12.9859,13.9487,25.0210128,30.53027771,26.22123565
ambC,31.1468,14.99732879,9.02442912,11.24,10.5791,26.2602886,29.68528356,28.18862034
ambB,44.4734,19.69098091,7.677729642,23.0338,17.598,36.25992784,47.56423908,40.82145862
ambA,21.2209,11.71875997,13.9231963,14.2521,17.0317,16.64372282,18.12131349,16.76045494
PA2307,19.178,7.88258148,6.000153846,10.5743,9.2873,18.45798883,20.99841643,18.46141395
PA2308,19.3309,10.73276241,9.589969171,13.9041,9.81477,19.35423491,20.36865918,22.86485766
PA2309,21.8136,8.511918801,7.612496067,13.0824,13.0364,20.20832176,21.45997163,21.89507011
PA2310,20.8817,12.54713498,8.252659805,11.5647,14.1533,22.0252871,20.36851519,18.6782699
PA2311,46.2163,15.60076301,47.66232503,19.3164,22.3148,19.23558857,23.52094126,18.53616866
PA0234,49.214,57.21066708,37.18789234,88.2154,113.698,54.61561669,44.97004343,49.07232056
PA2312,23.9897,13.14789419,9.775852862,13.3722,16.0722,23.33718362,25.59318434,20.44266687
PA2312a,69.0016,23.17204445,30.31704795,19.1134,19.7633,79.89427872,148.213349,209.6677763
PA2314,32.9411,11.96187465,3.017315268,24.6309,16.3507,21.69027826,36.11685554,36.10666187
PA2315,27.469,12.01865091,6.311245532,18.4533,12.6448,17.79408415,28.71766046,26.86028559
PA2316,27.6564,13.60158263,7.043901965,14.5409,16.456,20.54373693,27.49743758,21.86462519
PA2317,26.7017,13.99586824,12.3034147,15.3378,16.4131,22.81253653,26.46376633,23.35454438
PA2318,45.8572,20.37206899,18.11801465,12.0427,17.5748,34.61501438,42.32857876,33.32076447
PA2319,31.5657,31.54443044,17.18740412,26.9953,33.2082,31.43182655,29.11300891,33.68173847
gntR,31.6845,18.45369787,14.0805299,19.7292,19.8245,31.27138436,42.79434907,34.09156736
PA2321,30.1643,21.29859738,18.69558,27.0744,15.9886,28.38176981,38.23277655,33.84917441
pcaK,37.1956,36.48402493,11.67053225,61.4429,62.4568,34.75623681,29.05495563,31.59187571
PA2322,24.2737,15.88011238,12.2948951,14.375,17.4992,22.00053077,23.3768811,20.74713865
PA2323,28.803,27.37255874,30.61812902,23.341,27.3948,27.795363,34.94182782,37.56844852
PA2324,28.2608,8.598675927,4.727443111,18.1393,14.1636,23.91047162,29.60764127,25.7456037
PA2325,29.6933,10.55764964,3.088832309,18.3931,16.6329,19.67681314,27.3579999,24.60044334
PA2326,16.9536,8.455781264,4.255989078,12.0508,13.52,15.36845919,19.71283797,20.49114025
PA2327,28.2995,11.55935731,3.130158073,14.9184,17.8221,23.73838215,26.26920575,20.19738564
PA2328,21.2025,9.361599554,4.088356742,11.8126,10.5674,16.43023923,19.97687578,20.39694912
PA2329,36.5142,12.12451921,4.639642358,23.4768,15.9685,30.25809717,37.90686465,31.58662152
PA2330,29.9868,9.40324543,4.767559644,18.1041,15.6363,22.06095289,34.49061319,31.95479593
PA2331,21.9094,8.570146548,3.918539798,14.9677,9.70367,12.05529074,19.5462107,20.17404684
PA0236,45.4574,39.60527745,22.70788849,75.7182,68.2482,43.70701743,39.65535497,46.15690816
PA2332,20.6076,10.05680992,10.20140352,18.7998,15.6773,15.82540748,25.91703883,25.49709741
PA2333,22.8377,9.447241317,3.306625894,11.9803,9.67076,16.93440082,20.78632101,21.93029135
PA2334,18.6907,8.899346102,3.320950665,13.1018,12.0641,16.93003386,21.98095821,15.83646161
PA2335,24.8016,12.01041839,3.291067371,14.0675,15.6501,18.1844982,23.15910318,21.53566114
PA2336,19.1791,8.244258704,2.693574094,11.9672,13.6316,17.23469184,17.21825318,16.50541259
mtlR,32.7013,19.79949247,9.123042898,20.0869,20.6941,29.43613084,29.81209338,28.16643556
PA2338,27.4297,22.43721332,41.75271083,21.7325,26.9549,21.48439016,26.06500701,24.61546354
PA2339,27.2444,18.7533854,24.18156174,18.6896,15.5887,22.19582775,23.84090079,25.91744295
PA2340,32.2492,19.55186764,19.6788716,23.2054,25.5296,28.15219368,32.6680274,26.76328183
PA2341,22.5949,16.12929643,23.94850262,22.2311,17.0099,18.12193309,21.6786964,23.64442536
PA0237,32.145,30.57797711,7.121767934,49.4688,51.9097,28.24045997,28.58874787,29.38887531
mtlD,24.6229,14.5137491,15.87981526,19.0734,18.1216,19.70751571,20.50262035,22.93581991
mtlY,34.5966,13.89766919,8.077783114,19.4759,18.1429,25.60727799,34.71178372,30.94501114
mtlZ,34.9589,11.58477641,14.10735053,22.6628,18.368,22.21299237,33.6282909,31.38424116
PA2345,27.4413,12.91001739,6.531763565,17.3836,15.3468,19.72745587,30.05729115,24.89238388
PA2346,21.306,9.793948963,2.271683938,13.264,12.7748,19.01546067,21.59646681,20.85429931
PA2347,24.6313,9.329430641,1.986010126,17.9095,12.6501,19.55664722,28.03691355,24.85793473
PA2348,20.1188,10.55046558,4.488094382,11.4034,14.206,16.82649602,20.66258811,19.83683567
PA2349,21.0143,8.587490875,7.053705383,11.1853,13.369,18.5268846,18.08199895,16.61650526
PA2350,21.8782,9.168986881,2.613822131,12.6785,13.4574,16.39199147,19.79953681,18.63727886
PA2351,18.4185,8.172596978,7.359995315,12.3526,10.4712,14.68344592,16.45315275,15.98077145
PA0238,48.3125,29.39102525,13.66963717,74.4957,63.4433,32.93854561,39.89837342,44.17574044
PA2352,22.1844,11.76535798,7.870955173,11.4884,15.6849,17.09860245,25.41966219,18.45220463
