,FPKM of control,FPKM of Ag NP-1ppm,FPKM of Ag NP-20ppm,FPKM of Ag NP-25ppm-1,FPKM of Ag NP-25ppm-2,FPKM of Ag NR-1ppm,FPKM of Ag NR-30ppm,FPKM of Ag NR-300ppm
trxA,383.51,1979.948792,5429.916267,840.635,935.85,620.5291967,471.6030343,559.0830129
PA0531,65.2519,924.8319887,782.1522939,277.476,279.685,112.6430472,112.5504105,122.526372
ppx,71.9877,177.0073378,166.468025,75.7189,90.4332,83.93233973,72.42250843,75.9330181
ppk,81.7715,204.954217,372.6630081,116.776,144.061,104.2070296,86.87155043,95.32494519
hemB,95.3156,348.8539584,1126.095993,253.852,251.061,141.558609,108.0887252,125.6851943
PA5244,57.6674,103.0457471,131.0524387,80.2861,80.1275,71.37581824,62.26285222,58.01053178
PA5245,61.1652,142.7764749,305.0835419,111.633,125.65,69.14360024,56.7134061,58.42415001
PA5246,43.8557,74.59066913,92.10253487,69.1423,77.5047,43.13559939,36.32844543,45.58739522
PA5247,55.9819,81.89554068,121.2006588,89.5428,98.7728,61.55315975,56.27126223,46.73860069
PA5248,45.725,76.52972749,44.28665336,62.7971,60.8014,50.92662862,49.11693594,47.93993974
PA5249,36.4273,78.61519683,303.0114469,77.0201,77.3088,42.2478966,34.41868281,37.52187126
PA5250,59.1085,115.952025,125.994748,112.834,116.597,70.91011465,67.801264,75.44655654
PA0532,59.6689,103.6646077,94.99949849,91.4294,101.293,58.79755621,51.62872584,58.69875474
PA5251,63.3837,79.98834094,60.2159772,103.229,90.9297,61.67601345,55.82695641,57.92199762
PA5252,42.5604,73.37208055,47.27832349,68.6894,70.6982,47.88051482,39.72305133,42.14189739
PA5252a,75.3522,148.5979932,169.3944554,106.934,108.838,97.44245134,79.84003663,84.49398791
algP,165.638,551.6988838,920.9417378,204.395,238.221,224.2322275,191.0872897,200.168281
PA5254,47.2628,58.18499613,49.45865313,78.827,90.8072,46.30796802,43.7704753,45.63592969
algQ,215.479,653.8036911,1106.359315,229.08,263.19,268.0897445,198.0629149,244.9204833
dsbH,47.4903,59.77790056,99.62838384,59.3993,64.3038,47.02299641,40.15601513,43.74948335
PA5257,78.1951,113.0562332,137.9417667,100.243,92.9284,91.61563957,86.32759578,87.56395722
PA5258,65.1307,116.118533,194.0996901,95.3586,84.5613,83.08601786,76.92859658,77.87581676
