,PA_1,PA_2,PA_3,CC_1,CC_2,CC_3
PA14_03420,3,4,6,4,8,2
PA14_03470,443,438,448,468,360,576
PA14_03480,194,182,167,73,66,85
PA14_03490,302,299,299,165,153,156
PA14_03510,270,266,280,143,114,142
PA14_03520,171,169,190,116,72,118
PA14_03530,113,124,125,96,89,137
PA14_03550,10,11,6,3,5,6
PA14_03560,30,45,31,22,29,36
PA14_03580,216,228,259,154,138,146
PA14_03590,106,132,99,41,29,22
PA14_03610,151,140,149,79,89,125
PA14_03620,34,40,37,17,16,25
PA14_03630,28,40,45,16,18,15
PA14_03710,192,157,178,478,365,583
PA14_03720,790,752,831,766,618,943
PA14_03730,3350,3479,3660,3446,2936,3844
PA14_03760,42,39,45,46,41,55
PA14_03780,264,313,261,159,114,141
PA14_03790,271,265,263,157,134,161
PA14_03855,1647,1651,1720,1513,1175,1381
PA14_03860,4935,4904,5197,2499,2060,2767
PA14_03980,899,990,935,479,440,513
PA14_04000,259,268,272,160,157,161
PA14_04010,2155,2123,2291,1314,1092,1333
PA14_04020,146,160,188,198,195,286
PA14_04030,278,321,255,258,202,281
PA14_04040,482,523,548,358,305,462
PA14_04050,464,428,389,357,279,388
PA14_04060,14,10,23,13,12,14
PA14_04070,209,263,233,154,127,142
PA14_04080,373,315,358,354,276,376
PA14_04090,565,591,619,452,379,503
PA14_04100,1094,1130,1198,663,566,701
PA14_04140,2650,2736,3035,2896,2436,3244
PA14_04150,1325,1463,1448,833,684,819
PA14_04160,734,787,812,682,576,852
PA14_04180,113,123,118,107,99,153
PA14_04190,35,30,38,19,18,20
PA14_04210,36,37,31,16,12,16
PA14_04220,54,49,53,49,33,59
PA14_04230,10,8,7,7,14,12
PA14_04240,17,17,21,9,11,13
PA14_04250,58,52,48,32,44,41
PA14_04270,130,142,157,117,85,102
PA14_04290,378,369,343,258,223,287
PA14_04300,1165,1145,1233,744,655,876
PA14_04330,320,360,331,288,208,345
PA14_04340,201,248,196,139,117,196
PA14_04350,172,174,183,147,97,161
PA14_04370,202,205,215,154,121,216
PA14_04380,633,651,622,631,559,706
PA14_04420,450,442,445,423,321,413
PA14_04430,192,184,200,126,114,129
PA14_04440,129,150,170,167,147,211
PA14_04490,417,437,438,344,248,392
PA14_04510,424,553,440,285,259,360
PA14_04520,203,231,211,99,108,126
PA14_04530,175,165,185,145,93,144
PA14_04560,79,92,97,79,49,65
PA14_04570,28,35,39,28,16,23
PA14_04590,255,328,305,193,198,236
PA14_04610,346,378,408,411,372,504
PA14_04640,507,530,548,463,384,616
PA14_04660,510,454,518,556,446,682
PA14_04680,234,224,239,284,240,392
PA14_04690,917,1099,991,610,562,631
PA14_04700,939,901,995,807,632,873
PA14_04710,906,876,972,772,630,916
PA14_04730,651,742,688,538,471,701
PA14_04780,429,489,508,309,258,349
PA14_04790,236,229,237,147,141,204
PA14_04810,658,664,719,472,384,485
PA14_04820,497,558,599,481,371,525
PA14_04830,157,180,158,83,69,88
PA14_04840,429,459,410,281,269,326
PA14_04850,123,138,139,79,68,124
PA14_04860,530,566,542,474,372,439
