,PAO1161 EV_1,PAO1161 EV_2,PAO1161 EV_3,PAO1161 BsrA_1,PAO1161 BsrA_2,PAO1161 BsrA_3
D3C65_02355,157,145,173,193,187,143
D3C65_02360,149,153,126,144,125,104
D3C65_02365,392,362,406,320,296,260
D3C65_02370,1927,1966,2149,1759,1920,1492
D3C65_02375,1803,2027,1979,1656,1825,1390
D3C65_02380,59,58,40,64,65,46
D3C65_02385,152,107,117,96,86,79
D3C65_02390,51,34,41,35,48,41
D3C65_02395,63,68,69,56,63,58
D3C65_02400,267,300,283,440,413,370
D3C65_02405,911,994,908,1149,1187,1025
D3C65_02410,22414,25972,27539,44115,51497,43002
D3C65_02415,92,86,111,134,130,118
D3C65_02420,52,74,59,56,71,53
D3C65_02425,311,340,315,293,368,292
D3C65_02430,3929,4365,4488,2517,2743,2214
D3C65_02435,632,597,768,562,624,605
D3C65_02440,778,878,782,961,1031,805
D3C65_02445,297,294,359,400,394,319
D3C65_02450,306,311,291,441,417,359
D3C65_02455,246,312,264,466,416,349
D3C65_02460,45,45,53,49,58,67
D3C65_02465,6,9,3,3,7,7
D3C65_02470,2,4,4,3,4,3
D3C65_02475,186,173,141,198,184,153
D3C65_02480,323,291,297,213,258,228
D3C65_02485,444,492,474,408,447,345
D3C65_02490,194,220,144,167,165,177
D3C65_02495,47,41,42,84,66,68
D3C65_02500,42,47,30,61,59,71
D3C65_02505,285,301,376,282,299,262
D3C65_02510,10,3,16,8,7,4
D3C65_02515,77,65,99,77,88,84
D3C65_02520,59,62,79,66,75,70
D3C65_02525,76,70,72,123,138,126
D3C65_02530,131,165,138,139,138,130
D3C65_02535,79,78,90,70,68,47
D3C65_02540,31,33,35,22,32,22
D3C65_02545,144,140,128,175,177,151
D3C65_02550,4045,4103,4499,2946,3270,2703
D3C65_02555,60,57,63,62,49,57
D3C65_02560,150,130,135,95,106,76
D3C65_02565,584,619,603,654,788,673
D3C65_02570,389,374,374,417,418,335
D3C65_02575,205,203,199,212,224,160
D3C65_02580,46,43,30,34,43,39
D3C65_02585,33,35,24,35,33,47
