,PAO1161 EV_1,PAO1161 EV_2,PAO1161 EV_3,PAO1161 BsrA_1,PAO1161 BsrA_2,PAO1161 BsrA_3
D3C65_14650,6,3,5,5,8,4
D3C65_14655,2,1,0,3,4,3
D3C65_14660,83,88,80,95,110,76
D3C65_14665,25,15,16,18,16,21
D3C65_14670,4,6,5,4,6,5
D3C65_14675,19,19,14,20,24,20
D3C65_14680,3,4,5,2,5,4
D3C65_14685,6,5,10,1,9,4
D3C65_14690,18,20,9,16,16,11
D3C65_14695,16,17,12,14,18,14
D3C65_14700,4,1,3,1,0,2
D3C65_14705,7,6,2,3,3,2
D3C65_14710,3,5,3,1,4,2
D3C65_14715,12,10,11,9,10,11
D3C65_14720,8,3,6,2,3,3
D3C65_14725,14,12,16,17,15,21
D3C65_14730,27,34,27,29,30,38
D3C65_14735,9,6,11,7,8,3
D3C65_14740,5,6,4,9,8,6
D3C65_14745,9,6,16,9,11,11
D3C65_14750,0,3,0,2,3,3
D3C65_14755,21,25,16,21,22,25
D3C65_14760,1,1,5,1,0,3
D3C65_14765,6,5,6,6,3,3
D3C65_14770,8,10,10,8,5,9
D3C65_14775,8,7,3,4,6,5
D3C65_14780,1,2,3,1,3,2
D3C65_14785,2,5,3,6,6,3
D3C65_14790,2,0,2,2,1,1
D3C65_14795,15,22,25,20,32,19
D3C65_14800,56,52,45,39,50,30
D3C65_14805,18,11,17,14,21,25
D3C65_14810,18,19,17,11,20,13
D3C65_14815,1,1,5,1,3,1
D3C65_14820,2,4,3,3,3,3
D3C65_14825,3,1,0,2,0,0
D3C65_14830,23,24,24,20,26,19
D3C65_14835,3,5,3,8,10,7
D3C65_14840,17,25,15,29,23,17
D3C65_14845,15,18,20,25,25,16
D3C65_14850,1,5,3,0,2,2
D3C65_14855,3,1,6,8,4,3
D3C65_14860,8,8,7,12,5,4
D3C65_14865,0,2,2,2,0,0
D3C65_14870,0,0,0,0,0,2
D3C65_14875,1,2,0,0,1,0
D3C65_14880,36,39,37,23,32,39
D3C65_14885,27,24,23,11,19,12
D3C65_14890,2,0,5,2,3,0
D3C65_14895,9,12,7,9,13,13
D3C65_14900,5,4,4,4,5,4
D3C65_14905,11,15,11,7,12,9
D3C65_14910,4,9,6,8,7,7
D3C65_14915,2,5,5,7,11,4
D3C65_14920,11,10,8,11,8,11
D3C65_14925,4,26,13,18,15,15
D3C65_14930,13,22,11,23,22,22
D3C65_14935,137,137,148,204,205,132
D3C65_14940,3668,3719,4049,2765,3209,2502
D3C65_14945,354,361,386,207,232,245
D3C65_14950,441,511,525,313,338,344
D3C65_14955,16,21,12,12,16,14
D3C65_14960,41,47,38,54,30,43
D3C65_14965,150,146,145,182,177,163
D3C65_14970,63,60,78,34,54,84
D3C65_14975,97,102,109,112171,121442,86615
D3C65_14980,27,16,28,6,8,9
D3C65_14985,3578,3757,4085,3630,3921,2502
D3C65_14990,247,284,233,186,227,172
D3C65_14995,7,10,16,21,13,11
D3C65_15000,265,235,196,244,273,202
D3C65_15005,4,3,5,6,4,4
D3C65_15010,124,153,137,199,193,149
D3C65_15015,331,379,294,336,354,332
D3C65_15020,178,185,165,194,195,197
D3C65_15025,1129,1056,1257,1002,1188,1020
D3C65_15030,301,230,381,262,251,334
D3C65_15035,171,130,195,119,155,163
D3C65_15040,205,144,238,202,162,193
D3C65_15045,142,70,177,117,116,149
D3C65_15050,27,28,53,38,20,45
D3C65_15055,50,38,53,55,63,47
D3C65_15060,4,4,4,1,4,6
D3C65_15065,134,161,174,176,189,135
D3C65_15070,168,176,157,188,232,151
D3C65_15075,162,173,156,167,179,166
D3C65_15080,169,199,176,172,194,165
D3C65_15085,43,48,55,63,54,36
D3C65_15090,17,32,20,35,33,29
D3C65_15095,279,308,269,303,339,251
D3C65_15100,18,8,11,7,10,11
D3C65_15105,6,8,19,12,8,11
D3C65_15110,36,46,63,36,34,30
D3C65_15115,36,26,31,23,45,30
D3C65_15120,27,38,42,33,51,21
D3C65_15125,20,16,18,18,16,20
D3C65_15130,6,17,13,27,26,13
D3C65_15135,4,6,7,10,10,10
D3C65_15140,6,7,6,5,8,7
D3C65_15145,10,14,12,12,16,6
D3C65_15150,49,52,41,49,60,50
D3C65_15155,15,5,12,10,13,9
D3C65_15160,7,7,3,7,7,3
D3C65_15165,16,17,22,15,15,13
D3C65_15170,9,12,14,10,10,8
D3C65_15175,80,102,62,58,84,70
D3C65_15180,168,172,169,259,239,185
D3C65_15185,123,131,131,172,161,126
D3C65_15190,865,849,1059,705,722,558
D3C65_15195,763,773,963,814,875,709
D3C65_15200,2,5,3,8,7,4
D3C65_15205,157,143,211,132,140,124
D3C65_15210,8,3,7,4,3,4
D3C65_15215,9,11,14,17,15,17
D3C65_15220,12,9,13,11,15,8
D3C65_15225,469,482,429,381,425,343
D3C65_15230,1,5,9,0,5,3
D3C65_15235,46,59,39,58,67,60
D3C65_15240,3,5,4,5,6,3
D3C65_15245,13,13,34,14,8,17
D3C65_15250,56,46,76,48,48,42
D3C65_15255,53,64,73,53,79,73
D3C65_15260,691,713,694,742,770,570
D3C65_15265,22,21,19,16,24,21
D3C65_15270,4,10,5,6,10,2
D3C65_15275,19,33,26,28,35,28
D3C65_15280,6,8,7,9,14,17
D3C65_15285,9,13,14,6,12,8
D3C65_15290,4,10,15,12,9,10
D3C65_15295,12,14,9,24,18,12
D3C65_15300,9,4,7,7,6,3
D3C65_15305,507,478,477,531,524,466
D3C65_15310,1,1,0,1,1,0
D3C65_15315,83,120,103,178,122,92
D3C65_15320,30,20,23,26,41,14
D3C65_15325,9,9,13,3,7,8
D3C65_15330,8,16,10,13,11,4
D3C65_15335,16,11,8,15,22,17
D3C65_15340,42,37,35,54,44,43
D3C65_15345,190,193,185,168,204,171
D3C65_15350,16,14,9,10,11,13
D3C65_15355,100,88,82,57,69,65
D3C65_15360,6,8,6,5,8,5
D3C65_15365,16,27,18,16,22,24
D3C65_15370,5,5,5,15,9,10
D3C65_15375,6,3,7,15,12,12
D3C65_15380,566,628,555,846,875,735
D3C65_15385,12,12,6,9,13,10
D3C65_15390,52,38,52,38,65,63
D3C65_15395,16,29,22,28,40,42
D3C65_15400,69,88,78,118,92,88
D3C65_15405,744,739,773,1233,1218,1000
D3C65_15410,24,16,10,26,24,23
D3C65_15415,177,131,137,161,205,186
D3C65_15420,2593,2640,2618,2619,3032,2559
D3C65_15425,1,6,1,9,9,10
D3C65_15430,74,103,101,80,81,62
D3C65_15435,1533,1637,1804,1829,2059,1578
D3C65_15440,152,191,164,232,241,237
D3C65_15445,28,32,26,64,50,50
D3C65_15450,179,239,197,392,517,376
D3C65_15455,20,30,23,36,42,40
D3C65_15460,77,65,79,86,82,84
D3C65_15465,20,10,10,12,13,18
D3C65_15470,89,83,69,81,56,67
D3C65_15475,422,410,344,368,365,279
D3C65_15480,34,49,22,22,32,28
D3C65_15485,46,82,54,65,55,43
D3C65_15490,43,64,51,63,81,57
D3C65_15495,49,43,46,72,85,60
D3C65_15500,10,26,12,17,13,12
D3C65_15505,495,508,332,622,642,429
D3C65_15510,1718,1817,1885,1740,1837,1496
D3C65_15515,26,31,43,17,20,17
D3C65_15520,3383,3727,3715,4663,4842,3794
D3C65_15525,46,47,57,104,88,92
D3C65_15530,7,11,6,7,7,3
D3C65_15535,445,494,439,1038,1109,994
D3C65_15540,588,604,383,3222,3482,3353
D3C65_15545,946,1095,808,6518,6850,6114
D3C65_15550,34,31,27,308,272,246
D3C65_15555,80,88,77,83,85,66
D3C65_15560,168,138,239,122,165,122
D3C65_15565,789,795,1847,623,713,570
D3C65_15570,229,177,550,194,219,219
D3C65_15575,120,89,221,101,81,107
D3C65_15580,439,383,772,388,416,337
D3C65_15585,265,252,346,245,281,216
D3C65_15590,205,266,262,219,208,196
D3C65_15595,1202,1153,2749,793,926,848
D3C65_15600,530,472,1469,686,616,640
D3C65_15605,224,195,592,412,376,342
D3C65_15610,64,39,124,64,62,85
D3C65_15615,294,295,297,311,399,320
D3C65_15620,11,11,22,17,19,9
D3C65_15625,45,57,40,31,49,53
D3C65_15630,50,52,107,62,72,61
D3C65_15635,410,402,712,404,413,337
D3C65_15640,49,51,193,64,44,41
D3C65_15645,59,65,289,104,82,68
D3C65_15650,68,61,70,68,66,63
D3C65_15655,342,341,411,286,287,236
D3C65_15660,70,81,86,88,113,101
D3C65_15665,107,86,126,95,154,91
D3C65_15670,152,133,112,148,170,128
D3C65_15675,147,121,129,174,203,169
D3C65_15680,82,94,132,65,92,71
D3C65_15685,158,175,213,153,197,141
D3C65_15690,32,34,53,38,26,35
D3C65_15695,43,55,81,49,49,52
D3C65_15700,14,16,18,22,20,14
D3C65_15705,48,48,65,59,62,42
D3C65_15710,43,41,57,42,44,38
D3C65_15715,58,63,57,55,65,46
D3C65_15720,263,231,643,202,227,201
D3C65_15725,4,3,2,2,3,8
D3C65_15730,22,19,19,15,22,25
D3C65_15735,10,11,2,3,4,7
D3C65_15740,5,3,7,6,6,3
D3C65_15745,7,1,5,9,5,2
D3C65_15750,32,35,53,24,43,36
D3C65_15755,5,4,4,5,7,6
D3C65_15760,39,32,48,32,44,34
D3C65_15765,17,25,28,21,24,8
D3C65_15770,2,14,8,12,13,8
D3C65_15775,226,194,207,201,196,195
D3C65_15780,25,25,13,20,25,20
D3C65_15785,117,129,123,145,175,150
D3C65_15790,25,31,27,37,62,53
D3C65_15795,330,287,273,363,405,320
D3C65_15800,101,96,83,82,103,85
D3C65_15805,165,220,242,193,234,192
D3C65_15810,82,85,71,84,83,97
D3C65_15815,95,89,68,86,104,93
D3C65_15820,5,6,6,5,12,10
D3C65_15825,2091,2274,2160,3161,3498,3035
D3C65_15830,244,233,271,281,311,254
D3C65_15835,63,61,68,55,68,55
D3C65_15840,91,104,126,110,96,78
D3C65_15845,193,176,155,180,194,200
D3C65_15850,874,947,854,906,1065,883
D3C65_15855,133,121,113,173,171,141
D3C65_15860,80,85,47,82,90,80
D3C65_15865,11,10,5,6,6,7
D3C65_15870,0,4,3,1,3,0
D3C65_15875,13,7,5,15,18,15
D3C65_15880,3,1,1,1,2,1
D3C65_15885,0,1,3,0,1,0
D3C65_15890,54,55,46,53,78,50
D3C65_15895,565,499,670,447,484,392
D3C65_15900,438,445,621,368,426,303
D3C65_15905,257,232,390,201,208,166
D3C65_15910,588,559,773,412,444,368
D3C65_15915,2343,2498,2556,1871,2114,1410
D3C65_15920,55,44,55,43,59,48
D3C65_15925,221,202,229,259,252,228
D3C65_15930,108,142,113,138,166,124
D3C65_15935,58,62,46,40,91,62
D3C65_15940,399,413,387,441,402,339
D3C65_15945,94,91,88,114,121,86
D3C65_15950,922,1087,1070,1451,1481,1075
D3C65_15955,55,57,61,61,83,79
D3C65_15960,111,90,103,97,121,99
D3C65_15965,150,202,196,221,276,210
D3C65_15970,129,149,122,117,118,121
D3C65_15975,41,51,34,50,65,67
D3C65_15980,18,19,9,18,14,13
D3C65_15985,10,20,13,15,11,14
D3C65_15990,55,48,81,62,60,53
D3C65_15995,57,52,55,49,76,62
D3C65_16000,84,99,118,116,120,107
D3C65_16005,169,171,162,184,171,162
D3C65_16010,1748,1973,1588,2040,2196,1896
D3C65_16015,1,2,3,1,1,3
D3C65_16020,0,0,2,0,2,3
D3C65_16025,13,19,19,15,5,12
D3C65_16030,2,5,3,7,4,7
D3C65_16035,7,9,8,4,7,13
D3C65_16040,607,607,638,404,419,298
D3C65_16045,12,13,5,13,10,12
D3C65_16050,21,39,32,27,21,25
D3C65_16055,5,19,13,10,7,11
D3C65_16060,3,3,1,2,5,4
D3C65_16065,4,10,10,4,12,12
D3C65_16070,272,323,247,314,314,255
D3C65_16075,12,18,9,23,7,15
D3C65_16080,6,9,3,12,9,7
D3C65_16085,342,422,325,740,735,594
D3C65_16090,83,91,58,162,154,134
D3C65_16095,23,27,18,24,35,47
D3C65_16100,25,13,31,35,33,32
D3C65_16105,16,16,19,23,9,20
D3C65_16110,1,2,0,2,5,0
D3C65_16115,20,13,8,11,15,10
D3C65_16120,12,9,11,14,10,13
D3C65_16125,59,54,47,50,53,54
D3C65_16130,28,34,38,40,35,49
D3C65_16135,34,28,31,36,50,45
D3C65_16140,67,95,93,71,111,61
D3C65_16145,20,15,26,21,23,28
D3C65_16150,181,239,186,185,178,163
D3C65_16155,24,32,38,31,35,38
D3C65_16160,11,8,13,18,15,13
D3C65_16165,25,33,29,67,57,44
D3C65_16170,68,72,65,114,101,89
D3C65_16175,39,29,40,50,53,58
D3C65_16180,57,48,49,95,85,64
D3C65_16185,80,82,69,117,127,100
D3C65_16190,70,74,57,105,118,106
D3C65_16195,25,33,19,34,33,43
D3C65_16200,2,2,1,4,4,5
D3C65_16205,262,310,273,326,299,282
D3C65_16210,109,126,121,170,202,186
D3C65_16215,42,39,51,35,28,32
D3C65_16220,11,13,9,13,12,14
D3C65_16225,417,425,426,587,520,425
D3C65_16230,61,49,52,43,65,57
D3C65_16235,60,52,47,44,54,51
D3C65_16240,7,9,12,4,10,8
D3C65_16245,70,72,72,73,73,89
D3C65_16250,49,65,68,51,54,38
D3C65_16255,195,229,181,158,191,177
D3C65_16260,25,22,23,41,32,40
D3C65_16265,42,53,45,65,64,49
D3C65_16270,32,34,24,22,37,25
D3C65_16275,93,72,96,107,99,86
D3C65_16280,50,33,51,54,52,40
D3C65_16285,183,193,177,366,419,408
D3C65_16290,12,6,9,18,14,12
D3C65_16295,218,203,205,269,316,243
D3C65_16300,191,206,165,104,115,77
D3C65_16305,32,47,34,15,27,23
D3C65_16310,363,451,408,470,523,493
D3C65_16315,70,62,62,72,73,84
D3C65_16320,32,36,26,43,26,31
D3C65_16325,128,175,143,202,270,179
D3C65_16330,159,145,159,183,225,200
D3C65_16335,205,195,191,318,306,260
D3C65_16340,45,28,36,32,30,20
D3C65_16345,318,319,295,280,328,260
D3C65_16350,155,145,179,185,171,163
D3C65_16355,113,139,143,201,202,142
D3C65_16360,64,62,77,71,90,72
D3C65_16365,128,138,145,162,145,131
D3C65_16370,59,56,57,86,68,64
D3C65_16375,520,576,522,741,692,622
D3C65_16380,127,138,114,129,147,110
D3C65_16385,19,25,14,23,15,18
D3C65_16390,5,14,10,16,14,12
D3C65_16395,235,243,220,236,254,267
D3C65_16400,884,1157,996,1048,1070,977
D3C65_16405,95,101,102,115,140,88
D3C65_16410,2,1,2,15,6,9
D3C65_16415,151,158,158,172,229,152
D3C65_16420,9,2,4,3,5,4
D3C65_16425,33,22,44,35,30,39
D3C65_16430,1416,1721,1546,1575,1744,1336
D3C65_16435,918,1036,960,1344,1372,1207
D3C65_16440,82,114,76,261,130,114
D3C65_16445,75,107,47,196,99,117
D3C65_16450,2497,2511,2499,2923,3077,2503
D3C65_16455,184,234,191,262,274,274
D3C65_16460,351,367,376,552,590,474
D3C65_16465,338,338,351,451,497,446
D3C65_16470,366,426,352,450,508,448
D3C65_16475,41,55,58,61,59,55
D3C65_16480,5,3,5,9,6,16
D3C65_16485,1588,1662,1795,4399,3402,2456
D3C65_16490,452,506,502,1411,1171,760
D3C65_16495,95,91,89,76,106,82
D3C65_16500,64,64,62,60,40,45
D3C65_16505,26,45,33,30,38,32
D3C65_16510,1173,1250,1346,833,924,758
D3C65_16515,1319,1542,1421,1373,1580,1156
D3C65_16520,534,609,527,550,610,371
D3C65_16525,2529,2897,2758,2271,2454,1875
D3C65_16530,293,298,272,331,300,207
D3C65_16535,430,452,531,308,346,279
D3C65_16540,50,61,35,31,33,31
D3C65_16545,48,55,66,64,49,42
D3C65_16550,197,206,163,151,156,159
D3C65_16555,125,97,93,137,196,146
D3C65_16560,588,554,553,558,591,516
D3C65_16565,2099,2159,2169,1917,1967,1699
D3C65_16570,1746,1924,1890,1333,1445,1106
D3C65_16575,349,348,336,306,307,246
D3C65_16580,553,558,664,468,521,469
D3C65_16585,2250,2509,3416,1915,2252,1895
D3C65_16590,128,135,140,122,167,124
D3C65_16595,674,744,639,966,840,772
D3C65_16600,527,579,487,681,659,586
D3C65_16605,479,482,484,402,509,376
D3C65_16610,328,338,321,361,390,349
D3C65_16615,2069,2125,1960,2900,2908,2560
D3C65_16620,311,404,363,653,586,463
D3C65_16625,687,737,827,1138,1113,962
D3C65_16630,189,181,214,293,280,246
D3C65_16635,244,270,277,433,353,348
D3C65_16640,408,490,458,642,604,484
D3C65_16645,406,487,475,496,429,396
D3C65_16650,5814,6443,6403,7822,7758,6316
D3C65_16655,1843,2184,2060,3582,5185,3455
D3C65_16660,17896,20150,19772,19293,22958,18614
D3C65_16665,9245,10299,9814,11840,12463,9680
D3C65_16670,9200,9989,9542,12550,13896,10659
D3C65_16675,4841,5066,5127,5510,6294,5060
D3C65_16680,26712,28734,27565,32679,36465,30609
D3C65_16685,3,1,2,5,9,1
D3C65_16690,269,231,266,337,365,306
D3C65_16695,253,237,213,409,397,333
D3C65_16700,65,65,75,117,120,106
D3C65_16705,217,224,193,297,286,267
D3C65_16710,462,570,418,630,662,582
D3C65_16715,1481,1717,1439,1759,2142,1815
D3C65_16720,1278,1346,1151,1940,2061,1664
D3C65_16725,4096,4546,4300,5143,5380,4824
D3C65_16730,4715,5288,5142,6504,6504,5391
D3C65_16735,3783,4193,4212,4653,4787,3524
D3C65_16740,723,752,694,813,886,780
D3C65_16745,1596,1777,1280,3084,2274,1919
D3C65_16750,965,992,807,951,1002,795
D3C65_16755,4271,5075,5062,3883,3789,2572
D3C65_16760,184,166,183,203,247,212
D3C65_16765,8,23,20,30,39,16
D3C65_16770,16376,16909,17104,14818,14624,12524
D3C65_16775,28,29,24,23,26,15
D3C65_16780,5,5,4,7,5,6
D3C65_16785,41,40,44,55,60,44
D3C65_16790,6,4,2,4,10,2
D3C65_16795,16,12,16,9,19,8
D3C65_16800,17,5,15,14,14,12
D3C65_16805,10,5,4,5,8,4
D3C65_16810,56,43,45,37,60,39
D3C65_16815,22,17,17,16,17,17
D3C65_16820,141550,154868,149937,194381,207820,170530
D3C65_16825,7736,9260,7822,11199,12336,10105
D3C65_16830,1537,1733,1478,2014,2178,1924
D3C65_16835,356,360,416,372,405,357
D3C65_16840,624,713,635,746,768,535
D3C65_16845,735,733,802,612,724,546
D3C65_16850,387,351,296,436,485,446
D3C65_16855,13725,14390,13469,12828,13766,11268
D3C65_16860,1,5,7,2,11,12
D3C65_16865,663,755,784,964,1040,849
D3C65_16870,455,539,504,942,934,869
D3C65_16875,1567,1558,1751,2829,2903,2407
D3C65_16880,1522,1620,1676,2610,2809,2183
D3C65_16885,63,72,73,61,54,50
D3C65_16890,41,31,34,28,40,24
D3C65_16895,24,37,39,27,23,24
D3C65_16900,37,37,56,49,57,48
D3C65_16905,126,153,216,112,132,96
D3C65_16910,3,5,8,5,7,3
D3C65_16915,507,444,757,447,497,465
D3C65_16920,953,1131,1331,873,906,718
D3C65_16925,401,425,467,728,778,617
D3C65_16930,484,560,565,692,698,493
D3C65_16935,223,230,231,502,408,320
D3C65_16940,115,112,150,129,148,119
D3C65_16945,1712,1951,1869,1942,1998,1684
D3C65_16950,240,251,224,265,295,202
D3C65_16955,672,680,595,613,633,568
D3C65_16960,128,94,103,91,97,81
D3C65_16965,4,4,4,7,5,4
D3C65_16970,3360,3760,3442,4404,4687,3743
D3C65_16975,728,786,894,842,1005,797
D3C65_16980,632,626,672,588,676,595
D3C65_16985,40,50,37,28,48,49
D3C65_16990,865,953,1139,914,956,712
D3C65_16995,54,43,63,39,47,38
D3C65_17000,4,8,1,4,9,8
D3C65_17005,5,4,4,6,2,3
D3C65_17010,1067,1118,1238,1169,1389,968
D3C65_17015,236,219,214,269,297,219
D3C65_17020,19,21,16,15,15,14
D3C65_17025,43,53,55,34,46,33
D3C65_17030,348,371,398,371,334,283
D3C65_17035,150,140,171,147,143,129
D3C65_17040,88,87,112,94,87,76
D3C65_17045,113,103,85,87,113,104
D3C65_17050,104,140,118,167,142,126
D3C65_17055,53,56,57,64,58,39
D3C65_17060,35,31,24,26,41,27
D3C65_17065,49,34,43,52,36,29
D3C65_17070,132,133,143,115,102,80
D3C65_17075,5,6,7,5,5,2
D3C65_17080,331,310,352,273,318,230
D3C65_17085,257,259,264,225,258,190
D3C65_17090,431,427,470,629,581,554
D3C65_17095,645,692,711,782,853,699
D3C65_17100,65,66,50,91,86,88
D3C65_17105,26,24,27,31,33,39
D3C65_17110,114,94,102,163,161,150
D3C65_17115,47,51,37,63,74,53
D3C65_17120,32,41,32,37,47,37
D3C65_17125,55,55,56,49,59,59
D3C65_17130,54,60,55,80,83,76
D3C65_17135,18,15,8,21,12,11
D3C65_17140,79,80,60,96,92,93
D3C65_17145,251,234,240,250,281,252
D3C65_17150,70,81,76,73,80,74
D3C65_17155,505,530,540,531,578,555
D3C65_17160,472,539,536,603,818,642
D3C65_17165,97,136,111,117,138,127
D3C65_17170,114,89,110,101,115,103
D3C65_17175,178,169,193,148,191,163
D3C65_17180,190,153,208,91,146,142
D3C65_17185,261,264,299,175,193,236
D3C65_17190,64,52,67,43,54,52
D3C65_17195,91,84,105,61,64,68
D3C65_17200,27,26,29,11,19,9
D3C65_17205,13,16,9,17,10,17
D3C65_17210,115,109,90,95,120,106
D3C65_17215,7,3,5,8,7,12
D3C65_17220,16,14,13,12,15,16
D3C65_17225,15,5,27,7,13,9
D3C65_17230,7,13,11,14,13,13
D3C65_17235,96,73,112,75,70,74
D3C65_17240,106,87,115,90,120,77
D3C65_17245,19,22,23,8,25,24
D3C65_17250,49,28,31,38,41,51
D3C65_17255,12,21,18,27,35,28
D3C65_17260,110,127,137,142,179,134
D3C65_17265,16,10,8,17,19,10
D3C65_17270,15,25,16,20,26,14
D3C65_17275,29,27,24,34,36,28
D3C65_17280,1411,1434,1476,1332,1313,1209
D3C65_17285,333,371,338,308,357,315
D3C65_17290,1023,1041,907,1116,1079,887
D3C65_17295,197,187,204,274,281,249
D3C65_17300,25,27,39,47,46,41
D3C65_17305,522,517,516,696,638,602
D3C65_17310,705,703,757,735,735,584
D3C65_17315,256,259,284,359,350,323
D3C65_17320,199,174,154,228,255,193
D3C65_17325,2195,2307,2116,2439,2303,2051
D3C65_17330,52,44,47,76,84,77
D3C65_17335,385,461,465,466,549,475
D3C65_17340,700,674,676,738,841,762
D3C65_17345,660,654,781,562,679,506
D3C65_17350,119,91,111,106,128,100
D3C65_17355,388,395,342,464,495,435
D3C65_17360,713,683,704,1089,1315,1110
D3C65_17365,5972,6990,7266,6413,7089,4824
D3C65_17370,147,162,154,153,183,142
D3C65_17375,37,41,40,136,119,91
D3C65_17380,80,84,67,167,170,126
D3C65_17385,408,428,344,1253,1066,976
D3C65_17390,105,114,102,506,349,331
D3C65_17395,195,197,150,633,514,451
D3C65_17400,82,88,76,392,303,260
D3C65_17405,116,120,109,475,377,348
D3C65_17410,17,17,13,85,66,48
D3C65_17415,143,160,111,518,398,373
D3C65_17420,489,550,422,1568,1293,1202
D3C65_17425,130,132,122,386,327,298
D3C65_17430,313,374,323,937,774,663
D3C65_17435,62,42,35,95,82,85
D3C65_17440,111,90,89,218,186,169
D3C65_17445,924,1147,902,2919,2100,2030
D3C65_17450,599,670,514,1760,1189,1275
D3C65_17455,2231,2512,2208,3573,3389,2886
D3C65_17460,453,508,430,527,530,519
D3C65_17465,734,782,664,738,760,619
D3C65_17470,135,122,140,100,134,122
D3C65_17475,106,90,98,70,80,89
D3C65_17480,576,544,536,441,507,473
D3C65_17485,91,83,88,107,94,94
D3C65_17490,54,53,50,53,53,52
D3C65_17495,76,78,87,80,81,80
D3C65_17500,0,1,0,1,3,3
D3C65_17505,367,447,416,461,413,329
D3C65_17510,125,101,105,87,79,80
D3C65_17515,74,76,74,89,70,74
D3C65_17520,432,514,449,500,506,429
D3C65_17525,49,56,42,65,61,38
D3C65_17530,761,767,693,891,982,788
D3C65_17535,1305,1295,1417,1229,1307,995
D3C65_17540,89,96,83,82,97,89
D3C65_17545,757,890,927,920,951,783
D3C65_17550,407,402,364,576,467,482
D3C65_17555,233,234,195,241,294,256
D3C65_17560,93,89,109,108,112,87
D3C65_17565,245,249,228,236,240,262
D3C65_17570,5,9,7,17,13,14
D3C65_17575,71,68,57,98,125,95
D3C65_17580,44,28,22,96,103,78
D3C65_17585,3,2,0,4,3,3
D3C65_17590,171,146,145,129,152,145
D3C65_17595,240,253,257,281,319,232
D3C65_17600,77,73,81,56,59,60
D3C65_17605,111,74,79,65,65,55
D3C65_17610,71,88,65,90,120,87
D3C65_17615,120,138,127,164,191,147
D3C65_17620,134,101,113,153,141,113
D3C65_17625,538,487,576,604,668,542
D3C65_17630,839,983,1026,1090,1129,950
D3C65_17635,137,127,120,98,141,100
D3C65_17640,250,210,207,178,203,185
D3C65_17645,10,12,14,13,12,11
D3C65_17650,107,89,106,107,129,103
D3C65_17655,231,188,233,216,212,209
D3C65_17660,390,342,382,262,322,304
D3C65_17665,368,393,327,464,439,397
D3C65_17670,341,323,324,332,342,275
D3C65_17675,1319,1291,1368,1366,1444,1205
D3C65_17680,538,579,527,890,811,755
D3C65_17685,98,127,77,153,146,103
D3C65_17690,570,579,585,911,832,748
D3C65_17695,2571,2708,2754,3604,3546,3079
D3C65_17700,6177,6464,6674,8453,7932,7253
D3C65_17705,772,789,728,766,838,810
D3C65_17710,387,403,401,394,413,324
D3C65_17715,11,14,15,17,22,21
D3C65_17720,51,65,64,52,65,61
D3C65_17725,418,401,426,332,401,292
D3C65_17730,87,102,105,105,108,98
D3C65_17735,438,393,146,287,319,239
D3C65_17740,1362,1474,548,1301,1263,1108
D3C65_17745,314,318,175,320,327,315
D3C65_17750,58,70,69,52,59,45
D3C65_17755,34,42,31,29,33,26
D3C65_17760,599,533,511,398,329,279
D3C65_17765,15080,13963,16506,9595,7291,5016
D3C65_17770,267,281,255,328,281,253
D3C65_17775,194,208,184,179,196,166
D3C65_17780,270,312,268,257,272,272
D3C65_17785,1603,2317,1778,2769,3312,2659
D3C65_17790,144,120,121,149,136,119
D3C65_17795,909,942,816,880,1065,907
D3C65_17800,12386,12317,15993,11528,11271,9470
D3C65_17805,16115,16379,21037,16676,16721,14055
D3C65_17810,17308,16168,17988,14310,15197,13395
D3C65_17815,13073,12697,13499,12988,14647,12808
D3C65_17820,19357,19579,22495,23459,24171,20714
D3C65_17825,6431,6697,7247,8880,9651,7993
D3C65_17830,13718,13592,15242,18257,18997,16408
D3C65_17835,1633,1751,1797,2142,2299,1956
D3C65_17840,4891,6436,5965,7505,7979,6808
D3C65_17845,7076,7879,8888,8244,8457,7144
D3C65_17850,1271,1377,1614,1328,1478,1157
D3C65_17855,55,62,43,62,60,45
D3C65_17860,108,107,122,70,92,98
D3C65_17865,28,25,24,44,54,43
D3C65_17870,425,391,402,324,366,306
D3C65_17875,100,96,103,111,111,92
D3C65_17880,595,692,662,730,760,611
D3C65_17885,210,241,214,283,266,246
D3C65_17890,780,723,748,714,786,631
D3C65_17895,204,255,237,242,288,185
D3C65_17900,293,284,305,260,325,227
D3C65_17905,7,9,12,11,5,14
D3C65_17910,12,18,15,18,26,28
D3C65_17915,3,1,5,4,6,6
D3C65_17920,20,13,12,24,18,11
D3C65_17925,13,10,14,20,24,14
D3C65_17930,14,25,21,16,16,10
D3C65_17935,50,38,44,49,45,48
D3C65_17940,241,273,226,337,342,293
D3C65_17945,925,868,879,774,808,710
D3C65_17950,1752,1993,2021,1408,1639,1337
D3C65_17955,3322,3780,3315,3806,4684,3900
D3C65_17960,206,230,210,291,321,302
D3C65_17965,82,86,81,73,102,66
D3C65_17970,11416,12558,12234,10574,11070,8296
D3C65_17975,3956,4786,4325,3571,3554,3039
D3C65_17980,494,552,566,448,504,381
D3C65_17985,5412,6413,5646,3020,3676,3266
D3C65_17990,4738,4732,4852,7138,7925,6631
D3C65_17995,2977,3167,3315,4210,4745,3824
D3C65_18000,469,479,491,605,714,592
