,High-Mg-Rep1,High-Mg-Rep2,High-Mg-Rep3,0point75percent-DNA-Rep1,0point75percent-DNA-Rep2,0point75percent-DNA-Rep3
aspS,836.0492612,499.1379887,570.4276237,654.1100907,640.5226292,689.0740683
atoB,45.5762665,25.3369537,25.542394,58.71423954,37.1840087,66.1353318
atpA,2617.283474,1816.280759,2097.419057,1931.527468,1852.438932,1988.975267
atpB,2852.229548,1772.800443,1677.283874,2039.347122,1940.522538,1927.188286
atpC,1003.761101,815.4930519,1094.565533,864.1384158,788.9664139,866.8899801
atpD,3362.056421,1985.677489,2806.435762,2605.439513,2422.035658,2493.954368
atpE,4932.968398,4051.143211,4732.801008,3789.294723,3858.03165,4273.233429
atpF,2337.561711,1913.89216,2357.456315,2094.883742,1778.479509,2260.628527
atpG,3210.526397,2080.031479,2400.015949,2421.631052,2447.254974,2582.877519
atpH,2533.047412,1979.821072,1874.060194,2062.171875,2060.602612,1922.54938
atpI,1042.781388,809.625399,774.8082986,1013.72014,1153.582631,905.6033265
atsA,20.8997311,20.4488561,43.7280712,48.69797343,30.4917832,30.1182671
atuA,22.408963,19.932299,20.4660262,30.12380719,21.5090037,25.4159419
atuB,7.6608571,6.8141705,19.0817278,17.16383023,20.5889371,21.4665464
atuC,20.8221811,22.2250681,20.7456261,20.52653982,36.7741445,31.6735393
atuD,46.4006434,41.2723918,52.0088023,38.98451361,60.1251686,41.792014
atuE,21.1757653,15.0683166,21.0979104,30.36378721,19.5123189,20.344037
atuF,27.1254516,13.5717278,10.1346458,25.82871249,18.2252525,16.2875221
atuG,36.7303275,25.4106612,44.72757,40.23201805,28.20417,32.6737564
atuH,55.2864809,44.2585409,73.4442857,42.94057756,56.6038807,45.7378938
atuR,101.5159804,70.2304708,168.5712436,161.736756,216.5311766,180.6087036
azoR1,26.3454357,60.9276418,36.7480035,37.77654277,40.4598161,25.3106564
azoR2,11.0572962,4.9176157,11.0166428,9.909364051,4.245291,13.2787434
azoR3,36.7112567,60.6429332,57.4770175,42.30001898,40.2707515,29.3911126
