,HLR1 raw counts,HLR2 raw counts,HLR3 raw counts,HLR4 raw counts,HLR5 raw counts,HLR6 raw counts,HLR11 raw counts (GSM2991338),HLR12 raw counts(GSM2991339),HLR15 raw counts,HLR16 raw counts
PA1015,8,6,8,4,0,0,37,63,64,88
PA4908,1,0,0,0,0,0,5,4,6,7
PA1240,0,0,0,0,1,3,3,5,10,6
PA1424,2,2,1,2,0,0,3,2,5,2
PA0832,9,3,5,6,37,44,3,2,5,2
PA1280,1,1,0,1,0,2,3,2,5,2
PA2958,11,4,6,8,0,0,6,3,8,5
PA2256,0,0,0,0,2,1,1,2,1,3
PA5470,2,1,1,1,16,15,1,2,1,3
PA1272,6,4,4,5,1,1,2,12,11,15
PA3869,2,2,1,2,1,1,0,0,3,0
PA0478,5,2,3,3,0,2,0,0,3,0
PA0988,19,13,19,9,0,0,0,0,3,0
PA2308,0,0,0,0,4,8,0,0,3,0
PA2635,4,1,4,1,0,0,0,0,3,0
PA2314,0,0,0,0,0,1,0,0,3,0
PA0791,1,1,1,1,1,3,0,0,3,0
PA2107,0,0,0,0,2,0,2,1,3,1
PA3990,2,1,1,1,1,2,5,11,21,8
PA5247,8,4,4,7,0,0,3,5,11,5
PA1593,3,3,1,5,192,233,3,5,11,5
PA4152,1,1,0,2,0,0,6,14,14,16
PA3590,1,1,0,2,0,0,6,3,7,6
PA1037,5,5,2,6,0,0,3,2,4,3
PA1758,14,2,5,9,0,0,3,2,4,3
PA3136,3,0,1,1,0,0,3,13,16,8
PA5491,24,8,9,20,0,0,3,2,5,6
PA3318,4,1,0,4,3,2,18,21,31,28
PA0734,0,0,0,0,0,0,17,10,26,14
PA3967,5,0,1,4,18,30,4,3,4,6
PA4577,3,2,4,1,4,4,4,3,4,6
PA2317,6,4,3,5,5,8,18,19,30,32
PA2757,2,0,1,1,0,0,46,49,102,53
PA0273,1,0,0,0,2,2,381,664,682,912
PA3447,0,0,0,0,6,9,6,4,10,9
PA4028,0,0,0,0,8,20,63,81,121,100
PA2489,1,0,0,0,10,22,2,1,2,2
PA5540,1,2,3,0,1,3,33,50,65,62
PA3077,0,0,0,0,2,1,3,5,12,4
PA3509,0,0,0,0,1,3,3,11,15,6
