,HLR1 raw counts,HLR2 raw counts,HLR3 raw counts,HLR4 raw counts,HLR5 raw counts,HLR6 raw counts,HLR11 raw counts (GSM2991338),HLR12 raw counts(GSM2991339),HLR15 raw counts,HLR16 raw counts
,,,,,,,2,6,11,4
,,,,,,,6,4,10,7
,,,,,,,0,0,0,1
,,,,,,,7,12,13,17
,,,,,,,0,0,0,0
,,,,,,,14,15,26,20
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,1,0,2,2
,,,,,,,30,22,39,44
,,,,,,,34,36,63,48
,,,,,,,2,1,5,0
,,,,,,,3,2,3,5
,,,,,,,8,9,13,14
,,,,,,,1,1,1,2
,,,,,,,4,6,8,9
,,,,,,,1,0,1,1
,,,,,,,123,161,228,216
,,,,,,,8,10,16,14
,,,,,,,0,0,0,0
,,,,,,,16,31,38,36
,,,,,,,0,0,2,0
,,,,,,,0,0,0,1
,,,,,,,10,11,19,16
,,,,,,,0,0,1,0
,,,,,,,11,13,21,17
,,,,,,,27,28,51,37
,,,,,,,26,65,73,72
,,,,,,,0,4,6,2
,,,,,,,13,27,41,23
,,,,,,,1,0,1,3
,,,,,,,1,0,1,2
,,,,,,,0,1,2,1
,,,,,,,1,0,1,1
,,,,,,,0,0,0,0
,,,,,,,2,0,2,1
,,,,,,,3,4,6,6
,,,,,,,6,0,6,5
