,A1,A2,A3,B1,B2,B3
PA3781,0.319685542,1.313519588,1.755281707,18.94244274,13.38113154,14.5023867
PA0227,2.092041784,4.297876353,0.574333555,5.491921175,2.794689738,6.434203906
PA3040,2503.018638,2706.211569,2944.874417,557.5334185,1117.32966,842.5260993
PA4173,3.079076536,6.325633805,5.635378113,2.309438389,1.828105317,7.102417752
PA2376,80.37253051,77.31658639,42.7288062,47.36507051,54.53562778,55.91217962
PA5483,40.04167975,52.97132604,60.95976351,86.23100805,87.25952925,71.37140683
PA4847,246.0580928,225.0636333,170.9063016,532.1416761,414.2638021,443.8985962
PA4279,29.05543574,41.10815168,40.33482278,39.47377423,30.27019367,38.35812675
Novel00028,701.2851441,702.1614481,1215.228423,49.23863679,24.12819919,27.24099497
PA0445,0,0,0,0,0,0
PA2396,45.50190881,43.69118325,28.78534806,40.06373553,55.05842554,112.9438823
PA5434,63.35433236,62.39375162,49.48886597,37.72082702,33.73685267,30.38256483
PA0861,394.3498763,411.7519041,368.4381311,83.5082394,88.17092569,101.2414914
PA2258,17.8809418,18.81522387,20.11451894,6.215070084,12.04038055,7.712565106
PA0347,7.109673251,8.7636385,3.513306042,6.132440999,3.482445416,4.09991997
PA3455,149.1400592,142.7573789,161.3623057,72.10218444,83.4105236,76.44824616
PA4587,914.6277058,1020.319871,867.8709658,80.84587297,81.27956437,151.8411859
PA5495,189.4716707,199.9325982,190.0953478,123.3788925,103.1610788,133.7634457
PA3113,364.4445337,416.0248012,356.3685525,326.9561981,373.8820299,330.2214786
PA1114,185.2577716,202.8156339,200.7603453,85.01620069,112.8855033,83.40408624
PA0041,7.784809331,7.401438988,8.389687851,4.671150538,4.030802507,4.677171301
PA3758,0.375015732,3.081719033,0.823632186,6.188110555,8.349519478,8.073688555
PA1920,3.028973219,1.866810568,1.773977015,2.877687775,5.754745733,4.813160485
PA3243,76.52593754,96.1344587,92.55254705,198.9528685,187.4188805,202.3621105
PA2441,4.20736828,4.801993699,3.080158722,5.61014257,4.163322041,8.267235884
PA4985,4.500188783,3.081719033,2.88271265,19.68944267,13.35923116,17.30076119
PA3447,2.184091623,1.121745728,0,0,0.486276014,0.83966361
PA4347,52.82948892,57.54409903,42.82887366,27.65727428,38.83892842,41.71056243
PA2125,5.087169929,4.935216712,4.965666511,2.755706676,3.272043575,3.911476443
PA2817,204.2603935,179.1108599,218.833661,376.6576012,426.8225601,300.3176414
PA4568,2504.355058,1669.136071,2350.852166,8671.230553,8131.096048,7153.28806
PA2461,128.8272793,92.8945681,99.3094508,145.8987702,145.122998,113.4857848
PA2367,13.15717845,22.8065773,17.15734999,0,0,3.161384073
PA0107,13.28163825,8.33729933,4.861655929,0.553432983,0.657129749,0
PA1851,46.18104177,52.32022985,52.20434849,16.80949434,18.74944832,16.97081301
PA3186,2.70011327,12.94321994,2.30617012,2.700266424,2.40466161,3.229475422
PA1990,55.81268617,57.79108738,35.19844215,20.84688446,15.96965565,26.36874637
PA3242,99.43548122,91.83621176,106.3196001,127.8996001,119.2386074,123.0657128
PA3322,67.95993246,72.21539022,45.03465256,120.8407855,100.6987884,90.99358861
PA2756,670.2901876,698.1900135,492.0889898,533.8147382,617.0674941,534.1997793
PA1924,0,0,0,1.931794376,2.293754785,0
PA4702,2062.883952,1677.783481,2168.396336,33.53994718,35.63229416,56.09821531
PA1985,28.438693,35.054554,62.45877409,29.86232139,30.3922509,39.35923171
PA0579,9212.24062,6266.975265,6562.335197,13863.2272,17752.45144,13070.18043
PA2967,691.3354531,630.416576,695.7101514,613.8977683,427.9425006,609.8564827
PA4850,48.1240527,47.05628266,56.40344887,128.7622807,147.9432959,141.9600764
PA1371,164.5069011,222.9110101,153.7446747,87.50863411,103.9051313,105.8550277
PA0068,74.18789479,73.15733009,34.2165458,37.83797244,55.49889295,68.45083775
PA4213,0,0,0,0,0,0
PA0663,43.22681336,48.49213303,39.34902767,66.55031624,58.25181422,78.28113862
PA3241,100.4542141,90.60253957,91.09371974,55.39296539,57.04391707,54.09371332
PA3132,18.61441724,14.21793099,15.19975761,10.38170614,12.75199338,12.47751868
PA1381,6.658815923,5.984923854,8.226277563,3.745796411,5.930195298,2.55995003
PA3280,7.151780655,2.87463313,8.877966977,10.02860907,9.415367021,12.19329274
PA4911,3.524795753,1.316602967,2.815043339,0.48068123,0.856119744,1.72466117
PA1692,4.601316621,0,0,1.150394403,1.365943861,0
PA0262,3.881045163,4.536471694,4.996701927,1.304908162,1.072667679,1.749299187
PA2520,7.525981114,6.930938434,7.55204949,5.158184792,7.049153251,6.385274599
PA1355,44.06877782,43.0591372,48.39325488,2.418545714,3.828944995,4.132202804
PA1728,6410.979467,5823.975901,6832.332424,405.049833,366.8398003,408.7835995
PA1616,64.28979373,58.80118736,56.09200873,55.48611974,54.90213066,48.07751314
PA4725,33.84898094,31.49209933,28.33495605,45.46980643,47.56510812,47.46574014
PA5043,80.94309406,119.7844056,102.444944,75.63120593,33.59947336,52.74268906
PA5311,11.61002312,13.73271188,6.18148692,25.06851722,31.33221742,20.01775358
PA1031,114.2558944,124.1579798,101.6949908,132.8300111,113.0002633,120.4473405
PA3406,2.498440916,2.333081797,1.247096987,0.681431627,1.213667257,1.746388539
PA3955,25.55586659,20.48850645,26.69470892,41.60855739,64.39271424,47.92600512
PA5373,350.8558589,465.4902079,269.2723686,111.7686652,144.8429065,166.3081182
PA1969,349.0795294,372.4880853,336.4191679,473.628792,505.7641753,532.8018134
PA4475,459.1994754,381.5124605,529.6857166,82.84872203,76.89346871,89.38115281
PA3300,20.12429004,20.92065745,17.57277054,28.00587157,21.37714273,27.03179916
PA4692,39.1747203,24.06111399,45.23641389,33.01768079,30.2124151,34.15791312
PA2320,25.79323319,33.01649854,25.27401556,202.0915238,173.871947,190.6939521
PA5291,76.50094335,86.63028753,76.08271212,93.56946624,105.4087735,87.67635502
PA0697,1.853018911,1.268943131,1.356570659,1.389843012,1.650257967,2.374614281
PA2883,9577.339269,9787.732256,9620.435746,1627.191798,1982.008934,2215.36247
PA5326,2.371067208,7.306656417,2.975703381,6.351433121,3.318260644,1.041766265
PA4042,84.26279408,81.36118706,57.36954064,122.6093196,160.5911529,180.1130274
PA0525,13.80645194,16.92683195,14.91674474,49.10476339,42.83671252,12.67029101
PA0528,11.18135643,17.70673717,10.74376182,16.07411156,14.9368059,15.7616036
PA4893,18.64468458,32.83158228,19.74306615,1.997758086,7.116234357,7.679850089
PA2947,2.863756498,0.980546965,3.144777437,32.21908801,28.05438545,33.02872591
PA0493,0,1.689376096,1.806036841,37.00666334,42.47591692,35.40750162
PA4088,0.590933881,0.910507896,0.324461164,0,1.052545486,0.454363425
PA2736,203.3333558,182.5114134,173.2035424,432.5829944,469.6343179,428.8421162
PA4671,1074.73289,895.3446085,1110.730277,6969.678522,6284.227957,5903.756759
PA3581,604.5253598,551.8588358,568.5532978,294.722829,287.8580335,369.9767781
PA0512,30.15824188,29.3479987,23.53098,2.381048881,16.96311678,9.763530346
PA5182,420.6281105,370.1108725,522.9106668,579.1901404,746.3771384,593.1344685
PA2346,1.656622893,4.76469666,2.183025114,2.485075289,4.130985559,3.057027705
PA5317,29.01070467,35.91927734,23.03982103,44.29564181,41.75330105,42.02301273
PA2942,59.24240617,67.50426367,54.39097671,92.02518645,115.034069,125.4517172
PA3675,73.36431111,80.30118097,73.2996362,185.8267048,245.8157386,213.1524912
PA2574,13.90006091,10.98315008,10.95882407,18.98000584,16.50545219,14.798249
PA0420,37.62657843,44.34251275,45.16249819,82.69565923,69.61643796,86.56788284
PA0368,50.01110697,71.16179731,32.86119285,49.80896849,53.66559618,57.36440577
PA4726,262.0370855,266.9881405,238.6999919,180.2208846,169.7507949,192.5956199
PA1963,515.3474615,508.8818401,375.5947853,593.6035122,696.6313689,661.5888835
PA3319,6.697250647,10.1167544,4.326148854,3.989029944,7.016969905,6.058179003
PA3484,2.670038658,2.742654592,4.031568792,4.505945805,5.05299037,5.38903906
PA2545,61.95647361,52.7758599,66.9299926,219.882396,233.7175309,228.5062407
PA3742,2440.769057,1807.257006,3030.051297,5059.749224,3882.934756,4302.378924
PA1858,11.87006317,14.22503641,14.12111414,12.98361799,7.04747847,10.26762566
PA3033,208.4280984,218.6197991,196.6443984,260.9168726,249.6739751,181.7013994
PA3425,28.4881516,13.41217718,10.42789967,10.68366281,9.514095934,10.0394562
PA3670,16.8416156,19.57591977,14.35740651,27.75700003,23.68227343,25.2171701
PA5534,8.292403941,3.93135185,7.70519456,4.305915501,4.544635649,3.923661728
PA2415,20.18746658,18.76159228,42.22565009,5.768174755,5.136718462,7.391405016
PA4963,528.7436998,538.9822564,495.2427353,772.8563177,855.5995696,715.2197942
PA0546,512.326278,493.7659092,363.9914855,392.2613098,329.1855891,412.1648513
PA4297,44.11316114,25.92904174,46.28901606,8.087871605,6.765958908,10.17545667
PA1567,1.75758446,3.008974592,3.216760897,3.954789344,2.869654591,4.95509641
PA3557,9.414188029,2.417555448,3.876751495,3.530520755,12.57610382,9.048099243
PA1220,3.242416304,4.329778641,6.409071355,0.243195016,0,0.249306297
PA2356,1.429379334,1.101190178,1.177233438,1.072095308,0.63648693,0.824277104
PA4738,4546.054343,4724.928976,2745.914832,1484.583978,2991.33427,2943.59345
PA1222,89.4713699,69.74584837,75.72721832,163.1265225,208.4939906,171.8482517
PA0434,1.493906719,2.493620804,1.025315033,2.381048881,4.822846928,6.748322445
PA4891,45.50190881,36.72381848,30.33711884,20.72079443,24.60325073,24.98998839
PA4534,167.2675803,163.9170694,134.066439,108.1532767,146.3964762,138.2192738
PA2651,168.9886755,169.6124029,157.1200889,245.0861504,288.9416261,223.2958112
PA1660,31.341922,39.91030816,29.01310796,2.71990783,4.613624425,3.983223955
PA2536,17.93825251,14.83077285,14.89401536,26.90890499,27.27509696,25.56668043
PA4946,426.7418766,474.397592,365.7680385,198.4720666,175.4505336,203.956145
PA2762,30.86216423,26.82435437,32.58718648,13.35457851,19.02819187,18.25355673
PA1840,122.9679684,110.088682,94.15273052,195.4624673,223.043957,184.760691
PA0876,123.505181,125.5286886,133.7212611,109.8608395,83.74753581,107.62355
PA0571,50.60700101,77.29101662,55.57307509,41.45348028,48.03458191,43.51915051
PA3706,91.64923476,85.19168206,95.68152626,61.47947017,51.44409372,53.34742202
PA3278,861.3511337,863.7442106,658.0656438,258.0104568,108.1964132,401.9889532
PA2975,261.8855943,301.0955422,305.9109362,332.5108639,373.8532681,325.0735292
PA0463,54.00878741,64.62230824,59.30867939,115.7396804,115.7548339,120.0171355
PA2256,1.907265639,0,0.897611125,1.226168885,1.698568913,1.46647836
PA3940,2266.866372,2116.698388,2455.825841,7834.638702,10169.11782,8720.442543
PA4626,23.59358234,28.9957422,26.37148239,35.70838431,36.77087146,29.80287504
PA2184,64.2379889,82.48130353,75.83229983,6.624918358,12.15690036,12.34799426
PA0664,124.8882178,158.1184138,156.2798262,90.04079884,107.7739394,104.2135686
PA3760,12.46849458,15.80157832,8.535291548,13.72421888,13.41152709,15.06513891
PA0346,107.1739174,110.088682,111.4966546,39.76941975,27.12696775,26.02263253
PA3079,29.91435314,50.68341057,30.77313907,23.98441934,18.06693001,26.43777109
PA1862,5.960948752,14.08305226,10.47343635,16.54257105,26.54345057,22.45825157
PA2957,296.7237152,260.029086,341.3240049,274.4689821,236.2890493,233.0756382
PA4614,8529.629557,9021.721303,9972.765302,2964.716429,2794.325213,2650.568551
PA0690,11.39452249,12.30808067,11.43708143,7.958660157,8.781114348,8.610518361
PA2943,17.20346141,33.42187614,21.76645497,119.2155296,147.2150674,124.5117613
sRNA00137,0,0,0,0,0,0
PA0744,51.93152635,45.7233313,45.62206107,11.40703581,7.928413278,11.40847296
PA3527,35.59318368,43.3913104,30.06611475,118.8136569,103.4555704,103.1535165
PA1239,5.552775312,7.605055783,5.08139179,34.35974606,38.73724183,34.51159752
PA5399,7.722801036,5.360023547,11.23111901,4.853116451,2.602394572,4.172640263
PA1890,101.7230173,104.489536,85.76070134,94.01708877,99.94374815,117.5730896
PA0702,11.30014292,8.821675841,7.445416778,4.407305711,6.843288282,5.560686157
PA0614,125.5852683,133.6746993,132.9122713,8.873375498,8.915060264,9.796075447
PA1847,634.9266352,629.1843026,614.2099753,2630.509541,2033.007799,1603.972793
PA4767,440.5839997,434.1929585,478.6495846,312.0980348,322.7866647,319.9407892
PA2097,8.04606924,7.694902098,7.616923669,4.786295414,3.45928059,2.346620861
PA3177,67.8096628,66.92233036,72.03037843,33.57433536,46.57513774,37.48498258
PA2823,50.09806121,40.12979246,26.24530305,142.7186269,140.8071961,154.4330797
