,DM1_S20_R1_001 trimmed (GE) - Total counts,DM2_S21_R1_001 trimmed (GE) - Total counts,DM4_S22_R1_001 trimmed (GE) - Total counts,DM5_S23_R1_001 trimmed (GE) - Total counts,DM6_S24_R1_001 trimmed (GE) - Total counts,DM8_S25_R1_001 trimmed (GE) - Total counts
PA14_18360,4762,5739,5425,4736,4735,3894
PA14_18370,9003,11009,10723,10337,10432,8561
algA,95,129,129,147,140,125
algF,12,19,19,20,16,11
algJ,5,4,13,19,11,5
algI,71,61,72,82,64,53
algL,9,23,20,26,23,17
algX,18,18,20,37,28,32
algG,163,194,200,141,193,175
algE,28,44,39,49,54,49
algK,16,11,14,16,9,11
alg44,24,31,28,30,31,34
alg8,51,50,51,66,74,65
algD,44,53,56,94,75,71
PA14_18590,92,92,108,114,108,104
PA14_18600,469,476,502,733,595,645
argF,528,477,511,894,853,745
PA14_18620,162,167,185,251,265,195
PA14_18630,72,78,87,123,101,64
PA14_18640,481,476,558,313,235,132
PA14_18650,1231,1366,1457,1251,1181,1097
PA14_18660,908,916,811,2712,1445,1242
bfrB,3678,3724,4049,8327,3631,3844
PA14_18680,101,191,154,52,56,51
PA14_18690,1172,1510,1532,1138,1189,1098
rnt,335,387,421,404,319,300
pyrC_2,370,405,403,458,362,368
PA14_18720,1030,1186,1094,1195,1421,1186
argG,644,574,674,1135,789,983
gloA1,279,292,302,311,248,275
PA14_18760,62,82,66,47,55,38
PA14_18780,100,124,112,126,105,113
PA14_18790,20,20,32,23,45,17
PA14_18800,78,90,117,36,49,61
PA14_18810,145,206,231,165,199,160
PA14_18820,35,40,43,53,35,60
PA14_18830,45,46,68,106,91,81
PA14_18850,43,38,46,59,45,54
PA14_18860,95,75,104,121,127,142
PA14_18870,27,21,25,38,26,42
nth,107,89,135,142,113,114
PA14_18890,35,34,43,50,45,30
PA14_18900,37,26,30,43,23,31
PA14_18910,25,27,40,52,29,23
PA14_18920,150,152,141,214,172,158
PA14_18930,42,31,43,58,55,50
PA14_18950,77,81,100,147,126,103
PA14_18960,83,58,96,175,87,91
pldA,400,402,503,600,445,388
PA14_18985,252,237,313,311,206,212
PA14_19010,54,76,78,68,82,70
PA14_19020,224,319,363,329,253,253
PA14_19030,364,532,544,485,417,362
metG,1669,1889,2031,1850,1612,1682
PA14_19065,669,673,718,521,598,487
dcd,280,358,381,337,261,316
rhlA,2444,2894,3633,2854,2104,2906
rhlB,1413,1764,1898,1417,1787,1717
rhlR,1432,1723,2147,1699,2099,1833
rhlI,1642,1848,2162,2554,1633,2076
pheC,331,302,333,666,560,498
PA14_19150,64,62,60,126,98,90
PA14_19160,64,52,63,93,98,75
PA14_19170,232,267,327,349,306,331
PA14_19190,796,855,935,787,723,805
PA14_19205,87,87,83,106,92,108
PA14_19210,173,207,210,183,199,188
PA14_19230,372,346,391,335,369,370
PA14_19270,24,24,22,32,31,16
PA14_19290,438,451,481,551,509,496
PA14_19310,227,267,251,468,429,309
PA14_19320,133,111,132,178,156,153
PA14_19330,20,17,23,40,29,37
PA14_19340,131,119,135,302,259,185
PA14_19350,392,327,350,521,509,366
PA14_19360,669,631,553,931,858,676
PA14_19370,1210,1284,1105,1530,1337,1162
PA14_19380,136,185,172,176,153,137
PA14_19390,115,105,100,174,158,125
mnmC,82,88,99,84,77,76
PA14_19410,882,990,942,1085,1033,984
PA14_19430,515,568,633,516,528,373
PA14_19450,194,197,191,179,243,231
mqoA,1073,835,983,2803,2366,2189
PA14_19480,64,55,68,151,134,123
PA14_19490,156,165,307,447,256,312
PA14_19500,13,10,19,28,36,19
PA14_19510,7,4,9,22,23,16
PA14_19520,8,9,7,15,22,18
PA14_19530,19,20,33,32,43,37
PA14_19540,50,34,43,72,60,66
ssuD,28,17,22,51,51,31
PA14_19570,28,18,22,53,35,24
ssuB,46,45,47,106,104,76
PA14_19590,135,103,89,123,114,92
PA14_19600,182,183,204,253,200,203
PA14_19610,179,168,228,223,183,182
folX,323,348,451,411,314,368
folE1,305,305,317,313,332,302
PA14_19640,141,138,139,166,134,132
PA14_19650,18,22,21,25,17,18
PA14_19660,168,183,191,203,183,185
PA14_19670,82,78,76,113,116,96
PA14_19680,3,2,5,6,3,7
PA14_19690,15,13,22,24,10,16
PA14_19700,216,227,286,308,363,229
PA14_19710,62,73,80,130,162,89
PA14_19720,12,7,8,34,42,19
PA14_19730,825,878,1002,509,472,383
PA14_19740,279,322,337,375,417,282
PA14_19750,72,87,63,102,99,97
PA14_19770,92,95,81,171,172,119
PA14_19800,63,71,80,84,79,81
PA14_19810,56,82,67,111,97,98
PA14_19830,41,44,52,68,78,65
PA14_19850,130,111,165,125,138,80
PA14_19860,105,96,130,107,136,86
ldh,607,672,677,1056,1054,809
PA14_19900,145,247,213,199,260,144
PA14_19910,200,281,278,221,320,174
PA14_19920,157,223,220,196,228,123
PA14_19930,23,56,55,38,36,26
PA14_19940,117,147,150,117,130,120
PA14_19950,207,226,208,224,191,235
PA14_19960,6,17,18,8,15,13
PA14_19970,7,9,4,14,14,11
PA14_19990,14,13,11,28,34,45
PA14_20000,11,10,13,71,130,108
hasR,57,63,61,165,197,186
hasAp,72,69,78,755,1300,1049
hasD,13,9,8,41,104,80
hasE,14,4,10,74,127,101
PA14_20050,25,35,32,63,106,90
PA14_20060,26,27,16,14,24,19
PA14_20070,33,37,28,58,36,41
PA14_20080,122,157,144,141,147,142
PA14_20100,40,47,40,63,68,50
PA14_20110,38,48,48,66,57,50
PA14_20120,118,122,185,160,167,190
PA14_20130,176,172,209,241,257,212
fpr,783,964,932,938,1208,1048
nosL,16,22,22,43,33,39
nosY,15,13,21,49,48,35
nosF,5,10,9,57,34,23
nosD,33,34,22,146,87,58
nosZ,63,66,69,726,372,258
nosR,29,36,28,190,124,87
PA14_20240,7,11,15,25,13,21
PA14_20250,10,9,14,26,25,21
PA14_20260,73,98,64,108,96,65
rhlG,126,125,138,108,86,76
PA14_20280,21,22,23,15,18,13
PA14_20290,604,767,654,477,417,405
phnC,21,16,24,26,26,19
phnD,27,27,32,45,26,41
phnE,17,17,14,36,38,28
phnF,31,37,24,32,23,26
phnG,17,28,23,25,24,18
phnH,15,11,12,19,14,21
phnI,18,20,24,33,32,27
phnJ,11,14,15,25,22,20
phnK,6,5,8,9,10,7
phnL,11,6,10,16,14,10
phnM,26,23,23,38,28,26
phnN,79,65,67,83,105,76
phnP,172,173,154,111,126,131
PA14_20460,126,121,160,78,101,99
PA14_20470,84,98,117,67,65,83
PA14_20480,257,268,305,193,170,230
PA14_20491,15,15,17,22,23,24
PA14_20500,0,0,0,0,0,0
PA14_20510,254,237,275,370,175,279
PA14_20520,358,379,421,495,390,439
PA14_20530,171,192,283,301,264,300
PA14_20550,15,13,26,27,13,27
amiE,757,879,849,819,945,929
PA14_20570,267,302,267,320,422,356
amiC,205,222,235,293,355,363
amiR,122,125,137,218,237,209
PA14_20600,681,967,1087,1087,896,739
lecB,2843,4187,5216,2418,1997,1845
PA14_20620,15,18,12,36,38,21
PA14_20630,54,48,64,123,103,113
PA14_20640,23,31,25,27,38,31
dsdA,163,192,192,237,243,243
PA14_20670,490,635,571,509,425,388
PA14_20680,173,199,205,268,233,220
PA14_20690,177,230,222,369,384,329
PA14_20700,788,912,899,1657,1594,1460
flgN,975,1311,1284,1655,1343,1418
flgM,1686,2037,2060,2011,1893,2179
flgA,184,255,251,197,176,141
PA14_20750,8111,8530,10022,10204,7613,9164
PA14_20760,2120,2284,2474,3237,2580,2662
PA14_20770,221,260,255,429,472,399
PA14_20780,485,545,612,1160,1205,797
PA14_20800,64,66,82,99,88,76
recQ,553,611,612,780,759,652
PA14_20820,71,104,109,192,166,140
PA14_20840,141,132,116,214,235,169
PA14_20850,189,217,220,218,219,184
PA14_20860,562,568,559,959,960,671
PA14_20870,253,209,229,558,497,375
PA14_20880,32,38,34,67,54,49
rfaD,287,429,439,351,443,332
PA14_20900,501,517,571,474,533,499
PA14_20920,795,926,993,923,943,822
PA14_20940,568,684,709,727,637,696
fabH2,1023,1141,1162,906,1009,981
PA14_20960,904,1047,1164,924,996,1029
cyp23,1978,2183,2292,1944,2109,2005
PA14_20980,1133,1227,1170,990,1158,982
PA14_21000,1489,1554,1680,1534,1534,1378
PA14_21010,1027,1073,1090,1058,1092,887
PA14_21020,10828,12258,12548,12519,12617,11046
PA14_21030,4029,4537,5175,4074,4403,4106
PA14_21040,306,305,362,502,501,421
PA14_21050,100,109,119,254,251,176
PA14_21060,12,23,18,39,34,32
PA14_21070,78,64,82,82,100,62
PA14_21080,37,62,47,48,49,47
PA14_21090,4,1,7,7,10,1
plcN,52,70,78,113,90,76
PA14_21120,38,44,41,58,61,30
PA14_21130,90,140,125,117,128,101
PA14_21140,9,19,23,30,23,33
PA14_21150,28,20,35,41,34,43
PA14_21160,91,73,86,106,109,113
PA14_21175,275,270,310,411,405,439
PA14_21180,112,133,118,171,195,159
PA14_21190,359,397,375,840,849,574
PA14_21210,200,290,320,375,336,321
PA14_21220,778,1319,1260,689,777,798
hepA,909,921,1016,1111,992,1062
PA14_21240,146,161,185,151,182,146
alkB,82,93,107,107,116,129
PA14_21260,16,16,15,13,9,19
PA14_21280,122,161,120,185,197,146
PA14_21290,73,72,95,121,139,79
PA14_21300,124,153,152,252,228,201
phaJ1,269,320,339,375,299,347
PA14_21320,223,289,283,314,331,303
fadD2,1555,1529,2075,1669,1414,1066
fadD1,3753,3996,4718,5458,4338,4893
PA14_21380,18,19,29,45,42,43
hrpA,802,873,911,943,906,862
phoA,33,36,45,54,63,44
PA14_21440,252,345,348,377,378,406
PA14_21450,255,370,378,368,356,344
PA14_21460,57,49,49,50,40,47
PA14_21470,37,28,48,53,44,32
PA14_21480,16,27,35,38,25,38
PA14_21490,557,558,599,1012,990,807
PA14_21510,100,128,69,162,188,116
PA14_21520,95,210,107,124,160,99
PA14_21530,137,335,142,124,151,97
PA14_21540,1054,1429,1141,1146,1213,1002
PA14_21550,393,502,404,435,487,362
PA14_21560,112,173,150,136,122,106
PA14_21570,22,40,40,64,59,58
PA14_21580,74,152,98,240,215,196
PA14_21590,20,39,31,41,55,32
PA14_21600,19,27,27,46,37,36
oprO,139,156,170,250,230,226
oprP,30,28,49,61,39,43
PA14_21630,8,16,16,17,16,5
PA14_21640,292,300,402,292,312,176
PA14_21650,117,120,125,174,171,138
PA14_21660,42,27,31,44,54,32
PA14_21670,38,41,37,44,46,36
PA14_21680,22,22,26,36,36,26
PA14_21690,215,228,232,243,269,185
PA14_21700,185,216,211,359,346,270
PA14_21710,68,89,91,99,80,88
PA14_21720,61,73,78,101,89,87
PA14_21730,109,116,139,185,159,135
PA14_21750,619,757,791,945,867,678
capB,4091,3799,4572,4491,3654,3856
PA14_21770,46,65,55,58,75,68
PA14_21780,87,102,103,106,84,93
rdgC,88,84,97,105,103,83
PA14_21800,0,0,0,0,0,0
PA14_21810,3,0,1,0,0,1
PA14_21820,1290,1387,1411,1386,1021,1203
PA14_21830,84,83,86,266,257,186
PA14_21840,282,267,285,613,569,512
PA14_21850,65,64,73,103,99,77
PA14_21860,53,71,50,67,90,60
PA14_21870,180,239,229,372,323,265
tsp,7111,7316,8789,7880,6792,6350
PA14_21890,428,455,489,404,408,338
PA14_21900,218,252,274,423,378,297
PA14_21910,144,123,142,279,284,244
PA14_21920,103,87,74,181,135,131
PA14_21930,64,73,101,168,145,141
PA14_21940,146,157,138,289,263,230
PA14_21960,637,769,773,1269,1315,1047
PA14_21970,54,54,50,114,106,72
PA14_21980,83,112,118,135,158,121
PA14_21990,447,511,510,618,642,555
rluA,109,117,119,184,176,134
minE,402,421,510,483,456,544
minD,965,1171,1236,1079,981,1137
minC,331,319,386,389,385,373
htrB,165,200,195,210,212,185
PA14_22060,102,100,106,178,178,129
PA14_22075,384,421,490,456,471,373
PA14_22080,456,540,631,829,739,691
PA14_22090,225,228,285,451,409,396
PA14_22100,29,16,24,64,30,42
PA14_22110,34,37,37,71,63,57
PA14_22120,82,56,89,167,111,117
PA14_22130,42,32,41,82,75,60
PA14_22140,28,45,44,64,49,66
PA14_22160,16,24,23,42,39,39
PA14_22180,37,27,43,47,46,43
PA14_22190,156,138,167,232,184,196
PA14_22210,25,21,27,48,30,37
PA14_22220,10,11,13,33,20,17
PA14_22230,20,19,19,31,34,31
PA14_22240,18,19,24,29,20,21
PA14_22250,25,19,32,69,48,59
PA14_22260,16,9,15,34,28,23
PA14_22270,1226,1209,1627,1721,1268,1401
PA14_22280,160,188,247,265,180,195
vacJ,441,417,452,552,428,415
PA14_22310,544,590,652,627,555,509
PA14_22320,3,10,20,18,19,20
PA14_22330,83,88,82,162,117,130
PA14_22340,395,381,525,161,53,63
actP,688,618,798,366,140,103
PA14_22370,111,121,130,247,126,82
PA14_22380,29,30,36,87,34,35
PA14_22400,9,10,8,19,13,13
PA14_22410,194,201,203,195,167,170
PA14_22420,112,152,170,58,65,55
PA14_22440,399,439,455,658,594,496
ppiA,326,345,388,484,425,394
PA14_22460,207,204,189,247,269,167
PA14_22470,234,303,315,291,325,230
PA14_22480,217,215,249,234,197,182
acpD,72,121,151,74,53,62
PA14_22500,24,37,33,64,46,43
PA14_22510,22,19,30,29,23,29
PA14_22520,50,87,90,117,108,97
PA14_22530,64,64,49,96,56,71
PA14_22540,65,59,70,94,83,70
PA14_22550,55,79,90,120,99,115
PA14_22560,58,68,69,84,88,70
csaA,54,76,82,85,65,76
PA14_22580,102,118,107,91,102,84
PA14_22590,13,12,15,22,35,21
PA14_22600,65,61,69,125,99,98
cyaB,253,261,280,382,336,319
PA14_22630,58,45,57,83,74,55
PA14_22640,248,273,276,341,379,309
PA14_22650,112,104,98,119,130,108
PA14_22660,189,190,243,258,225,214
PA14_22670,118,109,117,140,121,123
PA14_22680,244,278,270,329,326,267
trkH,64,85,88,74,93,64
PA14_22700,6,8,9,9,14,8
PA14_22710,76,86,98,84,128,83
PA14_22720,54,63,53,61,89,74
PA14_22730,104,167,140,196,145,158
PA14_22740,384,425,361,260,185,215
cpxR,106,138,115,140,140,138
PA14_22770,123,168,142,159,158,151
yciI,310,377,342,369,409,320
yciB,592,641,647,679,679,639
PA14_22820,323,313,313,455,489,370
PA14_22830,296,374,419,483,469,486
PA14_22840,290,267,316,461,440,365
PA14_22860,465,500,557,703,693,527
PA14_22870,151,187,194,265,247,227
PA14_22880,35,50,49,46,43,35
gapA,439,591,643,456,471,377
edd,778,869,1000,690,679,610
glk,177,225,202,152,172,171
gltR,106,146,110,124,148,127
PA14_22960,70,69,73,88,93,73
PA14_22980,360,415,460,300,248,257
PA14_22990,69,87,75,101,82,82
PA14_23000,115,136,168,148,128,120
gltK,290,500,428,209,240,247
oprB,1008,1307,1758,504,353,428
PA14_23050,382,406,417,494,465,375
hexR,251,253,299,422,364,287
zwf,666,780,994,908,981,775
pgl,93,112,115,125,150,111
PA14_23090,127,185,196,265,270,228
PA14_23100,100,107,118,191,186,187
PA14_23110,656,621,756,1095,1099,1192
PA14_23120,64,73,86,93,67,69
PA14_23130,141,178,189,207,186,138
gltS,40,35,43,87,62,58
PA14_23170,43,46,40,49,57,47
PA14_23190,48,73,57,101,107,102
PA14_23200,255,307,291,305,332,332
PA14_23210,288,318,312,312,295,293
ubiG,318,388,400,382,395,364
PA14_23240,300,324,356,410,332,356
mtnA,250,287,285,277,231,303
gyrA,4902,5333,6080,6093,5125,4917
serC,1570,1839,1974,2034,1978,1974
pheA,1503,1636,1873,1934,1916,1964
hisC2,721,691,839,993,901,888
PA14_23310,2141,2088,2404,2720,2807,2394
cmk,967,957,1076,1420,1351,1075
rpsA,26001,27145,35065,36113,27671,34229
ihfB,614,616,720,644,471,581
orfA,347,356,418,380,270,334
wzz,1305,1176,1488,1902,1015,1566
orfK,1343,1174,1460,2190,1402,1911
orfH,601,496,658,832,859,936
orfE,524,433,645,947,603,1012
PA14_23400,1068,893,1177,1851,1526,1877
orfJ,245,200,253,370,305,374
PA14_23420,1900,1469,1845,3698,2071,2355
PA14_23430,1575,1138,1465,3120,1722,2304
orfL,964,668,872,1712,619,1153
orfM,671,550,663,1228,631,835
orfN,157,120,158,322,121,174
wbpM,2352,2310,2722,3089,2580,2415
PA14_23480,47,35,41,83,46,64
PA14_23490,2,1,0,2,1,1
tyrB,991,1081,1143,1690,1453,1459
uvrB,595,650,746,651,689,617
PA14_23520,209,191,227,404,335,354
PA14_23530,150,118,135,264,254,281
act,103,133,137,166,158,193
gltX,597,656,631,721,724,685
PA14_23570,0,2,0,1,0,0
PA14_23580,0,1,0,0,0,0
PA14_23590,27,19,28,63,77,57
PA14_23610,29,31,30,58,34,48
kdgA,147,142,174,154,154,144
PA14_23630,104,109,123,118,116,106
PA14_23640,145,136,185,200,171,208
PA14_23650,114,113,130,112,135,123
PA14_23670,151,145,184,169,147,136
ibpA,357,354,401,529,460,563
PA14_23690,51,52,49,69,77,75
PA14_23700,72,95,101,92,78,70
PA14_23720,136,150,143,170,160,149
PA14_23730,205,216,209,303,304,296
leuC,627,639,668,570,513,457
leuD,269,281,300,256,202,232
PA14_23770,54,67,65,57,51,47
leuB,334,435,459,366,384,376
asd,1077,1117,1144,1176,1187,1059
PA14_23810,156,159,180,215,217,211
fimV,2527,2705,2965,2672,2784,2281
truA,192,185,179,277,270,177
trpF,532,572,601,631,683,594
accD,794,868,948,1085,928,942
folC,820,894,853,876,1050,970
PA14_23890,658,710,739,812,765,712
cvpA,164,178,158,288,262,261
purF,915,1059,1137,1460,1376,1243
metZ,514,619,615,804,800,706
PA14_23950,187,239,206,335,324,241
xcpQ,915,922,1060,1700,1429,1257
xcpP,462,483,588,681,625,621
xcpR,484,556,548,530,536,382
xcpS,159,186,176,189,230,155
xcpT,237,253,307,319,347,313
xcpU,89,80,90,93,148,100
xcpV,83,78,97,90,104,115
xcpW,112,150,138,184,228,188
xcpX,195,169,190,317,306,296
xcpY,205,234,198,249,260,234
xcpZ,76,75,67,106,105,102
PA14_24110,0,0,0,1,0,2
PA14_24120,1,0,0,0,0,0
PA14_24130,1,0,0,0,0,0
PA14_24140,138,159,168,241,287,243
PA14_24150,152,153,113,200,147,161
fadH1,1071,1113,1442,795,575,679
PA14_24180,192,209,200,301,345,268
PA14_24190,65,63,62,98,125,86
PA14_24210,107,96,110,188,232,132
ppnK,201,193,223,239,249,208
PA14_24230,105,120,85,144,136,138
PA14_24240,98,92,106,146,162,106
PA14_24245,96,100,99,120,90,107
PA14_24260,312,339,350,472,450,410
pepN,2719,2965,3261,3653,3568,3329
gbt,487,469,466,730,620,574
PA14_24300,301,364,362,439,365,382
PA14_24310,2655,2510,3145,4143,3937,3109
PA14_24330,1981,1790,2477,3547,2369,2197
PA14_24340,162,189,176,285,239,248
PA14_24350,56,63,52,69,54,63
PA14_24360,92,96,108,154,156,125
PA14_24370,87,127,108,167,173,126
PA14_24380,86,83,81,103,107,79
PA14_24390,104,99,105,132,132,137
PA14_24400,51,46,43,65,77,57
PA14_24410,8,5,13,9,19,7
PA14_24420,49,72,61,83,89,74
PA14_24430,355,396,424,456,422,373
PA14_24440,97,109,83,131,145,119
gdhB,3509,3576,4196,3873,3887,3808
pelA,553,541,608,461,323,255
pelB,200,176,194,156,90,68
pelC,14,8,12,9,6,3
pelD,37,20,27,35,22,18
pelE,11,14,18,17,18,16
pelF,34,38,37,40,37,28
pelG,49,42,48,51,53,52
PA14_24570,9,6,7,11,6,10
PA14_24580,45,58,69,49,40,64
PA14_24590,84,107,96,124,79,104
PA14_24600,266,298,299,322,285,301
PA14_24610,188,200,227,205,222,220
PA14_24620,239,260,287,448,337,348
PA14_24630,31,17,27,31,21,30
pyrD,464,512,522,646,615,540
rmf,1311,1642,2137,979,864,997
PA14_24665,240,264,288,321,323,288
PA14_24675,240,281,297,397,342,318
PA14_24690,555,620,610,601,617,530
PA14_24700,287,338,395,438,371,391
PA14_24710,40,63,64,79,77,57
PA14_24720,150,168,159,245,194,192
PA14_24730,658,708,700,1011,908,812
PA14_24740,446,528,488,542,563,419
PA14_24760,474,631,561,532,630,427
PA14_24770,1620,1894,1905,1800,1794,1628
PA14_24780,39,47,40,41,22,20
PA14_24790,1351,1372,1675,753,264,286
PA14_24810,53,52,47,68,72,71
PA14_24820,30,42,53,83,75,72
PA14_24830,31,21,26,79,75,88
PA14_24840,99,85,96,118,113,114
PA14_24850,33,43,37,47,31,44
snr1,364,927,531,537,691,507
PA14_24870,0,0,0,0,0,0
PA14_24880,1927,2319,2311,1855,1783,1931
mobA,62,103,67,83,94,71
moaB2,288,339,350,294,289,276
moeA2,403,477,435,404,427,364
PA14_24920,220,207,203,312,243,247
PA14_24940,428,399,371,524,530,492
PA14_24950,239,196,181,198,207,180
PA14_24960,276,239,284,297,224,192
PA14_24970,288,308,332,432,368,323
PA14_24980,487,528,512,579,554,421
PA14_24990,319,387,394,573,470,417
PA14_25000,623,571,626,1023,1024,844
PA14_25020,687,763,796,956,970,935
PA14_25030,160,144,157,243,237,219
PA14_25040,304,350,372,403,377,336
PA14_25050,57,63,58,122,88,90
PA14_25060,284,259,335,402,306,327
fadB,39167,41199,46065,51580,48639,46868
fadA,17829,17523,19773,19592,16938,17708
PA14_25100,1459,1273,1629,2275,1593,1857
topA,6756,6223,7843,10863,6968,8118
PA14_25130,408,423,490,732,578,540
PA14_25140,256,305,322,510,383,451
PA14_25150,443,495,527,687,553,513
lexA,684,765,724,876,771,653
psrA,4030,4014,4127,7141,7748,5970
nagZ,437,490,507,1061,885,711
PA14_25210,244,283,292,533,344,305
PA14_25220,184,206,252,268,224,225
mfd,656,750,797,936,875,794
PA14_25250,3400,3601,4043,4216,3689,4562
aroP1,753,733,855,1150,742,953
nqrA,1011,1194,1195,1142,1151,1173
nqrB,483,530,634,530,523,563
nqrC,345,326,384,330,296,306
nqrD,321,345,424,311,327,336
nqrE,269,304,423,358,299,314
nqrF,662,670,933,850,675,647
PA14_25360,324,332,347,385,359,279
PA14_25370,80,75,86,120,71,108
sth,821,901,1018,1240,1005,936
PA14_25400,379,356,461,553,517,441
PA14_25410,25,27,23,43,55,48
PA14_25420,123,122,131,229,188,166
PA14_25430,309,317,343,548,376,429
PA14_25440,163,168,173,242,214,214
PA14_25450,244,237,271,396,339,331
PA14_25470,141,190,151,159,183,167
PA14_25480,37,69,73,58,65,43
PA14_25490,186,208,240,233,247,223
PA14_25500,240,264,300,283,277,265
lpxK,174,196,184,214,239,191
PA14_25520,144,138,139,146,148,153
kdsB,355,410,400,449,403,412
ptpA,175,176,156,192,172,189
murB,279,308,336,397,336,374
rne,15522,14848,16094,21043,14416,15910
rluC,458,525,491,548,474,454
PA14_25590,215,199,199,259,178,217
PA14_25600,674,630,788,909,517,732
PA14_25610,89,108,79,97,89,84
PA14_25620,1522,1680,1936,1799,1903,2034
rpmF,1242,1182,1677,1421,1263,1589
plsX,968,998,1211,1814,1320,1538
fabD,592,780,731,820,702,681
fabG_2,1481,1819,1860,2009,1590,1616
acpP,4287,4556,5585,4939,4384,4574
fabF1,3269,3565,3924,4223,4085,4022
pabC,560,523,612,641,636,516
PA14_25730,387,365,437,669,569,520
tmk,159,188,160,221,194,202
holB,348,329,367,476,430,338
pilZ,165,211,203,365,258,270
PA14_25780,286,252,322,547,559,404
PA14_25790,265,273,315,422,436,296
PA14_25800,554,572,700,1055,1027,1137
PA14_25810,217,269,334,521,475,519
PA14_25820,151,202,207,191,253,226
PA14_25830,153,208,230,205,196,213
PA14_25840,7456,7293,8542,8654,7022,8462
etfB,5658,5961,6896,6201,5487,6293
etfA,5578,6055,6649,5977,5346,6359
PA14_25900,1394,1562,1673,1459,1413,1409
PA14_25910,171,178,202,286,331,302
cobM,67,52,51,55,62,51
PA14_25930,46,39,35,35,31,27
PA14_25940,636,529,542,466,453,409
PA14_25960,459,352,386,418,390,301
cobN_1,394,287,256,245,277,214
aroF,176,174,163,197,161,133
PA14_25990,228,228,267,248,304,214
PA14_26000,37,46,59,38,44,52
PA14_26010,114,146,112,194,266,187
PA14_26020,144,189,180,296,286,251
PA14_26050,56,51,61,152,165,123
PA14_26060,34,55,39,83,84,69
PA14_26070,8,7,7,7,8,5
PA14_26080,14,15,11,14,14,5
PA14_26090,67,52,56,50,64,66
PA14_26110,30,15,19,22,10,17
morB,352,333,209,27,25,28
PA14_26140,173,225,226,41,71,56
PA14_26150,88,113,95,75,81,77
PA14_26160,10,15,11,11,19,16
PA14_26165,49,61,57,68,73,105
PA14_26190,81,89,107,146,156,124
PA14_26200,5,3,4,4,4,3
hisP,17,20,18,34,27,22
hisM,30,26,26,27,19,24
hisQ,9,9,12,8,14,15
hisJ,8,11,12,5,20,7
PA14_26260,9,7,4,9,14,11
PA14_26270,27,35,20,45,45,35
PA14_26280,731,859,796,1061,1213,846
PA14_26300,54,69,70,86,94,62
PA14_26310,187,217,240,422,369,329
PA14_26330,57,71,61,68,56,49
PA14_26340,10,11,8,7,5,7
PA14_26350,196,281,237,149,208,177
PA14_26360,69,64,61,62,71,76
PA14_26390,27,23,23,38,37,38
PA14_26400,16,11,13,22,24,21
PA14_26420,94,90,106,134,107,120
PA14_26450,18,28,30,55,58,57
cobK,32,27,28,31,38,36
cbiD,91,110,77,103,131,93
cobL,87,99,93,99,113,87
PA14_26485,86,80,91,105,91,83
cobH,38,38,22,31,31,36
cobI,62,41,50,68,51,58
cobJ,76,52,44,81,65,32
PA14_26540,207,203,240,231,232,218
PA14_26550,324,334,359,393,367,384
PA14_26560,413,404,463,469,471,473
PA14_26570,178,175,185,204,215,168
PA14_26580,18,15,16,40,33,17
PA14_26590,1883,2273,2389,2187,2352,1879
PA14_26600,186,226,206,257,263,237
PA14_26610,84,105,80,121,144,81
PA14_26620,111,105,120,202,158,128
PA14_26640,343,290,323,670,571,513
PA14_26650,38,34,34,67,65,56
PA14_26670,84,71,82,174,175,118
PA14_26690,37,20,30,64,63,41
PA14_26700,189,176,194,446,390,329
PA14_26720,133,101,124,253,341,222
PA14_26730,89,67,97,154,156,145
PA14_26750,181,151,223,404,376,314
PA14_26760,92,100,98,109,90,93
PA14_26770,141,140,154,220,188,178
PA14_26780,181,180,178,161,170,117
PA14_26810,24,24,30,49,36,20
PA14_26830,23,29,32,33,49,28
PA14_26850,9,11,16,13,14,16
PA14_26860,105,137,102,78,79,64
PA14_26870,42,50,52,66,67,32
PA14_26880,71,73,79,92,103,66
pyrF,114,119,100,126,123,116
PA14_26910,134,144,147,253,313,238
PA14_26920,21,39,32,38,58,37
PA14_26930,88,70,66,113,151,94
PA14_26940,85,105,90,155,149,80
PA14_26960,141,138,186,242,201,204
PA14_26970,299,379,309,492,465,390
PA14_26980,244,326,309,368,269,286
PA14_26990,52,79,77,98,94,79
PA14_27000,1180,1450,1523,1404,1417,1305
mttC,62,69,66,72,62,56
PA14_27050,197,205,226,214,202,193
PA14_27070,121,183,230,228,204,221
lipH,22,24,33,30,26,19
lipA,301,253,310,106,66,83
ligT,9,12,9,22,11,16
PA14_27120,127,153,165,181,201,196
greB,128,160,144,183,211,166
PA14_27140,200,237,206,206,251,200
PA14_27150,98,142,135,114,109,90
tesA,180,190,178,210,177,217
PA14_27170,27,24,20,49,30,44
PA14_27180,697,869,850,1006,935,908
PA14_27190,2,2,3,1,1,2
PA14_27200,106,132,108,155,126,129
efp,1321,1451,1828,1819,1078,1755
ohr,84,222,112,81,89,162
PA14_27230,37,49,34,42,45,43
PA14_27250,20,28,24,24,29,32
PA14_27270,31,27,27,25,13,28
PA14_27280,73,110,101,47,43,48
PA14_27290,9,5,8,5,2,4
PA14_27310,63,84,80,89,97,72
PA14_27330,224,266,248,306,269,233
PA14_27350,99,128,136,153,141,137
PA14_27360,85,97,93,122,116,125
PA14_27370,2589,3005,3665,3963,3226,3950
PA14_27390,63,136,155,110,68,75
PA14_27400,23,22,23,37,45,38
