,DM1_S20_R1_001 trimmed (GE) - Total counts,DM2_S21_R1_001 trimmed (GE) - Total counts,DM4_S22_R1_001 trimmed (GE) - Total counts,DM5_S23_R1_001 trimmed (GE) - Total counts,DM6_S24_R1_001 trimmed (GE) - Total counts,DM8_S25_R1_001 trimmed (GE) - Total counts
cupD5,99,114,148,144,111,98
rcsB,133,179,256,232,162,206
rcsC,740,871,1031,1390,1159,1116
pvrR,271,307,389,481,414,380
PA14_59800,201,245,271,451,341,336
PA14_59820,25,26,25,46,37,52
PA14_59830,102,102,128,230,176,187
PA14_59840,774,866,1094,1037,757,937
PA14_59845,35,34,41,36,24,31
PA14_59850,3,6,3,7,3,10
PA14_59860,8,6,9,15,13,8
PA14_59870,8,4,11,12,7,12
PA14_59880,15,15,13,35,17,20
PA14_59890,14,27,13,27,12,22
PA14_59900,47,32,46,73,48,60
PA14_59910,51,53,59,105,78,88
PA14_59920,66,52,61,125,92,93
PA14_59930,12,13,12,22,23,12
PA14_59940,143,152,165,312,223,226
PA14_59950,11,5,8,8,11,9
PA14_59960,121,143,155,164,145,138
PA14_59970,84,75,83,75,52,71
PA14_59980,6,8,9,12,10,13
PA14_59990,13,27,19,34,30,30
PA14_60000,56,73,85,174,170,148
PA14_60010,12,14,13,37,32,24
PA14_60020,380,401,455,792,575,613
PA14_60030,588,576,614,612,401,440
PA14_60040,102,82,109,114,72,105
PA14_60050,148,149,155,190,144,160
PA14_60060,39,34,33,67,42,55
PA14_60070,993,1003,1188,1435,1028,1245
PA14_60080,691,706,862,1211,926,1027
PA14_60090,331,366,444,800,555,563
dtd,755,696,879,1467,839,1004
PA14_60110,1188,1192,1451,2308,1145,1550
dcd2,840,835,972,1377,944,1017
PA14_60130,332,327,378,644,521,449
PA14_60140,96,102,133,256,184,207
PA14_60150,5,0,0,1,4,6
PA14_60160,4,2,1,6,8,7
PA14_60180,0,0,0,1,1,1
clpB,2195,2251,2736,3967,3316,3736
PA14_60200,202,154,174,232,198,166
rluD,528,545,588,643,616,586
comL,529,562,554,732,434,631
PA14_60240,19,15,21,28,26,15
pilS,135,150,164,249,269,205
pilR,269,273,313,519,521,414
PA14_60270,233,231,252,323,282,264
fimU,87,80,93,127,96,105
pilW,328,321,389,645,536,492
pilX,196,184,231,346,237,246
pilY1,2182,2177,2440,2980,1868,2302
pilE,407,377,448,541,356,382
ispH,709,780,884,1099,919,899
PA14_60350,342,364,429,456,441,418
lspA,379,431,420,428,452,432
ileS,2585,2858,3205,3123,2822,2832
ribF,389,438,423,515,473,420
PA14_60390,162,132,163,233,186,198
rpsT,1448,1500,2089,2374,2080,2930
PA14_60410,290,309,382,419,291,380
proB,684,701,801,898,727,824
obgE,1081,1144,1343,1293,1077,1355
rpmA,1892,1729,2274,2821,1798,2662
rplU,886,819,1158,1711,479,1130
ispB,295,331,341,497,458,523
PA14_60480,19,50,22,41,53,56
PA14_60490,269,341,367,423,366,346
fklB,379,457,511,615,695,550
PA14_60520,77,104,125,171,185,130
PA14_60530,264,294,260,449,409,389
PA14_60540,61,53,67,64,53,45
PA14_60550,1152,1221,1335,1273,1205,1232
PA14_60560,58,95,84,61,75,41
PA14_60570,1234,1586,1808,1123,913,1429
PA14_60580,338,368,396,450,426,352
PA14_60590,175,172,171,261,225,224
rtcR,172,151,178,252,257,212
PA14_60620,0,0,0,0,0,0
PA14_60630,102,108,116,252,227,280
PA14_60650,148,147,180,394,345,373
PA14_60660,94,97,114,239,223,183
rtcA,51,55,41,111,100,70
PA14_60690,7,8,9,27,12,15
ccpR,1369,2477,2628,479,460,479
gdhA,377,405,466,756,752,764
PA14_60730,75,76,104,81,83,70
pra,120,159,198,313,464,439
PA14_60760,69,66,52,88,106,96
PA14_60770,47,44,42,61,50,55
PA14_60780,50,50,45,57,48,32
PA14_60790,91,93,88,65,66,61
PA14_60800,1336,1498,1577,1396,1481,1367
PA14_60810,72,176,116,68,84,65
oprJ,33,108,44,31,50,44
mexD,153,519,179,115,132,133
mexC,52,218,70,35,37,28
nfxB,92,192,116,76,65,66
morA,755,753,783,622,562,501
glyA,1523,1750,1948,1186,999,1282
PA14_60900,122,138,145,219,177,163
PA14_60920,371,403,402,693,611,490
PA14_60930,176,155,159,256,166,185
PA14_60950,2391,2528,2731,3341,2944,2451
PA14_60960,2169,2473,2623,2339,4076,2767
PA14_60970,222,211,257,354,462,312
radA,310,355,370,584,602,464
PA14_61000,29,61,27,27,37,29
PA14_61010,282,559,371,320,370,354
PA14_61020,151,668,136,77,104,73
katB,1216,4987,1032,504,683,525
mscL,911,979,1189,1283,1235,1261
PA14_61060,250,254,272,395,438,452
PA14_61080,27,28,36,69,72,51
PA14_61090,145,164,185,195,217,133
PA14_61110,112,131,117,109,131,101
PA14_61120,320,378,384,335,354,268
PA14_61130,63,82,67,80,92,82
PA14_61140,22,19,17,33,26,26
PA14_61150,108,117,134,150,138,114
PA14_61170,37,48,52,63,43,35
PA14_61180,150,248,204,76,47,35
PA14_61190,2448,2053,3002,1759,885,707
PA14_61200,60494,52214,74623,26808,16599,17806
hprA,186,189,186,195,197,158
PA14_61220,65,82,78,81,74,75
lysP,288,265,317,370,278,321
PA14_61260,84,60,70,243,165,177
PA14_61270,336,323,393,757,785,670
PA14_61280,473,499,534,1004,1019,867
PA14_61290,318,406,443,429,359,479
PA14_61300,2582,2906,3026,3162,3094,2785
PA14_61320,200,246,252,294,287,215
PA14_61330,85,184,108,160,225,170
