,Rev_MHH8607,Rev_MHH9536,Rev_MHH9604
"PA14_01600,mmsA",149,288,204
"PA14_01610,",33,62,36
"PA14_01620,aptA",55,234,153
"PA14_01640,",31,26,25
"PA14_01660,guaD",83,55,67
"PA14_01670,",4,5,2
"PA14_01680,",3,4,7
"PA14_01690,",3,10,8
"PA14_01710,ahpC",2567,2730,2236
"PA14_01720,ahpF",269,248,165
"PA14_01730,",345,591,404
"PA14_01750,",42,34,18
"PA14_01760,nuh",41,26,37
"PA14_01770,",0,2,3
"PA14_01780,",10,9,7
"PA14_01790,",13,12,12
"PA14_01800,",15,21,15
"PA14_01810,",28,40,27
"PA14_01830,add",157,119,98
"PA14_01840,",14,4,7
"PA14_01860,",11,5,2
"PA14_01870,",25,14,8
"PA14_01890,pcaQ",21,29,16
"PA14_01900,pcaH",11,17,16
"PA14_01910,pcaG",10,9,6
"PA14_01930,pcaR",79,68,52
"PA14_01940,",36,21,34
"PA14_01960,",36,35,30
"PA14_01970,",203,196,188
"PA14_01980,",89,90,76
"PA14_01990,",14,17,6
"PA14_02010,",39,41,42
"PA14_02020,",12,31,22
"PA14_02030,",39,43,23
"PA14_02050,",28,27,13
"PA14_02060,",77,65,27
"PA14_02070,",0,0,6
"PA14_02090,",179,224,121
"PA14_02100,",58,104,89
"PA14_02110,",41,97,90
"PA14_02130,",57,126,92
"PA14_02140,",76,156,124
"PA14_02150,",120,238,190
"PA14_02180,cheB",3,6,16
"PA14_02190,cheD",7,14,22
"PA14_02200,cheR",9,36,61
"PA14_02220,",61,95,175
"PA14_02230,cheW",17,26,72
"PA14_02250,cheA",37,82,153
"PA14_02260,cheY",35,57,128
"PA14_02270,",48,169,211
"PA14_02290,",34,42,37
"PA14_02300,fabG",6,17,7
"PA14_02310,atsA",16,22,31
"PA14_02330,atsC",1,11,4
"PA14_02340,atsB",7,9,15
"PA14_02360,atsR",0,3,6
"PA14_02370,",2,3,7
"PA14_02380,",5,5,3
"PA14_02390,",10,18,15
"PA14_02410,",5,10,3
"PA14_02420,atsK",4,6,8
"PA14_02435,",0,2,1
"PA14_02450,",181,70,91
