,Rev_MHH8607,Rev_MHH9536,Rev_MHH9604
"PA14_10210,",19,22,15
"PA14_10220,ygiM",127,2,9
"PA14_10230,adh",28,30,53
"PA14_10240,acoC",12,18,29
"PA14_10250,acoB",3,8,52
"PA14_10260,acoA",12,12,25
"PA14_10270,acoX",1,6,11
"PA14_10280,",0,1,11
"PA14_10290,acoR",73,130,206
"PA14_10300,",2,10,20
"PA14_10320,",56,67,37
"PA14_10330,ompK",3,5,4
"PA14_10340,cvaB",6,12,14
"PA14_10350,",9,11,12
"PA14_10360,",42,21,45
"PA14_10370,choS",24,24,43
"PA14_10380,",74,41,108
"PA14_10400,",0,0,1
"PA14_10410,",0,1,1
"PA14_10420,tyrS",27,19,15
"PA14_10440,opdL",2,9,11
"PA14_10470,bcr",13,13,13
"PA14_10480,",64,45,27
"PA14_10490,",6,16,9
"PA14_10500,ccoN",327,361,346
"PA14_10530,",79,130,93
"PA14_10540,fixG",24,142,78
"PA14_10550,cysI",28,102,78
"PA14_10560,",5,27,22
"PA14_10570,hpcH",0,6,6
"PA14_10590,hpcG",5,16,13
"PA14_10600,hpaX",12,17,17
"PA14_10610,hpcD",15,23,15
"PA14_10620,hpcB",10,22,15
"PA14_10630,hpcC",26,14,14
"PA14_10640,hpaG2",7,7,4
"PA14_10650,hpaG1",4,6,5
"PA14_10660,hpaA",13,10,12
"PA14_10670,aph",38,9,7
"PA14_10680,",52,62,43
"PA14_10700,",117,128,86
"PA14_10710,",40,51,24
"PA14_10730,",226,141,122
"PA14_10740,",75,60,77
"PA14_10750,sotB",33,14,15
"PA14_10770,",90,66,140
"PA14_10780,",598,215,338
"PA14_10790,ampC",3789,1787,2599
"PA14_10800,ampR",105,91,69
"PA14_10820,",47,75,62
"PA14_10830,",0,0,0
"PA14_10840,",0,0,1
"PA14_10850,",6,4,4
"PA14_10870,",2,9,4
"PA14_10890,",0,0,0
"PA14_10900,ydjL",0,1,4
"PA14_10910,phlE",1,6,7
"PA14_10920,dad",0,2,2
"PA14_10940,",64,88,80
"PA14_10950,",5,2,11
"PA14_10960,",0,0,0
"PA14_10970,",0,0,0
"PA14_10980,",0,0,0
"PA14_10990,hpaC",3,3,6
"PA14_11000,hpaA",15,19,14
"PA14_11010,",30,21,25
"PA14_11020,fabG",0,3,3
"PA14_11030,",2,2,3
"PA14_11050,moaF",0,1,2
"PA14_11060,cupB1",18,22,26
"PA14_11070,cupB2",5,9,9
"PA14_11080,cupB3",5,3,4
"PA14_11090,cupB4",1,1,5
"PA14_11100,cupB5",17,28,22
"PA14_11110,cupB6",5,9,9
"PA14_11120,rcsB",4,5,4
"PA14_11130,",211,95,85
"PA14_11140,",26,29,36
"PA14_11150,",27,18,24
"PA14_11160,",25,14,10
"PA14_11170,",27,16,12
"PA14_11180,",8,15,8
"PA14_11190,styD",20,7,14
"PA14_11210,",5,19,14
"PA14_11230,",1,4,0
"PA14_11240,",27,35,25
"PA14_11250,",193,216,136
"PA14_11260,",255,238,162
"PA14_11270,oprG",5669,6178,5928
"PA14_11280,",76,74,54
"PA14_11290,",57,55,40
"PA14_11310,",34,24,18
"PA14_11320,",19,7,22
"PA14_11330,",8,3,3
"PA14_11340,trx-1",293,288,239
"PA14_11350,",62,51,69
"PA14_11370,",25,20,31
"PA14_11380,nrdR",142,110,99
"PA14_11400,ribD",149,138,86
"PA14_11410,ribC",385,534,341
"PA14_11420,ribB",574,853,470
"PA14_11430,ribH",301,352,185
"PA14_11450,nusB",335,472,241
"PA14_11460,thiL",75,106,45
"PA14_11470,pgpA",88,89,61
"PA14_11480,",54,37,43
"PA14_11490,",96,63,35
"PA14_11510,ribA",125,142,60
"PA14_11520,",137,104,70
"PA14_11530,",86,62,34
"PA14_11550,dxs",673,613,435
"PA14_11560,ispA",135,72,35
"PA14_11570,xseB",46,27,10
"PA14_11580,",20,12,16
"PA14_11590,",6,7,1
"PA14_11600,",10,14,16
"PA14_11610,",1,3,10
"PA14_11620,",3,6,8
"PA14_11630,",129,166,119
"PA14_11650,",191,146,119
"PA14_11660,aqpZ",9,18,16
"PA14_11670,",1,5,12
"PA14_11680,",133,115,88
"PA14_11690,ppa",1096,845,500
"PA14_11700,",56,131,96
"PA14_11720,",96,193,93
"PA14_11730,",7,11,7
"PA14_11740,",37,45,53
"PA14_11750,",205,233,251
"PA14_11760,eutC",81,169,194
"PA14_11770,eutB",236,501,534
"PA14_11790,",178,468,478
"PA14_11810,",648,930,1180
"PA14_11830,",219,282,271
"PA14_11845,mpl",266,147,131
"PA14_11860,",120,79,101
"PA14_11880,",13,18,16
"PA14_11890,",149,121,110
"PA14_11900,",192,151,123
"PA14_11910,",142,90,219
"PA14_11920,",60,51,33
"PA14_11930,",155,100,77
"PA14_11940,",108,83,73
"PA14_11960,",127,204,126
"PA14_11970,",90,140,78
"PA14_11980,",25,24,27
"PA14_11990,",33,28,21
"PA14_12010,proA",643,581,283
"PA14_12020,nadD",217,294,150
"PA14_12030,",85,86,39
"PA14_12050,",92,111,63
"PA14_12060,pbpA",337,424,166
"PA14_12070,rodA",356,455,201
"PA14_12080,sltB1",436,337,259
"PA14_12090,",832,751,498
"PA14_12100,dacC",2125,1769,1157
"PA14_12110,",478,453,269
"PA14_12120,lipB",784,736,529
"PA14_12130,lis",915,774,504
"PA14_12140,",57,30,42
"PA14_12150,",7,4,7
"PA14_12160,",228,181,97
"PA14_12170,",1,1,0
"PA14_12180,",29,32,24
"PA14_12200,holA",334,267,223
"PA14_12210,",613,554,356
"PA14_12230,leuS",2738,2866,1602
"PA14_12260,",39,24,25
"PA14_12270,",40,31,24
"PA14_12280,lnt",345,300,155
"PA14_12300,",566,690,473
"PA14_12310,",678,920,490
"PA14_12330,",635,572,425
"PA14_12350,orf2",502,312,145
"PA14_12360,",35,10,4
"PA14_12370,",278,220,198
"PA14_12390,hemL",734,615,439
"PA14_12400,thiE",289,250,155
"PA14_12410,thiD",247,182,116
"PA14_12440,",25,29,29
"PA14_12450,",133,133,68
"PA14_12470,",6,22,12
"PA14_12490,",221,213,160
"PA14_12530,",46,178,182
"PA14_12540,",48,32,23
"PA14_12550,",25,15,10
"PA14_12560,",65,47,31
"PA14_12570,",125,96,83
"PA14_12590,",5,6,5
"PA14_12610,cepA",48,45,31
"PA14_12620,",110,69,65
"PA14_12630,",139,107,77
"PA14_12640,",2,14,11
"PA14_12650,",9,47,31
"PA14_12670,",129,101,63
"PA14_12680,",8,12,17
"PA14_12690,",23,15,14
"PA14_12700,",75,56,24
"PA14_12710,",12,16,8
"PA14_12730,",7,7,5
"PA14_12740,",122,33,43
"PA14_12750,",60,67,52
"PA14_12760,",182,162,101
"PA14_12770,",97,76,44
"PA14_12780,",304,454,392
"PA14_12810,",31,29,34
"PA14_12820,",60,80,55
"PA14_12840,",126,60,67
"PA14_12850,",46,30,39
"PA14_12860,",103,77,45
"PA14_12870,tesB",228,197,216
"PA14_12890,",56,61,42
"PA14_12900,",495,715,967
"PA14_12910,",0,0,0
"PA14_12920,",9,7,12
"PA14_12940,",2,4,1
"PA14_12960,",4,4,3
"PA14_12970,tauD",2,6,2
"PA14_12980,",781,147,132
"PA14_12990,",102,99,69
"PA14_13000,",18,13,8
"PA14_13010,",109,169,126
"PA14_13030,cioA",413,83,100
"PA14_13040,cioB",248,73,67
"PA14_13050,",39,28,23
"PA14_13060,",23,14,6
"PA14_13070,",1,8,5
"PA14_13090,",373,303,355
"PA14_13110,",128,672,717
"PA14_13130,",285,4306,6860
"PA14_13140,",230,4090,5028
"PA14_13150,",150,321,357
"PA14_13170,",24,22,12
"PA14_13190,",472,266,500
"PA14_13200,",0,0,0
"PA14_13210,",0,0,0
"PA14_13220,",0,0,0
"PA14_13230,moaC",62,85,46
"PA14_13240,moaD",33,56,31
"PA14_13250,moaE",57,63,44
"PA14_13260,moaB1",20,30,13
"PA14_13280,moeA1",11,15,8
"PA14_13290,",120,124,76
"PA14_13300,",132,130,73
"PA14_13320,",28,49,25
"PA14_13330,",9,9,11
"PA14_13340,",3,9,10
"PA14_13350,",9,2,8
"PA14_13360,",4,2,2
"PA14_13370,",0,0,2
"PA14_13380,",2,0,0
"PA14_13390,",1,1,4
"PA14_13410,prfC",911,543,192
"PA14_13420,",83,22,17
"PA14_13430,fecA",523,104,63
"PA14_13450,fecR",30,9,10
"PA14_13460,fecI",24,3,2
"PA14_13470,",85,52,42
"PA14_13490,",5,1,9
"PA14_13500,",96,63,46
"PA14_13510,",105,75,60
"PA14_13520,",19,10,7
"PA14_13530,",27,33,13
"PA14_13560,",13,18,3
"PA14_13580,",83,6,27
"PA14_13590,",72,9,9
"PA14_13600,",49,6,10
"PA14_13610,",22,1,5
"PA14_13620,nhaP",104,94,68
"PA14_13630,",31,16,17
"PA14_13650,",83,97,76
"PA14_13660,tpbA",3,2,0
"PA14_13670,",32,17,21
"PA14_13680,",43,32,29
"PA14_13690,",87,50,61
"PA14_13710,",60,50,44
"PA14_13720,",70,79,35
"PA14_13730,narL",283,151,118
"PA14_13740,narX",254,247,129
"PA14_13750,narK1",61,127,40
"PA14_13770,narK2",88,147,91
"PA14_13780,narG",228,1315,205
"PA14_13800,narH",170,1441,117
"PA14_13810,narJ",68,351,31
"PA14_13830,narI",120,541,43
"PA14_13840,",78,257,15
"PA14_13850,moaA",35,123,16
"PA14_13860,",2,1,0
"PA14_13870,",0,0,0
"PA14_13880,",0,0,0
"PA14_13890,",0,0,0
"PA14_13920,",0,0,0
"PA14_13940,",0,2,2
"PA14_13950,",0,0,0
"PA14_13960,",0,0,0
"PA14_13970,",0,0,0
"PA14_13990,",78,80,107
"PA14_14000,",103,92,100
"PA14_14010,",42,63,84
"PA14_14020,",50,74,78
"PA14_14040,rhl",1211,1418,917
"PA14_14060,",82,210,368
"PA14_14080,estB",124,87,70
"PA14_14100,yhdW",112,59,61
"PA14_14110,pcs",317,255,209
"PA14_14130,",38,19,15
"PA14_14140,",64,60,58
"PA14_14150,",26,25,26
"PA14_14160,",64,49,28
"PA14_14170,",81,88,59
"PA14_14200,",112,117,100
"PA14_14210,",61,30,109
"PA14_14220,",416,429,239
"PA14_14230,",233,220,242
"PA14_14250,",39,41,43
"PA14_14270,",23,20,16
"PA14_14280,",23,20,21
"PA14_14290,",62,48,53
"PA14_14300,",0,0,0
"PA14_14310,",0,0,0
"PA14_14320,",19,9,17
"PA14_14330,",15,20,9
"PA14_14340,ybiN",25,25,18
"PA14_14360,",67,100,71
"PA14_14370,",90,203,142
"PA14_14380,",279,668,413
"PA14_14390,",685,1098,1263
"PA14_14400,",0,0,2
"PA14_14420,",0,2,0
"PA14_14430,",58,51,57
"PA14_14440,valS",2026,1542,822
"PA14_14450,",114,125,85
"PA14_14460,holC",335,297,167
"PA14_14470,pepA",648,704,526
"PA14_14480,",24,13,17
"PA14_14490,",32,26,22
"PA14_14500,yjgP",750,520,332
"PA14_14510,yjgQ",609,582,295
"PA14_14520,",86,110,64
"PA14_14530,",57,68,40
"PA14_14540,",0,0,0
"PA14_14550,",0,0,1
"PA14_14560,",0,0,0
"PA14_14570,",193,302,251
"PA14_14590,queA",126,116,50
"PA14_14600,tgt",375,375,203
"PA14_14610,yajC",926,1407,754
"PA14_14630,secD",2320,3356,1721
"PA14_14650,secF",1365,2502,1145
"PA14_14660,ycfJ",1289,33,227
"PA14_14680,suhB",215,100,43
"PA14_14690,",284,295,149
"PA14_14700,cysE",192,197,123
"PA14_14710,",413,265,192
"PA14_14730,iscS",1831,1687,930
"PA14_14740,iscU",1137,912,606
"PA14_14750,icsA",576,440,292
"PA14_14770,hscB",423,381,186
"PA14_14780,hscA",558,514,289
"PA14_14800,fdx2",723,623,475
"PA14_14810,",167,200,127
"PA14_14820,ndk",2515,2415,1121
"PA14_14830,",1594,1764,768
"PA14_14850,pilF",740,714,404
"PA14_14860,",499,421,242
"PA14_14880,ispG",1263,1207,795
"PA14_14890,hisS",1239,1345,830
"PA14_14900,",690,628,425
"PA14_14910,",933,786,646
"PA14_14930,engA",300,206,233
"PA14_14940,ybdL",323,220,122
"PA14_14960,yafV",246,219,178
"PA14_14975,",162,78,71
"PA14_14990,mocA",230,146,210
"PA14_15000,",96,64,78
"PA14_15020,",46,48,59
"PA14_15030,leuA",1210,1217,1113
"PA14_15050,",470,505,245
"PA14_15070,oprC",2238,2053,1199
"PA14_15080,",201,181,99
"PA14_15090,",19,25,28
"PA14_15100,",112,383,214
"PA14_15110,",439,443,341
"PA14_15120,",357,307,268
"PA14_15130,",441,305,303
"PA14_15140,",2,10,1
"PA14_15150,",31,33,7
"PA14_15160,",9,17,12
"PA14_15180,",48,92,82
"PA14_15190,",8,19,18
"PA14_15200,",61,81,122
"PA14_15210,",56,37,26
"PA14_15230,xseA",106,128,76
"PA14_15240,",7,14,6
"PA14_15250,",3,4,4
"PA14_15260,",0,5,1
"PA14_15270,",2,2,2
"PA14_15280,",7,8,1
"PA14_15290,",17,16,12
"PA14_15310,guaB",1326,876,432
"PA14_15340,guaA",845,515,266
"PA14_15350,",0,0,0
"PA14_15360,",1,1,0
"PA14_15370,",0,0,0
"PA14_15380,repA",0,0,0
"PA14_15400,repC",1,2,2
"PA14_15430,tnpR",2,0,0
"PA14_15435,",0,1,0
"PA14_15445,merE",0,0,0
"PA14_15450,merD",0,0,0
"PA14_15460,merA",0,1,0
"PA14_15470,merP",0,0,0
"PA14_15475,merT",0,0,0
"PA14_15480,merR",0,0,0
"PA14_15490,",0,0,0
"PA14_15500,traK",0,0,0
"PA14_15510,traJ",0,0,0
"PA14_15520,trbJ",0,0,0
"PA14_15530,trbK",0,0,0
"PA14_15540,trbL",0,0,0
"PA14_15560,",0,0,0
"PA14_15570,",0,0,0
"PA14_15580,",3,1,0
"PA14_15590,",1,1,0
"PA14_15600,",1,1,0
"PA14_15610,",0,0,1
"PA14_15620,",0,0,0
"PA14_15630,",0,0,0
"PA14_15650,",0,0,2
"PA14_15660,",0,1,1
"PA14_15670,cumA",566,347,239
"PA14_15680,cumB",103,68,57
"PA14_15700,",28,122,76
"PA14_15710,",5,8,2
"PA14_15720,yfhD",714,747,485
"PA14_15740,purL",1574,1163,682
"PA14_15750,",12,9,8
"PA14_15770,",57,19,8
"PA14_15780,",35,100,54
"PA14_15790,",55,113,73
"PA14_15810,glmS",42,43,36
"PA14_15820,nagA",24,39,52
"PA14_15830,",20,28,33
"PA14_15840,",461,558,373
"PA14_15850,",428,547,276
"PA14_15860,",289,311,230
"PA14_15870,",230,267,159
"PA14_15880,",47,55,54
"PA14_15890,purT",289,205,155
"PA14_15910,",55,36,29
"PA14_15920,yhjE",14,10,14
"PA14_15930,yfjD",378,318,244
"PA14_15940,",637,592,306
"PA14_15960,ffh",2166,1172,634
"PA14_15970,rpsP",923,785,263
"PA14_15980,rimM",962,851,283
"PA14_15990,trmD",4735,4413,1713
"PA14_16000,rplS",3100,2556,888
"PA14_16010,",6,3,2
"PA14_16020,",147,120,117
"PA14_16030,",85,40,64
"PA14_16040,xerD",84,84,51
"PA14_16050,dsbC",545,683,437
"PA14_16070,hom",545,580,352
"PA14_16090,thrC",720,646,394
"PA14_16100,",12,14,10
"PA14_16110,",101,2,9
"PA14_16130,",183,184,153
"PA14_16140,",180,113,364
"PA14_16150,",177,128,339
"PA14_16160,",269,158,735
"PA14_16180,",1427,469,4498
"PA14_16190,",495,251,1747
"PA14_16200,",44,13,159
"PA14_16210,",76,49,34
"PA14_16220,recJ",191,166,65
"PA14_16250,lasB",18,20,24
"PA14_16260,",80,65,151
"PA14_16270,",37,82,138
"PA14_16280,",28,31,9
"PA14_16290,",10,11,11
"PA14_16300,",2,1,3
"PA14_16310,",2,2,4
"PA14_16320,fkbP-1",48,32,11
"PA14_16330,",333,265,478
"PA14_16340,",36,32,44
"PA14_16350,",7,9,2
"PA14_16360,",21,55,16
"PA14_16370,",28,981,897
"PA14_16380,",24,31,28
"PA14_16390,",182,581,653
"PA14_16410,",55,388,545
"PA14_16430,wspA",378,358,175
"PA14_16440,wspB",81,70,32
"PA14_16450,wspC",118,102,54
"PA14_16460,wspD",75,50,30
"PA14_16470,wspE",255,201,98
"PA14_16480,wspF",93,82,47
"PA14_16500,wspR",125,103,58
"PA14_16510,",737,679,324
"PA14_16530,lysS",1084,864,444
"PA14_16550,",129,82,70
"PA14_16560,",320,260,203
"PA14_16580,",532,403,319
"PA14_16590,",130,126,85
"PA14_16600,",270,243,190
"PA14_16610,",87,64,34
"PA14_16620,",41,18,12
"PA14_16630,",396,6,115
"PA14_16640,",315,16,113
"PA14_16660,cadA",225,285,273
"PA14_16670,cadR",63,116,76
"PA14_16680,",43,20,67
"PA14_16690,ppc",634,329,333
"PA14_16700,adk",995,663,392
"PA14_16710,yeaZ",49,20,27
"PA14_16720,",68,61,44
"PA14_16730,",89,68,55
"PA14_16740,",21,14,12
"PA14_16750,",12,8,6
"PA14_16770,",50,64,28
"PA14_16780,",26,29,24
"PA14_16790,",40,57,48
"PA14_16800,",16,74,63
"PA14_16820,",110,292,215
"PA14_16830,",80,85,58
"PA14_16840,",52,34,45
"PA14_16860,plsB",397,439,324
"PA14_16870,",57,451,227
"PA14_16880,",101,788,397
"PA14_16890,",77,942,460
"PA14_16910,",53,356,201
"PA14_16920,sufE",19,8,5
"PA14_16930,csdA",89,69,58
"PA14_16950,dapD",590,530,307
"PA14_16960,",132,95,73
"PA14_16970,",104,109,79
"PA14_16980,",29,13,14
"PA14_16990,",77,211,239
"PA14_17000,",8,0,49
"PA14_17010,yjcE",139,198,165
"PA14_17030,dapC",80,79,43
"PA14_17040,glnD",389,343,219
"PA14_17050,map",893,650,431
"PA14_17060,rpsB",5137,3479,1441
"PA14_17070,tsf",3914,3122,1306
"PA14_17080,pyrH",1404,1809,1098
"PA14_17100,frr",1136,948,660
"PA14_17110,uppS",301,248,136
"PA14_17120,cdsA",135,117,82
"PA14_17130,dxr",217,205,118
"PA14_17140,yaeL",702,616,454
"PA14_17150,",4940,4593,2823
"PA14_17170,ompH",2713,3111,2174
"PA14_17180,lpxD",1572,1656,965
"PA14_17190,fabZ",1811,1733,1050
"PA14_17210,lpxA",1196,1172,765
"PA14_17220,lpxB",609,535,259
"PA14_17230,rnhB",244,215,156
"PA14_17250,yaaJ",471,407,162
"PA14_17260,dnaE",2458,1885,920
"PA14_17270,accA",3421,2569,1420
"PA14_17280,mesJ",150,102,74
"PA14_17290,pyrG",2040,1674,908
"PA14_17310,kdsA",1674,1600,819
"PA14_17320,eno",2072,1653,990
"PA14_17330,",181,139,145
"PA14_17340,ispD",85,99,54
"PA14_17350,",23,31,28
"PA14_17370,yedE",144,111,76
"PA14_17380,",25,26,33
"PA14_17400,adhC",299,387,331
"PA14_17410,",200,227,192
"PA14_17420,ispF",120,66,52
"PA14_17440,truD",295,297,163
"PA14_17450,surE",384,301,197
"PA14_17460,pcm",440,316,222
"PA14_17470,nlpD",1771,1740,1927
"PA14_17480,rpoS",3439,4054,5765
"PA14_17490,fdxA",1002,855,891
"PA14_17500,mutS",713,652,354
"PA14_17510,",23,10,11
"PA14_17520,cinA",29,38,22
"PA14_17530,recA",910,768,605
"PA14_17540,recX",95,77,40
"PA14_17550,",571,851,822
"PA14_17570,",249,380,480
"PA14_17580,",554,657,717
"PA14_17590,",189,115,83
"PA14_17600,",241,126,116
"PA14_17610,potD",14,13,7
"PA14_17620,potC",5,14,5
"PA14_17630,potB",7,10,7
"PA14_17640,potA",3,4,2
"PA14_17650,",23,26,17
"PA14_17660,",41,29,17
"PA14_17670,",286,283,144
"PA14_17675,dgkA",96,123,45
"PA14_17690,",482,1026,797
"PA14_17700,rpmE2",20,12,7
"PA14_17710,rpmJ",2,5,4
"PA14_17720,",73,57,57
"PA14_17730,",29,4,15
"PA14_17740,ycjJ",24,30,23
"PA14_17760,ada",16,14,8
"PA14_17780,",13,14,10
"PA14_17790,",37,32,25
"PA14_17810,",9,7,8
"PA14_17820,",4,3,3
"PA14_17850,fadB",4,3,3
"PA14_17860,paaH",8,9,8
"PA14_17880,paaJ",1,2,5
"PA14_17890,",7,10,8
"PA14_17900,metR",41,49,37
"PA14_17910,lipG",4,5,2
"PA14_17920,glpM",15,13,12
"PA14_17930,glpD",43,33,41
"PA14_17940,glpR",92,71,44
"PA14_17960,glpK",37,60,55
"PA14_17980,glpF",5,4,17
"PA14_17990,ybaK",53,27,14
"PA14_18010,glpK",85,57,41
"PA14_18020,",49,38,28
"PA14_18040,",4,0,3
"PA14_18050,",34,52,51
"PA14_18060,",16,165,122
"PA14_18070,",4,11,14
"PA14_18080,",59,85,57
"PA14_18090,",19,18,13
"PA14_18100,",65,100,95
"PA14_18110,mmsR",32,51,51
"PA14_18120,mmsA",2950,4188,6342
"PA14_18140,mmsB",771,1227,1899
"PA14_18150,acsL",209,761,1440
"PA14_18160,",79,94,66
"PA14_18180,",63,90,43
"PA14_18200,",28,31,35
"PA14_18210,",15,19,14
"PA14_18230,fruR",47,42,45
"PA14_18250,fruI",134,192,41
"PA14_18260,fruK",71,89,29
"PA14_18275,fruA",142,152,68
"PA14_18300,",12,31,21
"PA14_18310,",13,13,3
"PA14_18320,",4,2,1
"PA14_18330,arnT",9,14,6
"PA14_18340,",2,7,3
"PA14_18350,fmt",29,108,41
"PA14_18360,prmF",13,30,17
"PA14_18370,arnB",11,42,19
"PA14_18380,algA",387,33,41
"PA14_18410,algF",141,8,11
"PA14_18430,algJ",88,10,4
"PA14_18450,algI",151,19,23
"PA14_18470,algL",92,6,9
"PA14_18480,algX",123,13,9
"PA14_18500,algG",234,10,11
"PA14_18510,algE",153,7,5
"PA14_18520,algK",114,8,10
"PA14_18550,alg44",125,3,4
"PA14_18565,alg8",179,3,10
"PA14_18580,algD",707,2,10
"PA14_18590,",380,314,244
"PA14_18600,",184,169,113
"PA14_18610,argF",204,139,91
"PA14_18620,",29,36,41
"PA14_18630,eprS",7,10,13
"PA14_18640,",40,30,27
"PA14_18650,ydhD",540,287,358
"PA14_18660,",7,7,8
"PA14_18670,bfrB",170,410,237
"PA14_18680,bfd",81,22,21
"PA14_18690,ahpC",2645,2733,1629
"PA14_18700,rnt",274,253,171
"PA14_18710,pyrC",289,298,212
"PA14_18720,motY",32,120,107
"PA14_18740,argG",1204,735,447
"PA14_18750,gloA1",214,228,139
"PA14_18760,mexE",6,7,5
"PA14_18780,mexF",14,24,18
"PA14_18790,opmE",5,8,2
"PA14_18800,",2,1,0
"PA14_18810,",1,7,7
"PA14_18820,",2,4,7
"PA14_18830,",5,12,3
"PA14_18850,",14,19,19
"PA14_18860,",41,26,35
"PA14_18870,",715,524,493
"PA14_18880,nth",144,151,89
"PA14_18890,rnfE",44,49,14
"PA14_18900,rnfG",13,21,14
"PA14_18910,rnfD",48,44,24
"PA14_18920,rnfC",159,77,39
"PA14_18930,rnfB",23,15,14
"PA14_18950,rnfA",92,54,46
"PA14_18960,",0,0,0
"PA14_18970,pldA",1,0,0
"PA14_18985,",34,25,68
"PA14_19010,",7,7,42
"PA14_19020,",87,12,244
"PA14_19030,",86,61,98
"PA14_19050,metG",1763,1590,950
"PA14_19065,mrp",128,139,101
"PA14_19090,dcd",547,364,329
"PA14_19100,rhlA",9,13,9
"PA14_19110,rhlB",15,14,8
"PA14_19120,rhlR",179,213,236
"PA14_19130,rhlI",14,26,22
"PA14_19140,pheC",136,99,83
"PA14_19150,yigM",35,20,15
"PA14_19160,rarD",69,60,47
"PA14_19170,yafL",302,65,41
"PA14_19190,sfcA",1446,909,769
"PA14_19205,",56,149,77
"PA14_19210,",84,144,94
"PA14_19230,ybdG",258,627,377
"PA14_19270,",7,10,7
"PA14_19290,srmB",197,185,102
"PA14_19310,",124,96,131
"PA14_19320,",31,46,46
"PA14_19330,",6,1,4
"PA14_19340,",45,41,38
"PA14_19350,",74,27,45
"PA14_19360,",147,44,58
"PA14_19370,asnB",139,33,60
"PA14_19380,",92,126,132
"PA14_19390,",33,16,10
"PA14_19400,mnmC",118,85,58
"PA14_19410,",417,363,371
"PA14_19430,",37,22,24
"PA14_19450,",55,80,60
"PA14_19470,mqoA",182,259,144
"PA14_19480,",10,16,26
"PA14_19490,lsfA",96,152,132
"PA14_19500,ssuA",1,3,2
"PA14_19510,ssuC",3,0,0
"PA14_19520,ssuB",3,2,2
"PA14_19530,ssuE",12,10,8
"PA14_19540,ssuA",7,2,5
"PA14_19560,ssuD",4,1,2
"PA14_19570,ssuC",5,0,4
"PA14_19580,ssuB",2,1,3
"PA14_19590,ssuF",1,0,3
"PA14_19600,",123,132,92
"PA14_19610,",373,392,426
"PA14_19620,folX",185,199,162
"PA14_19630,folE1",235,223,164
"PA14_19640,ydgB",110,97,73
"PA14_19650,",10,5,6
"PA14_19660,mioC",154,101,66
"PA14_19670,",10,9,22
"PA14_19680,",17,20,9
"PA14_19690,",27,12,7
"PA14_19700,",40,36,54
"PA14_19710,",15,26,22
"PA14_19720,",1,3,2
"PA14_19730,",51,48,46
"PA14_19740,",42,13,18
"PA14_19750,",4,2,3
"PA14_19770,",18,23,15
"PA14_19800,",62,82,68
"PA14_19810,",3,13,10
"PA14_19830,",12,19,22
"PA14_19850,",4,9,25
"PA14_19860,",42,53,50
"PA14_19870,ldh",25,17,52
"PA14_19900,",17,12,22
"PA14_19910,pdhB",22,6,27
"PA14_19920,",11,4,15
"PA14_19930,",1,10,5
"PA14_19940,",7,9,20
"PA14_19950,",80,84,55
"PA14_19960,",2,2,4
"PA14_19970,",2,3,4
"PA14_19990,",11,6,4
"PA14_20000,",5,3,4
"PA14_20010,hasR",7,13,13
"PA14_20020,hasAp",3,5,2
"PA14_20030,hasD",0,2,6
"PA14_20040,hasE",0,0,2
"PA14_20050,hasF",1,3,0
"PA14_20060,",16,1,1
"PA14_20070,",17,15,12
"PA14_20080,",57,82,60
"PA14_20100,",62,102,90
"PA14_20110,",58,80,71
"PA14_20120,",27,28,32
"PA14_20130,yeiE",40,34,27
"PA14_20140,fpr",563,332,175
"PA14_20150,nosL",28,47,39
"PA14_20170,nosY",62,118,78
"PA14_20180,nosF",51,76,43
"PA14_20190,nosD",176,332,196
"PA14_20200,nosZ",1515,1746,1560
"PA14_20230,nosR",406,316,350
"PA14_20240,",15,6,10
"PA14_20250,",2,0,1
"PA14_20260,",16,21,10
"PA14_20270,rhlG",2,1,3
"PA14_20280,",11,12,4
"PA14_20290,algZ",378,206,151
"PA14_20300,phnC",0,0,0
"PA14_20320,phnD",4,2,7
"PA14_20330,phnE",4,1,5
"PA14_20350,phnF",2,4,1
"PA14_20360,phnG",4,0,2
"PA14_20370,phnH",1,5,7
"PA14_20380,phnI",2,13,10
"PA14_20390,phnJ",0,2,3
"PA14_20400,phnK",0,7,1
"PA14_20420,phnL",3,6,2
"PA14_20430,phnM",10,22,5
"PA14_20440,phnN",34,20,14
"PA14_20450,phnP",29,28,11
"PA14_20460,",6,15,21
"PA14_20470,",11,22,29
"PA14_20480,",30,30,36
"PA14_20491,",16,18,13
"PA14_20500,",342,143,109
"PA14_20510,",50,36,54
"PA14_20520,",12,25,27
"PA14_20530,",0,0,0
"PA14_20550,",17,13,21
"PA14_20560,amiE",405,675,1121
"PA14_20570,amiB",73,145,249
"PA14_20580,amiC",89,136,197
"PA14_20590,amiR",32,70,110
"PA14_20600,",0,0,0
"PA14_20610,lecB",17,17,15
"PA14_20620,",11,2,7
"PA14_20630,",5,8,5
"PA14_20640,",19,24,26
"PA14_20650,dsdA",109,64,63
"PA14_20670,",474,1023,1282
"PA14_20680,",130,116,186
"PA14_20690,",44,39,44
"PA14_20700,",245,645,515
"PA14_20720,flgN",198,255,231
"PA14_20730,flgM",348,425,300
"PA14_20740,flgA",73,123,87
"PA14_20750,",537,1997,1519
"PA14_20760,cheR",334,770,524
"PA14_20770,",86,93,76
"PA14_20780,",170,171,143
