,,EV_1,EV_2,EV_3,PA3458_1,PA3458_2,PA3458_3
39,D3C65_00195,34.4708441247936,35.7738791705649,40.2564715732946,30.3904252060354,30.8706376960774,34.4570169886085
40,D3C65_00200,188.575794329753,182.010516950728,193.324683253147,160.674662649677,167.674080088968,174.267125743272
41,D3C65_00205,132.234792798053,128.611458286372,159.075475848736,162.474551158462,157.595310247555,159.55428441849
42,D3C65_00210,379.468956331762,375.887491382423,401.394469466281,340.80196649046,366.853126045851,382.38140976739
43,D3C65_00215,21.580486447875,24.5181952364115,20.0502193688696,15.0221464002498,17.5497460874961,22.5647721872304
44,D3C65_00220,9.55914164805201,10.5576570235082,10.2981671466568,5.46889200746422,7.1185717061731,9.68150698573735
45,D3C65_00225,8.40045781192449,11.5174440256453,12.0925447555439,3.87668294199996,6.41376262635398,9.91020400114847
46,D3C65_00230,31.4292990549589,32.0219845258471,37.6819297866304,8.23795125174991,15.7877233879483,24.1656512951082
47,D3C65_00235,13.2524463757085,16.0546189448389,16.8515462399838,3.73822997978567,7.68241897002839,10.6725273858522
48,D3C65_00240,17.7423462407026,18.497713132097,21.9226133955345,5.33043904524994,9.30347985361237,14.7890736632523
49,D3C65_00245,16.0767382262693,14.8330718512098,17.1636119110946,8.79176310060704,11.1359834611421,14.6366089863116
50,D3C65_00250,24.3323605586778,23.1221414151212,28.0078939821953,24.5061743119283,26.0779359533074,24.0894189566378
51,D3C65_00260,18.3216881587663,18.235953040605,22.2346790666453,18.8296028611426,19.5232115109896,20.5064990485303
52,D3C65_00265,35.919198919953,43.3649218238311,38.9301924710737,33.4363903747496,39.962674825744,31.7126528036751
53,D3C65_00270,293.21942828002,270.13641441968,289.596942790833,294.212544705354,317.164085918603,315.220719574992
54,D3C65_00275,126.006867178867,114.476413345808,116.322478906555,112.63148476132,132.504107005994,123.572620660474
55,D3C65_00280,169.819599732439,160.284429356897,155.330687795406,166.351234100462,190.58037518309,171.141599865987
56,D3C65_00285,4.48989986499413,3.75189464471778,4.52495223110676,3.04596516871425,3.66500721505942,3.58291990810752
57,D3C65_00290,23.3185122020663,20.2427804087099,18.099808924427,10.9377840149284,10.7130980132506,15.8563264018375
58,D3C65_00295,13.9766237732882,12.9134978469356,14.0429551999865,13.153031410357,15.223876124093,15.9325587403079
59,D3C65_00300,5.5037482216057,8.55082965540331,6.08528058666082,7.26878051624992,8.17578532590178,8.61425424715213
60,D3C65_00305,4.56231760475209,5.23520182983876,4.36891939555136,4.22281534753567,4.44029720286045,4.42147563128162
61,D3C65_00310,86.6116167505318,90.7434983838719,104.385966986566,69.5726135126778,85.2818986581134,90.6402504412733
62,D3C65_00315,17.2354220623968,17.1889126746373,17.6317104177608,19.0372823044641,16.9858988236408,19.0580846175932
63,D3C65_00320,43.5954793342978,41.8816146387101,52.1149670755054,44.5126273518924,45.601147464297,43.6048976050533
64,D3C65_00325,7.82111589386073,8.11456283625008,6.86544476443784,7.8918188462142,8.03482350993795,8.46178957021138
65,D3C65_00330,9.99364808659983,9.85963011286301,8.5037895377696,8.65331013839276,9.86732711746766,9.98643633961884
66,D3C65_00335,2.96912733007676,3.75189464471778,4.29090297777365,2.69983276317854,2.396350871385,3.12552587728529
67,D3C65_00340,5.21407726257382,6.54400228729846,7.41155968888176,5.19198608303566,5.28606809864339,5.03133433904461
68,D3C65_00345,20.8563090502953,20.3300337725405,19.8161701155365,20.0064530399641,25.0912032415606,20.8114284024118
69,D3C65_00350,17.8147639804606,21.4643275023389,19.3480716088703,11.0762369771427,11.6293498170155,15.5513970479561
70,D3C65_00355,7.38660945531292,5.75872201282264,5.92924775110541,7.13032755403563,7.54145715406457,6.40351643151132
71,D3C65_00360,44.3920744716355,42.6668949131859,39.9444059021838,47.1432336339638,45.1782620164055,40.3269070508272
72,D3C65_00365,95.5914164805201,84.548509551896,87.8464864176933,84.5947599129276,87.5372877135345,92.9272205953845
73,D3C65_00370,54.4581402979933,49.3854039281457,50.0865402132852,53.581296376928,54.4817418700179,53.1339399138499
74,D3C65_00375,66.5519028375742,63.5204488687103,59.6825595999426,62.7191918830707,62.4460844719739,66.6270638231058
