,Z2_1A-Expression,C1_1A-Expression,C3_1A-Expression,C5_1A-Expression
PA3382,19,22,3316,2648
PA3377,49,51,180,46
PA2025,1508,1005,1054,1334
PA2026,93,62,93,185
PA3376,38,31,90,97
PA2028,62,37,29,38
PA2029,52,20,22,18
PA3371,47,46,47,57
PA3369,128,263,20,37
PA2032,485,307,218,323
PA2033,29,11,16,22
PA2034,37,12,7,41
PA2035,190,118,89,107
PA2036,40,19,17,16
PA2037,209,133,221,194
PA3368,36,33,69,104
PA3367,50,51,185,224
PA2040,384,84,96,106
PA2041,140,87,96,79
PA2042,1145,259,148,108
PA2043,127,76,51,35
PA2044,521,356,211,296
PA2045,60,40,73,73
PA2046,34,20,33,12
PA3366,306,475,64,43
PA3361,57,58,31,15
PA3359,121,99,125,114
PA2050,13,8,5,19
PA3355,400,448,15,24
PA2052,73,18,35,37
PA3353,1873,1887,23,29
PA2054,113,43,38,72
PA2055,48,28,33,40
PA2056,87,57,41,72
PA2057,77,62,45,35
PA3343,379,354,19,8
PA3338,78,74,21,28
PA3319,170,154,34,4
PA3307,260,253,55,19
PA3306,218,306,583,562
PA3303,204,195,1786,1012
PA3296,51,68,8798,4504
PA3285,254,213,21945,12503
PA3283,2537,2669,78,46
PA3282,838,810,68,34
PA3281,427,410,42,36
PA3280,139,286,54,30
PA3278,52,45,134,92
PA2071,873,668,1387,709
PA2072,423,244,305,121
PA3276,51,47,54,47
PA2074,29,15,16,7
PA2075,63,42,59,32
PA2076,121,90,73,70
PA3275,83,92,70,57
PA2078,61,41,56,64
PA3274,79,392,62,71
PA3271,596,857,46,78
PA2081,56,44,33,31
PA2082,56,34,56,43
PA3270,449,389,403,264
PA2084,137,106,80,78
PA2085,27,15,12,7
PA3268,218,209,8,10
PA2087,37,16,6,12
PA3266,5409,4579,28,25
PA2089,174,133,102,110
PA2090,29,10,18,7
PA3265,64,53,25,8
PA2092,50,28,24,29
PA2093,27,13,3,10
PA3257,7165,7974,61,63
PA3247,1356,1172,77,110
PA2096,91,39,46,47
PA2097,109,58,38,18
PA2098,75,37,19,17
PA2099,74,37,20,19
PA2100,183,126,139,180
PA3243,917,1230,157,106
PA2102,66,46,20,25
PA2103,177,124,137,98
PA3239,415,439,137,102
PA2105,182,135,122,136
PA2106,182,125,173,132
PA3237,13,17,19,14
PA3235,338,668,236,114
PA2109,49,18,56,37
PA2110,279,34,23,98
PA2111,343,49,37,88
PA2112,250,28,21,75
PA2113,464,80,37,118
PA2114,649,177,119,180
PA2115,99,35,17,35
PA2116,140,64,48,67
PA2117,184,147,180,128
PA2118,111,49,32,34
PA3234,2020,3231,1814,708
PA2120,77,14,22,37
PA2121,302,91,117,65
PA2122,4508,129,61,91
PA2123,1952,106,103,55
PA2124,177,36,63,63
PA2125,186,47,56,25
PA2126,325,89,110,24
PA2126.1,177,108,65,16
PA2127,486,314,346,132
PA2128,304,75,99,122
PA2129,53,32,26,36
PA3233,379,742,62,48
PA2131,53,26,41,15
PA3232,133,173,3,5
PA3231,22,29,7,15
PA3221,84,86,782,157
PA3220,231,307,188,30
PA2136,15,7,17,10
PA3218,8,9,100,19
PA3217,295,275,438,140
PA3216,24,26,33,11
PA3206,268,369,84,11
PA3205,560,1371,151,48
PA3201,922,760,218,85
PA3194,9378,8352,1137,459
PA3183,8338,8503,60,26
PA3182,2189,2177,335,68
PA2147,249,137,559,88
PA3181,1933,1970,90,35
PA3176,66,55,30,8
PA3167,2248,1826,188,66
PA3166,1675,2460,645,217
PA3161,312,266,903,401
PA3160,1736,1622,637,252
PA3152,496,599,118,25
PA3151,940,1358,143,41
PA3146,1387,1284,112,26
PA3145,1144,1711,274,59
PA3144,13,12,559,186
PA3143,206,171,555,159
PA3142,275,298,1272,450
PA3126,483,450,67,29
PA3104,770,622,811,280
PA3065,41,45,841,262
PA3058,88,89,895,287
PA3057,9,10,1253,354
PA3053,185,164,853,75
PA3051,71,64,306,196
PA3048,493,411,94,61
PA2169,96,52,439,127
PA2170,17,12,94,25
PA3047,468,382,1197,330
PA3045,37,38,1227,316
PA3040,1670,1672,230,56
PA2174,84,67,120,36
PA3037,43,57,166,61
PA3036,50,45,387,154
PA3035,41,53,510,315
PA3031,2383,2365,151,66
PA3015,160,170,126,61
PA2991,1691,1883,360,119
PA2985,78,194,197,85
PA2976,10298,9048,24,16
PA2972,57,141,30,9
PA2969,911,754,241,64
PA2966,3726,4549,150,85
PA2947,353,653,6,4
PA2935,21,144,101,23
PA2188,33,26,79,23
PA2934,48,289,73,38
PA2933,25,77,1018,410
PA2927,124,105,94,32
PA2192,24,11,55,24
PA2193,118,16,9,6
PA2194,1018,108,99,38
PA2195,1316,157,68,42
PA2196,105,75,103,74
PA2197,509,108,169,105
PA2198,105,18,27,22
PA2199,455,108,143,126
PA2200,133,82,75,37
PA2201,87,51,37,30
PA2926,23,21,15,25
PA2925,21,23,6,53
PA2923,14,16,378,2252
PA2205,30,5,10,11
PA2922,35,38,69,83
PA2207,65,40,46,27
PA2208,8,5,6,4
PA2918,146,123,14,6
PA2917,61,153,53,53
PA2910,22,25,26,26
PA2212,56,19,7,15
PA2883,231,249,14,12
PA2881,55,49,12,30
PA2878,37,33,43,39
PA2869,82,77,33,17
PA2217,36,26,26,43
PA2868,60,55,44,39
PA2861,15,18,56,27
PA2220,92,71,70,63
PA2859,105,88,193,210
PA2222,368,91,89,56
PA2223,627,235,238,197
PA2858,372,373,185,148
PA2857,110,123,56,30
PA2226,109,66,103,67
PA2227,347,171,296,169
PA2856,318,275,230,146
PA2229,182,83,85,70
PA2854,1195,1110,101,86
PA2231,840,375,373,423
PA2232,1701,422,327,371
PA2233,778,215,165,131
PA2234,612,188,128,103
PA2235,1777,498,341,367
PA2236,708,149,115,96
PA2237,788,231,176,125
PA2238,809,245,126,101
PA2239,567,184,130,130
PA2240,518,162,100,113
PA2241,289,121,100,76
PA2242,307,117,53,135
PA2243,71,36,41,47
PA2849,77,70,180,74
PA2245,33,12,36,29
PA2246,94,48,48,54
PA2247,203,87,100,53
PA2248,201,118,168,129
PA2249,234,95,86,90
PA2250,284,95,107,88
PA2251,115,90,109,153
PA2840,668,921,72,137
PA2253,108,53,56,79
PA2838,42,34,18,19
PA2255,31,18,33,8
PA2835,51,58,42,28
PA2830,182,872,5,8
PA2258,66,38,33,37
PA2824,496,502,293,355
PA2820,694,598,39,66
PA2819,46,40,73,76
PA2817,179,148,63,106
PA2813,250,203,36,51
PA2811,386,333,158,222
PA2265,485,314,281,324
PA2266,242,162,145,199
PA2267,268,148,63,83
PA2268,50,23,20,32
PA2269,65,46,24,18
PA2810,157,1323,84,84
PA2271,76,54,26,40
PA2272,517,175,129,232
PA2273,108,38,33,97
PA2274,24,19,8,59
PA2275,69,40,60,106
PA2809,63,981,61,58
PA2277,23,16,51,547
PA2278,114,53,85,1187
PA2808,12,1383,35,466
PA2280,113,57,65,534
PA2281,188,119,111,190
PA2807,17,9701,71,80
PA2806,137,2239,308,192
PA2805,177,366,150,111
PA2803,30,38,287,246
PA2799,134,155,1509,1623
PA2287,1607,724,1625,1911
PA2288,1108,662,1256,1619
PA2289,362,205,192,109
PA2290,1501,536,663,513
PA2291,260,103,263,162
PA2292,16,10,14,8
PA2293,41,18,26,31
PA2794,428,500,28,21
PA2793,270,461,8,11
PA2790,198,160,43,67
PA2786,23,140,5,24
PA2784,11,10,126,523
PA2299,96,76,51,493
PA2300,104,41,22,33
PA2301,217,57,46,36
PA2302,7312,571,552,397
PA2303,843,68,50,47
PA2304,816,94,73,58
PA2305,3136,547,375,232
PA2783,76,67,29,35
PA2307,28,21,45,23
PA2780,112,104,34,56
PA2777,230,361,43,173
PA2776,240,238,37,240
PA2772,42,40,10,82
PA2768,40,42,44,255
PA2763,4,13,388,300
PA2754,523,539,31,11
PA2753,179,231,30,13
PA2751,199,315,76,67
PA2317,114,89,111,96
PA2318,109,74,54,39
PA2320,356,278,116,188
PA2750,71,104,50,68
PA2322,189,95,87,77
PA2323,572,382,598,332
PA2324,37,9,28,8
PA2749,79,96,31,16
PA2747,453,516,29,18
PA2746,321,261,36,30
PA2328,70,44,19,74
PA2745,83,146,13,76
PA2330,50,31,36,229
PA2738,1722,3010,18,172
PA2332,90,69,54,66
PA2333,46,24,32,44
PA2735,2630,4028,20,34
PA2734,1215,1395,47,31
PA2733,440,1176,23,27
PA2732,3004,2792,207,113
PA2338,1257,168,96,207
PA2339,407,67,37,58
PA2340,369,63,26,46
PA2341,714,100,17,122
PA2342,483,71,45,81
PA2343,300,44,36,34
PA2344,246,98,109,91
PA2345,369,246,365,135
PA2731,375,304,23,13
PA2723,71,82,14,16
PA2348,21,14,22,13
PA2718,172,222,7,13
PA2711,90,184,26,16
PA2708,151,163,25,18
PA2707,534,500,38,33
PA2353,142,114,88,59
PA2688,99,103,25,22
PA2679,174,488,16,17
PA2356,21,12,12,27
PA2678,39,73,11,14
PA2677,58,109,27,40
PA2676,36,31,126,545
PA2360,186,26,15,10
PA2361,431,98,87,64
PA2362,57,7,11,8
PA2363,282,59,91,38
PA2364,40,24,11,18
PA2365,170,23,3,13
PA2366,745,54,40,46
PA2367,150,19,29,17
PA2368,93,12,8,2
PA2369,279,49,85,26
PA2370,119,14,68,25
PA2371,448,211,514,359
PA2675,22,21,1565,1390
PA2373,502,326,285,210
PA2374,76,43,51,20
PA2375,161,91,85,58
PA2673,17,16,93,69
PA2377,46,30,53,40
PA2378,2687,1314,895,1434
PA2379,574,414,329,481
PA2380,133,42,22,19
PA2381,556,255,193,187
PA2382,383,161,185,104
PA2383,185,114,100,73
PA2672,11,12,12,6
PA2671,62,50,67,67
PA2669,47,71,37,26
PA2387,38,25,26,38
PA2388,265,150,128,136
PA2389,67,22,24,15
PA2668,27,28,53,53
PA2391,54,33,20,22
PA2666,112,96,67,51
PA2393,34,25,26,39
PA2664,8829,10190,38,29
PA2663,1017,1204,15,11
PA2662,6497,6540,35,51
PA2661,992,1213,177,143
PA2660,245,294,232,221
PA2639,2603,2950,251,253
PA2637,546,543,218,150
PA2635,161,130,352,295
PA2634,985,885,40,20
PA2633,393,561,7,19
PA2629,540,726,2,6
PA2628,184,153,21,16
PA2626,954,817,15,21
PA2625,73,64,22,8
PA2624,3313,4057,12,14
PA2621,782,845,44,29
PA2619,264,775,42,21
PA2412,6,2,14,5
PA2618,322,707,144,78
PA2607,129,104,754,347
PA2604,634,825,189,45
PA2602,43,65,435,184
PA2600,47,73,255,247
PA2418,45,31,36,15
PA2419,181,43,47,75
PA2598,59,68,49,39
PA2597,93,87,28,40
PA2422,16,4,19,20
PA2423,245,131,207,96
PA2596,40,37,263,166
PA2425,11,7,4,2
PA2595,50,65,34,19
PA2427,12,8,7,4
PA2428,25,15,31,11
PA2429,17,5,8,10
PA2430,157,66,50,51
PA2431,259,127,126,106
PA2594,107,168,378,332
PA2433,176,133,318,212
PA2434,118,47,127,102
PA2591,265,245,345,248
PA2436,82,47,76,38
PA2437,89,35,55,14
PA2438,95,41,54,22
PA2439,227,87,110,66
PA2440,151,62,29,57
PA2441,129,56,56,79
PA2442,265,158,152,128
PA2443,301,226,239,96
PA2589,52,84,132,151
PA2588,212,179,486,403
PA2586,832,833,83,32
PA2447,55,38,31,44
PA2448,125,87,72,64
PA2449,363,216,153,209
PA2584,160,168,112,114
PA2583,596,546,38,30
PA2580,66,57,62,31
PA2453,33,25,46,17
PA2454,114,83,81,97
PA2455,84,59,95,50
PA2577,117,295,92,51
PA2574,153,237,323,231
PA2572,813,954,378,485
PA2569,108,137,56,65
PA2568,217,217,60,87
PA2461,94,60,54,53
PA2462,2790,1112,986,998
PA2463,265,94,108,147
PA2464,137,56,52,64
PA2567,2110,1828,21,12
PA2563,117,103,112,81
PA2467,50,25,45,24
PA2561,456,560,32,33
PA2558,100,107,68,96
PA2549,94,207,50,27
PA2471,47,16,17,33
PA2472,37,19,35,23
PA2473,16,6,7,13
PA2474,35,23,28,16
PA2475,230,71,235,109
PA2476,149,101,1430,555
PA2545,257,261,809,407
PA2531,54,49,3833,1900
PA2479,100,72,741,350
PA2480,464,176,1064,602
PA2481,715,150,172,188
PA2482,757,251,182,250
PA2483,1238,989,863,1388
PA2484,322,243,194,284
PA2528,300,510,233,116
PA2527,493,582,94,56
PA2526,432,511,28,18
PA2525,237,273,51,37
PA2524,149,1258,172,85
PA2523,45,695,12,19
PA2491,867,465,527,631
PA2522,19,151,202,190
PA2521,19,260,41,34
PA2520,80,532,160,168
PA2518,27,22,25,33
PA2516,16,15,9,4
PA2497,76,43,38,54
PA2498,13,10,31,12
PA2499,15,8,23,13
PA2500,179,101,133,70
PA2515,13,15,44,11
PA2502,151,66,82,77
PA2503,290,86,152,119
PA2504,215,139,214,99
PA2510,85,72,2778,448
PA2509,16,27,1118,60
PA2508,1,4,351,88
PA2507,62,61,10,1
PA2506,8,106,50,38
PA2505,27,3103,55,81
PA2511,140,75,95,120
PA2512,36,25,35,25
PA2513,22,15,6,7
PA2514,49,21,19,21
PA2501,17,20,13,7
PA2496,8,14,13,6
PA2517,3,2,12,5
PA2495,44,45,22,20
PA2519,99,74,58,59
PA2494,125,143,1201,173
PA2493,47,38,733,97
PA2492,293,247,607,111
PA2490,15,13,1597,835
PA2489,72,162,2125,730
PA2488,61,53,1988,228
PA2487,8,18,3883,898
PA2486,23,35,5353,2167
PA2485,72,126,11329,5242
PA2529,456,308,534,397
PA2530,350,207,293,209
PA2478,139,149,65,66
PA2532,829,381,396,635
PA2533,608,170,113,172
PA2534,90,41,34,45
PA2535,113,68,98,67
PA2536,345,77,57,84
PA2537,203,39,34,61
PA2538,94,16,16,14
PA2539,327,23,21,53
PA2540,454,79,41,160
PA2541,290,66,47,59
PA2542,670,287,192,273
PA2543,433,216,176,196
PA2544,380,122,103,105
PA2477,67,73,332,274
PA2546,80,49,32,57
PA2547,95,73,77,50
PA2548,45,33,45,33
PA2470,53,48,211,119
PA2550,345,76,82,339
PA2551,328,225,246,445
PA2552,433,185,125,187
PA2553,421,140,156,202
PA2554,190,84,46,87
PA2555,314,233,347,212
PA2556,125,72,65,43
PA2557,123,87,80,75
PA2469,119,103,112,119
PA2559,274,186,138,211
PA2560,117,86,69,54
PA2468,25,22,727,580
PA2562,2109,1595,2704,2826
PA2466,82,81,119,103
PA2564,147,56,53,28
PA2565,72,11,27,8
PA2566,244,111,124,38
PA2465,12,20,1082,745
PA2460,54,49,174,122
PA2459,24,34,167,75
PA2570,18,10,22,6
PA2571,425,293,245,121
PA2458,320,262,942,378
PA2573,1069,542,566,368
PA2457,40,183,180,151
PA2575,5896,179,222,731
PA2576,136,62,58,81
PA2456,36,54,327,291
PA2578,108,53,33,42
PA2579,346,152,132,110
PA2452,26,28,70,33
PA2581,588,198,212,251
PA2582,987,753,931,970
PA2451,23,21,551,569
PA2450,65,101,127,79
PA2585,833,567,261,265
PA2446,40,41,896,713
PA2587,1584,751,750,1041
PA2445,340,392,229,131
PA2444,32,118,68,77
PA2590,104,67,85,84
PA2435,388,325,214,104
PA2592,504,274,242,208
PA2593,29,17,14,120
PA2432,228,353,188,638
PA2426,14,25,43,50
PA2424,240,196,41,45
PA2421,25,31,55,66
PA2420,36,47,58,95
PA2599,90,68,64,178
PA2417,152,156,34,194
PA2601,205,92,80,82
PA2416,147,193,35,61
PA2603,175,123,122,149
PA2415,67,78,1728,1196
PA2605,202,104,100,56
PA2606,142,88,45,27
PA2414,310,414,43,35
PA2608,188,114,60,44
PA2609,507,282,180,144
PA2610,4272,127,143,273
PA2611,1820,755,377,505
PA2612,1916,1069,620,952
PA2613,1691,884,502,513
PA2614,1121,702,436,561
PA2615,4434,2689,1732,2327
PA2616,1852,1121,1024,1886
PA2617,342,252,249,193
PA2413,82,95,705,439
PA2411,27,25,887,655
PA2620,9668,7428,11023,8110
PA2410,34,44,1206,1021
PA2622,1580,547,903,486
PA2623,19395,7165,7807,12511
PA2409,11,22,3167,9101
PA2408,3,9,61,108
PA2407,20,21,836,855
PA2627,424,276,199,222
PA2406,10,15,66,71
PA2405,0,5,1344,1202
PA2630,450,218,317,201
PA2631,392,257,303,210
PA2632,289,154,147,71
PA2404,7,20,455,309
PA2403,41,42,704,1236
PA2402,352,361,98,138
PA2636,33,8,26,14
PA2400,210,210,626,519
PA2638,1538,794,746,1196
PA2399,264,331,2732,2259
PA2640,846,444,323,338
PA2641,2333,1250,1011,1042
PA2642,5008,2353,1781,1846
PA2643,1216,571,412,380
PA2644,659,257,231,189
PA2645,415,192,140,123
PA2646,177,84,50,51
PA2647,2237,1013,633,648
PA2648,1289,612,365,363
PA2649,1140,548,346,354
PA2650,106,49,75,63
PA2651,607,402,554,486
PA2652,731,582,375,298
PA2653,129,92,95,105
PA2654,1520,1217,1446,1515
PA2655,74,51,58,56
PA2656,600,290,232,213
PA2657,509,269,240,207
PA2658,350,176,183,149
PA2659,483,337,462,320
PA2398,157,217,434,300
PA2397,151,144,1411,1028
PA2396,34,37,7172,4702
PA2395,9,15,1668,1137
PA2394,33,41,15165,13563
PA2665,218,126,190,258
PA2392,34,51,98,74
PA2667,888,551,622,953
PA2390,58,62,35,15
PA2386,43,36,101,44
PA2670,72,55,71,50
PA2385,45,62,56,39
PA2384,1,9,11,15
PA2376,58,67,14,7
PA2674,14,8,17,15
PA2372,229,1387,12,9
PA2359,42,114,26,25
PA2358,8,17,113,62
PA2357,7,18,89,70
PA2355,19,34,486,660
PA2680,43,34,26,27
PA2681,96,57,70,51
PA2682,191,84,81,122
PA2683,174,71,76,85
PA2684,517,121,85,153
PA2685,384,233,190,135
PA2686,101,33,44,33
PA2687,79,30,59,40
PA2354,21,26,111,77
PA2689,46,37,28,29
PA2691,262,94,100,135
PA2692,105,63,121,223
PA2693,47,32,35,60
PA2694,99,40,39,35
PA2695,412,171,140,185
PA2696,253,118,71,111
PA2697,31,23,34,21
PA2698,380,88,92,132
PA2699,227,52,92,69
PA2700,60,35,45,34
PA2701,137,49,70,74
PA2702,120,62,69,104
PA2703,47,11,16,20
PA2704,848,171,205,132
PA2705,427,283,393,390
PA2706,147,99,129,95
PA2352,44,36,596,732
PA2351,28,25,341,144
PA2709,985,495,705,912
PA2710,214,101,140,99
PA2350,25,26,216,172
PA2712,122,64,78,85
PA2713,153,80,52,75
PA2714,121,58,54,46
PA2715,21,11,7,18
PA2716,274,130,84,104
PA2717,392,155,242,174
PA2349,16,15,243,262
PA2719,123,61,58,55
PA2720,259,101,91,92
PA2721,164,75,67,35
PA2722,81,47,26,19
PA2347,9,13,72,43
PA2724,44,11,10,9
PA2725,730,202,159,181
PA2726,179,53,46,36
PA2727,781,141,122,129
PA2728,693,234,221,185
PA2729,299,104,110,94
PA2730,753,476,417,337
PA2346,22,26,231,136
PA2337,69,162,2268,1610
PA2336,28,23,1294,756
PA2335,32,53,1280,770
PA2334,18,28,4015,2741
PA2736,230,180,234,109
PA2737,560,366,360,458
PA2331,12,26,3075,2669
PA2739,3047,1363,943,1226
PA2740,1284,603,549,673
PA2741,12916,8286,10041,9684
PA2742,3531,2490,2974,3382
PA2743,9377,6703,7433,9165
PA2744,3142,2152,1777,2440
PA2329,32,31,170,165
PA2327,22,37,544,159
PA2326,30,32,1354,244
PA2748,451,252,154,269
PA2325,29,33,104,157
PA2321,77,89,93,171
PA2316,76,80,543,424
PA2752,48,24,35,36
PA2315,4,10,313,68
PA2314,24,24,898,577
PA2755,419,337,393,404
PA2756,545,432,230,294
PA2757,33,20,9,23
PA2758,93,74,77,62
PA2759,35,25,36,20
PA2760,7697,1646,608,2368
PA2761,129,57,60,56
PA2762,109,57,70,59
PA2313,83,406,20,3
PA2764,629,292,310,307
PA2765,886,405,272,466
PA2766,82,60,80,62
PA2767,67,29,46,49
PA2312,11,53,24,32
PA2769,152,77,92,46
PA2770,323,133,91,129
PA2771,495,288,286,107
PA2311,2,11,22,14
PA2773,39,30,43,35
PA2774,131,70,49,52
PA2775,93,25,31,27
PA2310,23,48,324,425
PA2309,30,39,614,368
PA2778,497,293,360,309
PA2779,478,211,355,382
PA2308,18,33,137,92
PA2781,172,67,35,67
PA2782,59,27,12,25
PA2306,40,34,68,51
PA2298,182,195,16,12
PA2785,3,2,4,1
PA2297,3,9,158,133
PA2787,378,262,141,134
PA2788,1529,845,340,244
PA2789,53,31,38,42
PA2296,52,65,184,107
PA2791,31,21,27,23
PA2792,60,23,30,38
PA2295,12,11,466,335
PA2294,17,31,545,505
PA2795,414,269,237,242
PA2796,1976,1305,1180,2191
PA2797,1098,615,517,413
PA2798,3324,1742,1187,1182
PA2286,703,798,186,183
PA2800,1292,656,522,618
PA2801,84,35,51,36
PA2802,236,155,94,127
PA2285,151,244,30,43
PA2804,31,18,34,13
PA2284,115,124,387,226
PA2283,160,349,2005,1121
PA2282,60,162,14683,10878
PA2279,37,40,6357,782
PA2276,50,63,1046,1517
PA2270,84,107,958,1041
PA2264,145,166,282,344
PA2812,552,339,309,298
PA2263,40,64,158,169
PA2814,63,34,80,87
PA2815,3412,2071,4154,2745
PA2816,175,48,168,180
PA2262,106,132,249,209
PA2818,329,209,208,217
PA2261,66,113,40,22
PA2260,76,98,511,665
PA2821,458,243,178,170
PA2822,312,99,77,82
PA2823,421,222,146,265
PA2259,425,614,519,403
PA2825,224,68,92,149
PA2826,115,65,62,180
PA2827,270,169,271,207
PA2828,453,303,242,313
PA2829,50,36,15,19
PA2257,9,16,870,503
PA2831,565,262,136,298
PA2832,309,138,75,100
PA2833,54,21,27,27
PA2834,220,104,90,68
PA2256,15,54,57,29
PA2836,60,15,11,26
PA2837,58,29,28,19
PA2254,15,28,33,16
PA2839,3158,48,68,56
PA2252,85,81,884,976
PA2841,199,80,78,92
PA2842,259,120,65,112
PA2843,392,251,147,181
PA2844,223,103,66,106
PA2845,18,9,3,17
PA2846,124,72,49,164
PA2847,62,49,56,69
PA2848,48,26,48,57
PA2244,82,93,83,188
PA2850,97,45,51,440
PA2851,2237,1362,1464,1752
PA2852,324,232,197,274
PA2853,32958,14111,14279,10161
PA2230,125,121,1626,1745
PA2855,60,44,25,31
PA2228,138,137,233,273
PA2225,52,43,84,67
PA2224,121,119,256,208
PA2221,58,105,63,90
PA2860,113,75,51,91
PA2219,43,55,27,26
PA2862,3969,282,209,211
PA2863,481,32,23,21
PA2864,4028,158,167,104
PA2865,648,495,806,822
PA2866,124,91,155,183
PA2867,1650,1316,1059,463
PA2218,60,69,43,43
PA2216,28,30,53,53
PA2870,251,156,142,159
PA2871,371,181,137,256
PA2872,187,117,75,70
PA2873,321,235,204,156
PA2874,145,84,57,48
PA2875,206,134,126,119
PA2876,183,91,73,122
PA2877,176,109,93,187
PA2215,42,55,21,38
PA2879,129,86,35,58
PA2880,51,27,25,63
PA2214,20,20,34,37
PA2882,45,35,21,22
PA2213,13,18,347,155
PA2884,292,188,211,235
PA2885,229,110,111,131
PA2886,477,82,73,108
PA2887,222,38,48,52
PA2888,530,57,60,75
PA2889,517,59,69,73
PA2890,162,38,15,30
PA2891,353,43,45,37
PA2892,168,16,28,15
PA2893,263,152,146,157
PA2894,221,127,147,89
PA2895,342,126,291,242
PA2896,257,195,386,285
PA2897,2616,1922,1573,1964
PA2898,15,10,15,24
PA2899,133,64,82,93
PA2900,463,276,242,318
PA2901,251,164,182,282
PA2902,449,246,185,230
PA2903,673,357,184,283
PA2904,257,193,63,104
PA2905,157,94,39,77
PA2906,569,274,228,362
PA2907,424,160,110,156
PA2908,257,139,45,79
PA2909,108,59,27,40
PA2211,27,29,11,29
PA2911,1607,671,296,665
PA2912,327,72,38,73
PA2913,416,142,58,131
PA2914,380,145,94,85
PA2915,303,233,140,170
PA2916,14,6,17,13
PA2210,56,47,168,101
PA2209,17,14,142,115
PA2919,50,30,26,21
PA2920,1053,695,702,347
PA2921,96,57,45,45
PA2206,141,115,19,22
PA2204,348,614,8,13
PA2924,18,10,21,15
PA2203,7,27,30,22
PA2202,20,17,12,19
PA2191,44,89,71,81
PA2928,155,76,83,51
PA2929,182,84,68,57
PA2930,137,68,103,316
PA2931,122,68,91,862
PA2932,54,34,62,251
PA2190,101,467,59,53
PA2189,24,46,205,44
PA2187,16,28,103,17
PA2936,92,33,23,20
PA2937,150,87,108,44
PA2938,387,168,190,162
PA2939,6091,336,338,312
PA2940,158,124,98,97
PA2941,269,88,102,133
PA2942,548,312,251,499
PA2943,336,218,302,485
PA2944,3707,1272,688,1070
PA2945,2180,766,470,1294
PA2946,4725,2001,1101,2666
PA2186,1,3,558,353
PA2948,423,302,126,118
PA2949,272,175,130,123
PA2950,2256,1048,793,1321
PA2951,8966,3341,2633,4306
PA2952,6322,3284,3018,5105
PA2953,3074,1163,934,1369
PA2954,387,232,237,258
PA2955,502,335,366,379
PA2956,308,100,141,126
PA2957,563,287,339,259
PA2958,476,332,234,220
PA2959,431,230,131,92
PA2960,289,155,114,59
PA2961,751,412,228,273
PA2962,476,238,152,209
PA2963,513,395,258,298
PA2964,684,274,100,175
PA2965,2392,1034,481,812
PA2185,61,86,4353,3071
PA2967,1953,1261,1071,861
PA2968,1063,408,314,378
PA2184,55,53,458,236
PA2970,1134,628,675,775
PA2971,2256,1651,2051,2909
PA2183,20,18,128,133
PA2973,884,621,514,451
PA2974,600,290,331,199
PA2975,1257,727,769,488
PA2182,13,21,7624,9277
PA2977,813,339,199,285
PA2978,535,293,174,198
PA2979,958,438,270,407
PA2980,144,72,56,120
PA2981,788,351,147,244
PA2982,499,229,108,197
PA2983,470,278,140,187
PA2984,283,144,117,131
PA2181,46,76,237,133
PA2986,267,172,193,222
PA2987,481,265,182,261
PA2988,724,541,611,438
PA2989,294,187,220,119
PA2990,563,332,237,333
PA2180,102,132,1631,2546
PA2992,88,51,34,59
PA2993,531,215,123,244
PA2994,1172,480,318,404
PA2995,482,214,118,204
PA2996,698,232,172,222
PA2997,619,244,167,273
PA2998,1200,499,360,623
PA2999,1612,832,601,1164
PA3000,559,375,292,282
PA3001,4138,2908,2828,4908
PA3002,2599,2040,1447,1564
PA3003,501,343,309,385
PA3004,648,376,370,560
PA3005,1048,591,628,779
PA3006,901,675,559,941
PA3007,7155,4566,9030,10187
PA3008,3677,1937,3310,3662
PA3009,780,459,433,286
PA3010,535,280,399,483
PA3011,4420,2307,1506,1528
PA3012,241,156,137,99
PA3013,3126,1011,797,1281
PA3014,4333,1403,1276,1882
PA2179,71,66,157,205
PA3016,97,47,32,55
PA3017,411,185,258,250
PA3018,231,125,142,148
PA3019,944,709,557,727
PA3020,868,652,499,486
PA3021,295,131,168,162
PA3022,750,316,151,241
PA3023,437,299,349,318
PA3024,258,101,85,76
PA3025,264,100,86,85
PA3026,213,96,98,83
PA3027,322,193,98,225
PA3028,1532,727,371,673
PA3029,674,352,205,416
PA3030,113,60,41,58
PA2178,34,43,3910,2511
PA3032,237,112,126,119
PA3033,109,59,52,53
PA3034,358,285,249,341
PA2177,301,345,64,44
PA2176,75,121,30,43
PA2175,32,78,51,36
PA3038,2170,906,481,1321
PA3039,79,58,88,62
PA2173,49,86,3125,2213
PA3041,1368,508,1004,716
PA3042,653,225,338,285
PA3043,784,460,378,361
PA3044,172,102,110,132
PA2172,316,302,40,56
PA3046,280,106,72,130
PA2171,223,289,440,721
PA2168,64,76,521,570
PA3049,24922,5993,5736,3685
PA3050,861,604,558,734
PA2167,204,195,22,28
PA3052,670,454,213,221
PA2166,136,163,145,128
PA3054,732,220,137,135
PA3055,123,75,70,91
PA3056,54,42,46,46
PA2165,300,359,9,4
PA2164,248,298,87,77
PA3059,120,63,38,47
PA3060,59,33,32,21
PA3061,70,41,33,22
PA3062,25,8,11,6
PA3063,157,85,59,65
PA3064,195,66,68,75
PA2163,194,295,45,28
PA3066,144,67,66,70
PA3067,105,43,32,80
PA3068,3892,2038,2623,1740
PA3069,297,181,122,128
