Gene,PA14_control1,PA14_control2,PA14_control3,PA14_FBI1,PA14_FBI2,PA14_FBI3
CIA_RS13290,305,221,221,750,406,683
CIA_RS13295,109,99,75,130,106,149
CIA_RS13300,826,695,578,1147,961,1256
CIA_RS13305,112,155,87,219,124,157
CIA_RS13310,128,157,82,242,140,190
CIA_RS13315,92,89,74,249,178,202
CIA_RS13320,117,105,98,189,116,131
CIA_RS13325,281,294,172,421,377,428
CIA_RS13330,5088,4273,4955,16186,10594,16758
CIA_RS07470,4272,2557,2346,8169,8917,11384
CIA_RS13335,7111,6397,7180,27575,19666,26820
CIA_RS13340,2568,2208,1705,6308,5086,6677
CIA_RS13345,2098,1979,2044,9289,7755,9585
CIA_RS13350,1670,1575,1754,7973,5626,8404
CIA_RS13355,306,232,306,1057,625,1123
CIA_RS13360,429,491,419,1773,1090,1993
CIA_RS13365,356,251,284,1032,1051,1381
CIA_RS13370,590,526,582,2450,2018,3049
CIA_RS13375,142,97,74,255,196,281
CIA_RS13380,64,37,31,142,117,167
CIA_RS07475,1187,956,976,3508,4144,5297
CIA_RS13385,152,141,87,356,370,449
CIA_RS13390,298,317,240,893,728,904
CIA_RS13395,470,269,294,913,369,665
CIA_RS13400,2757,3112,2323,3846,2977,3516
CIA_RS13405,6538,6615,6602,14207,10031,12983
CIA_RS13410,57331,49758,41320,68956,30678,50894
CIA_RS13415,1959,2110,1656,4015,2186,2910
CIA_RS13420,538,381,311,699,456,642
CIA_RS13425,105,145,91,338,202,256
CIA_RS13430,254,239,162,378,298,277
CIA_RS07480,3188,1900,1819,9076,6475,9786
CIA_RS13435,973,652,486,1011,701,894
CIA_RS13440,96,91,112,227,131,174
CIA_RS13445,351,263,171,321,209,278
CIA_RS13450,556,367,402,720,791,771
CIA_RS13455,1304,1217,1246,3328,1502,2743
CIA_RS13460,7291,5555,6783,14203,11385,13943
CIA_RS13465,1996,1500,2135,5298,3656,5552
CIA_RS13470,5522,4617,4349,8731,7368,8623
fliN,1839,1436,1032,1702,976,1469
CIA_RS13480,284,282,178,288,292,251
CIA_RS07485,2500,2633,1075,2079,728,1250
CIA_RS13485,805,662,499,1277,654,919
CIA_RS13490,138,144,128,294,198,273
CIA_RS13495,350,183,149,437,210,313
CIA_RS13500,373,251,173,475,248,351
CIA_RS13505,268,237,148,317,169,254
CIA_RS13510,183,204,130,263,162,208
CIA_RS13515,2642,1960,3162,8640,5461,7521
flhF,16216,13367,12403,24848,17852,20748
CIA_RS13525,1814,1733,2279,4406,4804,4574
fliA,2454,2515,2123,5824,5118,5275
CIA_RS07490,2002,1690,1424,4085,2292,3898
CIA_RS13535,2203,1561,1626,3796,1875,2674
CIA_RS13540,1921,1936,1635,3894,2679,3033
CIA_RS13545,6607,6815,4974,10362,8439,11183
CIA_RS13550,1773,1319,812,1334,873,1234
motC,658,673,532,777,528,735
CIA_RS13560,1260,990,820,2504,2359,2862
CIA_RS13565,933,777,750,2121,1651,2180
CIA_RS13570,11456,8058,6638,13938,14052,14880
CIA_RS13575,3042,3648,3542,7858,6349,7826
CIA_RS13580,1408,1306,781,1116,835,876
rplU,1448,1032,1082,2723,1335,1986
CIA_RS13585,547,601,381,820,539,755
CIA_RS13590,308,285,163,332,211,292
CIA_RS13595,105,176,74,189,130,134
CIA_RS13600,287,229,107,179,136,183
CIA_RS13605,353,509,349,687,334,660
CIA_RS13610,245,335,215,481,330,487
CIA_RS13615,514,511,444,767,550,668
CIA_RS13620,2828,2249,2087,4410,3790,4721
CIA_RS13625,270,192,123,241,188,228
CIA_RS13630,326,277,285,838,582,879
rpmA,216,183,129,278,256,325
CIA_RS13635,267,167,183,481,148,302
CIA_RS13640,98,129,92,212,80,174
CIA_RS13645,268,299,224,461,165,305
CIA_RS13650,704,775,683,1261,640,1016
CIA_RS13655,212,248,195,402,181,279
CIA_RS13660,79,68,64,113,96,88
CIA_RS13665,307,230,156,296,136,205
CIA_RS13670,210,99,62,107,105,108
CIA_RS13675,92,101,42,145,92,115
CIA_RS13680,148,138,84,279,179,248
CIA_RS06885,353,381,315,1674,2134,2296
obgE,1574,1192,981,2645,2108,2650
CIA_RS13685,177,110,67,96,118,112
CIA_RS13690,243,159,110,206,136,175
CIA_RS13695,140,141,81,190,145,186
CIA_RS13700,128,102,80,141,131,164
CIA_RS13705,76,104,51,128,82,73
CIA_RS13710,122,183,142,414,240,305
CIA_RS13715,307,258,174,352,225,324
CIA_RS13720,885,734,701,1498,591,1062
CIA_RS13725,663,597,456,1481,1107,1685
CIA_RS13730,82,50,53,153,64,84
CIA_RS07510,1907,1326,1063,2298,1320,1861
CIA_RS13735,63,62,82,216,118,158
CIA_RS13740,48,49,26,55,25,52
CIA_RS13745,108,57,39,146,86,103
CIA_RS13750,69,90,40,132,76,128
CIA_RS13755,149,86,92,289,157,201
CIA_RS13760,3184,1826,1427,2758,849,1748
CIA_RS13765,787,837,495,985,702,860
CIA_RS13770,297,241,124,171,85,138
CIA_RS13775,147,189,148,297,141,194
CIA_RS13780,610,563,499,1153,775,977
CIA_RS07515,1433,1158,814,1527,574,1198
CIA_RS13785,156,112,68,142,87,139
CIA_RS13790,842,698,463,1020,625,953
CIA_RS13795,95,146,90,172,95,195
CIA_RS13800,1908,2118,1506,4868,1446,2833
CIA_RS13805,1407,1552,1223,3791,1668,2612
CIA_RS13810,472,339,351,783,564,738
CIA_RS13815,208,210,145,432,285,436
CIA_RS13820,1044,955,603,1445,842,1126
CIA_RS13825,1150,965,517,1681,801,1175
CIA_RS13830,1943,1674,920,2231,1493,1850
CIA_RS07520,303,248,247,476,369,412
CIA_RS13835,349,511,314,719,418,599
CIA_RS13840,1968,1848,1335,2889,1670,2413
CIA_RS13845,742,878,454,1424,975,1567
CIA_RS13850,830,550,345,1339,737,1101
CIA_RS13855,390,379,240,761,852,906
CIA_RS13860,714,495,460,1109,798,1118
CIA_RS13865,359,357,290,599,446,566
CIA_RS13870,1407,982,1087,2716,2101,2477
CIA_RS13875,532,461,455,1175,1180,1289
CIA_RS13880,913,1010,844,2753,1609,2632
CIA_RS07525,632,698,477,1196,688,1040
CIA_RS13885,312,322,321,899,832,1025
CIA_RS13890,4016,3259,2536,7370,3503,6215
zipA,11220,7772,6291,14650,8177,12680
CIA_RS13900,1985,1436,1664,4975,4256,5799
CIA_RS13905,1407,1158,748,1410,1286,1644
CIA_RS13910,1485,1226,1335,5483,4708,5808
CIA_RS13915,3459,3052,2357,8618,7585,9642
CIA_RS13920,1069,1244,934,3378,4280,4117
recR,263,208,229,706,708,869
CIA_RS13930,795,534,641,2645,1892,2933
CIA_RS07530,562,401,391,942,482,730
CIA_RS13935,1015,815,586,1775,1345,2146
CIA_RS13940,458,407,339,986,936,1185
CIA_RS13945,1289,1252,1084,3596,2528,3824
CIA_RS13950,780,494,411,1035,789,1013
CIA_RS0106180,265,147,189,447,178,564
CIA_RS13955,568,541,445,1340,967,1582
CIA_RS13960,311,386,383,1312,890,1355
CIA_RS13965,246,233,201,391,327,374
CIA_RS13970,1288,1364,1192,3273,1525,2693
CIA_RS13975,24495,21834,21223,66358,40082,54070
CIA_RS07535,2474,2234,1855,4263,2328,3675
CIA_RS13980,6699,5997,5737,12379,9543,13761
CIA_RS13985,484,676,473,818,703,877
CIA_RS13990,279,293,300,613,594,759
CIA_RS13995,1689,1428,832,1967,1235,1738
CIA_RS14000,437,489,303,757,490,569
CIA_RS14005,4504,4012,2846,5349,2643,4480
CIA_RS14010,1091,1045,935,1598,773,1405
CIA_RS14015,226,210,252,437,230,382
CIA_RS14020,478,365,493,1011,509,836
CIA_RS14025,1696,1377,1357,3334,1717,2395
CIA_RS07540,505,572,437,824,574,714
CIA_RS14030,591,654,467,1025,664,814
CIA_RS14035,154,143,137,230,176,219
CIA_RS14040,180,186,198,374,241,357
CIA_RS14045,881,778,575,1236,919,1229
CIA_RS14050,242,208,108,207,126,153
CIA_RS14055,766,940,697,2173,1556,2432
CIA_RS14060,7076,6051,6360,9407,5916,8360
CIA_RS14065,9053,8968,10005,24855,22676,26763
CIA_RS14070,297,196,137,320,196,246
CIA_RS14075,91,110,67,215,127,183
CIA_RS07545,167,195,176,296,205,281
CIA_RS14080,205,142,104,363,228,318
CIA_RS14085,157,113,102,289,179,220
CIA_RS14090,404,410,338,657,690,784
CIA_RS14095,184,190,131,220,171,188
CIA_RS14100,361,468,266,531,399,455
CIA_RS14105,242,165,133,250,214,240
CIA_RS14110,297,340,389,908,1172,1203
CIA_RS14115,4107,3573,2621,4883,3530,4667
CIA_RS14120,1011,985,570,1020,616,874
CIA_RS14125,131,111,92,212,164,187
ispH,1045,1079,689,1585,973,1325
CIA_RS14130,519,563,474,1640,1589,2009
CIA_RS14135,648,424,298,629,203,403
CIA_RS14140,1234,1184,820,1663,791,1261
CIA_RS14145,382,303,237,412,280,236
CIA_RS14150,167,186,89,181,114,143
CIA_RS14155,667,658,644,1859,1768,2274
gltA,3136,3121,2580,4809,3340,3903
CIA_RS14165,979,1174,1011,2066,991,1422
CIA_RS14170,1171,1244,818,1744,780,1248
sdhA,3092,2412,2103,4051,1819,2746
CIA_RS06890,318,175,163,566,427,540
CIA_RS07555,411,772,703,1947,1587,1741
sdhB,2879,2852,1795,3268,1704,2510
CIA_RS14185,16522,15084,11044,20577,13339,17212
CIA_RS14190,5296,5254,4098,7925,5737,6903
CIA_RS14195,4370,4666,4302,8311,5590,7619
sucC,4894,3940,4093,6988,4126,5720
CIA_RS14205,1659,1434,1347,2073,1276,1666
CIA_RS14210,548,487,413,1018,935,1142
CIA_RS14215,226,247,178,660,847,805
CIA_RS14220,10866,16868,10010,31186,58322,44538
CIA_RS14225,81,32,41,113,86,85
CIA_RS07560,913,1382,873,2501,1192,1775
CIA_RS14230,38,23,29,120,66,85
CIA_RS14235,282,160,105,213,144,198
CIA_RS14240,3285,2577,2833,4733,2478,3606
CIA_RS14245,905,588,480,805,565,677
CIA_RS14250,369,345,289,430,267,355
CIA_RS14255,149,149,99,142,96,152
CIA_RS14260,190,119,61,131,101,110
CIA_RS14265,270,222,182,397,206,343
CIA_RS14270,87,67,101,216,120,214
CIA_RS14275,67,63,41,148,113,111
CIA_RS07565,18143,24193,19728,42333,20057,30583
CIA_RS14280,790,476,408,938,512,785
CIA_RS14285,448,355,309,685,480,643
CIA_RS14290,179,157,134,451,273,406
CIA_RS14295,165,107,95,222,121,146
CIA_RS14300,427,351,394,1474,1306,1532
