X,PA2504_p1_htseq,PA2504_p2_htseq,PA2504_p3_htseq,PAO1161_p1_htseq,PAO1161_p2_htseq,PAO1161_p3_htseq
PA1579,3694,4101,3911,3738,3920,4224
PA1591,166,163,146,144,155,128
PA1592,47802,47560,49048,50201,43866,49613
PA1593,283,305,269,305,320,251
PA1594,258,238,212,204,233,209
PA1595,338,414,423,268,364,355
PA1597,692,604,618,558,666,711
PA1598,136,185,169,124,136,164
PA1599,316,354,388,279,329,340
PA1600,94,94,99,77,97,87
PA1601,365,294,324,222,243,319
PA1602,260,222,288,168,226,299
PA1603,735,633,659,532,592,612
PA1604,1253,1131,1181,1025,1132,1347
PA1605,485,469,447,383,430,457
PA1606,177,178,166,140,174,152
PA1607,667,929,969,622,798,867
PA1608,1159,989,992,972,940,1221
PA1611,1404,1479,1479,1016,1402,1441
PA1612,143,142,135,109,94,139
PA1613,1412,1283,1264,1171,1227,1195
PA1615,1202,947,1021,1231,923,1137
PA1616,839,892,909,686,767,1096
PA1617,14353,15768,16046,12607,14926,15303
PA1618,1454,1487,1567,1435,1507,1601
PA1619,742,629,731,550,618,775
PA1620,42,31,47,20,28,49
PA1621,1683,1432,1664,1320,1414,1723
PA1622,767,847,927,540,796,929
PA1623,4789,4577,4545,4925,4472,4936
PA1624,1222,1464,1430,1008,1370,1574
PA1625,265,350,334,208,333,371
PA1626,353,375,428,325,384,402
PA1627,481,484,468,437,429,446
PA1628,881,803,824,725,758,821
PA1629,1167,1073,1160,1011,1083,1155
PA1630,506,629,651,391,580,677
PA1631,372,364,388,351,331,371
PA1638,185,182,159,181,165,195
PA1639,103,122,96,91,121,111
PA1640,1137,1024,1084,1094,1042,1035
PA1641,880,815,747,737,786,869
PA1643,911,894,989,847,996,967
PA1643a,1184,1029,1178,805,949,1082
PA1644,1155,1132,1195,983,1069,1229
PA1645,542,555,608,380,554,664
PA1646,600,649,703,429,611,672
PA1647,315,239,255,216,252,285
PA1648,557,485,529,532,471,571
PA1649,184,192,199,202,182,197
PA1650,1834,1907,2048,1381,1901,1820
PA1651,688,587,620,519,644,591
PA1652,280,284,356,203,341,302
PA1653,344,336,341,240,315,341
PA1654,1434,1439,1307,1237,1236,1374
PA1655,1227,1077,1049,1095,940,1047
PA1656,4450,3486,4195,3585,3577,4869
PA1657,140,105,117,104,124,144
PA1658,324,320,331,262,282,364
PA1659,59,51,44,33,47,51
PA1660,157,147,146,132,141,174
PA1661,25,16,23,19,17,32
PA1662,214,232,249,183,206,253
PA1663,129,112,119,78,92,111
PA1664,6,3,5,0,4,3
PA1665,55,56,65,52,62,61
PA1666,11,11,12,9,19,13
PA1667,299,234,260,243,238,351
PA1668,138,127,138,84,107,171
PA1669,366,373,372,293,328,383
PA1672,1428,1591,1750,1187,1652,1768
PA1673,379,424,441,383,496,783
PA1675,477,482,460,521,463,531
PA1676,234,257,253,171,267,272
PA1677,2138,1828,1883,1975,1795,2026
PA1678,1595,1509,1582,1318,1520,1564
PA1679,600,522,563,479,526,695
PA1680,220,203,228,175,205,268
PA1682,301,264,276,250,284,270
PA1683,689,722,691,689,646,766
PA1684,1312,1229,1295,1267,1129,1339
PA1688,420,357,397,314,417,396
PA1689,934,921,957,791,940,951
PA1692,77,68,59,53,61,49
PA1697,36,40,44,37,45,58
PA1699,11,12,19,13,7,14
PA1700,12,10,5,13,11,14
PA1701,4,5,9,7,7,9
PA1702,2,4,7,4,5,5
PA1711,34,34,51,31,46,35
PA1728,4894,4671,5166,3419,4126,5416
PA1729,4452,4727,5434,3428,4631,5411
PA1730,2647,2110,2296,1699,1866,2322
PA1731,163,174,177,163,183,199
PA1732,395,378,395,385,402,447
PA1733,1242,1089,1114,948,1009,1217
PA1734,553,508,525,458,482,500
PA1735,336,320,373,269,305,368
PA1736,2174,1941,2002,1751,1800,2362
PA1737,2820,2824,2915,2350,2583,3366
PA1738,2695,2420,2479,2182,2167,2410
PA1739,249,234,249,177,190,280
PA1740,179,196,207,137,185,222
PA1741,1316,1058,1289,1023,1076,1407
PA1742,11041,8871,9707,8705,8468,11277
PA1743,63,32,43,31,36,40
PA1744,71,53,50,55,72,55
PA1745,685,731,716,722,658,677
PA1746,311,339,369,235,273,367
PA1747,652,601,567,683,591,613
PA1748,2106,1953,2035,1784,1728,1969
PA1749,2311,2626,2970,1659,2590,3088
PA1750,5404,5784,5060,5154,5507,5032
PA1751,640,731,752,498,694,701
PA1752,1534,1944,2042,1459,2007,1970
PA1753,2857,2864,3143,2356,2866,3202
PA1755,596,694,661,685,686,713
PA1759,9339,8833,9402,7060,8000,9836
PA1760,4916,4639,4937,3561,4217,5136
PA1761,6333,5840,6033,6033,5104,5876
PA1762,1115,998,993,957,992,1179
PA1763,583,540,546,572,533,568
PA1764,442,385,352,353,345,407
PA1765,1083,1092,1128,883,985,1120
PA1766,1846,1907,1804,1911,1841,2066
PA1767,2820,2642,2618,2584,2509,2903
PA1768,1745,1513,1291,1487,1402,1569
PA1769,8930,8239,7876,8460,7918,8401
PA1772,11536,11096,11205,10078,9869,12023
PA1779,1798,1423,1549,1221,1369,1644
PA1781.1,0,1,2,1,0,1
PA1782,111,106,111,108,99,104
PA1784,1834,1727,1779,1697,1695,1984
PA1785,43,39,47,32,44,49
PA1786,131,93,100,93,99,103
PA1788,792,831,882,749,966,906
PA1789,4482,4022,4146,3425,3894,4691
PA1790,341,326,369,257,351,379
PA1791,202,183,167,177,194,191
PA1792,1087,1054,1095,969,1000,1133
PA1796.1,2782,3757,3385,3710,3279,2871
PA1796.2,215,255,257,107,216,212
PA1796.3,73,72,86,32,70,69
PA1796.4,21,11,18,15,21,13
PA1797,165,135,158,163,145,191
PA1797a,220,271,237,210,246,252
PA1804.1,247,231,230,184,260,268
