X,PA2504_p1_htseq,PA2504_p2_htseq,PA2504_p3_htseq,PAO1161_p1_htseq,PAO1161_p2_htseq,PAO1161_p3_htseq
PA3967,84,70,83,57,70,89
PA3968,622,774,836,569,796,815
PA3969,3170,2888,2840,2895,2815,3066
PA3969a,206,212,220,160,184,210
PA3971,189,178,201,168,161,164
PA3972,3769,3419,3268,3153,3274,3762
PA3973,912,835,897,639,820,884
PA3978,2045,1837,1999,1219,1712,2141
PA3979,813,709,846,580,679,906
PA3980,3219,3116,3004,2999,3333,2982
PA3981,5921,5758,5690,5848,5205,5994
PA3982,632,720,607,599,682,742
PA3983,1947,1732,1917,1828,1592,2119
PA3985,364,492,493,354,433,390
PA3986,992,910,985,654,855,1136
PA3988,3616,3675,3532,3574,3862,3569
PA3990,110,96,101,99,80,100
PA3992,2984,3199,3184,2787,2941,3134
PA3993,3,4,2,5,1,1
PA3994,154,127,153,103,124,148
PA3995,2131,1920,2142,1484,1832,2061
PA3998,1461,1286,1081,1337,1453,1391
PA4000,3440,3576,3563,3391,3532,3450
PA4004,398,344,324,352,337,362
PA4005,1093,1098,1108,1467,1142,1156
PA4008,828,676,799,536,663,797
PA4009,652,638,665,487,542,664
PA4010,3441,4042,3946,3064,3989,3944
PA4011,3558,3144,3240,3158,3078,3427
PA4012,974,1221,1213,803,1120,1109
PA4013,526,559,582,417,565,574
PA4014,254,288,307,206,247,274
PA4015,1575,1489,1606,1231,1419,1704
PA4016,534,609,614,459,569,592
PA4017,1717,1692,1690,1597,1735,1612
PA4018,159,167,201,119,201,179
PA4019,1016,972,1035,948,932,1038
PA4021,5729,5878,5870,5106,5602,6142
PA4022,9541,8444,7902,7677,7774,9436
PA4023,1444,1215,1060,1344,1284,1190
PA4025,634,578,571,602,615,639
PA4026,4053,3764,3715,3749,3449,4106
PA4027,2199,1774,2003,1730,1769,2162
PA4027a,314,343,368,218,351,338
PA4029,491,387,433,387,401,387
PA4030,317,250,244,309,281,310
PA4032,1628,1622,1612,1363,1453,1701
PA4033,94,74,86,70,79,97
PA4035,1158,1259,1312,1069,1143,1155
PA4036,425,386,415,328,358,438
PA4037,191,150,189,131,160,183
PA4038,19,19,19,19,13,22
PA4039,67,74,76,77,79,95
PA4040,924,838,904,711,827,1011
PA4041,489,515,606,343,447,544
PA4045,168,191,215,156,191,207
PA4046,109,121,127,118,110,131
PA4048,273,289,267,174,269,335
PA4049,337,308,331,225,338,349
PA4060,130,116,125,74,77,112
PA4061,4309,3774,3860,3340,3455,3844
PA4062,43,114,115,63,81,74
PA4063,426,375,325,374,301,439
PA4064,276,245,244,226,219,267
PA4065,383,350,399,359,363,416
PA4066,327,319,289,296,270,330
PA4068,1444,1402,1451,1231,1358,1499
PA4069,2355,2181,2298,1954,2093,2534
PA4070,6640,6354,6814,4808,5171,6755
PA4071,15,19,24,11,17,23
PA4072,185,164,163,122,154,171
PA4073,368,393,423,306,363,397
PA4074,643,665,689,517,586,669
PA4075,1176,1366,1477,993,1313,1484
PA4076,685,618,643,507,543,641
PA4077,56,63,72,52,76,84
PA4078,2259,1650,1888,2139,1878,1841
PA4079,794,948,960,757,948,1057
PA4080,280,282,310,189,249,315
PA4087,320,198,241,219,175,254
PA4088,98,58,53,45,47,60
PA4089,13,9,11,13,16,12
PA4090,3663,3024,3261,3081,2688,3466
PA4093,868,1000,1076,775,788,987
PA4094,5274,4482,4454,4385,4007,4454
PA4095,33,32,27,16,25,24
PA4096,77,51,63,48,46,69
PA4097,14,6,11,7,15,13
PA4098,20,19,18,20,26,25
PA4099,32,45,34,28,38,27
PA4100,105,95,111,87,93,119
PA4103,80,45,52,52,43,51
PA4104,116,98,95,54,85,108
PA4105,50,56,50,43,48,59
PA4106,36,58,46,40,51,46
PA4107,97,77,71,81,82,87
PA4108,1097,1053,1068,864,1058,1169
PA4108a,606,615,638,532,606,707
PA4111,805,862,987,671,817,893
PA4112,1758,1617,1816,1300,1566,1679
PA4113,193,210,222,146,236,227
PA4114,4156,4122,4345,3144,3477,4022
PA4115,3325,2935,3022,3003,3013,3409
PA4118,555,493,518,468,510,566
PA4120,644,569,589,489,545,707
PA4121,670,627,544,538,446,653
PA4122,1116,1000,854,826,664,974
PA4126,809,738,619,583,520,666
PA4128,513,567,528,524,383,560
PA4129,2959,2555,2905,2217,2432,3297
PA4130,17373,13764,15614,14308,14801,19104
PA4131,5038,3698,4177,3551,3498,4626
PA4132,4304,3437,4263,3188,3255,4516
PA4133,38281,25359,31331,29745,23738,40367
PA4134,1550,1421,1520,1561,1451,2013
PA4135,333,358,309,280,344,324
PA4136,581,591,677,392,489,560
PA4137,1792,1650,1431,1262,1132,1494
PA4139,208,172,164,154,152,170
PA4140,82,79,73,67,84,62
PA4141,548,618,629,681,700,639
PA4142,266,185,247,235,229,276
PA4143,249,217,228,234,246,247
PA4144,173,110,144,128,124,163
PA4145,1174,943,1115,822,877,1022
PA4145a,277,202,259,146,159,262
PA4148,34,27,28,34,19,32
PA4149,21,14,14,18,18,13
PA4150,244,176,192,172,206,204
PA4152,215,220,235,202,205,204
PA4153,287,240,250,263,223,289
PA4154,266,246,267,216,238,273
PA4155,920,772,787,813,795,916
PA4156,15765,10563,11787,10107,10084,15122
PA4157,1200,1172,1274,968,1070,1134
PA4162,698,670,724,484,561,740
PA4163,3228,3031,3039,2707,2839,3197
PA4164,309,315,291,282,298,358
PA4165,1294,1071,1264,847,957,1280
PA4166,182,153,152,105,165,175
PA4167,1360,1129,1222,978,1050,1401
PA4169,154,185,176,149,171,197
PA4170,711,880,825,551,653,779
PA4171,115,149,99,122,151,132
PA4172,44,58,53,55,41,48
PA4173,40,40,47,35,27,36
PA4174,377,376,445,343,362,439
PA4177,38,30,27,18,22,31
PA4178,61,65,56,52,56,62
PA4179,121,115,111,89,104,101
PA4180,1636,1332,1400,1227,1218,1582
PA4181,121,124,122,84,119,129
PA4182,450,409,450,393,412,459
PA4183,495,349,381,319,333,465
PA4184,2837,2310,2596,1530,1975,2996
PA4185,8429,5817,7024,4838,5029,8678
PA4186,4836,2849,3274,1938,2012,4182
PA4187,661,463,572,356,396,603
PA4188,154,162,152,134,132,165
PA4189,194,158,164,176,154,172
PA4191,59,60,66,72,83,210
PA4192,33,33,46,60,54,108
PA4193,78,45,70,58,64,102
PA4194,159,125,161,102,167,187
PA4195,206,196,209,418,465,977
PA4198,4761,3967,4187,3509,3550,4337
PA4199,5329,4217,4499,4315,4028,5227
PA4200,849,705,795,672,671,807
PA4202,1430,1537,1611,1254,1348,1472
PA4203,454,424,509,388,406,504
PA4218,8673,8987,10230,7754,9124,10854
PA4219,4452,4721,5280,3336,5009,5334
PA4220,247,315,359,385,392,363
PA4222,8992,9741,11143,6894,9740,11200
PA4223,12869,12671,14060,10380,12954,14785
PA4233,3550,3564,3410,3699,3909,3286
PA4270.1,324,307,254,488,395,302
PA4272.1,185,201,207,159,185,194
PA4276.1,574,573,459,471,730,628
PA4277.1,619,597,470,586,628,414
PA4277.2,69,79,94,49,52,64
PA4277.3,6152,6031,5983,4223,5662,5494
PA4278,405,415,451,284,434,477
PA4279,348,339,408,328,385,414
PA4280.1,0,0,0,0,0,0
PA4280.2,47,90,308,201,141,59
PA4280.3,0,0,0,0,0,0
PA4280.4,0,0,0,0,0,0
PA4280.5,0,6,2,2,7,0
PA4282,3766,3935,3989,3710,3923,4153
PA4286,839,816,801,739,787,865
PA4287,98,87,97,87,85,85
PA4288,4452,3162,3450,2977,3092,3868
PA4289,732,574,626,366,502,644
PA4290,1462,1436,1414,1082,1424,1446
PA4291,557,530,476,457,540,553
PA4292,471,467,489,561,467,489
PA4294,228,175,222,170,170,252
PA4298,69,53,51,57,45,61
PA4308,2177,2227,2392,2118,2140,2378
PA4311,5064,4452,4808,4269,4411,4818
PA4312,2092,1867,1988,1621,1734,1869
PA4313,689,614,686,567,587,632
PA4313a,366,399,386,376,374,406
PA4317,918,804,808,749,790,717
PA4318,524,448,525,271,449,459
PA4319,99,84,91,65,98,112
PA4320,289,303,320,291,281,331
PA4321,192,132,144,148,142,169
PA4322,213,220,233,188,211,225
PA4323,145,121,109,117,115,169
PA4324,1761,1800,2020,1343,1827,2507
PA4325,429,557,625,416,575,497
PA4326,463,359,362,280,345,466
PA4327,1708,1338,1420,1377,1353,1635
PA4328,759,637,712,597,613,793
PA4330,446,429,467,407,406,502
PA4331,303,292,335,207,287,371
PA4332,1317,1030,1225,781,1014,1296
PA4333,2298,2231,2116,2040,2261,2116
PA4334,1097,1103,1248,894,972,1294
PA4335,1765,1791,1715,1920,1659,1787
PA4336,8387,7922,8136,7563,7576,8153
PA4337,404,377,412,360,344,381
PA4338,1839,1596,1736,1516,1539,1863
PA4339,426,460,449,315,402,449
PA4340,843,853,906,718,832,914
PA4341,170,212,231,165,204,243
PA4342,324,323,333,248,324,364
PA4343,75,91,79,86,80,96
PA4344,858,865,987,791,929,950
PA4345,1127,1246,1340,1195,1163,1262
PA4346,186,180,237,203,180,197
PA4347,736,583,622,473,563,629
PA4348,955,739,856,607,651,1060
PA4349,2981,2986,3307,2478,2940,3231
PA4350,287,274,267,245,287,301
PA4351,156,107,143,96,109,103
PA4352,4654,5651,6219,4500,5616,5767
PA4353,2887,2069,2314,2069,2051,2495
PA4354,470,354,454,386,392,384
PA4355,190,155,157,146,161,172
PA4357,94,90,94,71,74,127
PA4358,1147,1046,1112,900,958,1333
PA4359,637,490,447,546,460,721
PA4360a,109,76,115,78,107,108
PA4361,1746,1810,1888,1340,1590,2088
PA4362,1150,1019,1135,909,917,1097
PA4364,28,19,23,22,25,33
PA4365,38,19,20,26,25,23
PA4368,850,916,982,632,846,1022
PA4369,558,522,585,427,539,693
PA4371,1454,1378,1333,1329,1444,1404
PA4372,2010,2057,2041,1832,2098,2264
PA4373,1675,1461,1359,1475,1459,1509
PA4374,407,336,370,353,404,332
PA4375,630,613,621,561,632,611
PA4377,2843,2997,3233,2697,2854,3038
PA4379,785,870,918,801,993,900
PA4380,320,337,358,253,309,416
PA4381,1275,1280,1297,1095,1133,1200
PA4382,59,51,36,41,38,54
PA4383,2327,1973,2380,1481,2060,2199
PA4384,180,164,183,183,184,183
PA4387,1522,1323,1359,1102,1170,1151
PA4388,1715,1613,1525,1593,1424,1606
PA4390,390,331,363,345,362,387
PA4391,235,184,200,197,202,199
PA4392,309,436,427,280,370,386
PA4394,620,651,687,562,679,669
PA4395,4970,5150,5118,5088,4945,5527
PA4396,468,484,438,377,442,445
PA4398,827,747,695,746,762,704
PA4399,507,592,521,454,526,575
PA4400,891,995,1039,767,958,1057
PA4401,953,1108,1144,827,1138,1106
PA4404,641,703,693,616,737,698
PA4405,877,935,1034,742,942,882
PA4406.1,16,19,19,22,24,22
PA4420,4897,5360,5576,4084,5194,5137
PA4421,13299,12035,12304,10502,11503,12046
PA4422,880,952,1010,707,1029,1085
PA4423,6705,7085,6666,6574,6546,6764
PA4424,632,576,571,793,600,564
PA4425,5232,4343,4372,5388,4278,4690
PA4426,3432,3275,3172,3938,3154,3470
PA4429,6428,5592,5513,6095,5243,5441
PA4430,8062,7237,7034,7004,6801,6927
PA4431,5473,5828,5655,4569,5366,5200
PA4434,2778,2846,2807,2432,2592,2847
PA4435,1058,1033,1016,740,959,1093
PA4436,1523,1356,1436,1198,1276,1295
PA4437,399,370,357,366,374,401
PA4438,585,643,621,583,646,539
PA4440,1097,1115,1061,1015,1054,1148
PA4441,7497,8229,7955,6048,7475,7193
PA4445,874,835,841,741,965,967
PA4451,309,364,302,378,434,332
PA4451.1,0,1,0,0,0,0
PA4452,447,415,457,362,423,467
PA4453,5541,5811,5444,5422,5573,5789
PA4454,1108,1192,1091,1038,1289,1240
PA4455,827,822,861,849,958,824
PA4456,3178,3195,3386,2988,3418,3292
PA4457,2992,2797,2597,2675,2800,2697
PA4458,651,711,665,798,735,692
PA4459,1397,1347,1171,1330,1341,1310
PA4460,1952,1952,1750,2059,1930,1893
PA4461,2677,2349,2253,2428,2350,2415
PA4463,61332,55110,58047,69203,48824,61108
PA4465,6953,5416,5396,6436,5116,6029
PA4466,1340,1306,1305,1011,1201,1542
PA4467,1793,2018,2330,1426,2242,2673
PA4469,2328,1950,2103,2310,2344,2652
PA4471,2452,2055,2276,2723,3272,3652
PA4473,2123,1835,1976,1769,1672,2008
PA4474,3779,3964,4336,3693,3978,4290
PA4475,2551,2514,2829,2087,2424,2881
PA4476,2399,2466,2675,1988,2346,2639
PA4478,282,370,384,270,348,376
PA4485,209,145,138,191,163,144
PA4486,841,946,939,654,890,1046
PA4487,365,314,345,238,247,430
PA4488,568,517,672,390,560,656
PA4489,1054,1044,1196,924,1057,1205
PA4490,190,153,179,165,174,167
PA4491,1208,1203,1266,1007,1048,1342
PA4492,1933,1661,1781,1609,1731,1810
PA4495,5041,5330,5344,4775,5165,5827
PA4496,6893,5831,5419,5682,5678,6147
PA4497,797,697,644,673,664,739
PA4498,1065,1044,1075,717,979,1137
PA4499,814,708,702,719,737,812
PA4500,16952,12975,12795,12763,11878,13767
PA4502,2861,2251,2132,1955,2118,2414
PA4503,1072,851,908,847,783,974
PA4504,902,608,613,553,558,675
PA4505,1193,850,861,992,818,944
PA4506,906,821,826,650,748,876
PA4507,910,931,1012,619,806,1040
PA4508,232,205,223,158,175,263
PA4509,158,164,198,125,149,216
PA4510,463,399,408,378,387,486
PA4511,1563,1394,1583,1202,1403,1629
PA4513,897,938,1033,711,841,947
PA4514,5016,4086,4188,3982,4113,4992
PA4515,3786,3721,3695,3635,3815,3788
PA4516,1368,1351,1316,1366,1326,1507
PA4517,240,227,199,227,200,240
PA4518,375,400,379,313,344,367
PA4520,5200,5304,5584,4136,5295,6173
PA4521,928,888,1031,783,847,1000
PA4523,36635,35175,38653,30849,34060,40265
PA4524.1,168,177,184,122,151,177
PA4530,425,356,385,436,300,361
PA4531,40,45,42,14,50,67
PA4532,333,393,425,271,400,441
PA4533,461,471,453,546,505,478
PA4534,740,757,749,575,750,767
PA4535,1282,1375,1269,1174,1370,1275
PA4536,429,372,383,395,403,434
PA4537,518,473,438,557,476,422
PA4539,1726,1511,1665,1296,1548,1794
PA4540,93,83,92,70,90,100
PA4541,2182,2168,2288,1906,2162,2392
PA4541.1,42,56,54,47,55,63
PA4541.2,16,9,19,16,11,14
PA4541.3,113,165,182,115,195,144
PA4543,570,564,555,456,559,517
PA4548,923,1009,986,787,936,989
PA4558,562,540,520,565,536,527
PA4562,818,693,661,614,674,716
PA4564,292,427,403,218,392,373
PA4570,4354,3771,4194,4067,4828,6109
PA4571,1009,783,778,697,753,939
PA4573,557,661,742,505,668,758
PA4574,1312,1008,1131,966,910,1201
PA4575,2513,2519,2855,2011,2523,2763
PA4576,6150,6146,6338,5530,5731,6477
PA4577,116,134,158,117,121,168
PA4578,14106,13475,13464,9783,11386,13243
PA4579,1747,1492,1584,1512,1292,1710
PA4580,212,290,272,190,267,282
PA4581.1,560,611,655,518,607,618
PA4582,443,404,436,366,390,461
PA4583,537,492,512,464,500,522
PA4584,325,341,346,255,324,326
PA4586,27,22,19,24,17,32
PA4589,387,372,385,363,330,351
PA4591,183,174,215,118,157,171
PA4592,402,364,396,309,329,407
PA4593,191,167,169,154,165,179
PA4594,465,467,479,309,458,498
PA4595,23851,22118,22107,20664,20113,24412
PA4596,905,682,676,605,640,783
PA4603,269,342,367,220,331,375
PA4604,1543,1481,1352,1562,1397,1564
PA4605,839,913,916,809,872,963
PA4606,15612,14187,14836,12799,12902,15164
PA4607,19898,24802,26370,19109,21847,23726
PA4608,4504,3846,4187,4333,3652,4229
PA4610,310,210,262,150,159,278
PA4611,4328,5440,5502,3188,4650,5627
PA4612,174,189,228,144,199,185
PA4615,5141,4899,5347,3810,4165,5172
PA4616,228,222,233,177,214,226
PA4617,1553,1517,1717,1257,1550,1724
PA4618,1971,2031,2122,1468,1907,2100
PA4619,703,624,561,660,649,666
PA4620,276,257,247,311,239,269
PA4621,4245,3412,3793,2829,3122,4050
PA4622,132,135,138,89,119,125
PA4623,303,246,259,253,263,251
PA4624,485,440,468,438,490,449
PA4625,2767,2208,2286,1848,1980,2422
PA4627,415,320,357,288,330,355
PA4629,142,121,122,155,172,92
PA4630,3761,4402,4217,4201,4688,3891
PA4631,1241,1321,1314,1040,1279,1302
PA4632,2916,2900,2881,2649,2751,2881
PA4633,5369,4527,4728,4298,4269,5784
PA4634,352,371,386,312,381,411
PA4635,698,473,546,390,404,537
PA4635a,532,532,578,397,505,556
PA4636,858,802,768,720,823,819
PA4636a,433,485,475,476,495,498
PA4637,332,313,379,276,362,329
PA4637a,38,51,42,69,40,40
PA4639,5030,4740,4567,3736,4216,4614
PA4642,742,607,715,675,598,649
PA4643,1470,1579,1452,1337,1546,1652
PA4644,36,50,32,51,54,52
PA4645,358,299,342,310,290,347
PA4648,298,206,210,237,219,202
PA4649,95,79,87,89,92,93
PA4650,63,24,33,36,15,37
PA4651,106,76,85,94,68,71
PA4652,90,65,83,60,52,80
PA4653,295,223,248,235,222,243
PA4654,218,168,188,142,175,216
PA4656,584,760,779,514,739,729
PA4657,10984,9321,9747,8752,8723,10269
PA4658,1527,1193,1361,927,981,1370
PA4659,306,282,344,247,256,372
PA4667,6035,5794,5731,6206,5683,5863
PA4668,946,1020,906,900,910,934
PA4669.1,176,163,153,197,236,165
PA4671,5417,5440,5339,5294,5975,5737
PA4672,386,315,336,439,379,314
PA4673,1247,1071,1032,1577,1237,1221
PA4673.1,1,5,4,3,6,6
PA4674,2784,2880,3199,2034,2524,3328
PA4675,3093,3048,2724,3344,3191,2925
PA4676,1556,1328,1195,1155,1183,1324
PA4677,2011,1366,1550,1363,1271,1675
PA4679,413,440,467,303,443,449
PA4680,273,181,215,210,184,270
PA4681,441,358,383,286,337,413
PA4682,1246,1021,1056,957,989,1089
PA4683,440,369,385,324,379,464
PA4684,420,378,379,381,396,437
PA4685,126,87,88,117,116,100
PA4686,1063,972,870,968,936,966
PA4689,2140,1909,2026,1752,1766,2261
PA4690,464,345,356,388,343,401
PA4690.1,0,0,0,0,0,0
PA4690.2,0,0,0,0,0,0
PA4690.3,0,0,0,0,0,0
PA4690.4,0,0,0,0,0,0
PA4690.5,788,940,976,875,955,1051
PA4690a,587,630,588,460,556,583
PA4691,287,317,298,145,262,297
PA4692,906,887,795,825,901,996
PA4697,1773,1844,1789,1499,1609,2028
PA4698,275,385,415,234,355,436
PA4699,4245,3986,4207,3747,3727,4000
PA4701,3799,3723,3476,3585,3994,3465
PA4702,1567,1425,1696,1148,1373,1657
PA4703,1386,1035,1202,1222,1162,1307
PA4705,813,1004,1058,727,946,944
PA4706,795,872,973,646,805,890
PA4707,1914,1866,2000,1521,1736,2139
PA4709,6726,7686,7721,6485,7907,8545
PA4711,2868,2670,2770,2371,2780,3126
PA4712,980,883,932,685,740,1037
PA4713,402,395,484,316,409,469
PA4714,1986,1978,2162,1872,1945,2187
PA4715,5887,5244,5338,5446,4881,5330
PA4716,1111,1336,1380,1125,1339,1384
PA4717,1909,1878,2074,1571,1910,2102
PA4718,797,828,882,655,730,838
PA4719,697,533,570,495,484,538
PA4721,121,170,162,101,160,174
PA4722,1059,977,1053,1030,1114,1134
PA4724,205,160,133,137,160,177
PA4724.1,60,71,73,65,73,58
PA4726.1,17,2,5,9,7,9
PA4726.2,770,1029,625,5669,1449,872
PA4734,2482,2174,2526,1929,2098,2340
PA4735,5420,4953,5121,4578,5034,5471
PA4736,364,382,339,345,340,427
PA4737,354,470,487,288,444,535
PA4738,357,418,400,344,383,521
PA4739,744,742,829,762,729,892
PA4746,808,769,764,714,816,792
PA4746.1,194,260,242,86,252,241
PA4746.2,278,250,254,137,305,257
PA4753,469,459,507,466,446,513
PA4754,641,807,774,674,781,795
PA4757,1096,1126,1050,960,1103,1175
PA4758.1,4,10,4,4,10,7
PA4766,264,303,283,195,303,317
PA4767,926,981,1023,872,1006,950
PA4769,723,783,892,525,840,921
PA4772,875,990,1006,912,919,895
PA4773,1017,789,864,790,695,967
PA4774,994,741,748,666,615,910
PA4775,376,326,331,307,346,428
PA4779,206,174,219,145,175,227
PA4780,1169,1106,1301,956,1074,1264
PA4781,1070,959,1093,955,989,1070
PA4782,335,265,282,238,270,419
PA4783,219,208,193,189,167,227
PA4784,488,421,441,352,402,439
PA4785,1820,1798,1736,1417,1655,1761
PA4786,2327,2167,2263,1839,1962,2426
PA4787,5929,6479,6785,5008,5832,6591
PA4788,915,753,748,633,708,805
PA4789,69,136,139,74,147,112
PA4790,301,285,289,223,290,259
PA4791,609,634,642,605,582,707
PA4792,787,866,889,608,809,865
PA4793,3353,3011,2971,3081,2925,3263
PA4794,414,333,369,439,298,404
PA4795,108,127,163,120,140,154
PA4796,257,240,264,196,204,346
PA4797,8,10,4,2,7,6
PA4798,1080,891,900,782,898,1044
PA4799,53,48,62,36,58,56
PA4800,96,66,72,72,90,97
PA4801,148,151,159,105,151,126
PA4802,112,92,95,85,101,103
PA4802.1,152,168,158,145,143,162
PA4803,787,711,793,600,694,846
PA4804,829,660,744,606,672,700
PA4805,340,270,280,243,242,294
PA4806,543,500,601,463,463,563
PA4815,290,302,294,227,312,271
PA4816,919,954,980,735,927,864
PA4817,49,39,47,30,40,54
PA4818,89,102,125,61,104,116
PA4819,85,64,71,47,50,102
PA4820,72,66,87,47,58,84
PA4821,202,198,176,138,198,209
PA4822,1695,1235,1493,1123,1277,1682
PA4823,117,79,96,132,85,131
PA4824,1053,648,823,717,698,872
PA4826,3666,2324,2845,2553,2708,2859
PA4827,702,582,718,511,561,707
PA4828,222,187,226,127,163,258
PA4830,590,566,614,415,496,526
PA4831,855,877,919,726,804,838
PA4832,620,639,693,533,591,682
PA4833,2159,1984,2134,1688,1775,2128
PA4834,39,29,30,23,34,40
PA4835,127,138,131,109,122,143
PA4836,112,131,150,110,151,157
PA4837,594,502,553,485,543,540
PA4838,324,286,294,187,247,299
PA4840,387,333,402,221,369,419
PA4841,319,289,363,322,305,402
PA4842,5023,4757,5059,4407,4826,5406
PA4843,7115,5029,5588,5263,5007,7360
PA4844,3240,2112,2386,1643,1748,3184
PA4849,73,79,62,72,77,68
PA4851,1698,1577,1674,1629,1616,1707
PA4852,1743,1879,1971,1623,1971,1997
PA4857,185,180,175,112,144,161
PA4858,82,88,82,56,83,83
PA4859,47,35,48,42,32,30
PA4860,15,8,23,18,13,22
PA4861,82,81,74,70,85,77
PA4862,105,93,131,76,85,116
PA4863,159,120,137,130,104,155
PA4866,85,81,79,96,89,90
PA4869,347,311,293,281,275,364
PA4870,1214,1210,1193,995,1065,1192
PA4871,133,155,156,114,148,163
PA4872,1294,1226,1295,1077,1261,1378
PA4873,204,189,204,159,201,210
PA4874,1827,1908,2166,1641,1821,2016
PA4877,202,240,309,204,262,263
PA4878,620,567,634,468,500,653
PA4879,1774,1691,1766,1498,1678,1734
PA4880,445,370,406,455,434,390
PA4881,1199,757,865,925,792,1058
PA4882,132,127,138,87,97,133
PA4883,10,16,16,6,8,8
PA4884,61,50,51,53,48,55
PA4886,326,258,372,228,235,324
PA4887,264,260,270,212,213,241
PA4889,300,333,386,264,350,385
PA4894,38,35,36,42,41,33
PA4895,421,423,493,318,471,495
PA4896,1510,1290,1381,1413,1485,1772
PA4897,764,671,631,729,788,745
PA4899,870,849,869,743,793,912
PA4900,261,249,286,205,248,254
PA4902,593,460,520,413,480,538
PA4903,105,109,109,67,83,118
PA4906,664,731,743,544,645,728
PA4907,1820,1897,1890,1489,1686,2042
PA4908,280,289,307,181,263,266
PA4909,549,600,535,412,475,501
PA4910,696,614,516,621,536,513
PA4911,365,328,304,279,259,297
PA4912,868,741,668,652,661,676
PA4913,5994,5585,5393,5135,5068,5729
PA4914,551,486,529,388,454,553
PA4915,3262,2981,3351,2852,2872,3444
PA4916,686,587,651,487,575,668
PA4917,330,297,428,230,326,339
PA4918,522,650,607,338,501,686
PA4921,553,547,515,443,459,550
PA4923,220,192,181,176,187,200
PA4924,453,388,488,357,447,500
PA4925,565,506,545,416,518,526
PA4926,297,270,281,236,255,326
PA4927,685,633,779,529,593,702
PA4928,1677,1681,1651,1567,1607,1544
PA4929,1018,829,952,799,819,923
PA4933,1294,1439,1451,1331,1579,1604
PA4936,1484,1623,1776,1119,1495,1735
PA4937.1,1022,1164,1179,1002,1114,911
PA4937.2,664,616,638,539,648,548
PA4939,1643,1828,1838,1432,1895,1699
PA4940,76,124,128,66,120,122
PA4943,13957,12336,13235,10346,11762,14359
PA4948,373,341,337,358,325,407
PA4949,1416,1546,1847,1088,1484,1632
PA4950,579,605,625,468,536,639
PA4952,1089,1034,1133,920,978,1121
PA4955,2550,2311,2514,2109,2327,2513
PA4960,1247,1312,1354,1187,1349,1358
PA4961,3767,3801,3830,3063,3557,3972
PA4962,70,50,55,64,87,81
PA4963,1535,1629,1766,1358,1630,1653
PA4965,151,163,190,159,201,198
PA4966,388,411,453,366,435,493
PA4968,952,805,742,739,808,832
PA4970,709,681,732,507,677,840
PA4972,971,887,855,862,909,907
PA4974,5044,4464,4188,4203,4234,4477
PA4975,640,543,682,582,517,701
PA4978,611,513,548,427,466,615
PA4979,561,591,568,456,509,595
PA4980,1143,1075,1299,735,1054,1337
PA4981,239,201,211,171,190,289
PA4982,692,637,753,514,630,769
PA4983,1599,1580,1611,1296,1436,1585
PA4984,542,527,547,490,461,564
PA4985,596,515,561,374,442,558
PA4986,649,515,563,505,497,616
PA4987,566,496,517,403,457,549
PA4989,312,299,341,245,323,316
PA4990,53,42,46,43,48,39
PA4991,570,623,628,502,638,597
PA4992,286,313,284,290,313,287
PA4993,2003,2233,2244,1548,1984,2263
PA4994,344,347,357,286,342,426
PA4995,501,459,478,406,437,521
PA4998,859,805,834,827,783,866
PA5001,1057,1057,1056,925,968,1100
PA5002,614,640,558,507,596,618
PA5003,772,785,811,700,753,813
PA5004,1793,1772,1798,1529,1765,1801
PA5005,6698,6765,6215,6644,6933,6680
PA5006,897,899,943,798,883,981
PA5007,405,367,424,332,373,420
PA5008,684,589,604,520,621,655
PA5017,6948,6202,6686,5665,5920,6745
PA5019,1422,1509,1571,1169,1507,1617
PA5020,562,514,496,439,478,503
PA5021,1914,1295,1526,1072,1138,1644
PA5022,1065,958,931,902,872,1018
PA5023,3917,3783,4149,3173,3603,3969
PA5024,520,524,511,649,621,734
PA5026,203,204,185,216,222,273
PA5027,155,131,159,127,165,199
PA5028,4493,4371,4305,3971,4012,4586
PA5029,623,515,611,378,543,660
PA5030,10495,9572,10576,8626,9077,10767
PA5031,87,93,86,50,74,120
PA5032,634,464,553,424,427,720
PA5033,169,142,164,133,163,174
PA5037,5608,5425,5527,5187,5212,5614
PA5046,12136,13117,12099,11767,12387,12783
PA5047,1530,1445,1589,1138,1356,1741
PA5048,294,353,425,253,377,383
PA5052,1192,1148,1120,1018,1141,1078
PA5055,955,883,882,896,862,1019
PA5059,175,131,161,125,137,172
PA5061,5348,5173,5187,5489,4790,6063
PA5062,275,276,296,169,270,346
PA5064,460,430,433,423,378,509
PA5071,123,124,123,125,134,160
PA5072,227,183,216,179,236,257
PA5073,425,518,529,402,499,515
PA5074,981,946,851,906,824,966
PA5075,811,791,752,787,778,763
PA5076,3645,3249,2836,3435,3115,2942
PA5078,4443,4257,4147,4301,4308,4401
PA5079,644,681,749,493,604,809
PA5080,3594,3175,3384,3074,3010,3544
PA5081,244,293,280,186,221,281
PA5082,618,615,541,617,575,550
PA5083,57,45,73,70,66,54
PA5084,156,162,195,98,133,158
PA5085,697,609,783,561,654,762
PA5087,939,779,839,548,721,976
PA5088,170,157,152,123,171,191
PA5089,243,237,215,168,185,237
PA5090,499,404,458,377,454,457
PA5093,720,588,656,595,621,701
PA5094,792,581,652,745,628,634
PA5095,682,574,572,531,592,607
PA5096,639,530,526,490,529,628
