,X3225B2.raw,X3225B3.raw,X3225B4.raw,WTB3.raw,WTB4.raw,WTB6.raw,X3225P4.raw,X3225P5.raw,X3225P6.raw,WTP4.raw,WTP5.raw,WTP6.raw
PA14_44020,1564,2094,1353,2096,1525,2217,34,41,75,53,39,42
PA14_44660,789,887,452,879,525,605,1,11,5,4,2,3
PA14_45110,784,843,485,992,594,881,21,28,28,41,17,36
PA14_45130,76,73,36,72,50,104,57,79,88,108,71,78
PA14_45250,249,267,187,234,222,182,72,111,188,145,94,98
PA14_45580,399,379,277,387,251,352,1,1,5,0,2,1
PA14_46590,175,150,153,186,105,352,316,381,560,529,372,488
PA14_47160,11,4,2,5,2,4,8,6,9,13,10,9
PA14_47600,186,173,118,176,115,152,22,31,40,46,21,45
PA14_47810,21,22,12,22,11,44,177,188,271,261,201,247
PA14_48600,11,8,5,4,5,8,142,172,246,204,155,267
PA14_49220,147,58,42,106,29,55,197,175,309,250,201,309
PA14_50110,925,1171,709,1134,720,800,155,192,284,276,170,258
PA14_50860,177,131,104,142,98,141,45,61,77,82,49,81
PA14_51230,1271,1290,1026,1336,1212,1636,5705,7310,9946,8221,5911,7933
PA14_52280,69,58,49,73,46,96,4856,6145,7926,7432,5552,7700
PA14_53750,48,28,21,41,18,25,94,112,153,134,90,109
PA14_54410,1640,1525,1008,1814,1068,1982,218,218,354,279,242,357
PA14_54490,211,178,116,245,171,182,17,18,31,21,10,24
PA14_56260,80,68,41,79,49,42,1341,1673,2197,1697,1309,1987
PA14_57300,392,421,268,414,278,324,813,1237,1721,1527,1105,1506
PA14_59190,3181,5695,2948,5866,4038,4465,259,327,368,415,289,353
PA14_60500,682,731,535,721,531,585,3390,4312,7051,5460,4035,4683
PA14_62160,1127,1310,852,1310,939,1584,7,9,12,16,11,11
PA14_63230,164,129,87,148,100,103,39,50,65,77,39,64
PA14_64610,58,60,53,57,40,56,10,12,25,22,14,24
PA14_65390,296,201,126,270,129,179,14,9,11,15,11,19
PA14_65640,72,55,29,88,42,62,113,200,210,178,133,178
PA14_67670,155,185,97,185,114,221,261,406,598,412,338,454
PA14_68750,61,52,42,62,34,42,51,57,69,50,52,58
PA14_70980,56,56,38,78,27,80,43,42,71,56,35,49
PA14_71180,79,64,68,68,47,76,22,30,52,51,33,40
PA14_73110,504,588,418,559,432,427,184,237,306,269,208,330
PA14_00980,4231,5482,4145,5956,4590,5651,466,507,665,625,469,708
PA14_01790,159,99,60,129,59,102,159,218,314,215,206,231
PA14_02850,96,67,57,79,58,63,879,1060,1454,1136,828,1289
PA14_04290,126,104,73,124,66,89,1933,2640,3226,2983,2128,2384
PA14_06950,129,128,99,132,85,112,31,20,36,30,30,46
PA14_07040,88,107,43,115,73,99,85,89,146,114,90,92
PA14_10140,14,10,5,17,8,16,165,159,209,221,135,119
PA14_10480,34,20,16,41,21,28,6,5,8,2,4,7
PA14_13720,13,5,7,16,7,13,1531,1653,2513,1967,1347,2155
PA14_14420,30,29,28,40,22,48,163,251,402,305,224,230
PA14_14975,226,245,170,222,173,204,908,1221,1635,1539,1110,1473
PA14_15030,3513,3085,2399,3502,2663,2154,125,137,211,157,106,180
PA14_15445,8,14,3,10,4,4,16,19,29,25,25,29
PA14_16710,103,93,52,102,50,75,58,80,113,67,87,69
PA14_18120,155,179,172,233,112,282,136,173,375,269,244,276
PA14_18640,237,189,149,247,110,180,35,61,93,60,52,59
PA14_18820,7,10,8,14,7,15,112,154,173,170,139,183
PA14_20730,2213,1503,1089,2100,1108,2423,14,14,24,25,8,9
PA14_23000,9,19,6,14,11,22,345,368,628,513,316,449
PA14_25620,1695,1841,1211,1869,1375,2280,15,20,28,40,16,22
PA14_27530,150,79,74,101,61,115,48,81,98,101,77,82
PA14_27755,691,581,425,718,501,761,69,96,112,130,83,102
PA14_29160,613,688,506,631,459,617,28,19,38,31,22,20
PA14_31420,1608,1313,705,1523,733,2433,73,83,103,83,65,90
PA14_31810,1222,1030,514,1337,676,1211,6,18,25,22,19,21
PA14_32230,65,56,43,72,26,49,133,190,233,258,173,189
PA14_33930,276,279,113,356,167,269,153,193,247,202,144,212
PA14_37560,21,18,19,24,13,11,199,250,343,295,236,347
PA14_39080,41,28,18,24,26,25,359,431,656,576,410,606
PA14_45470,23,27,21,39,29,23,30,22,49,38,22,28
PA14_45500,1166,1151,880,1261,859,907,50,71,72,68,38,69
PA14_45740,50,34,18,33,19,37,10,17,29,21,18,31
PA14_46300,130,100,55,109,55,98,221,299,326,346,243,349
PA14_47440,747,667,475,727,428,632,8,15,13,18,16,13
PA14_47460,239,180,148,244,142,283,36,38,43,40,26,37
PA14_48030,8,6,3,9,7,10,364,516,593,511,377,517
PA14_49840,1418,1473,952,1511,986,1151,166,209,328,271,230,280
PA14_50930,546,433,304,570,305,336,47,62,89,56,61,63
PA14_51670,188,182,152,174,119,193,38,59,93,71,48,53
PA14_51770,418,523,340,493,303,791,926,1157,1741,1402,1005,1262
PA14_52070,3199,3155,2985,3406,2413,5986,29,42,54,57,42,48
PA14_54260,45,38,18,32,21,35,43,60,72,65,53,40
PA14_56130,104,94,57,97,47,89,8,16,12,13,8,7
PA14_56890,322,373,197,355,179,306,802,753,1184,1051,644,912
PA14_57680,396,311,230,359,185,338,140,142,252,226,172,199
PA14_61410,285,344,241,290,278,203,329,474,794,645,500,612
PA14_62940,234,215,196,204,148,251,23,24,34,40,25,33
PA14_63420,6,7,8,15,7,9,37,39,58,65,41,51
PA14_67250,108,60,76,107,52,54,8,14,34,20,24,27
PA14_67580,159,180,119,154,125,147,3914,6088,7406,6784,4797,7417
PA14_67650,47,35,19,40,12,36,25,46,54,54,40,53
PA14_68090,98,81,47,103,57,113,37,54,101,58,49,67
PA14_68300,400,836,459,848,465,758,589,650,1042,878,668,956
PA14_69020,554,702,470,781,545,688,103,120,177,168,125,157
PA14_69390,1799,2039,1427,2041,1494,1431,56,44,66,63,58,71
PA14_69740,32,26,14,28,13,20,8,7,15,16,9,15
PA14_69900,1359,1559,874,1649,972,1789,10,13,15,13,9,8
PA14_72840,1377,1206,861,1267,848,1155,857,1115,2040,1476,1103,1982
PA14_73010,953,1115,794,1218,758,664,32,34,45,43,39,49
EBG00001225035,13,9,5,4,10,6,92,99,128,141,82,137
EBG00001225094,13,14,10,10,6,13,4,5,10,10,9,8
EBG00001225128,14,21,13,16,12,11,331,311,508,418,244,426
EBG00001225160,1,3,3,3,4,6,54,80,175,110,75,87
PA14_01020,132,192,142,148,107,175,113,147,183,156,125,134
PA14_01640,71,57,42,83,48,76,72,99,147,130,102,127
PA14_02490,4,2,1,1,0,2,172,228,312,283,240,266
PA14_02960,31,26,16,31,11,20,6,2,26,10,7,4
PA14_03163,7485,9250,6151,9472,6714,10286,43,57,50,55,41,38
PA14_03220,362,334,192,340,245,455,141,243,295,249,171,222
PA14_04380,115,78,58,95,59,76,23,44,51,58,30,51
PA14_08390,502,679,390,675,516,639,1827,361,2773,1088,967,1576
PA14_09440,144,145,115,164,99,113,10,15,24,18,11,11
PA14_09540,660,423,295,553,303,913,51,91,144,111,73,73
PA14_10010,83,66,27,59,33,67,18,34,86,32,33,46
PA14_10190,149,124,63,172,76,152,20,18,49,32,19,24
PA14_10490,70,69,33,89,47,73,318,432,472,481,378,488
PA14_12300,449,364,256,464,302,482,18,23,43,30,34,37
PA14_12630,336,262,176,316,179,233,468,572,972,700,541,685
PA14_14700,842,757,473,749,489,728,666,864,1444,1223,859,1172
PA14_17700,21777,22805,12342,24429,12116,17807,1581,2372,3359,2756,2249,2980
PA14_17790,183,204,124,222,144,236,1048,1334,1673,1504,1150,1776
PA14_17860,53,35,32,44,29,33,41,62,134,107,104,80
PA14_18700,464,499,307,591,364,528,28,17,27,35,21,32
PA14_18710,149,149,105,184,112,181,4,7,8,3,8,2
PA14_19360,1796,1149,862,1796,1017,1609,497,796,822,728,600,661
PA14_19950,530,626,391,695,488,617,241,275,363,344,236,392
PA14_20491,75,71,53,78,40,63,23,41,55,49,36,55
PA14_21090,26,14,9,17,11,12,419,555,709,621,441,546
PA14_21400,593,593,416,650,429,439,263,445,872,515,459,402
PA14_22980,226,205,119,225,119,329,3945,4613,6522,5912,4323,6204
PA14_23270,951,1130,622,1125,624,818,64,84,81,71,51,88
PA14_23620,394,210,138,292,117,243,22,33,52,23,31,40
PA14_24690,293,393,277,392,187,705,11,14,13,12,9,9
PA14_25980,86,55,32,64,47,44,47,65,120,96,85,84
PA14_26070,42,31,23,43,32,45,77,83,151,100,81,107
PA14_26160,37,26,28,55,34,26,490,660,847,724,567,900
PA14_26190,203,161,103,204,95,137,4079,5704,7998,6390,4834,5915
PA14_26720,72,73,52,70,55,54,104,126,183,185,115,163
PA14_28600,10414,10877,5653,10087,7906,7293,112,167,384,242,221,328
PA14_31110,11,12,13,12,15,22,64,90,118,118,78,113
PA14_31700,330,343,217,407,245,389,493,678,973,726,585,743
PA14_31740,3,4,0,2,1,0,686,1051,1701,1383,1059,1337
PA14_33110,107,79,37,129,60,82,294,354,545,390,291,456
PA14_33570,82,54,39,96,40,77,981,972,1442,1136,865,1259
PA14_33700,769,854,567,878,637,1034,111,132,230,169,125,150
PA14_34790,27,21,18,40,15,30,3483,4601,5268,4676,3762,6533
PA14_35430,29,22,23,26,14,23,15,20,26,17,15,19
PA14_37190,65,43,33,53,26,47,18,30,52,49,32,38
PA14_39620,23,12,14,15,11,14,23,23,30,26,20,19
PA14_40110,20,20,15,29,14,29,78,86,178,118,93,107
PA14_40330,1,3,0,2,3,4,28,43,55,54,30,64
PA14_40880,103,101,59,143,56,116,104,165,247,205,134,137
PA14_40890,123,125,69,134,80,164,905,1588,1946,2068,1610,1429
PA14_41320,205,238,149,231,187,279,831,999,1317,1207,938,1294
PA14_41360,2457,2673,2243,2655,2010,2311,280,347,508,392,301,389
PA14_43020,35,22,27,24,26,22,209,263,452,328,302,389
PA14_43350,164,179,102,179,95,141,79,126,178,144,105,109
PA14_43690,833,762,519,957,528,976,334,370,538,458,298,430
PA14_45830,213,209,136,249,110,164,52,53,84,78,60,79
PA14_45910,58,65,53,78,34,47,110,157,172,164,110,138
PA14_46200,113,96,69,107,58,91,3428,3806,5627,4514,3000,4892
PA14_46580,49,53,41,63,29,84,21,34,39,30,25,27
PA14_46930,98,86,65,105,65,129,2304,2900,4376,3310,2487,3434
PA14_48470,23,9,8,21,9,24,93,108,159,122,103,111
PA14_49080,91,113,55,109,61,68,661,823,1058,798,711,932
PA14_49300,291,273,171,336,161,195,53,66,91,82,53,57
PA14_49780,37,28,24,34,19,24,1122,1294,1733,1292,1088,1615
PA14_49930,128,91,94,137,79,157,85,103,145,137,111,127
PA14_51450,891,974,606,992,624,1259,97,158,203,136,113,181
PA14_51620,49,67,51,63,67,76,58,74,81,65,59,71
PA14_53520,99,98,56,88,57,87,38,35,57,39,33,44
PA14_53940,794,579,471,760,495,494,10,12,10,14,13,15
PA14_55020,67,55,30,76,38,72,11,7,21,9,7,15
PA14_55440,158,104,92,118,83,127,2,0,1,2,3,2
PA14_56010,382,485,253,487,252,581,21,18,31,31,21,33
PA14_56410,107,93,80,101,54,103,1,3,2,1,4,6
PA14_56470,50,45,22,54,13,35,19,16,19,22,15,30
PA14_57110,729,582,511,590,559,539,27386,29359,42374,34111,24275,37257
PA14_57190,161,145,104,163,90,128,475,651,986,841,641,831
PA14_57480,669,559,367,778,425,655,2471,4785,5897,4362,3428,4476
PA14_59530,46,53,41,52,28,45,6,10,13,9,5,8
PA14_61510,56,57,26,55,26,43,58,98,101,81,80,73
PA14_63850,353,247,264,312,219,282,53,74,110,77,57,84
PA14_65630,98,85,54,91,49,77,526,701,957,685,571,838
PA14_66660,3223,3787,3162,3842,2890,5386,19,28,30,30,25,38
PA14_67990,253,242,162,288,168,161,74,155,301,174,137,144
PA14_68130,57,54,28,67,34,70,21,19,26,26,17,13
PA14_70720,77,28,39,74,16,135,22,36,44,47,30,44
PA14_71940,214,291,168,241,175,216,3,1,4,3,1,0
EBG00001225129,10,5,5,4,6,4,8,8,13,8,4,10
PA14_01540,16,21,10,22,19,21,155,192,229,206,146,192
PA14_01860,19,13,21,30,16,23,33,49,79,60,48,78
PA14_02300,23,21,19,20,13,20,64,80,150,81,88,102
PA14_02510,15,12,11,14,8,31,427,564,663,565,422,597
PA14_04350,69,38,43,59,34,42,764,907,1251,1218,796,1180
PA14_06860,28,32,13,35,24,34,23,23,35,21,24,25
PA14_08400,346,293,228,295,210,314,1189,1463,2031,1711,1233,1565
PA14_08695,4589,6296,3864,6402,4550,6079,158,200,204,158,125,232
PA14_08790,4185,5402,2739,5516,3254,5471,119,119,201,134,127,151
PA14_08820,2677,3158,1840,3195,2081,3601,12,3,4,2,2,6
PA14_08850,1395,1503,935,1531,913,1995,576,723,918,956,580,888
PA14_10990,10,6,4,6,4,4,43,64,88,87,67,69
PA14_11000,58,37,29,39,38,81,53,60,66,62,42,59
PA14_11830,1374,976,654,1214,684,965,387,428,716,574,411,481
PA14_12590,58,41,30,53,24,38,16,29,19,28,22,28
PA14_13800,60,46,53,47,27,67,849,917,1367,1190,819,1408
PA14_14530,329,359,228,320,225,321,114,146,199,172,141,198
PA14_15530,13,14,11,21,18,12,148,196,312,234,151,237
PA14_16110,964,979,553,960,636,1303,35,37,55,53,47,48
PA14_18150,244,226,202,286,204,297,358,348,544,504,349,518
PA14_24140,159,137,107,181,93,202,64,71,109,68,54,103
PA14_24430,439,339,239,448,217,521,272,304,380,409,293,350
PA14_27480,1158,1113,922,1200,800,1822,206,320,370,351,224,279
PA14_27650,6,4,3,3,2,3,269,359,580,437,415,475
PA14_28230,20,19,13,24,5,55,2956,4634,6193,5018,3646,4654
PA14_28310,34,34,35,48,24,56,2639,3055,4425,3510,2439,3821
PA14_29500,69,38,49,48,45,44,48,35,67,57,40,36
PA14_30070,463,415,351,439,288,437,944,951,1334,1161,846,1100
PA14_35130,17,12,19,14,7,18,453,592,1007,702,605,655
PA14_35160,536,277,204,425,199,777,84,125,163,140,98,110
PA14_35810,3618,4553,2750,5157,3200,4277,3218,3872,5648,4643,3303,4358
PA14_35920,551,515,298,541,369,385,66,73,110,65,71,94
PA14_38750,902,829,483,1062,533,977,25,28,53,46,39,40
PA14_39700,5,18,7,13,6,2,55,53,96,79,59,95
PA14_40510,88,89,59,89,60,134,57,110,81,77,58,83
PA14_40630,6708,7059,4720,7689,5137,4740,134,129,197,155,121,157
PA14_41020,908,872,623,877,635,772,128,164,214,215,158,190
PA14_43050,2526,3103,2049,2883,2316,1840,29,43,63,70,35,52
PA14_43810,51,27,30,30,17,47,2633,3591,4989,3854,2959,4020
PA14_43970,1567,1706,1177,1800,1292,2062,7,17,35,24,29,23
PA14_45340,5,6,2,3,3,2,110,137,148,163,78,124
PA14_47450,80,71,57,90,54,106,43,64,79,67,65,81
PA14_47490,286,306,206,364,192,377,2390,2560,4131,2880,2163,3686
PA14_48920,1,3,0,4,1,4,45,52,61,57,33,53
PA14_49760,390,263,140,365,127,209,30,32,37,36,22,29
PA14_51340,686,588,404,708,418,825,57,55,60,66,46,89
PA14_51990,201,148,96,212,104,210,656,816,1093,917,646,903
PA14_54640,207,147,85,183,75,151,70,71,152,120,89,121
PA14_55320,14,16,8,11,8,11,468,569,914,643,497,732
PA14_58360,305,328,190,383,215,364,750,1057,1421,1293,949,1278
PA14_60950,1856,1896,1313,2225,1379,2256,1153,1582,1810,1707,1345,1902
PA14_62620,1152,1131,776,1258,763,891,602,753,1081,931,665,1063
PA14_63740,7,6,1,9,8,5,140,191,322,207,164,248
PA14_65030,264,230,168,283,151,342,24,31,61,35,27,41
PA14_66000,78,58,38,69,33,56,707,787,1205,1023,748,1175
PA14_66800,297,198,111,225,111,224,591,754,1188,1039,773,953
PA14_68550,164,153,110,134,94,171,4646,5653,7483,6126,4365,6687
PA14_68710,131,105,71,124,82,159,1880,2037,3507,2608,1800,2752
PA14_69670,986,868,586,1036,567,719,129,161,266,194,139,192
PA14_71920,164,160,94,172,104,114,9,17,22,19,20,21
PA14_72960,26,28,21,23,25,47,76,71,143,113,93,121
PA14_73140,2006,2280,1366,2580,1644,2309,13,13,16,8,12,14
EBG00001225064,206,326,187,303,237,303,12,22,33,21,13,23
PA14_00140,49,84,46,71,52,93,30,21,46,51,29,35
PA14_00680,10,10,8,15,8,16,246,250,365,315,216,289
PA14_03370,68,53,51,64,47,97,89,148,195,175,120,187
PA14_03940,236,263,182,264,176,202,24,28,46,55,27,34
PA14_04020,51,40,21,53,40,45,21,23,24,20,18,20
PA14_04610,70,67,36,50,50,57,11,11,9,8,6,10
PA14_05600,100,61,50,113,55,85,40,62,62,71,54,64
PA14_06090,8,5,8,6,3,6,34,30,60,58,38,49
PA14_06210,42,24,21,53,21,35,1646,2166,3252,2590,2123,2980
PA14_06420,42,26,20,51,20,39,166,187,244,215,183,263
PA14_09880,11,15,7,11,16,18,666,865,1208,1004,727,906
PA14_10650,3,5,3,6,3,9,193,192,292,268,187,182
PA14_10980,79,48,53,72,40,117,31,31,50,49,33,49
PA14_11520,129,100,62,133,63,74,104,139,240,156,124,176
PA14_11660,37,25,13,36,13,51,1571,1752,2705,2163,1544,3088
PA14_11750,709,740,568,782,542,596,372,478,574,511,373,483
PA14_13090,112,79,53,89,47,89,9,11,23,13,6,16
PA14_13500,122,109,80,140,55,94,55,81,121,111,75,104
PA14_18780,63,84,53,71,42,70,352,417,664,489,400,486
PA14_20880,245,188,94,208,70,197,244,347,385,342,275,315
PA14_23100,371,342,229,344,175,374,101,126,237,184,136,196
PA14_23510,919,877,674,981,710,660,5,9,20,19,14,11
PA14_24740,268,186,125,252,132,161,3657,3878,6677,4926,3578,5249
PA14_25110,1877,2144,1485,2258,1615,2487,38,40,70,54,35,45
PA14_29280,230,177,119,261,171,185,394,532,530,431,356,575
PA14_29560,88,101,73,91,62,89,367,499,578,554,395,436
PA14_30960,42,43,28,58,32,49,602,734,1091,844,651,841
PA14_33150,188,184,133,206,134,134,5,13,13,12,5,7
PA14_33870,593,418,151,532,196,917,567,635,946,853,593,897
PA14_40170,270,301,159,327,167,360,422,541,1144,747,570,610
PA14_42360,13,15,14,17,8,9,52,64,66,84,39,89
PA14_44210,205,170,100,205,85,156,5932,6805,9925,8011,6192,10511
PA14_45980,40,24,24,36,19,57,1151,1806,2322,2068,1440,2233
PA14_48500,102,73,63,89,51,171,17135,20068,25461,20531,15916,24263
PA14_48700,178,159,124,188,110,134,184,245,303,281,193,334
PA14_48800,3288,4075,2507,3614,2787,3041,488,566,744,667,531,768
PA14_49730,127,91,82,111,65,102,500,606,835,762,465,639
PA14_49880,199,216,142,261,148,243,429,587,813,749,452,557
PA14_50980,1221,1943,1141,1609,1119,1271,12,11,33,19,23,27
PA14_53200,671,779,439,858,514,815,142,188,253,209,139,205
PA14_55170,395,354,222,373,234,533,129,200,231,256,159,205
PA14_55890,27,22,20,20,23,16,153,210,272,225,192,285
PA14_56110,34,31,17,39,23,41,228,341,410,349,228,359
PA14_57160,57,54,26,71,43,53,77,88,156,141,95,124
PA14_60770,97,93,74,95,65,84,44,50,73,64,34,54
PA14_61300,592,562,355,659,374,720,38,59,83,80,57,69
PA14_61600,2114,2460,1746,3064,1676,2557,17,20,21,21,14,14
PA14_61860,224,217,119,286,139,232,10,15,36,15,10,25
PA14_62110,368,303,241,362,243,259,751,1043,1391,991,858,1221
PA14_62230,438,396,206,455,255,502,14,17,13,15,11,10
PA14_62380,643,647,352,606,368,591,183,259,499,347,308,405
PA14_66450,120,146,74,134,84,99,148,126,216,167,165,220
PA14_67860,52,60,29,45,37,45,1097,1756,2243,1664,1319,1935
PA14_68030,11,23,18,13,16,13,247,332,519,398,279,373
PA14_71570,297,202,173,266,151,218,1784,2123,3380,2827,1872,3219
PA14_72000,2215,2721,2102,2460,2199,1652,67,61,102,97,71,93
PA14_72090,49,22,13,40,17,58,7,7,9,5,8,4
PA14_73410,567,647,401,673,443,755,105,153,207,169,127,143
EBG00001225141,3,1,0,6,0,3,75,79,130,108,63,93
PA14_01830,366,310,233,366,226,270,581,720,1249,1005,767,1008
PA14_02930,10,4,8,3,3,10,10,15,8,7,9,10
PA14_04980,124,122,98,153,94,159,3,2,4,0,2,3
PA14_05110,221,141,88,188,103,128,7,8,14,9,10,19
PA14_05590,136,122,81,178,100,122,9,13,14,14,15,17
PA14_05775,1,6,6,5,1,2,96,141,171,179,120,155
PA14_05920,206,165,132,220,125,244,90,122,155,132,100,113
PA14_06190,222,155,96,186,98,161,275,334,396,464,302,340
PA14_07460,569,632,256,675,345,680,2459,2518,3443,2650,2039,3372
PA14_10070,14,10,16,8,13,10,1074,1162,1824,1465,944,1512
PA14_13430,41,31,18,42,19,51,523,690,930,806,599,929
PA14_13490,69,48,29,53,28,51,26,26,52,41,35,46
PA14_14130,115,82,66,106,60,78,44,50,71,86,53,50
PA14_14990,839,791,503,762,559,719,1,0,6,6,3,3
PA14_15600,447,486,366,432,368,435,143,149,195,194,158,188
PA14_20390,4,6,4,2,1,6,693,1028,983,999,835,1166
PA14_20680,649,507,320,616,309,484,55,66,63,78,48,84
PA14_21480,211,250,186,315,200,239,385,510,573,566,387,457
PA14_21730,183,187,127,232,145,205,70,68,111,92,64,125
PA14_22640,1512,958,539,1130,496,1120,84,82,95,108,83,103
PA14_23360,10752,14556,7762,14906,9372,13739,159,185,239,205,149,200
PA14_24130,223,151,126,194,109,325,24,35,36,39,27,46
PA14_25770,764,888,635,879,770,988,26,40,57,50,40,53
PA14_25970,407,283,184,360,178,292,152,186,265,189,169,348
PA14_26090,74,64,49,81,78,67,26,19,50,38,15,29
PA14_28460,701,556,306,759,287,864,233,318,365,360,296,350
PA14_28720,11485,12690,10838,14123,9099,17459,337,447,657,518,373,494
PA14_30450,912,776,718,901,609,789,181,267,356,310,201,257
PA14_37880,42,27,20,25,18,35,35,49,90,74,54,71
PA14_38790,53,71,43,54,31,67,1308,1725,2429,2204,1433,1642
PA14_40340,58,51,16,60,25,77,259,254,455,440,285,339
PA14_41590,818,1003,645,1114,578,1156,27,42,64,51,23,46
PA14_44140,482,394,181,419,184,899,4947,7405,8283,8217,6125,8043
PA14_45890,109,59,68,120,63,98,36,68,117,79,55,66
PA14_46150,212,190,127,203,125,170,202,219,258,263,184,301
PA14_47080,173,112,78,177,73,185,973,1509,2310,1775,1477,1974
PA14_50060,198,206,126,252,119,249,2,3,2,7,3,2
PA14_50360,201,221,141,238,146,147,4,5,6,3,3,4
PA14_50660,131,117,79,125,76,104,31,47,73,57,35,45
PA14_51630,43,39,25,46,30,56,731,896,1277,1067,933,1160
PA14_53050,478,431,389,466,505,587,4,8,5,12,8,4
PA14_53500,459,501,288,482,316,649,23,40,26,44,38,28
PA14_53540,67,79,46,67,44,65,23,32,38,31,19,32
PA14_55300,6,4,4,6,0,3,241,359,524,442,307,482
PA14_56980,805,732,534,807,500,1084,769,793,1356,1185,798,1194
PA14_57210,324,377,241,368,232,294,11,7,18,16,12,18
PA14_57870,292,341,237,321,194,310,2,6,14,18,9,5
PA14_57910,192,224,121,255,124,250,2,1,4,3,4,5
PA14_59920,49,51,32,43,39,79,45,65,145,88,90,122
PA14_60050,859,1111,670,1149,812,1085,82,105,182,163,93,156
PA14_60140,41,54,34,50,48,59,752,1285,1837,1307,1110,1252
PA14_60520,1979,2450,1691,2332,1894,1285,12,17,39,35,23,24
PA14_62900,496,619,491,531,526,355,132,191,211,179,163,164
PA14_63240,32,32,20,38,27,40,219,272,349,333,234,356
PA14_63840,66,58,41,59,34,57,60,45,79,73,53,84
PA14_65520,488,400,298,472,272,385,292,419,725,481,388,503
PA14_66990,31,37,20,39,14,24,36,59,74,67,56,70
PA14_68390,292,237,178,262,133,274,1836,2557,3305,2630,1956,2879
PA14_72820,142,101,112,137,112,169,426,509,600,571,398,508
PA14_01180,20,20,23,13,12,28,697,768,1171,1017,708,1139
PA14_01440,38,21,17,27,24,14,153,229,239,219,187,177
PA14_02640,74,63,46,70,34,64,106,161,199,186,122,208
PA14_03170,223,214,169,252,180,274,11,14,27,25,17,22
PA14_03450,804,683,452,929,575,731,45,58,100,92,59,79
PA14_04660,134,138,106,148,100,196,33,29,65,52,36,59
PA14_08000,1096,1179,806,1421,1026,1096,203,323,316,344,192,244
PA14_11260,141,132,91,168,93,167,5,7,6,9,11,5
PA14_11910,272,263,132,307,156,313,23,30,65,40,26,40
PA14_12650,31,26,14,25,17,49,7868,9874,13075,10378,7464,12059
PA14_12850,235,130,131,190,109,169,28,37,53,55,38,44
PA14_13300,16,13,5,9,9,9,20,19,32,28,29,28
PA14_14310,276,315,220,372,226,342,10,8,6,13,8,11
PA14_14850,373,453,218,454,250,505,93,104,182,148,106,103
PA14_15990,537,647,451,555,413,595,1906,2392,3422,2864,2039,2576
PA14_16040,123,137,54,139,85,147,14,19,30,15,13,26
PA14_16720,70,43,36,81,29,70,2101,2478,3391,3015,2156,3470
PA14_17710,7533,7872,5364,9379,5062,5521,14,17,23,19,22,25
PA14_18670,1604,2002,1138,2392,1240,1829,13,13,23,12,14,15
PA14_18750,967,885,542,946,551,797,53,46,94,84,52,83
PA14_19510,29,31,16,21,15,30,3,0,7,11,4,2
PA14_20640,19,7,8,12,8,7,43,51,64,82,47,52
PA14_21190,275,236,134,246,145,221,23,25,33,30,23,18
PA14_21300,190,154,53,200,50,320,22,29,44,38,18,28
PA14_21600,33,45,36,43,42,54,376,457,673,534,410,506
PA14_26300,3,2,0,3,2,5,7,21,28,13,13,21
PA14_26690,14,4,5,9,2,6,37,75,100,69,53,74
PA14_27020,228,172,107,207,104,168,90,94,141,146,90,127
PA14_27910,124,103,82,126,100,138,21,28,79,63,38,53
PA14_28120,161,134,83,134,80,141,49,66,78,70,46,62
PA14_28920,180,161,58,171,67,315,7,8,9,11,9,12
PA14_31450,319,256,160,323,179,196,165,187,217,190,174,174
PA14_32790,3445,3626,2724,3826,2823,4609,124,131,195,142,105,179
PA14_33060,57,39,39,48,20,141,73,85,112,88,68,96
PA14_36580,923,495,356,857,525,713,40,58,109,80,49,62
PA14_38000,10,17,6,13,3,10,82,98,122,100,71,112
PA14_39200,143,149,78,134,78,135,25,29,43,41,31,42
PA14_40800,58,47,30,51,28,96,48,47,65,53,40,53
PA14_42390,557,675,552,706,551,806,345,451,596,562,418,539
PA14_42880,54,37,43,51,27,102,22,17,24,17,15,22
PA14_43280,334,297,205,361,234,186,3262,4078,6640,4898,4013,6275
PA14_43320,82,101,66,104,79,112,2,2,5,1,1,3
PA14_43850,722,790,570,751,575,666,157,225,241,232,155,206
PA14_45640,851,827,551,896,552,688,136,145,192,176,119,153
PA14_46470,134,105,59,151,68,133,30,34,54,38,26,42
PA14_47730,32,17,12,27,12,13,10,16,37,18,16,20
PA14_48550,4,4,0,6,2,6,503,567,751,638,475,643
PA14_50880,1381,1995,1306,1707,1506,875,188,211,335,245,181,275
PA14_53640,14,4,7,14,7,14,113,153,244,202,118,164
PA14_54040,85,85,54,78,55,74,132,198,209,195,119,198
PA14_54210,492,518,300,507,289,456,1408,1806,2134,2189,1519,2097
PA14_54980,351,358,256,342,264,312,74,80,133,114,68,86
PA14_56160,27,25,11,19,14,21,266,261,476,345,272,345
PA14_57100,276,332,155,359,204,323,86,104,132,133,88,79
PA14_57240,144,115,91,178,99,135,13,12,14,14,8,30
PA14_57490,442,413,288,497,364,461,2036,2769,3673,3004,2343,3843
PA14_59270,86,67,48,91,45,104,424,545,692,583,516,713
PA14_59580,743,846,506,933,596,886,24,29,63,49,36,50
PA14_59910,57,114,51,95,71,103,122,139,212,165,124,159
PA14_62360,183,114,78,153,74,260,96,138,176,144,98,145
PA14_62660,263,216,118,209,127,229,281,370,533,450,345,499
PA14_64270,16,11,14,18,16,20,435,1011,1082,933,676,646
