,X3225B2.raw,X3225B3.raw,X3225B4.raw,WTB3.raw,WTB4.raw,WTB6.raw,X3225P4.raw,X3225P5.raw,X3225P6.raw,WTP4.raw,WTP5.raw,WTP6.raw
PA14_27800,135,96,68,98,63,99,474,468,833,621,576,947
PA14_30560,189,165,128,152,104,170,654,662,1478,1110,919,1282
PA14_30970,607,608,343,654,386,1050,1972,2524,3776,2859,2130,2720
PA14_32480,187,138,65,196,81,471,295,383,518,390,303,403
PA14_32740,66,62,44,82,57,84,44,51,94,51,52,58
PA14_34290,9,9,6,16,7,16,263,343,504,394,311,312
PA14_35370,255,189,163,194,188,88,8,5,9,6,2,5
PA14_35860,296,378,264,402,244,514,106,92,156,117,81,115
PA14_36910,973,745,479,859,565,561,829,1068,1424,1121,880,1079
PA14_37770,283,227,92,239,120,131,225,332,443,330,261,322
PA14_39020,50,42,35,54,31,89,1371,1634,2682,1990,1393,1904
PA14_39300,268,221,172,248,184,139,2145,3135,4848,4095,3161,4157
PA14_40440,100,93,62,129,60,135,232,293,417,314,242,304
PA14_41260,208,167,116,241,101,340,68,83,145,98,76,86
PA14_42140,370,231,187,420,194,357,267,308,442,326,260,346
PA14_42430,229,168,144,165,135,179,126,142,211,151,119,160
PA14_44350,29,41,29,62,33,38,13,20,30,35,20,29
PA14_44760,347,322,255,320,268,213,13729,14387,19478,14902,11468,17988
PA14_47110,265,269,118,323,170,315,25,30,35,26,23,23
PA14_47140,138,113,92,108,88,103,371,470,882,538,470,545
PA14_50330,201,228,176,201,141,196,82,96,155,124,68,103
PA14_52340,301,270,186,313,189,578,53,59,59,62,56,97
PA14_55040,34,33,14,43,33,35,48,50,66,53,43,43
PA14_58110,233,229,147,230,152,159,7,10,16,8,9,5
PA14_59570,5,4,1,5,3,12,721,900,1249,1001,664,1002
PA14_59710,51,63,35,67,40,88,64,74,115,92,84,126
PA14_63520,82,51,23,81,35,119,392,404,588,455,321,499
PA14_63820,344,283,154,339,190,705,302,301,479,376,246,371
PA14_65250,899,802,654,869,607,657,32,44,52,47,28,31
PA14_67400,339,405,225,353,233,282,268,364,475,445,372,449
PA14_72020,105,99,60,78,47,103,87,80,131,121,87,145
PA14_01550,182,134,108,181,81,113,19,23,27,36,23,32
PA14_03720,162,129,86,155,96,239,706,911,1167,1078,781,1289
PA14_04840,300,203,164,260,129,208,191,353,557,459,431,451
PA14_05030,47,44,25,51,30,73,159,207,333,328,242,241
PA14_05040,52,40,33,38,26,39,2,3,5,9,3,7
PA14_05330,336,368,236,384,282,485,152,236,234,222,163,157
PA14_05750,17,13,10,18,4,6,28,26,43,24,20,34
PA14_07910,92,105,53,124,67,126,3,6,13,5,5,3
PA14_08140,213,179,134,259,133,260,44,63,69,66,38,46
PA14_08200,192,179,127,270,118,230,32,26,41,30,22,28
PA14_09660,264,239,197,274,206,382,22,16,14,12,8,15
PA14_10840,120,109,57,106,50,93,4,6,7,9,8,11
PA14_18520,5,3,2,4,3,17,59,77,89,98,66,106
PA14_18810,352,294,235,362,299,420,18,31,38,26,36,56
PA14_19380,271,189,139,299,117,519,45,57,99,80,68,95
PA14_19870,6389,5844,3348,6248,3217,4798,568,547,855,736,579,980
PA14_22000,19,23,10,23,23,28,74,115,169,139,129,153
PA14_23200,342,359,265,363,266,234,81,95,124,115,71,78
PA14_24070,251,243,158,227,177,178,225,363,590,403,287,367
PA14_24190,86,98,56,91,55,61,59,64,86,95,67,90
PA14_24300,91,107,78,81,55,104,33,29,76,64,47,60
PA14_27560,211,247,159,260,193,308,147,180,284,231,173,303
PA14_28070,39,50,20,53,37,55,1855,2307,4134,3100,2572,3798
PA14_29470,341,284,219,324,186,249,61,67,82,102,67,84
PA14_29650,17,14,10,15,8,6,3,2,5,1,1,2
PA14_29710,368,306,186,417,173,769,88,116,120,139,131,121
PA14_32280,768,683,432,799,467,402,74,107,110,101,54,101
PA14_36540,62,43,30,70,35,72,211,230,362,321,272,330
PA14_36620,33,7,7,32,15,27,1041,1326,1621,1599,1054,1848
PA14_38510,250,185,130,318,135,247,89,90,132,109,99,161
PA14_40370,704,564,564,839,417,1315,167,208,323,247,188,200
PA14_41220,14569,16664,10213,15043,10689,12108,1,2,0,4,2,3
PA14_41690,413,353,223,413,243,658,66,73,89,83,51,64
PA14_46020,65,79,51,90,72,88,943,1091,1354,1365,939,1521
PA14_46860,21,12,7,8,4,16,134,127,188,182,147,194
PA14_48060,298,285,204,379,273,315,851,1280,1581,1268,971,1222
PA14_48420,676,507,498,810,414,824,218,291,492,306,253,361
PA14_50750,56,57,30,76,31,80,1919,2854,3969,2765,2222,3184
PA14_51000,654,615,465,787,620,701,6,7,12,19,9,10
PA14_51830,1866,1492,818,1860,970,3534,855,939,1436,1117,772,1120
PA14_52190,1060,1083,627,1046,650,822,369,525,551,546,358,389
PA14_53290,2746,3038,2621,3231,2134,1689,77,111,141,98,89,105
PA14_53530,113,134,80,139,58,89,40,39,71,63,58,63
PA14_53870,11,8,4,6,5,3,33,30,39,33,22,28
PA14_54850,202,314,159,261,217,396,108,130,170,184,120,172
PA14_56560,278,279,192,282,179,210,32,35,58,29,29,46
PA14_57170,244,244,133,314,130,331,419,502,780,595,436,543
PA14_59100,159,174,168,199,147,334,70,73,146,137,94,111
PA14_62100,212,232,153,281,177,279,472,451,705,597,501,769
PA14_63350,113,101,81,84,65,108,748,784,1146,926,631,931
PA14_63570,403,454,387,392,369,237,46,43,188,64,66,43
PA14_69300,261,250,187,277,192,391,19,22,43,43,33,32
PA14_72710,39,40,25,41,13,30,2294,2672,3342,3134,2332,4121
PA14_00700,34,18,6,13,6,19,71,58,100,115,69,90
PA14_01290,10696,12739,8474,10710,9193,8443,23,32,42,48,37,38
PA14_02110,34,30,20,31,13,23,203,285,488,375,311,429
PA14_04700,1068,1068,671,1024,711,822,144,155,191,166,127,149
PA14_05430,23,11,8,14,6,10,97,118,151,104,94,128
PA14_05450,34,17,13,33,26,30,192,233,297,246,186,227
PA14_07000,151,127,69,177,76,180,324,405,549,480,314,384
PA14_08970,861,869,550,943,559,1411,3879,4595,6114,4870,3521,5266
PA14_13770,9,16,11,10,7,8,302,460,551,432,353,426
PA14_19740,330,258,183,350,158,173,50,67,127,91,55,67
PA14_20240,155,97,81,153,76,223,112,90,197,158,119,207
PA14_20610,1935,1359,650,1412,767,1236,3,5,6,1,2,4
PA14_22530,13,13,12,16,14,26,1105,1467,1901,1786,1339,1913
PA14_22860,223,196,152,223,109,178,80,104,106,96,60,100
PA14_23340,13747,11398,9519,14808,8903,18017,899,1544,2485,1726,1201,1385
PA14_25195,480,421,283,584,266,595,8,10,16,10,5,8
PA14_26280,1381,1517,970,1625,959,926,41,64,111,67,59,61
PA14_31230,20,20,17,19,12,12,100,90,192,127,71,134
PA14_33120,291,275,174,258,164,242,45,59,63,50,36,56
PA14_34340,6,4,4,11,8,6,16,9,24,27,16,24
PA14_34600,130,106,82,127,78,74,777,970,1322,1213,925,1326
PA14_42890,17,8,11,8,10,7,277,349,507,385,280,378
PA14_44170,6807,8607,5020,9456,6028,9123,978,1338,2011,1495,1113,1427
PA14_45050,72,59,44,62,30,57,136,198,259,231,184,269
PA14_45290,54,63,33,46,38,42,63,68,92,91,63,113
PA14_45460,142,124,103,148,105,206,919,964,1702,1126,887,1333
PA14_45780,41,28,30,44,20,12,67,70,121,106,94,106
PA14_46060,80,74,49,107,40,112,4849,5698,8317,7074,5198,8843
PA14_46640,60,69,39,83,48,85,15,15,49,13,19,24
PA14_49640,113,99,61,95,64,79,396,462,638,563,321,501
PA14_49810,134,141,90,156,123,176,2209,2636,3803,2867,2171,3067
PA14_51170,165,139,118,139,109,126,93,131,183,147,106,112
PA14_52890,8,11,10,6,6,7,571,599,913,740,487,711
PA14_52930,367,264,240,330,233,762,85,90,153,145,112,128
PA14_55760,374,430,199,435,245,651,73,70,101,84,58,72
PA14_56690,156,163,54,197,70,355,71,107,110,119,101,120
PA14_56970,108,92,88,76,69,106,60,109,122,128,107,109
PA14_57030,144,127,76,133,69,104,96,132,219,156,108,139
PA14_57220,4350,4436,3343,5034,3389,6192,68,114,135,102,83,97
PA14_57410,472,412,287,433,286,342,197,271,434,347,288,395
PA14_57990,798,5404,445,928,641,667,369,456,699,521,395,495
PA14_63880,118,58,62,83,40,79,235,218,313,232,190,275
PA14_64840,83,53,45,95,36,112,66,63,113,108,80,100
PA14_65560,466,393,319,396,313,358,6,9,16,16,13,16
PA14_67300,153,174,109,159,100,128,322,373,535,492,288,355
PA14_67720,228,221,91,241,125,465,182,218,234,239,143,192
PA14_67750,120,152,67,133,108,183,514,600,781,694,445,622
PA14_72850,654,686,516,589,570,392,9,13,19,20,15,22
PA14_00360,47,41,29,41,26,30,12,10,21,10,9,12
PA14_00670,218,200,93,259,112,271,122,147,198,163,151,227
PA14_07200,855,688,456,876,478,1068,58,64,111,94,92,92
PA14_08300,3861,3699,2598,4806,3191,4222,92,110,136,154,92,150
PA14_08990,3492,4378,2337,4359,2835,5072,13,13,25,14,9,15
PA14_11650,63,63,36,87,38,83,28,20,31,44,19,41
PA14_12030,435,559,342,448,347,420,12,30,31,30,31,34
PA14_16430,1489,1677,1236,1906,1240,2159,19,25,41,22,22,24
PA14_17370,118,96,79,128,77,162,25,29,44,40,37,47
PA14_18090,45,68,34,72,50,68,30,44,64,60,47,63
PA14_18565,29,25,24,36,17,56,121,141,219,192,147,218
PA14_18720,210,223,133,198,116,193,96,98,89,134,103,112
PA14_20960,45,38,33,36,23,37,86,92,180,110,86,124
PA14_23930,826,902,635,924,648,458,37,36,58,38,29,43
PA14_24170,107,81,52,79,61,69,23,46,65,65,46,54
PA14_25000,669,643,331,754,412,827,5,7,12,4,1,10
PA14_26920,45,41,18,40,24,21,448,479,671,640,467,702
PA14_28350,330,353,235,401,285,433,1189,1523,2468,1787,1342,1717
PA14_28760,149,191,133,186,142,255,646,879,1242,1158,859,1102
PA14_28850,686,869,562,776,540,616,280,362,513,452,329,533
PA14_29020,309,319,204,409,264,342,859,847,1515,1155,727,1122
PA14_29510,53,60,44,48,46,39,69,86,1454,238,59,118
PA14_30020,2478,2877,1867,3257,2050,3394,7966,9588,15098,10488,8457,11762
PA14_30240,1175,1663,716,1648,948,1763,46,55,84,73,39,48
PA14_30400,310,198,136,363,104,546,48,45,53,65,46,67
PA14_31050,5003,6028,3995,6024,3840,3764,26,40,36,40,14,28
PA14_36070,92,101,59,86,54,80,67,100,114,92,70,87
PA14_36330,267,246,135,352,119,398,44,57,82,54,44,60
PA14_38140,1215,1424,692,1514,906,1603,103,120,197,185,111,192
PA14_40040,163,195,94,231,148,179,470,656,733,591,501,639
PA14_41250,2407,2542,1331,2726,1519,3362,3162,2989,4768,3562,2809,3880
PA14_43220,231,258,169,236,156,199,15,20,18,26,15,30
PA14_44670,2980,2915,2197,3106,2226,2036,464,548,899,662,460,657
PA14_45180,29,22,7,22,9,13,48,55,93,75,68,92
PA14_45610,1059,1050,669,1063,671,803,90,96,150,109,82,109
PA14_45720,234,203,136,215,162,136,8155,8937,14491,11416,9474,14417
PA14_46820,519,454,329,495,311,379,9,7,9,6,3,7
PA14_47390,398,346,189,518,273,346,48,59,72,69,59,88
PA14_48340,33,32,20,25,20,23,75,105,145,124,59,107
PA14_52465,36,33,23,39,26,58,15,12,25,16,7,16
PA14_53150,404,404,240,401,259,289,1033,1146,1718,1566,1145,1660
PA14_53160,159,136,97,149,66,133,89,99,156,135,109,158
PA14_54820,375,329,183,444,187,474,1702,2930,2965,3088,2448,3205
PA14_55140,7,12,5,11,9,18,122,151,170,157,118,125
PA14_55430,17,11,9,12,6,8,107,132,126,121,84,121
PA14_57290,764,938,621,834,624,664,25,46,64,39,29,46
PA14_57980,587,761,323,809,456,762,21,34,26,20,24,20
PA14_59350,313,348,227,332,217,253,745,892,1331,1058,678,1038
PA14_59960,127,144,90,132,113,203,15,24,31,23,16,16
PA14_60390,231,231,145,285,163,296,197,215,344,289,184,221
PA14_62520,67,50,33,72,30,118,10,9,13,19,15,12
PA14_62990,264,194,170,183,139,242,210,245,373,376,256,313
PA14_63330,108,90,65,102,71,57,167,177,293,272,186,272
PA14_64740,513,446,360,520,328,352,472,498,704,658,447,805
PA14_65860,422,345,242,382,239,294,198,209,311,226,190,242
PA14_68940,1944,1710,897,1882,1104,1077,402,473,701,512,415,538
PA14_69070,477,575,292,652,352,628,53,82,104,74,50,86
PA14_69230,3190,3702,2406,3472,2626,1954,1437,1946,2374,2034,1372,1987
PA14_70360,1397,1307,930,1444,992,813,13,9,12,3,11,8
PA14_71280,22,22,16,18,11,17,4,2,3,5,6,6
EBG00001225036,9,6,0,4,2,1,114,139,197,196,129,196
EBG00001225071,1,0,4,3,5,4,187,213,285,288,206,291
EBG00001225146,4,15,37,8,9,3,79,105,138,98,84,105
EBG00001225159,0,6,1,5,3,7,131,192,275,205,168,172
PA14_05250,117,85,54,94,57,73,1079,1311,1523,1516,1254,1619
PA14_07090,442,485,278,552,312,596,59,68,132,85,58,85
PA14_07600,100,132,55,104,63,86,404,622,1315,701,598,634
PA14_08580,1,5,1,7,2,6,644,697,950,709,560,867
PA14_15460,497,507,344,497,338,393,79,98,151,110,77,106
PA14_15710,205,104,99,171,78,91,390,478,756,552,407,551
PA14_15860,1564,1573,1185,1985,1247,1965,6,14,11,9,5,7
PA14_15880,86,61,38,75,46,38,584,442,475,576,506,931
PA14_19940,20,10,7,33,7,18,49,74,109,93,49,61
PA14_23380,4935,6949,3936,6996,4607,7367,16,9,19,10,6,16
PA14_23570,991,1211,1066,1208,1161,1850,98,115,58,69,52,74
PA14_24100,100,71,40,85,36,62,474,558,788,791,524,737
PA14_28770,1322,1569,883,1911,1105,1518,178,248,368,292,195,242
PA14_29690,76,44,41,59,27,51,167,262,284,261,191,188
PA14_32110,7,6,7,7,3,2,95,125,127,116,85,110
PA14_32670,38,26,24,39,15,17,9,19,16,18,6,8
PA14_32820,1102,1605,1209,1838,1453,1609,28,43,39,68,33,40
PA14_38440,2866,2953,2746,3911,2408,3959,115,167,212,159,126,164
PA14_38530,150,98,65,122,77,77,258,285,356,366,258,398
PA14_40910,252,175,130,198,101,202,19,21,23,20,12,17
PA14_41140,51,50,33,55,44,74,171,226,298,237,168,233
PA14_41960,159,175,88,189,93,290,6967,7485,10219,7903,6145,9199
PA14_42200,15102,18030,9462,18182,9727,11034,2753,3242,4520,3651,2462,3773
PA14_45790,146,139,92,137,92,106,38,52,97,53,59,41
PA14_46370,560,618,362,702,387,771,77,133,106,101,74,93
PA14_46550,450,672,451,684,443,791,888,1032,1394,1296,993,1424
PA14_47860,54,20,10,30,9,13,958,1160,1966,1694,1231,1647
PA14_47890,181,126,114,155,81,139,651,727,1068,904,610,774
PA14_49100,26,26,20,34,15,49,91,133,162,153,123,172
PA14_50410,88,101,76,75,81,70,36,63,58,79,56,56
PA14_52130,1551,2005,1040,1757,1179,1271,46,48,92,75,52,96
PA14_53140,6489,7716,6373,8407,5842,11037,94,178,163,123,124,119
