,0-1F_mapped_reads(6898436),0-2F_mapped_reads(6572494),0-3F_mapped_reads(6559324),6-1F_mapped_reads(6710899),6-2F_mapped_reads(6573316),6-3F_mapped_reads(6413258)
PA5202,190,220,187,223,149,206
PA0302,323,325,321,485,609,539
PA0615,432,499,484,437,565,597
PA1699,52,48,80,66,64,56
PA2888,306,394,247,4809,6930,7027
PA3720,141,157,141,246,265,228
PA1571,977,894,772,756,1216,1043
PA1220,91,105,87,46,70,76
PA1979,73,71,51,76,90,87
PA3444,37,59,20,47,53,51
PA1741,454,494,416,435,493,447
PA2614,1352,1132,1145,1237,1183,1117
PA0689,741,694,529,746,864,690
PA3878,1075,914,837,847,673,650
PA0320,58,47,56,68,49,43
PA0398,446,544,563,471,467,464
PA3002,2719,2392,2124,3091,2863,3087
PA5438,4289,4160,3335,4920,4053,4140
PA3461,338,339,251,304,338,420
PA2077,213,185,129,149,144,164
PA2518,71,75,76,71,71,73
PA2269,175,175,163,175,159,189
PA3874,216,171,169,181,167,181
PA1986,110,127,111,196,122,218
PA4999,824,743,783,834,869,745
PA0518,92,104,115,156,123,110
PA1229,276,143,167,257,210,220
PA3467,126,118,97,122,110,110
PA3053,200,222,219,243,322,262
PA0232,51,51,41,47,70,81
PA0465,284,252,193,188,227,220
PA3470,155,159,159,159,190,228
PA5329,754,756,629,593,648,590
PA4487,383,314,312,364,340,350
PA5389,148,138,114,146,146,161
PA3397,626,521,686,697,536,514
PA4251,7508,7277,6354,7118,7705,7145
PA4909,144,102,161,112,174,185
PA3708,3426,2825,2754,2926,2832,2682
PA3477,9932,10098,7328,5612,7021,6282
PA2477,243,207,191,147,134,208
PA3447,31,21,44,39,35,27
PA2462,2449,2445,2348,2411,2734,2677
PA3413,522,381,351,560,609,538
PA2218,237,192,219,191,232,214
PA4219,45,47,29,32,30,42
PA3624,715,691,791,976,980,878
PA2677,128,171,107,157,137,142
PA0703,195,152,186,149,159,131
PA2511,200,174,189,180,252,283
PA0229,158,175,145,170,221,215
PA1756,420,375,463,477,505,399
PA5185,197,215,172,215,233,225
PA4596,668,575,315,2329,1672,1995
PA2382,1764,1616,1673,858,881,857
PA3733a,953,974,1072,865,931,862
PA0273,33,53,35,43,42,51
PA4247,1247,1268,1402,1603,1498,1379
PA0950,799,915,1048,980,926,934
PA4234,1653,1568,1428,1830,1805,1666
PA1637,211,238,221,220,269,231
PA2356,32,35,25,36,23,37
PA3980,1038,988,1118,1200,1004,903
PA4664,796,721,908,916,788,842
PA1748,1074,1120,1045,945,801,769
PA4223,113,108,113,116,150,148
PA3348,3027,2799,2756,2180,2461,2658
PA4143,778,826,712,459,439,449
PA4802,18,28,41,25,27,21
PA5113,422,405,454,409,335,397
PA3692,1995,2047,1606,1948,2094,2151
PA4331,418,439,450,477,373,462
PA0392,497,424,400,645,558,593
PA0284,44,35,26,37,42,19
PA2002,594,701,667,674,775,746
PA5183a,890,734,567,948,935,773
PA3859,716,614,537,967,1046,1023
PA0274,44,49,27,50,32,35
PA5261,9203,9058,8962,6758,6343,6621
PA5427,12345,10851,7127,10306,7405,8335
PA2804,32,47,45,42,25,38
PA0496,142,129,131,125,146,164
PA1001,1932,1883,1965,269,265,250
PA4790,148,127,134,208,212,177
PA4254,1016,896,776,1013,1113,1021
PA5002,821,865,920,984,975,932
PA3084,766,783,628,763,641,682
PA4530,110,116,138,128,128,127
PA1324,455,459,390,422,500,532
PA4106,83,96,81,112,119,130
PA3995,544,455,435,352,370,423
PA3730,54,43,56,81,47,74
PA2547,100,98,114,114,83,97
PA5433,231,215,222,200,136,191
PA3195,724,664,610,599,649,733
PA1583,10283,8598,8849,16958,13476,14174
PA2446,7516,6294,4419,5358,3900,3359
PA1991,411,389,332,561,557,631
PA2189,112,83,54,96,111,88
PA1200,894,812,969,1033,1115,1187
PA5405,55,70,81,69,58,56
PA5394,403,477,472,479,437,418
PA0995,829,894,720,796,817,724
PA3173,743,766,745,812,855,796
PA4720,659,581,657,525,484,509
PA1927,248,185,173,168,194,209
PA3387,129,137,182,111,127,108
PA2815,6589,5830,5391,5542,5739,6557
PA1304,425,455,371,553,592,573
PA3019,1821,1728,2127,2015,1664,1659
PA4559,751,832,886,735,942,863
PA4307,762,683,781,1013,1102,1011
PA1279,343,304,328,316,257,344
PA0764,5882,5904,6978,5338,4111,4037
PA1444,1025,1030,1145,1189,1166,1264
PA0851,472,464,447,625,519,691
PA0446,1727,2025,1493,2976,3037,3038
PA3530,92,132,120,106,122,110
PA3550,39,39,53,26,17,27
PA1406,158,168,106,133,170,184
PA4385,16977,13587,10963,15020,15928,15606
PA4298,31,31,36,30,31,54
PA5252a,1328,1276,1005,1595,1514,1706
PA3860,900,1062,1017,1605,1952,2074
PA1403,105,84,86,93,97,75
PA3044,333,301,291,291,258,281
PA1534,454,430,361,464,390,341
PA0014,106,110,135,121,116,105
PA0336,2146,2334,2379,2327,2246,2136
PA0251,93,90,67,65,119,100
PA1994,346,380,360,329,355,365
PA0913,1805,1625,1740,1638,1318,1343
PA0487,397,379,413,400,439,497
PA3525,3865,3606,4004,5125,4604,3497
PA4843,3759,3495,3454,3227,4082,3953
PA3228,1313,1186,1168,1297,1348,1185
PA0239,152,120,134,114,163,135
PA4288,84,99,89,140,126,97
PA0481,121,138,104,135,136,104
PA0767,2676,2797,3350,2777,2689,2227
PA3092,485,474,364,872,876,863
PA2591,3162,3230,2699,2486,3572,3470
PA4676,992,846,683,795,716,742
PA4441,566,475,398,567,436,526
PA3005,1207,1080,1136,1258,1188,1098
PA4397,173,138,118,199,158,166
PA4719,662,643,663,563,581,472
PA0327,325,257,220,265,224,197
PA1042,67,72,81,86,111,75
PA5026,249,202,130,223,325,384
PA5456,489,531,527,575,723,572
PA0241,83,62,63,63,54,71
PA2142a,122,92,39,46,94,85
PA3321,259,248,215,379,324,340
PA3941,289,231,299,320,219,266
PA4394,1789,2128,2525,1952,1490,1546
PA3233,945,1239,1423,1450,1698,1999
PA0416,706,767,644,721,529,526
PA3104,3091,3095,2573,3008,2715,2868
PA3191,245,234,237,196,280,272
PA3310,2203,2163,2095,1368,1263,1146
PA0811,551,591,414,442,475,582
PA1079,655,725,1071,661,839,754
PA4275,13028,12701,16739,12196,9671,8981
PA0213,272,321,327,490,700,1065
PA1178,2950,2382,2072,1862,2948,2671
PA3453,266,261,319,311,287,283
PA5171,3398,3227,2690,2235,1975,2078
PA3967,174,158,150,118,91,74
PA0002,2473,2066,1825,2915,2942,2656
PA4854,1095,986,1098,1046,1008,999
PA5506,109,167,161,157,91,85
PA4836,44,48,44,40,44,40
PA3432,240,218,283,137,56,67
PA1316,515,398,336,371,297,312
PA2483,1682,1408,1257,1451,1651,1907
PA0122,1572,1647,1189,713,1272,1193
PA4579,407,395,398,517,530,520
PA3319,210,149,183,198,187,212
PA2034,141,93,110,100,120,144
PA5463,126,137,116,165,131,105
PA5018,880,914,762,810,1006,919
PA5288,6472,6520,6564,6245,6960,6666
PA5088,180,151,157,154,164,107
PA1141,193,182,144,245,287,250
PA4403,14641,13520,13459,13555,14410,12401
PA2704,182,202,170,261,326,284
PA1837a,771,697,443,458,699,732
PA3247,1279,1233,1408,1356,1356,1265
PA0473,303,378,231,268,415,404
PA4015,340,302,226,264,309,309
PA1157,507,484,657,694,497,525
PA0064,456,423,408,435,467,501
PA5057,795,859,777,511,662,633
PA4062,349,290,338,358,314,434
PA3275,281,285,239,219,224,296
PA2851,10164,9546,11188,10323,6851,6406
PA1171,870,765,763,938,908,956
PA3375,26,36,32,39,30,40
PA4029,1022,1042,908,937,773,711
PA4423,1257,1224,1438,1831,1654,1647
PA4636a,91,71,55,82,91,91
PA4165,402,386,350,430,418,412
PA1287,1215,1237,1108,996,1230,1077
PA3112,2573,2459,2612,2397,2493,2180
PA5238,538,436,441,529,525,478
PA0222,41,20,27,23,43,29
PA3823,792,772,972,919,765,641
PA4890,207,201,253,158,104,120
PA1907,291,188,167,167,100,164
PA4994,242,162,149,142,176,193
PA1362,30,29,31,22,32,24
PA2090,38,51,43,35,30,52
PA0260,591,572,570,589,563,428
PA5061,599,584,543,680,812,786
PA2111,9300,6056,10290,12006,2948,3629
PA1112,887,958,848,752,887,804
PA1847,3416,3405,3438,3113,2843,2584
PA4031,2582,2241,2355,2317,1813,1632
PA2723,132,129,112,211,241,229
PA1369,144,169,200,188,200,185
PA0134,1144,1038,1124,830,780,892
PA1725,88,98,104,154,101,121
PA3844,422,515,410,337,499,510
PA2501,1043,901,760,1616,1940,1784
PA2099,43,66,35,60,44,39
PA0191,101,105,88,67,70,70
PA5372,1035,833,1220,895,603,573
PA1388,133,125,112,107,101,105
PA0378,686,553,697,778,467,535
PA2914,191,186,193,172,154,195
PA0086,221,258,209,265,240,302
PA0058,109,79,90,75,82,100
PA1617,1352,1458,1227,3671,5638,5923
PA3906,82,71,71,71,66,76
PA2976,4315,3907,4341,4104,3504,3584
PA3598,147,126,103,103,75,91
PA2188,120,110,69,69,75,72
PA1684,298,241,238,328,300,292
PA2447,62,75,75,117,139,121
PA4155,29,32,21,28,50,40
PA0804,599,601,522,569,664,775
PA1197,522,425,489,400,352,349
PA1890,535,550,618,628,593,584
PA5523,588,579,620,1340,1300,1151
PA4338,512,486,443,576,737,733
PA4040,714,708,713,676,629,617
PA0287,94,89,75,94,83,86
PA1954,64,87,59,64,45,52
PA4466,800,660,820,717,729,550
PA3699,394,419,341,485,443,454
PA2003,6482,6697,6787,8297,8477,9104
PA5023,374,365,305,348,342,315
PA4311,2063,1720,1500,1104,1169,1232
PA4934,1335,1253,1529,1316,1238,1063
PA4861,66,42,34,46,36,32
PA4497,410,439,494,443,633,550
PA2665,1463,1241,1027,918,935,1134
PA4573,1190,1043,627,391,669,744
PA0733,92,94,99,90,94,66
PA5062,427,381,491,522,483,442
PA2747a,208,225,247,262,226,251
PA0538,631,511,442,642,511,432
PA1937,71,56,101,69,72,63
PA1332,997,859,837,1474,1056,1254
PA3499,34,18,36,36,32,21
PA4915,2432,2314,1614,1208,1796,1812
PA4000,3240,3182,3485,3711,3570,3402
PA3676,1743,1752,1628,2449,1900,1791
PA0679,99,92,91,96,79,135
PA0576,12101,11306,10964,9789,8789,7912
PA2314,109,68,57,47,77,97
PA2692,431,475,471,564,448,422
PA5477,713,628,771,512,430,416
PA1246,3362,3692,2813,2852,3661,3823
PA1515,355,361,377,300,260,232
PA4693,1320,1403,1737,1716,1430,1393
PA3283,87,67,61,70,85,88
PA2965,2320,2244,2497,3056,2559,2412
PA2795,700,630,854,695,528,549
PA3058,145,128,101,93,114,136
PA4128,1987,2084,1403,1226,1779,1870
PA1231,39,30,38,37,29,41
PA2057,166,151,131,145,163,186
PA1033,221,222,152,260,246,229
PA0757,264,309,362,456,376,376
PA4221,241,233,200,291,362,265
PA2986,782,779,863,1008,802,794
PA5292,281,257,267,336,357,397
PA1075,481,449,506,488,405,433
PA0726,106,117,77,113,162,166
PA2017,462,406,378,441,466,506
PA4196,175,128,123,129,127,109
PA4407,3698,3524,3563,4362,5561,5385
PA5552,1081,1042,1001,1054,1003,1049
PA3082,964,883,1037,772,644,521
PA3428,38,37,24,24,22,24
PA2351,58,81,86,59,63,64
PA0126,68,59,66,73,72,53
PA2027,13,16,18,18,30,33
PA4419,532,525,555,400,517,429
PA4484,848,775,719,1031,1276,1193
PA0364,323,359,256,3219,3536,3249
PA4127,544,513,473,322,492,471
PA0782,3398,3280,3503,3565,3352,3243
PA2491,16220,15426,13316,18415,21246,20416
PA2610,584,509,388,520,558,566
PA2744,3458,3544,4381,4082,3641,3069
PA2973,1212,1258,1555,1544,1418,1105
PA2176,481,451,337,333,344,437
PA1428,175,178,179,175,118,151
PA2811,442,371,383,643,828,647
PA2648,1326,1113,1113,1568,1568,1552
PA0957,287,214,186,390,401,377
PA0295,744,597,489,801,710,611
PA1039,366,304,292,348,359,370
PA2107,83,66,71,80,67,78
PA0348,183,219,177,220,206,231
PA3077,303,278,232,282,226,261
PA1381,36,33,44,34,32,51
PA4182,1120,1249,1766,949,822,737
PA5268,242,284,275,289,380,286
PA0316,1648,1571,1630,2010,2057,1722
PA1630,123,141,189,194,157,182
PA0799,1110,1190,1233,1325,1207,1233
PA4049,820,694,562,609,592,729
PA5165,1142,1151,986,961,1135,1021
PA1873,251,298,256,233,237,209
PA0745,1550,1994,1296,1330,2086,2123
PA2124,245,198,170,176,126,191
PA5216,396,428,399,403,369,414
PA0077,289,265,247,263,266,308
PA0435,110,103,122,118,114,126
PA3537,534,512,581,577,428,414
PA0523,94,50,39,68,85,77
PA0026,1115,1176,717,743,924,795
PA3558,32,38,34,22,17,31
PA5248,641,685,604,714,828,701
PA4774,147,136,85,104,104,101
PA1574,548,545,599,449,419,342
PA3881,177,157,163,184,176,191
PA3506,70,67,60,89,58,76
PA4537,152,190,183,178,148,135
PA3709,577,620,562,484,730,703
PA5255,2421,2623,2217,2674,3219,2772
PA3221,207,258,251,256,340,363
PA1820,735,773,659,592,655,712
PA3655,3913,3499,4182,5084,3880,3313
PA5043,1563,1368,1771,1283,796,613
PA2948,93,80,102,104,104,87
PA2237,755,665,679,720,687,745
PA1660,379,335,376,331,276,217
PA3803,2317,2243,2384,2318,2218,2241
PA5311,293,321,255,480,411,475
PA3714,91,64,63,58,56,52
PA2985,648,666,605,645,535,448
PA4528,3008,2383,2945,2616,1708,1299
PA0367a,464,338,339,770,828,849
PA1016,248,231,245,244,260,319
PA3641,872,755,839,816,899,765
PA4115,2532,2237,2008,1859,1784,1708
PA3492,260,259,247,317,262,270
PA4202,436,452,364,406,363,424
PA1012,714,750,646,971,1084,990
PA5199,779,891,919,1102,1062,997
PA3544,61,51,72,43,68,88
PA1084,817,730,981,990,824,956
PA2273,248,289,170,279,289,344
PA1584,2113,1659,1854,2789,2342,2364
PA0059,1636,1745,1496,1696,1957,2307
PA4548,892,889,1003,1540,1279,1191
PA2997,750,679,566,574,653,765
PA1837,248,216,231,240,144,229
PA4733,665,664,537,690,894,840
PA0829,123,105,106,103,89,110
PA5095,414,505,418,478,499,475
PA1599,86,94,116,108,110,109
PA4914,137,140,113,111,159,131
PA2764,330,314,343,380,488,509
PA4322,338,249,184,267,323,341
PA0777,96,106,90,68,55,59
PA5153,931,988,706,960,1394,1347
PA3985,452,486,567,521,492,530
PA5468,187,201,151,195,189,196
PA2203,22,10,22,19,20,11
PA1953,118,136,94,80,93,108
PA1413,217,218,225,239,179,239
PA4195,63,59,59,45,61,42
PA0756,218,194,228,220,217,203
PA0655,5887,4926,4081,4766,4189,3646
PA4611,7569,6888,6971,9456,8851,7991
PA4952,2083,2038,2556,2223,2069,2086
PA3320,51,36,46,90,56,64
PA1095,6204,5378,5713,3909,3792,3570
PA4194,136,122,78,143,95,98
PA5399,190,202,178,202,171,190
PA4777,194,119,128,152,166,143
PA2500,2538,2313,2478,2198,1249,1495
PA0353,1428,1379,1270,1581,1644,1728
PA0218,164,147,131,187,137,142
PA0137,60,70,72,69,58,60
PA2887,179,143,139,2697,3840,3815
PA3414,402,362,417,321,272,405
PA3900,85,91,79,75,70,73
PA1212,81,73,85,49,94,71
PA1432,9313,10088,8021,7651,10043,9293
PA4948,379,382,416,467,471,409
PA3936,49,66,44,54,51,57
PA0047,209,148,248,235,181,192
PA0909,37,34,36,34,24,18
PA2716,300,273,217,296,286,356
PA5115,333,240,206,201,210,236
PA0175,392,396,383,251,321,395
PA2602,67,68,50,105,99,56
PA2576,494,420,381,432,370,369
PA4459,749,643,679,651,777,637
PA2224,423,461,507,167,172,209
PA3948,1292,1136,1060,1124,1025,892
PA0975,790,745,983,732,667,535
PA1295,86,74,92,129,95,95
PA4458,1727,1734,1997,2029,1842,1745
PA5296,1393,1312,1729,1556,1172,1027
PA3882,192,145,116,175,209,192
PA1622,399,454,311,775,1011,1090
PA2067,631,816,412,234,443,584
PA4742,1477,1332,1538,1381,1173,1157
PA3606,295,285,237,305,227,274
PA2421,43,38,42,26,44,42
PA4620,186,218,327,317,192,141
PA2992,394,337,331,404,441,380
PA0025,590,572,529,726,560,625
PA1352,71,48,65,62,44,71
PA2423,1604,1681,1067,1010,1138,1226
PA2400,721,688,593,659,684,703
PA2719,185,184,151,205,159,213
PA1511,487,448,408,443,383,455
PA1484,286,260,305,295,359,330
PA4644,322,268,290,274,229,254
PA3585,65,56,61,56,53,58
PA4181,506,533,784,323,230,220
PA3613,5814,4958,3918,5038,4271,5164
PA0015,306,363,337,398,386,394
PA0750,206,250,171,230,260,180
PA1497,102,70,68,81,84,78
PA1450,225,174,248,221,171,148
PA3025,560,549,522,565,577,658
PA3394,138,136,115,59,69,73
PA3038,592,777,682,1279,1886,2098
PA4166,43,36,37,26,33,27
PA5338,4667,4878,5743,4875,4374,4046
PA3357,317,280,233,360,396,378
PA3795,876,840,607,911,935,807
PA2947,33,40,45,29,41,72
PA2044,635,605,615,879,927,873
PA4680,157,209,207,95,138,157
PA1563,971,946,1020,1105,1023,964
PA0637,135,115,117,112,96,113
PA4473,1357,1411,1354,1280,1211,1241
PA1921,104,119,88,156,71,107
PA4679,464,514,560,474,478,444
PA4414,3938,3847,4181,3348,4327,4089
PA1475,1065,881,1205,1212,829,783
PA2685,444,480,461,587,429,516
PA2342,65,71,64,69,49,53
PA5371,4170,3645,4190,3499,3235,3095
PA0589,209,223,179,182,231,187
PA2847,224,229,200,198,192,196
PA2651,1444,1717,1838,1642,1450,1473
PA4658,224,204,225,171,162,165
PA2321,61,53,39,30,36,52
PA3308,1427,1425,1688,1642,1391,1432
PA3061,45,50,46,60,43,57
PA0459,8524,7814,8134,7972,6140,6094
PA4153,102,108,86,91,72,99
PA1136,504,530,681,723,646,665
PA0450,130,170,155,169,168,144
PA5417,6,15,2,12,15,6
PA2631,1344,1192,1492,1659,1538,1569
PA1121,789,760,755,701,757,703
PA1255,28,27,35,42,56,40
PA2330,1055,1107,723,944,1236,1673
PA2628,256,245,209,262,280,219
PA3264,174,165,151,163,186,175
PA4935,4160,3834,5064,3504,2650,2449
PA4266,11760,10025,11911,16231,15305,12930
PA4439,1140,1081,1198,1418,1317,1351
PA4329,1451,1335,1283,1520,1547,1501
PA1359,265,208,208,221,202,212
PA5350,145,127,87,158,180,158
PA3124,483,599,524,520,573,584
PA5359,2877,2868,2336,2423,2720,3214
PA1087,2729,2307,2171,2529,2627,2477
PA4132,9220,8405,6358,6556,8847,8998
PA2303,741,922,608,498,711,785
PA4618,1074,1022,1157,1181,878,1089
PA3719,23,25,17,33,26,27
PA2250,2991,4789,4617,4073,6100,6594
PA4663,678,761,643,708,746,784
PA2133,83,68,56,72,66,58
PA1048,3616,3264,3838,3902,4410,4455
PA4550,894,973,715,934,754,577
PA3033,319,378,431,359,371,342
PA2915,639,516,504,650,570,584
PA5163,2201,2412,1876,2108,3460,2945
PA3511,27,39,24,31,21,17
PA4357,147,279,97,136,247,298
PA4582,488,419,358,316,317,316
PA3782,769,658,705,791,658,692
PA1590,1599,1777,2421,1937,1891,1582
PA1642,2629,2688,2902,2394,2445,2311
PA5300,8828,8346,11142,7998,5749,5870
PA4894,48,51,57,60,68,56
PA2430,357,329,415,326,287,369
PA1592,11640,10769,10437,11913,9721,9356
PA0788a,303,277,180,321,323,261
PA0032a,272,286,307,344,389,376
PA1850,231,189,189,243,250,286
PA2755a,392,403,306,400,494,462
PA0852,6306,5620,3635,5011,4959,4837
PA5540,61,75,74,90,72,73
PA4652,221,146,160,157,181,194
PA0901,1356,1269,1190,788,869,890
PA1812,2105,1783,2165,2978,2498,2011
PA3568,920,1232,878,969,2205,2008
PA2050,21,11,22,37,34,20
PA2781,146,135,137,125,136,121
PA1959,272,270,361,317,166,154
PA1345,288,276,286,272,279,323
PA4452,661,633,770,677,720,741
PA5101,895,645,604,476,478,660
PA1541,44,50,47,200,90,76
PA4716,468,411,429,451,458,449
PA1832,1529,1489,1406,1567,1553,1528
PA1786,113,122,160,132,103,93
PA2652,1762,1608,1718,1706,1719,1615
PA4440,872,942,785,978,868,1001
PA5348,1346,1624,1638,2091,3563,3035
PA1529,2519,2452,2558,2209,2163,2042
PA0512,147,138,103,182,92,92
PA3911,356,299,268,401,244,247
PA3366,5742,5226,4942,6339,7034,7278
PA5566,94,104,69,137,86,89
PA3408,162,188,160,152,185,163
PA1737,618,502,409,490,602,576
PA4757,819,663,894,1275,816,759
PA5515,720,828,970,859,577,639
PA0668,4863,4439,5591,3098,2995,2789
PA0186,230,201,160,172,161,145
PA5142,1153,1198,1274,1248,1470,1398
PA0792,639,642,553,601,828,821
PA3153,920,974,1340,916,875,692
PA2980,164,136,129,164,211,166
PA3800,2330,2124,2164,2832,2639,2624
PA4964,1384,1579,1281,1299,1644,1494
PA5001,922,897,895,1020,1108,987
PA2260,194,169,243,94,44,67
PA3916,326,344,287,256,220,322
PA2531,128,134,105,106,105,71
PA5020,320,302,264,259,362,377
PA5217,206,293,207,381,385,387
PA3168,6662,6259,6483,7117,6465,6153
PA0648,147,155,133,121,163,139
PA5271,1623,1765,1516,1451,1747,1858
PA0841,107,74,71,102,130,155
PA2149,24,18,10,11,15,29
PA2290,815,870,834,752,919,927
PA2167,331,357,334,298,276,301
PA0697,21,6,11,14,31,15
PA2283,86,78,91,78,116,68
PA1829,741,653,620,942,768,644
PA2521,134,129,96,109,141,152
PA0067,2449,2065,1740,2801,2908,2916
PA0577,1329,1223,1229,1361,1395,1372
PA2796,1037,1131,902,1376,1700,1529
PA4510,243,263,262,241,286,267
PA0943,1046,924,943,1091,1223,914
PA4541,1512,1363,1105,1307,1603,1608
PA0480,142,123,97,128,129,125
PA0826,267,310,260,307,359,420
PA3746,1875,1963,2507,2413,2413,2141
PA1127,1014,1034,906,1051,1102,1128
PA1507,301,253,277,386,349,347
PA1467,170,188,157,206,220,231
PA0877,428,458,405,344,348,356
PA1769,2468,2216,2477,2621,2591,2390
PA3726,273,263,265,173,144,136
PA4761,11828,9297,6782,6630,7528,7715
PA2375,363,321,249,242,272,312
PA3634,336,279,305,402,619,447
PA4280,424,363,479,411,405,402
PA3667,1042,938,768,693,646,713
PA0306a,1949,1806,1342,1585,1860,1616
PA4879,1355,1441,1287,1202,1300,1311
PA1451,148,119,125,134,140,123
PA3586,193,133,199,254,162,210
PA0419,550,499,515,434,419,464
PA0308,456,578,635,757,671,667
PA5455,829,850,831,1218,1314,1095
PA0403,519,471,420,596,475,454
PA1469,311,378,328,428,385,432
PA2585,1434,1335,1696,1341,1254,1180
PA2439,358,360,381,255,286,344
PA0184,42,65,48,38,35,47
PA1117,572,513,335,380,297,235
PA5315,2277,2277,3495,2560,1730,1614
PA1788,880,878,847,619,539,505
PA2882,112,101,100,150,108,113
PA4056,2695,2845,2939,3876,3338,3921
PA3833,96,125,105,110,114,140
PA0627,34,58,46,32,34,58
PA4073,105,89,79,85,122,117
PA1740,334,293,247,219,247,250
PA5134,1192,1322,1107,1568,1765,1581
PA4825,270,237,179,212,224,260
PA5243,10009,8801,7969,9875,8759,7806
PA2753,3105,2750,1694,2060,1832,2070
PA0382,817,906,1150,1087,879,870
PA1759,2631,2714,2710,2502,2966,3091
PA5424,2109,2239,2014,1620,1569,1832
PA2827,1269,1359,1081,1236,1646,1582
PA3814,1349,1290,1338,1665,1699,1381
PA0895,1606,1656,1185,1159,1629,1718
PA2873,1059,1128,911,1030,1098,1110
PA1103,2110,2043,2471,2210,2104,2108
PA1840,571,619,646,608,483,424
PA2729,57,60,44,33,42,43
PA2554,1177,1612,1624,1324,1467,1824
PA3435,482,469,496,527,554,559
PA5074,519,421,493,577,575,621
PA2154,91,89,81,71,105,109
PA4712,380,365,344,348,344,314
PA3898,402,384,354,516,426,386
PA1053,16260,15092,16574,11810,10802,11883
PA1167,641,649,673,506,457,568
PA4786,1104,1097,965,1081,1225,1382
PA5013,2175,2370,2296,2398,2695,2442
PA3572,3167,3100,1687,2789,2753,3013
PA4341,140,130,122,149,207,218
PA0208,2946,3879,2336,3869,4744,6340
PA2699,211,187,194,182,175,248
PA2142,349,268,200,167,185,207
PA5493,1873,2032,2097,2280,2228,1854
PA3981,1462,1408,1283,1418,1692,1548
PA1502,147,176,166,128,193,169
PA4925,388,368,247,228,282,302
PA0263,12,12,14,18,12,12
PA3735,887,909,746,948,998,1050
PA4083,19,17,29,18,22,26
PA3478,5287,5144,3822,2880,3459,3361
PA1816,1219,1325,1400,1402,1456,1572
PA4284,3244,3234,3106,3113,2943,3283
PA2415,157,121,128,86,66,138
PA1525,191,195,141,193,307,251
PA3812,357,335,349,392,509,405
PA5487,5427,5177,5502,6004,5302,5262
PA2268,141,128,106,128,136,151
PA2117,7020,1474,5279,7561,1740,1889
PA1375,969,1107,1075,1294,1058,1208
PA2710,235,237,188,348,397,369
PA3557,36,34,36,29,23,32
PA3211,939,821,905,1128,1218,1057
PA1459,3257,3059,3201,2835,2671,3022
PA2278,101,88,62,90,120,106
PA3291,23,30,26,22,28,44
PA0106,271,277,242,247,335,347
PA2898,23,30,22,31,37,37
PA2738,8850,8004,7603,9867,10690,10214
PA5129,164,163,198,142,128,110
PA1276,216,213,245,260,210,202
PA4941,4935,5174,4655,5634,5472,5488
PA2746a,648,693,520,797,857,976
PA4803,255,192,252,277,321,364
PA0539,206,166,209,168,107,159
PA3682,275,282,258,269,301,377
PA1436,727,634,590,603,608,749
PA2414,528,555,540,392,462,482
PA4867,259,255,166,220,253,253
PA4348,6863,6166,6435,8557,5605,5344
PA0093,209,166,160,162,179,103
PA3403a,261,238,252,240,218,210
PA2788,11043,10685,11167,8040,7464,7971
PA2271,201,148,171,219,229,223
PA0986,32,33,41,29,16,12
PA4978,194,147,119,146,166,189
PA4438,1263,1451,1765,1694,1391,1264
PA1606,69,98,66,87,103,81
PA3018,255,249,236,223,225,211
PA1864,95,57,68,117,80,143
PA2560,52,64,49,51,42,49
PA0690,2364,2284,2138,2416,2506,2478
PA3752,236,230,248,206,234,247
PA2476,299,263,270,245,291,256
PA4350,1521,1621,1266,1175,912,972
PA0716,1064,1121,1402,1560,1429,1215
PA4347,890,666,644,879,721,762
PA0165,127,122,104,82,100,97
PA4569,1639,1497,1820,1598,1315,1240
PA0033,145,140,132,157,166,164
PA4107,22,17,32,42,32,14
PA4799,72,68,61,55,63,52
PA5126,199,204,214,227,239,220
PA4870,386,324,266,415,516,472
PA1041,11034,10323,9120,9135,13451,15828
PA3420,236,208,243,208,188,229
PA3526,4839,4499,4919,3566,2873,3320
PA4297,408,330,289,358,340,303
PA1305,1535,1318,1469,1407,1139,1147
PA0996,3076,2763,3285,414,188,185
PA2078,152,169,159,156,119,161
PA0565,399,333,269,290,339,349
PA4498,544,571,495,522,729,547
PA5226,615,627,582,837,915,792
PA5104,629,610,479,653,580,617
PA3546,47,61,56,39,58,44
PA0645,130,116,77,105,150,104
PA5170,12428,11971,5075,5204,7215,6925
PA5505,752,653,682,884,798,616
PA0001,4026,3979,3768,4265,3909,3658
PA3504,221,199,185,172,184,196
PA2611,1922,1765,1900,2094,1753,1879
PA3234,872,1178,948,2143,2830,3433
PA3531,27889,25878,28824,27484,27712,25169
PA5444,432,327,247,270,358,306
PA3258,695,576,678,721,763,639
PA5172,2537,2153,1984,2034,2124,1924
PA3744,4450,4034,5814,4123,3627,3186
PA0407,9149,7517,7778,8622,6640,6309
PA4860,41,32,24,53,42,40
PA0850,211,204,243,468,562,545
PA4721,371,293,329,399,466,491
PA1815,341,346,343,399,363,343
PA2381,8262,6290,3907,6189,7299,6709
PA0212,493,624,550,734,1311,1834
PA1995,398,383,334,424,494,492
PA0415,1268,1025,1008,1210,1058,956
PA4955,1164,1247,1051,1243,1138,1143
PA2963,1084,888,945,1130,953,889
PA4228,44,38,39,42,60,59
PA3867,244,233,209,247,250,217
PA2056,73,97,72,84,85,95
PA3105,3198,3118,3161,3338,3242,3369
