,0-1F_mapped_reads(6898436),0-2F_mapped_reads(6572494),0-3F_mapped_reads(6559324),6-1F_mapped_reads(6710899),6-2F_mapped_reads(6573316),6-3F_mapped_reads(6413258)
PA4555,371,289,332,356,309,284
PA0504,200,202,258,223,207,198
PA4110,228,191,183,194,250,242
PA1925,11,24,13,9,17,12
PA0195.1,143,104,159,85,116,75
PA4961,1834,1766,2100,2048,1763,1718
PA5184,446,627,535,539,534,610
PA3890,133,110,88,105,137,133
PA3296,63,54,66,60,50,55
PA0938,2020,2135,1997,1969,2540,2175
PA3183,611,565,630,598,552,582
PA2063,252,234,287,345,298,233
PA2878,103,84,74,94,117,113
PA4352,18471,18076,12490,11236,9255,10776
PA5048,823,762,1085,770,730,656
PA2734,2749,3007,2787,2686,3166,2862
PA0333,883,926,976,690,586,841
PA2220,279,239,212,271,290,280
PA2635,533,541,544,458,427,525
PA1689,937,1049,994,823,886,810
PA2148,138,122,95,94,92,123
PA3206,445,443,496,410,449,452
PA0535,320,389,399,1843,1689,2004
PA2715,37,47,33,34,35,36
PA1472,136,108,151,119,111,111
PA0606,173,178,122,136,200,184
PA2869,304,228,317,353,279,268
PA2039,100,64,110,133,104,89
PA3618,791,804,757,753,922,930
PA5498,1612,1542,1574,1178,956,1101
PA3380,2,4,8,7,13,9
PA0816,495,457,422,394,395,409
PA3127,210,225,159,233,225,202
PA4300,160,139,154,128,153,142
PA1021,81,54,50,49,68,65
PA2564,1479,1258,1009,903,1124,1138
PA3616,416,379,350,368,336,331
PA4057,1153,1278,1654,1409,1128,1224
PA0873,1018,1034,1018,976,1336,1282
PA0101,410,337,326,425,297,385
PA3474,155,178,163,196,172,154
PA3894,212,119,145,145,130,137
PA0685,82,127,80,111,118,99
PA3165,1246,1210,1349,1356,1216,1260
PA4738,3996,5759,3965,4189,7161,7484
PA3575,402,262,348,375,247,292
PA3576,447,405,413,392,452,472
PA5545,879,793,760,819,970,935
PA5237,710,807,842,986,1192,1118
PA5247,401,339,352,393,356,370
PA3923,1251,1919,1316,2907,4918,4774
PA4087,19,23,22,12,6,18
PA0041a,61,61,61,45,59,40
PA0030,66,118,59,86,79,77
PA2835,47,23,19,28,15,27
PA4874,2389,2424,2394,2138,2386,2614
PA2580,359,325,291,301,251,272
PA3791,1201,1240,1387,972,1045,881
PA1163,1298,1133,1124,751,683,931
PA2657,371,362,371,444,410,464
PA2769,238,197,219,150,174,147
PA1778,195,192,211,190,171,198
PA1026,110,91,121,125,60,104
PA4344,694,650,531,652,596,728
PA3755,640,552,469,823,624,637
PA4373,327,308,260,346,387,377
PA3773,30,24,36,29,32,40
PA5223,3305,3388,2980,3848,3357,3560
PA1455,6676,5835,4601,5835,4585,5038
PA0258,78,80,78,69,87,100
PA4921,385,339,312,469,290,245
PA4782,105,88,107,61,76,74
PA2558,425,343,337,338,403,309
PA4699,2304,2269,2464,2671,2041,2484
PA2022,176,163,171,166,133,156
PA1782,90,73,101,101,115,124
PA0644,154,161,116,141,135,157
PA5369,457,409,428,474,444,472
PA3988,1244,1217,1038,1514,1926,1834
PA5326,61,55,67,50,50,52
PA4945,10302,9043,9988,8114,8049,7344
PA4736,232,190,196,208,222,184
PA2643,1457,1381,1237,1493,1530,1592
