,Pa_coculture_WT_Ca_1,Pa_coculture_WT_Ca_2,Pa_coculture_WT_Ca_3,Pa_coculture_WT_Ca_4,Pa_coculture_WT_Ca_5,Pa_coculture_adh1mut_Ca_1,Pa_coculture_adh1mut_Ca_2,Pa_coculture_adh1mut_Ca_3,Pa_coculture_adh1mut_Ca_4,Pa_coculture_adh1mut_Ca_5,Pa_monoculture_1,Pa_monoculture_2,Pa_monoculture_3
PA14_38710,7,6,12,14,16,10,8,16,6,10,11,7,12
PA14_38720,8,8,7,8,6,2,10,7,12,11,8,7,4
PA14_38730,6,7,5,2,1,4,7,5,7,2,2,2,6
PA14_38740,12,19,17,14,12,6,17,13,6,12,7,2,6
PA14_38750,13,16,26,27,23,14,16,24,14,17,19,11,20
PA14_38770,10,8,5,7,7,6,7,19,8,10,3,2,2
pqqE,8,18,16,17,10,11,12,23,13,16,7,11,2
pqqD,0,3,6,5,6,3,3,3,5,4,4,2,2
pqqC,9,15,15,18,10,11,19,10,9,11,12,4,4
pqqB,12,22,20,25,21,6,14,13,11,16,7,4,4
pqqA,0,0,0,0,0,0,0,0,0,0,0,0,0
PA14_38840,0,0,0,2,9,0,0,0,6,0,3,3,2
exaB,0,0,1,0,0,0,0,0,1,1,2,0,0
exaA,1,3,5,9,2,5,3,3,3,2,3,1,2
PA14_38880,0,0,0,0,0,0,1,0,0,0,0,0,0
PA14_38900,2,2,0,0,1,0,2,0,1,2,0,0,1
PA14_38910,1,1,0,0,0,0,0,0,0,0,0,0,0
PA14_38920,0,0,0,0,0,0,1,0,0,0,0,0,0
PA14_38930,5,4,5,8,11,2,1,8,4,5,5,2,3
PA14_38950,4,0,4,2,3,0,0,0,0,0,0,0,0
PA14_38970,2,3,2,2,5,2,4,2,4,2,0,1,2
PA14_38990,3,1,3,1,1,0,1,2,1,2,0,2,1
PA14_39000,0,1,1,2,0,0,1,1,2,1,2,2,1
pqqF,7,4,9,11,6,5,5,3,2,9,1,2,1
PA14_39020,2,2,0,3,3,1,1,1,2,0,2,3,2
braZ,7,7,3,4,6,3,5,12,6,5,2,4,1
PA14_39060,0,0,2,2,4,1,1,5,4,7,1,3,1
PA14_39070,5,11,5,13,10,10,13,5,10,13,11,14,3
PA14_39080,0,1,3,4,3,1,3,2,2,1,1,1,0
PA14_39090,3,5,11,12,5,10,5,5,6,8,9,4,5
PA14_39100,7,6,15,6,9,7,8,9,5,12,1,5,7
PA14_39110,5,6,3,6,4,5,6,10,2,4,3,1,5
PA14_39130,52,44,42,27,39,77,84,56,52,58,52,24,27
PA14_39140,14,13,20,18,16,26,18,30,19,20,19,13,20
PA14_39150,1,2,1,3,6,3,6,2,6,4,2,2,1
PA14_39160,4,2,1,5,3,7,7,9,5,5,5,4,1
PA14_39180,1,2,2,5,3,2,3,3,3,3,0,1,1
bacA,13,10,31,26,28,14,26,19,23,27,25,5,7
PA14_39200,2,2,5,3,5,5,5,8,8,3,1,4,5
PA14_39210,3,0,2,1,1,3,1,3,2,4,0,1,1
PA14_39220,0,0,0,0,0,0,0,0,1,1,1,0,0
PA14_39230,0,0,0,1,1,0,1,0,0,0,1,0,0
PA14_39240,1,1,4,3,5,3,5,0,2,2,3,2,2
PA14_39250,4,1,4,2,5,4,1,2,0,2,1,0,3
PA14_39260,1,0,1,1,1,0,0,1,1,0,1,0,0
PA14_39270,28,42,43,50,58,57,49,51,46,45,43,34,34
rbsK,33,27,24,17,24,31,29,24,35,21,9,6,14
rbsR,37,35,56,19,43,32,23,36,40,30,19,13,11
rbsC,36,25,41,22,28,25,18,22,23,20,12,4,9
rbsA,66,64,113,69,67,44,45,57,63,40,18,26,19
rbsB,250,216,255,306,299,150,147,204,158,135,101,98,100
PA14_39360,24,25,35,36,35,34,35,33,27,35,14,12,15
PA14_39390,27,34,24,31,35,41,45,47,47,41,51,23,24
PA14_39410,20,19,21,25,18,18,24,15,26,27,22,15,14
PA14_39420,1,2,0,2,0,1,3,1,1,0,2,1,0
PA14_39440,13,12,26,27,30,6,25,18,19,24,12,10,10
PA14_39460,4,9,8,15,13,4,11,9,9,12,12,9,10
PA14_39470,119,80,84,86,71,183,104,123,115,95,226,222,225
PA14_39480,138,100,80,92,79,177,162,190,165,146,319,305,311
PA14_39500,0,0,1,1,1,4,4,2,6,1,2,3,4
PA14_39520,47,80,59,44,40,60,89,78,64,67,28,15,20
PA14_39530,12,18,19,25,17,21,21,21,19,12,9,10,7
PA14_39540,16,20,19,21,16,18,27,19,20,11,14,28,25
PA14_39560,49,109,170,210,187,85,96,102,117,98,218,191,213
PA14_39570,2,3,5,0,3,4,5,4,4,0,1,0,1
rimJ,2,1,7,3,2,2,5,2,5,2,0,1,2
metE,17,21,23,16,17,40,87,13,45,15,5,8,7
PA14_39610,19,12,8,18,11,33,28,28,22,30,12,8,11
PA14_39620,3,1,0,0,1,0,0,1,1,1,2,0,1
PA14_39630,2,0,0,0,0,1,0,0,0,0,1,0,0
cobN_2,1,0,4,2,3,2,7,2,4,2,1,4,2
PA14_39650,1,0,4,1,2,1,3,2,1,0,1,0,0
PA14_39660,5,1,4,5,4,4,2,1,8,1,4,1,0
PA14_39670,0,0,0,0,0,1,0,2,0,0,0,0,0
PA14_39690,5,8,6,11,16,11,8,10,6,8,3,6,6
PA14_39700,0,2,0,0,1,2,0,1,1,1,0,1,3
PA14_39710,0,1,2,0,2,0,3,1,1,2,0,1,0
PA14_39720,0,0,6,2,2,1,2,2,5,1,2,0,1
PA14_39730,0,1,0,0,1,0,1,0,0,2,1,0,0
PA14_39750,1,4,1,12,3,2,2,3,8,2,5,7,10
PA14_39770,14,20,24,16,19,11,18,16,8,23,13,17,18
PA14_39780,30,30,62,63,70,35,62,46,65,47,78,59,57
PA14_39790,2,3,3,4,2,4,7,2,2,4,3,11,2
PA14_39800,1,1,0,1,0,5,14,6,7,4,3,8,6
PA14_39810,0,2,1,0,1,4,10,1,7,3,3,0,6
PA14_39820,2,1,2,0,2,4,9,3,5,2,2,6,5
PA14_39830,2,0,3,0,0,1,9,1,3,3,0,2,1
PA14_39850,0,0,0,1,2,0,1,0,1,0,0,0,0
PA14_39860,9,25,31,29,29,13,14,17,17,16,3,7,5
PA14_39870,16,43,48,55,54,11,19,14,27,31,4,5,4
phzG2,60,95,266,218,215,28,50,39,71,43,0,7,10
phzF2,26,70,77,62,83,9,20,8,24,16,4,5,2
phzE2,0,0,0,0,0,0,0,0,0,0,0,0,0
phzD2,0,0,0,0,0,0,7,0,0,0,0,0,0
phzC2,121,331,603,648,652,106,97,70,121,79,16,17,17
phzB2,164,380,770,809,917,148,132,127,181,113,86,51,93
phzA2,88,215,368,399,416,124,102,108,171,117,97,71,81
qscR,25,31,48,71,69,44,37,39,50,42,44,36,42
PA14_39990,18,20,25,52,45,13,16,12,22,19,19,7,9
PA14_40010,12,14,22,16,27,9,14,10,11,3,6,2,2
PA14_40020,16,13,17,30,18,8,14,6,14,11,12,4,7
PA14_40030,13,19,16,17,19,9,18,9,28,9,5,8,9
PA14_40040,18,12,16,24,18,9,31,11,19,23,3,3,5
PA14_40050,5,6,1,7,5,9,10,4,8,10,4,2,4
PA14_40060,2,2,3,1,1,4,4,4,5,1,0,3,2
PA14_40070,15,18,15,13,12,21,16,24,20,14,17,12,9
PA14_40080,20,27,20,26,21,36,44,32,39,37,33,31,33
PA14_40100,5,20,18,23,27,9,13,11,11,22,22,15,23
PA14_40110,2,10,9,13,7,3,11,12,11,10,8,3,10
polB,10,11,19,17,16,17,25,26,19,18,24,16,29
PA14_40130,2,3,6,2,7,1,4,6,3,2,1,4,3
PA14_40150,3,6,5,5,9,4,9,7,4,7,5,4,5
PA14_40160,1,0,0,1,1,2,6,2,1,3,2,1,2
PA14_40170,1,2,2,3,1,4,4,6,8,1,5,4,7
PA14_40180,5,14,14,23,22,10,11,13,12,12,13,8,11
PA14_40200,32,65,87,78,95,28,51,39,39,43,35,18,17
PA14_40210,0,4,6,1,5,6,6,7,7,5,9,6,12
PA14_40220,6,11,18,15,24,19,13,13,17,17,23,15,30
PA14_40230,12,11,14,16,19,37,31,25,42,43,41,33,41
PA14_40240,17,11,19,12,23,35,44,52,42,50,39,31,34
PA14_40250,27,25,31,31,35,59,83,51,81,55,49,30,39
PA14_40260,211,223,343,310,348,341,414,357,407,361,349,287,347
PA14_40270,0,3,6,5,3,5,1,7,10,3,7,3,10
PA14_40280,25,27,22,18,26,19,16,16,19,18,14,12,10
lasA,62,142,198,304,351,51,49,55,87,68,69,94,87
PA14_40300,23,25,34,30,27,24,38,26,41,29,23,36,25
PA14_40310,66,46,85,111,108,118,85,90,146,65,62,95,123
xqhA,0,0,0,0,1,3,2,0,1,2,4,1,0
PA14_40330,0,0,0,0,1,0,0,0,0,1,1,0,1
PA14_40340,2,0,2,2,2,2,0,3,2,5,1,3,1
PA14_40350,7,7,6,3,5,5,13,8,12,7,3,2,9
PA14_40370,21,5,15,11,8,15,22,12,13,11,17,6,12
PA14_40380,6,4,1,7,6,2,6,6,2,5,11,14,19
modA,14,11,17,16,22,8,11,14,16,13,39,27,36
modB,7,11,8,9,3,2,9,8,5,7,11,10,21
modC,16,11,16,14,16,7,10,8,14,9,18,14,12
PA14_40430,16,38,41,69,48,27,35,35,22,30,43,40,41
PA14_40440,2,6,6,10,5,6,3,14,6,6,8,5,4
str,3,5,5,2,7,9,11,7,5,9,6,5,3
PA14_40470,13,19,22,26,26,17,17,22,19,17,15,13,18
PA14_40490,19,10,18,16,9,23,23,20,20,25,23,16,11
ccoN-2,4,5,11,9,5,4,4,9,8,8,5,9,4
PA14_40520,0,0,0,1,1,1,2,1,1,0,2,1,0
PA14_40540,1,3,7,5,4,4,5,4,3,6,3,2,2
PA14_40550,6,10,15,7,7,4,16,16,7,12,3,4,7
PA14_40560,176,190,287,472,423,210,205,214,301,228,392,447,566
PA14_40570,25,33,52,30,49,27,49,28,38,31,37,30,30
PA14_40600,6,3,10,4,6,6,13,11,7,13,13,7,16
PA14_40610,0,0,0,0,0,0,2,1,0,1,0,0,0
PA14_40620,6,2,6,2,2,5,12,2,6,9,3,2,5
PA14_40630,65,67,86,87,79,116,131,132,110,118,173,166,191
cti,21,28,24,17,23,35,45,39,48,34,35,30,39
PA14_40650,3,1,0,4,3,6,10,5,1,10,1,0,3
PA14_40660,0,0,2,2,3,1,2,5,5,12,1,1,2
metH,121,102,143,122,94,85,91,85,96,97,41,22,31
PA14_40690,18,16,20,3,17,11,11,9,13,9,6,3,4
PA14_40700,21,8,17,16,18,31,26,31,19,22,15,12,12
PA14_40710,14,10,13,11,7,24,21,28,21,17,16,20,27
PA14_40730,11,16,12,12,20,16,19,11,10,13,8,3,12
PA14_40740,21,24,43,50,34,27,22,37,19,23,56,46,63
PA14_40750,9,8,16,31,23,20,12,5,17,9,19,26,26
cysI,43,25,61,50,50,88,95,91,84,149,142,84,71
PA14_40780,4,6,15,10,10,17,14,16,14,24,40,15,14
PA14_40790,4,7,1,9,11,5,5,5,2,1,3,2,5
PA14_40800,10,7,3,4,6,2,2,1,5,3,3,3,4
PA14_40820,25,41,30,32,22,30,31,30,25,41,17,15,14
PA14_40830,56,71,83,77,78,42,63,50,55,55,39,28,46
PA14_40840,56,38,64,65,58,47,46,49,41,52,48,35,52
PA14_40850,26,38,49,61,40,42,66,44,63,56,22,25,23
PA14_40860,321,417,581,596,549,555,512,534,604,636,160,207,300
PA14_40880,24,24,33,27,29,22,20,11,14,10,19,11,7
PA14_40890,33,50,41,36,30,20,19,19,24,25,25,11,13
PA14_40900,3,4,4,5,1,2,4,1,0,1,1,1,1
PA14_40910,8,7,8,5,6,5,9,11,8,3,4,4,3
PA14_40930,2,2,5,6,3,5,0,3,4,2,4,1,0
PA14_40940,7,4,8,6,5,10,8,10,13,8,6,3,7
nudC,13,13,22,15,15,17,24,22,24,23,9,8,13
PA14_40960,50,46,54,40,52,41,55,49,40,58,31,28,28
PA14_40980,31,38,54,62,67,40,70,49,57,62,39,22,29
nhaB,11,14,17,13,17,25,16,18,16,15,16,21,16
PA14_41010,31,40,63,36,36,37,53,41,41,33,28,17,27
PA14_41020,32,60,93,94,104,41,50,47,45,40,27,25,23
PA14_41030,16,10,18,27,20,12,19,19,14,13,13,10,7
dnaQ,19,20,28,38,29,20,24,33,36,37,24,13,23
rnhA,11,11,25,13,22,17,14,17,23,18,17,10,16
PA14_41070,25,24,35,40,35,29,30,21,20,38,24,12,19
PA14_41080,4,9,12,10,6,12,13,13,10,17,12,10,10
mltD,45,45,42,29,24,67,94,77,81,96,44,38,46
PA14_41110,31,23,18,28,23,26,32,31,26,29,54,35,38
PA14_41130,34,32,22,21,30,43,25,33,45,41,74,39,31
PA14_41140,12,12,11,11,9,15,20,15,15,17,19,7,18
PA14_41150,8,15,5,8,6,10,13,7,10,6,15,6,7
PA14_41160,8,11,14,11,7,14,12,20,16,25,12,12,16
fabI,7,13,10,14,17,10,23,11,11,15,18,6,8
ppiD,169,181,217,232,265,239,277,252,279,324,231,146,164
PA14_41200,8,3,4,0,3,0,1,3,6,6,1,5,5
hupB,290,269,348,454,398,421,341,559,449,497,306,277,317
lon,465,450,513,471,467,650,823,686,681,727,630,399,399
clpX,642,558,662,583,570,1220,1191,1059,926,1015,994,757,782
clpP,213,261,283,260,269,306,317,296,295,332,322,209,215
tig,222,195,310,274,326,467,455,406,444,517,283,147,165
PA14_41260,9,5,7,7,9,4,4,6,6,7,5,8,5
PA14_41270,8,9,7,9,4,9,15,15,12,14,13,10,7
PA14_41280,8,11,10,15,15,17,20,14,13,17,15,9,12
PA14_41290,0,0,1,1,4,0,3,1,1,3,2,0,1
PA14_41300,3,7,6,7,11,9,10,14,9,12,6,7,11
PA14_41320,1,1,3,3,1,1,5,2,3,3,0,3,2
PA14_41330,0,2,1,1,0,0,0,1,1,1,0,2,3
PA14_41340,0,0,0,0,0,0,0,0,0,0,0,0,0
folD,19,8,16,23,14,24,25,25,19,20,16,7,8
cysS,53,66,80,53,62,83,88,75,79,76,38,31,32
glnS,44,49,66,60,56,65,93,68,65,76,61,38,40
ppiB,48,48,55,56,57,47,37,41,46,43,92,69,76
PA14_41400,16,10,9,14,11,9,15,6,16,20,16,10,11
PA14_41420,6,5,11,6,16,20,28,20,23,16,11,9,13
PA14_41430,8,3,9,11,9,5,6,10,5,11,2,5,5
PA14_41440,84,144,198,219,192,119,133,189,152,148,171,132,171
PA14_41450,16,22,29,28,24,28,25,28,30,25,26,11,16
acnB,207,223,342,258,306,175,296,261,274,330,164,78,97
nasS,4,4,8,4,4,8,7,4,8,5,1,1,6
nasT,7,10,6,4,7,6,6,6,9,13,4,4,6
PA14_41500,39,49,68,103,104,21,31,46,57,43,64,64,67
nasA,2,3,1,0,1,1,0,1,4,0,3,0,4
PA14_41520,0,3,5,3,2,8,0,2,3,4,3,3,2
nirB,4,4,4,9,8,7,4,4,3,5,5,4,7
nirD,2,0,1,0,0,0,0,1,0,0,1,0,0
PA14_41560,5,7,3,6,6,5,9,7,6,3,6,3,2
cobA,44,18,20,19,24,53,60,31,44,53,46,11,11
oprF,4436,4866,6617,5906,5740,9537,9710,8154,8740,9591,12705,5589,4646
sigX,405,362,387,376,394,584,540,510,483,454,493,381,451
PA14_41590,83,89,87,100,81,89,117,75,103,89,74,70,72
PA14_41610,33,32,26,50,34,21,36,22,43,23,22,23,32
PA14_41630,27,28,43,42,47,32,52,45,44,41,30,17,16
PA14_41640,49,70,135,120,138,61,73,71,81,86,103,65,82
PA14_41650,2,4,4,4,5,19,22,19,9,23,8,8,7
ppsA,186,208,318,215,276,356,463,285,375,403,289,136,175
PA14_41680,54,68,73,89,70,96,102,107,90,110,109,105,114
PA14_41690,12,16,11,15,18,11,28,19,27,24,13,17,20
PA14_41710,44,29,52,46,42,92,114,76,76,107,80,49,53
PA14_41730,48,25,31,30,24,72,110,80,71,106,71,30,40
PA14_41740,8,6,12,11,13,5,12,10,3,4,10,7,7
PA14_41750,7,12,8,13,12,12,5,14,12,8,10,16,5
PA14_41760,6,13,11,14,10,10,14,8,10,20,11,6,16
PA14_41780,21,21,21,34,34,19,18,29,25,21,17,11,15
PA14_41790,24,33,64,111,125,30,45,30,29,43,18,18,19
PA14_41800,69,59,91,77,89,64,63,73,63,67,49,25,49
PA14_41810,144,136,131,132,114,128,151,142,139,98,103,78,92
pabB,25,17,17,23,22,22,26,26,33,36,28,18,19
thrH,14,21,18,27,33,20,32,25,27,29,29,22,31
cysH,20,13,20,2,14,21,32,24,21,25,25,25,17
PA14_41860,6,8,12,6,6,12,12,5,8,9,12,7,6
cysB,65,78,125,103,113,130,148,116,109,126,178,113,124
PA14_41880,27,30,53,48,44,46,61,50,53,55,76,74,75
panE,27,33,44,55,43,37,29,36,41,47,23,21,31
PA14_41910,9,14,12,11,13,10,11,18,14,7,8,9,8
aroF-1,50,72,79,80,76,101,102,84,96,106,68,47,51
PA14_41930,50,61,76,85,89,96,77,104,67,65,121,117,154
PA14_41950,19,11,56,25,35,33,42,35,48,46,26,39,36
PA14_41960,10,11,10,3,3,17,9,5,7,5,8,7,6
PA14_41970,46,47,83,82,60,73,83,71,93,77,111,103,108
PA14_41980,15,23,30,27,24,26,26,33,31,23,37,38,44
PA14_41990,1,2,1,2,1,3,1,1,0,0,3,0,0
PA14_42000,2,1,3,0,1,0,0,1,1,1,3,0,2
PA14_42010,46,44,51,45,36,46,73,53,51,36,96,62,64
PA14_42020,2,8,6,8,7,12,10,10,13,9,11,8,13
PA14_42030,7,6,7,5,8,8,6,4,5,5,7,4,2
PA14_42050,5,0,0,2,1,0,2,1,0,3,2,3,1
PA14_42060,2,5,2,9,7,6,7,8,4,6,8,6,3
PA14_42080,33,90,105,126,114,41,38,24,25,52,9,9,21
PA14_42090,19,42,68,51,56,17,27,16,27,22,5,6,3
PA14_42100,7,8,4,15,12,12,10,12,7,9,12,15,7
PA14_42120,13,6,12,11,6,17,28,17,9,12,7,2,6
PA14_42130,19,25,33,34,25,22,35,24,26,34,18,8,9
PA14_42140,20,22,26,16,9,12,23,14,17,17,6,5,8
PA14_42150,12,27,32,23,32,34,26,11,20,16,12,6,10
PA14_42160,61,73,62,56,62,84,79,61,53,59,45,32,31
PA14_42180,8,21,32,32,37,23,41,24,27,25,14,11,24
PA14_42200,141,171,287,327,316,199,164,205,199,171,181,182,200
PA14_42220,27,18,23,13,20,26,50,47,25,35,27,20,32
bglX,18,24,23,18,32,31,32,43,33,38,22,12,13
pscL,1,0,2,0,0,1,3,1,4,0,1,1,3
pscK,1,0,0,0,1,0,0,0,0,0,0,0,0
pscJ,5,3,2,2,1,4,4,2,1,1,5,2,4
pscI,0,1,0,1,1,0,2,1,0,1,1,1,0
pscH,1,0,0,2,0,1,2,1,0,0,1,2,0
pscG,0,1,1,1,1,1,1,0,0,0,1,0,1
pscF,0,0,1,2,0,1,0,2,1,0,0,1,2
pscE,0,0,0,0,1,0,0,0,0,0,3,1,1
pscD,2,1,2,1,2,0,1,2,1,3,1,1,2
pscC,4,3,2,2,2,6,5,3,6,3,6,5,6
pscB,1,0,2,0,1,1,2,0,1,0,0,0,2
PA14_42380,7,6,7,7,4,11,7,12,5,5,20,9,10
exsA,11,9,8,10,9,12,11,11,12,8,25,31,42
exsB,1,6,9,4,3,2,1,2,4,2,9,5,9
PA14_42410,3,2,8,8,4,2,5,2,8,3,2,4,6
exsC,12,5,13,14,18,11,7,8,7,13,26,20,35
popD,2,2,1,4,1,2,4,1,3,2,5,5,3
popB,4,4,5,7,8,6,3,4,3,1,14,10,10
pcrH,1,1,0,0,0,0,2,1,1,1,5,4,4
pcrV,2,5,1,2,1,2,2,2,1,6,13,10,9
pcrG,1,0,0,0,0,0,0,0,0,0,0,0,0
pcrR,1,2,0,2,2,2,2,3,1,4,4,1,1
pcrD,2,1,7,9,5,6,11,9,4,7,6,6,11
PA14_42510,0,0,0,1,0,0,1,0,0,0,0,2,0
PA14_42520,0,0,0,0,0,0,0,0,0,0,0,0,0
PA14_42530,0,0,1,0,0,0,0,1,0,0,0,0,0
PA14_42540,0,1,0,0,0,0,0,0,0,0,2,0,0
popN,0,0,1,1,0,0,0,0,1,0,1,3,2
pscN,1,0,0,0,0,0,0,0,0,0,3,4,2
pscO,0,0,1,0,0,0,0,1,0,0,1,1,0
pscP,1,0,0,2,1,0,0,0,0,1,2,0,0
pscQ,1,0,3,1,1,1,2,1,2,1,0,0,1
pscR,1,0,0,0,0,0,0,1,4,0,2,1,0
PA14_42630,0,0,0,0,0,0,1,0,0,0,0,0,1
pscT,0,0,1,2,0,2,0,1,1,2,2,0,1
pscU,5,6,3,6,2,6,10,6,4,5,3,7,1
PA14_42670,51,39,52,43,50,89,105,97,103,129,43,28,33
PA14_42680,19,23,31,17,27,28,29,28,27,43,13,7,12
speE,3,11,20,20,16,8,12,15,17,24,11,6,7
alkA,13,19,35,22,21,18,32,26,19,27,19,23,26
PA14_42710,4,8,9,5,7,7,10,11,12,11,11,11,9
masA,5,10,31,17,14,12,17,15,14,17,6,9,11
PA14_42730,15,16,18,25,22,22,19,23,20,23,18,15,23
PA14_42740,8,13,14,16,11,22,16,16,21,18,9,10,10
PA14_42750,2,3,4,9,3,4,4,5,6,3,4,3,4
aroC,40,31,33,56,33,42,60,46,47,45,27,19,21
PA14_42770,2,3,2,0,1,6,9,9,7,5,7,5,9
PA14_42780,37,47,56,78,71,76,79,84,84,70,142,132,148
PA14_42790,13,21,16,12,21,21,33,21,21,24,27,24,23
PA14_42820,24,21,30,25,34,12,22,17,20,19,13,20,16
PA14_42830,3,2,7,14,5,3,7,5,3,10,3,3,5
PA14_42840,4,13,12,20,21,11,18,18,23,19,16,16,14
folE,32,38,60,49,73,65,69,93,89,101,104,72,87
PA14_42860,44,99,110,101,93,91,78,130,88,71,53,49,42
PA14_42870,10,9,9,11,21,11,8,14,8,9,9,12,8
stk1,8,8,7,8,11,9,5,8,6,7,7,7,8
stp1,3,2,4,0,5,4,3,5,3,4,4,1,2
PA14_42900,16,10,10,17,13,16,15,9,6,8,18,13,21
PA14_42910,8,4,3,2,2,7,5,6,2,3,9,7,8
PA14_42920,9,8,11,9,11,14,10,19,8,8,27,9,16
PA14_42940,4,2,2,3,0,3,5,4,0,1,4,2,1
PA14_42950,7,3,5,2,5,3,1,0,3,2,6,1,2
PA14_42960,0,0,0,1,0,0,0,0,0,0,0,1,1
PA14_42970,5,4,2,3,3,8,5,2,2,2,11,6,7
PA14_42980,18,7,20,9,7,16,27,22,15,11,30,20,21
PA14_42990,5,3,3,6,2,9,12,10,7,8,21,6,14
PA14_43000,11,12,9,10,9,18,21,10,13,14,28,16,14
PA14_43020,6,3,2,3,4,4,13,3,1,1,3,5,5
PA14_43030,26,29,40,35,48,56,93,40,45,51,84,37,29
PA14_43040,6,12,18,22,18,24,50,22,18,25,58,47,38
PA14_43050,100,78,80,77,78,126,172,101,89,82,222,196,205
hcpD,0,8,0,11,8,7,7,5,9,1,21,21,13
PA14_43080,6,0,5,11,13,5,12,5,11,8,9,6,4
PA14_43090,7,3,10,10,12,4,11,6,7,3,6,10,8
PA14_43100,67,67,85,75,77,89,79,90,116,105,140,153,158
PA14_43110,31,27,31,21,20,36,34,38,21,36,78,28,41
PA14_43130,17,23,19,16,11,19,32,25,15,19,32,23,23
PA14_43140,1,0,0,1,2,3,2,4,3,3,3,3,7
PA14_43150,2,3,3,3,4,1,4,1,5,2,4,3,1
PA14_43160,15,7,17,12,28,16,21,21,17,25,9,13,14
PA14_43170,4,3,14,6,11,20,25,26,34,26,12,13,9
PA14_43180,4,7,8,9,12,5,3,3,2,3,6,4,4
PA14_43190,17,21,34,35,31,10,16,10,17,10,12,9,10
PA14_43200,9,8,14,13,13,5,22,9,17,16,8,3,3
PA14_43220,3,2,9,7,9,1,7,7,4,7,3,3,5
PA14_43230,2,3,6,7,4,4,5,8,2,7,3,3,2
PA14_43240,4,5,5,8,7,11,12,10,3,7,2,3,4
PA14_43250,8,14,15,13,19,16,21,9,17,14,24,8,19
PA14_43270,20,14,24,19,29,30,32,28,18,33,20,15,16
selD,13,23,25,26,35,32,36,24,31,23,12,14,10
PA14_43290,6,5,10,8,8,10,4,5,8,6,3,4,3
PA14_43300,11,16,21,25,12,20,19,14,9,22,11,8,3
PA14_43310,2,9,8,7,7,10,8,8,8,9,9,7,3
PA14_43320,4,3,5,1,6,8,2,7,1,5,1,2,6
kdpE,5,8,7,8,4,4,3,11,8,8,1,4,6
kdpD,5,9,14,11,18,4,10,17,9,18,5,7,9
kdpC,0,0,0,0,2,1,1,0,0,0,0,0,0
kdpB,3,1,3,2,2,2,1,0,1,3,2,1,3
kdpA,1,0,0,3,2,0,0,1,1,2,3,4,1
kdbF,0,0,0,0,0,0,0,0,0,0,0,0,0
PA14_43420,13,14,14,16,12,13,12,14,18,19,13,16,24
PA14_43430,2,3,7,6,5,9,4,12,8,4,5,5,7
PA14_43440,0,1,1,1,1,0,1,2,2,0,0,2,3
PA14_43460,3,0,6,4,2,0,1,1,1,3,2,1,1
PA14_43480,1,0,3,2,0,1,2,2,0,1,1,1,1
PA14_43490,1,5,1,2,0,2,8,5,7,6,3,2,4
PA14_43510,14,13,17,6,15,14,18,20,20,18,17,7,14
PA14_43520,15,10,11,10,8,10,26,13,21,23,11,4,7
PA14_43530,13,32,29,33,27,35,30,27,32,35,42,33,35
PA14_43540,10,13,11,11,10,4,13,7,4,5,6,3,3
PA14_43550,14,18,25,24,25,6,24,13,14,14,4,4,8
PA14_43570,0,0,0,1,0,0,2,1,2,0,1,0,1
PA14_43580,5,4,6,7,4,7,12,15,5,7,7,1,2
PA14_43600,18,21,25,24,23,25,25,28,36,21,5,10,8
PA14_43610,95,142,172,161,137,191,187,149,189,146,17,27,21
PA14_43620,14,8,7,3,9,10,14,15,8,10,2,0,5
PA14_43630,11,4,10,6,6,6,7,8,9,3,12,2,4
gpsA,21,13,25,18,18,27,28,25,22,23,30,18,22
PA14_43650,7,13,12,16,13,16,32,25,17,23,20,12,20
PA14_43660,8,4,3,5,5,6,9,5,3,1,4,5,9
PA14_43670,38,30,27,38,28,49,47,44,43,41,61,41,51
fabA,127,119,138,182,221,160,123,106,166,141,296,278,272
fabB,157,158,209,234,188,207,180,135,212,187,285,156,159
PA14_43710,40,30,40,39,27,35,44,29,33,40,60,44,48
PA14_43720,7,2,2,9,8,2,8,15,12,8,6,5,6
PA14_43730,2,3,2,4,2,6,8,14,14,10,8,12,4
PA14_43740,10,11,13,12,7,14,19,9,9,12,19,13,11
PA14_43760,8,12,27,26,23,10,18,21,14,8,13,5,22
PA14_43770,4,4,6,10,10,16,12,7,10,6,10,10,5
PA14_43780,0,2,2,2,2,1,2,6,3,2,7,0,0
PA14_43790,7,11,8,6,6,8,6,11,10,10,10,6,10
PA14_43810,4,1,0,5,3,3,4,3,4,8,4,1,3
PA14_43820,1,2,2,8,3,1,9,7,4,4,1,3,1
panB_1,6,8,8,13,14,8,15,16,5,8,4,3,7
PA14_43840,35,23,32,21,25,15,36,24,19,31,12,5,6
htpG,135,72,60,84,81,209,366,260,242,298,311,163,219
PA14_43870,3,3,4,7,8,7,8,4,7,8,4,3,5
PA14_43880,3,2,5,1,5,1,6,5,8,2,3,3,4
PA14_43890,3,7,4,8,8,3,12,7,8,9,4,7,8
PA14_43900,500,464,469,509,426,604,753,938,665,636,686,913,988
PA14_43910,19,15,18,16,20,25,50,25,34,55,57,36,35
braB,57,50,61,50,60,63,95,69,85,97,40,25,36
sucD,269,278,321,253,289,398,339,308,334,354,87,43,60
sucC,281,274,367,243,273,341,361,242,255,329,76,41,59
lpdG,231,288,377,302,346,291,299,188,244,278,105,66,62
sucB,127,167,193,197,169,163,192,158,139,147,58,37,79
sucA,452,399,549,379,392,493,644,456,445,580,211,131,133
