,Pa_coculture_WT_Ca_1,Pa_coculture_WT_Ca_2,Pa_coculture_WT_Ca_3,Pa_coculture_WT_Ca_4,Pa_coculture_WT_Ca_5,Pa_coculture_adh1mut_Ca_1,Pa_coculture_adh1mut_Ca_2,Pa_coculture_adh1mut_Ca_3,Pa_coculture_adh1mut_Ca_4,Pa_coculture_adh1mut_Ca_5,Pa_monoculture_1,Pa_monoculture_2,Pa_monoculture_3
PA14_18080,10,14,11,12,17,21,28,33,25,33,44,43,38
PA14_18090,18,21,27,26,30,15,24,26,14,28,21,13,21
PA14_18100,8,10,10,23,25,9,11,12,15,11,5,3,7
mmsR,1,6,2,5,4,6,1,7,3,8,7,3,1
mmsA,188,317,319,191,185,91,76,155,69,90,36,25,22
mmsB,44,81,101,53,57,15,17,23,12,22,8,8,3
PA14_18150,64,113,132,97,140,20,27,67,24,39,6,5,14
PA14_18160,6,14,15,8,16,4,6,7,6,9,3,2,2
PA14_18180,1,0,1,0,1,0,2,1,0,1,1,0,1
PA14_18200,5,1,5,0,3,1,5,0,1,3,1,4,0
PA14_18210,6,0,2,6,1,5,3,0,1,4,2,0,2
fruR,6,5,10,6,7,8,13,6,8,6,7,8,7
PA14_18250,2,8,4,5,3,1,3,2,2,1,14,12,12
fruK,0,3,5,1,0,5,4,1,1,1,4,3,2
fruA,3,4,1,1,7,3,3,3,0,2,3,2,8
PA14_18300,9,7,5,1,2,0,4,4,6,3,2,1,3
PA14_18310,0,0,0,0,1,0,0,0,0,0,0,0,0
PA14_18320,0,0,0,1,0,1,0,0,0,0,1,0,0
arnT,3,0,2,2,1,1,1,1,1,1,1,0,0
PA14_18340,3,0,0,0,1,1,1,1,0,1,0,0,0
PA14_18350,5,11,5,4,3,8,7,3,6,4,3,5,2
PA14_18360,3,2,4,1,4,3,1,1,2,0,1,0,4
PA14_18370,12,3,4,2,5,4,1,2,2,2,4,0,3
algA,10,8,17,36,34,14,11,6,19,8,2,3,1
algF,2,5,5,1,1,0,0,0,3,1,1,0,0
algJ,1,1,0,4,0,1,1,0,0,0,1,0,0
algI,3,4,3,7,10,9,4,8,4,2,5,3,8
algL,2,2,4,1,4,3,4,2,7,4,0,2,1
algX,2,4,1,2,2,2,9,2,3,3,2,4,2
algG,9,10,9,15,15,10,16,12,13,16,18,20,25
algE,0,1,1,7,3,3,7,1,1,2,1,3,2
algK,0,0,2,1,3,1,5,3,2,1,1,0,0
alg44,0,4,0,4,1,3,7,0,0,2,1,1,0
alg8,6,4,5,6,6,7,8,4,7,12,7,5,6
algD,6,11,20,32,26,23,26,16,25,17,10,10,9
PA14_18590,11,5,12,16,8,11,15,16,21,18,21,3,10
PA14_18600,22,15,17,15,9,20,33,23,20,24,23,10,16
argF,20,11,10,15,15,35,40,33,40,33,15,10,9
PA14_18620,11,9,14,14,7,15,14,12,18,13,15,15,19
PA14_18630,52,54,80,55,58,44,61,63,55,56,23,15,25
PA14_18640,15,14,27,32,25,6,4,9,4,9,8,3,11
PA14_18650,112,125,188,164,175,153,183,206,187,174,247,264,338
PA14_18660,85,61,47,64,69,140,203,153,147,190,65,39,33
bfrB,533,606,810,771,871,1282,1285,1683,1514,1506,699,594,779
PA14_18680,13,4,7,6,10,26,30,26,43,21,72,141,163
PA14_18690,122,136,212,249,232,128,127,112,144,177,140,68,51
rnt,22,19,21,12,11,38,28,21,27,23,22,10,24
pyrC_2,23,10,12,16,10,16,36,24,24,25,22,9,12
PA14_18720,33,41,67,79,89,56,68,62,70,61,109,81,95
argG,66,57,47,41,58,138,129,114,169,188,159,93,101
gloA1,24,13,21,26,29,51,34,43,44,40,51,50,66
PA14_18760,1,1,3,2,2,3,4,3,2,5,2,2,1
PA14_18780,4,7,2,4,7,6,9,9,5,13,11,8,9
PA14_18790,0,1,0,2,3,1,2,1,0,0,1,1,2
PA14_18800,3,3,3,5,2,8,10,10,17,5,41,48,69
PA14_18810,3,8,4,5,5,14,11,19,17,8,43,35,20
PA14_18820,1,1,2,1,0,1,5,2,2,2,8,5,2
PA14_18830,4,8,9,10,4,8,8,10,11,5,12,4,7
PA14_18850,1,2,3,4,1,3,1,6,1,4,5,2,1
PA14_18860,9,7,11,13,17,21,13,18,17,14,15,20,17
PA14_18870,6,4,22,24,22,14,8,11,16,9,16,40,53
nth,5,6,6,3,5,11,10,17,10,10,9,8,11
PA14_18890,2,4,2,3,2,6,6,4,5,5,4,1,1
PA14_18900,2,2,1,1,1,4,4,4,3,2,2,1,3
PA14_18910,3,1,0,1,2,2,1,3,6,7,3,2,1
PA14_18920,4,6,12,7,11,14,20,16,16,22,10,6,9
PA14_18930,4,3,3,2,6,4,8,9,4,4,2,3,0
PA14_18950,5,7,11,8,7,6,14,14,12,6,7,10,2
PA14_18960,5,5,4,5,4,3,12,6,6,4,32,16,7
pldA,14,19,11,15,11,30,22,29,26,28,64,52,42
PA14_18985,7,9,6,11,18,7,12,16,18,8,23,24,7
PA14_19010,0,2,2,6,0,5,4,8,2,4,3,1,3
PA14_19020,2,6,5,4,6,13,16,23,7,12,5,2,5
PA14_19030,14,14,15,12,12,22,31,35,14,22,15,7,11
metG,92,69,104,81,58,107,155,110,127,121,76,59,64
PA14_19065,28,32,41,30,36,28,40,30,34,31,19,17,15
dcd,32,21,33,30,32,32,39,43,56,38,37,48,50
rhlA,245,393,699,891,926,443,322,226,353,293,240,198,200
rhlB,99,215,358,344,335,100,103,64,107,79,43,63,44
rhlR,481,522,658,682,628,627,676,754,701,654,713,608,589
rhlI,139,156,212,260,190,212,226,214,201,198,195,153,143
pheC,20,17,20,30,29,20,23,18,29,23,30,19,28
PA14_19150,2,0,3,6,6,4,6,3,3,4,3,6,3
PA14_19160,3,6,5,1,3,4,3,3,5,5,3,0,2
PA14_19170,14,7,10,9,10,11,22,13,15,27,13,10,8
PA14_19190,34,51,54,50,43,29,45,40,27,49,20,16,28
PA14_19205,2,2,7,4,2,3,4,8,4,3,2,1,1
PA14_19210,1,4,6,7,6,3,9,5,5,2,4,2,1
