,Neg1,Neg2,Neg3,Neg4,5min1,5min2,5min3,15min1,15min2,15min3,25min1,25min2,25min3
aotQ,172,192,303,344,161,177,336,23,51,151,10,12,17
aotM,177,149,343,320,198,250,361,23,69,133,6,20,21
PA0891,446,356,614,742,731,396,843,228,96,155,47,13,18
aotP,745,421,797,767,745,485,1135,219,125,245,52,35,40
argR,303,217,361,402,326,284,585,119,86,154,21,11,10
PA0894,11,8,14,13,22,126,234,8,51,61,3,13,9
aruC,1351,733,1291,1243,1255,1187,1588,517,482,707,111,106,122
aruF,789,387,819,685,817,802,1042,460,260,431,93,55,43
aruG,390,255,457,390,347,273,432,101,104,203,18,23,19
aruD,407,246,356,432,571,309,647,215,139,256,54,46,44
aruB,299,210,354,374,372,424,629,209,200,391,67,57,54
PA0900,92,57,124,137,92,125,132,28,47,101,9,13,13
aruE,789,432,646,770,1007,935,1285,417,338,539,124,117,95
PA0902,275,218,294,436,299,230,358,82,42,79,33,11,13
alaS,1507,926,1622,1686,2119,1732,2052,891,700,1071,242,206,249
lysC,1499,926,1626,1418,1553,1275,1654,402,349,616,100,110,129
rsmA,2776,1784,3473,2157,3694,1452,2626,1281,834,385,244,184,164
PA0905.1,753,971,2743,2060,7535,19647,20785,4996,2636,4073,1457,835,1400
PA0905.2,4785,2074,3252,3702,1782,527,1047,980,90,189,176,13,48
PA0905.3,4853,2105,3284,3673,1714,524,1027,948,96,185,194,12,47
PA0906,87,74,118,84,92,116,117,25,60,52,13,15,21
PA0907,40,21,60,33,82,65,50,33,25,12,13,10,7
PA0908,17,11,9,29,34,41,22,13,12,7,6,6,4
PA0909,15,9,10,12,13,11,10,5,5,5,5,3,0
PA0910,25,16,21,29,42,43,40,13,18,24,13,7,4
PA0911,11,4,7,16,31,23,19,12,13,14,12,4,4
