,Neg1,Neg2,Neg3,Neg4,5min1,5min2,5min3,15min1,15min2,15min3,25min1,25min2,25min3
PA3085,152,76,160,144,160,153,256,31,41,82,1,13,11
PA3086,224,175,235,318,320,287,400,99,57,134,28,18,19
PA3087,180,144,192,268,224,196,355,61,41,57,21,12,15
PA3088,142,76,170,148,116,122,190,23,31,56,15,11,18
PA3089,20,20,10,25,27,37,57,11,15,17,13,3,5
PA3090,2,1,3,4,5,57,91,3,18,23,9,8,2
PA3091,189,155,254,216,136,173,303,36,39,77,25,10,13
fadH1,85,48,78,60,182,185,179,67,47,51,49,16,15
PA3093,331,280,431,598,436,425,630,157,119,160,67,31,34
PA3094,205,139,252,295,321,258,391,146,91,142,44,43,46
PA3094.1,4322,2308,4292,3543,4835,588,679,1655,110,206,261,43,71
PA3094.2,4297,2237,4305,3573,4799,600,642,1612,98,190,266,41,54
PA3094.3,88,95,253,177,1577,3489,3510,708,833,1578,197,194,315
xcpZ,40,30,32,74,98,40,160,29,10,30,15,2,3
xcpY,116,68,95,163,294,129,388,103,44,85,32,11,16
xcpX,68,38,77,88,89,82,242,20,26,55,13,10,14
xcpW,91,70,73,123,112,99,254,56,24,65,14,7,9
xcpV,34,20,28,50,43,30,111,18,17,15,11,1,3
xcpU,79,53,72,112,106,81,216,34,14,37,7,2,4
xcpT,109,68,109,92,47,74,148,11,27,48,6,11,7
xcpS,118,98,134,171,138,130,283,56,29,85,27,14,22
xcpR,173,105,157,261,190,156,311,40,48,94,40,22,23
xcpP,95,104,195,227,174,205,494,42,49,112,16,12,26
xcpQ,254,184,317,407,320,309,711,67,102,270,46,32,54
PA3106,561,331,488,787,1061,650,1292,553,247,562,99,46,65
metZ,736,446,644,1046,1292,1030,1779,565,324,726,121,71,91
purF,864,496,840,1092,812,779,1417,180,403,857,56,118,119
PA3109,238,192,321,390,289,405,678,55,124,247,27,31,28
PA3110,204,163,279,329,220,215,504,63,87,192,24,23,33
folC,1178,784,1185,1747,1438,1042,2794,585,373,897,138,89,120
accD,1020,649,1161,1155,621,666,1622,166,238,531,54,67,84
trpF,938,581,830,1239,1138,666,1458,379,158,364,101,36,55
truA,328,232,377,434,306,305,569,72,58,132,29,18,18
fimV,2009,1539,2549,2720,1704,2003,2763,362,560,973,119,222,226
PA3116,552,351,486,515,845,1026,1050,612,243,365,225,90,88
asd,724,378,585,660,615,665,832,172,208,356,49,68,41
leuB,137,67,116,137,163,143,259,30,33,83,23,14,9
PA3119,36,18,28,46,45,41,88,13,7,16,12,3,2
leuD,55,47,51,57,56,119,116,7,26,60,7,14,17
leuC,265,143,219,295,274,259,506,105,65,131,49,36,47
PA3122,36,19,26,50,21,74,109,3,24,37,9,15,13
PA3123,24,15,43,31,51,67,101,21,21,36,15,17,7
PA3124,176,102,129,167,255,141,241,108,41,50,40,28,14
PA3125,34,28,32,48,44,58,71,15,62,11,27,53,20
ibpA,538,534,1562,388,2093,883,396,645,1632,470,137,594,298
PA3127,16,20,25,21,28,49,57,3,13,17,18,8,7
PA3128,30,22,18,41,47,83,95,8,23,33,7,8,9
PA3129,623,459,738,912,1015,589,822,454,154,268,150,42,50
PA3130,62,45,64,85,57,90,112,27,17,46,9,5,4
PA3131,126,105,152,121,200,97,150,60,27,51,27,10,9
PA3132,32,18,27,27,236,103,62,254,115,209,44,16,16
PA3133,36,8,35,29,187,111,43,138,110,198,22,22,11
PA3133.1,264,101,171,177,193,98,186,74,12,40,15,0,16
PA3133.2,1147,594,1159,1179,1795,220,179,851,18,34,394,7,3
PA3133.3,284,104,178,172,186,110,175,93,12,28,10,7,5
PA3133.4,936,675,1781,973,1412,734,737,930,80,121,313,33,40
gltX,920,565,894,1126,699,683,991,144,324,552,51,96,102
PA3135,134,76,129,106,127,179,216,69,30,60,26,14,12
PA3136,28,17,45,34,35,69,80,9,14,13,17,5,5
PA3137,22,17,33,33,26,129,151,11,17,34,20,9,8
uvrB,242,157,270,311,291,405,468,93,100,148,49,48,51
PA3139,716,519,792,1098,514,597,1206,127,207,400,33,66,61
PA3139.1,802,663,1986,1263,1560,263,386,972,43,63,45,19,19
PA3140,35,21,38,35,25,50,113,10,14,23,7,2,6
wbpM,2567,1698,3360,3127,2922,2949,3963,974,765,1389,350,238,357
PA3142,136,87,132,133,214,158,260,104,46,82,22,24,14
PA3143,161,109,217,172,132,174,357,33,33,45,19,15,8
PA3144,52,43,94,91,24,29,106,8,1,6,2,0,2
wbpL,377,240,509,354,203,402,1017,30,63,112,37,32,31
wbpK,344,198,299,314,118,188,561,14,51,51,31,18,24
wbpJ,627,397,427,455,392,542,1223,99,146,151,67,53,52
wbpI,1221,602,1132,969,238,374,1494,48,97,82,34,47,39
wbpH,2374,1074,2337,1745,317,470,2452,85,79,93,64,44,31
wbpG,3358,1574,3461,2625,636,925,3576,130,146,213,76,56,59
hisF2,631,277,354,335,132,188,699,26,33,26,22,20,23
hisH2,192,159,267,181,62,92,248,11,25,24,15,10,11
wzx,777,444,879,671,245,327,1094,49,37,62,39,20,26
wzy,937,544,983,755,368,483,1465,76,57,86,88,32,30
wbpE,1483,987,2161,1735,443,754,1901,76,165,228,43,62,73
wbpD,933,616,1337,950,437,623,1539,124,125,155,44,32,53
PA3157,1423,958,1985,1547,512,822,2240,121,136,231,51,57,85
wbpB,800,652,1408,1186,346,627,1346,53,176,338,36,79,97
wbpA,2124,1519,2581,2618,1391,1991,3091,304,801,1130,114,352,507
wzz,1246,890,1668,1179,861,1003,2300,140,581,678,61,230,443
himD,250,164,296,262,201,230,248,57,87,115,17,27,35
rpsA,36707,24774,44415,44342,26361,21564,27113,5376,10801,17546,1192,2691,3927
cmk,350,241,355,546,773,552,771,280,113,241,46,30,37
PA3164,1307,626,1030,1302,1823,1437,2149,625,377,749,152,112,145
hisC2,683,358,638,711,788,724,1212,238,223,431,63,66,55
pheA,469,312,526,520,567,527,695,161,187,374,30,45,66
serC,561,335,619,655,570,681,904,221,273,509,56,98,95
gyrA,2943,1587,2465,2975,3074,3137,3886,1062,1417,2373,290,468,511
PA3169,256,145,233,280,343,225,365,103,76,171,22,13,34
PA3170,139,110,185,273,236,231,384,77,80,164,21,26,29
ubiG,292,206,335,436,516,315,577,221,87,163,55,42,28
PA3172,51,40,40,73,83,112,136,16,26,60,11,16,12
PA3173,96,76,159,146,141,190,283,32,48,119,18,18,17
PA3174,2,5,3,8,9,15,38,1,8,18,2,3,2
PA3175,4,4,3,10,10,14,26,0,6,11,7,2,5
gltS,6,8,17,6,11,13,40,4,4,7,21,5,5
PA3177,83,53,79,108,104,216,289,28,49,126,18,24,23
PA3178,54,46,44,49,92,106,137,19,17,42,16,5,6
PA3179,955,664,1066,1582,1858,833,1099,572,248,505,161,92,89
PA3180,21,4,15,15,14,27,44,4,13,27,3,3,3
PA3181,440,165,258,209,434,281,1103,119,77,245,32,23,39
pgl,250,85,113,138,439,169,871,138,59,173,31,21,18
zwf,1486,561,876,679,677,958,3557,179,371,767,91,110,128
PA3184,100,72,156,135,117,249,318,36,91,133,16,29,27
PA3185,818,522,755,827,922,672,964,406,184,246,188,61,71
oprB,306,136,84,114,104,216,233,74,64,151,42,34,36
PA3187,205,102,68,94,41,84,110,22,29,53,6,17,18
PA3188,59,65,26,54,10,45,60,3,5,33,12,7,5
PA3189,80,70,37,68,29,22,102,10,9,23,17,9,5
PA3190,609,498,416,516,225,146,571,89,50,161,33,27,31
PA3191,173,63,91,82,181,110,489,57,52,126,29,12,17
gltR,310,142,168,165,288,158,732,125,70,180,46,16,25
glk,728,362,466,538,741,425,1394,238,104,268,59,35,38
edd,995,414,495,464,915,683,2155,350,268,641,112,87,83
gapA,182,91,143,82,112,281,609,22,97,197,21,54,33
PA3196,93,38,76,109,67,93,210,24,27,66,5,12,11
PA3197,174,101,228,203,236,202,346,92,46,79,36,15,13
PA3198,74,58,71,96,132,96,163,45,31,39,16,7,7
PA3199,69,56,71,89,42,77,121,15,17,28,16,11,8
PA3200,171,85,137,217,225,233,356,90,51,87,22,20,15
PA3201,236,275,572,440,245,401,601,33,133,254,15,44,36
PA3202,304,217,318,434,319,243,357,115,39,99,13,15,13
PA3203,189,154,242,312,322,260,415,115,40,120,13,11,16
PA3204,67,84,105,181,168,166,244,41,38,62,19,16,15
PA3205,28,50,37,61,37,53,65,10,10,25,2,9,10
PA3206,20,26,32,48,33,117,168,7,22,41,15,3,11
PA3207,8,10,11,40,39,73,161,6,10,27,7,6,5
PA3208,120,95,134,287,192,123,299,59,39,64,20,14,11
PA3209,144,82,239,103,177,467,334,99,94,72,35,21,25
trkH,116,100,181,257,160,255,368,38,89,141,40,20,24
PA3211,217,176,314,362,278,374,533,65,94,160,31,22,25
PA3212,179,117,173,246,218,157,298,61,42,66,22,12,11
PA3213,174,147,274,273,253,272,402,77,74,117,33,18,29
PA3214,127,101,98,188,233,180,310,82,36,60,32,11,10
PA3215,180,126,185,229,167,272,332,42,62,90,21,16,23
PA3216,2,4,18,4,0,12,28,3,5,6,6,2,1
cyaB,146,161,291,366,177,225,394,38,69,130,33,10,16
PA3218,8,0,5,6,7,19,12,7,3,10,9,3,1
PA3219,3,3,7,1,5,11,7,2,4,3,9,3,3
PA3220,32,31,45,64,61,50,100,18,18,23,17,5,6
csaA,17,16,27,33,15,34,75,7,10,11,3,2,6
PA3222,20,17,17,46,30,47,97,9,9,29,7,5,4
azoR3,8,5,18,10,14,22,32,3,6,5,15,2,3
PA3224,28,23,50,59,38,130,131,4,22,47,5,9,12
PA3225,74,47,75,116,97,149,160,33,43,48,12,14,14
PA3226,37,48,63,75,100,112,117,21,17,38,6,13,5
ppiA,103,111,163,208,102,134,216,7,27,68,5,15,10
PA3228,177,114,227,269,229,215,433,90,102,121,54,35,31
PA3229,6,4,7,6,3,16,38,0,8,9,5,2,4
PA3230,117,70,127,132,104,129,199,38,47,52,21,14,6
PA3231,8,1,5,3,2,2,3,0,1,1,4,0,1
PA3232,39,24,23,29,21,27,51,5,7,21,14,5,6
PA3233,85,42,61,41,48,68,173,26,32,66,25,10,10
PA3234,141,93,152,94,103,201,345,34,70,138,17,38,39
PA3235,84,71,199,61,46,86,278,11,16,43,3,13,7
PA3236,23,19,28,11,21,36,42,6,8,16,13,5,3
PA3237,0,1,3,1,0,8,9,1,1,2,3,1,0
PA3238,71,56,94,112,80,173,236,16,74,152,27,14,33
PA3239,73,57,94,78,98,93,144,18,52,95,14,25,20
PA3240,50,38,64,54,81,111,167,29,40,56,25,21,17
PA3241,124,91,130,202,163,135,295,65,27,68,30,13,11
PA3242,278,196,348,418,438,396,760,150,132,297,45,23,43
minC,161,156,266,279,246,308,398,60,78,149,27,26,16
minD,1545,1113,1597,1601,1031,1103,1775,163,304,594,31,98,104
minE,1533,1067,2406,2028,993,944,1203,125,204,376,20,52,39
rluA,41,36,59,111,39,51,100,7,19,44,3,10,6
PA3247,216,197,245,373,262,319,601,70,86,190,34,32,45
PA3248,30,20,27,34,47,82,152,23,22,42,16,8,8
PA3249,4,7,8,8,17,62,72,6,15,16,5,3,5
PA3250,18,6,26,16,25,37,59,4,15,23,8,3,10
PA3251,1,0,4,4,4,22,13,1,3,6,18,1,2
PA3252,1,1,5,4,3,9,17,1,4,8,15,4,4
PA3253,10,6,4,7,10,25,36,5,5,9,15,4,2
PA3254,16,17,37,40,36,52,75,3,16,15,13,7,5
PA3255,69,42,77,111,46,88,108,8,30,57,13,14,12
PA3256,164,101,151,154,228,244,327,110,54,93,39,34,20
prc,965,698,1516,1217,1180,1121,1737,338,640,692,97,152,157
PA3258,30,24,35,49,35,151,193,14,41,83,24,24,15
PA3259,76,53,83,119,155,114,167,63,24,52,5,4,9
PA3260,34,27,43,91,100,56,70,13,15,11,6,2,4
PA3261,118,69,122,129,129,189,336,32,48,85,15,28,28
PA3262,1420,1105,1730,2104,940,1150,2042,138,429,909,17,103,114
PA3262.1,4197,2256,4319,3567,4696,549,751,1682,98,181,283,52,69
PA3262.2,77,90,273,157,1661,3428,3568,696,889,1629,227,193,332
PA3263,283,269,358,534,227,329,475,41,127,298,14,33,41
PA3264,54,36,52,98,50,89,164,5,16,44,23,11,5
PA3265,81,54,91,122,64,73,146,15,7,25,7,4,5
capB,6882,4565,7135,11374,4166,2916,7917,553,814,4194,93,205,413
PA3267,360,273,447,726,345,416,1044,107,147,342,75,39,40
PA3268,176,140,202,319,54,132,277,18,27,37,43,15,8
PA3269,163,90,105,149,135,106,167,23,13,40,20,7,9
PA3270,674,351,663,718,497,295,717,122,80,139,20,23,20
PA3271,767,513,696,658,424,658,2057,195,188,363,76,85,57
PA3272,152,116,219,227,596,331,525,540,250,134,351,147,60
PA3273,11,4,14,17,31,20,20,7,10,13,15,4,1
PA3274,2,0,0,2,0,18,22,0,4,7,9,2,2
PA3275,49,28,45,59,58,51,111,19,7,12,3,2,1
PA3276,128,103,152,153,112,73,119,27,21,27,7,5,1
PA3277,21,9,11,25,45,27,74,11,12,10,12,2,5
PA3278,13,10,17,23,12,16,44,5,6,10,14,2,4
oprP,2,4,7,0,4,7,18,0,5,10,19,2,4
oprO,12,9,21,17,17,30,45,4,10,10,18,4,5
PA3281,32,19,37,40,42,28,76,9,11,21,8,9,11
PA3282,14,5,18,18,16,11,18,5,15,15,17,11,14
PA3283,120,84,83,297,405,99,108,122,36,45,50,24,38
PA3284,211,80,124,275,276,193,179,100,44,52,22,18,27
PA3285,205,128,197,295,226,158,296,67,46,99,23,17,17
PA3286,363,260,426,505,219,267,574,59,76,150,21,24,30
PA3287,4,5,4,13,10,14,33,2,2,6,3,4,1
PA3288,55,44,57,64,99,72,122,36,16,32,12,6,9
PA3289,1,3,8,13,7,18,31,2,1,6,1,2,3
PA3290,90,62,117,103,140,233,317,57,124,80,83,58,34
PA3291,23,14,52,25,10,18,22,2,4,3,70,5,4
PA3292,16,16,42,16,20,17,33,5,7,16,24,6,5
PA3293,24,15,22,20,18,29,40,8,3,11,5,2,2
PA3294,54,36,51,98,67,39,60,11,12,14,25,2,5
PA3295,148,134,249,242,103,140,223,10,34,68,13,4,5
phoA,4,4,6,10,4,23,35,0,5,15,22,7,3
PA3297,738,471,724,971,1240,883,1537,377,246,440,140,90,80
PA3298,28,11,13,30,16,19,25,7,2,7,3,1,0
fadD1,1663,1132,1897,2078,1291,1247,1540,266,313,627,77,103,121
fadD2,56,37,70,42,54,81,95,6,31,49,43,12,7
PA3301,72,73,121,129,99,137,222,13,38,68,10,14,8
PA3302,132,113,180,242,103,166,223,15,35,90,10,15,14
PA3303,23,16,31,34,42,49,100,4,12,17,10,7,4
PA3304,61,53,88,101,78,124,154,21,45,51,17,14,6
PA3304.1,0,2,4,2,1,4,5,1,0,5,1,1,0
PA3305,212,132,221,261,342,380,520,135,97,126,59,17,22
phrS,1458,890,1153,4113,6451,680,5177,655,114,434,121,65,139
PA3306,125,88,142,172,216,154,318,67,42,62,21,11,11
PA3307,28,30,46,109,61,29,54,21,6,13,10,3,1
hepA,1043,794,1191,1656,1859,1419,1996,710,597,1232,219,171,273
PA3309,1451,825,807,4429,3069,1155,10772,1053,294,786,204,157,233
PA3310,138,106,195,223,131,277,998,34,62,141,37,34,29
PA3311,5,5,20,10,9,82,84,1,30,32,20,6,5
PA3312,51,60,72,116,104,76,107,34,20,39,20,9,9
PA3313,208,205,292,411,178,280,267,19,73,167,14,36,21
PA3314,131,142,188,277,245,147,187,72,30,49,20,9,3
PA3315,55,55,73,90,84,118,171,33,29,38,6,7,9
PA3316,82,71,89,122,124,106,200,37,23,50,7,11,9
PA3317,148,99,157,221,204,166,286,61,39,74,30,7,12
PA3318,3,2,15,15,10,10,24,3,4,7,6,2,3
plcN,24,12,15,21,29,33,66,8,14,15,24,9,6
PA3320,4,5,5,2,10,2,4,3,3,2,1,0,0
PA3321,54,35,52,51,40,80,104,19,20,11,19,8,8
PA3322,215,175,272,317,291,258,403,78,49,85,11,14,18
PA3323,4,5,13,9,9,18,17,2,5,9,24,4,11
PA3324,15,11,8,27,22,54,66,7,16,21,13,5,10
PA3325,6,2,4,7,7,18,36,3,5,17,19,4,9
PA3326,105,53,114,125,63,108,93,12,46,60,15,19,18
PA3327,21,10,48,36,57,123,161,16,28,50,143,14,18
PA3328,3,0,2,2,8,14,16,6,2,1,12,0,1
PA3329,3,3,3,5,4,13,25,3,4,4,9,4,3
PA3330,7,4,5,7,11,17,24,10,2,5,7,0,0
PA3331,2,2,3,10,5,29,95,4,8,16,18,4,1
PA3332,4,0,0,0,5,3,3,0,2,0,8,3,0
fabH2,2,1,2,4,18,10,22,2,2,4,9,3,0
PA3334,4,0,8,0,6,1,2,1,1,1,8,0,1
PA3335,8,4,4,8,16,12,19,2,1,7,16,2,4
PA3336,5,5,13,22,34,41,104,17,14,17,13,5,5
rfaD,35,18,37,113,92,119,263,36,50,66,25,17,26
PA3338,17,14,23,20,9,28,29,2,6,15,4,2,2
plpD,85,65,121,137,86,200,285,31,49,104,44,28,24
PA3340,196,120,200,374,307,354,519,101,98,143,48,22,27
PA3341,82,73,98,138,137,144,297,41,68,120,33,16,21
PA3342,23,12,24,39,39,47,105,26,22,24,20,7,4
PA3343,140,91,176,132,173,140,282,38,38,63,45,10,25
recQ,1135,691,1138,1505,2050,1397,2350,811,501,876,261,154,233
PA3345,838,534,845,868,942,540,1057,394,93,218,68,16,31
PA3346,81,55,88,109,125,165,237,53,43,66,36,16,24
PA3347,36,21,50,54,32,37,51,6,5,32,4,7,4
PA3348,322,197,321,381,258,441,679,79,134,219,36,52,56
PA3349,926,468,897,1048,761,989,1660,216,256,501,67,114,118
PA3350,359,259,475,420,288,307,685,57,43,91,20,11,10
flgM,1163,609,1043,1705,1006,871,1839,224,120,449,83,40,54
PA3352,215,163,277,374,147,260,470,30,54,120,11,23,30
PA3353,145,95,196,242,161,216,284,27,49,146,23,26,30
PA3354,44,25,37,45,43,124,171,21,20,41,14,10,14
PA3355,124,70,67,101,101,120,252,29,26,72,21,23,13
PA3356,420,177,196,262,307,284,496,89,106,134,38,40,37
dsdA,93,46,71,130,114,120,143,29,41,49,18,12,11
PA3358,38,18,26,46,33,45,61,7,11,17,9,1,3
PA3359,4,1,17,6,12,43,52,3,6,10,20,2,5
PA3360,17,13,21,46,17,32,51,15,5,11,21,5,1
lecB,5,3,12,4,8,19,21,2,3,8,5,1,4
PA3362,20,7,31,11,26,23,39,10,11,13,19,2,2
amiR,30,30,30,23,16,36,77,8,9,32,12,0,4
amiC,81,50,67,58,58,84,229,22,23,65,16,9,7
PA3365,59,59,68,54,47,80,177,31,27,52,24,13,8
amiE,204,127,163,152,72,203,283,10,51,74,17,26,28
amiL,15,7,22,20,3,74,81,1,4,6,0,0,2
PA3367,20,7,25,34,23,45,90,3,4,13,4,1,4
PA3368.1,9,11,51,27,91,34,39,63,2,5,38,4,7
PA3368,24,18,21,19,27,31,53,12,7,3,14,0,2
PA3369,6,6,17,11,8,12,20,4,5,5,3,3,4
PA3370,1,0,8,5,1,4,4,0,1,3,10,1,1
PA3371,3,4,4,3,2,8,9,0,1,1,4,1,1
PA3372,22,11,20,32,36,38,59,6,5,11,6,3,3
PA3373,72,53,86,122,124,81,136,47,6,29,14,8,5
PA3374,30,17,38,39,58,45,99,16,14,30,18,3,7
PA3375,1,1,2,3,5,14,14,1,6,6,10,1,4
PA3376,1,0,2,3,6,12,20,1,2,2,8,1,2
PA3377,4,2,6,1,2,9,20,0,9,2,15,5,2
PA3378,6,0,8,3,7,12,43,2,6,6,12,2,1
PA3379,2,0,1,1,0,6,11,0,1,2,2,2,0
PA3380,1,0,1,0,0,2,6,1,0,0,4,1,0
PA3381,3,0,5,2,1,2,5,0,0,1,4,1,0
phnE,3,0,6,2,3,8,11,0,2,7,15,3,3
PA3383,1,1,8,5,2,2,7,0,4,2,19,5,3
phnC,4,3,5,1,6,13,23,2,4,0,9,0,5
amrZ,522,459,898,880,574,550,1062,42,243,486,11,75,95
PA3386,39,37,48,77,48,23,89,14,14,23,3,3,3
rhlG,10,6,17,18,16,16,51,2,2,8,15,7,1
PA3388,13,19,32,46,54,32,63,15,11,18,14,5,4
PA3390,2,4,8,2,4,10,22,2,7,7,6,3,2
PA3389,5,7,11,3,9,14,16,1,4,8,7,4,3
nosR,2,2,6,16,37,18,357,18,13,17,19,10,11
nosZ,9,6,17,13,34,12,331,19,13,41,34,9,12
nosD,3,6,4,14,47,22,325,31,8,10,33,6,7
nosF,2,1,6,8,17,25,209,9,7,7,7,2,0
nosY,1,1,1,5,9,11,173,3,1,4,13,2,4
nosL,2,0,1,9,22,22,241,17,3,8,3,0,2
fpr,805,613,1008,1246,672,726,1016,123,212,431,41,68,102
PA3398,96,83,147,122,95,132,155,21,32,35,21,14,8
PA3399,31,26,27,32,34,73,82,3,10,29,20,3,8
PA3400,31,17,47,58,44,53,84,10,12,41,15,3,13
PA3401,112,76,119,160,139,111,207,32,36,56,19,7,8
PA3402,95,61,119,196,106,98,245,36,38,74,26,14,13
PA3403,85,71,103,151,75,69,253,37,39,101,34,9,17
PA3404,2,3,4,0,9,26,51,2,6,16,9,4,7
hasE,2,1,10,2,6,10,8,1,2,3,15,0,0
hasD,3,4,2,9,6,3,19,6,3,1,9,3,1
hasAp,4,14,8,7,12,41,56,4,14,35,12,7,3
hasR,5,7,24,16,18,54,82,7,11,15,36,14,11
PA3409,19,19,35,71,97,67,166,41,11,24,12,1,0
PA3410,75,71,90,87,40,80,190,12,15,37,20,6,5
PA3411,47,35,46,60,52,41,89,11,16,28,2,3,3
PA3412,3015,1765,3272,2335,2130,2887,4211,740,494,1154,126,131,116
PA3413,52,22,67,55,59,54,82,9,36,62,25,25,40
PA3414,64,37,43,83,89,63,48,28,22,28,32,10,9
PA3415,5,6,9,9,9,77,48,5,16,31,15,13,11
PA3416,1,1,13,3,11,75,55,2,22,28,7,14,14
PA3417,4,0,4,3,5,67,54,2,10,36,20,13,10
ldh,13,10,12,11,4,316,254,1,81,154,7,63,61
PA3419,34,20,46,34,38,34,65,13,6,18,16,5,2
PA3420,18,10,19,14,36,39,49,14,6,9,35,8,3
PA3421,8,1,6,7,10,19,26,0,8,4,13,7,3
PA3422,6,2,8,5,8,46,39,2,12,11,32,7,1
PA3423,59,63,109,113,84,64,102,16,24,25,11,4,5
PA3424,16,11,11,37,16,33,66,13,10,13,17,1,4
PA3425,4,0,4,2,0,10,15,1,9,5,1,0,1
PA3426,31,19,36,50,74,63,90,27,15,17,11,7,8
PA3427,32,18,49,29,67,50,71,18,11,23,16,4,2
PA3428,4,0,11,7,7,12,6,3,1,1,6,1,1
PA3429,6,7,10,11,13,31,45,1,10,10,10,4,2
PA3430,9,10,17,8,14,29,45,4,10,18,22,3,7
PA3431,28,28,51,54,77,64,147,60,10,23,37,3,5
PA3432,15,13,25,34,23,43,60,6,16,7,8,8,3
PA3433,72,55,98,83,75,96,128,25,23,32,22,5,11
PA3434,99,47,88,72,87,152,212,30,26,37,18,7,9
PA3435,215,120,206,200,164,150,179,17,46,107,11,11,21
PA3436,8,7,13,13,11,22,20,1,0,5,5,3,1
folM,69,93,174,201,42,100,194,12,21,26,9,5,7
folE1,37,47,107,76,60,96,89,9,20,41,13,5,8
folX,60,44,97,64,71,94,132,11,18,36,10,14,10
PA3440,45,43,114,77,32,51,42,4,25,27,13,6,3
PA3441,12,5,6,8,6,11,41,0,8,7,7,4,4
PA3442,4,1,0,15,9,40,76,3,7,11,6,3,1
PA3443,7,0,3,4,6,14,22,0,5,4,9,0,1
PA3444,12,4,9,19,11,9,13,8,4,1,16,3,1
PA3445,43,4,6,12,9,14,33,6,10,7,6,3,4
PA3446,158,20,31,34,51,40,55,24,32,7,17,4,3
PA3447,5,0,3,1,4,8,14,1,2,1,4,2,2
PA3448,4,6,9,2,3,7,13,2,1,4,5,3,1
PA3449,13,0,2,3,3,4,14,2,0,5,9,0,1
PA3450,203,33,41,52,15,69,102,8,35,37,14,12,11
PA3451,4,4,5,4,0,24,33,0,9,5,0,3,1
mqoA,1389,1760,2762,2881,592,2163,1343,161,594,752,51,168,117
PA3453,116,92,138,219,215,104,164,52,21,50,21,14,5
PA3454,24,17,25,27,43,27,62,10,12,15,23,6,9
PA3455,139,72,135,146,161,171,274,63,53,93,50,24,17
PA3456,127,109,135,217,246,168,280,79,43,67,46,16,11
PA3457,40,44,75,117,156,92,203,53,18,41,18,4,5
PA3458,36,22,37,56,28,56,150,6,9,30,15,10,10
PA3459,48,30,50,74,64,136,369,20,50,67,25,21,20
PA3460,40,17,33,59,81,100,177,31,29,38,26,15,16
PA3461,19,11,22,39,29,75,92,8,25,41,23,7,8
PA3462,11,9,26,23,28,47,49,10,10,22,22,4,5
PA3463,12,15,17,23,12,22,33,4,9,11,2,1,3
PA3464,40,31,39,64,52,50,99,22,11,27,14,4,5
PA3465,25,17,40,100,123,246,518,97,59,159,31,27,22
PA3466,267,138,235,314,268,254,416,94,84,172,24,27,37
PA3467,16,9,21,19,7,31,55,6,4,9,24,5,5
PA3468,106,86,132,171,142,173,200,31,62,90,28,20,15
PA3469,50,29,41,63,56,65,89,20,25,40,3,7,11
PA3470,21,18,43,34,45,62,85,16,12,22,11,3,3
PA3471,604,327,483,587,393,452,684,105,156,274,41,47,45
PA3472,131,162,272,246,99,145,174,11,42,91,9,15,12
PA3473,105,77,136,159,109,125,224,30,31,64,30,7,16
PA3474,78,65,135,105,84,119,158,21,28,55,24,7,9
pheC,76,74,140,145,99,100,178,47,33,76,18,18,7
rhlI,249,157,365,287,232,225,300,31,48,107,18,13,20
rhlR,287,143,346,319,199,313,493,44,98,188,20,54,42
rhlB,6,2,11,6,11,44,53,8,5,17,17,4,2
rhlA,6,10,12,11,26,31,33,7,5,12,15,5,1
PA3480,745,519,970,834,822,665,929,253,160,313,66,39,34
PA3481,201,148,207,283,214,248,371,73,70,128,30,20,16
metG,797,556,965,1195,711,839,1238,154,307,616,63,90,99
PA3483,299,239,326,605,361,289,551,100,45,96,24,9,16
PA3484,75,105,114,190,118,88,205,20,22,36,29,15,14
PA3485,36,44,57,118,100,43,103,20,8,18,13,3,3
PA3486,40,39,87,80,80,137,193,12,25,55,58,18,9
pldA,123,86,166,187,173,195,254,25,55,98,54,35,28
PA3488,9,13,20,22,6,23,19,0,3,7,3,4,1
PA3489,54,48,95,123,82,96,143,21,26,59,15,10,8
PA3490,77,66,94,146,148,111,191,33,23,51,14,3,11
PA3491,120,123,203,342,398,239,474,130,58,125,47,17,30
PA3492,44,38,59,77,97,136,192,28,40,57,11,7,13
PA3493,72,61,90,158,113,114,222,45,23,51,11,8,18
PA3494,82,43,79,108,94,113,197,18,19,40,6,4,10
nth,34,32,55,78,38,58,89,5,20,34,11,4,10
PA3496,417,493,1692,698,470,617,583,59,87,117,8,26,21
PA3497,8,6,12,5,12,65,61,5,13,25,9,5,6
PA3498,38,20,56,30,61,60,97,6,21,26,12,3,4
PA3499,2,3,2,6,15,12,12,3,4,4,2,1,0
PA3500,7,5,6,8,13,18,18,4,5,14,15,4,6
PA3501,1,0,4,2,1,5,1,0,0,2,1,0,0
PA3502,2,2,4,2,2,7,11,0,2,3,3,1,1
PA3503,5,1,4,7,9,6,11,6,5,6,4,4,3
PA3504,22,6,37,38,44,69,98,13,14,26,34,10,6
PA3505,7,4,11,5,15,30,41,6,5,8,11,5,1
PA3506,12,3,7,8,8,17,29,5,7,6,17,3,1
PA3507,2,2,10,3,4,13,17,0,5,2,4,3,3
PA3508,3,2,5,2,6,18,28,0,6,6,13,4,2
PA3509,2,0,2,6,10,7,22,3,4,11,6,0,4
PA3510,1,4,5,0,2,6,7,0,1,2,10,0,0
PA3511,0,0,6,1,8,5,11,1,3,1,9,2,2
PA3512,2,3,5,7,10,13,28,2,5,4,13,4,1
PA3513,16,6,17,6,17,17,35,8,6,15,8,7,4
