old_locus_tag,X0.mM.SA.counts,X2.mM.SA.counts
PA14_06300,259,272
PA14_06310,560,535
PA14_06320,953,953
PA14_06330,1754,1465
PA14_06340,1350,1233
PA14_06350,225,229
PA14_06360,176,200
PA14_06390,216,232
PA14_06400,604,647
PA14_06420,3307,2976
PA14_06430,1866,1699
PA14_06450,6242,5561
PA14_06460,4163,3849
PA14_06480,3399,3242
,58,51
PA14_06500,12501,10189
PA14_06510,4760,3583
PA14_06530,2968,2189
PA14_06540,2109,1576
PA14_06570,1442,1071
PA14_06580,947,871
PA14_06600,7128,4415
PA14_06620,441,459
,23,27
PA14_06640,2787,2008
PA14_06650,2736,2498
PA14_06660,2425,2163
PA14_06670,3455,2964
PA14_06680,1537,1349
PA14_06690,1435,1235
PA14_06700,1820,1577
PA14_06710,2300,1942
PA14_06720,7186,5978
PA14_06730,3060,2536
PA14_06740,4730,4191
PA14_06750,18166,20521
PA14_06770,1010,993
PA14_06790,201,179
PA14_06800,42,66
PA14_06810,148,495
PA14_06830,403,618
PA14_06840,288,278
PA14_06860,1837,1661
PA14_06870,6731,4934
PA14_06880,201,242
PA14_06890,513,836
PA14_06900,186,253
PA14_06920,401,531
PA14_06930,164,183
PA14_06940,35,46
PA14_06950,1663,1500
,35,32
PA14_06960,549,548
PA14_06970,611,542
PA14_06980,3401,5085
PA14_06990,3556,4725
PA14_07000,1427,1109
PA14_07010,171,190
PA14_07020,225,183
PA14_07030,2634,1970
PA14_07040,4101,3692
PA14_07050,179,237
PA14_07060,1072,814
PA14_07070,3729,3642
PA14_07090,27768,22145
PA14_07110,11474,9630
PA14_07130,26757,22414
PA14_07140,5089,4347
PA14_07150,175,178
PA14_07170,4150,3417
PA14_07190,12009,10285
PA14_07200,1953,1631
PA14_07210,3357,2983
PA14_07230,20122,18168
PA14_07240,2761,2287
PA14_07250,97,75
PA14_07260,606,596
PA14_07280,1167,974
PA14_07290,862,850
PA14_07300,1423,1378
PA14_07310,859,881
PA14_07330,4232,27183
PA14_07340,750,629
PA14_07355,287,265
PA14_07360,751,774
PA14_07370,248,655
PA14_07380,804,887
PA14_07400,740,779
PA14_07410,617,558
PA14_07420,860,843
PA14_07430,6360,4140
,52,60
PA14_07440,250,203
PA14_07450,2437,2070
PA14_07460,516,412
PA14_07470,695,536
PA14_07480,7050,6610
PA14_07500,1292,1250
PA14_07520,76082,74149
PA14_07530,10420,9230
PA14_07550,13843,11387
PA14_07560,28058,20194
PA14_07570,5276,4449
PA14_07580,1031,1021
PA14_07590,804,717
PA14_07600,934,877
PA14_07620,1334,1339
PA14_07630,96,122
PA14_07650,1199,1560
PA14_07660,1526,1909
PA14_07680,4833,6487
PA14_07690,984,880
PA14_07700,2524,2376
PA14_07710,2037,1848
PA14_07730,2461,2049
PA14_07740,4220,3630
PA14_07760,12858,11508
PA14_07770,51039,45088
PA14_07780,2412,2245
PA14_07790,1255,1142
PA14_07800,1507,1316
PA14_07810,1362,1252
PA14_07820,2306,2220
PA14_07840,945,853
PA14_07850,1746,1389
PA14_07860,743,1199
PA14_07870,979,1371
PA14_07890,468,697
PA14_07900,333,435
PA14_07910,2285,1776
PA14_07930,2464,1991
PA14_07940,6353,5580
PA14_07950,1111,1137
PA14_07960,2982,2723
PA14_07970,489,493
PA14_07980,1136,1312
,495,519
PA14_08000,1303,1332
PA14_08010,1129,1141
PA14_08020,742,765
PA14_08030,1506,1614
PA14_08040,1195,1329
PA14_08050,4362,4527
PA14_08060,990,1043
PA14_08070,6081,6179
PA14_08090,3277,3352
PA14_08100,1597,1572
PA14_08120,5551,5890
PA14_08130,1698,1770
PA14_08140,385,406
PA14_08150,1410,1425
PA14_08160,809,841
PA14_08180,408,415
PA14_08190,269,276
PA14_08200,611,586
PA14_08210,3268,3159
PA14_08220,1905,1853
PA14_08230,994,938
PA14_08240,3877,3977
PA14_08250,878,829
PA14_08260,1264,1238
PA14_08270,1196,1169
PA14_08280,1054,1014
PA14_08300,4429,4575
PA14_08310,2739,2695
PA14_08320,939,866
PA14_08330,1216,1244
PA14_08340,2595,2355
PA14_08350,3692,3333
PA14_08360,2982,2610
PA14_08370,17000,13004
PA14_08380,1543,1318
PA14_08390,9700,8043
PA14_08400,4612,4116
PA14_08420,286,265
PA14_08430,2237,2058
PA14_08440,2321,2752
PA14_08450,6245,11474
PA14_08460,2682,2380
PA14_08470,952,883
PA14_08480,4551,4101
PA14_08490,3585,2957
PA14_08500,3428,2827
PA14_08510,2991,2481
PA14_08520,6873,6027
PA14_08540,15476,15514
PA14_08560,9851,8085
PA14_08570,8,7
PA14_08580,0,0
PA14_08590,1,3
PA14_08600,49,75
PA14_08610,0,0
PA14_08620,3130,2652
PA14_08630,2007,1887
PA14_08640,1929,1792
PA14_08650,7198,5662
PA14_08660,14178,11003
PA14_08670,8898,7349
PA14_08680,23511,20239
PA14_08690,12099,11629
PA14_08695,27973,25039
PA14_08710,40098,33631
PA14_08720,112842,101894
PA14_08730,146045,135076
PA14_08740,180467,160501
PA14_08750,158498,147537
PA14_08760,364829,322784
PA14_08780,430233,379727
PA14_08790,87329,76610
PA14_08810,103279,94607
PA14_08820,378652,346536
PA14_08830,65300,56736
PA14_08840,54951,49222
PA14_08850,102587,97202
PA14_08860,90827,86369
PA14_08870,50960,49936
PA14_08880,101424,96428
PA14_08890,56603,55240
PA14_08900,55129,53083
PA14_08910,104848,101828
PA14_08920,69062,63458
PA14_08930,25809,24735
PA14_08940,47855,44827
PA14_08950,60306,57186
PA14_08960,59065,56852
PA14_08970,108487,101070
PA14_08980,46836,43060
PA14_08990,77302,67717
PA14_09000,121976,115363
PA14_09010,95920,96144
PA14_09020,116010,105261
PA14_09030,57984,50679
PA14_09040,105118,97011
PA14_09050,190496,178077
PA14_09070,28623,26627
PA14_09080,67666,63862
PA14_09090,77435,70657
PA14_09100,93761,90542
PA14_09115,131300,122280
PA14_09130,76863,69860
PA14_09150,12463,10364
PA14_09160,9360,8139
PA14_09180,12020,10568
PA14_09195,7659,6857
PA14_09200,14828,13018
PA14_09210,4477,3811
PA14_09220,1147,968
PA14_09230,1058,927
PA14_09240,2893,2508
PA14_09260,1027,857
PA14_09270,9347,8623
PA14_09280,13099,11335
PA14_09290,2441,1821
PA14_09300,3907,3013
PA14_09320,3113,2420
PA14_09340,7977,6347
PA14_09350,809,748
,2014,1647
PA14_09380,2429,1720
PA14_09400,2879,2687
,22,41
PA14_09410,203,225
PA14_09420,0,0
PA14_09440,205,180
PA14_09450,91,84
PA14_09460,869,808
PA14_09470,2176,2131
PA14_09480,486,420
,11,9
PA14_09490,1541,1289
PA14_09500,689,693
PA14_09520,1170,1441
PA14_09530,606,855
PA14_09540,375,535
PA14_09550,881,1125
PA14_09570,392,430
PA14_09580,1598,1544
PA14_09600,2406,2350
PA14_09610,7229,8575
PA14_09630,22430,26546
PA14_09660,28511,34464
PA14_09680,4977,5147
PA14_09690,1795,1801
PA14_09700,2123,2015
PA14_09710,145,154
PA14_09730,132,112
PA14_09740,72,64
PA14_09750,526,468
PA14_09760,823,778
PA14_09770,1098,1005
PA14_09780,566,574
PA14_09790,970,903
PA14_09810,401,305
,26,24
PA14_09820,2952,2855
PA14_09850,377,410
PA14_09870,219,181
PA14_09880,79,55
PA14_09890,1810,1571
PA14_09900,1383,1286
PA14_09910,415,404
PA14_09920,21,28
PA14_09930,57,33
PA14_09940,120,106
PA14_09950,325,330
PA14_09960,224,200
PA14_09970,79,69
PA14_09980,40,37
PA14_09990,108,128
PA14_10010,976,955
PA14_10020,891,800
PA14_10040,4992,4500
PA14_10050,53,45
PA14_10070,121,146
PA14_10080,86,91
PA14_10090,440,523
PA14_10110,160,133
PA14_10120,588,514
PA14_10130,254,233
PA14_10140,66,77
PA14_10160,60,45
PA14_10170,35,63
PA14_10180,46,62
PA14_10190,1351,1170
PA14_10200,161,139
PA14_10210,108,92
PA14_10220,361,334
PA14_10230,105,122
PA14_10240,102,81
PA14_10250,40,29
PA14_10260,37,24
PA14_10270,28,21
PA14_10280,15,11
PA14_10290,900,832
PA14_10300,103,81
PA14_10320,858,849
PA14_10330,235,200
PA14_10340,370,333
PA14_10350,589,549
PA14_10360,4717,3866
PA14_10370,283,379
PA14_10380,1578,1547
PA14_10410,1,0
PA14_10420,743,604
PA14_10440,107,80
PA14_10470,597,600
PA14_10480,1121,829
PA14_10490,3610,3318
PA14_10500,22073,18217
PA14_10530,25496,20933
PA14_10540,36414,29606
PA14_10550,25454,23355
PA14_10560,5539,5053
PA14_10570,138,124
PA14_10590,125,96
PA14_10600,126,145
PA14_10610,144,142
PA14_10620,401,361
PA14_10630,385,394
PA14_10640,207,212
PA14_10650,173,190
PA14_10660,203,199
PA14_10670,786,768
PA14_10680,1238,1091
PA14_10700,5630,4744
PA14_10710,1208,1093
PA14_10730,5346,5754
PA14_10740,1180,960
PA14_10750,796,721
PA14_10770,1138,1181
PA14_10780,401,427
PA14_10790,354,314
PA14_10800,986,977
,265,288
PA14_10820,516,586
PA14_10830,1098,1077
PA14_10840,659,671
PA14_10850,251,178
PA14_10870,40,20
PA14_10890,6,5
PA14_10900,14,25
PA14_10910,163,149
PA14_10920,12,9
PA14_10940,855,918
PA14_10950,138,126
PA14_10960,64,54
PA14_10970,58,55
PA14_10980,468,484
PA14_10990,24,24
PA14_11000,235,181
PA14_11010,658,667
PA14_11020,33,31
PA14_11030,92,67
PA14_11050,52,48
PA14_11060,269,280
PA14_11070,58,50
PA14_11080,89,78
PA14_11090,21,24
PA14_11100,249,278
PA14_11110,107,123
PA14_11120,257,270
PA14_11130,1779,1536
PA14_11140,448,433
PA14_11150,168,204
PA14_11160,308,303
PA14_11170,1394,1234
PA14_11180,149,136
PA14_11190,233,142
PA14_11210,101,88
PA14_11230,22,13
PA14_11240,227,282
PA14_11250,5931,5423
PA14_11260,3667,3495
,4092,3346
PA14_11270,243730,200916
PA14_11280,695,702
PA14_11290,768,711
PA14_11310,650,546
PA14_11320,416,393
PA14_11330,174,140
PA14_11340,8229,8781
PA14_11350,669,659
PA14_11370,814,796
,7,3
PA14_11380,2133,1826
PA14_11400,5133,4420
PA14_11410,1557,1431
PA14_11420,2688,2430
PA14_11430,8757,7468
PA14_11450,7439,6338
PA14_11460,4815,3901
PA14_11470,1992,1769
PA14_11480,1582,1296
PA14_11490,1274,1162
PA14_11510,3736,3359
PA14_11520,1762,1376
PA14_11530,1627,1418
PA14_11550,12657,11177
PA14_11560,3501,2991
PA14_11570,1244,1102
PA14_11580,223,218
PA14_11590,107,83
PA14_11600,120,87
PA14_11610,31,33
PA14_11620,85,58
PA14_11630,1653,1470
PA14_11650,1410,1338
PA14_11660,287,297
PA14_11670,90,76
PA14_11680,1619,1635
PA14_11690,15243,12617
PA14_11700,1732,1274
PA14_11720,1844,1433
PA14_11730,271,274
PA14_11740,1107,1077
PA14_11750,1782,1832
PA14_11760,470,337
PA14_11770,686,541
PA14_11790,455,302
PA14_11810,1221,805
PA14_11830,2526,2413
PA14_11845,5112,4701
PA14_11860,1892,1665
PA14_11880,572,524
PA14_11890,1378,1457
PA14_11900,2258,1988
PA14_11910,1119,1159
PA14_11920,614,515
PA14_11930,1672,1443
PA14_11940,1761,1702
PA14_11960,2597,2261
PA14_11970,1968,1751
PA14_11980,334,340
PA14_11990,158,210
PA14_12010,5433,4596
PA14_12020,5987,5291
PA14_12030,4474,3609
PA14_12050,2491,2082
PA14_12060,7520,6401
PA14_12070,3572,3111
PA14_12080,7403,6457
PA14_12090,9093,8124
PA14_12100,17668,14877
PA14_12110,5801,4935
PA14_12120,6976,5790
PA14_12130,11094,9477
PA14_12140,691,666
PA14_12150,151,139
,21,27
PA14_12160,5585,4761
,3,7
PA14_12180,318,242
PA14_12200,3776,3311
PA14_12210,5223,4460
PA14_12230,31331,26969
PA14_12260,206,232
PA14_12270,751,665
PA14_12280,6133,5321
PA14_12300,8698,7946
PA14_12310,4552,3848
PA14_12330,11878,10648
PA14_12350,8271,6591
PA14_12360,1533,1026
PA14_12370,3993,4427
PA14_12390,6602,5704
PA14_12400,2083,1969
PA14_12410,3125,2596
,7608,6781
PA14_12440,525,606
PA14_12450,1384,1452
PA14_12470,331,329
PA14_12490,4050,3845
,590,563
PA14_12530,736,605
PA14_12540,1616,1328
PA14_12550,1231,989
PA14_12560,3626,3423
PA14_12570,461,429
,58,66
PA14_12610,852,855
PA14_12620,1881,1614
PA14_12630,3471,3032
PA14_12640,102,117
PA14_12650,340,253
PA14_12670,2126,1725
PA14_12680,140,140
PA14_12690,653,665
PA14_12700,718,606
PA14_12710,278,234
PA14_12730,346,306
,3349,4096
PA14_12750,1618,1723
PA14_12760,3405,3042
PA14_12770,1985,1797
,31,27
PA14_12780,3164,3154
PA14_12810,509,515
PA14_12820,487,614
PA14_12840,751,832
PA14_12850,941,839
PA14_12860,1338,1319
PA14_12870,1871,2064
PA14_12890,980,905
PA14_12900,28282,27339
PA14_12910,137,169
PA14_12920,218,237
PA14_12940,86,97
PA14_12960,76,59
PA14_12970,84,94
PA14_12980,3633,4083
PA14_12990,2845,2525
PA14_13000,143,158
PA14_13010,304,305
PA14_13030,1031,1031
PA14_13040,841,889
PA14_13050,316,265
PA14_13060,711,711
PA14_13070,213,215
PA14_13090,4859,3640
PA14_13110,572,436
,58,26
PA14_13130,968,810
PA14_13140,809,738
PA14_13150,2418,2043
PA14_13170,446,5002
,3,0
PA14_13190,1194,2184
PA14_13200,265,317
PA14_13210,9,13
PA14_13220,69,77
PA14_13230,1886,1666
PA14_13240,597,488
PA14_13250,951,821
PA14_13260,520,469
PA14_13280,350,303
PA14_13290,4163,3238
PA14_13300,2977,2411
PA14_13320,1511,1332
PA14_13330,414,384
PA14_13340,180,207
PA14_13350,6487,12252
PA14_13360,5894,10176
PA14_13370,3311,6069
PA14_13380,5194,9335
PA14_13390,5791,7421
PA14_13410,6680,5573
PA14_13420,935,1142
PA14_13430,989,723
PA14_13450,77,78
PA14_13460,79,73
PA14_13470,998,893
PA14_13490,89,79
PA14_13500,1265,1139
PA14_13510,809,893
PA14_13520,847,942
PA14_13530,682,683
,79,70
PA14_13560,493,441
PA14_13580,307,430
PA14_13590,139,240
PA14_13600,210,349
PA14_13610,209,257
,18,19
PA14_13620,2210,2894
PA14_13630,234,209
PA14_13650,1050,941
PA14_13660,131,115
PA14_13670,180,158
PA14_13680,733,683
PA14_13690,992,961
PA14_13710,1214,969
PA14_13720,1896,1899
PA14_13730,5803,5274
PA14_13740,8815,7902
PA14_13750,3825,3055
PA14_13770,1259,1233
PA14_13780,2474,2068
PA14_13800,999,925
PA14_13810,378,367
PA14_13830,294,248
PA14_13840,347,382
PA14_13850,250,233
PA14_13870,124,120
PA14_13890,306,306
,167,143
PA14_13940,924,912
PA14_13950,1617,1596
PA14_13990,1485,1317
PA14_14000,1067,912
PA14_14010,1037,872
PA14_14020,1085,974
PA14_14040,15498,13227
,73,61
PA14_14060,1148,892
PA14_14080,2365,1963
PA14_14100,800,695
PA14_14110,1417,1364
PA14_14130,1065,990
PA14_14140,1079,1025
PA14_14150,946,951
PA14_14160,1316,1219
PA14_14170,1386,1396
PA14_14200,602,592
PA14_14210,2266,7183
PA14_14220,967,788
PA14_14230,1688,1666
PA14_14250,491,471
PA14_14270,827,757
PA14_14280,531,513
PA14_14290,328,268
PA14_14300,311,262
PA14_14310,762,633
PA14_14320,67,59
,201,133
PA14_14330,271,189
PA14_14340,886,797
PA14_14360,2865,2568
PA14_14370,3694,3312
PA14_14380,3901,3413
PA14_14390,7128,6795
PA14_14420,125,86
PA14_14430,81,94
PA14_14440,17543,15539
