,WT_count,ClpV3-KO_count
PA0216,7,8.5
PA0217,3.5,0.5
PA0218,8,4.5
PA0219,0.5,1.5
PA0220,0,1
PA0221,1.5,3
PA0222,4,1.5
PA0223,4,8.5
PA0224,7,0
PA0225,7,9
PA0226,0,1.5
PA0227,0,0.5
PA0228,3.5,5.5
PA0229,21,19.5
PA0230,47,33
PA0231,8.5,15
PA0232,15,6.5
PA0233,0.5,1.5
PA0234,5,2
PA0235,0,0
PA0236,5.5,0
PA0237,0,0
PA0238,0.5,2
PA0239,1,3.5
PA0240,0,0
PA0241,1.5,5.5
PA0242,7,3.5
PA0243,4,6
PA0244,2,0
PA0245,7.5,1
PA0246,0,2.5
PA0247,0,4
PA0248,4.5,5
PA0249,5.5,3.5
PA0250,307,180.5
PA0251,0,0
PA0252,4.5,0
PA0253,1.5,0
PA0254,3.5,21.5
PA0255,2,8
PA0256,1093,623
PA0257,7.5,17
PA0258,0,0
PA0259,269,229.5
PA0260,246.5,333
PA0261,10,14.5
PA0262,77.86,90.62
PA0263,195.835,67.835
PA0264,0,0
PA0265,125,72
PA0266,276,148
PA0267,1.5,8
PA0268,0,4
PA0269,73,69
PA0270,9.5,7
PA0271,2,5
PA0272,0.5,3.5
PA0273,2.5,0
PA0274,1,1
PA0275,19,9.5
PA0276,16.5,11
PA0277,1.5,0
PA0278,0,0
PA0279,13.5,6.5
PA0280,7,7
PA0281,1,2.5
PA0282,0,0
PA0283,2,1
PA0284,0,0
PA0285,13,9
PA0286,257,390.5
PA0287,0,0
PA0288,2.5,3
PA0289,15,20
PA0290,34.5,25
PA0291,152,392
PA0292,82.5,82.5
PA0293,0.5,1
PA0294,4.5,1
PA0295,63.5,70
PA0296,477.305,450.06
PA0297,25.5,9.5
PA0298,117,120
PA0299,572.5,422
PA0300,875.5,868.5
PA0301,142,110.5
PA0302,76.5,113
PA0303,47,53.5
PA0304,49,71.5
PA0305,22.5,72
PA0306,5.5,3
PA0306.1,570.5,573.5
PA0307,8.5,9
PA0308,24,8
PA0309,11.5,4
PA0310,9,23
PA0311,1.5,0.5
PA0312,52.5,20.5
PA0313,31.5,29.5
PA0314,165,91.5
PA0315,238.5,101
PA0316,81,102.5
PA0317,52.5,70
PA0318,66,93
PA0319,22.5,26
PA0320,13.5,8.5
PA0321,4,4
PA0322,0,0
PA0323,1,10
PA0324,0,0
PA0325,0,0
PA0326,0,2.5
PA0327,21.5,31.5
PA0328,37.5,82.5
PA0329,267.5,205.5
PA0330,11.5,13.5
PA0331,40,31
PA0332,35.5,36.5
PA0333,161.5,129.5
PA0334,0,0.5
PA0335,6.5,24.5
PA0336,112.5,197.5
PA0337,282.5,439
PA0338,39.5,33
PA0339,3.5,2
PA0340,0,3
PA0341,4,9.5
PA0342,14,14.5
PA0343,6.5,9.5
PA0344,27.5,27
PA0345,14.5,2
PA0346,4,3.5
PA0347,8,2.5
PA0348,0,1
PA0349,0.5,6
PA0350,0,5
PA0351,3,4
PA0352,8.5,3
PA0353,101,171
PA0354,11.5,38
PA0355,111.5,39
PA0356,9.5,5.5
PA0357,11,14
PA0358,2.5,1.5
PA0359,69.5,91.5
PA0360,46.5,53
PA0361,39,54
PA0362,51.5,102.5
PA0363,13,16
PA0364,17,23.5
PA0365,6.5,8
PA0366,182,78.5
PA0367,34.5,26.5
PA0368,2,10
PA0369,0,3.5
PA0370,8.5,15
PA0371,31,70
PA0372,60,67.5
PA0373,101.5,99
PA0374,14,14.5
PA0375,9.5,19
PA0376,2317.5,1570
PA0377,27.5,13.5
PA0378,5,0.5
PA0379,2.5,4.5
PA0380,0,0
PA0381,24.5,41.5
PA0382,19.5,0
PA0383,7,3
PA0384,3.5,7.5
PA0385,7.5,4.5
PA0386,13,9
PA0387,188,210.5
PA0388,1649.5,1473
PA0389,5.5,13.5
PA0390,3,10.5
PA0391,85,99.5
PA0392,13,18.5
PA0393,64,22
PA0394,61.5,41
PA0395,393,218.5
PA0396,847,688.5
PA0397,150,85.5
PA0398,9.5,14
PA0399,223,212.5
PA0400,187,110.5
PA0401,55,81
PA0402,91.5,81
PA0403,29,32.5
PA0404,23,25
PA0405,42.5,32
PA0406,9,21
PA0407,63.5,56
PA0408,867,963.5
PA0409,376,303.5
PA0410,6,9
PA0411,334.5,414
PA0412,37.5,97
PA0413,1104,1529
PA0414,56,70.5
PA0415,10.5,21.5
PA0416,5,18.5
PA0417,3,4
PA0418,10,10.5
PA0419,3,2
PA0420,30,27
PA0421,44,85
PA0422,11.5,18
PA0423,438,887
PA0424,20.5,21
PA0425,142,88.5
PA0426,589,465.5
PA0427,295.5,302
PA0428,301.5,237.5
PA0429,260.5,236.5
PA0430,101.5,116.5
PA0431,227,207.5
PA0432,1771,1414
PA0433,4,0
PA0434,2,5.5
PA0435,0,2
PA0436,146.5,189.5
PA0437,14,16.5
PA0438,6.5,3.5
PA0439,2.5,2
PA0440,7,1.5
PA0441,5.5,5
PA0442,0,0
PA0443,0,1.5
PA0444,11,11.5
PA0445,16.08,16.5
PA0446,643,48.5
PA0447,2694.5,210.5
PA0448,6,5.5
PA0449,288.5,343.5
PA0450,0,2
PA0451,611,383.5
PA0452,225,268.5
PA0453,1.5,6.5
PA0454,22.5,20.5
PA0455,37.5,31
PA0456,348.5,386.5
PA0457,3.5,1
PA0457.1,25.5,6
PA0458,31,40.5
PA0459,4159,4534
PA0460,196.5,205
PA0461,20.5,20
PA0462,74,44
PA0463,5.5,10
PA0464,6.5,8
PA0465,1,3.5
PA0466,3,0
PA0467,56,69.5
PA0468,18.5,22
PA0469,59.5,49
PA0470,2.5,7
PA0471,0.5,2
PA0472,0,0
PA0473,82,63.5
PA0474,0,1
PA0475,2.5,5
PA0476,8,4.5
PA0477,2,1.5
PA0478,2.5,3
PA0479,8,12
PA0480,0,5.5
PA0481,2.5,1
PA0482,536,593
PA0483,47.5,62
PA0484,372,200
PA0485,1,11
PA0486,26,14
PA0487,11.5,10.5
PA0488,0,0.5
PA0489,0,2.5
PA0490,16,9.5
PA0491,0,5.5
PA0492,0.5,0
PA0493,0,0
PA0494,2,1.5
PA0495,3,1
PA0496,12.5,9.5
PA0497,12,13.5
PA0498,12.5,19
PA0499,2,2.5
PA0500,185.5,100
PA0501,19.5,17
PA0502,49.5,27
PA0503,39.5,11.5
PA0504,3,9
PA0505,3314.5,1763.5
PA0506,2035,930.5
PA0507,20,31.5
PA0508,58,84
PA0509,58.5,131.5
PA0510,40.5,128
PA0511,40,96
PA0512,7,39
PA0513,16.5,35.5
PA0514,52.5,204.5
PA0515,13,80
PA0516,78,143
PA0517,22.5,21
PA0518,20,27
PA0519,674,1253.5
PA0520,44.5,23.5
PA0521,3,1
PA0522,0,0
PA0523,5,6
PA0524,31.5,87.5
PA0525,5,16.5
PA0526,7.5,4
PA0527,43,47.5
PA0528,27.5,20
PA0529,389.5,649.5
PA0530,33,28
PA0531,4.5,3.5
PA0532,1,3
PA0533,14,12
PA0534,132,22.5
PA0535,29,11
PA0536,90,63.5
PA0537,120.5,146.5
PA0538,2.5,1
PA0539,1.5,0
PA0540,6.5,3.5
PA0541,15,21.5
PA0542,27.5,48.5
PA0543,46.5,28.5
PA0544,3.5,12.5
PA0545,407,964.5
PA0546,960.5,496.5
PA0547,493,208.5
PA0548,295.5,248.5
PA0549,20.5,32.5
PA0550,7.5,10
PA0551,11,27
PA0552,67.5,85.5
PA0553,14.5,8.5
PA0554,214,87
PA0555,221,159
PA0556,0,3.5
PA0557,26.5,6.5
PA0558,35.5,50.5
PA0559,18,5.5
PA0560,9,17
PA0561,9.5,16.5
PA0562,5,4.5
PA0563,22.5,25
PA0564,6.5,0
PA0565,209.5,99
PA0566,18,9
PA0567,6,0
PA0568,12,13
PA0569,3.5,13.5
PA0570,0.5,8
PA0571,9,4
PA0572,621.5,584.5
PA0573,5,7
PA0574,12.5,32.5
PA0575,179.5,180.5
PA0576,2489,2125.5
PA0577,53,85.5
PA0578,8.5,10.5
PA0579,90,75
PA0580,12,12.5
PA0581,12.5,13.5
PA0582,13,4.5
PA0583,2.5,6
PA0584,60.5,67.5
PA0585,19,20.5
PA0586,4615,4722
PA0587,3719.5,3609
PA0588,28446,27815.5
PA0589,3,3
PA0590,44.5,48.5
PA0591,10.5,22
PA0592,11.5,7.5
PA0593,16.5,33
PA0594,115,243
PA0595,591.5,900.5
PA0596,158,187.5
PA0597,10,10.5
PA0598,140.5,116.5
PA0599,25.5,8
PA0600,18.5,35.5
PA0601,22,16.5
PA0602,80,89.5
PA0603,27,12.5
PA0604,202.5,139.5
PA0605,14,11.5
PA0606,13.5,6
PA0607,12,34.5
PA0608,14,65
PA0609,53,2917.5
PA0610,120,106.5
PA0611,31,38
PA0612,0.5,1
PA0613,20,8.5
PA0614,26.5,9.5
PA0615,75,46
PA0616,198,109
PA0617,102.5,85.5
PA0618,318.5,232
PA0619,233,166.5
PA0620,1313.5,1268
PA0621,1293,1117.5
PA0622,1760.5,1292.5
PA0623,441,219
PA0624,106.5,49.5
PA0625,2650.5,1549
PA0626,614.5,333
PA0627,12.5,1.5
PA0628,609.5,478
PA0629,188,118
PA0630,32,19
PA0631,8,2
PA0632,1,2.5
PA0633,502.5,270.5
PA0634,557.5,296
PA0635,41,19.5
PA0636,885.5,649.5
PA0637,128,93.5
PA0638,104,58.5
PA0639,196.5,107
PA0640,603.5,416
PA0641,1553.5,1067
PA0642,1711,1663.5
PA0643,324,264.5
PA0644,1233,822.5
PA0645,13,23
PA0646,457.5,440
PA0647,204,198
PA0648,127.5,150.5
PA0649,26,591
PA0650,200,981
PA0651,37.5,473
PA0652,485.5,662
PA0653,8,13
PA0654,21,58.5
PA0655,174.5,171
PA0656,221.5,128
PA0657,210.5,181.5
PA0658,46,42.5
PA0659,83,56.5
PA0660,46.5,56
PA0661,16,20.5
PA0662,44.5,44
PA0663,8.5,7.5
PA0664,18.5,13
PA0665,6,17.5
PA0666,50.5,20
PA0667,339.5,301.5
PA0668,905,525
PA0669,8,6.5
PA0670,8.5,4
PA0671,2.5,5
PA0672,0,0.5
PA0673,1.5,1.5
PA0674,3,1
PA0675,0,1
PA0676,3,1
PA0677,0,0.5
PA0678,0,0
PA0679,11,2
PA0680,0,0
PA0681,0,0
PA0682,0,0
PA0683,2,0
PA0684,0,0
PA0685,1,1
PA0686,2,0.5
PA0687,0,0
PA0688,4.5,4
PA0689,67.5,28.5
PA0690,146,111
PA0691,0,0
PA0692,0.5,1.5
PA0693,5,5.5
PA0694,0,0.5
PA0695,0,1
PA0696,2.5,0.5
PA0697,1,0.5
PA0698,4,0.5
PA0699,3,6
PA0700,1,0
PA0701,2,4.5
PA0702,3,3
PA0703,4,12.5
PA0704,102.5,65
PA0705,93,130.5
PA0706,12.5,18
PA0707,1.5,0
PA0708,20,24.5
PA0708.1,0,0
PA0709,6.5,1.5
PA0710,0.5,0
PA0711,0,0
PA0712,0,0
PA0713,181,385.5
PA0714,369.5,526.5
PA0715,712,1290.5
PA0716,419.5,742.5
PA0717,0,1
PA0718,2.5,3
PA0719,1,1
PA0720,17,25.5
PA0721,0,0
PA0722,10,3.5
PA0723,6,29
PA0724,18.5,46.5
PA0725,0,0.5
PA0726,13,13
PA0727,10.5,18.5
PA0728,11,10
PA0729,88.5,128.5
PA0730,74,69
PA0731,22.5,36
PA0732,257.5,187.5
PA0733,0,0
PA0734,0,0.5
PA0735,2.5,4
PA0736,3,3.5
PA0737,11.5,16
PA0738,6.5,0
PA0739,4,0.5
PA0740,3,1
PA0741,10.5,6
PA0742,1,0.5
PA0743,410.5,248
PA0744,201.5,169
PA0745,162,238.5
PA0746,63.5,124.5
PA0747,152.5,178
PA0749,2,3.5
PA0750,34.5,34.5
PA0751,15.5,34
PA0752,45,80
PA0753,5.5,2
PA0754,224.5,242
PA0755,6.5,24
PA0756,3,1
PA0757,6.5,6.5
PA0758,15.5,18
PA0759,48.5,56.5
PA0760,15,3.5
PA0761,82,126.5
PA0762,623.5,616.5
PA0763,549,414
PA0764,194,167
PA0765,29,33
PA0766,530.5,350.5
PA0767,174,213.5
PA0768,86.5,112
PA0769,103.5,104
PA0770,175,130.5
PA0771,269.5,192
PA0772,6.5,9.5
PA0773,30.5,43.5
PA0774,3,6.5
PA0775,3.5,5
PA0776,24.5,5.5
PA0777,0,0
PA0778,31,25.5
PA0779,2811,1108
PA0780,15,2.5
PA0781,12,3
PA0782,333.5,269
PA0783,11.5,44.5
PA0784,307,259.5
PA0785,12,11.5
PA0786,0,0
PA0787,33,43
PA0788,496,444.5
PA0789,46.5,84
PA0790,0,0
PA0791,12,15
PA0792,233.5,100.5
PA0793,84,74.5
PA0794,226.5,312.5
PA0795,1016.5,1117
PA0796,123.5,171.5
PA0797,13,8.5
PA0798,106.5,99
PA0799,12.5,26
PA0800,0,0
PA0801,0,4
PA0802,0,0
PA0803,4.5,3.5
PA0804,42.5,34.5
PA0805,171.5,310.5
PA0806,0,3
PA0807,901.5,241.5
PA0808,60.5,23.5
PA0809,0,0
PA0810,10.5,10.5
PA0811,1.5,6
PA0812,0,5
PA0813,11.5,8.5
PA0814,2.5,0
PA0815,55.5,49
PA0816,105,154.5
PA0817,12.5,1
PA0818,0,0
PA0819,2.5,6.5
PA0820,168,139
PA0821,85,103.5
PA0822,0,2.5
PA0823,1.5,0
PA0824,0,0
PA0825,0,2
PA0826,88,94.5
PA0826.1,0,0
PA0827,6,17.5
PA0828,5.5,2
PA0829,16.5,3.5
PA0830,70,86
PA0831,37,23.5
PA0832,126,103
PA0833,587.5,786.5
PA0834,19.5,44
PA0835,300.5,539
PA0836,167,350
PA0837,297,378
PA0838,105.5,146
PA0839,0.5,10.5
PA0840,2.5,23
PA0841,23.5,28.5
PA0842,1.5,1
PA0843,12.5,0
PA0844,2,1
PA0845,6,12.5
PA0846,19,18
PA0847,61.5,41.5
PA0848,22,17
PA0849,6.5,13
PA0850,10,6
PA0851,9,21
PA0852,1694.275,225.305
PA0852.1,4287.225,574.695
PA0853,30.5,19
PA0854,490.5,246
PA0855,16.5,27.5
PA0856,159.5,201
PA0857,26.5,21
PA0858,40.5,43
PA0859,7,10.5
PA0860,24.5,20.5
PA0861,1047.5,1195
PA0862,85.5,147
PA0863,43,35
PA0864,2.5,4
PA0865,2418,2404
PA0866,6,5
PA0867,104,246.5
PA0868,3,6
PA0869,105,57.5
PA0870,1016.5,1626
PA0871,339,589
PA0872,2430.5,3617
PA0873,57,49
PA0874,0,2
PA0875,26,8
PA0876,99.5,76
PA0877,4.5,3
PA0878,3.5,0
PA0879,3,18
PA0880,0,5
PA0881,0,5
PA0882,4,2
PA0883,25.5,31
PA0884,13,1
PA0885,0,2
PA0886,0.5,2.5
PA0887,203,570.5
PA0888,2290.5,1492.5
PA0889,85.5,76
PA0890,7.5,29.5
PA0891,49.5,65.5
PA0892,94.5,89.5
PA0893,55,77.5
PA0894,1,1
PA0895,130.5,195
PA0896,98,118
PA0897,58,77.5
PA0898,130.5,153.5
PA0899,809,818
PA0900,187.5,175.5
PA0901,156.5,107
PA0902,7,3.5
PA0903,148.5,205.5
PA0904,161.5,217
PA0905,1138,302
PA0906,10.5,17
PA0907,19,16.5
PA0908,6.5,4
PA0909,0,0
PA0910,20,13.5
PA0911,26.5,18.5
PA0912,2.5,4
PA0913,97.5,70
PA0914,0,0.5
PA0915,3.5,2
PA0916,67,61.5
PA0917,189.5,99.5
PA0918,297,314.5
PA0919,83.5,99
PA0920,35.5,45.5
PA0921,30,20
PA0922,20,32
PA0923,14,11
PA0924,0,3.5
PA0925,11,8
PA0926,8.5,6.5
PA0927,37.5,29.5
