,WT_count,ClpV3-KO_count
PA1269,29.5,40.5
PA1270,3.5,2.5
PA1271,3.5,5.5
PA1272,6.5,11.5
PA1273,13.5,9.5
PA1274,4.5,7.5
PA1275,10.5,1
PA1276,0,0
PA1277,11,5.5
PA1278,2,4.5
PA1279,7,6.5
PA1280,1.5,1.5
PA1281,2.5,2
PA1282,3,1.5
PA1283,27,16.5
PA1284,4,2.5
PA1285,4,1.5
PA1286,0.5,0
PA1287,23,26.5
PA1288,611.5,847
PA1289,365.5,214
PA1290,22,26
PA1291,6,2
PA1292,36.5,58
PA1293,14.5,36.5
PA1294,38,34
PA1295,4,3.5
PA1296,22,40
PA1297,15,9.5
PA1298,17,6
PA1299,5.5,6.5
PA1300,2.5,0
PA1301,7,1
PA1302,14.5,11.5
PA1303,0,4
PA1304,28,31.5
PA1305,25.5,29
PA1306,47.5,41
PA1307,153,212
PA1308,21,29.5
PA1309,7,13
PA1310,4,5.5
PA1311,50,56.5
PA1312,15.5,5.5
PA1313,0,2
PA1314,0,0
PA1315,6,10.5
PA1316,0,0
PA1317,0,2.5
PA1318,1.5,4.5
PA1319,4.5,1.5
PA1320,0,0
PA1321,3,4
PA1322,0,1
PA1323,402,142
PA1324,1319,483.5
PA1325,0.5,2.5
PA1326,5.5,4.5
PA1327,522.5,297.5
PA1328,18,18.5
PA1329,4.5,0
PA1330,32,26.5
PA1331,11,20
PA1332,3.5,4
PA1333,13,8.5
PA1334,0,2
PA1335,7,16
PA1336,67,105
PA1337,1255.5,1801
PA1338,141.5,322.5
PA1339,829.5,1225.5
PA1340,111.5,176
PA1341,183,223.5
PA1342,4520.5,4901.5
PA1343,0,0
PA1344,374,220.5
PA1345,11.5,10.5
PA1346,1.5,4
PA1347,0,0
PA1348,213.5,105.5
PA1349,5.5,2.5
PA1350,40.5,19
PA1351,11,3
PA1352,0,0
PA1353,22,22
PA1354,11.5,28
PA1355,5,0
PA1356,40.5,20.5
PA1357,0,2.5
PA1358,8.5,9.5
PA1359,22.5,12
PA1360,0,1
PA1361,18,14.5
PA1362,3,0.5
PA1363,4,0.5
PA1364,2,0
PA1365,5,6
PA1366,758,643.5
PA1367,6,3
PA1368,30,59.5
PA1369,212.5,159.5
PA1370,321,350.5
PA1371,362,419.5
PA1372,3036.5,3304.5
PA1373,11.5,3
PA1374,0,0
PA1375,6.5,13
PA1376,77,127
PA1377,22.5,11.5
PA1378,0,2
PA1379,4,5.5
PA1380,1.5,2.5
PA1381,10,20
PA1382,132,143
PA1383,44.5,38.5
PA1384,34.5,16
PA1385,79,36
PA1386,49,39.5
PA1387,13.5,14
PA1388,35.5,56
PA1389,40,30.5
PA1390,8.5,11
PA1391,12.5,12
PA1392,126.5,54
PA1393,14,13.5
PA1394,0,0
PA1395,3.5,0
PA1396,8,7
PA1397,4,8.5
PA1398,0,0
PA1399,0,5.5
PA1400,12,8
PA1401,0,2.5
PA1402,2.5,4
PA1403,9,2
PA1404,0,2
PA1405,8.5,9.5
PA1406,10,10.5
PA1407,7,13
PA1408,102.5,51.5
PA1409,0,2.5
PA1410,3,4
PA1411,17,15.5
PA1412,0,0
PA1413,25,37
PA1414,195.5,204
PA1415,115.5,117.5
PA1416,2,4
PA1417,2.5,0
PA1418,3.5,5
PA1419,0.5,0
PA1420,0,0
PA1421,4,6
PA1422,14.5,5.5
PA1423,121,168.5
PA1424,0,3.5
PA1425,4.5,16.5
PA1426,0.5,0
PA1427,1.5,4.5
PA1428,0,0
PA1429,341.5,676.5
PA1430,4013.5,2394
PA1431,275.5,175.5
PA1432,4051,3422
PA1433,15,26
PA1434,8.5,3
PA1435,5,4
PA1436,0,0
PA1437,4,8.5
PA1438,19.5,27.5
PA1439,0,2
PA1440,690,578
PA1441,227,300
PA1442,23,11.5
PA1443,229,170
PA1444,177.5,228.5
PA1445,24,14.5
PA1446,18.5,6
PA1447,12,9.5
PA1448,6.5,5.5
PA1449,4.5,6
PA1450,0,1.5
PA1451,4.5,5
PA1452,149,91
PA1453,70,76
PA1454,162.5,182
PA1455,176.5,209.5
PA1456,92.5,128
PA1457,983,1050
PA1458,1217.5,1073.5
PA1459,315,339
PA1460,52,67.5
PA1461,39.5,50.5
PA1462,315,243
PA1463,56,108.5
PA1464,372,446.5
PA1465,45,74
PA1466,3,4.5
PA1467,7.5,9.5
PA1468,0.5,0
PA1469,0.5,5.5
PA1470,42,21
PA1471,95.5,69.5
PA1472,0.5,10
PA1473,10,18.5
PA1474,327.5,269
PA1475,5,6
PA1476,4,4
PA1477,25,51.5
PA1478,1,2
PA1479,25,41
PA1480,70.5,132
PA1481,32.5,37
PA1482,17,15
PA1483,129.5,169.5
PA1484,12.5,10.5
PA1485,11.5,2.5
PA1486,44,23
PA1487,12,4
PA1488,3,4
PA1489,4,2
PA1490,2.5,7
PA1491,3.5,0
PA1492,2.5,3.5
PA1493,46,69
PA1494,35.5,11.5
PA1495,1,1.5
PA1496,22,5
PA1497,0,0
PA1498,1,2.5
PA1499,1.5,11.5
PA1500,6,1.5
PA1501,1.5,1
PA1502,0,1.5
PA1503,0,1.5
PA1504,3.5,2
PA1505,51.5,42
PA1506,0,0
PA1507,4,2
PA1508,1,4.5
PA1509,420.5,369.5
PA1510,175.5,112.5
PA1511,144.64,80.38
PA1512,101.42,97.62
PA1513,72,94.5
PA1514,12,14.5
PA1515,41,51
PA1516,4.5,16
PA1517,35,40
PA1518,33.5,53.5
PA1519,8.5,3
PA1520,40,34.5
PA1521,272,164.5
PA1522,178,119.5
PA1523,372,341.5
PA1524,134.5,121
PA1525,25.5,22.5
PA1526,60,82.5
PA1527,492.5,542.5
PA1528,301.5,404
PA1529,151,141
PA1530,32.5,34.5
PA1531,10.5,15
PA1532,57,86.5
PA1533,401,284
PA1534,16,27.5
PA1535,12,8.5
PA1536,4.5,6
PA1537,4.5,11
PA1538,6,7.5
PA1539,22,23
PA1540,0,0
PA1541,0,0.5
PA1542,34,30.5
PA1543,28,15
PA1544,236.5,227
PA1545,266.5,196.5
PA1546,1111.5,1707
PA1547,1.5,2.5
PA1548,10.5,6.5
PA1549,227.5,231.5
PA1550,395.5,461.5
PA1551,915,1583
PA1552,720,653
PA1552.1,268.5,396.545
PA1553,58.5,61.5
PA1554,446.055,320
PA1555,1949.5,5779
PA1555.1,41.5,146.455
PA1556,721,1943
PA1557,2551.375,5714.45
PA1558,12.5,6
PA1559,0,1.5
PA1560,11.5,1.5
PA1561,2046,5388
PA1562,8022.5,6739
PA1563,37,30.5
PA1564,5.5,1.5
PA1565,0,9.5
PA1566,4,0
PA1567,0.5,0
PA1568,0,0
PA1569,0,0
PA1570,22.5,23
PA1571,73.5,29.5
PA1572,167.5,153.5
PA1573,7,10
PA1574,67.5,61
PA1575,34,35.5
PA1576,109,80.5
PA1577,0,0.5
PA1578,40.5,26.5
PA1579,160,174.5
PA1580,1452.5,1020
PA1581,58.5,93
PA1582,288.5,361.5
PA1583,760.5,1093
PA1584,287.5,492
PA1585,2021.5,3680.5
PA1586,726.5,1458
PA1587,2736,3658.5
PA1588,948,1785
PA1589,672,1480
PA1590,83,78.5
PA1591,0.5,2
PA1592,2001.5,769.5
PA1593,2.5,2
PA1594,0,1.5
PA1595,8.5,2
PA1596,2900.5,1220.5
PA1597,133,25
PA1598,13,7.5
PA1599,0,3.5
PA1600,7,6.5
PA1601,19.5,14.5
PA1602,3.5,3.5
PA1603,4.5,19.5
PA1604,30.5,61
PA1605,39,8.5
PA1606,6,0
PA1607,45.5,23.5
PA1608,77.5,118
PA1609,1212,830
PA1610,136.5,124
PA1611,22.5,23.5
PA1612,0.5,2
PA1613,13.5,25.5
PA1614,196,145.5
PA1615,29,21.5
PA1616,13.5,21
PA1617,93.5,46.5
PA1618,5.5,12
PA1619,8.5,7
PA1620,0,0
PA1621,29.5,16
PA1622,15.5,14.5
PA1623,105,150.5
PA1624,33.5,65
PA1625,3,7.5
PA1626,2,0.5
PA1627,3,2
PA1628,1,4.5
PA1629,0.5,0.5
PA1630,14,16.5
PA1631,7.5,5
PA1632,0,0
PA1633,0,4
PA1634,2,3.5
PA1635,0,2
PA1636,72.5,67.5
PA1637,4,6.5
PA1638,0,3.5
PA1639,0,6
PA1640,38.5,61
PA1641,24.5,27.5
PA1642,84.5,82.5
PA1643,48,97.5
PA1644,17.5,16.5
PA1645,5.5,2
PA1646,58.5,42
PA1647,5.5,20
PA1648,22,24.5
PA1649,8.5,5
PA1650,56,26.5
PA1651,1.5,3.5
PA1652,3,3.5
PA1653,0,1
PA1654,20,53
PA1655,13,48.5
PA1656,1242,967
PA1657,327,271.5
PA1658,564.5,575.5
PA1659,11,27.5
PA1660,75,95.5
PA1661,99,89.5
PA1662,231,154.5
PA1663,120.5,106
PA1664,0,0
PA1665,115.5,72.5
PA1666,35.5,33
PA1667,86.5,43.5
PA1668,30,29.5
PA1669,136.5,148
PA1670,77,82.5
PA1671,17,9
PA1672,31,32
PA1673,351,754.5
PA1674,42,31.5
PA1675,9.5,4.5
PA1676,4.5,10
PA1677,175,199.5
PA1678,17,8.5
PA1679,93.5,98.5
PA1680,1,2.5
PA1681,77.5,58
PA1682,4,7
PA1683,14,12.5
PA1684,15,21
PA1685,1,1.5
PA1686,4.5,14.5
PA1687,20,27
PA1688,30,15.5
PA1689,56.5,59
PA1690,7.5,4
PA1691,2.5,0
PA1692,1.5,0
PA1693,4,2
PA1694,1.5,1.5
PA1695,3,0
PA1696,0,2
PA1697,6.5,1.5
PA1698,0,0
PA1699,0,0.5
PA1700,0,0
PA1701,2.5,0
PA1702,0.5,0
PA1703,38.5,12.5
PA1704,0.5,0
PA1705,2,0
PA1706,85.5,9.5
PA1707,10.5,1
PA1708,217.5,28
PA1709,77,7.5
PA1710,287.5,36.5
PA1711,13.5,6
PA1712,76,11
PA1713,20,17.5
PA1714,40,13.5
PA1715,5,0.5
PA1716,12,5
PA1717,7,1.5
PA1718,0,0
PA1719,1.5,2.5
PA1720,8,0
PA1721,4.5,7
PA1722,10,1
PA1723,35,10.5
PA1724,0,0
PA1725,7.5,2.5
PA1726,22.5,34
PA1727,25,36
PA1728,1137.5,741.5
PA1729,23,28.5
PA1730,392,258
PA1731,113,85
PA1732,113,77
PA1733,179.5,120.5
PA1734,8,10.5
PA1735,1,2
PA1736,103.5,48
PA1737,136.5,72.5
PA1738,18.5,30
PA1739,2,4
PA1740,2.5,1.5
PA1741,2.5,1.5
PA1742,98,163.5
PA1743,1.5,0
PA1744,0,0
PA1745,70.5,86
PA1746,4914,9871.5
PA1747,2,11.5
PA1748,18.5,19
PA1749,63.5,89.5
PA1750,67.5,91
PA1751,13.5,11.5
PA1752,56.5,43.5
PA1753,159.5,179.5
PA1754,572,536
PA1755,0,4
PA1756,38,35
PA1757,24,12
PA1758,19.5,15
PA1759,309.5,329
PA1760,404.5,346
PA1761,32.5,16.5
PA1762,19.5,12.5
PA1763,29,5
PA1764,2,6.5
PA1765,52.5,31.5
PA1766,44.5,106
PA1767,37.5,159
PA1768,47,24
PA1769,130,126
PA1770,488.5,711
PA1771,1,2.5
PA1772,286,193.5
PA1773,65.5,30
PA1774,15.5,15.5
PA1775,172.5,117.5
PA1776,3369.5,2333.5
PA1777,42276.5,42335
PA1778,14,15.5
PA1779,5.5,7
PA1780,0,0.5
PA1781,6,1.5
PA1782,3.5,0
PA1783,0,4.5
PA1784,891,273.5
PA1785,2.5,2
PA1786,0.5,1
PA1787,814,750.5
PA1788,0,5.5
PA1789,2775,2763
PA1790,1.5,2
PA1791,6.5,10
PA1792,11,12.5
PA1793,329,328.5
PA1794,208,364.5
PA1795,116,234.5
PA1796,38.5,55
PA1797,4.5,3
PA1798,3,9.5
PA1799,38,21
PA1800,408.5,475.5
PA1801,180.5,235
PA1802,3565.5,3100.5
PA1803,1820,1281.5
PA1804,2097.5,2018
PA1805,201,238
PA1806,162,278
PA1807,89.5,115
PA1808,17,37.5
PA1809,15.5,23.5
PA1810,53.5,104
PA1811,41,40.5
PA1812,115.5,127.5
PA1813,44,40.5
PA1814,12,33
PA1815,29,22.5
PA1816,29,36.5
PA1817,31.5,28.5
PA1818,81,125.5
PA1819,418,398
PA1820,6,14
PA1821,33.5,40.5
PA1822,70.5,97
PA1823,144,232
PA1824,0,0
PA1825,0,0
PA1826,26.5,19.5
PA1827,0,1
PA1828,31,89
PA1829,50.5,71
PA1830,856.5,910.5
PA1831,7,11
PA1832,89.5,119
PA1833,580,830
PA1834,3.5,7.5
PA1835,89,32.5
PA1836,11.5,11.5
PA1837,11,16.5
PA1838,71,69.5
PA1839,15,7
PA1840,0,1
PA1841,0,3
PA1842,17,28.5
PA1843,119,166
PA1844,0,0
PA1845,0,2
PA1846,32.5,70.5
PA1847,304.5,453.5
PA1848,1.5,0
PA1849,0,0
PA1850,13.5,17.5
PA1851,38,36.5
PA1852,463,146
PA1853,9,13
PA1854,0,0
PA1855,2,0
PA1856,4.005,4.5
PA1857,11.5,17
PA1858,11,3.5
PA1859,13,6.5
PA1860,79.5,70
PA1861,6,9
PA1862,0.5,1
PA1863,1.5,11.5
PA1864,8,9
PA1865,24.5,38
PA1866,14.5,23.5
PA1867,0,0
PA1868,8,3
PA1869,85,37
PA1870,53,17
PA1871,536.5,261
PA1872,14.5,6.5
PA1873,0,0
PA1874,6647,1487.5
PA1875,384.5,131
PA1876,646.5,186
PA1877,194,51.5
PA1878,0,1
PA1879,3.5,2
PA1880,681,510.5
PA1881,81.5,56.5
PA1882,0,0.5
PA1883,0,0
PA1884,9,0.5
PA1885,4.5,5.5
PA1886,42.5,68
PA1887,518.5,283.5
PA1888,1514,595.5
PA1889,5.5,15
PA1890,3,12
PA1891,0,0
PA1892,16,9
PA1893,17.5,17
PA1894,137,52.5
PA1895,216.5,59.5
PA1896,22,17.5
PA1897,65,48.5
PA1898,17,6
PA1899,4.22,0.75
PA1900,317.715,55.06
PA1901,167.565,45
PA1902,58,41
PA1903,274,166.5
PA1904,181.25,64.25
PA1905,0.12,0.115
PA1906,0.5,0.5
PA1907,2,0
PA1908,6.5,2
PA1909,1.5,0
PA1910,2.5,0
PA1911,1,1.5
PA1912,1,0
PA1913,16.5,31.5
PA1914,1610.5,200
PA1915,67.5,53
PA1916,0.5,0
PA1917,0,0
PA1918,0,0
PA1919,1.5,2
PA1920,4.5,8
PA1921,3.5,3
PA1922,0,3
PA1923,0.5,2.5
PA1924,0,0
PA1925,0.5,0.5
PA1926,94,118.5
PA1927,10.5,6
PA1928,2.5,0
PA1929,0,1
PA1930,1552.5,608
PA1931,21,7.5
PA1932,3.5,7
PA1933,19.5,29.5
PA1934,6.5,7
PA1935,2.5,4.5
PA1936,0,0
PA1937,10,11.5
PA1938,18.76,18.605
PA1939,516,529
PA1940,2.5,17.5
PA1941,113,83.5
PA1942,0,0
PA1943,51,44
PA1944,379.5,378
PA1945,11,10
PA1946,338,302.5
PA1947,43.5,25.5
PA1948,34,26.5
PA1949,54,61.5
PA1950,251,201.5
PA1951,183.5,96.5
PA1952,0,0
PA1953,0,0
PA1954,15.5,15
PA1955,0,0
PA1956,0,0
PA1957,1,3.5
PA1958,16.5,4
PA1959,1.5,13
PA1960,48,29
PA1961,3.5,8.5
PA1962,0,3
PA1963,0,0
PA1964,24.5,66.5
PA1965,0,2.5
PA1966,0.5,2
PA1967,58,40
PA1968,1.5,1
PA1969,12,15
PA1970,0,0.5
PA1971,1,0.5
PA1972,0,0
PA1973,31,36
PA1974,0.5,0
PA1975,0.5,5
PA1976,13.5,13
PA1977,0,0
PA1978,3.5,0
PA1979,0,0
PA1980,7.5,7
PA1981,0.5,0
PA1982,6.5,6
PA1983,6,6
PA1984,4.45,3.225
PA1985,0,0
PA1986,53.5,46.5
PA1987,17.5,26.5
PA1988,1.5,3.5
PA1989,32.5,58
PA1990,59.5,42.5
PA1991,5,10
PA1992,12.5,12
PA1993,4,0
PA1994,33.5,35
PA1995,110.5,56
PA1996,1,0
PA1997,175,263
PA1998,3,7
PA1999,116.5,172.5
PA2000,41.5,67
PA2001,322.5,252
PA2002,7,17
PA2003,193.5,88.5
PA2004,20,16.5
PA2005,8.5,6.5
PA2006,3.5,8
PA2007,492,395
PA2008,624.5,497
PA2009,1442.5,1075
PA2010,111.5,106
PA2011,699.5,944.5
PA2012,613.5,958
PA2013,210,357.5
PA2014,238.5,552.5
PA2015,417.5,825.5
PA2016,59,69
PA2017,10.5,14.5
PA2018,5.5,18.5
PA2019,2.5,4
PA2020,146,182.5
PA2021,40.5,13
PA2022,3.5,3.5
PA2023,124,97
PA2024,380.5,475
PA2025,847,1039.5
PA2026,2,10
PA2027,2.5,3
PA2028,14.5,31
PA2029,0.5,3.5
PA2030,3.5,0.5
PA2031,1.5,0
PA2032,3,9
PA2033,4,6.5
PA2034,0,1
PA2035,9.5,8
PA2036,5,28.5
PA2037,570,364
PA2038,1.5,2
PA2039,2,5
PA2040,54.695,26.44
PA2041,3,6
PA2042,46.5,33
PA2043,1.5,8
PA2044,33.5,51
PA2045,1,4.5
PA2046,0,0
PA2047,48.5,54.5
PA2048,0,1
PA2049,12.5,15
PA2050,0,0
PA2051,0,0
PA2052,31,20
PA2053,1.5,1
PA2054,26.5,40.5
PA2055,1,0
PA2056,14,14.5
PA2057,7,3.5
PA2058,0.5,0
PA2059,1,2.5
PA2060,2,2
PA2061,0,2.5
PA2062,1,4.5
PA2063,1.5,11.5
PA2064,0,0.5
PA2065,12.5,1
PA2066,13,3.5
PA2067,13,1
PA2068,5.5,7.5
PA2069,85,13.5
PA2070,4.5,1
PA2071,1882.5,966
PA2072,434.5,259.5
PA2073,5.5,4
PA2074,19.5,9
PA2075,6.5,15
PA2076,14,8.5
PA2077,0,1
PA2078,0,0
PA2079,16.5,21.5
PA2080,66.5,94
PA2081,43.5,60
PA2082,1,2
PA2083,4,7.5
PA2084,14,10.5
PA2085,0,1
PA2086,3,0
PA2087,0,0
PA2088,1.5,1
PA2089,7,9
PA2090,2,3
PA2091,0,0
PA2092,0.5,7
PA2093,0,0
PA2094,1,1
PA2095,19.5,19
PA2096,4.5,3.5
PA2097,13.5,10.5
PA2098,1,0
PA2099,0,0
PA2100,67,92.5
PA2101,2.5,5.5
PA2102,10.5,17.5
PA2103,64.5,72.5
PA2104,85.5,109.5
PA2105,145,237
PA2106,23,43
PA2107,5.5,0
PA2108,24,8
PA2109,7,7.5
PA2110,28.5,26.5
PA2111,237.5,161
PA2112,52,50.5
PA2113,29.5,47
PA2114,142.5,230.5
PA2115,2.5,8.5
PA2116,131,130.5
PA2117,6,1.5
PA2118,11,9.5
PA2119,328,671
PA2120,2,6.5
PA2121,70,68
PA2122,25,27.5
PA2123,9,11
PA2124,0,4
PA2125,1.5,6.5
PA2126,33,72.5
PA2126.1,11.5,40
PA2127,55,244
PA2128,55,181.5
PA2129,2.5,8
PA2130,4,19
PA2131,0,5.5
PA2132,1.5,5.5
PA2133,0,4
PA2134,19,3
PA2135,0,0
PA2136,0.5,0
PA2137,4.5,0.5
PA2138,4.5,3.5
PA2139,0,0
PA2140,1,0
PA2141,0,1
PA2142,12,3
PA2143,32.5,14
PA2144,100,19.5
PA2145,7.5,2.5
PA2146,3.5,0
PA2147,59,5.5
PA2148,9.5,6
PA2149,0,0
PA2150,30,10
PA2151,40,13
PA2152,55,24
PA2153,18,14
PA2154,0,0
PA2155,8.5,0
PA2156,2.5,0
PA2157,4.5,2
PA2158,5,2.5
PA2159,6.5,4.5
PA2160,153,30
PA2161,1,1
PA2162,2,1.5
PA2163,12.5,0
PA2164,17.5,10
PA2165,59.5,4.5
PA2166,95.5,20.5
PA2167,27,4.5
PA2168,7.5,0.5
PA2169,4,5.5
PA2170,0,0
PA2171,136.5,28.5
PA2172,33.5,1.5
PA2173,12.5,7
PA2174,50,21.5
PA2175,0,1
PA2176,27,15.5
PA2177,246.5,149.5
PA2178,2.5,0.5
PA2179,12.5,1
PA2180,8.5,0.5
PA2181,5,3
PA2182,48,24.5
PA2183,0.5,0
PA2184,25.5,9
PA2185,16,4
PA2186,1,0
PA2187,3.5,3
PA2188,2.5,0
PA2189,3,4.5
PA2190,52.5,14.5
PA2191,19.5,11
PA2192,1.5,0
PA2193,8,25
PA2194,93.5,161
PA2195,110,258.5
PA2196,10,7
PA2197,47.5,27
PA2198,16,7.5
PA2199,238,252
PA2200,38,25.5
PA2201,1.5,2
PA2202,1.5,0
PA2203,1,0
PA2204,5,10.5
PA2205,0,1
PA2206,6.5,4
PA2207,2.5,0
PA2208,0,0
PA2209,1,0
PA2210,3.5,3
PA2211,0,3.5
PA2212,5,5.5
PA2213,1,0.5
PA2214,0,0.5
PA2215,2.5,9
PA2216,3.5,11.5
PA2217,3.5,0.5
PA2218,26.5,25.5
PA2219,0,2
PA2220,64.5,71.5
PA2221,11.5,9
PA2222,123,185.5
PA2223,405,464
PA2224,189,246.5
PA2225,54.5,28.5
PA2226,423.5,212.5
PA2227,358,411.5
PA2228,93,81
PA2229,62.5,68.5
PA2230,1,9
PA2231,345,399.5
PA2232,680.5,623.5
PA2233,124,132
PA2234,220,162
PA2235,1017,772
PA2236,140,116
PA2237,156.5,166
PA2238,108,121.5
PA2239,62,51.5
PA2240,65.5,72
PA2241,7,1
PA2242,151.5,165.5
PA2243,5,14.5
PA2244,7,2.5
PA2245,1,0
PA2246,1.5,0
PA2247,1678,1401.5
PA2248,1609,1347.5
PA2249,1883.5,1285.5
PA2250,3061.5,1798
PA2251,22.5,19
PA2252,0,0.5
PA2253,10.5,8.5
PA2254,0,0
PA2255,0,0
PA2256,0,0
PA2257,0,1.5
PA2258,6.5,13
PA2259,89,188
PA2260,22.5,63.5
PA2261,36,47
PA2262,14,25
PA2263,136.5,213.5
PA2264,101,152.5
PA2265,255.5,358
PA2266,50.5,100
PA2267,5,9.5
PA2268,2,3
PA2269,22,19
PA2270,17.5,9
PA2271,1,0
PA2272,8,20.5
PA2273,14,17
PA2274,4.5,0.5
PA2275,0.5,2
PA2276,0,3
PA2277,2.5,2
PA2278,0,1
PA2279,0,2.5
PA2280,7.5,6.5
PA2281,13.5,9.5
PA2282,0,1.5
PA2283,3,0
PA2284,1,0
PA2285,2,1
PA2286,0,0
PA2287,0,0
PA2288,1,4
PA2289,61,60
PA2290,363.5,376
PA2291,46.705,72.235
PA2292,0,0
PA2293,1,0
PA2294,0.5,0
PA2295,0,0
PA2296,0,0
PA2297,0,0
PA2298,12,36.5
PA2299,2,3.5
PA2300,519.5,81.5
PA2301,23.5,11
PA2302,1087,892
PA2303,100.5,93.5
PA2304,63.5,37.5
PA2305,96.5,106
PA2306,4,2.5
PA2307,0,0
PA2308,4,0
PA2309,0,0
PA2310,0,0
PA2311,0,0
PA2312,0,0.5
PA2313,0,0
PA2314,0,0.5
PA2315,7.5,1.5
PA2316,4.5,8.5
PA2317,6.5,15
PA2318,19,17.5
PA2319,16.08,16.5
PA2320,5.5,2.5
PA2321,0,1
PA2322,0,3.5
PA2323,8,37.5
PA2324,2,0
PA2325,0,0.5
PA2326,14.5,2
PA2327,15.5,7.5
PA2328,10.5,9.5
PA2329,15.5,4.5
PA2330,15,9.5
PA2331,40.5,30.5
PA2332,1.5,5
PA2333,0.5,0
PA2334,0.5,0.5
PA2335,0,0
PA2336,0,1
PA2337,14,9.5
PA2338,0,3
PA2339,1,1
PA2340,3.5,1
PA2341,3,3.5
PA2342,4,2
PA2343,4.5,0.5
PA2344,1.5,3.5
PA2345,54.5,43
PA2346,1.5,2
PA2347,2.5,3.5
PA2348,1,0
PA2349,1.5,1
PA2350,2.5,0.5
PA2351,1.5,0
PA2352,2.5,0.5
PA2353,3,15.5
PA2354,1,0
PA2355,14,44
PA2356,0.5,1
PA2357,0,0.5
PA2358,0,3.5
PA2359,5,4
PA2360,109,105
PA2361,166.5,188.5
PA2362,20,17.5
PA2363,297.5,294.5
PA2364,126.5,76
PA2365,620,199.5
PA2366,2637,989.5
PA2367,472.5,236.5
PA2368,2.5,1.5
PA2369,138,98
PA2370,35,48
PA2371,296,251.5
PA2372,1037.5,436
PA2373,450,178.5
PA2374,10,7
PA2375,23,4.5
PA2376,2,1.5
PA2377,7.5,2
PA2378,427,295.5
PA2379,19,12
PA2380,0,7.5
PA2381,1154,2011.5
PA2382,1.5,6
PA2383,2.5,5
PA2384,2.5,2
PA2385,4.5,0
PA2386,0,1
PA2387,3.5,4
PA2388,37.5,52.5
PA2389,0,1.5
PA2390,4.5,3
PA2391,0,4
PA2392,13,5
PA2393,0.5,2.5
PA2394,0,0
PA2395,0.5,0.5
PA2396,55,64.5
PA2397,2,1
PA2398,4.5,7.5
PA2399,137,89.5
PA2400,69.26,65.465
PA2402,69.74,57.035
PA2403,19,8
PA2404,0,0
PA2405,0,0
PA2406,0,0
PA2407,0,0.5
PA2408,0,0
PA2409,0,0
PA2410,12,3
PA2411,1.5,0.5
PA2412,4,1
PA2413,3,9.5
PA2414,269,76.5
PA2415,5.5,0
PA2416,10.5,4
PA2417,30.5,51
PA2418,1.5,0.5
PA2419,3,11
PA2420,0,1
PA2421,0,2.5
PA2422,4,0
PA2423,203.5,69.5
PA2424,13.5,6.5
PA2425,0,0
PA2426,0,1
PA2427,0,1
PA2428,6,5
PA2429,0,0
PA2430,112,80.5
PA2431,49,37
PA2432,0.5,7
PA2433,17.5,3
PA2434,3,8.5
PA2435,104,57.5
PA2436,29,40
PA2437,3,0.5
PA2438,4,7
PA2439,11,8
PA2440,0,0
PA2441,1.5,2.5
PA2442,69.5,60
PA2443,281.5,183.5
PA2444,194.54,250.48
PA2445,783,787
PA2446,11.5,9.5
PA2447,5,7.5
PA2448,92,37
PA2449,19.5,31.5
PA2450,7,6
PA2451,4.5,2.5
PA2452,2.5,4.5
PA2453,1,17
PA2454,12,11.5
PA2455,0,1
PA2456,97,96.5
PA2457,25,32.5
PA2458,0,0
PA2459,155,208
PA2460,43.5,70.5
PA2461,169,141
PA2462,914.135,1746.795
PA2463,3,28.945
PA2464,1,10
PA2465,0,0.5
PA2466,7.5,3.5
PA2467,1.5,0
PA2468,0,2
PA2469,1.5,1
PA2470,0,0.5
PA2471,2,3
PA2472,1.5,0
PA2473,0,0
PA2474,0,0
PA2475,138.5,81.5
PA2476,15.5,12
PA2477,1,0
PA2478,3.5,10.5
PA2479,2.5,2.5
PA2480,17.5,6.5
PA2481,26,61.5
PA2482,21.5,47.5
PA2483,104.5,67
PA2484,9,27.5
PA2485,35,17
PA2486,5,0.5
PA2487,0,0
PA2488,4,1.5
PA2489,2.5,3
PA2490,3,2
PA2491,78.5,100
PA2492,18.5,26.5
PA2493,3.5,1
PA2494,0,4
PA2495,0,1
PA2496,0,0
PA2497,2,5.5
PA2498,1,0.5
PA2499,3.5,2
PA2500,0,0.5
PA2501,19.5,100
PA2502,1.5,2
PA2503,7,4.5
PA2504,954.5,563.5
PA2505,0.5,5.5
PA2506,5.5,2.5
PA2507,5,18
PA2508,1,25
PA2509,0.5,4
PA2510,0,2
PA2511,17.5,287.5
PA2512,0,243
PA2513,2.5,45
PA2514,0,31
PA2515,2.5,0
PA2516,0,0
PA2517,0,0
PA2518,1.5,2
PA2519,1,1.5
PA2520,13.5,21
PA2521,2,0.5
PA2522,1,2
PA2523,7.5,4
PA2524,3,0.5
PA2525,14.5,20
PA2526,17,29.5
PA2527,3.5,8
PA2528,36.5,34.5
PA2529,42,32.5
PA2530,7,18.5
PA2531,0,0
PA2532,36.5,30
PA2533,58.5,30.5
PA2534,12.5,31
PA2535,13,9.5
PA2536,34.5,39.5
PA2537,12,23.5
PA2538,3,7.5
PA2539,14,13
PA2540,75.5,61
PA2541,19,25.5
PA2542,18,23.5
PA2543,33,36
PA2544,22,20
PA2545,15,34
PA2546,23,29.5
PA2547,5.5,1
PA2548,0,0
PA2549,58.5,48.5
PA2550,26,42.5
PA2551,36,36.5
