,PAO1-1,PAO1-2,DKT-2-1,DKT-2-2,DKT-1-1,DKT-1-2
PA2855,167,205,214,341,304,272
tesA,1125,976,1091,1102,1639,1244
PA1807,2478,2250,2406,3292,3338,2906
PA2858,1840,1996,1560,1871,2585,2398
greB,793,744,845,863,1097,944
PA2860,738,683,731,839,897,820
ligT,151,136,104,133,156,150
lipA,1316,888,576,1124,1641,1142
lipH,467,382,190,228,622,452
PA2864,2341,1985,1737,2280,2256,1888
PA2865,756,794,635,677,848,730
mttC,305,334,245,404,413,295
PA2867,4403,3011,4323,5758,4674,4091
PA2868,258,225,247,296,281,259
PA2869,373,348,295,339,331,286
PA2870,712,758,612,726,729,647
PA2871,913,880,821,891,1415,1067
PA2872,899,991,715,674,798,690
PA2873,1042,1247,896,900,993,863
PA2874,611,786,580,507,547,465
PA2875,1212,1128,909,951,1072,942
pyrF,361,317,405,519,466,373
PA2877,378,373,329,410,523,412
PA2878,234,266,186,217,329,248
PA2879,702,695,579,609,1019,763
PA2880,61,76,48,102,98,80
PA2881,121,161,129,163,161,145
PA2882,123,130,88,84,136,109
PA2883,4837,4003,2477,2644,5158,3800
PA2884,724,601,624,888,982,764
atuR,1025,816,940,1034,1228,1012
atuA,503,359,531,659,763,560
atuB,487,315,417,651,782,546
atuC,1212,915,1126,1469,1616,1191
atuD,2144,1592,1769,2721,2560,1776
atuE,1190,856,862,972,1210,823
atuF,2901,2231,2264,2433,2996,1957
atuG,978,727,669,852,1076,752
atuH,1371,1289,1022,1226,1686,1362
PA2894,1180,1164,908,924,1485,1273
PA2895,1739,1661,895,889,1754,1400
PA2896,911,1030,575,781,1071,892
PA2897,4271,3557,2654,3950,6026,5251
PA2898,109,142,107,86,120,114
PA2899,447,506,388,458,532,520
PA2900,576,553,728,1018,778,695
PA2901,348,358,439,559,507,410
PA2902,735,707,736,848,877,840
cobJ,577,727,670,778,834,818
cobI,238,248,301,307,338,317
cobH,198,210,240,273,314,296
PA2906,281,313,281,378,429,406
cobL,535,670,552,633,787,757
cbiD,208,242,204,286,313,289
PA2909,194,182,153,187,257,181
PA2910,51,73,56,52,79,69
PA2911,338,336,310,329,463,348
PA1876,2697,1515,1142,1252,876,724
PA2913,84,76,97,87,99,101
PA2914,366,351,345,423,426,400
PA2915,1551,1176,1055,1506,1783,1431
PA2916,183,133,88,99,42,40
PA2917,273,241,210,281,217,205
PA2918,474,477,493,597,1229,1015
PA2919,709,702,557,494,590,465
PA2920,5492,5141,3534,3488,3795,3040
PA2921,178,139,177,209,310,238
PA2922,83,60,71,79,122,81
hisJ,68,38,39,59,58,52
hisQ,51,35,49,46,86,68
hisM,116,108,83,110,136,124
PA1964,663,776,744,1136,883,914
PA2927,535,425,384,434,486,466
PA2928,384,318,429,354,464,418
PA2929,123,74,84,139,202,167
PA2930,2646,2838,1977,2036,3996,3443
cifR,1680,1669,1256,1146,3563,2970
morB,298,271,261,272,1535,1241
PA2933,61,59,77,78,250,238
cif,131,101,140,177,540,479
PA2935,42,20,27,48,89,69
PA2936,49,72,72,66,186,166
PA2937,966,846,741,1198,913,857
PA2938,1115,754,636,712,893,733
PA2939,28935,15776,17531,23597,8946,6005
PA2940,436,388,392,433,531,431
PA2941,298,388,323,317,411,340
PA2942,533,584,489,511,734,693
PA2942.1,83,73,76,84,144,143
PA2943,378,406,363,481,692,563
cobN,1053,1097,1246,1386,1784,1493
PA2945,481,455,585,722,794,709
PA2946,1131,1208,1112,1265,1834,1466
PA2947,173,216,197,176,328,246
cobM,263,243,248,294,428,331
PA2949,613,587,526,696,600,539
PA2950,2131,2377,2320,3186,2043,2286
etfA,15628,14781,18444,29173,23601,20808
etfB,10439,7996,11952,16956,14619,13193
PA2953,3901,2962,6379,9471,4935,4327
PA2954,662,643,565,689,909,757
PA2955,686,953,597,640,941,932
PA2956,445,444,554,585,627,497
PA2957,791,679,799,940,840,755
PA2958,979,872,805,898,973,883
rgsA,124,88,181,191,202,169
PA2959,928,879,871,1148,1112,1091
pilZ,250,260,311,544,346,350
holB,1219,1152,1032,1226,1643,1450
tmk,848,895,806,942,1218,1123
PA2963,633,683,604,845,938,884
pabC,2063,2215,1860,1910,2242,1926
fabF1,4823,4841,4876,6250,5814,5459
acpP,6043,5028,7130,9019,7431,6973
fabG,3692,3855,4566,6529,4451,5128
fabD,2049,2557,1914,2306,1775,2246
plsX,504,670,624,875,789,732
rpmF,339,430,470,1103,578,612
PA2971,1155,1504,1168,1785,1777,1593
PA2972,201,209,187,229,248,210
PA2973,1630,1838,1683,2190,2018,1971
PA2974,1144,1232,1031,970,1366,1236
rluC,1678,1850,1376,1555,2025,1761
rne,6679,7608,8345,9878,10209,8479
murB,895,1043,860,781,1174,1092
ptpA,624,826,675,877,990,960
kdsB,1093,1317,1249,1403,1815,1504
PA2980,546,624,580,731,827,710
lpxK,757,877,778,973,1239,1124
PA2982,435,444,541,720,667,632
PA2983,413,446,492,670,591,584
PA2984,1071,1193,629,669,1180,939
PA2985,345,355,276,411,453,415
PA2986,855,627,866,1044,1031,972
PA2061,200,203,158,184,230,211
PA2988,1173,1095,1048,1342,1431,1303
PA2989,481,421,393,452,634,530
PA2990,3277,2747,2912,3519,3570,3199
sth,3096,3327,3078,4359,6274,5493
PA2992,399,575,509,803,572,534
PA2993,1007,1485,1216,1552,1398,1308
nqrF,1903,2282,2267,3192,2444,2316
nqrE,825,921,965,1525,1060,976
nqrD,1094,1063,1276,1833,1363,1307
nqrC,1151,1099,1259,1700,1373,1183
nqrB,1473,1410,1805,2380,1807,1490
nqrA,1085,1080,1259,1966,1499,1278
aroP1,463,407,425,594,574,517
PA3001,4304,3246,5787,8576,4517,4154
mfd,4643,4632,4925,6183,7858,6713
PA3003,1032,1033,1206,1732,1347,1203
PA3004,1810,1415,2070,2181,2205,1901
nagZ,1563,1461,1386,1754,1828,1590
psrA,9852,7872,12257,14709,10514,8346
lexA,1366,1140,1238,1823,2104,1793
PA3008,1250,1064,1032,1281,1799,1486
PA3009,345,321,295,551,503,510
PA3010,1857,1566,1694,1979,1992,1665
topA,5684,5341,7511,9936,6998,6206
PA3012,375,341,319,323,488,378
foaB,9024,9356,9967,15906,14816,13172
faoA,16964,15609,19306,27501,26556,23483
PA3015,359,304,270,382,550,534
PA3016,139,145,141,187,257,242
PA3017,3895,3463,2991,3394,4470,3455
PA3018,922,886,805,1090,1098,905
PA2294,134,74,95,121,102,82
PA3020,2387,2271,1936,2720,2627,2472
PA3021,2038,1965,1973,2231,1837,1526
PA3022,5573,5613,3969,4056,3850,3059
PA3023,3970,2556,2033,2099,4590,3642
PA3024,680,691,644,852,775,690
PA3025,678,669,693,738,892,712
PA3026,624,657,747,861,847,690
PA3027,339,408,369,602,595,535
moeA2,2823,2854,2971,3134,4501,3751
moaB2,1351,1453,1665,1978,2423,2128
mobA,194,161,208,218,300,236
PA3031,5324,4299,5123,10096,7179,6526
PA3031.1,41,20,16,21,70,41
snr1,1097,560,572,824,1683,1184
PA3033,388,345,276,327,537,400
PA3034,480,455,382,509,627,515
PA3035,142,107,149,192,301,247
PA3036,116,104,116,140,272,248
PA3037,192,191,179,190,363,356
PA3038,9173,5567,1994,3185,14989,8809
PA3039,136,226,191,191,210,153
PA3040,25859,20184,18006,25989,27111,22002
PA3041,15102,12665,8217,8908,14159,11187
PA3042,3036,2375,1804,2391,3125,2762
PA3043,2284,2014,1602,2315,3460,2982
PA3044,534,546,413,581,749,595
PA3045,53,61,41,70,49,38
PA3046,1058,928,1036,1201,1182,1023
PA3047,1365,1274,1250,1770,1400,1274
PA3048,1174,1133,1118,1345,1473,1148
rmf,13891,13374,9289,19847,13203,15294
pyrD,889,956,878,1149,1116,1029
PA3051,237,258,182,299,325,334
PA3052,2033,1991,1490,1873,2687,2351
PA3053,726,645,701,988,966,922
PA3054,1510,926,1718,2282,1762,1606
PA3055,714,608,607,733,877,822
PA3056,232,169,259,260,404,406
PA3057,36,52,66,63,111,115
pelG,90,74,89,139,150,127
pelF,167,127,142,139,209,161
pelE,167,169,105,153,239,134
pelD,113,95,79,118,108,91
pelC,81,77,57,68,88,72
pelB,235,207,143,173,243,181
pelA,261,217,171,225,230,194
PA3065,398,381,287,284,343,303
PA3066,1171,994,826,978,1064,876
PA3067,355,296,250,317,308,294
gdhB,68860,50884,72379,95506,84841,71458
PA3069,340,370,302,354,306,335
PA3070,2371,2474,1806,2167,2693,2351
PA3071,804,818,681,784,965,947
PA3072,316,366,254,287,311,354
PA3073,456,507,399,425,556,498
PA3074,674,691,697,720,871,764
PA3075,1315,1345,1288,1482,1452,1258
PA3076,1458,1503,1306,1431,1466,1343
PA3077,432,336,365,573,430,442
PA3078,583,503,553,836,701,682
PA3079,8158,4936,4227,6252,11704,7549
PA3080,4496,4205,1706,2141,6287,4491
PA3081,991,970,1055,1412,1196,980
gbt,887,845,1096,1749,1233,1066
pepN,10223,8807,9313,13031,13944,11899
PA3084,873,818,784,1231,1163,1098
PA3085,290,284,297,656,503,472
PA3086,1845,1914,1379,1395,2127,1750
PA3087,1517,1382,1201,1436,1836,1623
PA3088,1186,1093,922,1369,1661,1502
PA3089,2621,2250,1596,1673,2216,1680
PA3089a,1470,1414,972,960,1107,899
PA3091,1802,1621,1194,1626,1589,1297
fadH1,1267,1083,1386,1756,2741,2134
PA3093,772,787,750,896,1737,1343
PA3094,641,556,609,711,1248,1019
PA3094.1,17,36,54,63,47,42
PA3094.2,628,659,669,1226,787,714
PA3094.3,264,306,299,539,346,329
xcpZ,1020,944,907,1147,1040,918
xcpY,2794,2840,2349,2391,2532,2191
xcpX,733,756,558,602,680,575
xcpW,1529,1674,1317,1196,1435,1279
xcpV,736,734,636,590,646,577
xcpU,1894,1651,1549,1591,1492,1196
xcpT,1653,1366,1732,2837,1496,1367
xcpS,2246,2045,1582,1776,2022,1647
xcpR,4757,3866,3230,3907,4364,3527
xcpP,1173,1270,893,1319,1355,1170
xcpQ,3759,3362,3158,5156,3999,3642
PA3106,1363,1318,1535,1745,1599,1490
metZ,3213,2901,4146,5380,4285,4073
purF,3592,2867,4259,6007,4019,4023
PA3109,145,209,191,279,235,236
PA3110,1140,1296,1182,1681,1629,1504
folC,2571,2898,2485,3057,2916,2881
accD,3407,4255,3308,4272,3465,3731
trpF,1321,1470,1191,1179,1941,1624
truA,813,702,745,787,870,787
fimV,27913,23392,21527,23159,26305,21816
PA3116,417,387,427,562,541,484
asd,3071,2588,3163,4273,3433,3221
leuB,2408,1843,1805,2432,2684,2219
PA3119,777,506,598,753,868,805
leuD,1961,1590,1707,2356,2513,1985
leuC,3455,2490,2899,3702,4319,3797
PA3122,2131,1854,1634,2001,2123,1809
PA3123,4827,3378,3425,3734,4143,3321
PA3124,1177,865,1073,1187,1528,1159
PA3125,306,287,330,365,449,376
ibpA,9032,11395,12319,19910,8918,7854
PA3127,1003,769,772,901,1367,999
PA3128,783,605,696,1111,1135,947
PA3129,620,631,605,866,816,720
PA3130,266,308,330,350,413,370
PA3131,517,603,567,677,835,799
PA3132,354,269,347,393,693,509
PA3133,138,121,131,143,233,221
PA3133.1,1,2,3,5,3,7
PA3133.2,15,8,28,45,16,27
PA3133.3,30,54,49,110,35,40
PA3133.4,97,96,152,227,123,103
gltX,2234,1795,2734,3533,3086,2738
PA3135,154,213,166,253,276,236
PA3136,124,121,107,163,112,117
PA3137,401,506,441,518,686,559
uvrB,2706,2526,2675,3365,4202,3437
PA3139,2846,3329,3085,4428,2893,3409
PA3139.1,28,12,25,31,25,31
PA3140,300,157,190,251,289,253
wbpM,5250,5080,4180,5408,5668,4820
PA3142,723,793,610,757,808,679
PA3143,1101,1179,1040,1142,1204,1007
wbpL,2060,2387,1972,2993,2411,2116
wbpK,1988,2358,1838,2765,2447,2211
wbpJ,3136,3302,3172,4157,3363,3007
wbpI,3569,3520,4408,8834,5063,5133
wbpH,1522,1461,1919,3561,1916,1874
wbpG,1881,1607,2696,5806,2359,2457
hisF2,1035,1048,1424,2926,1323,1324
hisH2,784,590,957,1500,774,775
wzx,446,326,513,820,450,470
wzy,414,336,528,991,525,521
wbpE,3881,3087,4711,9784,4073,4012
wbpD,2735,2159,2968,4771,2721,2619
PA3157,1165,1474,1118,2233,1361,1300
wbpB,1678,1515,2252,5233,2262,2311
wbpA,9810,9798,8909,13504,10843,10163
wzz,646,650,756,1183,905,917
himD,2333,2116,1650,2507,2515,2125
rpsA,6146,5912,10492,17662,8061,7760
cmk,1460,1531,1847,2101,2130,1807
hisC2,1305,1354,1418,1696,1496,1389
pheA,1913,2014,2391,3666,2395,2348
serC,2899,2895,3498,4538,3474,3211
gyrA,8429,9171,11896,14949,12156,11102
PA3169,465,498,709,887,787,678
PA3170,1281,1229,1128,1362,1710,1654
ubiG,1449,1480,1545,2366,1739,1680
PA3172,1361,1433,1379,1819,1524,1423
PA3173,852,826,941,1279,971,967
PA3174,124,113,95,96,196,173
PA3175,301,237,195,207,354,289
gltS,118,108,82,119,176,157
PA3177,2908,3250,1860,2302,3729,3286
PA3178,481,546,493,618,807,710
PA3179,1413,1362,1398,1612,1596,1298
PA3180,531,564,480,532,790,635
PA3181,5971,3079,6326,8757,4014,2665
pgl,7190,4440,7271,8766,4821,2983
zwf,10040,6961,8359,10030,7402,4893
PA3184,1160,1013,959,1244,1189,919
PA3185,4608,4447,3112,3121,4206,3279
oprB,45467,16123,28587,43927,24842,12852
PA2308,142,61,69,64,83,79
PA3188,5792,3209,4267,5631,3439,2090
PA3189,6908,5099,5054,6375,4578,2786
PA3190,16459,13668,10909,17865,12460,8300
PA3191,1806,1079,1513,1507,1236,813
gltR,3774,2160,3150,3734,2977,1926
glk,4056,2601,3838,4966,3888,2634
edd,13015,7921,11631,14329,10812,7365
gapA,10401,6461,6722,9311,8079,5642
PA3196,389,354,424,558,438,375
PA3197,791,799,723,695,994,832
PA3198,1788,1472,1393,1350,1674,1388
PA3199,1390,1178,1228,1916,1485,1304
PA3200,984,956,883,966,1128,996
PA3201,1547,1656,1266,1929,2079,1899
PA3202,2786,2891,2074,2253,3233,2784
PA3203,1290,1335,1201,1486,1672,1402
PA3204,1055,950,988,1312,1283,1186
PA3205,3209,4007,2008,2442,3053,2554
PA3206,757,927,585,683,888,837
PA3207,1176,1190,1084,1213,1398,1158
PA3208,1688,1689,1509,1620,1972,1668
PA3209,123,146,111,174,124,137
trkH,261,294,255,432,354,317
PA3211,1787,1680,1405,1683,2815,2408
PA2329,1375,1093,627,671,1160,987
PA3213,1620,1424,1607,1938,2458,2160
PA3214,3585,3601,2961,3316,5047,4181
PA3215,1532,1483,1309,1496,2034,1757
PA3216,215,203,233,451,316,287
cyaB,538,555,522,807,636,688
PA3219,35,34,32,31,53,44
PA3220,557,577,429,535,786,641
csaA,1440,1062,793,1189,1323,1095
PA3222,2148,2097,1267,1352,2527,1997
azoR3,137,147,132,173,1321,1005
PA3224,1460,1099,1011,1215,1200,961
PA3225,3787,3433,2996,3675,3209,2455
PA3226,2541,2398,1940,2705,2154,1877
ppiA,3732,3280,3000,4355,3464,2810
PA2341,291,209,224,290,300,211
PA3229,171,247,195,268,1805,1634
PA3230,907,870,707,791,2520,2207
PA3231,2169,1464,634,796,2092,1708
PA3232,2636,2770,269,270,5033,3410
PA3233,5404,6366,588,741,12836,9166
PA3234,13236,18511,1398,1874,38083,24206
PA3235,1696,3418,319,599,6278,4694
PA3236,5978,947,5008,5958,1474,728
PA3237,51,51,26,34,59,57
PA3238,1109,1298,1035,1485,1736,1602
PA3239,553,623,560,875,985,867
PA3240,1024,1047,828,1023,12282,10175
PA3241,1249,1321,1004,1212,2157,1804
PA3242,295,301,318,375,351,360
minC,1949,1988,1491,1982,2425,2239
minD,2083,1829,2416,4143,3027,3007
minE,861,626,918,1290,1086,1016
rluA,319,314,302,359,348,294
PA3247,3129,2849,2531,3494,3820,3281
PA3248,881,794,667,829,1111,883
PA3249,389,443,354,356,304,278
PA3250,2094,1680,1593,2381,1597,1342
PA3251,347,322,292,469,310,302
PA3252,331,206,246,356,276,249
PA3253,248,198,185,265,212,236
PA2350,134,94,94,112,109,104
PA3255,2134,1674,1592,2036,2068,1734
PA3256,4389,3889,3214,3358,4117,3504
prc,15772,12451,12912,17392,19609,16989
PA3258,612,602,480,652,691,636
PA3259,2186,2023,1514,1464,1996,1572
PA3260,1699,1765,1282,1457,1806,1536
PA3261,2214,2283,1502,2152,2210,1807
PA3262,3941,3597,3646,4533,4774,4256
PA3262.1,348,377,362,562,383,330
PA3262.2,354,361,345,497,395,322
PA3263,1855,1638,1954,2923,1972,1882
PA3264,463,443,394,426,613,544
PA3265,144,145,109,151,177,141
capB,741,1257,711,2396,1443,1523
PA3267,2658,2817,1589,1969,2378,2212
PA3268,296,637,452,531,394,338
PA3269,176,354,172,273,343,329
PA3270,597,603,572,773,1169,1009
PA3271,3530,5776,1916,2188,11406,9766
PA2408,120,122,142,98,89,72
PA3273,1460,837,518,632,1442,1037
PA3274,2894,1564,923,1006,1944,1579
PA3275,1179,771,424,543,910,801
PA3276,220,157,170,227,227,192
PA3277,988,1063,717,702,1272,921
PA3278,1664,847,1490,1910,1734,1470
oprP,72,69,52,57,95,81
oprO,340,282,151,218,211,193
PA3281,236,459,167,171,293,219
PA3282,129,551,60,112,129,106
PA3283,559,3109,242,279,419,326
PA3284,508,3297,240,250,377,244
PA3285,1047,1127,863,929,1294,1192
PA3286,1846,1920,1466,2033,2166,2093
PA3287,627,525,461,591,912,769
PA3288,710,708,537,682,940,731
PA3289,1327,1226,954,1163,1201,980
PA3290,2293,2267,1848,2589,2420,1970
PA3291,44,36,49,98,52,29
PA3292,33,23,35,40,29,26
PA3293,134,127,141,121,117,119
PA3294,245,240,227,376,315,305
PA3295,381,394,416,810,635,618
phoA,104,118,79,125,117,117
PA2435,1211,1316,830,860,1535,1175
PA3298,271,248,156,171,240,170
fadD1,2385,1900,3574,5889,3585,3328
fadD2,2021,1388,1671,2221,2833,2083
PA3301,804,761,694,1249,1176,1080
PA3302,1670,1503,1574,2452,2343,1953
PA3303,675,541,552,554,619,603
PA3304,835,732,575,727,689,631
PA3303a,52,89,47,79,70,53
PA3304.1,32,61,37,61,51,38
PA3305,1423,1357,857,898,1303,1074
phrS,4028,489,5253,12053,5092,5366
PA3306,1550,1684,1101,1200,2003,1616
PA3307,2288,2903,1575,1492,1889,1472
PA3308,977,999,1393,1972,1327,1286
PA3309,124461,37022,106120,121882,110962,100717
PA3310,1901,770,1916,2644,1992,1766
PA3311,3313,3324,1959,2278,2594,2109
PA3312,826,783,634,736,852,643
PA3313,853,621,1297,1889,824,785
PA2621,1380,1069,1269,1733,1639,1457
PA3315,1691,1653,1006,1024,1193,913
PA3316,772,763,475,527,629,459
PA3317,366,390,335,420,406,375
PA3318,58,48,41,108,59,59
plcN,237,298,180,234,318,248
PA3320,80,69,50,55,102,61
PA3321,420,370,358,425,610,445
PA3322,305,298,279,357,438,412
PA3323,461,319,301,392,275,259
PA3324,1037,863,721,857,751,676
PA3325,613,662,507,626,528,449
PA2812,875,641,973,1355,1241,1106
PA3327,18074,26533,19088,20238,10268,8067
PA3328,6403,10637,5693,5439,2911,2246
PA3329,6286,11608,5834,7196,3118,2633
PA3330,14986,27345,10968,10779,6363,5177
PA3331,17370,25847,11956,12322,7006,5641
PA3332,6642,10033,4826,5405,2823,2341
fabH2,7356,12561,4958,5134,2959,2407
PA3334,1858,2799,1306,1426,843,662
PA3335,3531,5009,2072,2007,1322,1042
PA3336,10151,9412,7677,8031,6370,5737
rfaD,18777,4142,21331,30159,21600,21140
PA3338,188,223,151,256,255,210
plpD,1104,1124,880,1054,1028,822
PA3340,3943,3438,2840,3441,3457,3033
PA3341,2177,1836,1677,2161,1954,1730
PA3342,1698,1387,1311,1517,1892,1569
PA3343,1572,1403,1114,1540,2050,1726
PA2840,526,564,704,967,638,599
PA3345,416,431,302,409,505,475
PA3346,4361,4124,3050,3159,3753,3178
PA3347,2052,2096,1619,2671,1917,1580
PA3348,7855,8342,5466,6569,8195,6688
PA3349,11527,13733,9658,12375,12980,10898
PA3350,1098,1200,771,1050,1286,1246
flgM,5671,6622,4915,8629,6611,5910
PA3352,5021,5066,4052,5452,5362,4660
PA3353,3531,3368,2693,4058,3950,3416
PA3354,2481,2383,2064,2312,2604,2081
PA3355,1926,1423,1597,1813,2066,1594
PA3356,9489,4995,7210,9946,9990,7487
dsdA,1481,1033,1297,1695,1397,1186
PA3358,159,136,184,256,157,165
PA3359,119,99,121,161,176,106
PA3360,232,243,227,212,295,187
lecB,1676,1612,529,873,831,679
PA3362,2182,1815,1176,1458,1797,1363
amiR,3503,2071,2140,2358,2924,2208
amiC,4596,2914,2632,3620,4544,3280
PA3365,7528,4897,3899,4906,7730,5381
amiE,12270,9314,6474,8867,14998,10871
amiL,33,34,41,135,86,99
PA3367,119,180,97,167,153,136
PA3368.1,49,60,40,55,56,40
PA3368,212,200,159,163,301,206
PA3369,437,294,267,453,829,661
PA3370,907,801,394,399,1601,1107
PA3371,456,315,170,244,680,529
PA3372,682,528,419,511,861,753
PA3373,880,810,652,682,1082,951
PA3374,460,453,348,437,526,434
PA2857,831,841,565,698,1095,1025
PA3376,138,112,113,150,122,110
PA3377,101,105,127,134,158,135
PA3378,178,103,125,174,148,130
PA3379,87,52,51,68,78,65
PA3380,60,47,47,55,51,48
PA3381,41,47,37,51,41,66
phnE,55,41,52,62,60,41
PA3383,56,40,51,75,60,41
PA2912,43,64,52,71,61,67
amrZ,10658,10965,7384,11695,10286,8747
PA3386,273,311,228,225,265,211
rhlG,199,238,141,189,381,270
PA3388,197,179,191,205,266,216
PA3390,87,77,67,97,108,79
PA3389,60,61,58,80,83,65
nosR,5437,8681,4162,5033,6026,5708
nosZ,6444,14242,4429,6451,6787,7397
nosD,1791,4452,978,1180,1783,2016
PA2987,1987,1559,1774,2002,2440,2330
nosY,430,1250,195,312,469,475
nosL,319,876,195,263,335,300
fpr,3646,5494,3281,4234,3124,2514
PA3398,1083,1028,997,1250,1322,953
PA3399,1183,1095,1024,1322,1374,1090
PA3400,317,297,320,387,404,365
PA3401,317,297,327,392,454,383
PA3402,534,584,496,675,726,589
PA3403,82,137,79,94,113,107
PA3403a,254,172,138,252,281,291
PA3404,408,258,203,286,385,372
hasE,53,60,34,54,64,63
hasD,50,49,31,45,73,55
hasAp,224,288,190,250,270,232
hasR,230,254,179,205,247,253
PA3409,151,272,99,94,170,156
PA3410,35,123,53,59,40,39
PA3411,10,9,11,20,20,5
PA3412,57,61,44,69,89,78
PA3413,828,921,566,832,910,693
PA3414,1049,950,699,758,927,827
PA3415,6441,4634,3130,3307,3196,2587
PA3416,8172,6001,3619,4023,3907,3173
PA3417,6288,4912,3294,3336,3298,2537
ldh,8010,7928,5003,7206,6100,5101
PA3419,908,961,774,881,1319,1004
PA3420,812,849,507,529,1192,815
PA3421,196,131,140,245,213,187
PA3422,277,277,245,286,341,247
PA3423,266,279,226,324,439,351
PA3424,600,619,495,549,711,626
PA3425,670,629,545,681,706,657
PA3426,1300,1314,1104,1175,1385,1265
PA3427,1422,1315,937,912,2037,1429
PA3428,83,73,73,72,90,71
PA3429,943,956,605,622,1011,742
PA3430,2369,1763,1449,2096,2570,2024
PA3431,235,226,209,238,138,121
PA3432,91,107,91,124,70,57
PA3433,289,301,265,320,403,289
PA3434,431,507,362,436,820,579
PA3435,724,496,933,1190,1112,903
PA3436,250,325,344,420,303,284
folM,297,347,282,397,677,638
folE1,541,753,641,956,1406,1298
folX,669,620,795,1248,1443,1264
PA3440,739,624,902,1308,1216,1203
PA3440a,929,701,923,1462,1353,1267
PA3441,7446,253,5361,6408,2372,2465
PA3019,788,741,980,1069,994,770
PA3443,2985,295,701,819,1205,1204
PA3444,5816,674,1403,1657,2606,2365
PA3445,3154,675,906,1260,2020,1815
PA3446,1338,876,649,939,1660,1461
PA3187,23459,12606,17964,20682,14726,8956
PA3448,168,92,82,70,142,122
PA3449,153,78,74,85,141,96
PA3450,1575,1708,713,835,1677,1519
PA3451,720,868,555,941,638,593
mqoA,588,513,655,1025,521,444
PA3453,287,307,435,507,421,341
PA3454,786,770,638,786,1130,912
PA3455,2756,2448,2339,3116,3547,3002
PA3456,1016,1132,914,1108,1268,1105
PA3457,1558,660,1436,1760,1532,1300
PA3458,5634,975,5681,6225,5842,4946
PA3459,4705,1875,3625,5105,5986,4976
PA3460,6281,3422,4993,6150,9363,6912
PA3461,2611,1677,2413,3829,4789,3605
PA3462,1202,1053,961,1142,1060,843
PA3463,234,182,252,300,249,231
PA3464,408,378,301,351,440,411
PA3465,11715,7448,8943,11452,11161,9619
PA3212,877,923,663,771,1340,1164
PA3467,473,236,383,471,303,182
PA3468,806,767,905,1243,1185,957
PA3469,440,373,525,701,533,484
PA3470,310,301,394,613,434,378
PA3471,4625,4065,5643,7963,6634,6087
PA3472,318,304,453,803,422,394
PA3473,200,234,240,311,285,245
PA3474,155,179,192,209,183,168
pheC,694,553,800,1041,730,613
rhlI,3941,4058,2810,3332,4447,3859
rhlR,6407,6527,4993,6432,4755,4388
rhlB,2051,2535,1323,1598,1321,1129
rhlA,2012,2409,1309,1740,937,859
PA3480,410,439,531,886,697,575
PA3481,2194,1738,1877,2351,3018,2445
metG,2916,2724,3405,5234,4678,4210
PA3483,489,577,466,628,607,627
PA3484,461,483,427,712,487,397
PA3485,218,284,236,260,241,177
PA3486,565,534,473,590,709,545
pldA,1204,1057,1173,1551,1505,1176
PA3488,404,448,352,466,443,362
PA3489,139,164,128,212,174,169
PA3490,173,209,192,216,208,227
PA3491,707,667,794,861,899,735
PA3492,340,288,307,437,369,322
PA3493,223,167,180,244,226,224
PA3494,190,168,156,224,202,208
nth,207,190,208,326,241,234
PA3496,574,352,552,662,625,548
PA3497,149,169,161,322,259,216
PA3498,1655,551,975,1118,884,570
PA3499,1398,348,743,803,658,369
PA3500,2470,524,1565,2143,1230,693
PA3501,890,210,539,670,466,250
PA3502,425,79,259,352,216,139
PA3504,1835,520,951,1268,1093,754
PA3505,1674,481,708,753,897,602
PA3506,1772,451,801,1430,1265,808
PA3507,1238,355,471,576,748,462
PA3508,2480,750,873,1010,1537,929
PA3509,2778,1048,862,910,1969,1178
PA3510,1239,323,404,634,996,614
PA3511,665,271,228,308,595,388
PA3512,536,267,204,258,476,326
PA3513,501,350,234,283,434,315
PA3228,3708,3561,2846,3930,3546,2988
PA3515,426,370,375,558,576,407
PA3516,778,505,579,649,638,423
PA3517,390,351,290,380,414,251
PA3518,131,149,135,188,249,149
PA3519,150,168,113,172,177,129
PA3520,395,544,149,192,185,143
PA3521,129,164,115,125,164,129
PA3522,288,345,268,274,389,327
PA3523,135,133,102,133,164,96
gloA1,975,1095,1124,2221,1642,1734
argG,3668,3498,4301,5951,4475,4171
PA3526,3430,4238,2562,2808,3568,2935
pyrC,2558,2370,2255,3133,3864,3650
rnt,1788,1560,1616,2168,2708,2512
PA3529,25637,30141,23406,37890,37169,33175
PA3530,1199,3322,594,738,958,897
bfrB,6859,1189,6883,10233,9556,8266
PA3532,648,368,530,687,741,689
PA3533,8552,10329,5508,7076,12660,10631
PA3534,796,710,648,746,1417,1046
PA3535,3288,2601,3636,4671,3402,2656
PA3536,667,793,570,663,915,756
argF,559,621,563,768,888,763
PA3254,943,689,664,919,855,676
PA3539,421,383,441,801,591,552
algD,232,187,141,182,231,206
alg8,148,146,148,175,203,163
alg44,109,87,109,122,137,126
algK,162,146,123,133,174,154
algE,203,161,140,228,201,206
algG,1228,1424,816,970,1474,1089
algX,72,81,92,107,121,97
algL,95,94,96,126,127,101
algI,146,143,162,203,262,156
algJ,118,114,130,163,166,117
algF,321,339,296,389,467,425
algA,952,836,717,1015,1096,897
arnB,15434,21635,13668,18231,20058,23323
arnC,5239,8924,5237,7243,7527,9707
