,PAO1-1,PAO1-2,DKT-2-1,DKT-2-2,DKT-1-1,DKT-1-2
PA2051,160,143,130,144,385,279
cynS,835,929,639,1053,2060,1880
cynT,307,223,203,247,490,437
cynR,509,430,383,414,561,422
PA2055,276,281,205,233,326,284
PA2056,204,178,266,319,267,181
PA2057,164,168,161,163,215,179
PA2058,45,72,50,58,88,55
PA2059,96,87,66,38,85,58
PA2060,49,37,59,48,61,57
PA0657,2404,2521,2103,2119,3252,2711
PA2062,1028,891,573,794,1407,1192
PA2063,293,270,252,261,265,263
pcoB,110,106,93,100,119,83
pcoA,153,179,115,159,163,124
PA2066,667,663,289,244,320,274
PA2067,775,826,294,279,369,294
PA2068,738,845,207,240,318,273
PA2069,3772,4099,1086,1249,1098,1000
PA2070,637,676,382,420,524,406
fusA2,7792,5127,5338,6760,7090,5735
PA2072,3060,2504,1794,2177,2144,1708
PA2073,238,202,174,187,169,152
PA2074,269,227,157,160,134,107
PA2075,229,234,187,221,220,176
PA2076,282,344,279,367,322,286
PA2077,205,225,221,254,252,169
PA2078,128,145,100,143,179,127
PA2079,1041,788,987,1336,1159,918
kynU,3812,3147,3464,5125,4539,3715
kynB,2113,1475,1834,2762,2512,2125
PA2082,283,232,264,330,347,274
PA2083,333,252,287,369,412,330
PA2084,808,505,467,486,615,491
PA2085,139,30,69,73,64,72
PA2086,350,79,155,193,189,152
PA2087,232,68,90,103,110,97
PA2088,603,208,266,289,274,243
PA2089,880,568,578,737,731,596
PA2090,579,139,332,386,252,225
PA2091,497,104,286,271,199,192
PA2092,430,182,286,259,181,172
PA2093,152,50,115,131,113,91
PA2094,352,253,270,251,283,249
PA2095,290,245,202,221,356,265
PA2096,262,251,233,250,335,278
PA2097,502,302,312,383,584,455
PA2098,414,337,307,349,467,369
PA2099,215,187,173,251,262,231
PA2100,986,832,863,1247,1394,1281
PA2101,140,100,143,249,283,223
PA2102,105,95,123,249,217,179
PA2103,894,644,766,1265,1284,983
PA2104,546,433,478,766,756,589
PA2105,475,400,480,655,693,541
PA2106,662,517,584,806,867,693
PA2107,331,228,212,275,344,326
PA2108,2846,1604,1327,1544,2332,1700
PA2109,1448,938,1040,1228,1674,1184
PA2110,19610,12754,11425,11882,20150,14100
PA2111,10904,6666,8743,11197,13643,9926
PA2112,13643,6473,9589,10792,16500,11637
opdO,6960,3435,5156,7194,10499,7422
PA2114,16889,9484,12227,17015,23959,17182
PA2115,188,194,227,281,304,274
PA2116,7376,4779,5572,7035,12629,10063
PA2117,4922,3817,4094,4051,8101,6252
ada,868,739,725,767,1525,1209
PA2118a,856,590,658,671,768,617
PA2119,7780,4140,7885,12054,8968,8480
PA2120,312,288,221,316,353,287
PA2121,2324,1753,1396,1610,1795,1308
PA2122,1085,879,567,611,984,838
PA2123,453,427,309,364,573,460
PA2124,196,166,126,148,233,209
PA2125,430,332,440,495,448,411
PA2126,932,453,1045,1235,909,958
