,Emp_20_2.EDGE-pro.rpkm_0,Emp20_Dihydroxy_2.EDGE-pro.rpkm_0,Emp20_Dihydroxy.EDGE-pro.rpkm_0,Emp20_monohydroxy_2.EDGE-pro.rpkm_0,Emp20_monohydroxy.EDGE-pro.rpkm_0,Emp20_Oleic_acid_2.EDGE-pro.rpkm_0,Emp20_Oleic_acid.EDGE-pro.rpkm_0,Emp_20.EDGE-pro.rpkm_0
PA2981,204,320,354,99,244,57,228,566
PA2982,119,123,240,90,242,37,213,275
PA2983,218,110,168,72,144,50,181,167
PA2984,80,48,6,2,15,0,14,6
PA2985,688,606,1021,596,906,213,586,996
PA2986,379,544,1067,520,453,206,440,567
PA2987,252,253,456,133,379,170,206,303
PA2988,675,592,988,721,1029,401,795,887
PA2989,330,495,709,481,571,252,351,406
PA2990,720,1444,1470,717,1268,329,859,1177
PA2991,2885,2410,5257,4477,3855,1960,2506,3020
PA2992,216,376,619,602,449,299,429,418
PA2993,341,529,813,253,339,197,349,524
PA2994,814,571,1101,685,1104,479,607,1168
PA2995,585,375,1021,1289,617,985,923,981
PA2996,625,506,571,1418,1001,909,724,950
PA2997,649,537,494,491,628,278,560,635
PA2998,1240,1041,2100,1313,1555,800,1175,1282
PA2999,785,820,1445,751,755,423,836,1415
PA3000,485,372,1062,575,479,256,336,406
PA3001,19224,24174,41285,29800,35348,15146,25086,30654
PA3002,3115,3110,5043,2619,3713,1767,3310,2748
PA3003,1404,725,1608,1649,1456,865,807,1242
PA3004,320,226,170,90,168,49,129,248
PA3005,177,206,207,81,187,50,225,182
PA3006,260,922,1639,56,254,320,378,806
PA3007,290,230,410,161,413,175,492,396
PA3008,318,109,591,507,627,217,363,375
PA3009,303,152,499,444,205,238,554,213
PA3010,330,350,504,208,500,251,252,515
PA3011,7680,5651,6945,6145,7594,2992,6793,8386
PA3012,179,97,183,107,114,61,236,256
PA3013,2763,7320,9112,1054,1562,1787,4341,3156
PA3014,4376,13225,18812,2156,1823,4353,6923,4354
PA3015,167,137,316,122,135,107,249,195
PA3016,19,66,24,4,65,4,19,17
PA3017,129,267,249,99,287,54,143,307
PA3018,95,113,72,42,53,26,95,234
PA3019,305,339,838,313,482,188,379,451
PA3020,1302,1664,1288,789,1193,486,1261,1612
PA3021,743,1047,909,779,688,691,649,905
PA3022,523,682,502,351,381,338,389,552
PA3023,10,35,9,13,29,13,16,81
PA3024,88,41,94,17,47,9,17,29
PA3025,21,26,58,2,19,10,11,48
PA3026,48,137,175,62,164,38,138,177
PA3027,220,277,327,103,282,150,271,304
PA3028,77,165,11,53,94,31,71,102
PA3029,456,367,493,260,574,151,375,596
PA3030,100,171,118,73,126,80,171,242
PA3031,3158,3390,4241,3578,5330,2928,4536,3911
PA3031.1,551,451,623,641,562,483,459,580
PA3032,29,97,36,84,106,112,118,122
PA3033,64,161,281,43,95,38,40,135
PA3034,105,200,380,95,92,48,149,51
PA3035,122,83,6,21,87,40,83,98
PA3036,5,9,2,20,4,0,1,37
PA3037,48,22,26,1,3,4,32,39
PA3038,2290,1989,3988,6415,8423,2094,2720,1744
PA3039,33,64,48,149,98,70,108,43
PA3040,10135,10570,12552,8229,10477,5232,7564,7605
PA3041,969,1278,1358,662,984,425,498,1044
PA3042,156,124,150,98,168,46,89,241
PA3043,2253,2224,3815,2863,2791,1351,2729,2436
PA3044,128,158,205,133,93,72,84,201
PA3045,68,51,130,21,14,8,5,30
PA3046,172,89,136,143,155,93,128,240
PA3047,1029,1106,886,901,1138,820,1297,909
PA3048,103,94,141,41,137,31,34,148
PA3049,9317,6465,10808,9618,8619,2095,3660,3880
PA3050,5646,5741,6112,3446,6166,903,2225,3115
PA3051,63,186,56,48,63,35,73,164
PA3052,479,458,233,234,424,147,366,355
PA3053,315,505,744,304,459,129,271,752
PA3054,1363,1046,1249,1521,1705,808,1374,1822
PA3055,365,378,1032,809,942,377,713,651
PA3056,18,9,10,2,16,14,15,57
PA3057,23,4,0,3,20,0,20,8
PA3058,137,61,93,57,148,35,116,82
PA3059,24,58,92,13,45,70,2,86
PA3060,4,0,0,1,9,0,4,7
PA3061,0,28,5,0,11,3,0,22
PA3062,0,0,0,0,5,0,4,0
PA3063,12,14,5,0,6,0,0,32
PA3064,24,54,71,15,36,20,45,8
PA3065,25,24,3,12,10,0,7,1
PA3066,7,39,5,3,3,1,0,0
PA3067,10,1,3,12,5,3,0,0
PA3068,8671,6273,7116,4542,6921,3522,5591,7513
PA3069,20,201,411,204,293,42,91,141
PA3070,640,1131,1038,637,1045,182,586,1212
PA3071,122,382,180,75,271,100,226,193
PA3072,7,6,11,3,16,2,5,22
PA3073,52,97,129,26,143,34,51,127
PA3074,57,168,88,50,79,15,57,140
PA3075,267,412,657,331,527,189,513,438
PA3076,398,214,684,188,345,120,332,424
PA3077,170,154,308,173,257,226,128,331
PA3078,545,499,732,337,778,310,649,716
PA3079,428,1267,2183,1490,2377,808,994,701
PA3080,18,182,239,58,212,46,36,77
PA3081,549,521,901,705,937,466,1076,552
PA3082,1182,613,884,1374,1319,1151,1287,1353
PA3083,3291,2457,4434,2653,3701,1366,2304,3097
PA3084,1141,810,1517,1570,983,820,779,1091
PA3085,346,325,918,485,647,325,402,600
PA3086,141,64,220,145,115,158,184,204
PA3087,99,129,150,164,318,78,162,225
PA3088,1902,2373,3245,2240,3026,1386,2738,2824
PA3089,69,119,80,24,96,53,72,99
PA3089a,48,58,27,23,59,8,33,60
PA3091,301,310,170,104,225,134,225,250
PA3092,151,260,480,140,425,25,300,226
PA3093,151,304,117,59,197,33,200,359
PA3094,72,280,126,102,271,61,158,271
PA3094.1,37,17,41,31,53,11,46,14
PA3094.2,141,60,133,109,107,35,110,109
PA3094.3,111,43,89,66,60,25,68,94
PA3095,18,5,3,2,1,2,4,12
PA3096,10,32,75,10,17,4,10,10
PA3097,52,65,6,71,103,9,52,11
PA3098,8,14,44,4,20,16,59,64
PA3099,15,43,32,0,41,20,11,51
PA3100,33,27,50,16,15,17,22,25
PA3101,1352,824,1312,986,1322,616,1429,1434
PA3102,322,221,140,222,269,86,156,375
PA3103,994,880,1175,440,1007,394,726,1230
PA3104,743,1001,1382,741,823,617,875,1211
PA3105,7551,7006,9919,6210,7153,5158,7786,8578
PA3106,311,382,251,214,197,149,129,247
PA3107,334,778,366,409,615,196,493,586
PA3108,1890,2102,3464,2180,2477,857,1634,2535
PA3109,77,24,48,54,68,24,24,118
PA3110,293,341,507,265,320,74,189,386
PA3111,234,229,279,94,366,65,88,299
PA3112,1249,723,662,790,1096,424,983,1556
PA3113,68,68,41,18,81,10,70,168
PA3114,192,106,300,154,257,47,162,323
PA3115,20234,14034,28967,20093,26969,12185,19578,21679
PA3116,418,219,226,278,347,201,363,479
PA3117,13992,640,1045,6770,5153,1151,1786,2797
PA3118,33805,656,1115,24472,14917,1410,2685,4249
PA3119,1794,20,170,481,792,53,85,262
PA3120,8311,145,387,2977,2952,291,656,1031
PA3121,18624,837,904,5828,8171,627,1330,3546
PA3122,399,121,76,150,149,48,40,132
PA3123,107,70,78,75,126,55,77,60
PA3124,115,35,97,117,79,55,105,249
PA3125,30,46,58,1,41,2,62,29
PA3126,1347,1513,2618,1294,1660,912,2416,2768
PA3127,316,106,96,167,174,171,220,138
PA3128,49,104,74,53,66,17,11,82
PA3129,115,99,246,70,80,11,34,163
PA3130,37,50,59,8,6,2,7,4
PA3131,107,74,33,142,160,43,185,174
PA3132,1,0,0,0,0,0,0,3
PA3133,6,2,1,2,4,0,0,1
PA3133.1,3,3,4,7,0,0,0,2
PA3133.2,76,33,61,129,43,74,139,84
PA3133.3,79,34,69,166,45,77,163,85
PA3133.4,25,21,10,70,35,23,61,30
PA3134,1470,843,1567,1543,1459,816,1699,1705
PA3135,122,95,71,54,137,30,64,159
PA3136,17,135,180,43,70,35,6,43
PA3137,55,155,116,99,95,49,18,62
PA3138,2032,1515,2318,2056,2759,1248,1744,2416
PA3139,1876,1822,2884,1326,1824,1140,1436,2517
PA3139.1,48,64,57,64,66,58,52,77
PA3140,7,15,22,13,29,14,34,18
PA3141,3431,2825,5573,3125,3758,2818,4364,4158
PA3142,693,465,1357,941,985,749,952,752
PA3143,697,489,686,522,392,565,927,768
PA3145,3012,2628,3410,2776,2687,2307,2771,2878
PA3146,2172,1583,3382,3071,1883,1909,2970,2195
PA3147,2242,2028,2182,2780,2111,2168,3101,2267
PA3148,12411,14488,22433,21257,15841,11829,18610,16451
PA3149,2945,3506,5288,5910,3917,3089,5722,3026
PA3150,4452,7419,6226,8856,7818,3683,6581,5963
PA3151,899,208,547,870,438,465,1221,719
PA3152,740,431,503,669,366,444,1049,535
PA3153,1160,656,1542,852,1034,992,1260,948
PA3154,943,1302,602,1742,953,772,1823,924
PA3155,16541,15959,26476,32635,16966,14869,23729,19205
PA3156,3167,3633,5736,6172,4534,3751,4825,4979
PA3157,4405,2620,5508,3612,3423,3148,3753,3691
PA3158,10607,9738,16845,17560,10488,12531,15156,13261
PA3159,26808,17257,32331,37196,22928,17839,29212,26712
PA3160,554,932,581,1045,818,751,1204,998
PA3161,1092,1219,1448,1026,973,483,839,928
PA3162,26139,19740,36913,39145,28309,28341,42635,45383
PA3163,339,282,537,378,442,268,522,665
PA3165,240,285,274,260,565,127,497,789
PA3166,2065,1284,1455,1929,1830,1385,1646,1852
PA3167,4289,4260,6667,5441,5961,3172,4910,5473
PA3168,4575,4894,7024,3787,6334,2096,5178,6827
PA3169,762,784,956,597,1139,402,949,1326
PA3170,607,503,965,574,887,502,646,650
PA3171,2232,1587,2718,1037,2524,666,1697,2363
PA3172,800,567,435,259,528,170,475,830
PA3173,1729,2219,2489,1457,1897,877,1741,1912
PA3174,40,25,21,14,22,7,37,34
PA3175,0,14,0,4,9,11,46,0
PA3176,8,12,2,0,12,0,5,43
PA3177,198,252,237,91,278,21,276,292
PA3178,10,73,157,32,58,17,5,87
PA3179,296,237,309,195,229,73,209,467
PA3180,243,197,253,181,255,146,168,274
PA3181,3173,7206,6512,3065,7739,1515,5027,5121
PA3182,1167,2598,1689,682,2884,410,1350,2480
PA3183,18472,20538,28984,21885,26986,11579,20669,25381
PA3184,1057,1029,1420,800,1269,425,1364,1371
PA3185,399,303,734,586,797,210,675,689
PA3186,1253,1481,1827,1852,3571,1721,2900,1891
PA3187,2228,2093,2774,2329,5747,2929,5348,2599
PA3188,1421,2530,2352,1937,4000,2381,4750,2618
PA3189,1686,2414,2481,1699,5067,1430,3337,3191
PA3190,10609,11566,17219,14154,23262,8484,18006,14703
PA3191,450,644,1321,377,642,232,673,682
PA3192,1246,1119,2098,1515,1812,711,1267,1007
PA3193,242,189,319,44,226,101,228,231
PA3194,18466,18396,23872,13918,30190,7750,17629,21184
PA3195,15707,16088,17106,11415,19148,9629,17658,19274
PA3196,248,161,289,133,203,191,429,260
PA3197,51,105,89,23,104,17,76,83
PA3198,149,64,122,158,200,40,48,126
PA3199,768,755,961,376,921,347,779,1047
PA3200,309,200,423,241,477,185,235,390
PA3201,1402,1181,1918,1066,1182,929,1429,1486
PA3202,287,504,1608,341,708,216,310,659
PA3203,181,302,273,141,204,82,166,179
PA3204,284,393,140,213,328,59,215,399
PA3205,412,441,548,393,636,140,478,677
PA3206,148,285,217,139,211,67,149,184
PA3207,46,36,29,3,15,21,16,35
PA3208,14,67,14,6,16,4,9,8
PA3209,11,1,0,22,10,6,4,8
PA3210,557,483,144,461,401,307,476,510
PA3211,774,982,555,452,663,282,569,973
PA3212,516,614,651,395,681,138,351,553
PA3213,1190,1133,2000,1164,1324,676,1004,1187
PA3214,144,135,139,113,247,75,107,148
PA3215,200,202,278,184,193,56,187,197
PA3216,493,315,407,537,484,244,259,428
PA3217,924,685,875,888,1041,466,803,1369
PA3219,14,27,0,0,7,0,0,0
PA3220,74,116,184,10,45,9,55,66
PA3221,497,296,565,537,405,574,403,589
PA3222,163,47,73,29,32,23,15,120
PA3223,3,17,0,4,49,7,4,25
PA3224,482,859,1255,909,796,467,796,695
PA3225,254,522,393,229,458,176,208,462
PA3226,330,758,534,326,643,170,361,525
PA3227,4454,4300,6415,4721,6803,2633,5324,5604
PA3228,1121,1314,1501,677,1641,535,1043,1123
PA3229,861,1083,1279,1148,1329,517,1133,1443
PA3230,329,195,893,376,308,228,230,250
PA3231,7,4,0,17,11,8,4,1
PA3232,37,11,71,61,35,11,57,18
PA3233,110,129,126,156,261,31,141,105
PA3234,499,385,565,1017,947,186,286,351
PA3235,246,145,244,730,1022,41,399,202
PA3236,66,10,0,42,65,87,24,19
PA3237,0,1,0,62,29,3,0,5
PA3238,971,936,948,1830,1123,759,1064,1203
PA3239,630,546,722,990,965,506,693,884
PA3240,69,320,145,122,126,94,53,144
PA3241,39,17,26,2,28,9,9,73
PA3242,144,331,258,116,317,96,115,204
PA3243,333,225,303,167,472,105,257,424
PA3244,10077,8341,14016,10837,10631,5305,10198,11553
PA3245,719,951,1081,1088,781,645,798,1028
PA3246,582,389,556,619,410,381,456,541
PA3247,793,1307,1192,719,1155,528,1067,1087
PA3248,33,74,58,34,111,26,40,60
PA3249,75,45,20,23,47,35,13,22
PA3250,392,217,443,325,341,113,218,307
PA3251,78,120,33,22,84,20,38,122
PA3252,56,92,6,23,78,18,17,11
PA3253,67,39,83,37,71,42,37,117
PA3254,113,84,166,113,128,22,187,159
PA3255,262,180,298,193,308,113,163,293
PA3256,152,254,115,145,155,63,98,179
PA3257,16611,15815,20869,18319,21047,11305,20903,20986
PA3258,981,1175,1632,833,1472,744,1254,1144
PA3259,22,27,6,5,1,2,2,6
PA3260,12,4,135,54,64,1,87,14
PA3261,625,388,712,306,395,405,488,651
PA3262,2789,4388,6693,3519,4883,1236,4584,5863
PA3262.1,26,5,31,14,24,25,41,13
PA3262.2,24,4,29,11,18,26,42,13
PA3263,545,408,269,636,607,323,389,947
PA3264,130,105,185,56,109,24,149,108
PA3265,124,54,157,102,237,104,44,166
PA3266,11730,9904,16314,20973,10719,8070,19318,13516
PA3267,1605,1437,1781,1869,1497,959,1959,1670
PA3268,287,491,375,449,552,246,669,1011
PA3269,395,398,628,800,436,414,709,504
PA3270,32,79,115,32,84,8,30,29
PA3271,441,431,773,426,661,167,477,520
PA3272,39,92,26,16,101,23,23,97
PA3273,1,1,3,0,2,0,0,1
PA3274,89,12,22,4,1,16,10,50
PA3275,2,2,1,1,9,18,6,9
PA3276,5,3,6,2,40,38,6,32
PA3277,77,609,642,74,18,6,32,9
PA3278,94,58,63,73,79,113,158,128
PA3279,0,43,0,5,4,11,107,21
PA3280,46,33,13,70,28,14,2,40
PA3281,7,56,11,9,62,37,5,1
PA3282,0,29,38,5,33,0,13,33
PA3283,22,103,2,14,33,0,6,8
PA3284,23,24,0,1,14,2,0,38
PA3285,166,240,136,117,149,100,369,245
PA3286,1583,1535,2123,1665,2204,595,1615,1786
PA3287,100,78,10,47,40,30,51,122
PA3288,47,57,23,25,75,5,14,97
PA3289,33,75,12,7,48,20,23,46
PA3290,697,403,874,413,656,279,644,820
PA3291,18,0,0,2,11,0,33,19
PA3292,50,64,55,15,4,78,226,29
PA3293,20,39,30,10,29,1,24,20
PA3294,319,271,434,113,244,76,273,379
PA3295,597,640,1182,714,640,482,607,910
PA3296,26,61,46,29,15,4,7,31
PA3297,531,803,863,447,1026,282,649,845
PA3298,1,57,4,6,2,3,4,7
PA3299,5448,5598,8220,4133,5403,3190,6424,4884
PA3300,1017,2396,3139,862,1069,579,855,1003
PA3301,418,608,758,441,567,252,363,562
PA3302,1631,2860,2684,1925,2278,1159,1532,2552
PA3303,227,100,159,72,170,89,214,240
PA3304,16,111,58,18,50,8,21,20
PA3303a,5,12,69,5,3,7,5,5
PA3304.1,19,0,0,0,1,0,10,0
PA3305,58,128,128,29,78,20,74,145
PA3305.1,3427,4341,8676,4529,4410,3900,6455,3866
PA3306,407,464,466,341,709,280,557,594
PA3307,119,182,226,90,93,56,90,209
PA3308,1413,1087,2888,1441,1481,803,1837,1968
PA3309,6269,15899,10275,2913,12194,1741,8487,17776
PA3310,499,676,696,383,725,365,546,923
PA3311,739,554,534,319,562,273,331,461
PA3312,13,59,46,8,26,19,0,4
PA3313,1701,1499,2292,1096,1985,429,1202,1817
PA3314,477,289,435,255,507,103,313,486
PA3315,10,48,15,4,9,8,15,9
PA3316,5,42,1,0,3,0,8,3
PA3317,156,138,179,99,112,83,141,135
PA3318,19,47,105,15,54,12,59,97
PA3319,30,127,171,22,197,50,75,127
PA3320,9,0,0,0,2,2,0,0
PA3321,8,43,13,8,26,6,31,25
PA3322,45,165,66,28,19,4,55,140
PA3323,109,0,7,42,67,11,9,36
PA3324,75,75,77,49,58,9,39,19
PA3325,109,71,7,59,49,14,15,37
PA3326,25316,15351,29351,15236,10797,9529,19351,21873
PA3327,6726,10965,10750,3864,7412,4244,6132,8162
PA3328,1468,2671,3644,1426,2093,1467,1615,1733
PA3329,915,1312,1257,385,979,417,780,942
PA3330,1070,1559,1295,304,900,371,756,972
PA3331,3418,4009,4690,1730,2228,1342,2338,3309
PA3332,8451,8919,15832,4471,5409,5471,6623,6421
PA3333,960,2137,1889,213,743,167,431,1492
PA3334,553,901,919,170,353,102,285,727
PA3335,183,167,226,62,111,92,71,81
PA3336,256,406,413,47,105,103,186,390
PA3337,452,1571,1152,475,1132,111,956,1742
PA3338,137,199,119,69,142,71,75,221
PA3339,271,235,427,207,210,135,260,306
PA3340,130,181,226,194,192,104,180,347
PA3341,470,258,418,258,282,233,318,448
PA3342,413,304,510,189,389,174,341,470
PA3343,320,223,232,205,301,105,223,455
PA3344,606,818,944,770,776,275,810,1010
PA3345,38,128,8,34,51,30,29,78
PA3346,418,318,568,189,441,188,265,450
PA3347,1505,1557,2009,810,1393,330,1236,1895
PA3348,637,613,1058,398,913,284,941,793
PA3349,1498,2071,2185,1403,2143,484,1419,2131
PA3350,227,138,173,199,259,55,277,180
PA3351,4786,5664,6868,3273,4498,2726,5456,5631
PA3352,4108,4255,6217,5031,3770,3524,5256,4818
PA3353,2506,2648,3553,2190,2502,1622,3832,3741
PA3354,152,512,135,84,253,45,151,552
PA3355,78,290,318,54,219,30,60,143
PA3356,302,244,1043,381,818,190,381,456
PA3357,88,111,119,26,76,26,53,105
PA3358,6,34,11,5,19,5,18,17
PA3359,85,47,107,51,104,62,100,171
PA3360,9,9,0,8,37,12,4,19
PA3361,629,428,502,221,214,162,325,453
PA3362,162,83,147,39,58,61,35,122
PA3363,86,39,67,19,53,24,53,95
PA3364,17,52,22,33,6,5,2,13
PA3365,1,38,79,7,70,0,9,13
PA3366,237,93,258,232,243,83,205,316
PA3366.1,9,9,29,20,10,0,51,28
PA3367,17,67,4,34,20,9,9,19
PA3368.1,4,13,0,1,2,3,2,2
PA3368,5,41,3,56,14,7,56,10
PA3369,57,32,34,112,111,13,105,264
PA3370,38,47,139,17,43,6,54,161
PA3371,35,37,100,21,62,4,82,20
PA3372,26,59,92,10,57,1,35,22
PA3373,7,36,3,2,24,7,3,24
PA3374,1,39,0,60,1,11,0,1
PA3375,5,0,0,0,0,0,2,0
PA3376,4,15,0,7,3,0,0,0
PA3377,54,0,121,14,45,11,15,20
PA3378,7,5,23,4,18,13,28,10
PA3379,2,0,0,0,0,0,1,4
PA3380,2,0,0,0,0,0,0,1
PA3381,16,1,0,0,3,3,4,3
PA3382,5,3,0,0,0,0,15,27
PA3383,5,36,14,4,0,0,70,13
PA3384,7,1,14,0,2,0,7,6
PA3385,17466,14021,30540,16980,15745,13147,18658,17821
PA3386,296,288,215,133,282,121,199,407
PA3387,49,178,240,52,42,43,10,130
PA3388,6,108,122,5,25,6,19,25
PA3390,7,11,37,5,67,0,22,15
PA3389,18,9,4,52,39,0,0,5
PA3391,132,1890,1880,920,2125,314,1188,388
PA3392,447,217,206,908,777,307,779,589
PA3393,177,113,154,94,214,40,123,74
PA3394,1,4,0,0,1,1,2,3
PA3395,2,5,0,0,38,0,20,27
PA3396,2,0,1,0,1,0,1,10
PA3397,8130,4515,5736,4712,2991,2472,3685,6324
PA3398,53,81,112,34,63,33,44,126
PA3399,27,65,33,13,69,1,15,74
PA3400,255,150,602,118,132,124,125,221
PA3401,141,303,303,142,328,74,164,280
PA3402,91,172,67,45,126,23,35,94
PA3403,118,65,191,37,48,29,70,50
PA3403a,4,28,0,15,7,14,6,1
PA3404,7,87,18,22,10,2,11,11
PA3405,2,0,5,0,3,0,0,2
PA3406,1,25,8,0,3,3,6,21
PA3407,214,519,363,74,277,84,266,392
PA3408,77,310,186,21,175,233,200,239
PA3409,7,61,40,17,37,15,39,44
PA3410,85,237,260,124,82,141,322,322
PA3411,15,14,1,4,2,1,9,3
PA3412,9,5,0,0,1,11,7,5
PA3413,85,39,7,51,47,12,9,45
PA3414,39,38,35,42,46,0,55,54
PA3415,6,23,0,2,16,2,4,14
PA3416,22,15,8,7,33,12,23,40
PA3417,39,8,53,2,29,3,9,19
PA3418,883,788,937,456,887,314,663,736
PA3419,215,227,258,57,194,63,127,329
PA3420,39,390,147,3,38,24,24,65
PA3421,102,854,1779,986,1780,72,140,46
PA3422,139,459,944,683,1152,93,151,99
PA3423,355,288,701,419,419,198,405,431
PA3424,7,55,45,8,43,0,18,58
PA3425,10,12,69,5,23,6,1,27
PA3426,36,13,77,10,27,18,4,28
PA3427,40,964,1093,61,145,5,67,138
PA3428,1,4,5,0,3,0,0,0
PA3429,25,58,111,34,59,30,11,18
PA3430,268,574,990,340,329,136,219,232
PA3431,64,164,88,77,199,70,143,108
PA3432,46,136,89,75,216,72,184,159
PA3433,20,28,76,6,46,5,26,39
PA3434,59,53,160,91,75,41,82,98
PA3435,395,309,496,322,575,282,508,607
PA3436,42,48,14,19,30,10,34,20
PA3437,299,698,419,217,579,181,497,438
PA3438,927,591,1107,1216,1047,542,660,1082
PA3439,681,881,1596,1410,905,323,1054,924
PA3440,657,228,258,403,258,328,428,510
PA3440a,951,862,570,854,1020,655,679,1130
PA3441,770,824,617,518,373,497,684,560
PA3442,261,233,252,119,146,194,208,250
PA3443,75,5,40,5,97,15,22,124
PA3444,11,50,1,6,49,0,17,23
PA3445,91,5,33,59,45,10,83,58
PA3446,137,319,84,57,107,22,112,292
PA3447,23,13,7,4,9,3,18,2
PA3448,2,16,0,0,3,0,13,2
PA3449,16,32,31,11,0,8,38,0
PA3450,11180,4701,14198,9112,7515,5325,5914,8481
PA3451,396,186,223,275,271,98,246,239
PA3452,594,825,1596,723,747,612,1108,1036
PA3453,216,254,485,169,357,111,324,357
PA3454,163,2344,2356,153,207,76,236,145
PA3455,739,507,594,482,745,222,163,565
PA3456,41,53,38,13,70,30,32,59
PA3457,22,13,17,7,20,3,0,55
PA3458,109,267,363,305,461,319,386,463
PA3459,1712,2167,4037,1976,2723,1321,2685,2891
PA3460,180,323,539,173,380,153,191,285
PA3461,305,269,314,134,247,42,160,223
PA3462,317,257,290,196,324,56,350,368
PA3463,77,125,58,35,48,39,11,129
PA3464,25,132,76,7,88,5,55,23
PA3465,1491,949,1150,784,996,653,1075,1571
PA3466,292,594,485,310,538,167,292,610
PA3467,0,14,52,73,18,20,68,2
PA3468,672,611,771,420,544,226,349,796
PA3469,30,74,51,51,63,37,51,109
PA3470,25,69,63,40,48,25,18,55
PA3471,7051,5377,8620,10347,10796,6245,7570,7242
PA3472,2945,2085,4105,4871,2164,1865,3219,3815
PA3473,180,374,337,66,271,155,177,562
PA3474,14,38,3,7,5,0,0,8
PA3475,452,558,742,469,694,193,403,593
PA3476,3405,3301,4520,1620,2596,1389,2364,4428
PA3477,10647,9700,19137,12352,9556,5898,12649,12671
PA3478,733,885,725,203,250,122,362,894
PA3479,467,404,342,81,68,51,87,404
PA3480,2185,1604,3666,2410,3107,1486,3042,2969
PA3481,98,120,58,83,82,34,69,108
PA3482,3797,4432,5733,3586,5778,1522,4220,6309
PA3483,138,237,200,96,174,25,99,212
PA3484,170,482,483,139,295,181,344,435
PA3485,109,64,148,22,86,26,30,96
PA3486,443,358,468,163,174,196,557,362
PA3487,1072,972,1081,869,613,345,544,714
PA3488,588,609,726,308,236,173,224,366
PA3489,1156,525,1077,433,589,773,620,998
PA3490,27,8,9,3,17,4,0,13
PA3491,191,112,709,109,371,78,202,510
PA3492,62,105,12,65,41,35,42,154
PA3493,18,14,3,1,7,0,11,12
PA3494,17,17,18,10,40,12,23,43
PA3495,333,335,490,241,423,207,285,461
PA3496,575,563,1079,917,482,377,698,614
PA3497,699,547,2002,929,997,368,984,528
PA3498,31,24,80,45,35,24,11,21
PA3499,11,22,3,6,9,8,8,0
PA3500,58,23,69,78,77,19,67,64
PA3501,19,8,48,2,17,9,4,9
PA3502,0,10,30,39,6,45,6,34
PA3504,17,34,27,3,58,15,26,112
PA3505,5,1,10,24,33,22,4,37
PA3506,166,22,100,110,112,41,35,60
PA3507,3,9,1,0,15,0,1,60
PA3508,41,21,87,12,62,6,49,24
PA3509,3,5,1,1,6,1,30,3
PA3510,199,135,54,70,126,47,111,75
PA3511,50,39,0,3,15,12,21,6
PA3512,1,0,10,0,6,13,51,17
PA3513,20,53,41,17,65,10,37,35
PA3514,42,3,145,60,70,32,33,58
PA3515,134,15,283,183,250,161,116,154
PA3516,7,13,62,21,38,43,9,98
PA3517,27,42,15,3,53,1,15,20
PA3518,30,41,2,12,0,8,0,51
PA3519,67,22,8,55,21,28,64,0
PA3520,3,27,56,34,20,9,28,6
PA3521,0,0,0,8,5,0,4,7
PA3522,61,53,98,20,156,12,18,4
PA3523,1,17,78,0,3,13,1,20
PA3524,1438,1074,1691,2242,1863,550,1638,1232
PA3525,11042,7402,8957,14424,18122,3622,7809,12861
PA3526,606,582,1123,457,693,226,590,775
PA3527,962,1011,790,861,1527,627,757,1602
PA3528,493,944,1041,436,1045,231,709,1089
PA3529,13584,9703,14360,13520,11025,8081,12603,14903
PA3530,2801,3424,6612,2584,3407,2461,5118,4701
PA3531,6134,6836,14762,12712,14524,4817,9584,6960
PA3532,1247,1124,2269,2546,2863,920,1974,1902
PA3533,2492,2619,6159,3413,4172,1583,3649,2672
PA3534,542,1533,2980,628,785,724,799,705
PA3535,341,674,582,102,455,172,347,589
PA3536,17,5,6,9,21,18,11,4
PA3537,1148,488,1320,846,1145,708,1264,1064
PA3538,890,1298,920,897,1019,472,1115,1386
PA3539,628,689,835,554,696,387,424,957
PA3540,22,74,47,37,158,4,1,102
PA3541,1,12,31,102,33,27,83,42
PA3542,19,0,1,0,67,19,2,0
PA3543,5,0,0,0,0,0,0,1
PA3544,51,42,28,0,31,0,0,39
PA3545,112,49,91,94,154,81,23,143
PA3546,14,41,0,0,35,1,37,30
PA3547,0,0,0,0,2,0,0,0
PA3548,85,50,104,70,138,11,53,100
PA3549,13,16,31,0,38,0,0,2
PA3550,7,6,45,3,1,1,7,23
PA3551,182,103,107,201,102,77,125,213
PA3552,765,1300,1054,309,817,433,1222,1416
PA3553,1776,1490,2221,1019,1827,1623,2267,2850
PA3554,1319,2235,2225,1144,1607,1803,2513,2613
PA3555,626,1267,1166,223,1118,288,804,992
PA3556,346,744,363,114,339,127,313,754
PA3557,20,25,8,4,11,12,21,44
PA3558,57,132,78,11,64,34,64,137
PA3559,2494,2271,3814,2354,4212,1404,3124,3688
PA3560,134,110,131,66,207,61,84,128
PA3561,0,3,6,3,0,0,2,0
PA3562,65,35,154,63,215,93,140,67
PA3563,43,102,80,24,103,8,65,85
PA3564,20,29,27,3,24,4,16,45
PA3565,3,4,10,0,2,0,3,11
PA3566,33,121,49,39,46,8,46,63
PA3567,146,286,487,236,319,123,114,285
PA3568,451,88,159,189,791,84,154,199
PA3569,1148,224,206,602,1678,164,384,391
PA3570,12307,3419,2927,7454,17352,2100,3548,5315
PA3571,2840,691,582,907,1450,391,424,1164
PA3572,783,1508,798,492,904,277,937,2168
