,Emp_20_2.EDGE-pro.rpkm_0,Emp20_Dihydroxy_2.EDGE-pro.rpkm_0,Emp20_Dihydroxy.EDGE-pro.rpkm_0,Emp20_monohydroxy_2.EDGE-pro.rpkm_0,Emp20_monohydroxy.EDGE-pro.rpkm_0,Emp20_Oleic_acid_2.EDGE-pro.rpkm_0,Emp20_Oleic_acid.EDGE-pro.rpkm_0,Emp_20.EDGE-pro.rpkm_0
PA2231,6772,4856,10781,5507,5641,4204,5272,5263
PA2232,2174,1729,2330,1422,1851,819,1320,2023
PA2233,910,687,788,426,698,508,692,843
PA2234,755,501,947,649,489,300,543,881
PA2235,2340,1175,2150,1056,1590,621,998,1667
PA2236,152,81,93,97,119,58,82,107
PA2237,622,557,675,312,567,149,305,1053
PA2238,306,321,319,154,281,101,228,197
PA2239,402,195,124,217,212,203,221,375
PA2240,333,241,250,236,377,141,186,397
PA2241,22,1,19,4,6,7,12,17
PA2242,878,467,1032,571,678,461,750,713
PA2243,4,4,1,4,8,8,0,0
PA2244,9,6,3,5,30,6,10,32
PA2246,129,50,16,491,433,46,215,44
PA2247,3614,538,940,3122,3876,469,453,648
PA2248,890,180,129,784,1888,59,99,343
PA2249,464,37,62,386,665,89,42,158
PA2250,290,5,34,274,771,34,52,149
PA2251,190,221,121,85,199,55,79,160
PA2252,174,125,48,20,83,41,80,136
PA2253,55,121,182,58,133,52,174,225
PA2254,29,0,0,0,15,2,35,38
PA2255,1,4,9,1,28,11,0,0
PA2256,19,8,136,6,0,0,13,1
PA2257,0,3,0,0,0,0,0,0
PA2258,41,9,100,35,76,14,6,86
PA2259,4827,4604,4434,3438,5877,1915,4022,5892
PA2260,592,908,669,232,1195,248,596,691
PA2261,462,593,590,248,1043,144,472,495
PA2262,1206,1041,1232,1440,2569,932,1167,812
PA2263,766,1063,734,529,1287,344,769,816
PA2264,2547,2636,2171,2058,4946,1049,1407,2449
PA2265,4604,2675,5272,6537,8465,3500,3607,3114
PA2266,1666,1068,1267,1041,3433,461,746,1249
PA2267,39,58,33,8,21,4,45,60
PA2268,0,3,13,11,37,16,3,33
PA2269,11,22,0,0,1,8,3,14
PA2270,61,129,77,28,68,7,21,152
PA2271,36,33,26,37,41,18,22,20
PA2272,497,463,677,398,590,191,636,490
PA2273,20,53,13,2,16,2,16,30
PA2274,22,42,1,16,48,11,1,28
PA2275,16,16,32,28,30,39,8,2
PA2276,73,93,124,68,169,31,58,76
PA2277,7,35,8,29,33,11,39,77
PA2278,1,17,4,6,5,12,1,45
PA2279,49,6,10,18,51,2,32,54
PA2280,63,47,149,37,187,14,65,84
PA2281,45,92,193,19,158,13,154,156
PA2282,43,26,70,22,22,20,36,62
PA2283,6,57,22,22,69,5,0,0
PA2284,7,30,56,17,15,0,3,4
PA2285,130,453,758,428,727,59,34,155
PA2286,1,85,73,25,44,3,8,11
PA2287,4,43,35,18,56,0,0,16
PA2288,3,4,3,1,13,0,9,23
PA2289,225,507,364,244,164,156,536,331
PA2290,1075,1238,1242,440,1407,422,736,1339
PA2291,909,931,1116,1286,2513,1276,2240,1364
PA2292,0,0,0,12,18,13,0,3
PA2293,1,0,0,0,0,2,0,0
PA2294,8,0,0,0,0,0,0,6
PA2295,0,15,15,1,2,10,6,12
PA2296,13,104,64,0,1,24,7,61
PA2297,60,17,32,29,155,20,11,32
PA2298,150,143,465,59,181,56,110,179
PA2299,98,89,82,39,88,11,156,55
PA2300,404,534,1233,151,105,87,225,272
PA2301,119,129,129,32,100,18,84,92
PA2302,802,939,955,467,801,152,485,690
PA2303,1030,1400,1391,607,1603,385,905,1003
PA2304,324,401,353,230,330,82,106,328
PA2305,548,596,843,346,718,225,528,994
PA2306,89,62,227,126,111,58,300,260
PA2307,33,11,123,7,29,25,28,46
PA2308,6,0,0,0,0,0,0,0
PA2309,0,0,0,0,0,0,23,1
PA2310,24,17,0,28,24,2,4,64
PA2311,1,1,0,0,4,2,0,3
PA2312,81,27,45,21,28,47,48,43
PA2312a,30,83,68,27,41,166,40,59
PA2314,0,24,12,1,2,6,10,5
PA2315,0,0,0,0,1,4,0,0
PA2316,72,70,218,50,67,34,23,66
