,PAO1161 EV_1,PAO1161 EV_2,PAO1161 EV_3,PAO1161_PA3027_1,PAO1161_PA3027_2,PAO1161_PA3027_3
D3C65_00395,693.59804784582,740.448278552153,616.459667427687,610.007785482708,503.69190681121,662.073957068978
D3C65_00400,150.882459480636,179.698088758768,150.768560588809,140.375973085824,139.594614173392,148.242798550722
D3C65_00405,19.057559242526,19.0065286187158,15.0890246271285,24.6799220974061,19.8278718871714,23.5489862281094
D3C65_00410,17.7223162382726,14.744458564822,11.0733971053927,17.4043381264945,15.5105126859325,18.5303498188402
D3C65_00415,143.356544365753,156.775063333771,124.971195903718,152.501946370677,119.127133515667,149.980018846238
D3C65_00420,23.1846739829457,24.9964649106747,21.7817371633549,31.2422135221499,24.6249376663258,31.0769408420132
D3C65_00425,32.4099892850602,31.7927387803974,26.2841074149981,40.2296996038643,33.7393626467191,40.3421157514333
D3C65_00430,196.76626453589,220.936496307254,175.835811179038,215.557007451911,179.570162333012,239.350351826686
D3C65_00435,75.1377654211695,76.3716877224763,53.0549575599036,89.8748608171436,73.7149108063389,100.758777139944
D3C65_00440,107.911911889208,109.085955163175,87.0052629709428,113.128197822214,89.0655212996329,108.672780708407
D3C65_00445,74.8949939658507,87.7756048937058,59.1392416837457,78.8901556061594,68.7579428345461,85.8958923894155
D3C65_00450,182.685520127399,178.661369015929,151.255303318716,156.353726119983,172.054759279004,169.861540006035
D3C65_00455,211.453937582677,195.594458148966,188.369436474153,229.965516884501,210.910992090154,248.036453304267
D3C65_00460,218.97985269756,250.195031271823,181.55503825545,211.277252174904,185.166739075359,237.22708257661
D3C65_00465,604.50092374382,692.528788216482,487.59452968471,545.954114836839,439.091420985264,591.813047339209
D3C65_00470,455.075092995096,510.411686724423,387.447213006268,390.741656790724,351.944725997293,485.070511403598
D3C65_00475,94.4380961190144,87.8907959762435,71.4294956139069,96.1518352234203,87.6264015658866,109.637903094804
D3C65_00480,29.3753460935752,30.7560190375583,21.1733087509707,37.2338709099595,23.1858179325795,37.8327975467987
D3C65_00485,61.2997924679978,62.8943310655687,48.6742729907372,101.430200065062,77.2327590443855,94.7750183442764
D3C65_00490,34.2307751999512,37.0915285771303,24.9455649077528,45.0800889178054,40.1354503522583,40.7281647059925
D3C65_00495,284.406759905978,326.566718994299,229.499197151326,221.976640367421,186.445956616467,250.352747031622
D3C65_00500,100.992925412622,121.181018829631,87.1269486534196,100.716907518894,81.3902160529859,109.637903094804
D3C65_00505,25.6123885361337,30.525636872483,22.6335369406928,28.2463848282451,27.023470555903,34.7444059103254
D3C65_00510,65.0627500254392,60.1297450846646,46.9706734360614,65.0522802105039,61.722246358453,74.5074482299199
D3C65_00515,48.1901338807824,53.7942355450927,50.4995582278899,57.2060622026581,60.4430288173452,53.6608046837247
D3C65_00520,153.067402578505,178.661369015929,141.155391673138,89.1615682709758,91.1442498039332,87.6331126849317
D3C65_00525,13.2310443148748,11.5191082537672,10.099911645578,7.13292546167806,6.23618551290069,6.94888118206507
D3C65_00530,23.5488311659239,26.4939489836645,19.1046521488644,17.8323136541952,15.350610493294,21.425716978034
D3C65_00535,13.2310443148748,14.2836942346713,9.6131689156706,10.1287541555828,7.99510963192396,11.0023952049364
D3C65_00540,36.4157182978205,43.8878024468529,33.4635626811318,34.6660177437554,28.3026880970108,37.4467485922396
D3C65_00545,74.0452938722349,80.7489488589078,75.4451231356427,56.7780866749574,54.366745497083,64.0841264568223
D3C65_00550,32.4099892850602,31.4471655327844,32.4900772213171,26.8197997359095,28.9422968675647,28.7606471146582
D3C65_00555,122.599584935996,109.546719493326,114.627912893186,126.680756199402,128.24155849606,132.028742459236
D3C65_00560,18.5720163318884,18.7761464536405,13.1420537074991,15.5497775064582,10.2337403288627,13.3186889322914
D3C65_00565,37.6295755744145,36.8611464120549,42.4683031844182,35.6646273083903,34.0591670319961,31.8490387511316
D3C65_00575,45.034104961638,38.0130572374316,47.2140448010151,18.8309232188301,19.5080675018945,13.8977623641301
D3C65_00580,8.37561520849871,8.29375794271236,11.0733971053927,5.70634036934245,5.43667454970829,5.40468536382839
D3C65_00590,3.39880037446324,3.68611464120549,2.67708501449055,0.855951055401367,2.07872850430023,0.386048954559171
D3C65_00595,8.98254384679571,7.25703819987331,10.830025740439,3.99443825853971,7.675305246647,5.01863640926922
D3C65_00600,2.67048600850683,2.64939489836645,2.19034228458318,2.28253614773698,1.91882631166175,2.50931820463461
D3C65_00620,29.011188910597,35.5940445041405,36.9924474729603,31.3848720313835,33.5794604540806,27.9885492055399
D3C65_00625,26.3407029020901,25.6876114059008,25.4323076376602,32.2408230867848,34.8586779951885,32.2350877056908
D3C65_00630,37.7509613020739,36.0548088342912,37.7225615678214,28.2463848282451,38.2166240405965,34.3583569557662
D3C65_00635,20.7569594297577,18.3153821234898,20.0781376086791,16.9763625987938,19.8278718871714,16.9861540006035
D3C65_00640,15.9015303233816,19.3521018663288,19.8347662437254,11.4126807386849,15.0308061080171,13.3186889322914
D3C65_00645,50.9820056169486,46.4220062626817,54.6368714321025,28.3890433374787,35.6581889583809,32.8141611375295
D3C65_00650,15.5373731404034,13.5925477394453,25.3106219551834,8.13153502631299,8.31491401720092,8.10702804574258
D3C65_00655,16.5084589616786,17.5090445457261,23.8503937654612,10.41407117405,8.15501182456244,8.68610147758134
D3C65_00660,36.6584897531393,43.7726113643152,41.6165034070803,23.2533370050705,28.9422968675647,27.7955247282603
D3C65_00665,24.0343740765615,17.9698088758768,20.8082517035402,31.9555060683177,38.376526233235,42.2723605242292
D3C65_00670,20.6355737020983,22.0014967646953,16.6709384993275,24.5372635881725,26.3838617853491,27.0234268191419
D3C65_00675,19.3003306978448,14.9748407298973,14.723967579698,20.6854838388664,19.5080675018945,22.7768883189911
D3C65_00680,165.327361072105,182.923439069823,131.05548002756,105.709955342069,92.5833695376795,129.326399777322
D3C65_00685,19.3003306978448,16.472324802887,19.8347662437254,16.8337040895602,16.1501214564864,12.9326399777322
D3C65_00690,90.1895956509353,95.4934074237298,115.479712670524,74.8957173476197,97.5403375094724,81.2633049347054
D3C65_00695,14.3235158638094,11.6342993363048,20.929937386017,10.2714126648164,7.83520743928548,9.84424834125885
D3C65_00700,123.570670757271,110.81382140124,158.556444267327,83.1699108831662,68.4381384492691,84.9307700030176
D3C65_00705,11.0461012170055,11.5191082537672,15.8191387219896,7.27558397091162,4.95696797179286,6.36980775022632
D3C65_00710,30.1036604595316,25.4572292408254,49.5260727680751,16.4057285618595,12.6322732184399,13.8977623641301
D3C65_00715,21.6066595233735,20.5040126917056,22.511851258216,19.6868742742315,16.4699258417634,20.8466435461952
D3C65_00720,28.7684174552782,27.5306687265035,30.7864776666413,19.1162402372972,23.6655245104949,18.144300864281
D3C65_00730,3.39880037446324,4.14687897135618,3.16382774439792,2.99582869390479,2.55843508221567,4.24653850015088
D3C65_00740,1.69940018723162,1.49748407298973,2.19034228458318,1.71190211080273,2.23863069693871,3.28141611375295
D3C65_00745,6.67621502126708,6.33550953957194,5.59754139393478,7.41824248014518,7.675305246647,8.30005252302217
D3C65_00750,975.69847892627,1087.6342013207,1046.7402406658,926.424358962747,922.315847138748,938.098959578785
D3C65_00755,153.795716944462,135.234330899227,138.843363706078,152.359287861443,127.122243147591,151.138165709915
D3C65_00760,1019.27595515599,1043.86158995638,1097.48317025865,183.030867346659,198.75842544963,230.664250349104
D3C65_00765,88.2474240083849,93.1895857729763,72.0379240262911,43.3681868070026,42.05427666392,35.3234793421641
D3C65_00770,180.379191301871,147.099012400607,156.852844712651,149.078142149072,128.24155849606,121.412396208859
D3C65_00775,19.4217164255042,17.7394267108014,16.305881451897,19.2588987465308,17.2694368049558,18.5303498188402
D3C65_00780,23.6702168935833,24.190127332911,25.553993320137,18.2602891818958,22.5462091620256,14.8628847505281
D3C65_00785,3.39880037446324,3.22535031105481,3.52888479182845,1.8545606200363,3.51784823804654,4.05351402287129
D3C65_00790,11.1674869446649,14.0533120695959,17.1576812292349,11.8406562663856,15.5105126859325,11.0023952049364
D3C65_00795,56.0802061786435,57.9411145164488,55.9754139393478,57.4913792211252,60.2831266247067,58.1003676611552
