,WT1_S1,WT-plus-HOCl1_S2,WT-plus-OSCN1_S3,mutant1_S4,mutant-plus-HOCl1_S5,mutant-plus-OSCN1_S6,WT2_S7,WT-plus-HOCl2_S8,WT-plus-OSCN2_S9,mutant2_S10,mutant-plus-HOCl2_S11,mutant-plus-OSCN2_S12
PA14_RS16875,"1,278","1,592","1,962","1,682","1,562","1,964","1,131","1,934","1,422","1,324","1,366","1,296"
PA14_RS16880,314,463,439,426,468,537,333,581,385,307,275,273
PA14_RS16885,"1,380","1,648","1,595","1,712","1,434","1,725","1,339","1,364","1,592","1,620","1,220","1,228"
PA14_RS16890,"2,221","2,771","2,080","2,417","2,696","2,779","2,753","3,154","2,621","2,915","2,814","2,855"
PA14_RS16895,245,414,326,358,430,375,160,297,140,147,235,200
PA14_RS16900,"5,559","7,206","6,043","7,149","7,206","9,109","5,219","6,104","6,329","5,442","5,685","6,268"
PA14_RS16905,75,98,78,144,177,115,140,113,41,103,83,91
PA14_RS16910,"1,182","1,369","1,140","1,798","1,600","1,366","1,371","1,264","1,032","1,330","1,247","1,386"
PA14_RS16915,428,684,537,776,727,647,335,424,264,306,326,347
PA14_RS16920,"1,626","2,307","1,754","2,672","2,336","2,370","1,329","1,622","1,350","1,138","1,449","1,496"
PA14_RS16925,"1,715","2,263","2,262","2,394","2,534","2,147","1,779","2,142","1,853","1,750","1,967","2,036"
PA14_RS16930,125,167,178,160,154,118,120,140,129,135,102,110
PA14_RS16935,99,141,116,130,125,71,88,97,74,72,62,60
PA14_RS16940,280,325,283,360,330,160,242,321,189,265,178,136
PA14_RS16945,529,715,550,680,696,351,596,596,420,527,431,308
PA14_RS16950,680,901,601,741,881,410,"1,004","1,151",689,960,773,555
PA14_RS30625,18,25,14,25,21,25,19,19,22,32,26,20
PA14_RS16955,"2,762","3,341","2,662","3,201","3,027","1,524","2,837","2,920","2,802","2,923","2,215","1,629"
PA14_RS16960,"5,065","5,766","4,992","6,402","5,975","3,618","6,031","5,882","5,538","6,107","4,896","3,893"
PA14_RS16965,460,568,498,702,647,696,306,436,348,348,405,394
PA14_RS16970,129,166,120,186,200,556,62,167,59,66,69,92
PA14_RS16975,467,897,732,583,898,866,667,765,590,912,589,578
PA14_RS16980,311,399,370,335,431,578,350,429,353,413,397,389
PA14_RS16985,"4,108","5,183","4,994","5,825","5,918","5,712","4,890","4,466","5,345","5,662","4,686","5,686"
PA14_RS16990,993,"1,089","1,247","1,148","1,284","1,088","1,053","1,306","1,161","1,091","1,370","1,270"
PA14_RS16995,942,"1,142",900,"1,114","1,000","1,184",794,808,748,752,736,819
PA14_RS17000,247,266,233,326,275,343,245,222,263,277,212,258
PA14_RS17005,83,93,78,107,85,90,88,87,65,119,81,71
PA14_RS17010,"2,643","2,964","2,169","3,712","2,568","3,751","1,252","1,534","1,272","1,179","1,104","1,183"
PA14_RS30630,"1,560","1,834","1,531","2,002","1,839","1,940","1,324","1,400","1,285","1,604","1,447","1,494"
PA14_RS17020,279,456,217,347,357,765,238,346,250,242,221,273
PA14_RS17025,19,47,27,45,31,103,58,43,22,45,40,43
PA14_RS17030,"6,425","6,174","7,805","5,955","6,012","2,232","6,158","4,914","10,949","8,750","6,079","5,500"
PA14_RS17035,139,148,174,140,154,94,143,171,141,127,114,101
PA14_RS17040,2,4,9,11,11,17,10,19,9,5,12,5
PA14_RS17045,3,3,4,1,12,10,2,13,5,10,13,12
PA14_RS17050,"1,942","1,942","2,045","2,311","2,247","6,294","2,822","2,579","2,789","3,156","2,726","3,705"
PA14_RS17055,368,388,328,384,347,437,274,305,319,347,274,289
PA14_RS17060,27,19,24,29,19,35,25,30,25,30,23,24
PA14_RS17065,18,43,28,32,35,55,27,31,37,45,37,37
PA14_RS17070,141,162,144,171,190,363,155,188,178,185,174,220
PA14_RS17075,904,"1,132",795,944,981,472,"1,040","1,535","1,108","1,148","1,526","1,102"
PA14_RS17080,379,488,348,422,481,240,496,733,526,545,775,630
PA14_RS17090,163,222,166,211,200,221,155,114,141,189,129,167
PA14_RS17095,151,183,130,192,153,209,113,103,110,110,108,105
PA14_RS17100,141,184,113,154,150,125,144,148,110,136,112,121
PA14_RS17105,107,111,84,120,105,76,106,86,85,108,78,71
PA14_RS17110,123,129,112,179,139,83,92,113,85,110,125,93
PA14_RS17115,194,259,234,284,280,254,213,197,276,231,237,210
PA14_RS30635,12,17,14,9,12,13,7,7,13,13,16,7
PA14_RS17120,949,"1,082","1,002","1,024","1,130","1,318",831,905,"1,152","1,083","1,087","1,026"
PA14_RS17125,735,687,621,549,606,469,666,857,805,829,696,688
PA14_RS17130,368,452,357,627,546,769,249,331,274,249,286,279
PA14_RS17135,189,306,194,305,317,382,172,240,227,221,253,211
PA14_RS17140,61,322,128,68,332,90,42,123,103,65,148,112
PA14_RS17145,57,323,104,71,352,80,38,130,95,43,174,130
PA14_RS17150,182,935,424,230,"1,086",218,146,436,316,175,502,416
PA14_RS17155,109,626,276,144,651,128,102,286,241,87,353,291
PA14_RS17160,110,642,262,115,735,208,87,284,239,118,384,332
PA14_RS17165,85,496,216,86,507,166,73,265,188,98,352,281
PA14_RS17170,187,"1,252",481,245,"1,437",411,204,697,350,198,794,633
PA14_RS17175,86,437,162,88,485,184,69,227,124,94,333,221
PA14_RS17180,118,628,258,138,681,310,116,293,238,122,447,371
PA14_RS17185,214,"1,353",542,303,"1,507",718,191,619,379,253,868,847
PA14_RS17190,29,274,108,45,309,156,31,119,77,34,153,140
PA14_RS17195,416,"2,381","1,037",521,"2,487","1,194",277,955,542,338,"1,157",935
PA14_RS17200,310,"1,899",830,486,"1,982",947,247,766,450,278,"1,072",978
PA14_RS17205,222,"1,580",670,303,"1,606",838,138,605,340,197,601,640
PA14_RS17210,71,366,190,76,396,263,43,191,111,79,243,173
PA14_RS17215,381,"2,418","1,117",545,"2,679","1,497",306,"1,225",798,444,"1,427","1,202"
PA14_RS17220,449,"4,543","1,841",631,"5,181","2,525",404,"2,330","1,434",477,"2,606","3,237"
PA14_RS17225,786,"7,060","3,256",862,"8,292","4,945",770,"4,047","2,281",882,"4,839","6,190"
PA14_RS17230,115,"1,134",361,153,"1,327",661,83,455,181,101,571,671
PA14_RS17235,189,"2,370",746,235,"2,362","1,381",165,938,338,166,"1,105",823
PA14_RS17240,30,371,159,41,436,169,25,156,75,30,244,127
PA14_RS17245,22,127,50,32,166,73,30,63,45,36,88,124
PA14_RS17250,128,607,303,184,698,459,130,341,227,136,460,622
PA14_RS17255,2,16,4,3,19,23,3,13,10,3,11,31
PA14_RS17260,6,60,14,12,96,51,14,20,10,7,12,55
PA14_RS17265,12,59,30,17,71,77,8,31,17,9,25,70
PA14_RS17270,16,76,27,21,104,109,15,33,15,10,35,44
PA14_RS17275,24,171,52,21,187,269,14,62,21,14,50,91
PA14_RS17280,18,172,63,21,206,203,13,66,22,11,54,101
PA14_RS17285,3,80,43,10,94,98,11,35,17,7,23,94
PA14_RS30640,14,130,57,11,151,128,23,74,21,8,104,151
PA14_RS17295,17,235,101,31,333,183,17,135,73,18,186,250
PA14_RS17300,11,205,80,27,280,83,21,84,60,29,126,143
PA14_RS17305,20,144,64,40,170,58,22,73,50,14,83,80
PA14_RS17310,14,118,71,30,194,68,16,55,29,17,76,79
PA14_RS17315,37,270,132,44,333,74,24,88,88,38,157,151
PA14_RS17320,563,729,664,849,759,780,533,586,630,532,653,813
PA14_RS17325,144,211,161,189,199,187,95,147,103,104,81,92
PA14_RS17330,181,269,215,232,249,722,218,265,223,237,239,224
PA14_RS17335,291,343,280,346,317,303,270,243,283,283,266,259
PA14_RS17340,134,169,159,189,194,118,142,139,159,142,162,135
PA14_RS17345,736,772,717,934,888,878,672,723,804,761,778,756
PA14_RS17350,928,"1,106","1,045","1,167","1,140","1,117","1,297","1,281","1,407","1,327","1,348","1,328"
PA14_RS17355,539,590,451,695,619,580,508,543,587,551,625,572
PA14_RS17360,200,338,191,371,326,359,197,226,135,178,211,181
PA14_RS17365,897,"1,098",630,"1,258","1,025","1,802",696,800,710,711,637,693
PA14_RS17370,153,172,233,231,188,221,160,151,209,187,187,190
PA14_RS17375,"1,067",992,881,"1,289",975,715,"1,077",933,855,"1,066",861,899
PA14_RS17380,228,300,241,327,296,751,176,275,186,142,205,179
PA14_RS17385,"1,459","1,802","1,491","1,980","2,058","2,156","1,916","1,509","1,790","1,971","1,720","1,835"
PA14_RS17390,305,324,352,420,397,354,276,294,454,289,319,325
PA14_RS17395,313,366,320,433,446,375,249,284,312,236,287,261
PA14_RS17400,523,942,704,884,887,"1,504",344,625,286,253,324,305
PA14_RS17405,"3,943","3,875","4,178","4,623","3,500","2,298","4,053","2,188","5,202","5,151","3,292","3,469"
PA14_RS17410,386,446,380,444,370,456,368,420,496,535,433,474
PA14_RS17415,75,81,95,104,99,52,87,67,92,111,85,82
PA14_RS17420,51,72,69,77,73,50,43,35,52,65,54,23
PA14_RS17425,346,364,310,379,333,157,251,220,230,255,236,155
PA14_RS17430,118,142,134,151,145,46,95,81,97,94,76,48
PA14_RS17435,174,208,219,274,225,108,173,128,151,179,143,116
PA14_RS17440,52,59,68,67,58,28,47,30,49,41,48,22
PA14_RS17445,83,122,96,128,109,28,78,59,81,77,49,35
PA14_RS17450,17,25,18,23,17,4,6,19,11,21,11,5
PA14_RS17455,206,257,209,298,252,76,196,121,156,155,102,67
PA14_RS17460,528,583,484,683,568,178,429,330,395,449,288,198
PA14_RS17465,319,392,290,392,315,77,213,172,225,250,174,115
PA14_RS17470,774,813,547,"1,035",726,131,543,370,436,515,383,208
PA14_RS30645,304,309,193,415,283,45,241,163,142,183,171,77
PA14_RS17475,643,705,569,780,594,75,445,261,580,433,289,183
PA14_RS17480,"2,694","2,944","2,086","3,428","2,456",365,"2,263","1,292","1,686","1,891","1,413",808
PA14_RS17485,"1,654","1,580","1,289","1,792","1,282",230,"1,508",937,"1,349","1,267",981,571
PA14_RS17490,"3,687","3,646","3,822","4,530","3,615",894,"3,449","2,696","4,007","4,498","3,247","2,545"
PA14_RS17495,165,170,192,217,190,73,199,173,123,178,121,109
PA14_RS17500,48,73,67,77,63,24,54,40,56,55,32,38
PA14_RS17505,21,26,15,33,33,10,32,20,28,23,19,10
PA14_RS17510,793,"1,003",792,"1,281","1,047",697,848,666,577,806,635,621
PA14_RS30650,"1,611","1,688","1,121","2,360","1,696","1,161","1,865","1,382","1,153","1,795","1,494","1,548"
PA14_RS17515,"2,478","2,626","2,253","3,133","2,859","1,829","2,022","1,785","2,258","2,404","2,378","2,451"
PA14_RS17520,"1,198","1,357",874,"1,503","1,361","1,478",855,794,943,"1,069",986,"1,087"
PA14_RS17525,103,118,80,121,109,128,87,75,60,90,75,91
PA14_RS17530,93,120,92,93,96,200,56,69,68,57,53,64
PA14_RS17535,296,462,232,368,389,231,213,239,154,200,249,146
PA14_RS17540,355,418,379,340,371,285,371,435,429,356,310,286
PA14_RS17545,233,234,210,195,182,275,341,352,366,357,244,256
PA14_RS17550,"1,528","1,586","1,415","1,897","1,653","1,067","4,049","3,236","4,756","4,626","2,935","2,491"
PA14_RS30655,4,4,1,5,4,3,9,7,5,14,6,5
PA14_RS17555,474,532,526,656,562,242,633,372,680,650,457,466
PA14_RS17560,308,322,317,337,283,328,187,253,223,220,219,200
PA14_RS17565,108,107,87,93,88,105,106,93,96,127,77,84
PA14_RS17570,293,313,225,308,344,319,248,287,255,248,232,230
PA14_RS17575,118,169,99,139,152,101,112,121,80,85,69,65
PA14_RS17580,548,695,680,656,676,875,579,611,759,706,568,701
PA14_RS17585,741,931,754,"1,000",946,"1,662",826,915,"1,028",999,895,"1,068"
PA14_RS17590,78,109,91,74,102,216,92,96,87,77,84,103
PA14_RS17595,"1,019",965,788,"1,201",925,"1,114","1,002",800,992,"1,148",823,985
PA14_RS17600,100,140,153,165,168,119,77,62,63,59,41,50
PA14_RS17605,77,118,76,98,102,134,40,63,45,51,59,64
PA14_RS17610,145,177,126,157,125,144,121,113,116,126,93,98
PA14_RS17615,138,143,112,166,133,150,122,135,141,133,125,118
PA14_RS17620,27,19,10,34,15,11,20,10,20,31,16,9
PA14_RS17625,62,67,43,96,44,31,60,40,59,85,33,32
PA14_RS17630,38,23,19,43,28,22,38,24,30,39,29,24
PA14_RS17635,7,4,1,2,6,3,6,5,5,6,5,2
PA14_RS17640,319,422,293,454,428,405,458,425,381,516,422,382
PA14_RS17645,274,348,228,314,284,282,352,323,381,391,278,301
PA14_RS17650,95,91,100,112,100,75,137,110,196,160,144,108
PA14_RS17655,102,123,80,95,139,65,164,122,161,201,115,129
PA14_RS17660,29,78,34,48,77,141,37,69,33,34,47,44
PA14_RS17665,41,92,45,52,80,147,54,86,54,44,59,99
PA14_RS17670,377,430,378,450,413,473,310,308,509,386,353,415
PA14_RS17675,"1,754","1,962","1,962","1,969","1,893","1,704","1,486","1,534","2,289","1,763","1,634","1,966"
PA14_RS17680,"2,341","2,766","2,495","2,972","2,895","3,088","2,539","2,395","2,777","2,725","2,754","3,095"
PA14_RS17685,340,380,298,357,328,257,377,423,442,399,430,362
PA14_RS17690,434,477,332,454,460,325,569,547,522,553,589,540
PA14_RS17695,40,57,37,63,67,41,25,39,35,40,36,33
PA14_RS17700,449,490,420,534,515,373,368,402,447,415,411,404
PA14_RS17705,890,"1,101",783,868,"1,002",780,721,835,780,735,740,682
PA14_RS17710,"1,318","1,895","1,121","1,235","1,666",958,"2,477","3,031","2,091","2,421","2,011","1,314"
PA14_RS17715,485,630,501,685,592,513,544,548,487,531,487,537
PA14_RS17720,326,330,293,387,388,299,387,344,390,408,363,389
PA14_RS17725,"1,077","1,288","1,137","1,479","1,314","1,499","1,111","1,140","1,272","1,115","1,005","1,150"
PA14_RS17730,358,506,404,535,427,394,212,227,207,210,207,172
PA14_RS17735,106,130,109,132,133,93,60,90,62,74,84,75
PA14_RS17740,878,"1,169","1,124","1,350","1,141",824,894,868,817,878,913,765
PA14_RS17745,"1,004","1,375","1,265","1,536","1,460","1,503",938,"1,213",948,"1,023","1,066","1,131"
PA14_RS17750,"3,040","3,767","3,797","4,360","4,275","4,249","3,523","3,943","3,735","3,285","3,375","3,318"
PA14_RS17755,370,443,275,486,402,395,315,338,244,277,251,214
PA14_RS17760,266,240,225,248,237,378,229,248,244,277,238,239
PA14_RS17765,44,33,45,51,24,125,37,34,35,42,27,28
PA14_RS17770,206,215,255,262,172,212,224,208,289,265,188,229
PA14_RS17775,579,653,868,816,833,425,"1,017",630,781,"1,183",897,875
PA14_RS17780,99,108,130,114,97,106,114,104,137,106,129,117
PA14_RS17785,342,567,510,698,659,530,390,316,391,414,394,365
PA14_RS17790,"1,688","2,304","1,869","2,466","2,520","1,217","1,239","1,196","1,533","1,394","1,579","1,410"
PA14_RS17795,852,"1,014",675,"1,210",973,245,610,559,579,564,650,475
PA14_RS17800,102,127,106,133,112,154,75,154,160,138,136,138
PA14_RS17805,45,64,47,61,71,104,58,55,45,44,54,60
PA14_RS17810,755,697,910,"1,236",871,"2,434","1,138",848,"2,083","2,459","1,329","3,505"
PA14_RS17815,"2,960","3,989","2,107","4,325","4,139","38,114","2,732","5,810","5,449","5,765","5,229","18,579"
PA14_RS17820,82,123,99,126,126,148,73,113,82,81,85,88
PA14_RS17825,78,91,78,88,61,121,61,62,59,54,40,33
PA14_RS17830,64,86,74,88,80,113,37,72,60,54,28,44
PA14_RS17835,"11,149","13,107","14,681","10,703","10,853","13,500","10,625","12,946","11,934","10,215","11,315","13,172"
PA14_RS17840,24,66,40,36,65,68,29,123,24,26,44,24
PA14_RS17845,"1,023","1,307",857,"1,269","1,174","1,711",601,920,863,688,776,815
PA14_RS17850,"22,844","28,344","23,292","36,000","30,164","20,819","26,823","21,779","28,077","25,272","25,019","23,236"
PA14_RS17855,"15,986","19,541","16,043","25,191","19,976","15,046","15,042","13,983","15,439","14,293","14,385","13,214"
PA14_RS17860,"13,490","15,969","14,369","20,085","16,394","9,547","16,292","13,023","17,309","16,430","13,354","11,632"
PA14_RS17865,"5,793","7,885","6,564","8,833","8,042","4,817","6,900","6,722","8,267","7,240","7,225","6,214"
PA14_RS17870,"9,457","14,012","10,947","15,255","14,041","10,790","10,847","11,346","12,504","10,327","11,640","10,786"
PA14_RS17875,"5,851","7,589","5,756","8,187","7,755","6,062","5,841","5,528","6,092","5,819","6,119","6,002"
PA14_RS17880,"4,221","6,150","3,901","5,967","5,832","6,312","4,075","3,939","3,662","3,581","3,604","3,977"
PA14_RS17885,"1,159","1,821","1,002","1,937","1,609","2,053",789,"1,207",678,726,748,762
PA14_RS17890,"1,839","2,517","1,856","2,756","2,508","3,130","1,302","1,925","1,338","1,450","1,151","1,303"
PA14_RS17895,"7,085","10,198","7,073","10,838","9,943","9,554","9,579","8,489","7,039","7,907","7,060","6,380"
PA14_RS17900,"4,994","6,137","5,778","5,149","5,098","4,847","3,958","4,362","4,843","3,903","3,651","3,546"
PA14_RS17905,20,34,20,27,30,37,14,38,17,21,24,16
PA14_RS17910,163,195,168,191,168,221,137,140,188,187,165,178
PA14_RS17915,19,28,25,27,39,46,9,27,14,18,19,14
PA14_RS17920,877,"1,026",871,"1,015",882,"1,230",807,752,"1,020",961,829,886
PA14_RS17925,301,305,320,348,309,271,201,227,175,192,153,162
PA14_RS17930,642,701,504,724,665,"1,265",526,498,381,546,455,506
PA14_RS17935,812,915,818,960,930,735,786,716,859,920,754,790
PA14_RS17940,"1,479","1,667","1,459","1,581","1,563","2,003","1,485","1,463","1,705","1,768","1,500","1,760"
PA14_RS17945,596,531,565,653,506,878,704,603,579,755,549,605
PA14_RS17950,110,155,122,170,148,541,125,111,146,163,124,284
PA14_RS30660,7,11,9,9,9,10,12,8,15,11,11,14
PA14_RS17955,18,21,6,12,17,20,11,8,10,12,9,14
PA14_RS17960,5,8,5,9,0,10,5,4,3,3,6,2
PA14_RS17965,42,54,28,52,54,49,33,40,38,59,31,47
PA14_RS30665,203,218,257,262,326,180,278,237,163,248,145,261
PA14_RS17970,194,202,280,258,207,435,121,121,148,90,60,291
PA14_RS17975,268,286,506,334,299,634,226,172,249,165,109,510
PA14_RS17980,575,622,509,697,687,736,577,461,360,541,486,515
PA14_RS17985,440,540,423,575,527,"1,173",438,500,533,515,461,489
PA14_RS17990,"5,818","6,186","8,159","7,018","5,882","5,232","8,430","6,443","9,714","8,720","6,591","8,673"
PA14_RS17995,"8,242","7,861","6,287","10,749","8,639","4,537","10,192","6,555","7,831","10,038","7,935","8,360"
PA14_RS18000,"1,790","3,674","2,778","2,113","2,937","1,885","1,593","2,611","1,790","1,530","1,325","1,192"
PA14_RS18005,70,63,55,60,70,111,63,52,56,42,47,58
PA14_RS18010,"3,354","3,469","3,463","5,958","4,375","2,283","3,771","1,819","4,135","4,666","3,582","3,355"
PA14_RS18015,"2,185","2,232","2,440","4,054","2,976",952,"2,573","1,092","3,264","3,717","2,894","2,267"
PA14_RS18020,854,960,"1,141","1,886","1,311",392,"1,108",467,"1,510","1,642","1,325",997
PA14_RS18025,"5,785","5,775","5,639","12,666","8,756","1,461","6,009","2,256","6,572","9,331","7,024","4,142"
PA14_RS18030,755,"1,440",918,"1,251","1,612","2,047","1,185","1,504",975,929,"1,213",963
PA14_RS18035,524,985,745,916,"1,083","1,267","1,026","1,094",992,847,"1,034","1,007"
PA14_RS18040,271,465,379,451,539,592,497,579,530,415,563,576
PA14_RS18045,"1,790","2,773","2,317","2,485","3,323","2,789","2,960","2,596","3,120","2,528","3,010","2,752"
PA14_RS30670,14,14,12,15,16,8,11,24,8,8,7,13
PA14_RS18050,"2,607","3,027","3,472","4,063","3,867","2,013","3,258","2,739","4,470","3,874","3,936","3,948"
PA14_RS18055,"1,204","1,296","1,314","1,485","1,412",589,"1,036",964,"1,374","1,296","1,274","1,436"
PA14_RS18060,678,870,971,"1,067","1,090",532,672,602,913,861,768,687
PA14_RS18065,153,177,222,225,216,130,177,179,223,250,220,236
PA14_RS18070,143,159,134,185,181,109,124,110,160,157,159,139
PA14_RS18075,"9,395","9,050","8,199","13,352","10,340","4,534","10,198","5,354","8,958","9,591","8,189","8,548"
PA14_RS18080,"1,609","1,630","1,501","1,474","1,467","1,292","1,757","1,862","1,660","1,887","1,466","1,317"
PA14_RS18085,"3,135","3,768","3,239","4,146","3,924","2,444","2,478","2,442","2,893","2,687","2,513","2,278"
PA14_RS18090,470,655,407,676,594,622,238,312,243,179,256,272
PA14_RS18095,364,321,246,402,329,203,"1,019",831,659,"1,074",736,624
PA14_RS18100,66,87,98,97,116,"1,289",113,177,180,161,183,369
PA14_RS30675,70,80,74,93,93,"1,507",95,170,265,201,176,417
PA14_RS18110,103,133,115,119,129,296,122,181,145,178,138,172
PA14_RS18115,222,211,150,262,218,401,482,461,363,480,252,319
PA14_RS18120,94,103,96,150,123,111,224,152,139,193,143,159
PA14_RS18125,155,196,123,222,192,159,128,111,154,148,121,128
PA14_RS18130,236,285,223,268,243,360,243,328,233,297,222,187
PA14_RS18135,613,760,556,741,740,531,361,384,431,394,370,386
PA14_RS18140,"2,985","3,392","3,056","3,560","3,135","2,811","2,490","2,497","2,261","2,504","2,206","2,642"
PA14_RS18145,"1,681","2,169","1,775","2,122","2,200","2,456","1,392","1,512","1,479","1,383","1,331","1,533"
PA14_RS18150,144,210,201,259,187,127,150,172,146,131,134,135
PA14_RS30680,156,229,230,238,225,81,84,181,124,93,100,74
PA14_RS30685,"4,003","6,012","4,712","5,040","5,442","1,626","3,232","4,701","2,691","3,239","3,481","2,208"
PA14_RS30690,70,112,121,118,137,73,68,92,95,68,76,65
PA14_RS18155,633,722,657,868,772,626,524,615,642,651,720,676
PA14_RS18160,"1,899","2,467","2,151","2,610","2,520","2,501","1,777","2,289","2,413","2,154","2,412","2,492"
PA14_RS18165,"3,137","4,047","4,166","4,218","4,038","5,097","2,931","3,451","3,904","3,587","3,691","3,784"
PA14_RS18170,"3,080","4,097","4,223","4,384","4,137","2,920","3,184","3,783","4,382","4,439","4,585","4,218"
PA14_RS18175,804,"1,167","1,035","1,211","1,422","1,039","1,221","1,224","1,196","1,304","1,386","1,306"
PA14_RS18180,103,111,97,124,138,104,155,116,93,142,94,67
PA14_RS18185,"1,070","1,110",884,"1,192","1,259",885,"1,419","1,210","1,032","1,433",995,935
PA14_RS18190,"1,614","1,746","1,282","1,620","1,725",936,"1,972","1,738","1,597","1,846","1,361","1,362"
PA14_RS18195,475,519,396,476,532,306,471,477,486,516,349,364
PA14_RS18200,575,775,532,790,757,479,559,574,552,516,493,417
PA14_RS18205,"1,409","1,633","1,439","1,731","1,631","1,843","1,458","1,494","1,485","1,551","1,383","1,462"
PA14_RS30695,208,298,209,293,335,340,303,271,150,279,236,227
PA14_RS18210,176,181,141,173,195,259,210,210,152,232,139,116
PA14_RS18215,487,596,326,610,502,"1,364",485,455,265,438,303,449
PA14_RS18220,426,495,379,546,473,"2,153",582,539,383,589,407,534
PA14_RS18225,211,265,215,295,234,662,278,231,234,269,260,320
PA14_RS18230,473,512,403,545,491,923,490,465,465,529,392,645
PA14_RS18235,188,189,169,224,217,243,212,174,127,195,146,217
PA14_RS18240,647,691,460,967,736,535,757,551,530,719,528,648
PA14_RS18245,74,86,85,115,125,56,73,76,53,74,57,41
PA14_RS18250,396,524,497,634,522,296,359,249,329,336,276,255
PA14_RS18255,"1,243","1,555","1,441","1,694","1,594","1,279","1,317","1,269","1,157","1,412","1,293","1,321"
PA14_RS18260,"2,114","2,330","1,957","2,701","2,332","1,991","2,004","2,038","2,061","2,212","2,325","2,171"
PA14_RS18265,242,271,275,312,310,217,229,224,260,238,249,244
PA14_RS18270,269,405,190,319,345,215,522,597,323,454,323,204
PA14_RS18275,192,237,193,240,270,219,112,149,145,141,183,171
PA14_RS18280,"2,881","3,354","2,952","3,791","3,805","4,225","2,430","2,642","2,244","2,415","2,723","2,849"
PA14_RS18285,280,369,258,494,339,429,207,182,149,193,163,180
PA14_RS18290,44,67,41,54,65,111,40,55,68,46,51,47
PA14_RS18295,66,75,50,79,66,323,59,54,51,50,38,42
PA14_RS18300,48,58,27,67,67,78,28,39,21,36,31,37
PA14_RS18305,116,104,78,124,115,113,97,97,78,96,76,74
PA14_RS18310,31,28,14,32,31,37,21,10,21,29,15,16
PA14_RS18315,41,62,31,53,47,45,46,49,35,42,35,28
PA14_RS18320,6,11,4,9,9,10,4,3,6,9,9,7
PA14_RS18325,92,103,100,113,101,153,68,58,58,60,54,61
PA14_RS18330,47,93,59,61,48,91,42,47,45,52,37,40
PA14_RS18335,305,320,281,426,276,131,239,151,194,193,131,128
PA14_RS18340,"3,416","7,395","6,014","4,694","7,334","7,655","3,577","4,670","3,741","4,713","3,371","3,390"
PA14_RS18345,56,59,57,68,73,61,68,47,65,68,70,64
PA14_RS18350,33,59,44,67,62,45,59,40,45,52,50,32
PA14_RS18355,113,117,102,166,124,112,106,136,86,87,70,65
PA14_RS18360,221,264,185,286,241,185,265,252,174,216,140,172
PA14_RS18365,89,108,84,149,124,87,117,87,87,105,60,80
PA14_RS18370,104,150,93,156,153,95,100,118,94,84,94,87
PA14_RS18375,56,52,45,44,49,45,42,49,43,40,28,28
PA14_RS18380,28,40,30,38,41,26,44,37,27,30,28,27
PA14_RS18385,204,226,216,233,218,234,172,173,223,148,168,199
PA14_RS18390,300,333,373,384,344,189,259,266,546,408,438,361
PA14_RS18395,478,598,569,602,635,278,413,417,679,549,646,500
PA14_RS18400,310,416,407,495,502,211,305,295,477,347,456,391
PA14_RS18405,334,448,493,540,591,280,419,389,565,463,568,533
PA14_RS18410,834,"1,148","1,100","1,137","1,224",923,882,929,"1,247",988,"1,317","1,248"
PA14_RS18415,231,309,279,352,379,406,240,327,320,284,386,375
PA14_RS18420,85,109,109,127,119,135,100,100,115,97,94,128
PA14_RS18425,307,465,380,398,432,584,297,382,375,366,380,421
PA14_RS18430,105,156,100,127,119,214,76,135,93,83,91,99
PA14_RS18435,56,81,59,87,97,224,52,130,61,31,49,51
PA14_RS18440,828,854,681,936,818,813,838,803,781,838,635,647
PA14_RS18445,191,215,153,225,231,137,185,178,156,178,175,164
PA14_RS18450,181,203,196,259,198,162,98,90,104,124,98,137
PA14_RS18455,91,124,92,106,109,123,87,152,124,88,113,89
PA14_RS18460,183,208,168,198,170,255,138,207,210,174,168,161
PA14_RS18465,58,47,62,72,69,113,49,77,76,65,43,78
PA14_RS18470,167,191,154,251,219,499,169,180,183,247,167,326
PA14_RS18475,51,123,61,53,123,48,56,249,56,54,140,35
PA14_RS18480,362,384,412,383,374,277,394,393,563,543,442,337
PA14_RS18485,"2,120","2,299","2,442","2,374","2,114","1,511","2,077","2,109","2,158","2,302","2,086","1,934"
PA14_RS18490,"1,249","1,278","1,316","1,466","1,290","1,070","1,371","1,259","1,457","1,525","1,270","1,179"
PA14_RS18495,831,947,"1,138","1,126","1,158",765,721,790,946,796,805,783
PA14_RS18500,744,929,747,"1,036","1,013",370,619,749,690,781,776,497
PA14_RS18505,725,881,726,"1,046",976,357,595,693,621,719,680,504
PA14_RS18510,"1,626","1,701","1,566","2,063","1,920",867,"1,368","1,391","1,508","1,606","1,411","1,256"
PA14_RS18515,"4,464","5,176","4,523","5,756","5,409","3,210","4,182","4,457","4,422","4,795","4,519","3,683"
PA14_RS18520,"2,999","3,788","3,743","4,111","3,832","2,234","2,137","2,718","2,953","2,835","3,149","2,501"
PA14_RS18525,"2,118","2,501","2,602","2,518","2,441","1,568","1,921","2,185","2,755","2,467","2,494","2,231"
PA14_RS18530,"3,137","3,690","4,692","4,575","4,510","3,250","3,857","4,044","4,735","4,295","4,537","4,309"
PA14_RS18535,"2,285","2,521","3,174","2,985","3,079","3,334","2,404","2,665","3,086","2,846","2,809","2,996"
