,WT1_S1,WT-plus-HOCl1_S2,WT-plus-OSCN1_S3,mutant1_S4,mutant-plus-HOCl1_S5,mutant-plus-OSCN1_S6,WT2_S7,WT-plus-HOCl2_S8,WT-plus-OSCN2_S9,mutant2_S10,mutant-plus-HOCl2_S11,mutant-plus-OSCN2_S12
PA14_RS00955,13,16,15,29,18,23,30,63,21,18,21,15
PA14_RS00960,33,38,21,28,34,44,24,29,18,29,28,19
PA14_RS00965,119,536,347,159,421,453,181,599,175,290,181,110
PA14_RS29970,31,48,31,64,42,64,37,34,18,33,20,23
PA14_RS00970,20,130,62,41,108,228,31,172,45,34,82,37
PA14_RS00975,24,101,35,32,85,221,24,265,46,29,181,47
PA14_RS00980,16,82,32,27,89,83,23,104,27,30,71,19
PA14_RS00985,643,619,312,657,443,575,745,684,747,780,628,648
PA14_RS00990,225,233,121,252,201,201,305,262,208,294,268,289
PA14_RS00995,691,752,422,786,735,774,"1,179","1,228",896,"1,190","1,040","1,094"
PA14_RS01000,9,157,31,9,195,57,8,102,8,13,38,7
PA14_RS01005,21,374,99,36,373,190,33,316,61,39,173,33
PA14_RS01010,24,384,124,35,467,74,50,294,64,45,134,46
PA14_RS01015,"2,344","2,313","2,079","2,750","2,764","3,225","2,322","2,056","1,554","2,076","2,133","2,804"
PA14_RS01020,921,"2,331","1,768","1,189","2,399","8,475","1,566","3,077","1,624","2,360","1,426","1,902"
PA14_RS01025,153,348,358,213,396,786,227,"1,559",410,287,291,276
PA14_RS01030,25,44,39,34,48,120,26,247,43,27,47,25
PA14_RS01035,11,19,24,11,18,48,7,91,13,14,8,19
PA14_RS01040,54,106,66,65,92,222,67,323,74,56,83,66
PA14_RS01045,55,81,43,40,66,144,43,158,52,39,62,44
PA14_RS01050,20,47,37,25,41,81,26,87,30,25,29,24
PA14_RS01055,37,73,38,38,73,139,55,153,40,47,69,43
PA14_RS01060,60,94,87,86,81,115,100,108,83,111,91,77
PA14_RS01065,101,125,107,106,111,125,114,155,93,98,76,72
PA14_RS01070,465,515,358,579,450,316,401,305,392,412,275,274
PA14_RS01075,392,402,378,472,400,354,422,308,410,424,343,339
PA14_RS29975,73,80,70,91,89,82,93,67,45,103,67,85
PA14_RS01080,47,47,39,63,42,54,41,77,57,40,37,47
PA14_RS01085,43,44,36,52,35,42,48,51,34,54,34,39
PA14_RS01090,63,74,42,78,65,42,75,60,48,63,49,26
PA14_RS01095,34,24,38,36,41,27,21,25,34,24,24,22
PA14_RS01100,220,314,161,262,241,286,150,224,334,341,397,266
PA14_RS01105,104,98,92,150,145,98,110,72,85,124,76,92
PA14_RS01110,504,596,489,598,494,544,316,326,420,311,263,318
PA14_RS01115,86,97,81,110,83,135,84,73,101,84,70,66
PA14_RS01120,52,48,35,67,55,61,47,40,48,56,35,40
PA14_RS01125,122,124,107,142,107,123,139,100,114,127,97,108
PA14_RS01130,228,216,246,235,182,189,261,169,260,265,181,253
PA14_RS01135,311,292,276,310,271,286,368,244,421,393,263,359
PA14_RS01140,317,293,246,327,317,213,361,242,276,320,220,275
PA14_RS01145,501,480,471,587,458,279,461,409,422,458,327,467
PA14_RS01150,406,455,369,522,424,391,314,238,361,363,249,291
PA14_RS01155,64,83,70,128,109,75,66,48,33,58,39,43
PA14_RS01160,69,47,36,44,39,51,39,37,21,36,28,16
PA14_RS01165,78,116,40,108,86,137,73,86,67,75,52,31
PA14_RS01170,26,27,20,30,27,30,27,18,22,30,19,14
PA14_RS01175,23,23,19,18,23,34,22,19,27,35,13,25
PA14_RS01180,61,103,81,112,115,147,76,56,52,62,46,60
