Gene,D39_CEP_RR07_A,D39_CEP_RR07_B,D39_CEP_RR07_C,D39_CEP_RR07_D,D39_A,D39_B,D39_C,D39_D
SPD_RS07315,350,690,4340,5750,90,720,3000,2210
SPD_RS05515,1610,6130,27340,24640,800,5100,12600,9050
SPD_RS00645,510,1270,2830,7020,180,1280,2780,1870
SPD_RS04965,900,4020,8400,10970,330,3790,5440,3460
SPD_RS01460,260,1140,1890,2410,90,900,1610,920
SPD_RS05105,40,50,1010,930,0,90,640,370
mnmA,1340,15410,69910,73520,1010,14680,37790,19240
SPD_RS05195,530,1900,14910,15400,100,1380,12340,5790
coaC,780,4090,3610,1210,440,2440,2450,560
SPD_RS05915,10,30,470,680,0,40,520,100
SPD_RS05835,1850,6950,3690,1280,810,5640,2580,500
pta,2100,6560,22590,19740,580,5170,21260,8530
SPD_RS00660,0,50,840,1240,0,30,610,360
ilvA,240,1120,9280,15920,140,1150,6660,4040
SPD_RS04375,550,3280,8610,4000,400,1770,4720,1490
cbpC,1760,5550,39460,28390,620,7500,25660,7900
nrdE,7690,33640,68300,30390,3500,30970,30960,12220
SPD_RS03405,50,120,490,1150,20,160,430,260
lpdA,2220,10220,52690,30530,1430,6760,19240,15610
SPD_RS02815,810,6370,6810,10210,320,3750,6880,5090
SPD_RS02480,1330,1190,10100,79840,160,1470,56330,5640
SPD_RS01455,2430,7520,10680,10630,630,8830,9720,4430
SPD_RS04310,140,660,70,90,60,580,110,10
SPD_RS06285,960,1930,4220,15350,320,2320,7760,2800
SPD_RS07200,90,610,2640,3740,30,420,2530,1060
SPD_RS07720,140,670,2560,7700,70,630,2920,1650
coaB,540,3330,4400,1460,400,1590,2600,640
SPD_RS02010,530,3130,6640,5200,280,2480,4990,1310
SPD_RS07775,6850,71340,27380,42390,2930,61270,21070,12350
SPD_RS03015,2550,7190,2710,2420,970,7760,1850,490
SPD_RS10515,200,340,470,1130,20,840,370,270
SPD_RS05365,460,3140,10580,16650,240,2480,8320,4750
SPD_RS05520,1140,5000,23090,26430,510,3270,16140,10280
mutS,1750,10490,53510,94590,970,10910,36830,25380
SPD_RS08685,160,630,1690,2430,90,770,830,480
SPD_RS04175,40,460,630,1400,40,200,600,480
SPD_RS03435,1800,5670,31370,12850,650,5490,17740,8050
SPD_RS03230,2490,12870,31500,42730,860,8510,29320,17920
SPD_RS04970,250,1140,3170,3330,110,920,2140,1300
SPD_RS07305,0,10,10,0,0,10,0,0
SPD_RS08565,0,10,40,10,0,0,0,30
SPD_RS01590,80,170,340,270,40,250,130,20
SPD_RS04470,850,3110,20220,20080,320,2370,16950,7000
SPD_RS10470,1040,3880,6270,10550,300,5310,6220,1940
SPD_RS05360,1060,5530,34270,41890,580,3940,26810,13010
SPD_RS08770,850,5940,15480,17280,650,3140,8020,7230
SPD_RS10175,210,1410,15460,31720,110,1240,12690,9610
SPD_RS06700,120,460,1100,1430,20,450,1290,490
gtfA,110,200,690,1120,30,370,590,260
SPD_RS04460,50,120,370,250,0,160,370,100
thiM,140,1200,4630,6650,80,1030,3140,2210
SPD_RS07220,3810,10230,10660,47890,1330,9650,30750,9670
SPD_RS07555,70,310,5220,5210,40,430,3830,1440
SPD_RS04280,1380,4880,6210,2270,790,3410,3820,740
SPD_RS10510,60,250,670,1490,20,380,610,270
SPD_RS10180,320,2660,26050,57100,190,2800,22440,16350
brnQ,4700,41490,41040,9200,2780,30670,22320,9020
obgE,1470,10050,63920,67930,750,6630,49780,25100
recX,280,1780,4790,3510,180,1360,2990,1320
SPD_RS01175,2080,9220,56350,39770,1110,7750,40120,13950
SPD_RS10475,820,3860,8130,11290,260,4970,7110,2570
SPD_RS08415,90,290,650,480,20,430,410,160
