,covR_Ctrl1,covR_Ctrl2,covR_Ctrl3,covR_Ctrl4
CHF17_RS06665,4857,5273,3705,3545
CHF17_RS06670,1943,1508,1469,1330
CHF17_RS06675,5825,5044,4833,6355
CHF17_RS06680,8030,6795,5959,7185
CHF17_RS06685,9305,7721,6469,7786
CHF17_RS06690,3169,2140,2100,2658
CHF17_RS06695,1096,998,815,1001
CHF17_RS06700,6995,9475,5181,8414
CHF17_RS06705,10037,8579,6702,12301
CHF17_RS06710,902,407,917,1415
CHF17_RS06715,219,83,248,334
CHF17_RS06720,1285,1304,1259,1516
CHF17_RS06725,19919,26752,23906,31545
CHF17_RS06730,2395,1767,1464,2021
CHF17_RS06735,1272,986,807,1024
CHF17_RS06740,324,277,198,328
CHF17_RS06745,101,102,65,141
CHF17_RS06750,52,53,34,57
CHF17_RS06755,983,1129,827,1106
CHF17_RS06760,897,795,680,774
CHF17_RS06765,773,816,511,1057
CHF17_RS06770,16143,11014,11729,12678
CHF17_RS06775,1450,644,910,587
CHF17_RS06780,74,116,76,127
CHF17_RS06785,446,482,440,461
CHF17_RS06790,152,189,155,210
CHF17_RS06795,1185,1324,812,1102
CHF17_RS06800,6703,7751,6007,10192
CHF17_RS06805,2714,3609,3102,4683
CHF17_RS06810,6422,6779,8412,9217
CHF17_RS06815,130427,74893,74519,126541
CHF17_RS06820,192662,101051,108342,179743
CHF17_RS06825,4737,5135,4245,3112
CHF17_RS06830,835,936,1029,1132
CHF17_RS06835,877,1004,1228,1434
CHF17_RS06840,165,158,198,255
CHF17_RS06845,282,238,273,409
CHF17_RS06850,41,33,31,48
CHF17_RS06855,778,524,542,698
CHF17_RS06860,9878,8649,8882,10834
CHF17_RS06865,17522,17060,18311,20092
CHF17_RS06870,920,1135,1127,1301
CHF17_RS06875,6303,6033,6555,7714
CHF17_RS06880,5255,5298,4939,6208
CHF17_RS06885,6393,6234,4710,5442
CHF17_RS06890,10170,8874,7381,7688
CHF17_RS06895,8762,9797,10280,11202
CHF17_RS06900,22145,29972,35209,33436
CHF17_RS06905,46813,60290,56712,57447
CHF17_RS06910,5236,7067,4639,6105
CHF17_RS06915,776,803,597,976
CHF17_RS06920,6850,6694,6853,8033
CHF17_RS06925,3471,4155,4526,5497
CHF17_RS06930,3741,3572,4371,4862
CHF17_RS06935,4072,3108,3913,4320
CHF17_RS06940,5693,5097,4270,5364
CHF17_RS06945,4484,3594,3501,3291
CHF17_RS06950,3452,2502,2138,2079
CHF17_RS06955,1705,1473,2003,2343
CHF17_RS06960,1792,1464,2113,2319
CHF17_RS06965,516,327,474,604
CHF17_RS06970,22367,13995,18678,18758
CHF17_RS06975,3003,2908,2467,2918
CHF17_RS06980,9446,8024,8730,6840
CHF17_RS06985,18766,8243,16202,17849
CHF17_RS06990,10315,9427,9076,11174
CHF17_RS06995,4680,6338,5395,6269
CHF17_RS07000,1083,1552,1515,1305
CHF17_RS07005,4365,6588,5157,6101
CHF17_RS07010,2627,3876,3206,3413
CHF17_RS07015,16258,12855,13171,12032
CHF17_RS07020,6607,5388,5555,4637
CHF17_RS07025,1512,1363,1143,987
CHF17_RS07030,703,1053,619,959
CHF17_RS07035,5270,6228,6510,9122
CHF17_RS07040,2107,2921,2863,3523
CHF17_RS07045,1672,1695,1674,2120
CHF17_RS07050,4002,5632,2869,3286
CHF17_RS07055,7612,22682,5767,5331
CHF17_RS07060,11406,10726,9875,10729
CHF17_RS07065,10609,10276,10435,10764
CHF17_RS07070,1365,1450,1474,2067
CHF17_RS07075,2260,1853,2047,2333
CHF17_RS07080,1014,721,696,915
CHF17_RS07085,47,27,34,33
CHF17_RS07090,71,68,47,71
CHF17_RS07095,6843,6473,4594,5961
CHF17_RS07100,48120,27454,27728,39146
CHF17_RS07105,60811,41234,40305,60200
CHF17_RS07110,10484,12491,11333,16375
CHF17_RS07115,1528,2405,2628,4470
CHF17_RS07120,6644,7384,8488,10956
CHF17_RS07125,4959,6102,4881,6991
CHF17_RS07130,2659,3597,3710,3937
CHF17_RS07135,1632,1750,1589,1856
CHF17_RS07140,7250,5978,5688,6614
CHF17_RS07145,1904,1781,1403,2012
CHF17_RS07150,4349,3766,3601,4593
CHF17_RS07155,41470,17474,22923,22886
CHF17_RS07160,35790,25762,27295,41353
CHF17_RS07165,60660,35314,41725,53177
CHF17_RS07170,5608,5376,6122,6105
CHF17_RS07175,7513,8969,9237,10563
CHF17_RS07180,8428,7764,8434,10997
CHF17_RS07185,3827,2320,2819,2911
CHF17_RS07190,20210,27052,26536,33416
CHF17_RS07195,16668,33962,24225,43087
CHF17_RS07200,12441,20952,17648,25286
CHF17_RS07205,17281,30819,20499,35421
CHF17_RS07210,13340,20457,16942,26471
CHF17_RS07215,18959,31542,28969,43699
CHF17_RS07220,6215,8958,7714,12515
CHF17_RS07225,28148,31393,29415,40947
CHF17_RS07230,34716,32868,30339,42363
CHF17_RS07235,30301,21788,25563,35454
CHF17_RS07240,1161785,1013122,969540,1025564
CHF17_RS07245,6446,5966,4303,5435
CHF17_RS07250,3746,4328,3598,3510
CHF17_RS07255,867,1565,1325,1295
CHF17_RS07260,13350,10046,9836,11334
CHF17_RS07265,23323,15971,17311,19111
CHF17_RS07270,33673,23863,27248,28912
CHF17_RS07275,26818,20175,20361,29320
CHF17_RS07280,27147,17051,19157,20569
CHF17_RS07285,81406,48103,53497,57118
CHF17_RS07290,14137,13534,11211,12524
CHF17_RS07295,7542,9693,6827,7807
CHF17_RS07300,1457,1876,1354,1392
CHF17_RS07305,4084,5458,3623,4895
CHF17_RS07310,14968,19206,13879,14915
CHF17_RS07315,15825,10105,12370,15486
CHF17_RS07320,14510,10985,11178,10775
CHF17_RS07325,15873,12837,11378,10299
CHF17_RS07330,24321,20297,17028,15450
CHF17_RS07335,8294,9523,7707,7467
CHF17_RS07340,5759,6682,4995,5808
CHF17_RS07345,2788,2844,1788,2771
CHF17_RS07350,27201,19483,17065,23767
CHF17_RS07355,3480,2173,2289,2647
CHF17_RS07360,23818,20073,16711,20934
CHF17_RS07365,821,1061,1215,1537
CHF17_RS07370,2449,2142,2719,2906
CHF17_RS07375,5067,3530,4507,5092
CHF17_RS07380,18261,4368,11443,16980
CHF17_RS07385,12722,3096,7643,13018
CHF17_RS07390,5115,9392,5002,5843
CHF17_RS07395,9213,18765,9707,9552
CHF17_RS07400,7470,14864,8045,8614
CHF17_RS07405,16014,35207,20940,21922
CHF17_RS07410,18406,37579,28829,30873
CHF17_RS07415,2943,3502,2844,2444
CHF17_RS07420,1537,1383,1330,1247
CHF17_RS07425,16837,16468,14897,18099
CHF17_RS07430,8746,9278,7718,9495
CHF17_RS07435,13109,16612,14869,18742
CHF17_RS07440,7145,9762,8280,12639
CHF17_RS07445,5971,8837,8311,11382
CHF17_RS07450,7406,10663,10671,12763
CHF17_RS07455,7945,11617,10749,13906
CHF17_RS07460,5494,7245,7840,8789
CHF17_RS07465,4818,6214,7027,7923
CHF17_RS07470,7265,10237,9089,12525
CHF17_RS07475,1432,1708,1756,2361
CHF17_RS07480,3281,3401,3990,4570
CHF17_RS07485,5689,5898,6179,7745
CHF17_RS07490,9934,8345,9530,11102
CHF17_RS07495,13334,8613,9254,9081
CHF17_RS07500,4845,4133,3620,3848
CHF17_RS07505,15221,14589,12498,12377
CHF17_RS07510,13104,13409,12400,13097
CHF17_RS07515,11463,10197,7339,9236
CHF17_RS07520,10535,9744,6790,8538
CHF17_RS07525,8613,7851,7157,9729
CHF17_RS07530,2314,2140,1682,2615
CHF17_RS07535,1358,678,928,860
CHF17_RS07540,291,119,194,216
CHF17_RS07545,382,247,324,360
CHF17_RS07550,12207,13155,6704,7614
CHF17_RS07555,766,980,576,586
CHF17_RS07560,872,611,686,720
CHF17_RS07565,1946,2031,1696,1998
CHF17_RS07570,730,832,780,869
CHF17_RS07575,6343,3861,4683,6954
CHF17_RS07580,6261,4886,4754,4973
CHF17_RS07585,2460,2345,2177,2795
CHF17_RS07590,2030,1841,1670,2073
CHF17_RS07595,14100,11737,9594,12795
CHF17_RS07600,1235,1233,1048,1446
CHF17_RS07605,1029,1225,801,1145
CHF17_RS07610,479,2051,540,756
CHF17_RS07615,1735,6311,2051,2796
CHF17_RS07620,12858,18095,10398,9065
CHF17_RS07625,13542,11411,10352,15366
CHF17_RS07630,90438,126836,64244,70794
CHF17_RS07635,41759,52982,30578,33930
CHF17_RS07640,1186,1194,783,1588
CHF17_RS07645,1096,1065,1036,1399
CHF17_RS07650,18836,17419,18538,18834
CHF17_RS07655,911,771,869,963
CHF17_RS07660,9620,6311,6947,6207
CHF17_RS07665,7885,4925,5540,6594
CHF17_RS07670,1405,1836,1267,1216
CHF17_RS07675,465,563,669,757
CHF17_RS07680,1230,768,714,651
CHF17_RS07685,5181,6317,3503,4216
CHF17_RS07690,1039,1386,1263,1621
CHF17_RS07695,1630,1945,1623,2204
CHF17_RS07700,3208,2393,2364,3385
CHF17_RS07705,20314,11550,14870,19260
CHF17_RS07710,2203,2079,2427,3011
CHF17_RS07715,11221,11285,13002,15337
CHF17_RS07720,5527,4982,4151,8298
CHF17_RS07725,2080,1783,1352,2247
CHF17_RS07730,6051,4836,4479,6264
CHF17_RS07735,1851,2224,1326,1902
CHF17_RS07740,1249,1411,961,1090
CHF17_RS07745,696,742,633,630
CHF17_RS07750,1022,1511,1058,982
CHF17_RS07755,744,1078,708,866
CHF17_RS07760,998,937,723,742
CHF17_RS07765,115,95,94,95
CHF17_RS07770,119,104,96,124
CHF17_RS07775,148,131,115,154
CHF17_RS07780,70,52,47,61
CHF17_RS07785,246,192,226,443
CHF17_RS07790,394,362,416,763
CHF17_RS07795,126,116,116,229
CHF17_RS07800,2272,2205,1846,3406
CHF17_RS07805,17726,12374,13686,14109
CHF17_RS07810,3715,2806,2713,3370
CHF17_RS07815,8546,6062,5987,7514
CHF17_RS07820,1232,1367,875,982
CHF17_RS07825,92,86,49,47
CHF17_RS07830,1471,921,990,1142
CHF17_RS07835,5454,3925,3770,4065
CHF17_RS07840,15831,9642,10642,16440
CHF17_RS07845,6482,4282,4356,5029
CHF17_RS07850,1737,1276,1395,1297
CHF17_RS07855,5674,3818,3967,3759
CHF17_RS07860,7292,6570,8135,8937
CHF17_RS07865,24587,17571,18116,20895
CHF17_RS07870,35565,22200,27348,30486
CHF17_RS07875,141,868,134,175
CHF17_RS07880,106,1610,131,111
CHF17_RS07885,55,1266,82,111
CHF17_RS07890,99,1977,115,134
CHF17_RS07895,191,3315,188,199
CHF17_RS07900,119604,75667,90308,129348
CHF17_RS07905,121774,67127,80000,107932
CHF17_RS07910,541,669,795,931
CHF17_RS07915,2597,2095,2762,3198
CHF17_RS07920,1671,1566,2273,2258
CHF17_RS07925,2382,2627,1782,1728
CHF17_RS07930,256,359,209,403
CHF17_RS07935,887,869,773,887
CHF17_RS07940,4238,2860,3355,3368
CHF17_RS07945,13813,15211,11869,10346
CHF17_RS07950,7721,5695,5368,6153
CHF17_RS07955,3630,32649,2974,3859
CHF17_RS07960,3234,33949,2701,2668
CHF17_RS07965,9777,93158,6672,7106
CHF17_RS07970,4181,5403,2785,4080
CHF17_RS07975,3640,3030,3164,3485
CHF17_RS07980,656,649,797,1061
CHF17_RS07985,1949,1733,2245,2837
CHF17_RS07990,3796,3243,4411,6626
CHF17_RS07995,185,232,180,228
CHF17_RS08000,151,224,161,223
CHF17_RS08005,10006,12595,10508,12166
CHF17_RS08010,3537,4943,3970,4621
CHF17_RS08015,1768,2222,2023,1788
CHF17_RS08020,2934,4700,3861,4239
CHF17_RS08025,888,1382,1184,1141
CHF17_RS08030,800,1234,964,1127
CHF17_RS08035,1976,2378,2500,2454
CHF17_RS08040,10647,11517,7050,11950
CHF17_RS08045,74925,64692,64997,72498
CHF17_RS08050,110404,129746,131367,128962
CHF17_RS08055,59466,53180,60474,59908
CHF17_RS08060,36971,25050,28022,32165
CHF17_RS08065,45860,25326,32703,40776
CHF17_RS08070,7723,7273,5781,7950
CHF17_RS08075,53037,35782,38376,36060
CHF17_RS08080,2600,2623,2102,2136
CHF17_RS08085,938,1161,749,1057
CHF17_RS08090,113,148,86,113
CHF17_RS08095,5288,5014,3853,4752
CHF17_RS08100,7278,6357,5045,5163
CHF17_RS08105,13322,10881,9390,8929
CHF17_RS08110,2338,2243,1785,2305
CHF17_RS08115,2708,2243,2066,2307
CHF17_RS08120,8935,12011,9873,11862
CHF17_RS08125,4007,5779,5342,5147
CHF17_RS08130,8065,8464,8680,9443
CHF17_RS08135,1899,1041,1328,1496
CHF17_RS08140,341,207,241,285
CHF17_RS08145,487,290,333,396
CHF17_RS08150,9364,9903,6993,7992
CHF17_RS08155,2688,3041,2147,2581
CHF17_RS08160,7490,8736,5980,7264
CHF17_RS08165,8196,7524,6487,6891
CHF17_RS08170,531,647,777,892
CHF17_RS08175,91,239,107,151
CHF17_RS08180,32,111,57,92
CHF17_RS08185,32,163,52,104
CHF17_RS08190,54,388,85,134
CHF17_RS08195,71,519,101,119
CHF17_RS08200,1744,2810,1531,1503
CHF17_RS08205,793,678,536,1263
CHF17_RS08210,24641,11879,17629,17980
CHF17_RS08215,14412,9087,9588,12640
CHF17_RS08220,3059,2765,2527,2762
CHF17_RS08225,2355,1680,1597,1787
CHF17_RS08230,12978,9005,9018,12631
CHF17_RS08235,19820,17390,15769,15239
CHF17_RS08240,19309,17656,14269,17026
CHF17_RS08245,1436,1719,1441,2164
CHF17_RS08250,3815,4729,4086,5699
CHF17_RS08255,1564,2631,2138,3312
CHF17_RS08260,2041,3474,3053,4577
CHF17_RS08265,2192,3718,2897,4502
CHF17_RS08270,2169,3397,3012,3896
CHF17_RS08275,2176,3010,3102,3675
CHF17_RS08280,4655,6310,5753,6743
CHF17_RS08285,5224,6031,5456,5687
CHF17_RS08290,5955,3969,3992,4111
CHF17_RS08295,224,144,150,218
CHF17_RS08300,1731,1559,1772,2082
CHF17_RS08305,19143,14454,16011,15577
CHF17_RS08310,17098,12691,14292,12668
CHF17_RS08315,19239,15429,17220,16492
CHF17_RS08320,1011,879,682,733
CHF17_RS08325,34448,19114,23439,23763
CHF17_RS08330,2612,1557,1736,1903
CHF17_RS08335,2840,1524,1878,2100
CHF17_RS08340,767,965,832,707
CHF17_RS08345,6686,5792,5144,7425
CHF17_RS08350,35821,35508,36433,42045
CHF17_RS08355,2618,3952,4451,6177
CHF17_RS08360,22101,18672,23171,27541
CHF17_RS08365,17987,11003,15230,15883
CHF17_RS08370,1232,808,1047,1178
CHF17_RS08375,23511,27119,20770,23562
CHF17_RS08380,19804,15566,17000,17364
CHF17_RS08385,4857,4741,5526,4807
CHF17_RS08390,4473,4896,4968,5203
CHF17_RS08395,2287,1470,1916,1687
CHF17_RS08400,1378,1016,1036,1417
CHF17_RS08405,254,149,179,402
CHF17_RS08410,9955,6965,5979,6666
CHF17_RS08415,30991,21148,22316,24601
CHF17_RS08420,23733,14733,15561,18658
CHF17_RS08425,2738,2782,2456,3296
CHF17_RS08430,8892,10436,9394,10120
CHF17_RS08435,6232,5889,5883,5603
CHF17_RS08440,6843,6590,4997,7226
CHF17_RS08445,14685,13116,10842,13153
CHF17_RS08450,6224,4115,4057,5907
CHF17_RS08455,31799,17137,21344,25149
CHF17_RS08460,11264,15981,11396,11916
CHF17_RS08465,550,545,438,537
CHF17_RS08470,5672,5031,4332,5947
CHF17_RS08475,6345,6091,5378,6026
CHF17_RS08480,4756,4462,4606,4722
CHF17_RS08485,6311,4893,4477,6081
CHF17_RS08490,20030,13540,13896,18898
CHF17_RS08495,13777,6853,9783,10408
CHF17_RS08500,554,228,381,330
CHF17_RS08505,19092,10077,14008,12248
CHF17_RS08510,547,441,441,453
CHF17_RS08515,527,462,404,655
CHF17_RS08520,4073,2479,3061,3213
CHF17_RS08525,23,44,23,27
CHF17_RS08530,37,68,36,47
CHF17_RS08535,19,28,16,30
CHF17_RS08540,1481,1289,1015,1137
CHF17_RS08545,212,283,139,312
CHF17_RS08550,14,42,13,24
CHF17_RS08555,159,419,186,312
CHF17_RS08560,104,214,125,183
CHF17_RS08565,100,168,107,137
CHF17_RS08570,281,528,270,317
CHF17_RS08575,10632,6612,6908,7737
CHF17_RS08580,773,1301,895,1239
CHF17_RS08585,1768,2660,2233,2822
CHF17_RS08590,359,531,437,648
CHF17_RS08595,1237,1731,1484,2249
CHF17_RS08600,4831,4119,4164,4778
CHF17_RS08605,5613,5554,4736,6513
CHF17_RS08610,6186,6314,6014,7539
CHF17_RS08615,7597,8645,8626,9453
CHF17_RS08620,2306,2752,2496,3058
CHF17_RS08625,5195,5886,6596,8181
CHF17_RS08630,3856,2829,3735,4403
CHF17_RS08635,1535,1807,1407,1725
CHF17_RS08640,18615,21108,20056,24027
CHF17_RS08645,10351,14937,16029,18596
CHF17_RS08650,3069,2896,3501,3556
CHF17_RS08655,548,818,509,626
CHF17_RS08660,520,1034,435,483
CHF17_RS08665,925,1816,695,800
CHF17_RS08670,865,720,655,674
CHF17_RS08675,4766,3492,4060,5002
CHF17_RS08680,40224,29056,30568,39437
CHF17_RS08685,25250,23612,21283,22961
CHF17_RS08690,2208,2073,1421,1604
CHF17_RS08695,8131,5697,5373,5831
CHF17_RS08700,1324,1411,1628,1577
CHF17_RS08705,1056,910,828,933
CHF17_RS08710,4103,3203,2631,3347
CHF17_RS08715,8228,9569,8074,8032
CHF17_RS08720,114929,103354,115167,100983
CHF17_RS08725,2887,4315,4163,6132
CHF17_RS08730,697,1057,1062,1412
CHF17_RS08735,2506,4252,3558,5057
CHF17_RS08740,97137,90598,91509,86145
CHF17_RS08745,6745,6344,6456,7611
CHF17_RS08750,122,121,135,160
CHF17_RS08755,553,367,425,470
CHF17_RS08760,1466,1467,1467,1461
CHF17_RS08765,1354,1517,1368,1289
CHF17_RS08770,15681,11042,9286,15088
CHF17_RS08775,20336,15546,12417,18831
CHF17_RS08780,28532,22380,18683,27749
CHF17_RS08785,1515,1416,1046,1423
CHF17_RS08790,367,674,372,421
CHF17_RS08795,471,840,505,568
CHF17_RS08800,96,205,115,139
CHF17_RS08805,145,286,176,222
CHF17_RS08810,217,408,223,264
CHF17_RS08815,168,376,141,240
CHF17_RS08820,57,111,42,90
CHF17_RS08825,252,462,260,341
CHF17_RS08830,1075,1223,1066,782
CHF17_RS08835,3644,3977,3009,2971
CHF17_RS08840,2750,1588,2233,2048
CHF17_RS08845,3795,2230,3219,3006
CHF17_RS08850,23,20,16,25
CHF17_RS08855,7746,6547,8605,10314
CHF17_RS08860,9119,6792,7700,9988
CHF17_RS08865,16640,9913,12087,14233
CHF17_RS08870,44346,26281,27741,43937
CHF17_RS08875,189707,103724,111266,169686
CHF17_RS08880,85939,48992,48733,78715
CHF17_RS08885,4444,3186,3443,2796
CHF17_RS08890,763,864,611,766
CHF17_RS08895,3952,2405,2542,2230
CHF17_RS08900,2169,2023,2046,2520
CHF17_RS08905,8518,9721,9314,10031
CHF17_RS08910,4262,2934,2834,5103
CHF17_RS08915,4623,2723,2905,4321
CHF17_RS08920,8904,5760,6485,7044
CHF17_RS08925,5335,3950,4445,4390
CHF17_RS08930,4725,4903,4647,4932
CHF17_RS08935,23587,17946,15924,16576
CHF17_RS08940,7093,7050,4856,6099
CHF17_RS08945,88670,58774,64164,73889
CHF17_RS08950,1907,1703,1670,2326
CHF17_RS08955,8514,6820,5764,6414
CHF17_RS08960,9080,6679,6145,5970
CHF17_RS08965,5957,4059,3820,4616
CHF17_RS08970,55763,28102,34590,48287
CHF17_RS08975,460,336,299,403
CHF17_RS08980,717,489,427,571
CHF17_RS08985,3116,2524,2339,2764
CHF17_RS08990,6371,10113,8472,9834
CHF17_RS08995,1352,1837,1314,1712
CHF17_RS09000,8972,8980,7086,8014
CHF17_RS09005,5817,6190,5900,6617
CHF17_RS09010,5019,6869,5524,6826
CHF17_RS09015,12607,12916,12184,15009
CHF17_RS09020,11573,14211,13747,15188
CHF17_RS09025,14051,17037,14218,15326
CHF17_RS09030,11580,13024,9590,12339
CHF17_RS09035,463,363,388,298
CHF17_RS09040,122,124,89,117
CHF17_RS09045,39,44,31,27
CHF17_RS09050,4195,2395,2416,2496
CHF17_RS09055,7761,6025,5891,5583
CHF17_RS09060,1861,1283,1337,1644
CHF17_RS09065,1079,714,742,986
CHF17_RS09070,11754,5971,7034,8019
CHF17_RS09075,5701,6014,4205,3970
CHF17_RS09080,1726,1863,1474,1793
CHF17_RS09085,5915,719,4395,4982
CHF17_RS09090,912,255,848,1673
CHF17_RS09095,14209,11895,10000,11920
CHF17_RS09100,3143,2728,3251,3769
CHF17_RS09105,1025,1091,1116,1317
CHF17_RS09110,3381,2867,3220,3272
CHF17_RS09115,3285,2650,2435,2914
CHF17_RS09120,70465,61129,56672,60947
CHF17_RS09125,3649,2381,2608,2680
CHF17_RS09130,63230,75096,52077,55600
CHF17_RS09135,14618,18054,15401,13757
CHF17_RS09140,1488,1676,1100,1635
CHF17_RS09145,212274,153342,146538,147411
CHF17_RS09150,2749,3292,2717,3301
CHF17_RS09155,1070132,679212,605317,745651
CHF17_RS09160,248268,272625,268796,292550
CHF17_RS09165,77495,57668,64038,86087
CHF17_RS09170,119990,79113,88009,96768
CHF17_RS09175,25238,19889,17932,23686
CHF17_RS09180,6262,7166,7106,6530
CHF17_RS09185,4279,7394,6022,7184
CHF17_RS09190,1891,3361,2701,3185
CHF17_RS09195,8292,9889,8717,9108
CHF17_RS09200,12665,13690,12595,12037
CHF17_RS09205,5517,4639,4208,5996
CHF17_RS09210,8814,7278,7918,8664
CHF17_RS09215,2343,2287,2485,2649
CHF17_RS09220,2716,2441,3304,2624
CHF17_RS09225,2665,2213,2780,2546
CHF17_RS09230,1540,2163,2376,2500
CHF17_RS09235,1845,2547,2350,2636
CHF17_RS09240,4523,6852,8003,8323
CHF17_RS09245,1284,1396,1902,1618
CHF17_RS09250,62150,96118,57965,58952
CHF17_RS09255,11734,17217,10095,9977
CHF17_RS09260,32292,57675,32712,35569
CHF17_RS09265,46298,92680,48796,49042
CHF17_RS09270,3040,6505,3006,3225
CHF17_RS09275,27583,50403,24302,29441
CHF17_RS09280,20486,32911,16587,19505
CHF17_RS09285,16527,9386,11422,13027
CHF17_RS09290,11492,7492,7814,9779
CHF17_RS09295,604,733,890,1075
CHF17_RS09300,11233,5291,14315,17332
CHF17_RS09305,9634,5967,10844,11813
CHF17_RS09310,88,79,62,118
CHF17_RS09315,305,243,362,347
CHF17_RS09320,417,186,312,377
CHF17_RS09325,14710,7858,9882,11708
CHF17_RS09330,128,108,88,125
CHF17_RS09335,72,81,86,73
CHF17_RS09340,61,54,51,70
CHF17_RS09345,80,78,83,111
CHF17_RS09350,402,318,396,357
CHF17_RS09355,235,148,190,212
CHF17_RS09360,1916,1542,1326,1796
CHF17_RS09365,41,40,55,25
CHF17_RS09370,38,32,41,31
CHF17_RS09375,21,28,20,32
CHF17_RS09380,5,6,17,11
CHF17_RS09385,5,8,7,9
CHF17_RS09390,11,10,11,17
CHF17_RS09395,84,91,69,78
CHF17_RS09400,7676,8350,5139,7796
CHF17_RS09405,3431,4753,2509,3794
CHF17_RS09410,37523,37166,25000,28506
CHF17_RS09415,4454,2710,3085,3446
CHF17_RS09420,4029,3239,2556,3810
CHF17_RS09425,4329,5917,5914,6022
CHF17_RS09430,3009,2270,2293,2088
CHF17_RS09435,6371,5137,5652,4219
CHF17_RS09440,8489,6333,7650,7902
CHF17_RS09445,15301,11409,13246,14634
CHF17_RS09450,5410,5152,4597,5737
CHF17_RS09455,5786,5063,4495,5496
CHF17_RS09460,28341,19614,29137,27983
CHF17_RS09465,4060,2759,3407,3932
CHF17_RS09470,4351,2191,3529,4598
CHF17_RS09475,151670,90960,106211,135580
CHF17_RS09480,227197,124359,144437,187615
CHF17_RS09485,2214,2374,1968,1870
CHF17_RS09490,6490,8173,7476,6705
CHF17_RS09495,30,61,37,56
CHF17_RS09500,12608,13913,10801,14346
CHF17_RS09505,1590,1556,1050,1744
CHF17_RS09510,7257,5029,6332,6095
CHF17_RS09515,65325,56898,61276,56084
CHF17_RS09520,3237,2273,2506,2258
CHF17_RS09525,3860,4151,2940,2794
CHF17_RS09530,440,463,340,333
CHF17_RS09535,5985,4163,4391,5343
CHF17_RS09540,14845,9770,10447,11673
CHF17_RS09545,7305,8452,4920,5983
CHF17_RS09550,304,326,296,356
CHF17_RS09555,29,39,33,55
CHF17_RS09560,29,34,40,47
CHF17_RS09565,7,9,11,15
CHF17_RS09570,31,33,46,45
CHF17_RS09575,13,21,18,18
CHF17_RS09580,119,150,168,172
CHF17_RS09585,43,65,81,78
CHF17_RS09590,104,105,142,171
CHF17_RS09595,175,110,174,176
CHF17_RS09600,135391,137492,85390,150616
CHF17_RS09605,4867,6098,3492,4593
CHF17_RS09610,992,1262,860,1016
CHF17_RS09615,19296,19842,17802,18530
CHF17_RS09620,1563,973,1273,1552
CHF17_RS09625,33366,28683,31409,33580
CHF17_RS09630,7007,9866,10357,13609
CHF17_RS09635,3406,3914,4894,6780
CHF17_RS09640,6084,4599,6317,7355
CHF17_RS09645,56914,35317,37018,46382
CHF17_RS09650,5488,4778,3478,4912
CHF17_RS09655,67,69,37,76
CHF17_RS09660,59,65,49,68
CHF17_RS09665,55,97,65,86
CHF17_RS09670,1964,1515,1641,1669
CHF17_RS09675,771,673,609,760
CHF17_RS09680,10901,7261,8509,9873
CHF17_RS09685,1073,1009,1099,1301
CHF17_RS09690,7999,7535,5205,6104
CHF17_RS09695,2946,1911,2065,2494
CHF17_RS09700,361,488,364,506
CHF17_RS09705,411,443,451,459
CHF17_RS09710,301,379,422,459
CHF17_RS09715,959,930,890,1014
CHF17_RS09720,92,111,66,61
CHF17_RS09725,49,141,30,32
CHF17_RS09730,2261,1709,1826,1719
CHF17_RS09735,59,37,37,50
CHF17_RS09740,191,99,107,121
CHF17_RS09745,474,283,292,367
CHF17_RS09750,3108,2472,1897,2712
CHF17_RS09755,224,250,217,240
CHF17_RS09760,136,121,125,126
CHF17_RS09765,2474,2023,2217,2176
CHF17_RS09770,10920,9647,11433,9879
CHF17_RS09775,2789,2962,3696,4246
CHF17_RS09780,2593,1755,1751,1788
CHF17_RS09785,9231,7060,6330,6649
CHF17_RS09790,5148,3867,3705,3997
CHF17_RS09795,1858,1729,1390,1562
CHF17_RS09800,1251,1210,1017,969
CHF17_RS09805,1568,1759,1207,1484
CHF17_RS09810,124,182,126,183
CHF17_RS09815,69,184,86,120
CHF17_RS09820,54,201,75,87
CHF17_RS09825,66,210,54,60
CHF17_RS09830,6378,14611,4600,8943
CHF17_RS09835,288,604,199,362
CHF17_RS09840,9083,20611,8560,12738
CHF17_RS09845,7830,16953,7552,9116
CHF17_RS09850,1527,3046,1410,1565
CHF17_RS09855,1480,1791,1407,1795
CHF17_RS09860,13354,17178,12051,15410
CHF17_RS09865,6690,7405,4636,7791
CHF17_RS09870,506,462,346,454
CHF17_RS09875,346,356,334,387
CHF17_RS09880,601,651,649,744
CHF17_RS09885,4597,4600,4021,3720
CHF17_RS09890,2060,1807,1888,1424
CHF17_RS09895,491,604,520,472
CHF17_RS09900,271,622,348,358
CHF17_RS09905,350,1288,489,477
CHF17_RS09910,381,1920,429,437
CHF17_RS09915,1002,3949,782,644
CHF17_RS09920,1193,1546,1212,2140
CHF17_RS09925,1517,1738,1874,2619
CHF17_RS09930,922,882,1115,2079
CHF17_RS09935,323,265,324,570
CHF17_RS09940,1735,1628,1712,2211
CHF17_RS09945,1257,1309,1341,1575
CHF17_RS09950,792,912,932,1248
CHF17_RS09955,287,303,316,367
CHF17_RS09960,1392,1504,1556,1727
CHF17_RS09965,1885,1636,1522,1477
CHF17_RS09970,5933,5924,4788,5154
CHF17_RS09975,3292,4547,4617,3705
CHF17_RS09980,972,1318,1373,1139
