Id,WT.1,WT.2,WT.3,X13.1,X13.2,X13.3,X14.1,X14.2,X14.3,X15.1,X15.2,X15.3
GALLO_RS04990,3042,3022,3879,4527,2881,3587,4552,2647,4427,4257,4400,3496
GALLO_RS04995,1099,1223,1448,1751,1167,1439,1674,1082,1620,1552,1765,1321
GALLO_RS05000,1865,1931,1651,2561,1646,1555,2386,1593,1554,2155,2216,1428
GALLO_RS05005,4765,5001,5853,6710,4993,5678,7428,4322,6533,7084,7504,6118
GALLO_RS05010,3809,3921,4646,5623,3756,4328,6005,3591,5307,5615,5617,4740
GALLO_RS05015,2797,2632,3237,3610,2587,3018,3995,2328,3795,3611,3739,3174
GALLO_RS05020,4293,4626,5473,6328,4347,4950,6650,4173,6284,6338,6393,5513
GALLO_RS05025,5857,5541,7181,7520,5633,6435,8921,5142,8556,8541,8830,7685
GALLO_RS05030,3662,3165,3956,5238,3197,3453,6558,2857,5245,5563,5053,4145
GALLO_RS05035,1093,723,975,1274,748,847,1670,741,1389,1598,1330,1225
GALLO_RS05040,915,637,868,1413,636,816,1593,605,1110,1354,1140,935
GALLO_RS05045,2014,1393,1751,2315,1419,1546,3157,1249,2317,2816,2591,2061
GALLO_RS05050,1883,1301,1738,2123,1273,1528,2915,1119,2415,2715,2403,2162
GALLO_RS05055,1814,1389,2020,2613,1503,1793,3144,1364,2787,2900,2581,2250
GALLO_RS05060,2904,2431,3495,4016,2427,3117,4976,2148,4574,4711,4367,3659
GALLO_RS05065,88,104,197,121,62,161,125,92,251,110,150,217
GALLO_RS05070,11,16,330,82,24,185,116,13,368,123,148,263
GALLO_RS05075,20,27,429,128,32,247,189,18,409,181,145,361
GALLO_RS05080,36,60,378,139,57,265,146,41,416,124,110,281
GALLO_RS05085,110,206,176,138,188,155,123,161,125,113,185,137
GALLO_RS05090,7673,9080,5998,7023,6757,5063,7195,7142,5176,6342,9393,4258
GALLO_RS05105,647,581,692,843,499,619,1154,515,1122,938,822,873
GALLO_RS05110,712,654,789,911,585,790,1145,526,1307,950,832,1007
GALLO_RS05115,1157,1153,1162,1394,977,1229,1646,923,1797,1367,1326,1376
GALLO_RS05120,865,804,850,1066,724,847,1248,687,1332,1085,1015,1033
GALLO_RS05125,1194,1348,1407,1496,1147,1383,1831,1032,2108,1524,1615,1567
GALLO_RS05130,643,672,704,696,610,650,837,558,896,702,833,754
GALLO_RS05135,1100,1159,1260,1362,1111,1126,1617,1012,1575,1298,1607,1301
GALLO_RS05140,754,876,971,976,697,906,1032,681,1310,955,1049,927
GALLO_RS05145,2225,2399,2656,2830,2133,2359,3217,1972,3481,2854,3029,2687
GALLO_RS05150,5015,5696,5178,7788,5857,6353,6550,4390,4553,6427,6848,3517
GALLO_RS05155,8114,9809,6859,7571,7559,5287,8525,8143,6691,7844,11188,5289
GALLO_RS05160,3318,3749,2723,2793,2898,2015,3618,3111,2519,3273,4864,2256
GALLO_RS05165,14146,17242,14716,13648,14190,10156,15669,14084,13828,15097,21010,11197
GALLO_RS05170,2669,3613,5636,4376,3517,4675,3997,3081,5735,4210,5377,4648
GALLO_RS05175,4052,5545,3349,3994,4342,3668,3833,3919,3073,3394,5108,2651
GALLO_RS05180,329,382,263,331,319,310,273,295,218,240,281,141
GALLO_RS05185,756,755,544,872,628,641,646,525,549,643,570,324
GALLO_RS05190,139039,148395,110129,167494,120531,116455,168786,116179,128306,162786,153707,101811
GALLO_RS05195,46,47,55,47,34,65,60,31,50,20,24,10
GALLO_RS05200,180,199,248,309,235,236,272,183,230,281,312,200
GALLO_RS05205,182,216,169,234,238,184,201,200,122,198,331,127
GALLO_RS05210,4042,6257,3702,3872,5440,4151,3487,4666,2718,3197,5900,2451
GALLO_RS05215,3250,4424,4284,2999,3147,3180,2775,2984,2742,2524,4350,2529
GALLO_RS05220,3519,4895,5094,4021,3719,3965,3529,3430,3262,3287,5216,2991
GALLO_RS05225,1737,2483,2501,1913,1789,1822,1606,1590,1555,1381,2181,1240
GALLO_RS05230,4825,6485,6653,6751,6210,6088,6212,5674,5972,5819,8600,5534
GALLO_RS05235,42581,47662,44784,47089,37970,38416,52226,38395,49785,48043,54963,37040
GALLO_RS05240,74967,88307,82948,88526,70367,70800,99138,71915,95062,93460,104516,73826
GALLO_RS05245,2985,3477,4996,3582,3567,4326,3453,2761,4811,3554,4616,4190
GALLO_RS05250,5051,4720,3998,6124,4924,3540,7632,3804,5387,6292,5842,5670
GALLO_RS05255,123,155,5469,2302,316,3679,2846,203,5439,2914,1789,4046
GALLO_RS05260,69,99,771,193,103,686,239,90,771,234,139,602
GALLO_RS05265,17,23,36,11,15,52,11,17,48,7,27,42
GALLO_RS05270,20,23,61,31,28,57,16,15,49,28,52,33
GALLO_RS05275,3581,3723,1588,3698,3204,1850,3283,2915,1516,3184,3536,1376
GALLO_RS05280,1027,1121,787,957,804,737,1141,914,817,1008,1169,678
GALLO_RS05285,2010,2182,1585,1758,1615,1363,2234,1727,1770,2051,2421,1511
GALLO_RS05290,3210,3687,3090,3177,3015,2406,3833,2986,3023,3550,4386,2559
GALLO_RS05295,2602,3584,2816,3072,3469,2723,2550,2969,2206,2607,4163,2206
GALLO_RS05300,3938,3526,3334,5427,3119,3265,5643,3015,4224,5257,4564,3425
GALLO_RS05305,532,562,2687,1934,620,2140,2009,443,3361,1903,1386,2384
GALLO_RS05310,121,96,208,239,106,207,203,86,224,181,169,198
GALLO_RS05315,109,122,166,206,87,171,190,87,182,166,163,155
GALLO_RS05320,119,116,171,208,123,160,170,84,183,146,139,161
GALLO_RS05325,4818,6511,4257,4527,5522,4180,3850,5305,3146,3551,6541,3279
GALLO_RS05330,3701,5600,3661,3739,4506,3319,3322,4488,2911,3210,5881,3008
GALLO_RS05335,17,19,11,26,13,8,12,9,18,18,13,12
GALLO_RS05340,2619,3517,3987,3505,3240,3303,3228,2931,3293,3129,4689,2881
GALLO_RS05345,2384,2611,2921,2554,2441,2515,3008,2424,3056,2875,3871,2956
GALLO_RS05350,8892,11086,12377,11110,10161,10557,11305,8969,12558,11076,13817,11143
GALLO_RS05355,8020,10285,10846,9158,9126,9226,9450,8083,10410,8981,11790,8848
GALLO_RS05360,886,1010,659,679,793,588,750,743,622,723,1070,550
GALLO_RS05365,2416,2733,2774,2951,2374,2478,2671,2191,2597,2434,2995,2147
GALLO_RS05370,2239,2478,2293,2276,2050,2061,2344,2072,2376,2314,2846,1982
GALLO_RS05375,1633,1658,1591,1842,1349,1302,2012,1349,1715,1823,2089,1444
