,GAS-WT-no-manganese-OD1-0-rep-1,GAS-WT-no-manganese-OD1-0-rep-2,GAS-WT-no-manganese-OD1-0-rep-3,GAS-WT-100um-manganese-OD1-0-rep-1,GAS-WT-100um-manganese-OD1-0-rep-2,GAS-WT-100um-manganese-OD1-0-rep-3,GAS-delmtsR-100um-manganese-OD1-0-rep-1,GAS-delmtsR-100um-manganese-OD1-0-rep-2,GAS-delmtsR-100um-manganese-OD1-0-rep-3
SpyM3_0484,224.0564786,237.8577083,236.4258448,244.0808298,224.0248578,252.9646388,2.61422899,3.671160426,3.778556417
SpyM3_0485,245.1353407,278.2355174,275.9769214,275.7124013,264.6730027,304.2962623,1.116436059,1.077869776,0.467116522
SpyM3_0486,222.6885667,233.369827,230.8234262,243.8846697,216.2342137,239.7544302,0.972288619,1.232046086,0.813610549
SpyM3_0488,357.4284694,386.0219606,384.3194991,401.3972827,380.5482609,419.7780482,3.459945985,4.488696433,3.347668405
SpyM3_0489,156.8621837,152.5354163,155.6693402,165.5341273,146.4616869,169.2541051,1.297479745,1.59429387,2.171460587
SpyM3_0490,474.4350791,503.6459831,534.1590566,471.761461,517.569456,505.8786756,0.269700846,0,0.22568551
SpyM3_0492,609.0507694,624.0756661,638.6502553,582.9375796,590.7224446,525.3702782,2.105559235,4.065649156,3.523861479
SpyM3_0493,1891.641059,2201.917756,1958.245282,2154.776135,2118.565341,1915.675084,1.641256429,1.782630784,1.888428331
SpyM3_0494,4038.382731,4149.781712,4065.520082,3908.581697,4176.05108,3883.718167,4.000562546,3.713814133,3.218911928
SpyM3_0495,1879.048774,1978.838323,1968.54441,1811.183683,1977.286087,1897.157411,4.460804254,3.281302682,3.555046094
SpyM3_0496,1030.222451,1178.800104,1100.868635,1119.000735,1079.077106,1038.989729,0,0,0
SpyM3_0497,2604.938242,2548.105386,2620.097317,2293.695489,2580.379996,2461.619257,0,0,0
SpyM3_0498,1763.77522,1822.151527,1820.055481,1655.755438,1711.218898,1647.847407,0,0,0
SpyM3_0499,2386.408082,2354.775682,2398.764135,2257.620275,2304.185177,2298.367409,0,0,0
SpyM3_0500,3725.625356,3785.038181,3749.067555,3675.458416,3644.969238,3666.084771,16.89837619,16.12924333,15.90812026
SpyM3_0501,460.3749215,514.3320695,477.4871588,628.1415977,555.7547548,590.6994108,2.117944877,0.681594123,0
SpyM3_0503,746.8091234,776.5696806,805.8917002,745.0903333,726.9709204,705.1085679,6.056926471,4.115044893,5.068432538
SpyM3_0508,117.4447125,114.1916461,122.6758572,115.757523,108.5884236,110.0609483,6.783562577,5.37372758,6.404235209
SpyM3_0509,65.85732599,61.53151967,61.17465867,60.83055473,59.01255826,55.98366227,10.31072821,10.43237191,14.63310725
SpyM3_0510,72.8587047,69.42256477,72.23577044,62.01114046,67.68428998,66.4252024,12.32605757,12.65186064,13.24590958
SpyM3_0511,132.0966476,132.8922695,124.4322515,126.0938293,124.6473111,128.8948134,6.359103151,7.522967972,8.094362411
SpyM3_0512,59.04828538,56.73921628,63.90091359,53.80495757,53.19899203,52.46264125,9.726857954,9.542317725,7.351742379
SpyM3_0515,653.9856732,646.0009786,629.559813,576.921646,604.7124606,569.6519057,0,0,0.244951347
SpyM3_0520,1383.108371,1455.106147,1473.159943,1389.12622,1326.609649,1305.887415,15.64977771,14.19036928,11.06057843
SpyM3_0528,461.605191,492.6913941,490.4078242,498.501988,478.8281877,479.0154121,0,0,0
SpyM3_0529,696.3569877,710.0008744,750.0406111,685.5464437,724.4582119,713.6576334,0,0,0
SpyM3_0530,146.2104221,185.919012,183.9846142,182.5612644,176.869787,177.9573634,4.800675055,4.119857811,7.141692597
SpyM3_0531,960.8882212,1094.819861,1051.455299,1196.648661,1085.036951,1109.573589,0,0,0
SpyM3_0532,566.0892495,609.710301,607.069552,659.968057,629.3203667,662.4881998,0,0,0
SpyM3_0534,649.0949608,699.7423741,707.0772901,589.7391663,634.4060388,547.0728995,0,0,0
SpyM3_0535,251.4959174,300.8240427,256.4200864,280.008894,249.077944,232.8737653,46.29222374,38.40296031,42.46756491
SpyM3_0536,1083.147715,1112.110155,1117.824139,948.0800417,1000.911369,863.8992614,6.439929952,8.478365923,9.553102521
SpyM3_0541,431.6146696,438.334674,437.9709193,437.6240038,433.491377,426.9980507,0,0,0
SpyM3_0542,572.0889346,573.4078015,570.6918664,530.5291433,508.1620062,507.3799952,0,0,0
SpyM3_0545,779.6539129,741.2877601,770.2441342,685.1035426,699.5380555,648.1185516,0,0,0
SpyM3_0548,639.1798259,549.8010759,585.4552202,472.5073161,524.4435962,524.7373826,0,0,0
SpyM3_0551,248.4366243,240.5306934,247.323036,253.7202027,250.7078385,258.5476552,0,0,0
SpyM3_0553,5982.625485,6401.200953,6096.923658,11221.90281,8691.562143,11712.56968,36.73986011,45.40251466,38.94226512
SpyM3_0555,103.4700502,109.7299237,104.7166738,123.2349862,109.4841142,114.3441004,0,0,0
SpyM3_0557,172.6386749,161.5536526,163.3438668,168.7711727,156.2842002,157.4660326,0,0,0
SpyM3_0563,2243.792761,2285.255966,2330.410777,1981.969195,1850.553779,1919.218981,133.9318765,130.2009412,114.9851322
SpyM3_0564,1836.18246,1945.271164,2002.489579,1742.774604,1653.339237,1778.54117,65.17472756,66.08483842,68.58507932
SpyM3_0565,2806.491374,2774.466286,2889.780686,2585.60562,2489.026972,2770.472367,61.2134269,64.07805956,66.18703436
SpyM3_0566,1564.885541,1683.592172,1718.80897,1590.501199,1443.001918,1586.105251,116.6987627,119.9605657,117.739467
SpyM3_0568,383.5137848,417.0363687,376.2444521,471.9657605,410.4642414,436.4512627,81.58839576,83.83935405,83.72389924
SpyM3_0569,514.260531,547.2941311,556.9232651,249.8575363,265.7627371,250.2354865,55.40867244,55.33223129,51.94047631
SpyM3_0570,732.8897906,797.8827752,826.2255379,408.8644221,406.5796249,374.9598444,52.91066593,52.57802408,42.6197784
SpyM3_0572,65.94063501,80.88503287,74.51908502,63.72616209,58.64957328,56.75915066,12.00168764,15.02031494,14.50656309
SpyM3_0575,224.0932197,214.3697737,212.2524972,219.3791272,230.8587469,209.1707597,7.610826306,11.0218757,10.28795656
SpyM3_0576,606.1181715,622.9043617,586.7853506,549.7058458,584.7746468,574.8230726,13.59374824,12.88769296,13.01491492
SpyM3_0581,151.3406124,147.6618719,151.3125407,144.3122762,152.0237931,132.1800221,22.003094,24.3329102,14.72974098
SpyM3_0582,334.361973,365.2695797,354.037144,332.9604848,321.0035237,313.8935707,1121.352803,1244.694771,1177.848551
SpyM3_0583,661.7492758,655.5298601,608.8104578,619.726834,734.6359856,556.6799772,1065.416002,1072.904338,894.4295627
SpyM3_0584,10.56471382,7.809420546,9.863920514,11.56542603,8.020625761,8.020837604,2592.064487,2683.282704,2132.130007
