geneID,NSC2,NSC3,SC2,Nmts1,mts1,mts3
SSUSC84_RS00345,0,2,6,0,2,0
SSUSC84_RS09950,519,594,850,822,1188,1307
SSUSC84_RS08090,8289,9587,6900,6741,6736,6068
SSUSC84_RS05775,19,19,34,21,20,28
SSUSC84_RS05685,17,9,11,11,3,9
SSUSC84_RS09025,1330,1297,2102,1299,1129,1377
SSUSC84_RS02940,2947,2762,3819,3687,3011,4425
SSUSC84_RS06150,272,204,142,297,116,114
SSUSC84_RS08975,20,34,39,15,17,15
SSUSC84_RS08305,1044,1029,1265,1178,1011,1286
SSUSC84_RS01470,595,300,1342,741,392,212
SSUSC84_RS10635,0,0,0,0,0,0
SSUSC84_RS05455,5269,4804,5884,5590,4893,5891
SSUSC84_RS01175,4,1,2,0,3,4
SSUSC84_RS01265,165,166,205,192,215,209
SSUSC84_RS05750,23,9,25,36,31,49
SSUSC84_RS06265,2089,2531,1916,2111,1787,2076
SSUSC84_RS05995,372,476,303,267,314,336
SSUSC84_RS03875,2,2,0,1,0,2
SSUSC84_RS10210,1000,847,1517,990,722,943
SSUSC84_RS04925,165,164,236,244,185,225
SSUSC84_RS10140,2911,2935,3105,3050,3359,3868
SSUSC84_RS09115,957,1384,1783,1300,1491,1901
SSUSC84_RS05625,1094,853,1110,1275,798,1126
SSUSC84_RS02000,544,747,649,893,765,1003
SSUSC84_RS01030,699,875,955,853,980,1305
SSUSC84_RS09295,181,254,257,291,250,270
SSUSC84_RS09360,572,590,906,815,541,890
SSUSC84_RS07060,84983,91784,108433,75089,69945,81710
SSUSC84_RS03885,709,584,811,700,867,815
SSUSC84_RS05435,3,7,8,14,3,8
SSUSC84_RS08650,53,67,64,60,93,67
SSUSC84_RS03785,460,336,644,602,540,714
SSUSC84_RS04525,171,130,135,182,113,129
SSUSC84_RS04015,82,78,132,86,76,126
SSUSC84_RS07755,12444,23152,11482,5170,18541,10769
SSUSC84_RS03610,2884,2951,2690,2995,2432,3104
SSUSC84_RS08610,0,0,0,0,0,0
SSUSC84_RS00335,11,4,5,5,10,5
SSUSC84_RS02075,10473,10416,10328,12453,9761,12464
SSUSC84_RS00450,14228,12675,11045,11128,12351,9930
SSUSC84_RS05180,187,195,278,270,282,337
SSUSC84_RS08060,2204,2533,2463,1840,1729,2003
SSUSC84_RS06045,5187,4491,3712,5736,3662,3594
SSUSC84_RS05700,11800,10643,9261,15377,9231,9265
SSUSC84_RS02995,62,98,199,64,101,171
SSUSC84_RS09965,17,13,18,23,7,27
SSUSC84_RS05835,0,0,0,0,0,0
SSUSC84_RS10245,125,148,144,159,189,200
SSUSC84_RS04510,0,1,0,0,0,0
SSUSC84_RS00230,299,303,397,541,382,564
SSUSC84_RS00700,41,51,33,29,46,38
SSUSC84_RS01610,225,243,215,244,269,255
SSUSC84_RS10585,0,0,1,5,0,0
SSUSC84_RS06400,44,44,40,35,20,29
SSUSC84_RS01145,118,102,118,122,110,126
SSUSC84_RS10200,1012,949,1764,1380,829,1328
SSUSC84_RS09535,15,29,58,17,29,37
SSUSC84_RS01370,237,323,337,233,283,285
SSUSC84_RS10575,7,2,3,3,1,3
SSUSC84_RS03840,2808,2983,2798,3136,3856,3540
SSUSC84_RS07795,8,8,8,9,10,5
SSUSC84_RS08575,7919,7988,9331,7060,7313,8267
SSUSC84_RS07470,10,14,6,10,14,15
SSUSC84_RS02765,18253,19287,16898,19856,14237,16899
SSUSC84_RS03640,2688,2633,2853,3332,2310,3088
SSUSC84_RS08585,1561,1975,1544,1635,1968,1928
SSUSC84_RS05385,306,434,692,610,885,1303
SSUSC84_RS02110,229,270,475,202,245,323
SSUSC84_RS10405,2,1,0,0,2,0
SSUSC84_RS06700,0,0,0,0,0,0
SSUSC84_RS07155,0,0,0,0,0,0
SSUSC84_RS00180,0,0,0,0,0,0
SSUSC84_RS01820,152,181,249,132,210,247
SSUSC84_RS10275,90,100,105,80,136,119
SSUSC84_RS05525,560,571,697,868,515,917
SSUSC84_RS00040,1992,1998,1683,1856,1771,1872
