,sczA_Zn1,sczA_Zn2,sczA_Zn3,sczA_Zn4
CHF17_RS01565,1620,1483,1688,1527
CHF17_RS01570,857,907,1102,1042
CHF17_RS01575,112,128,178,144
CHF17_RS01580,406,426,675,563
CHF17_RS01585,455,460,696,624
CHF17_RS01590,549,626,689,587
CHF17_RS01595,1464,4970,2209,1521
CHF17_RS01600,31224,29125,31365,36043
CHF17_RS01605,16236,17956,23275,23995
CHF17_RS01610,5117,6784,9018,10110
CHF17_RS01615,4046,5588,8213,9710
CHF17_RS01620,1498,2009,3097,3650
CHF17_RS01625,11100,14566,18997,21188
CHF17_RS01630,6365,7414,8487,9925
CHF17_RS01635,3171,4565,4038,3584
CHF17_RS01640,2734,4624,3381,2588
CHF17_RS01645,30837,37067,33668,30265
CHF17_RS01650,461,743,577,444
CHF17_RS01655,638,934,747,562
CHF17_RS01660,53287,53470,55718,54391
CHF17_RS01665,62914,63720,64625,62316
CHF17_RS01670,10149,15883,12241,11091
CHF17_RS01675,2063,3401,2574,2195
CHF17_RS01680,422,330,490,341
CHF17_RS01685,1248,992,1420,1116
CHF17_RS01690,560,462,679,537
CHF17_RS01695,424,327,469,380
CHF17_RS01700,222,190,258,198
CHF17_RS01705,2253,2445,2498,2158
CHF17_RS01710,17637,18727,19930,17697
CHF17_RS01715,23806,23638,24217,20924
CHF17_RS01720,8446,8622,9162,7295
CHF17_RS01725,20,23,22,16
CHF17_RS01730,25,27,28,24
CHF17_RS01735,512,431,492,582
CHF17_RS01740,2174,1954,2205,2247
CHF17_RS01745,1345,1471,1287,1385
CHF17_RS01750,12370,14518,13129,12352
CHF17_RS01755,20792,26392,23554,20264
CHF17_RS01760,10014,13244,11190,9562
CHF17_RS01765,12874,17072,13524,11633
CHF17_RS01770,2037,1339,3360,1491
CHF17_RS01775,7,9,21,1
CHF17_RS01780,717,301,1370,200
CHF17_RS01785,6,4,20,1
CHF17_RS01790,7,6,7,10
CHF17_RS01795,37,34,28,40
CHF17_RS01800,118,107,82,105
CHF17_RS01805,171,162,115,130
CHF17_RS01810,239,236,161,174
CHF17_RS01815,186,185,121,131
CHF17_RS01820,169,172,114,139
CHF17_RS01825,191,160,124,165
CHF17_RS01830,165,133,113,158
CHF17_RS01835,232,163,159,232
CHF17_RS01840,473,258,279,419
CHF17_RS01845,604,314,337,511
CHF17_RS01850,981,2241,1369,1024
CHF17_RS01855,3672,7238,5689,4339
CHF17_RS01860,1785,2921,3143,2434
CHF17_RS01865,1764,2863,3086,2264
CHF17_RS01870,2398,3450,3807,3056
CHF17_RS01875,1930,1713,1605,1335
CHF17_RS01880,1180,1294,984,840
CHF17_RS01885,7267,6015,6415,5076
CHF17_RS01890,3059,3192,3081,2750
CHF17_RS01895,1329,1378,1313,1136
CHF17_RS01900,285,260,263,227
CHF17_RS01905,1014,875,938,730
CHF17_RS01910,1445,1307,1415,1216
CHF17_RS01915,931,807,946,837
CHF17_RS01920,2143,5401,2049,2064
CHF17_RS01925,416,1664,436,421
CHF17_RS01930,18198,20344,16280,20359
CHF17_RS01935,6827,8322,8517,6254
CHF17_RS01940,292,270,259,303
CHF17_RS01945,11414,11006,11555,12719
CHF17_RS01950,8908,8831,9154,9503
CHF17_RS01955,25490,26033,28429,27772
CHF17_RS01960,2827,3258,3211,3173
CHF17_RS01965,676,778,840,895
CHF17_RS01970,218,305,375,409
CHF17_RS01975,454,512,650,695
CHF17_RS01980,252,307,318,410
CHF17_RS01985,1898,2171,2708,2700
CHF17_RS01990,2393,2466,3180,3274
CHF17_RS01995,40762,49598,46839,46123
CHF17_RS02000,2262,2860,2424,2243
CHF17_RS02005,10296,14270,11491,10514
CHF17_RS02010,29879,35621,31709,31553
CHF17_RS02015,4007,3923,4714,3780
CHF17_RS02020,7074,6974,8745,6359
CHF17_RS02025,15030,16962,18804,13422
CHF17_RS02030,8938,12297,10640,9712
CHF17_RS02035,3803,5035,4824,4198
CHF17_RS02040,27782,28835,34279,29187
CHF17_RS02045,17306,15750,18005,17330
CHF17_RS02050,19483,26773,19907,19008
CHF17_RS02055,30974,32773,33033,33008
CHF17_RS02060,61707,73266,65233,57559
CHF17_RS02065,77304,87410,84002,77743
CHF17_RS02070,1751,2788,2116,1969
CHF17_RS02075,13262,11877,13268,10926
CHF17_RS02080,16309,18278,17959,12196
CHF17_RS02085,13472,15274,14258,11210
CHF17_RS02090,64543,59432,65976,55106
CHF17_RS02095,35493,49929,53831,45357
CHF17_RS02100,10439,13859,13456,11815
CHF17_RS02105,707,713,838,797
CHF17_RS02110,234,185,219,213
CHF17_RS02115,7812,5922,7804,8476
CHF17_RS02120,27683,14812,17800,19685
CHF17_RS02125,15522,16263,16106,14647
CHF17_RS02130,48197,50187,51763,51289
CHF17_RS02135,10070,7987,9214,11127
CHF17_RS02140,19091,20762,17807,19906
CHF17_RS02145,818,936,788,874
CHF17_RS02150,1665,1574,1873,1716
CHF17_RS02155,1261,1216,1343,1415
CHF17_RS02160,7657,7582,8105,7973
CHF17_RS02165,5259,5621,5567,5206
CHF17_RS02170,7063,7495,7476,7023
CHF17_RS02175,23442,24371,23576,25293
CHF17_RS02180,18594,19345,19207,19704
CHF17_RS02185,8892,12434,12807,13404
CHF17_RS02190,3232,4611,5727,6329
CHF17_RS02195,4332,6238,8718,9575
CHF17_RS02200,9110,11707,12204,10501
CHF17_RS02205,63401,71565,75196,66298
CHF17_RS02210,2734,2132,2642,2579
CHF17_RS02215,7806,6984,8718,7688
CHF17_RS02220,2882,2784,3197,2527
CHF17_RS02225,25412,22132,26488,22767
CHF17_RS02230,13007,11046,13319,11956
CHF17_RS02235,3133,3108,3626,3353
CHF17_RS02240,2731,2621,3502,3168
CHF17_RS02245,5120,5364,6342,5531
CHF17_RS02250,119,195,221,203
CHF17_RS02255,159,220,301,295
CHF17_RS02260,743,1005,1102,1189
CHF17_RS02265,1469,1872,2302,2238
CHF17_RS02270,717,895,1027,959
CHF17_RS02275,1193,1810,1668,1479
CHF17_RS02280,128675,108032,122106,133150
CHF17_RS02285,2479,2245,3070,2830
CHF17_RS02290,294,279,328,298
CHF17_RS02295,54,37,56,47
CHF17_RS02300,34,24,43,25
CHF17_RS02305,4121,8335,4476,4495
CHF17_RS02310,2038,1345,3361,1492
CHF17_RS02315,7,9,21,1
CHF17_RS02320,720,303,1374,200
CHF17_RS02325,6,4,20,1
CHF17_RS02330,2,2,2,2
CHF17_RS02335,4257,4321,4130,4645
CHF17_RS02340,3017,3484,2906,3113
