,sczA_Zn1,sczA_Zn2,sczA_Zn3,sczA_Zn4
CHF17_RS06650,14492,16202,22161,20627
CHF17_RS06655,11014,10279,11892,11816
CHF17_RS06660,3135,2963,3859,3815
CHF17_RS06665,8024,9481,9366,7067
CHF17_RS06670,2453,3355,3018,2768
CHF17_RS06675,9269,11401,9857,9167
CHF17_RS06680,8660,12071,10181,7700
CHF17_RS06685,11451,16903,12939,9872
CHF17_RS06690,5942,4978,6213,6487
CHF17_RS06695,2103,2236,2282,2144
CHF17_RS06700,21056,24674,20295,20543
CHF17_RS06705,26473,21961,25517,26139
CHF17_RS06710,516,660,810,995
CHF17_RS06715,170,203,182,266
CHF17_RS06720,2604,2822,2753,2638
CHF17_RS06725,14939,24420,24852,25450
CHF17_RS06730,2297,2367,2204,2162
CHF17_RS06735,2070,2112,1861,1980
CHF17_RS06740,889,879,863,849
CHF17_RS06745,720,652,726,640
CHF17_RS06750,211,207,229,203
CHF17_RS06755,1635,1569,1786,1702
CHF17_RS06760,1603,1564,1738,1596
CHF17_RS06765,3137,2760,2953,2763
CHF17_RS06770,28707,31072,30615,28005
CHF17_RS06775,490,973,618,626
CHF17_RS06780,406,386,425,383
CHF17_RS06785,1024,945,1150,991
CHF17_RS06790,508,467,514,425
CHF17_RS06795,3978,3564,3873,3590
CHF17_RS06800,17566,19288,17938,17039
CHF17_RS06805,5895,7280,6055,5219
CHF17_RS06810,9266,12530,11058,8629
CHF17_RS06815,56651,50530,49215,63163
CHF17_RS06820,99130,89340,83784,104013
CHF17_RS06825,2652,3187,3369,2536
CHF17_RS06830,2483,2900,4138,4310
CHF17_RS06835,2618,3104,4526,4940
CHF17_RS06840,338,465,461,498
CHF17_RS06845,428,710,612,609
CHF17_RS06850,78,99,100,87
CHF17_RS06855,887,988,989,970
CHF17_RS06860,8962,9316,9453,9459
CHF17_RS06865,24233,25851,28884,23161
CHF17_RS06870,3082,3489,3610,2624
CHF17_RS06875,9203,9597,10821,9309
CHF17_RS06880,6821,7305,8465,7124
CHF17_RS06885,8890,9686,9394,8197
CHF17_RS06890,12498,12969,13058,11589
CHF17_RS06895,23053,26650,29065,28186
CHF17_RS06900,76316,95492,106785,96711
CHF17_RS06905,165457,193886,213673,196896
CHF17_RS06910,21426,25970,26914,22443
CHF17_RS06915,2107,2265,2258,1848
CHF17_RS06920,9053,9592,11138,10029
CHF17_RS06925,6142,6595,7762,6793
CHF17_RS06930,4121,4584,6064,5089
CHF17_RS06935,3079,3162,3767,3349
CHF17_RS06940,11658,12137,12447,11204
CHF17_RS06945,5642,6628,5911,5013
CHF17_RS06950,4655,5844,4593,3889
CHF17_RS06955,2767,2808,3161,2849
CHF17_RS06960,2107,2255,2497,2321
CHF17_RS06965,532,617,650,609
CHF17_RS06970,1654,1678,1690,1700
CHF17_RS06975,8530,8222,8660,7340
CHF17_RS06980,22377,23218,27845,18057
CHF17_RS06985,16623,17138,18432,18210
CHF17_RS06990,18631,22024,20434,18925
CHF17_RS06995,12254,12646,14446,12885
CHF17_RS07000,1986,2351,2465,2202
CHF17_RS07005,12018,13920,15325,13664
CHF17_RS07010,5556,7013,7211,6142
CHF17_RS07015,19867,20237,21738,17110
CHF17_RS07020,7588,7609,8228,6214
CHF17_RS07025,2236,2257,2528,1819
CHF17_RS07030,2541,2492,2383,2177
CHF17_RS07035,7735,13738,14830,15368
CHF17_RS07040,3025,5119,5087,4662
CHF17_RS07045,1694,2465,2388,2261
CHF17_RS07050,10252,12686,9365,8985
CHF17_RS07055,18054,26391,16386,16493
CHF17_RS07060,5843,6082,6564,6358
CHF17_RS07065,5151,5044,6008,5753
CHF17_RS07070,2420,2212,2850,2831
CHF17_RS07075,2320,2267,2566,2700
CHF17_RS07080,1042,1047,1072,1212
CHF17_RS07085,45,45,42,46
CHF17_RS07090,137,131,133,117
CHF17_RS07095,14403,15931,13841,12840
CHF17_RS07100,36495,32254,33506,38439
CHF17_RS07105,42942,44851,43422,49358
CHF17_RS07110,5819,9746,8575,10530
CHF17_RS07115,1015,2887,2157,2420
CHF17_RS07120,3551,10023,5868,6613
CHF17_RS07125,15322,14670,16338,17006
CHF17_RS07130,5732,6264,7761,6359
CHF17_RS07135,2379,2606,3046,2833
CHF17_RS07140,9279,10700,9419,9966
CHF17_RS07145,4520,5525,4459,4320
CHF17_RS07150,7770,9548,8280,7927
CHF17_RS07155,5627,7475,4466,5198
CHF17_RS07160,44526,40253,38112,39299
CHF17_RS07165,32373,31170,32776,34684
CHF17_RS07170,8764,14477,12533,8290
CHF17_RS07175,10050,12729,13220,11439
CHF17_RS07180,8970,9941,11009,10347
CHF17_RS07185,4429,3482,4852,4850
CHF17_RS07190,11147,13939,15210,11844
CHF17_RS07195,6389,6611,8480,7768
CHF17_RS07200,3004,2865,3693,3690
CHF17_RS07205,5486,4876,5961,6182
CHF17_RS07210,2720,2822,3490,3360
CHF17_RS07215,5707,5504,7643,6841
CHF17_RS07220,1494,1409,1918,1743
CHF17_RS07225,4661,4689,5480,4730
CHF17_RS07230,6044,5836,6550,5456
CHF17_RS07235,2814,3283,3060,2907
CHF17_RS07240,37682,37592,34713,33220
CHF17_RS07245,10687,9001,10931,10223
CHF17_RS07250,5404,6670,7750,6668
CHF17_RS07255,2000,3015,3182,2765
CHF17_RS07260,20331,23034,22069,18633
CHF17_RS07265,37093,39860,39809,33370
CHF17_RS07270,51652,42978,50106,47092
CHF17_RS07275,21550,18142,20119,20347
CHF17_RS07280,15286,15984,15148,14912
CHF17_RS07285,42747,43051,43398,42660
CHF17_RS07290,19664,18563,20802,18501
CHF17_RS07295,12478,13147,13704,11737
CHF17_RS07300,2413,3178,2286,2129
CHF17_RS07305,9556,10787,9464,7995
CHF17_RS07310,23613,28473,25693,22090
CHF17_RS07315,20180,18183,21217,21005
CHF17_RS07320,11228,14327,12844,11509
CHF17_RS07325,17767,11829,16370,16945
CHF17_RS07330,36925,27105,35025,34414
CHF17_RS07335,15702,12301,15426,15398
CHF17_RS07340,14455,11148,14497,15371
CHF17_RS07345,7926,8770,7661,7558
CHF17_RS07350,31066,24854,28269,30601
CHF17_RS07355,2598,2912,2655,2686
CHF17_RS07360,41481,44789,46046,45169
CHF17_RS07365,1469,1876,2525,2385
CHF17_RS07370,1610,2255,2325,2326
CHF17_RS07375,3902,4578,4961,4613
CHF17_RS07380,16079,15466,15481,19834
CHF17_RS07385,13267,13249,12414,15681
CHF17_RS07390,14859,13607,16634,15731
CHF17_RS07395,25018,25437,28480,26488
CHF17_RS07400,19174,18950,22528,21178
CHF17_RS07405,35535,35826,45330,44723
CHF17_RS07410,43482,46298,66741,61995
CHF17_RS07415,5416,5262,6436,4771
CHF17_RS07420,2348,1959,2942,1999
CHF17_RS07425,24062,21594,24506,22913
CHF17_RS07430,16305,14335,16342,13861
CHF17_RS07435,28156,23759,29502,25034
CHF17_RS07440,19182,15056,19607,17014
CHF17_RS07445,13897,11875,14898,13223
CHF17_RS07450,12608,11444,14352,12942
CHF17_RS07455,15657,14972,17578,15462
CHF17_RS07460,8673,9004,10455,9102
CHF17_RS07465,7016,7554,8749,7326
CHF17_RS07470,15051,14925,18233,16163
CHF17_RS07475,1485,1566,1895,1791
CHF17_RS07480,2765,3173,3407,3043
CHF17_RS07485,7241,8030,8665,7816
CHF17_RS07490,8984,10445,10554,9653
CHF17_RS07495,10041,8984,9947,9082
CHF17_RS07500,6506,5918,6877,5854
CHF17_RS07505,21658,20443,24545,19267
CHF17_RS07510,23748,21787,28467,22087
CHF17_RS07515,5594,5414,5937,5271
CHF17_RS07520,6703,7488,7499,6500
CHF17_RS07525,7272,4260,4967,7391
CHF17_RS07530,1500,1611,1548,1759
CHF17_RS07535,286,963,339,375
CHF17_RS07540,300,357,313,276
CHF17_RS07545,620,873,734,582
CHF17_RS07550,31441,30032,33695,23034
CHF17_RS07555,2854,2672,3184,2268
CHF17_RS07560,1603,1533,1696,1287
CHF17_RS07565,3163,3270,3648,3229
CHF17_RS07570,1173,1551,1655,1333
CHF17_RS07575,7817,8946,7747,8518
CHF17_RS07580,3345,4183,3455,3418
CHF17_RS07585,2623,3037,2571,2614
CHF17_RS07590,2333,2506,2413,2338
CHF17_RS07595,12049,13241,11812,12917
CHF17_RS07600,3130,2933,3949,3836
CHF17_RS07605,2352,1983,2414,2359
CHF17_RS07610,2652,2114,3137,2888
CHF17_RS07615,10236,8850,13068,12307
CHF17_RS07620,21434,26040,23547,17210
CHF17_RS07625,16259,25335,17403,19530
CHF17_RS07630,214664,224614,216676,208354
CHF17_RS07635,110211,113792,108671,102339
CHF17_RS07640,1071,1587,1137,1177
CHF17_RS07645,1231,1363,1311,1417
CHF17_RS07650,19734,27869,23742,23208
CHF17_RS07655,1213,1811,1497,1485
CHF17_RS07660,2952,3515,3523,3360
CHF17_RS07665,5548,7410,6014,5187
CHF17_RS07670,5275,5355,6486,3688
CHF17_RS07675,708,843,1151,1123
CHF17_RS07680,1145,816,1055,936
CHF17_RS07685,18049,18564,18151,12506
CHF17_RS07690,1921,2445,3285,2962
CHF17_RS07695,6745,5273,7507,5908
CHF17_RS07700,3391,3577,3727,3610
CHF17_RS07705,19768,16388,19223,19551
CHF17_RS07710,2942,3825,3723,3029
CHF17_RS07715,12187,17557,17811,13731
CHF17_RS07720,8921,6987,8324,8993
CHF17_RS07725,2494,2574,2854,2789
CHF17_RS07730,11045,10068,11585,11114
CHF17_RS07735,3667,4101,3318,3545
CHF17_RS07740,1518,2254,1473,1518
CHF17_RS07745,1296,1345,1443,1149
CHF17_RS07750,2820,2696,2980,2407
CHF17_RS07755,1897,1616,2104,1811
CHF17_RS07760,2065,1527,2201,1679
CHF17_RS07765,198,193,192,176
CHF17_RS07770,177,215,165,184
CHF17_RS07775,153,251,188,206
CHF17_RS07780,70,128,79,85
CHF17_RS07785,222,480,298,286
CHF17_RS07790,408,956,496,485
CHF17_RS07795,157,409,191,167
CHF17_RS07800,8724,9784,8474,8012
CHF17_RS07805,16640,21298,17910,16538
CHF17_RS07810,5579,7432,5740,5044
CHF17_RS07815,11314,13466,11393,10304
CHF17_RS07820,3664,3606,3681,3139
CHF17_RS07825,110,121,106,106
CHF17_RS07830,2227,2098,2336,2153
CHF17_RS07835,7659,8492,8093,8106
CHF17_RS07840,17922,17269,17640,20343
CHF17_RS07845,21811,19238,21614,19376
CHF17_RS07850,2663,2118,2446,2508
CHF17_RS07855,5995,5575,5974,6002
CHF17_RS07860,9204,11171,10909,9222
CHF17_RS07865,21220,23179,23263,21646
CHF17_RS07870,22220,24649,23884,22680
CHF17_RS07875,2367,1708,3650,2882
CHF17_RS07880,2625,1996,3958,3528
CHF17_RS07885,2735,1930,3791,3261
CHF17_RS07890,3936,2665,5177,4519
CHF17_RS07895,5205,3165,6069,5294
CHF17_RS07900,72234,61452,66103,77968
CHF17_RS07905,63910,59301,62604,70081
CHF17_RS07910,838,1003,1361,1339
CHF17_RS07915,3540,3084,4153,4086
CHF17_RS07920,2042,1968,2799,2795
CHF17_RS07925,5577,5630,6599,5108
CHF17_RS07930,2720,2411,2419,2065
CHF17_RS07935,3265,2881,4097,3877
CHF17_RS07940,6366,7076,6668,6289
CHF17_RS07945,24589,29345,29174,24108
CHF17_RS07950,8044,10265,9510,8834
CHF17_RS07955,89768,75806,83723,84165
CHF17_RS07960,57311,56401,59597,57579
CHF17_RS07965,132609,104553,117978,133856
CHF17_RS07970,5816,6354,6049,5909
CHF17_RS07975,3534,4924,4120,4038
CHF17_RS07980,691,1130,1008,921
CHF17_RS07985,2694,4309,4572,3802
CHF17_RS07990,3643,6824,6792,6570
CHF17_RS07995,269,397,330,287
CHF17_RS08000,352,510,483,393
CHF17_RS08005,8180,8924,9621,8643
CHF17_RS08010,2790,3391,3085,2649
CHF17_RS08015,1662,2174,1977,1540
CHF17_RS08020,2315,2983,2691,2150
CHF17_RS08025,615,790,804,700
CHF17_RS08030,579,934,657,570
CHF17_RS08035,1050,1620,1215,1096
CHF17_RS08040,451,482,407,457
CHF17_RS08045,1020,1046,977,1310
CHF17_RS08050,2560,2446,2746,2992
CHF17_RS08055,1134,961,1175,1256
CHF17_RS08060,565,480,567,607
CHF17_RS08065,533,487,531,583
CHF17_RS08070,24422,22771,22736,26216
CHF17_RS08075,44708,43009,43890,42724
CHF17_RS08080,4266,4055,4747,4640
CHF17_RS08085,1075,1171,1127,1174
CHF17_RS08090,97,99,104,113
CHF17_RS08095,15579,13506,15243,13578
CHF17_RS08100,17529,16746,17829,15371
CHF17_RS08105,21878,20160,22474,20453
CHF17_RS08110,5244,5807,5350,4689
CHF17_RS08115,4273,5083,5008,4351
CHF17_RS08120,20828,19151,23604,23986
CHF17_RS08125,8920,8731,10890,9867
CHF17_RS08130,12836,11461,14809,14529
CHF17_RS08135,1622,1339,1596,1724
CHF17_RS08140,445,376,419,455
CHF17_RS08145,756,659,611,715
CHF17_RS08150,15186,19152,15983,15353
CHF17_RS08155,4006,5795,4207,4025
CHF17_RS08160,11024,15972,11471,11463
CHF17_RS08165,7424,10997,8064,8548
CHF17_RS08170,814,975,1325,1302
CHF17_RS08175,137,165,209,247
CHF17_RS08180,72,106,105,161
CHF17_RS08185,66,104,134,178
CHF17_RS08190,92,143,190,245
CHF17_RS08195,103,177,172,171
CHF17_RS08200,2417,2748,2490,2555
CHF17_RS08205,1425,1375,1157,1338
CHF17_RS08210,14795,18867,16507,15445
CHF17_RS08215,9998,9547,10075,9651
CHF17_RS08220,8640,9304,9423,6826
CHF17_RS08225,1528,1554,1562,1586
CHF17_RS08230,12116,13434,11785,13176
CHF17_RS08235,28379,26269,30361,26454
CHF17_RS08240,35558,32502,36837,33928
CHF17_RS08245,4022,4152,4743,4912
CHF17_RS08250,8703,10721,12803,12929
CHF17_RS08255,4958,6263,7943,7979
CHF17_RS08260,6373,7249,9893,10110
CHF17_RS08265,6071,6991,8581,9033
CHF17_RS08270,5987,6943,8563,9011
CHF17_RS08275,4365,5207,6251,6262
CHF17_RS08280,8461,10595,10852,10907
CHF17_RS08285,7846,10452,9691,9313
CHF17_RS08290,2875,3604,3012,3085
CHF17_RS08295,179,194,212,196
CHF17_RS08300,1816,2511,2078,1937
CHF17_RS08305,23123,26913,24533,21129
CHF17_RS08310,21442,28298,24548,18910
CHF17_RS08315,26868,33858,30560,24730
CHF17_RS08320,757,1421,1225,1098
CHF17_RS08325,22060,20851,21697,21263
CHF17_RS08330,12067,9797,11055,9601
CHF17_RS08335,13102,11322,12141,10113
CHF17_RS08340,2175,2314,2590,1928
CHF17_RS08345,7213,7143,7579,7258
CHF17_RS08350,45253,45168,50396,44022
CHF17_RS08355,4241,4812,5912,4627
CHF17_RS08360,14966,15850,18512,16405
CHF17_RS08365,8706,9028,10152,8989
CHF17_RS08370,531,701,737,647
CHF17_RS08375,39896,49835,42899,39679
CHF17_RS08380,17272,19494,20862,17863
CHF17_RS08385,6449,8523,8532,6734
CHF17_RS08390,8286,10764,10421,8513
CHF17_RS08395,2245,3034,2589,2271
CHF17_RS08400,49120,53234,51200,46157
CHF17_RS08405,54791,59516,55886,51373
CHF17_RS08410,3373,5918,3579,3043
CHF17_RS08415,37830,33588,35981,39012
CHF17_RS08420,29708,26553,30963,32208
CHF17_RS08425,3644,3761,4226,3734
CHF17_RS08430,13208,15292,15990,13405
CHF17_RS08435,6912,8198,8407,6794
CHF17_RS08440,14645,15300,14616,14187
CHF17_RS08445,22922,26283,23414,22901
CHF17_RS08450,7168,7072,6953,7328
CHF17_RS08455,30904,25157,31256,32914
CHF17_RS08460,12352,12648,14158,14237
CHF17_RS08465,387,446,353,434
CHF17_RS08470,7701,6901,7943,8221
CHF17_RS08475,10520,10963,11515,10850
CHF17_RS08480,7858,7997,8780,8114
CHF17_RS08485,5253,5596,5420,5289
CHF17_RS08490,10897,10798,10691,10770
CHF17_RS08495,5100,5504,5138,4690
CHF17_RS08500,59,87,76,77
CHF17_RS08505,7954,6939,8128,8228
CHF17_RS08510,932,1146,973,974
CHF17_RS08515,1840,1582,1520,1363
CHF17_RS08520,5780,5712,5826,5508
CHF17_RS08525,162,168,176,161
CHF17_RS08530,379,359,421,337
CHF17_RS08535,237,215,267,235
CHF17_RS08540,2611,2855,3016,2847
CHF17_RS08545,1367,1333,1434,1405
CHF17_RS08550,242,222,328,280
CHF17_RS08555,1115,1664,1634,1525
CHF17_RS08560,441,1100,784,729
CHF17_RS08565,354,1014,559,564
CHF17_RS08570,794,1929,1296,1180
CHF17_RS08575,4230,5333,4303,4305
CHF17_RS08580,2487,2605,2703,2436
CHF17_RS08585,4092,3816,4761,4265
CHF17_RS08590,954,856,1185,1073
CHF17_RS08595,2372,2215,2748,2658
CHF17_RS08600,2472,3026,2673,2806
CHF17_RS08605,8439,10033,8948,8514
CHF17_RS08610,9251,9548,10501,9812
CHF17_RS08615,11657,12986,14187,12498
CHF17_RS08620,3736,4607,5020,3956
CHF17_RS08625,9099,11429,13462,10644
CHF17_RS08630,3077,3361,4068,3845
CHF17_RS08635,2687,3363,3030,3453
CHF17_RS08640,31557,35427,39864,35994
CHF17_RS08645,20732,27008,29121,24682
CHF17_RS08650,3490,4747,4898,4345
CHF17_RS08655,192,451,285,411
CHF17_RS08660,159,450,169,204
CHF17_RS08665,293,661,298,394
CHF17_RS08670,1012,1661,1302,924
CHF17_RS08675,4387,5231,4563,4776
CHF17_RS08680,42319,39162,39644,42742
CHF17_RS08685,36121,37907,36679,37198
CHF17_RS08690,2556,2845,2459,2602
CHF17_RS08695,9924,8952,9648,9499
CHF17_RS08700,1504,2337,2602,2364
CHF17_RS08705,1352,1286,1438,1500
CHF17_RS08710,4334,5946,5450,4494
CHF17_RS08715,20187,22392,23496,17752
CHF17_RS08720,128803,129826,158740,128242
CHF17_RS08725,5286,7066,9729,9088
CHF17_RS08730,756,1120,1243,1288
CHF17_RS08735,4971,6795,7771,7704
CHF17_RS08740,98514,106000,112930,92265
CHF17_RS08745,7683,7527,9050,8327
CHF17_RS08750,154,157,191,219
CHF17_RS08755,505,516,610,612
CHF17_RS08760,3494,3227,4226,3698
CHF17_RS08765,3854,3857,5013,4107
CHF17_RS08770,14898,14125,12791,13815
CHF17_RS08775,21779,21666,20590,21444
CHF17_RS08780,26660,25584,26162,26752
CHF17_RS08785,1673,1734,1840,1541
CHF17_RS08790,2425,2284,2682,1850
CHF17_RS08795,2264,2224,2502,1795
CHF17_RS08800,454,522,457,341
CHF17_RS08805,1486,1371,1478,1219
CHF17_RS08810,1707,1723,1775,1362
CHF17_RS08815,2544,2391,2495,1885
CHF17_RS08820,693,731,718,545
CHF17_RS08825,1618,1501,1707,1429
CHF17_RS08830,1783,2125,1877,1635
CHF17_RS08835,8368,8837,9388,7202
CHF17_RS08840,997,1132,1017,943
CHF17_RS08845,1201,1661,1472,1209
CHF17_RS08850,12,23,17,19
CHF17_RS08855,5739,9493,11930,11084
CHF17_RS08860,8563,8428,9196,9383
CHF17_RS08865,12496,12751,13717,13250
CHF17_RS08870,28280,23412,22044,27968
CHF17_RS08875,99318,94100,90486,111217
CHF17_RS08880,42721,41912,38542,46777
CHF17_RS08885,3677,4050,3958,3393
CHF17_RS08890,1848,2609,2350,1848
CHF17_RS08895,3555,4570,3284,3181
CHF17_RS08900,3498,4180,4496,4034
CHF17_RS08905,9935,13148,13324,11521
CHF17_RS08910,5628,6638,5666,5434
CHF17_RS08915,3490,4589,3569,3360
CHF17_RS08920,10006,10516,10991,10356
CHF17_RS08925,4911,6077,5391,5184
CHF17_RS08930,7627,9012,8879,7187
CHF17_RS08935,15328,19721,14251,17191
CHF17_RS08940,8603,12003,9185,9493
CHF17_RS08945,17034,20100,16536,21512
CHF17_RS08950,680,1221,784,894
CHF17_RS08955,15749,12673,14686,13255
CHF17_RS08960,13113,10704,12128,11203
CHF17_RS08965,7403,6109,7388,8237
CHF17_RS08970,16212,16029,15234,18307
CHF17_RS08975,645,473,645,687
CHF17_RS08980,695,648,701,650
CHF17_RS08985,3434,4134,3858,3812
CHF17_RS08990,15394,18504,21808,20927
CHF17_RS08995,3827,3839,4699,4526
CHF17_RS09000,19176,20526,22473,19315
CHF17_RS09005,14570,13221,17721,12974
CHF17_RS09010,15059,13708,18408,14264
CHF17_RS09015,24035,21408,29230,23534
CHF17_RS09020,22441,21111,29176,20882
CHF17_RS09025,18646,18252,23168,16047
CHF17_RS09030,19168,17183,21149,15386
CHF17_RS09035,599,692,752,532
CHF17_RS09040,216,255,227,200
CHF17_RS09045,53,46,51,42
CHF17_RS09050,1498,1904,1247,1598
CHF17_RS09055,9335,7992,9653,8767
CHF17_RS09060,2306,2292,2310,2287
CHF17_RS09065,789,810,775,767
CHF17_RS09070,5940,4738,5900,6882
CHF17_RS09075,8616,10257,11175,7238
CHF17_RS09080,2266,3532,2964,2562
CHF17_RS09085,780,966,879,976
CHF17_RS09090,859,1041,876,892
CHF17_RS09095,3413,3523,3452,3382
CHF17_RS09100,5080,5941,6872,5363
CHF17_RS09105,2634,3177,3571,2762
CHF17_RS09110,5075,5218,6350,5452
CHF17_RS09115,4259,3827,4737,4903
CHF17_RS09120,115568,116254,126999,113395
CHF17_RS09125,2209,3465,3112,3028
CHF17_RS09130,146394,159411,166974,150125
CHF17_RS09135,33991,39545,43155,34122
CHF17_RS09140,1642,2193,1863,1854
CHF17_RS09145,98676,99764,96385,86461
CHF17_RS09150,3997,4736,4308,3940
CHF17_RS09155,451471,426188,445629,455626
CHF17_RS09160,249472,276125,303478,267108
CHF17_RS09165,48106,48968,53020,54539
CHF17_RS09170,66592,71359,72562,74899
CHF17_RS09175,22630,25796,24015,23143
CHF17_RS09180,11593,13508,15247,11095
CHF17_RS09185,10958,13068,15780,13751
CHF17_RS09190,4485,5797,6639,6070
CHF17_RS09195,11639,15261,14277,12917
CHF17_RS09200,16270,22503,20010,17561
CHF17_RS09205,7793,8006,8165,7872
CHF17_RS09210,10342,10707,11313,10828
CHF17_RS09215,3595,4524,4035,3237
CHF17_RS09220,2830,3383,3654,2756
CHF17_RS09225,3772,3864,4424,3175
CHF17_RS09230,2207,2107,2336,2339
CHF17_RS09235,3221,3189,3465,3079
CHF17_RS09240,7487,7743,8737,7140
CHF17_RS09245,1532,1835,1698,1475
CHF17_RS09250,152459,158652,167404,146170
CHF17_RS09255,22290,22926,24745,20866
CHF17_RS09260,128652,127107,141893,112919
CHF17_RS09265,152792,161283,179904,145588
CHF17_RS09270,9947,12391,10923,9827
CHF17_RS09275,93943,114952,103724,94687
CHF17_RS09280,56798,77124,62357,58736
CHF17_RS09285,5463,4984,6246,8177
CHF17_RS09290,8672,7725,8587,9229
CHF17_RS09295,885,1086,1479,1408
CHF17_RS09300,2270,5294,4046,3201
CHF17_RS09305,1162,4436,2318,1664
CHF17_RS09310,7,40,25,13
CHF17_RS09315,268,302,371,382
CHF17_RS09320,304,291,319,353
CHF17_RS09325,2825,3790,2725,3142
CHF17_RS09330,87,79,95,115
CHF17_RS09335,143,152,233,244
CHF17_RS09340,100,117,170,155
CHF17_RS09345,152,175,253,249
CHF17_RS09350,427,457,470,507
CHF17_RS09355,343,345,378,346
CHF17_RS09360,1990,2526,1915,2200
CHF17_RS09365,56,49,66,67
CHF17_RS09370,35,45,66,41
CHF17_RS09375,36,54,69,69
CHF17_RS09380,14,20,21,18
CHF17_RS09385,9,16,18,18
CHF17_RS09390,14,26,16,13
CHF17_RS09395,76,218,113,98
CHF17_RS09400,14777,12843,14158,15136
CHF17_RS09405,8009,8174,7604,8163
CHF17_RS09410,47765,44080,48490,49689
CHF17_RS09415,4785,4119,4533,4668
CHF17_RS09420,4851,4532,4774,4973
CHF17_RS09425,11542,15039,18522,15777
CHF17_RS09430,4173,4176,4710,4090
CHF17_RS09435,8213,8897,10504,7405
CHF17_RS09440,6358,5547,6832,6586
CHF17_RS09445,12416,12100,13346,13036
CHF17_RS09450,9647,9343,10275,9704
CHF17_RS09455,9502,9133,9686,9552
CHF17_RS09460,24955,35235,33631,25820
CHF17_RS09465,3061,5064,3830,3420
CHF17_RS09470,3124,2796,2478,2916
CHF17_RS09475,78202,72713,72562,79789
CHF17_RS09480,109795,102163,99676,113417
CHF17_RS09485,27344,28931,39976,27476
CHF17_RS09490,115364,138426,175159,112921
CHF17_RS09495,638,1450,1202,702
CHF17_RS09500,9668,13168,11072,10831
CHF17_RS09505,1016,1739,1119,1093
CHF17_RS09510,7244,7080,8097,7403
CHF17_RS09515,20917,25119,22941,19706
CHF17_RS09520,7649,7527,8615,6849
CHF17_RS09525,6713,7832,7360,7901
CHF17_RS09530,657,933,887,912
CHF17_RS09535,7102,6598,7771,7625
CHF17_RS09540,16584,13727,16901,17311
CHF17_RS09545,6738,9188,6817,6489
CHF17_RS09550,397,548,597,521
CHF17_RS09555,38,58,73,79
CHF17_RS09560,35,59,66,99
CHF17_RS09565,9,14,25,25
CHF17_RS09570,34,59,87,85
CHF17_RS09575,22,29,37,39
CHF17_RS09580,180,682,237,244
CHF17_RS09585,111,301,156,123
CHF17_RS09590,217,457,304,320
CHF17_RS09595,235,300,299,265
CHF17_RS09600,6518,21543,6982,8530
CHF17_RS09605,7360,6718,7583,6383
CHF17_RS09610,2618,2602,2712,2891
CHF17_RS09615,37541,37558,45319,42894
CHF17_RS09620,3446,3040,3964,3910
CHF17_RS09625,32088,33244,36830,36121
CHF17_RS09630,12394,13358,16420,16829
CHF17_RS09635,4164,4598,5790,5995
CHF17_RS09640,5689,6969,7398,7352
CHF17_RS09645,51101,43488,46181,51403
CHF17_RS09650,7943,8938,8501,8859
CHF17_RS09655,44,68,84,91
CHF17_RS09660,90,211,175,176
CHF17_RS09665,179,307,274,277
CHF17_RS09670,3451,3790,3931,3679
CHF17_RS09675,1881,2072,1885,1877
CHF17_RS09680,12461,13953,14081,14096
CHF17_RS09685,963,1311,1469,1285
CHF17_RS09690,9061,9176,9150,9934
CHF17_RS09695,2883,3263,2878,3360
CHF17_RS09700,1404,1278,1869,1843
CHF17_RS09705,749,780,1135,1144
CHF17_RS09710,937,893,1253,1358
CHF17_RS09715,2489,2160,3177,3054
CHF17_RS09720,90,142,133,120
CHF17_RS09725,35,51,56,28
CHF17_RS09730,4136,3666,3935,3629
CHF17_RS09735,86,110,104,115
CHF17_RS09740,133,110,145,151
CHF17_RS09745,567,603,595,529
CHF17_RS09750,1699,2594,1827,1968
CHF17_RS09755,322,445,408,355
CHF17_RS09760,256,263,327,305
CHF17_RS09765,2784,3073,2989,2743
CHF17_RS09770,13066,15978,16197,11898
CHF17_RS09775,944,1423,1663,1597
CHF17_RS09780,2335,1643,2414,2534
CHF17_RS09785,10615,9203,10436,10847
CHF17_RS09790,6937,6438,6966,7338
CHF17_RS09795,3063,3000,3307,3062
CHF17_RS09800,2630,2560,2681,2297
CHF17_RS09805,3785,3681,3855,3173
CHF17_RS09810,93,119,170,157
CHF17_RS09815,63,97,109,120
CHF17_RS09820,58,73,74,67
CHF17_RS09825,46,52,44,40
CHF17_RS09830,2842,4032,2525,4160
CHF17_RS09835,160,180,152,207
CHF17_RS09840,10800,10393,10972,12951
CHF17_RS09845,6441,6640,6847,7985
CHF17_RS09850,833,1015,861,940
CHF17_RS09855,1658,1611,1877,1828
CHF17_RS09860,12363,14901,12726,13643
CHF17_RS09865,5990,7967,5798,6732
CHF17_RS09870,214,337,206,239
CHF17_RS09875,492,584,668,614
CHF17_RS09880,808,1154,1307,1062
CHF17_RS09885,8717,10164,10137,8037
CHF17_RS09890,2178,2770,2292,1883
CHF17_RS09895,284,536,343,315
CHF17_RS09900,138,316,164,132
CHF17_RS09905,166,718,185,206
CHF17_RS09910,104,859,163,176
CHF17_RS09915,183,1271,256,274
CHF17_RS09920,2477,2827,3901,4432
CHF17_RS09925,1854,2352,3607,4238
CHF17_RS09930,967,1447,2685,3313
