gene_name,A909_CDM.1,A909_CDM.2,A909_CDM.3,A909.1,A909.2,A909.3,dsaeR_CDM.1,dsaeR_CDM.2,dsaeR_CDM.3,dsaeR_THY.1,dsaeR_THY.2,dsaeR.1,dsaeR.2,dsaeR.3
SAK_RS08465,477,1064,851,17,11,0,1771,608,581,535,574,7,25,13
SAK_RS08470,406,544,359,60,19,1,867,301,301,397,451,104,144,52
SAK_RS08475,246,412,268,5,5,0,728,262,284,134,149,22,19,10
SAK_RS08480,173,279,213,9,1,0,381,192,241,95,101,8,15,8
SAK_RS08485,818,1044,1237,32,20,1,5290,1000,855,1187,1316,21,51,40
SAK_RS08490,963,752,1052,5,5,1,785,245,260,390,355,6,12,2
SAK_RS08495,5216,4891,4464,33,44,1,4352,1249,1222,1310,1167,61,159,36
SAK_RS08500,6910,5347,5135,25,52,6,5620,1698,1739,1904,2085,35,155,37
SAK_RS08505,518,915,716,64,168,2,1052,582,460,1418,1233,69,270,91
SAK_RS08510,1222,912,640,2,12,0,703,307,261,154,121,20,37,6
SAK_RS00090,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAK_RS00855,18,17,13,0,1,0,42,6,11,4,7,0,2,0
SAK_RS08515,242,542,455,15,11,0,912,202,160,228,291,10,38,7
SAK_RS08520,247,217,181,3,3,0,297,96,96,134,138,7,9,2
SAK_RS08525,725,660,560,31,21,2,607,306,272,700,729,14,48,13
SAK_RS08530,3276,3250,2629,37,34,103,4283,1159,1097,1383,1449,40,69,36
SAK_RS08535,26500,18631,16972,183,134,6,31621,6447,6064,5011,5533,250,491,156
SAK_RS08540,1889,1477,1240,22,24,0,2868,683,657,495,568,51,78,26
SAK_RS08545,762,691,530,10,5,0,1344,390,389,256,256,10,24,4
SAK_RS08550,1887,1909,1434,13,21,2,2587,650,673,403,440,37,57,21
SAK_RS08555,16349,13986,11257,193,163,67,16825,5197,4744,3591,3817,370,559,185
SAK_RS08560,1295,1846,1575,13,28,2,1176,493,577,610,652,19,44,13
SAK_RS00860,233,272,247,3,4,0,418,107,98,170,194,10,11,6
SAK_RS08565,81,124,37,4,3,1,61,22,18,26,24,1,10,2
SAK_RS08570,534,644,274,117,38,9,153,138,99,135,185,31,173,22
SAK_RS08575,331,372,249,31,13,2,997,175,165,82,102,31,65,12
SAK_RS08580,251,312,214,34,14,3,744,106,112,65,90,14,68,11
SAK_RS08585,2599,2157,1921,15,35,4,1575,895,875,1140,832,56,136,43
SAK_RS08590,3270,2927,2589,37,52,4,1877,582,636,738,575,51,153,31
SAK_RS08595,3915,3226,2585,40,56,29,2721,917,925,928,906,59,174,40
SAK_RS08600,194,175,185,1,5,2,382,84,106,113,96,7,14,3
SAK_RS08605,95,134,101,0,2,0,162,44,43,38,26,0,11,2
SAK_RS08610,18,152,47,0,3,0,11,4,7,8,2,0,5,1
SAK_RS00865,422,471,459,6,9,0,393,120,127,215,200,15,30,15
SAK_RS08615,240,311,264,14,10,0,648,253,175,277,311,17,23,9
SAK_RS08620,479,841,712,23,15,1,1356,518,430,589,694,22,46,14
SAK_RS08625,576,472,320,1,7,0,783,205,207,777,762,8,11,4
SAK_RS08630,948,688,690,9,5,0,1646,396,369,1334,1486,21,21,6
SAK_RS08635,5145,5178,4623,30,30,6,9703,2779,2396,2454,3225,45,83,42
SAK_RS08640,1628,1891,1528,10,22,0,1454,447,422,485,498,30,46,13
SAK_RS08645,2582,2830,2407,23,22,2,2802,554,604,530,537,15,83,20
SAK_RS08650,16647,16648,13760,74,241,254,10203,3587,3244,3068,2319,150,451,119
SAK_RS08655,32175,30162,25843,197,283,13,26371,9360,8483,7792,6796,178,611,171
SAK_RS08660,11893,10799,8253,18,137,127,5519,1496,1827,1592,1370,78,243,68
SAK_RS00870,73,89,55,11,8,0,245,60,46,100,119,55,52,31
SAK_RS08665,553,674,582,15,9,15,1436,268,281,221,254,21,28,11
SAK_RS08670,91,102,71,137,54,3,176,38,45,38,46,3,586,11
SAK_RS08675,2310,2060,1658,33,13,48,758,498,617,820,530,18,46,14
SAK_RS08680,672,644,560,6,18,31,455,120,101,119,116,13,21,8
SAK_RS08685,2766,2427,2172,54,39,165,4338,1035,932,1132,1287,67,127,48
SAK_RS08690,878,918,844,0,7,0,177,150,162,150,128,22,11,8
SAK_RS08695,566,486,382,2,5,0,222,129,127,174,134,9,12,5
