GeneID,CovS-LP1,CovS+LP1,CovS-SP1,CovS+SP1,CovS-LP2,CovS+LP2,CovS-SP2,CovS+SP2
FE90_1267,3449,6295,815,2389,5307,5757,1151,1472
FE90_1268,2238,4073,450,1830,3702,3883,615,992
FE90_1269,1919,4367,357,1490,3237,4229,568,836
FE90_1270,4951,13238,1783,7020,8392,12356,2368,4088
FE90_1271,8,2,2,3,7,4,2,0
FE90_1272,380,577,166,231,625,494,209,177
FE90_1273,1292,1711,587,687,2438,1557,822,430
FE90_1274,2045,2817,751,1790,3618,2602,1024,820
FE90_1275,1823,2399,898,1478,2451,2074,1220,1068
FE90_1276,2008,2699,1219,1872,3149,2591,1638,1143
FE90_1277,2016,2446,1434,1727,2932,2261,1973,1243
FE90_1278,1573,1818,1302,1226,2061,1686,1826,995
FE90_1279,232,330,95,134,313,270,134,97
FE90_1280,854,1065,387,587,1318,984,486,369
FE90_1281,778,897,466,457,1071,812,619,397
FE90_1282,497,773,606,575,703,649,698,530
FE90_1283,1227,1446,1213,1348,1514,1281,1535,1272
FE90_1284,710,1105,210,335,1142,953,251,196
FE90_1285,707,898,198,312,1008,892,292,149
FE90_1286,11,11,11,6,25,3,12,3
FE90_1287,18700,23390,14072,12198,28332,20204,18232,10416
FE90_1288,25520,32218,7026,11640,32530,29429,9736,9019
FE90_1289,5851,6387,659,1192,7048,5421,816,754
FE90_1290,5784,6290,666,1368,9087,5888,833,790
FE90_1291,11186,16493,5703,8438,18079,15042,8180,6042
FE90_1292,870,1415,523,669,1482,1463,628,524
FE90_1293,1161,1799,1014,1301,1762,1576,1502,1092
FE90_1294,1734,2286,1915,2224,2671,2033,2773,1862
FE90_1295,806,1061,917,1144,1271,966,1219,941
FE90_1296,828,1063,1188,1033,1253,1082,1554,1189
FE90_1297,743,969,882,792,1085,1052,1327,902
FE90_1298,634,740,290,718,1027,723,423,402
FE90_1299,543,624,261,607,836,663,323,466
FE90_1300,439,530,273,577,546,530,336,339
FE90_1301,370,440,345,555,544,362,409,356
FE90_1302,207,127,369,1008,303,123,697,665
FE90_1303,186,118,503,1028,280,129,807,636
FE90_1304,221,138,667,909,278,132,1113,699
FE90_1305,175,112,715,842,256,126,1161,643
FE90_1306,297,228,1613,1134,404,315,2086,1144
FE90_1307,530,753,2990,2432,949,1087,3944,2378
FE90_1308,373,851,2036,1556,806,1024,2546,1561
FE90_1309,892,1753,254,291,1160,1726,345,245
FE90_1310,73,115,25,23,69,100,50,20
FE90_1311,1873,2505,627,1135,2712,2094,1015,821
FE90_1312,2131,2526,770,969,2936,2247,1111,809
FE90_1313,488,717,177,189,768,649,244,165
FE90_1314,371,432,123,150,603,414,184,89
FE90_1315,434,507,157,189,724,508,245,112
FE90_1316,339,371,118,124,634,381,182,86
FE90_1317,3364,5161,1918,2765,4303,4554,2649,2344
FE90_1318,1,6,9,7,2,1,3,6
FE90_1319,622,1304,1022,2120,672,1340,1351,2168
FE90_1320,519,510,168,132,698,492,181,100
FE90_1321,641,859,240,229,890,822,378,197
FE90_1322,422,417,150,142,536,377,199,111
FE90_1323,686,741,309,475,928,680,368,332
FE90_1324,4031,6298,1955,5992,6110,5387,2742,3760
FE90_1325,5042,6858,2367,6789,7336,6400,3135,4371
FE90_1326,2080,2357,843,1720,2913,2244,1067,1294
FE90_1327,12,1,12,0,21,2,17,3
FE90_1328,1410,2016,490,955,2236,1853,588,802
FE90_1329,1181,1890,441,790,1717,1738,512,573
FE90_1330,395,380,144,266,588,304,182,167
FE90_1331,12,10,7,6,13,5,10,2
FE90_1332,13,17,23,15,53,17,13,13
FE90_1333,875,706,452,420,1366,536,543,282
FE90_1334,2567,4348,916,2049,3882,4305,1239,1513
FE90_1335,32,9,15,13,49,8,17,10
FE90_1336,154,126,92,37,212,102,124,45
FE90_1337,71,58,19,24,82,35,25,15
