gene,X1_1_ATCACG_L006_R1.fastq.gz,X1_2_CGATGT_L006_R1.fastq.gz,X1_4_TTAGGC_L006_R1.fastq.gz,X2_2_ACAGTG_L006_R1.fastq.gz,X2_4_GCCAAT_L006_R1.fastq.gz,X3_2_CAGATC_L006_R1.fastq.gz,X3_3_ACTTGA_L006_R1.fastq.gz,X3_5_GATCAG_L006_R1.fastq.gz,X4_1_TAGCTT_L006_R1.fastq.gz,X4_2_GGCTAC_L006_R1.fastq.gz,X4_4_CTTGTA_L006_R1.fastq.gz
Inter.NC_008533.1.164329.164429,44,69,55,59,49,36,48,38,36,41,26
Inter.NC_008533.1.521821.521921,0,0,0,1,0,0,0,1,0,0,0
Inter.NC_008533.1.1041989.1042089,6,4,7,3,5,4,4,3,3,5,0
Inter.NC_008533.1.1308982.1309082,1,0,1,0,1,0,0,0,0,1,0
Inter.NC_008533.1.175560.175660,0,0,1,1,0,1,0,0,0,1,0
Inter.NC_008533.0.1274327.1274427,0,4,5,0,0,1,0,0,1,0,1
Inter.NC_008533.1.620324.620424,0,1,0,0,0,0,1,0,0,0,0
Inter.NC_008533.1.1796750.1796850,1,0,0,0,1,0,1,1,1,0,0
Inter.NC_008533.0.433082.433182,0,0,1,0,0,1,0,1,0,0,0
Inter.NC_008533.1.270779.270879,0,0,1,0,0,1,1,2,3,1,1
Inter.NC_008533.1.995957.996057,25,35,41,43,25,33,30,27,34,28,21
Inter.NC_008533.0.1382076.1382176,3,11,6,8,7,9,5,9,9,8,6
Inter.NC_008533.0.806626.806726,104,81,128,56,32,30,70,44,57,89,33
ABJ54231.1,704,751,886,752,669,630,878,708,747,588,620
Inter.NC_008533.1.1003017.1003117,0,0,0,0,1,0,0,1,0,1,0
Inter.NC_008533.1.820902.821002,0,0,0,0,0,0,0,0,0,0,1
Inter.NC_008533.1.1584955.1585055,2,1,0,0,0,0,0,1,0,1,0
Inter.NC_008533.1.129689.129789,0,0,0,1,0,0,0,0,0,1,0
Inter.NC_008533.0.1388059.1388159,0,0,0,0,0,1,0,0,0,0,0
Inter.NC_008533.1.2017989.2018089,25,14,22,29,19,19,23,16,12,17,20
Inter.NC_008533.1.853642.853742,0,0,0,0,0,0,1,0,2,0,0
Inter.NC_008533.1.269379.269479,2,1,2,2,5,0,2,0,3,2,1
Inter.NC_008533.0.1202179.1202279,0,0,1,1,1,1,0,0,1,0,0
Inter.NC_008533.1.1152836.1152936,0,0,1,0,0,0,0,0,0,0,0
Inter.NC_008533.1.364681.364781,0,0,1,0,0,0,0,0,0,0,0
Inter.NC_008533.1.11000.11100,1,3,1,0,2,1,1,3,1,0,0
Inter.NC_008533.0.1316597.1316697,0,1,4,3,3,2,2,1,2,2,3
Inter.NC_008533.0.1142031.1142131,0,0,0,0,0,0,0,0,0,0,1
Inter.NC_008533.1.82225.82325,0,0,0,0,0,0,0,0,0,0,1
Inter.NC_008533.1.1112319.1112419,7,10,18,9,7,9,6,13,6,6,5
Inter.NC_008533.0.536942.537042,72,61,146,45,54,47,80,66,46,20,51
Inter.NC_008533.1.1508718.1508818,3,6,9,6,3,4,6,1,4,5,3
Inter.NC_008533.0.1469245.1469345,0,0,0,0,0,0,1,0,0,1,0
Inter.NC_008533.1.539575.539675,0,1,2,2,0,0,0,1,2,0,3
Inter.NC_008533.0.1057180.1057280,0,0,2,0,0,0,1,0,1,0,1
Inter.NC_008533.1.763683.763783,1,0,1,1,1,1,2,1,1,1,2
Inter.NC_008533.0.386946.387046,552,510,527,555,465,481,513,507,412,326,379
Inter.NC_008533.0.41773.41873,3,1,1,3,1,1,7,3,1,2,1
Inter.NC_008533.0.105015.105115,112,139,125,86,46,66,64,69,87,124,52
arcA,888,844,995,953,676,717,962,686,824,720,694
Inter.NC_008533.0.103139.103239,1,0,0,2,0,2,3,2,1,0,2
Inter.NC_008533.1.986059.986159,6,4,7,6,3,3,3,7,2,4,2
Inter.NC_008533.1.57401.57501,0,0,0,1,2,0,3,0,1,1,0
Inter.NC_008533.0.1999515.1999615,0,4,5,3,3,0,2,3,6,2,1
Inter.NC_008533.0.769871.769971,2,0,0,1,0,0,2,0,1,0,0
Inter.NC_008533.0.565876.565976,17,23,26,18,14,17,20,17,20,10,18
Inter.NC_008533.0.1615923.1616023,0,0,0,0,0,0,0,0,1,0,0
Inter.NC_008533.1.661415.661515,0,0,0,0,2,1,0,0,0,0,0
Inter.NC_008533.1.775133.775233,0,0,1,0,1,0,0,0,0,0,0
Inter.NC_008533.0.1636346.1636446,4,2,5,2,1,2,2,2,4,3,1
Inter.NC_008533.1.2044124.2044224,2,1,1,1,0,0,0,0,2,0,1
Inter.NC_008533.0.1719636.1719736,0,0,0,0,0,0,0,0,1,0,0
Inter.NC_008533.1.1375125.1375225,0,1,1,1,0,0,2,2,0,3,0
Inter.NC_008533.1.1130517.1130617,3,2,4,4,3,2,5,2,2,0,4
Inter.NC_008533.1.1881879.1881979,1,1,1,1,0,0,2,0,1,0,1
Inter.NC_008533.0.1105620.1105720,20,8,22,6,10,8,16,3,8,8,9
Inter.NC_008533.0.564002.564102,6,6,4,1,1,4,6,4,2,3,3
Inter.NC_008533.1.687408.687508,0,1,0,0,1,0,0,0,0,1,0
Inter.NC_008533.0.20039.20139,0,0,0,0,0,1,0,0,0,0,0
Inter.NC_008533.1.1972123.1972223,0,0,0,1,0,0,2,0,1,0,0
Inter.NC_008533.0.906491.906591,1,2,0,0,1,2,0,1,2,0,0
Inter.NC_008533.0.1804608.1804708,0,0,0,0,0,1,1,0,1,0,0
Inter.NC_008533.0.685041.685141,8,4,12,5,4,6,6,4,5,5,7
Inter.NC_008533.1.1454598.1454698,7,6,2,5,6,1,6,2,6,2,4
Inter.NC_008533.0.1489261.1489361,4,9,12,9,7,5,10,2,13,14,5
Inter.NC_008533.1.469743.469843,0,1,4,1,1,1,2,1,1,2,0
Inter.NC_008533.1.1023992.1024092,0,1,1,0,0,1,1,2,1,0,1
Inter.NC_008533.1.827233.827333,2,1,0,2,2,0,0,3,0,0,1
Inter.NC_008533.1.826133.826233,1,1,0,0,0,0,0,0,0,1,0
Inter.NC_008533.1.313994.314094,0,1,2,2,0,1,0,1,1,1,0
Inter.NC_008533.1.679708.679808,1,1,1,4,1,0,3,1,1,2,1
Inter.NC_008533.1.643293.643393,1,0,2,0,0,0,0,0,0,0,0
Inter.NC_008533.1.44401.44501,0,0,0,0,0,0,0,0,1,0,0
Inter.NC_008533.1.2039979.2040079,0,3,0,2,0,2,0,0,0,1,0
Inter.NC_008533.1.120989.121089,0,0,0,0,0,1,2,1,0,0,0
Inter.NC_008533.0.1155828.1155928,0,0,1,1,0,1,1,0,5,1,0
ABJ55249.1,522,453,713,311,387,295,537,470,390,372,396
Inter.NC_008533.1.323094.323194,0,0,1,0,0,0,1,0,0,0,0
Inter.NC_008533.1.686808.686908,3,0,5,3,3,1,3,3,6,2,2
Inter.NC_008533.1.880983.881083,0,2,2,1,1,0,2,0,4,2,0
ABJ55012.1,1411,1380,1561,1121,1029,907,1473,1035,1174,990,946
Inter.NC_008533.0.1147228.1147328,0,0,1,1,0,0,0,0,1,2,0
Inter.NC_008533.1.509560.509660,0,0,2,1,0,0,0,0,1,0,2
Inter.NC_008533.1.196284.196384,2,0,1,0,0,1,1,3,3,1,0
Inter.NC_008533.0.1124834.1124934,14,10,13,10,4,8,7,4,9,13,12
Inter.NC_008533.0.369857.369957,0,0,0,1,1,0,1,0,1,0,0
Inter.NC_008533.1.257046.257146,0,2,0,0,2,1,3,0,0,1,0
SPD_1730,102,95,139,85,56,82,87,68,92,94,87
Inter.NC_008533.0.743479.743579,89,54,91,45,54,63,82,65,61,53,61
Inter.NC_008533.1.919817.919917,1,0,1,1,2,1,4,1,2,1,3
Inter.NC_008533.1.427422.427522,0,0,0,0,0,0,1,0,1,0,0
Inter.NC_008533.0.347187.347287,88,80,116,52,38,37,70,53,42,51,43
SPD_0358,7,7,5,2,3,2,4,5,6,2,2
Inter.NC_008533.0.1674085.1674185,1,3,3,4,6,3,5,3,6,1,0
Inter.NC_008533.0.1675485.1675585,5,10,8,12,13,16,20,15,14,5,11
Inter.NC_008533.0.89674.89774,0,0,0,0,0,0,0,0,0,1,0
Inter.NC_008533.1.1024192.1024292,4,3,4,3,2,2,2,5,2,5,2
Inter.NC_008533.1.1212466.1212566,262,262,309,157,125,101,156,133,150,189,139
ABJ54680.1,117,102,164,78,69,94,89,81,98,58,68
Inter.NC_008533.0.1542553.1542653,5,8,8,9,7,6,2,9,5,3,6
Inter.NC_008533.1.1908170.1908270,1,2,8,4,6,5,4,3,7,1,4
Inter.NC_008533.0.1822222.1822322,2,0,0,0,0,0,5,2,0,2,0
ABJ55174.1,868,711,1132,655,624,512,850,623,607,516,614
Inter.NC_008533.1.1250044.1250144,19,15,17,22,17,21,17,14,13,11,21
Inter.NC_008533.0.1267527.1267627,0,0,0,0,1,0,0,0,0,0,0
ABJ54344.1,410,437,474,407,352,419,469,346,424,364,380
Inter.NC_008533.0.1591601.1591701,1,0,1,0,0,1,0,0,0,0,1
Inter.NC_008533.0.1137331.1137431,0,0,0,0,1,1,1,2,3,0,1
Inter.NC_008533.1.757783.757883,2,3,7,1,4,2,3,5,2,3,3
Inter.NC_008533.1.1071369.1071469,0,0,2,1,1,0,0,1,0,0,1
Inter.NC_008533.1.136951.137051,0,0,2,1,0,0,0,0,1,1,0
Inter.NC_008533.1.324594.324694,1,2,2,0,0,0,0,0,2,2,1
Inter.NC_008533.0.1615423.1615523,0,0,0,1,0,0,0,0,0,0,0
Inter.NC_008533.1.1619346.1619446,34,31,52,20,22,28,39,36,28,28,26
Inter.NC_008533.1.485867.485967,4,10,11,16,17,8,5,11,12,6,8
Inter.NC_008533.0.1101620.1101720,1,0,0,1,0,2,1,0,1,1,0
Inter.NC_008533.0.1405762.1405862,19,11,13,12,8,7,14,11,22,11,10
Inter.NC_008533.1.1633124.1633224,9,2,5,4,5,6,5,3,4,2,3
Inter.NC_008533.0.281093.281193,0,0,0,0,0,0,1,0,0,0,0
Inter.NC_008533.0.104515.104615,0,0,1,0,0,2,3,3,1,2,1
Inter.NC_008533.1.472143.472243,1,1,4,1,3,6,5,1,4,1,2
Inter.NC_008533.0.1188550.1188650,0,0,2,0,1,1,0,0,0,1,0
Inter.NC_008533.1.603208.603308,0,0,1,0,0,0,5,0,0,0,2
Inter.NC_008533.1.436202.436302,0,0,0,0,1,0,1,0,0,0,1
Inter.NC_008533.1.1936258.1936358,65,43,71,30,34,26,37,20,27,17,18
Inter.NC_008533.1.393066.393166,0,0,4,1,4,4,6,3,3,1,1
ABJ54508.1,64,70,53,106,64,111,109,70,147,119,82
Inter.NC_008533.0.1497161.1497261,0,3,1,2,3,1,0,1,1,0,2
Inter.NC_008533.1.1620821.1620921,0,1,0,0,0,1,0,1,0,0,1
Inter.NC_008533.1.6000.6100,0,1,0,0,0,0,0,0,0,0,0
Inter.NC_008533.1.276847.276947,0,0,0,1,0,0,0,0,0,0,0
ABJ55225.1,720,596,959,551,710,499,835,601,612,416,492
Inter.NC_008533.0.1932334.1932434,8,11,15,7,5,10,10,6,13,7,6
Inter.NC_008533.1.947917.948017,0,0,2,0,0,0,1,2,0,0,1
Inter.NC_008533.1.536221.536321,3,0,1,1,0,1,2,0,0,0,1
Inter.NC_008533.1.1459260.1459360,1,3,2,1,1,3,6,4,3,6,3
Inter.NC_008533.0.1857093.1857193,0,0,1,0,0,1,0,0,0,0,1
Inter.NC_008533.1.501267.501367,0,2,2,1,3,3,1,0,2,3,3
Inter.NC_008533.1.151536.151636,0,2,0,0,0,0,2,0,0,1,1
Inter.NC_008533.1.502367.502467,2,1,2,0,1,2,0,1,0,0,0
Inter.NC_008533.0.668894.668994,690,577,683,237,196,245,333,321,326,600,256
Inter.NC_008533.0.1936999.1937099,0,0,1,0,0,0,1,1,0,0,0
Inter.NC_008533.1.1456787.1456887,0,0,2,0,0,0,0,0,1,1,0
Inter.NC_008533.0.1145328.1145428,0,1,3,1,0,0,0,0,0,0,0
ABJ54136.1,2188,1852,2336,1435,1095,1276,1583,1191,1399,1441,960
Inter.NC_008533.0.382116.382216,3,5,3,3,2,3,0,3,0,3,0
Inter.NC_008533.0.1533456.1533556,0,1,0,0,0,0,0,0,1,1,0
Inter.NC_008533.1.224989.225089,1,0,0,0,0,1,0,0,0,0,0
Inter.NC_008533.0.1560496.1560596,2,0,1,1,3,2,3,1,0,4,1
Inter.NC_008533.1.810951.811051,3,1,3,2,0,0,2,0,2,1,0
Inter.NC_008533.0.1378976.1379076,0,1,3,5,2,1,2,1,2,2,0
Inter.NC_008533.1.889054.889154,0,0,1,0,0,0,0,0,0,1,0
Inter.NC_008533.1.352445.352545,0,0,1,1,2,0,1,1,1,0,1
Inter.NC_008533.0.2013815.2013915,0,0,0,0,0,1,0,0,0,0,0
Inter.NC_008533.1.741395.741495,4,0,0,1,0,0,2,0,2,1,0
ABJ53972.1,0,1,2,1,0,0,0,0,0,0,0
Inter.NC_008533.0.1545653.1545753,0,2,1,1,1,2,4,1,4,2,0
Inter.NC_008533.1.613996.614096,0,0,1,1,2,1,1,0,0,2,0
Inter.NC_008533.0.448261.448361,0,0,0,0,0,0,0,0,0,0,1
Inter.NC_008533.1.163629.163729,0,0,1,1,1,0,0,0,0,0,1
Inter.NC_008533.0.2043200.2043300,1,0,0,1,0,0,0,1,4,0,0
Inter.NC_008533.1.164829.164929,1,1,0,0,0,0,3,1,0,0,0
Inter.NC_008533.1.298980.299080,0,0,0,0,0,0,1,0,0,0,1
Inter.NC_008533.1.174360.174460,0,0,1,0,0,0,0,0,0,0,0
Inter.NC_008533.1.596208.596308,0,1,2,2,3,2,4,1,2,3,2
Inter.NC_008533.1.599308.599408,0,1,4,0,2,0,3,1,3,1,0
Inter.NC_008533.1.1616398.1616498,2,2,1,1,0,2,1,0,1,2,1
Inter.NC_008533.0.1891288.1891388,6,1,2,4,5,4,2,2,4,3,3
Inter.NC_008533.1.693748.693848,0,0,0,0,0,1,1,0,0,1,2
Inter.NC_008533.1.392366.392466,4,3,5,2,4,6,3,4,5,4,4
Inter.NC_008533.1.918417.918517,0,1,0,1,0,0,0,0,0,0,0
Inter.NC_008533.0.215960.216060,4,1,5,3,1,2,6,3,1,1,4
Inter.NC_008533.0.441926.442026,5,4,4,2,1,4,8,5,4,4,3
Inter.NC_008533.1.750171.750271,3,3,1,3,2,4,4,2,3,3,5
Inter.NC_008533.0.1520756.1520856,0,0,1,0,0,1,0,0,0,0,0
Inter.NC_008533.1.1876736.1876836,0,0,0,0,0,0,0,2,0,0,0
Inter.NC_008533.1.391266.391366,7,5,15,11,10,11,12,8,12,12,9
Inter.NC_008533.0.1763851.1763951,10,9,22,11,7,8,12,14,15,12,17
ABJ54395.1,353,372,404,344,372,350,416,342,331,252,323
Inter.NC_008533.1.1045289.1045389,7,15,12,11,7,12,8,5,13,6,9
Inter.NC_008533.0.1971470.1971570,0,0,1,0,0,0,0,1,0,0,0
Inter.NC_008533.0.1681049.1681149,2,1,0,0,0,1,1,1,0,1,1
Inter.NC_008533.1.1765545.1765645,4,5,3,2,2,2,3,2,3,5,0
Inter.NC_008533.1.25152.25252,2,3,3,1,2,4,1,1,0,5,1
Inter.NC_008533.1.921017.921117,1,0,0,0,0,0,0,0,0,2,0
Inter.NC_008533.0.1707987.1708087,0,1,0,1,2,1,2,3,1,1,1
Inter.NC_008533.1.611696.611796,1,0,2,0,0,1,4,1,1,0,3
Inter.NC_008533.0.1614323.1614423,0,0,0,0,0,1,0,0,0,0,0
Inter.NC_008533.0.2014515.2014615,0,1,0,0,0,0,0,0,1,0,0
Inter.NC_008533.1.1362894.1362994,127,120,182,84,101,103,142,111,134,126,114
Inter.NC_008533.1.137808.137908,1,2,3,3,1,2,0,2,1,1,0
Inter.NC_008533.1.1258114.1258214,0,0,0,0,0,1,0,0,0,0,0
Inter.NC_008533.1.501967.502067,0,0,2,0,1,0,1,0,0,0,1
Inter.NC_008533.1.722143.722243,0,1,4,1,2,0,1,1,1,0,1
Inter.NC_008533.0.1413862.1413962,0,2,1,0,1,4,1,0,2,0,0
Inter.NC_008533.0.692083.692183,6,2,5,4,12,3,7,4,7,6,5
Inter.NC_008533.0.1700208.1700308,8,2,5,8,0,3,8,2,0,0,5
Inter.NC_008533.1.967973.968073,0,2,0,0,0,1,0,0,0,0,0
Inter.NC_008533.0.1862293.1862393,0,0,0,0,0,1,0,0,0,0,0
Inter.NC_008533.1.115189.115289,1,0,0,0,1,0,0,0,0,1,0
Inter.NC_008533.0.1069080.1069180,0,0,0,0,1,0,1,0,0,1,0
Inter.NC_008533.1.429722.429822,4,0,7,2,3,2,1,4,2,0,2
Inter.NC_008533.1.681608.681708,3,3,4,1,1,2,2,1,1,2,0
Inter.NC_008533.0.1848622.1848722,1,1,1,1,1,1,2,0,1,1,2
Inter.NC_008533.0.2031398.2031498,1,4,1,5,4,3,4,10,4,3,4
ABJ55050.1,143,94,162,98,104,73,86,102,103,65,94
Inter.NC_008533.0.1419514.1419614,2,0,1,1,2,2,0,0,1,0,1
Inter.NC_008533.0.1929007.1929107,1,1,1,0,0,0,1,3,0,1,1
Inter.NC_008533.0.1354752.1354852,0,3,3,0,0,0,1,4,1,1,0
Inter.NC_008533.0.408144.408244,30,13,30,20,17,21,18,14,17,9,26
ABJ54874.1,48,58,37,53,28,54,43,35,41,45,48
Inter.NC_008533.1.349345.349445,4,4,4,1,0,0,2,1,2,1,2
Inter.NC_008533.0.1892088.1892188,0,2,5,4,2,5,3,2,3,4,1
Inter.NC_008533.0.1149828.1149928,3,5,8,2,5,3,7,5,4,4,9
Inter.NC_008533.0.1541453.1541553,0,0,3,3,2,2,1,0,5,2,1
ABJ55094.1,4686,4611,5489,4618,4085,4077,4973,3950,4333,3460,3863
Inter.NC_008533.0.259014.259114,0,0,0,0,0,1,0,0,0,0,0
Inter.NC_008533.1.1145117.1145217,6,11,4,5,5,3,2,2,2,7,4
Inter.NC_008533.1.525121.525221,12,25,25,18,15,16,23,12,13,21,7
Inter.NC_008533.0.1501061.1501161,2,0,1,1,0,0,1,0,1,0,0
Inter.NC_008533.0.2017611.2017711,1,2,1,1,0,1,2,1,0,0,1
Inter.NC_008533.1.511960.512060,1,0,1,0,0,1,1,1,0,1,0
Inter.NC_008533.1.1899886.1899986,0,0,0,0,0,1,0,2,0,1,1
Inter.NC_008533.0.716822.716922,7,21,23,33,26,25,51,17,39,25,13
ABJ54955.1,1394,1401,1566,964,853,888,1059,780,986,946,841
Inter.NC_008533.0.1683349.1683449,11,27,24,21,19,14,32,19,23,22,13
Inter.NC_008533.0.1144131.1144231,1,1,0,0,0,0,0,0,1,0,0
Inter.NC_008533.0.1661405.1661505,0,0,0,0,0,1,4,1,0,0,0
Inter.NC_008533.1.473243.473343,1,3,1,1,0,1,7,5,3,0,3
Inter.NC_008533.0.856672.856772,18,16,11,10,6,11,8,8,9,7,8
Inter.NC_008533.1.1597865.1597965,0,1,2,0,0,0,0,0,0,0,0
Inter.NC_008533.1.282947.283047,0,0,0,0,1,0,0,1,0,1,1
Inter.NC_008533.1.1071069.1071169,0,0,1,0,0,1,2,1,1,0,1
ABJ54536.1,961,1021,1090,1023,876,791,1127,845,1070,941,935
Inter.NC_008533.1.985259.985359,0,1,1,0,0,0,0,1,0,0,0
Inter.NC_008533.0.1903224.1903324,1,2,0,3,1,2,5,1,1,3,1
Inter.NC_008533.0.1118743.1118843,0,1,0,0,0,0,0,0,0,0,0
Inter.NC_008533.0.38737.38837,2,2,3,3,1,1,8,3,1,2,1
Inter.NC_008533.0.1968670.1968770,0,0,0,0,0,0,0,0,0,0,1
Inter.NC_008533.0.1627923.1628023,0,0,1,0,0,0,0,0,0,0,0
Inter.NC_008533.1.616090.616190,2,0,3,0,0,0,2,2,0,1,1
Inter.NC_008533.1.351745.351845,0,0,2,0,0,0,0,0,0,0,0
Inter.NC_008533.0.848749.848849,1,0,0,0,0,0,0,0,0,0,1
Inter.NC_008533.0.1005071.1005171,2,0,0,2,0,0,2,0,2,1,0
Inter.NC_008533.0.820578.820678,0,0,2,0,1,0,2,1,2,0,0
Inter.NC_008533.1.1496853.1496953,482,507,529,313,222,284,321,304,373,476,291
Inter.NC_008533.1.217109.217209,0,0,1,0,0,0,0,0,0,0,0
Inter.NC_008533.0.1425514.1425614,0,0,0,1,0,0,0,1,2,0,1
Inter.NC_008533.1.910683.910783,2,3,2,0,2,4,3,3,4,0,0
ABJ54472.1,488,397,737,406,526,362,652,536,501,353,534
Inter.NC_008533.0.1821722.1821822,0,0,1,1,0,0,0,0,0,0,0
Inter.NC_008533.1.85525.85625,1,4,3,2,0,3,2,1,3,6,2
Inter.NC_008533.1.1455698.1455798,15,10,13,6,4,10,8,7,10,7,5
Inter.NC_008533.0.1944299.1944399,0,0,0,0,0,1,0,0,0,0,0
Inter.NC_008533.1.1129017.1129117,2,3,4,4,5,6,8,2,1,0,1
Inter.NC_008533.0.1176081.1176181,2,0,0,0,1,0,0,0,0,1,0
Inter.NC_008533.1.1127617.1127717,0,2,0,2,0,1,1,4,0,0,2
Inter.NC_008533.0.1962570.1962670,0,0,2,0,0,0,0,0,0,1,1
Inter.NC_008533.1.1908970.1909070,0,0,3,0,0,3,1,2,1,2,1
Inter.NC_008533.0.1604443.1604543,0,0,1,0,0,0,0,0,0,0,0
Inter.NC_008533.0.1165206.1165306,6,4,3,4,3,3,2,1,1,2,1
Inter.NC_008533.1.1301900.1302000,2,3,3,1,5,2,1,2,3,2,2
Inter.NC_008533.0.1458945.1459045,36,54,77,37,47,52,49,47,63,21,47
Inter.NC_008533.0.646558.646658,13,15,18,10,9,15,8,3,8,9,12
Inter.NC_008533.0.1095120.1095220,0,0,0,1,0,1,1,2,0,3,2
Inter.NC_008533.0.823999.824099,0,0,0,1,0,0,0,1,0,0,0
Inter.NC_008533.1.1673780.1673880,176,185,206,156,106,128,189,165,164,151,133
Inter.NC_008533.0.159930.160030,6,3,9,5,4,6,5,5,8,7,2
Inter.NC_008533.0.1262027.1262127,6,10,11,13,12,12,9,4,6,8,8
ABJ54460.1,130,98,181,97,152,157,229,175,161,96,155
Inter.NC_008533.1.326994.327094,0,0,0,0,0,0,0,0,0,1,0
Inter.NC_008533.1.941317.941417,0,0,0,0,0,0,0,1,1,0,0
Inter.NC_008533.1.4800.4900,0,0,0,0,0,0,0,0,1,0,0
Inter.NC_008533.0.1525356.1525456,0,0,0,0,1,0,0,0,0,0,0
Inter.NC_008533.1.74625.74725,0,0,1,1,1,0,4,1,1,1,0
Inter.NC_008533.1.1129717.1129817,6,8,14,17,8,5,6,6,9,6,12
Inter.NC_008533.1.960173.960273,0,0,0,0,0,0,0,0,0,1,0
Inter.NC_008533.0.1726890.1726990,3,2,2,0,0,1,2,0,1,3,0
Inter.NC_008533.1.1900686.1900786,1,3,2,3,2,4,3,0,0,1,3
Inter.NC_008533.1.955973.956073,0,0,0,0,2,0,0,0,0,0,0
Inter.NC_008533.1.5700.5800,0,0,1,0,0,0,0,0,0,0,0
Inter.NC_008533.1.970073.970173,0,1,2,0,0,0,0,0,0,1,0
ABJ54264.1,318,267,204,318,290,492,783,541,439,440,273
Inter.NC_008533.0.1337336.1337436,0,0,0,0,0,0,0,0,1,0,0
Inter.NC_008533.1.1719837.1719937,0,0,0,0,0,0,0,0,1,0,0
Inter.NC_008533.0.1518056.1518156,0,0,0,0,0,1,1,0,0,0,0
Inter.NC_008533.0.1772850.1772950,3,1,2,1,0,2,0,1,5,0,1
Inter.NC_008533.0.1378576.1378676,0,0,1,0,0,0,0,3,1,0,0
Inter.NC_008533.0.651740.651840,1,1,2,1,0,1,0,1,2,0,0
ABJ55208.1,1367,1188,1388,1183,1021,969,1165,900,1029,870,806
ABJ55034.1,1001,768,1291,757,1011,633,1252,840,885,514,671
Inter.NC_008533.1.421949.422049,1,1,4,2,0,1,2,1,0,2,0
Inter.NC_008533.1.2037904.2038004,0,0,0,0,0,0,0,0,0,1,0
Inter.NC_008533.1.619824.619924,0,0,0,0,0,1,0,0,0,0,0
Inter.NC_008533.1.585181.585281,0,0,0,0,0,0,1,0,2,0,1
Inter.NC_008533.0.1104920.1105020,0,0,1,0,2,0,0,0,0,0,0
Inter.NC_008533.1.385566.385666,46,58,64,25,32,50,48,50,48,69,28
Inter.NC_008533.1.627124.627224,2,1,2,1,0,1,3,2,1,0,2
Inter.NC_008533.1.590708.590808,1,1,1,1,0,0,1,0,2,1,1
Inter.NC_008533.0.1753793.1753893,0,0,5,0,4,2,6,0,4,1,1
Inter.NC_008533.0.95947.96047,1,0,2,4,2,2,2,5,5,5,1
Inter.NC_008533.0.1559796.1559896,1,0,0,0,0,0,0,0,0,0,0
Inter.NC_008533.0.1565096.1565196,0,1,1,1,1,0,1,0,1,0,0
Inter.NC_008533.1.1949420.1949520,1,0,0,0,0,0,0,0,1,0,1
Inter.NC_008533.1.994557.994657,6,2,4,7,4,7,4,5,4,4,5
Inter.NC_008533.1.287964.288064,0,0,0,0,0,0,1,0,0,0,0
Inter.NC_008533.0.949074.949174,2,0,1,1,0,2,1,0,0,0,0
Inter.NC_008533.1.1954720.1954820,0,1,0,1,2,0,0,0,1,0,1
Inter.NC_008533.0.1575196.1575296,3,7,3,5,4,3,6,3,3,2,4
ABJ54241.1,365,387,532,392,357,358,507,399,411,340,414
Inter.NC_008533.0.1618623.1618723,1,0,0,0,0,0,0,0,0,0,0
Inter.NC_008533.1.1695763.1695863,0,1,1,0,0,0,0,0,0,0,0
Inter.NC_008533.1.2029571.2029671,3,4,4,3,3,5,3,4,1,2,4
Inter.NC_008533.0.1904124.1904224,7,8,7,7,7,10,6,7,13,13,9
Inter.NC_008533.1.1070869.1070969,3,0,2,1,2,2,5,0,1,2,1
Inter.NC_008533.0.1133931.1134031,0,0,1,0,0,0,0,0,1,0,0
Inter.NC_008533.1.586181.586281,2,1,2,1,2,1,3,1,2,6,1
Inter.NC_008533.1.158736.158836,0,0,0,0,0,0,0,1,0,0,1
Inter.NC_008533.1.424264.424364,4,3,3,3,2,2,1,1,6,7,2
Inter.NC_008533.0.1123434.1123534,9,6,11,5,5,1,3,5,3,7,6
Inter.NC_008533.1.566081.566181,0,4,3,2,2,2,4,0,3,1,1
Inter.NC_008533.1.782756.782856,1,0,2,1,3,2,5,4,0,0,1
Inter.NC_008533.0.1480461.1480561,3,0,0,2,1,1,1,2,1,0,2
Inter.NC_008533.1.1320706.1320806,1,3,5,3,1,3,0,3,2,3,1
Inter.NC_008533.0.978538.978638,4,3,5,2,0,3,2,1,3,4,3
Inter.NC_008533.0.1377576.1377676,3,4,1,0,0,0,5,1,2,0,3
Inter.NC_008533.1.924317.924417,0,1,3,3,0,0,1,0,1,0,0
Inter.NC_008533.0.285166.285266,0,0,0,0,0,0,1,0,0,0,0
Inter.NC_008533.1.1619246.1619346,32,26,54,21,32,13,46,36,22,23,43
Inter.NC_008533.1.628024.628124,0,0,0,0,1,0,0,0,0,1,0
Inter.NC_008533.1.871683.871783,0,0,2,0,1,0,0,0,0,1,0
Inter.NC_008533.0.1935036.1935136,0,0,1,0,0,0,0,0,0,0,0
Inter.NC_008533.1.79825.79925,1,2,2,1,0,0,3,0,0,1,2
Inter.NC_008533.0.213460.213560,3,8,7,3,3,2,2,0,5,3,3
Inter.NC_008533.0.512626.512726,0,0,0,1,0,1,1,0,0,1,1
Inter.NC_008533.1.279447.279547,1,0,0,0,0,0,0,0,0,0,0
Inter.NC_008533.0.1279953.1280053,0,3,2,1,0,2,1,3,2,3,1
Inter.NC_008533.1.656874.656974,0,0,0,0,0,0,0,0,0,1,0
Inter.NC_008533.0.1630423.1630523,0,1,0,0,0,0,0,0,0,0,0
