gene,X1_1_ATCACG_L006_R1.fastq.gz,X1_2_CGATGT_L006_R1.fastq.gz,X1_4_TTAGGC_L006_R1.fastq.gz,X2_2_ACAGTG_L006_R1.fastq.gz,X2_4_GCCAAT_L006_R1.fastq.gz,X3_2_CAGATC_L006_R1.fastq.gz,X3_3_ACTTGA_L006_R1.fastq.gz,X3_5_GATCAG_L006_R1.fastq.gz,X4_1_TAGCTT_L006_R1.fastq.gz,X4_2_GGCTAC_L006_R1.fastq.gz,X4_4_CTTGTA_L006_R1.fastq.gz
Inter.NC_008533.1.1818624.1818724,0,0,0,0,0,0,2,1,0,0,0
Inter.NC_008533.1.875883.875983,0,0,2,1,1,1,0,0,2,0,0
ABJ55232.1,540,464,666,469,576,301,496,486,406,349,422
Inter.NC_008533.1.1024992.1025092,3,6,3,3,5,1,1,5,4,4,0
Inter.NC_008533.1.45701.45801,0,0,0,1,0,0,0,0,0,0,0
Inter.NC_008533.1.889554.889654,1,0,1,1,0,1,2,0,0,0,0
Inter.NC_008533.1.160429.160529,0,0,1,0,0,0,0,0,0,0,0
Inter.NC_008533.1.247946.248046,148,135,190,115,136,112,137,114,135,208,113
Inter.NC_008533.0.1153728.1153828,0,0,1,0,0,0,0,0,0,0,0
Inter.NC_008533.0.843678.843778,15,13,11,10,5,9,12,11,4,14,11
Inter.NC_008533.1.831250.831350,4,1,1,3,1,0,4,2,6,3,5
Inter.NC_008533.0.1406562.1406662,7,3,13,0,4,6,4,4,7,3,6
Inter.NC_008533.1.606408.606508,0,0,2,0,1,1,2,1,1,0,2
Inter.NC_008533.1.534721.534821,0,0,0,0,0,1,0,0,0,0,0
Inter.NC_008533.1.155936.156036,0,0,1,1,0,0,1,0,0,0,0
Inter.NC_008533.1.562271.562371,1,0,1,0,1,1,2,0,2,0,0
Inter.NC_008533.0.1305340.1305440,1,0,0,0,0,0,0,0,0,1,0
ABJ54531.1,2588,2539,2914,2562,2193,2411,2668,2086,2593,2018,2123
Inter.NC_008533.0.1308071.1308171,0,1,1,0,0,0,0,0,0,0,0
Inter.NC_008533.1.91274.91374,0,0,1,0,0,0,0,0,0,0,0
Inter.NC_008533.0.255823.255923,44,55,62,64,45,49,62,46,51,29,49
Inter.NC_008533.1.121289.121389,0,0,2,1,1,0,1,1,0,1,0
Inter.NC_008533.1.1818724.1818824,3,0,1,1,0,0,0,0,0,0,0
Inter.NC_008533.0.1835022.1835122,7,13,13,12,16,9,13,10,24,11,12
Inter.NC_008533.1.1309282.1309382,5,8,9,4,3,4,3,3,2,7,3
Inter.NC_008533.1.1477728.1477828,2,4,7,12,9,2,8,1,8,3,5
Inter.NC_008533.1.772433.772533,0,0,2,0,2,0,0,0,0,0,0
Inter.NC_008533.0.1323050.1323150,2,0,0,0,2,0,2,1,1,2,0
Inter.NC_008533.1.661815.661915,0,0,0,0,0,1,0,0,1,0,0
Inter.NC_008533.0.1123634.1123734,20,22,25,12,11,17,14,14,18,22,10
Inter.NC_008533.0.1638646.1638746,0,0,0,0,0,0,1,0,0,0,1
Inter.NC_008533.0.1563096.1563196,0,1,0,0,1,0,3,0,1,0,0
Inter.NC_008533.0.1500561.1500661,1,3,1,3,0,0,2,2,1,2,0
Inter.NC_008533.1.1071169.1071269,1,0,2,2,0,0,1,0,0,0,0
Inter.NC_008533.1.525821.525921,3,10,2,8,6,2,12,8,7,2,4
rna33,193,182,120,233,109,320,245,220,290,197,218
Inter.NC_008533.1.115989.116089,0,0,0,0,0,0,2,0,1,0,0
Inter.NC_008533.0.1830822.1830922,0,0,0,0,0,1,0,1,0,0,0
Inter.NC_008533.0.1277053.1277153,0,1,3,1,2,2,2,2,1,2,4
Inter.NC_008533.0.1352152.1352252,2,1,3,0,2,2,1,2,1,2,2
Inter.NC_008533.0.821078.821178,3,0,3,0,1,4,2,2,1,1,0
Inter.NC_008533.0.1102520.1102620,1,0,2,1,0,0,1,1,2,0,1
Inter.NC_008533.0.2001315.2001415,0,0,0,0,1,1,0,2,0,0,0
Inter.NC_008533.0.1714036.1714136,2,3,4,4,4,1,8,5,4,9,3
Inter.NC_008533.1.705965.706065,0,0,0,0,0,0,0,1,2,1,0
Inter.NC_008533.0.1895788.1895888,1,0,0,2,0,1,0,0,1,1,1
Inter.NC_008533.1.350045.350145,0,1,1,0,1,1,0,1,0,2,1
Inter.NC_008533.0.1656505.1656605,5,7,7,9,5,2,12,8,12,5,4
Inter.NC_008533.1.572281.572381,1,0,0,1,0,0,0,0,1,0,0
Inter.NC_008533.1.570881.570981,1,0,0,0,0,0,1,0,0,0,0
Inter.NC_008533.0.1736990.1737090,0,0,0,0,0,0,1,0,2,0,0
Inter.NC_008533.1.521321.521421,0,0,1,1,0,0,0,0,1,0,0
Inter.NC_008533.0.1820222.1820322,0,0,2,0,1,0,0,0,0,0,0
Inter.NC_008533.1.714265.714365,4,4,4,4,1,2,1,5,3,2,2
Inter.NC_008533.0.809880.809980,5,6,17,8,9,6,6,8,2,6,5
Inter.NC_008533.1.1873258.1873358,7,11,10,6,11,12,18,14,10,12,12
Inter.NC_008533.0.1191279.1191379,5,8,5,6,5,5,5,5,5,6,3
Inter.NC_008533.0.1202079.1202179,1,0,0,0,0,0,1,0,0,1,0
Inter.NC_008533.0.980406.980506,1,2,1,0,1,0,2,1,1,1,1
Inter.NC_008533.1.596108.596208,1,1,2,0,3,1,5,0,0,4,0
Inter.NC_008533.0.461748.461848,21,12,13,17,13,36,34,36,25,36,31
ABJ54262.1,1306,2672,1379,1802,918,2311,1780,1391,1291,1335,1013
Inter.NC_008533.1.881783.881883,3,1,3,0,2,1,2,3,2,2,4
Inter.NC_008533.1.2021522.2021622,12,7,13,7,9,14,15,14,21,17,17
Inter.NC_008533.1.393966.394066,1,2,2,1,0,1,1,2,2,1,0
Inter.NC_008533.0.1622523.1622623,0,0,0,0,0,0,0,1,0,0,0
Inter.NC_008533.0.1186884.1186984,1,0,0,0,0,1,1,0,0,0,0
Inter.NC_008533.1.502567.502667,0,1,0,0,0,0,1,1,0,1,0
Inter.NC_008533.0.1776650.1776750,0,2,1,0,0,1,1,0,1,1,1
Inter.NC_008533.1.799482.799582,3,0,2,3,1,1,10,3,6,2,3
Inter.NC_008533.1.867983.868083,2,1,1,3,0,1,2,2,3,2,2
Inter.NC_008533.1.294880.294980,0,0,1,0,0,0,0,0,0,0,0
Inter.NC_008533.1.1331133.1331233,0,0,1,0,2,0,0,0,1,0,0
Inter.NC_008533.0.1765751.1765851,1,0,0,0,1,0,0,0,1,3,1
Inter.NC_008533.1.283947.284047,0,1,3,1,1,0,2,0,0,0,0
Inter.NC_008533.0.1591501.1591601,0,1,0,1,0,0,1,1,0,0,0
Inter.NC_008533.0.932851.932951,15,20,12,14,6,17,15,14,10,9,10
Inter.NC_008533.0.694545.694645,8,1,6,2,2,2,2,5,2,0,7
