,JE84-1-05,JE84-2-05,JE84-3-05,JE84-1-15,JE84-2-15,JE84-3-15,WT-1-05,WT-2-05,WT-3-05,WT-1-15,WT-2-15,WT-3-15,,
M5005_Spy0587,2621,5544,2564,518,555,530,1922,3993,7641,1921,1713,2133,,
M5005_Spy0588,9238,16301,8295,3158,3235,2770,6296,13726,26853,6068,5291,5859,,
M5005_Spy0589,339,620,328,195,226,239,340,548,980,322,276,332,,
M5005_Spy0590,418,815,264,183,207,199,328,748,1499,302,254,321,,
M5005_Spy0591,886,1799,833,818,1017,1079,738,1348,3017,1135,882,1150,,
M5005_Spy0592,1985,4274,1496,1901,1728,1635,1687,4105,10749,1865,1880,1811,,
M5005_Spy0593,1488,2751,1248,1833,1878,2201,909,1835,5165,2091,2359,3116,,
M5005_Spy0594,9352,13390,8818,5220,5945,4882,6140,10608,17824,10994,8743,12408,,
M5005_Spy0595,21323,27902,19483,11309,11874,10092,14768,20743,39608,18583,16182,18323,,
M5005_Spy0596,7729,9768,6637,2841,3004,2442,5191,7854,15266,4776,4327,4567,,
M5005_Spy0597,1098,1564,1044,224,287,286,1136,1319,3380,981,682,957,,
M5005_Spy0598,282,858,249,418,425,604,192,715,1987,389,341,742,,
M5005_Spy0599,11475,15510,9883,4062,4403,3950,9625,13236,24858,5963,4891,7627,,
M5005_Spy0600,7239,14561,5868,2173,2362,2268,6044,12954,30109,3240,2805,3872,,
M5005_Spy0601,3043,5092,2811,854,910,1094,2944,5043,10925,1828,1377,2409,,
M5005_Spy0602,2225,3346,2357,869,1012,989,1943,2829,4504,3319,2664,3185,,
M5005_Spy0603,6619,9748,5903,1297,1265,1215,4876,8662,15423,2378,2302,1977,,
M5005_Spy0604,5608,10306,4917,744,835,727,3721,7978,14900,1741,1417,1571,,
M5005_Spy0605,5961,7498,5775,853,916,905,4034,5259,9613,1812,1594,1735,,
M5005_Spy0606,11319,20621,9478,1650,1761,1326,7117,13615,27729,3069,2579,2807,,
M5005_Spy0607,6244,8077,5778,1165,1425,980,4145,6580,11092,1782,1357,1597,,
M5005_Spy0608,16010,21527,14928,3724,4002,3086,10541,13909,32234,4399,3802,3826,,
M5005_Spy0609,8280,14947,8315,1897,2295,1907,5168,9431,20941,2596,2387,2269,,
M5005_Spy0610,2960,6725,2889,646,797,753,1913,3361,8177,977,798,819,,
M5005_Spy0611,703,998,777,189,227,194,477,586,1402,305,222,257,,
M5005_Spy0612,12987,17567,10688,2277,2602,2221,6548,10823,20892,3169,2566,2683,,
M5005_Spy0613,5956,9624,5656,961,1400,1123,3201,5686,10147,1714,1174,1397,,
M5005_Spy0614,17592,26067,18466,24392,23352,22745,14358,19929,45833,18231,17526,24728,,
M5005_Spy0615,4216,4770,4324,7441,8014,9177,3046,4128,8922,4524,4864,6213,,
M5005_Spy0616,2027,2406,2002,3261,2987,3474,1578,1733,3365,2163,2467,2741,,
M5005_Spy0617,7488,11898,7748,11187,10008,12689,6824,8599,17173,8028,8909,11275,,
M5005_Spy0618,8256,13493,7787,4505,4092,4505,6878,10652,28394,6703,6155,9216,,
M5005_Spy0619,18627,21640,17081,878,912,786,14172,18638,26137,3369,3443,4505,,
M5005_Spy0620,17336,26691,15617,1014,1202,942,12965,21789,30669,3973,3326,5547,,
M5005_Spy0621,9575,23029,7696,433,535,422,5961,16048,33937,2188,1473,2813,,
M5005_Spy0622,21168,28267,20793,3652,4140,3562,13564,19967,37415,16475,12950,16556,,
M5005_Spy0623,22588,23944,22486,6671,6380,5617,12154,16313,29484,10214,9516,10066,,
M5005_Spy0624,17342,30487,13391,5232,4791,4890,8724,17714,49788,7726,6660,8425,,
M5005_Spy0625,10978,18819,9845,4309,4437,4221,6206,11976,21684,6153,5897,6714,,
M5005_Spy0626,5349,8402,4137,980,1185,1075,3266,6285,16377,3342,2712,3067,,
M5005_Spy0627,1863,3628,1764,2092,2149,2911,1160,2219,6160,2919,3060,4387,,
M5005_Spy0628,3673,6350,2982,2393,2591,2289,2301,5259,12245,5505,4948,6967,,
M5005_Spy0629,3108,7035,2789,2217,2559,2322,2128,4468,11008,5284,4179,6424,,
M5005_Spy0630,4209,8569,3574,824,797,753,3182,7586,14253,2289,2074,2801,,
M5005_Spy0631,7035,14987,6606,1346,1391,1163,5370,12700,28044,4248,3273,5018,,
M5005_Spy0632,2132,3295,2238,2512,2644,2825,2162,3211,5984,2451,2409,3621,,
M5005_Spy0633,14878,23201,16002,943,1090,1034,11792,15566,25669,5934,4985,7590,,
M5005_Spy0634,19961,26628,17141,1236,1362,1286,10564,21218,36372,6102,5537,7701,,
M5005_Spy0635,19805,43332,15179,1270,1467,1401,10417,26553,64441,7263,5515,8966,,
M5005_Spy0636,2103,2269,2302,97,134,132,1443,1858,3116,831,684,994,,
M5005_Spy0637,1375,1630,1445,112,121,104,965,1166,2019,588,500,666,,
M5005_Spy0638,3235,4565,3006,310,319,305,2174,3179,5503,1545,1230,1671,,
M5005_Spy0639,497,913,554,648,937,581,328,528,961,234,213,280,,
M5005_Spy0640,1360,2433,1417,2452,3370,2411,753,1223,2694,694,561,698,,
M5005_Spy0641,2123,3260,1788,4943,5993,4414,939,1987,3665,1032,864,960,,
M5005_Spy0642,3767,6059,2990,11254,11604,8913,1841,3357,7019,1634,1668,1538,,
M5005_Spy0643,7402,13064,6407,30224,34276,24246,3762,6842,15100,4176,4145,4152,,
M5005_Spy0644,5216,6589,5195,23300,22453,22030,8520,11589,20347,41474,39414,48898,,
M5005_Spy0645,3159,6421,3127,12118,13277,13020,4866,8710,17388,23940,21269,29290,,
M5005_Spy0646,5556,8478,5696,17086,18821,17551,7468,13342,25782,37105,30643,43076,,
M5005_Spy0647,5628,8816,4138,8607,8963,9817,5530,11329,24684,24456,20660,27794,,
M5005_Spy0648,6328,7505,6815,517,567,587,5800,7257,13161,3619,2201,3384,,
M5005_Spy0649,2409,5633,1094,90,124,115,985,4457,13910,612,404,546,,
M5005_Spy0650,72,225,31,5,6,6,32,167,544,25,19,17,,
M5005_Spy0651,5228,8009,5249,2854,2810,2499,4559,8028,15485,1617,1353,1091,,
M5005_Spy0652,545,1264,491,279,394,295,398,1208,2560,210,121,180,,
M5005_Spy0653,135,142,143,82,90,84,131,180,209,96,72,81,,
M5005_Spy0654,995,819,811,170,220,178,791,966,1775,371,412,282,,
M5005_Spy0655,6495,11980,6071,409,402,384,4775,10408,23420,1986,2045,1274,,
M5005_Spy0656,5203,10366,4612,326,300,287,3775,8376,21382,1817,1652,1205,,
M5005_Spy0657,3441,6427,3412,324,357,314,2561,4690,10253,1341,1165,1012,,
M5005_Spy0658,8080,10613,8866,2444,2590,2394,5802,7698,11759,5932,5798,4785,,
M5005_Spy0659,16319,24748,14376,5951,6442,6041,10524,22144,37199,12705,10746,10183,,
M5005_Spy0660,3439,4929,3450,29957,28377,31981,3690,5108,10837,17864,16241,18549,,
M5005_Spy0661,4338,6743,4408,28001,24825,27280,4433,6308,11062,16628,15555,18115,,
M5005_Spy0662,5728,13136,5499,29589,33738,36591,4800,10813,22040,19319,15748,21262,,
M5005_Spy0663,613,998,588,928,819,1083,513,794,1660,1246,966,1017,,
M5005_Spy0664,3494,4972,3029,464,600,510,4971,9186,18330,1107,913,952,,
M5005_Spy0665,187,543,127,15,19,16,168,946,2462,52,25,38,,
M5005_Spy0666,2,2,4,0,1,0,3,6,6,3,1,2,,
M5005_Spy0667,9,12,10,2,2,2,10,16,37,4,3,3,,
M5005_Spy0668,87,126,102,17,21,30,130,180,340,43,40,35,,
M5005_Spy0669,12,28,11,1,2,3,12,13,17,6,4,4,,
M5005_Spy0670,12,12,13,3,5,4,12,15,28,12,17,8,,
M5005_Spy0671,5211,5837,4379,1935,2539,2415,4556,6069,12912,5128,5391,4172,,
M5005_Spy0672,9729,10918,8967,3397,3946,3781,9852,12273,33111,11022,11257,8733,,
M5005_Spy0673,4015,6592,3615,1555,1480,1659,3394,5975,11221,3547,3142,3306,,
M5005_Spy0674,6458,13825,5502,2071,2149,2049,4838,11345,22977,4391,3585,3683,,
M5005_Spy0675,6,13,2,1,0,0,2,5,12,1,1,1,,
M5005_Spy0676,244,168,260,7,12,10,230,207,456,237,234,121,,
M5005_Spy0677,553,734,509,30,33,29,414,691,1247,645,442,286,,
M5005_Spy0678,2188,2793,2040,391,330,333,2505,3554,6171,1961,1677,1099,,
M5005_Spy0679,2770,2614,2959,2162,2316,2287,2744,2482,4048,3488,3522,3040,,
M5005_Spy0680,4381,6667,4498,3017,3170,3222,4301,4936,11190,5551,4493,5001,,
M5005_Spy0681,6524,9674,5168,2676,3225,3252,4339,9463,19582,5653,4545,5301,,
M5005_Spy0682,2402,3631,1986,1411,1386,1393,1397,2777,4386,2338,2125,1863,,
M5005_Spy0683,5499,9586,4305,3365,3151,2804,3243,7203,14701,4988,4451,3751,,
M5005_Spy0684,3632,7720,3075,2577,2548,2713,2222,5356,12015,4039,3168,3176,,
M5005_Spy0685,4473,8108,3758,2321,2253,2264,2962,5410,12378,3996,3617,3322,,
M5005_Spy0686,4486,7309,3816,1269,1536,1217,2635,5183,10612,3407,2564,2175,,
M5005_Spy0687,5381,7773,4822,1042,1152,795,3349,6123,9907,3919,3192,2360,,
M5005_Spy0688,4983,8310,4692,987,1052,885,3765,6328,11406,3005,2586,1847,,
M5005_Spy0689,3297,4733,3087,738,849,795,2177,3690,7113,1883,1854,1298,,
M5005_Spy0690,1327,1356,1299,330,383,338,1064,944,2424,789,868,586,,
M5005_Spy0691,13098,21168,10958,4596,5238,4689,8478,16066,28365,8644,7626,6613,,
M5005_Spy0692,8879,16157,7156,2800,2968,2741,5205,10840,24804,5071,4362,3793,,
M5005_Spy0693,8914,11381,9551,835,799,672,5867,7854,17613,3682,3308,2431,,
M5005_Spy0694,11021,17154,9469,11065,11647,11765,8090,14750,25957,68325,54166,329582,,
M5005_Spy0695,1947,4341,1628,1501,1608,1587,1078,3107,5020,2711,2316,4039,,
M5005_Spy0696,5727,8998,5322,8820,8942,8115,4273,7920,13477,9644,8500,11981,,
M5005_Spy0697,4648,10304,3324,5163,4539,4467,3002,6090,16788,6356,5149,7884,,
M5005_Spy0698,3174,6266,2568,3836,3978,3912,2112,4592,10486,4280,3706,5434,,
M5005_Spy0699,7614,10533,7310,9076,8722,7470,5820,7890,17625,9059,8689,11374,,
M5005_Spy0700,1995,3039,1775,2402,2313,2007,1760,2145,5211,3299,2492,3906,,
M5005_Spy0701,2471,3978,2490,1284,1613,1398,1405,2430,5041,3650,2968,4922,,
M5005_Spy0702,2515,3614,1808,1662,2314,2404,1445,3342,11079,1775,2140,2188,,
M5005_Spy0703,605,1033,533,1099,1068,880,330,641,1287,188,197,229,,
M5005_Spy0704,546,877,555,1928,2042,1705,347,516,1285,228,231,278,,
M5005_Spy0705,1570,2293,1626,4632,4993,3945,825,1311,3541,1188,1063,1304,,
M5005_Spy0706,3422,4320,3346,2780,3366,2281,2826,3771,6549,2195,1918,2554,,
M5005_Spy0707,3200,3417,3051,3080,3411,2319,2553,2898,7353,2032,1581,2251,,
M5005_Spy0708,785,1719,710,656,658,587,748,1443,3240,1295,1323,1358,,
M5005_Spy0709,3694,6589,3383,3263,3189,2708,3644,5780,12456,6364,5276,7192,,
M5005_Spy0710,1899,3588,1553,243,365,327,1036,2330,5301,1019,733,1181,,
M5005_Spy0711,14442,30600,12582,5598,5538,4897,8507,18624,37509,13125,11740,13295,,
M5005_Spy0712,20363,34531,17704,10567,11092,8970,12125,23016,49157,16556,14330,15714,,
M5005_Spy0713,6209,11672,5304,1161,1209,1057,6231,13109,30382,2905,2607,2350,,
M5005_Spy0714,1175,1823,1029,37,49,42,849,1587,4411,302,263,206,,
M5005_SpyT0046,407,668,249,4,5,4,205,610,2208,50,57,28,,
M5005_SpyT0047,121,175,82,2,0,2,71,158,710,17,22,15,,
M5005_Spy0715,63323,113250,54082,1330,1538,1291,44317,106267,187985,13152,11015,12615,,
M5005_SpyT0048,22,137,16,3,5,1,18,107,282,19,7,9,,
M5005_Spy0716,626,939,482,731,695,643,405,738,2018,1200,1099,1349,,
M5005_Spy0717,2394,3381,2254,1175,1330,1198,2156,3208,7295,3435,3128,3477,,
M5005_Spy0718,72,132,75,66,57,54,63,102,227,109,90,99,,
M5005_Spy0719,259,738,189,153,165,145,150,452,1373,244,198,305,,
M5005_Spy0720,1295,2689,1058,935,890,658,692,1939,3660,1534,1246,1218,,
M5005_Spy0721,1089,2672,944,944,1017,1136,583,2032,5237,2348,1660,3450,,
M5005_Spy0722,1746,2294,1994,1045,1337,1147,1601,2196,3404,3588,2229,3818,,
M5005_Spy0723,4290,7690,3616,1089,1162,1167,2705,5589,8726,2674,2382,3433,,
M5005_Spy0724,2103,2877,2001,512,523,510,1419,2256,3942,1115,1041,1416,,
M5005_Spy0725,5234,8494,5006,1125,1120,1010,3663,5774,12230,2747,2352,3491,,
M5005_Spy0726,2885,5865,2534,819,925,846,1800,4085,8659,1617,1315,2006,,
M5005_Spy0727,4645,7112,4042,1047,1024,1080,2710,4555,9239,2057,1922,2378,,
M5005_Spy0728,3800,5403,4048,619,654,680,2754,5053,7237,1866,1611,1823,,
M5005_Spy0729,6410,9155,6101,1001,1083,1076,4551,6967,12681,3997,2835,3874,,
M5005_Spy0730,2173,4885,1646,209,272,261,1207,3513,7729,944,644,951,,
M5005_Spy0731,1263,2185,1085,95,98,80,1043,1845,3733,639,607,587,,
M5005_Spy0732,5084,10254,4298,552,535,475,3873,9138,16995,2621,2533,2493,,
M5005_Spy0733,2996,5750,2751,472,499,466,2702,4785,11372,2039,1730,1888,,
M5005_Spy0734,27669,38522,31166,18604,18482,15773,29497,33826,63070,42528,36010,38440,,
M5005_Spy0735,4320,5346,5143,2930,3355,2794,4736,5381,8513,5589,5353,4581,,
M5005_Spy0736,20708,43089,17072,8793,8979,7770,15928,34141,80713,21157,16045,19832,,
M5005_Spy0737,1671,2169,1732,921,933,985,1952,2153,3672,2311,1966,2081,,
M5005_Spy0738,4208,5721,3634,1373,1613,1485,3321,5326,10092,3453,3011,3428,,
M5005_Spy0739,4174,8270,3499,1230,1474,1420,2780,7514,13402,3300,2451,3411,,
M5005_Spy0740,1721,2802,1633,259,292,244,1716,3392,6271,955,734,809,,
M5005_Spy0742,94,66,112,9,12,10,124,89,94,57,40,43,,
M5005_Spy0743,1779,2773,1772,108,94,105,1622,2042,3852,281,245,206,,
M5005_Spy0744,95,241,122,4,6,7,88,206,350,19,17,17,,
M5005_Spy0745,1841,2086,2156,151,156,163,1735,1497,2845,358,297,254,,
M5005_Spy0746,4233,6549,3921,543,564,493,3398,4353,10143,732,713,567,,
M5005_Spy0747,20350,27439,18969,13200,13368,13304,16573,24870,46095,23198,21988,27339,,
M5005_Spy0748,2500,6653,1882,457,472,451,1576,5128,13398,1183,950,1480,,
M5005_Spy0749,930,1684,950,168,222,204,830,1416,2932,516,487,698,,
M5005_Spy0750,12428,22395,9369,2184,1883,2135,8129,17833,42466,5642,4700,6789,,
M5005_Spy0751,8435,14149,7105,7466,7644,8342,5614,10359,20875,5905,5375,8543,,
M5005_Spy0752,8609,16451,7120,7589,8259,8682,4988,11990,24213,6788,5554,9269,,
M5005_Spy0753,10039,18756,8167,7862,8768,8724,5735,13977,26922,7499,6104,11161,,
M5005_Spy0754,2156,3058,1399,1382,1303,1243,1173,2092,4508,1385,1092,1841,,
M5005_Spy0755,14969,20509,13859,11838,13157,11555,9396,16366,28648,10207,8873,14714,,
M5005_Spy0756,3909,6805,2954,2191,2052,1803,2052,4820,11845,2531,1846,3319,,
M5005_Spy0757,6055,7797,5969,4218,4877,4066,4017,6081,10195,6179,4820,5126,,
M5005_Spy0758,4933,6067,4535,1085,1256,1083,4384,6268,12000,3448,2882,2798,,
M5005_Spy0759,1196,2213,1186,297,383,392,839,1759,3317,817,546,820,,
M5005_Spy0760,6495,9056,5876,3058,3133,2979,4714,6675,14122,5732,4773,5108,,
M5005_Spy0761,2575,3154,2776,593,656,566,3045,3984,5898,1619,1473,1083,,
M5005_Spy0762,3811,6795,3291,1126,1051,975,3967,7273,14146,2090,1862,1577,,
M5005_Spy0763,7693,15310,6750,1599,2017,1989,6469,14988,29985,6206,5585,4578,,
M5005_Spy0764,350,720,264,46,51,50,272,655,1450,168,123,123,,
M5005_Spy0765,4421,6567,3787,1456,1311,1118,2908,4606,9754,5929,6226,4394,,
M5005_Spy0766,3076,5997,2493,1186,947,968,1901,4417,8685,3144,2935,2650,,
M5005_Spy0767,3142,5898,3032,1634,1479,1314,2362,4559,9344,4052,3743,3404,,
M5005_Spy0768,4249,5725,4075,2337,2196,1790,2886,3960,9423,5765,4689,5330,,
M5005_Spy0769,3160,5369,2782,1126,1104,1112,2960,5670,11302,1251,970,1030,,
M5005_Spy0770,782,1049,757,344,366,360,683,989,2019,361,315,303,,
M5005_Spy0771,363,702,286,133,149,144,253,671,1366,197,155,131,,
M5005_Spy0772,277,419,274,130,147,165,219,468,835,148,107,113,,
M5005_Spy0773,645,502,681,676,551,749,616,497,834,873,1098,1151,,
M5005_Spy0774,482,964,351,329,256,361,264,687,1128,635,589,920,,
M5005_Spy0775,81,273,61,84,82,100,51,200,380,109,106,165,,
M5005_Spy0776,10294,20164,8761,2512,2859,2822,7572,17150,35928,6029,5624,6328,,
M5005_Spy0777,26365,59775,20708,6000,5461,5124,19438,44353,101625,11328,10571,13455,,
M5005_Spy0778,591,891,554,657,706,679,523,1016,1988,1335,1358,957,,
M5005_Spy0779,3566,5359,3071,4317,4895,4086,3393,6182,15692,8101,7847,6328,,
M5005_Spy0780,4952,9410,5196,41760,33986,33144,2399,4263,8908,14542,12336,9529,,
M5005_Spy0781,1985,3837,1753,35001,34894,35493,838,2147,4036,7984,6342,5323,,
M5005_Spy0782,1937,3981,1851,32779,34317,33277,785,2050,4196,7506,6399,4588,,
M5005_Spy0783,3280,6647,2978,53415,55682,59032,1210,2723,7465,14326,9437,9983,,
M5005_Spy0784,1416,2356,1373,4833,5099,4931,1116,1946,3530,1902,1427,1313,,
M5005_Spy0785,891,1112,853,2230,2316,2287,835,1138,1668,936,785,581,,
M5005_Spy0786,1349,1821,1270,2859,3045,3125,1293,1722,3573,1599,1213,1053,,
M5005_Spy0787,648,864,639,229,222,258,478,703,1586,389,290,256,,
M5005_Spy0788,1348,2076,1254,457,471,472,1058,1437,2958,724,673,600,,
M5005_Spy0789,1790,3389,1338,564,550,542,1161,2399,4604,834,840,671,,
M5005_Spy0790,3223,6791,2664,4054,3860,3938,1906,4243,11694,2846,2627,2584,,
M5005_Spy0791,7023,12984,6428,3650,3558,3702,4246,7843,17814,8982,7784,9155,,
M5005_Spy0792,2109,3456,2315,765,762,881,1754,2105,6416,2601,2604,2601,,
M5005_Spy0793,5275,15385,4835,2139,2144,2464,3569,8844,34116,4973,5239,5163,,
M5005_Spy0794,3755,6684,3281,135,174,136,1975,4540,11052,713,575,431,,
M5005_Spy0795,34920,59846,32408,2031,2316,2134,24664,52448,95402,7057,7287,6956,,
M5005_Spy0796,19292,36236,16636,1624,2004,1768,11585,32860,66687,5645,4612,5741,,
M5005_Spy0797,1,2,1,2,1,0,1,4,8,1,2,0,,
M5005_Spy0798,5,14,5,7,3,4,3,15,14,5,6,5,,
M5005_Spy0799,3,5,2,7,5,4,2,7,13,8,5,7,,
M5005_Spy0800,26,16,14,40,33,22,11,11,34,41,22,37,,
M5005_Spy0801,2,1,2,3,4,3,1,0,1,4,3,3,,
M5005_Spy0802,0,3,0,3,2,3,2,2,4,2,1,1,,
M5005_Spy0803,6,13,7,3,7,7,4,5,12,16,7,12,,
M5005_Spy0804,1369,1469,1443,563,579,547,1243,1193,2158,1659,1691,1525,,
M5005_Spy0805,2445,3043,2360,796,770,847,1902,2229,4489,2224,2069,2135,,
M5005_Spy0806,213,310,201,68,86,68,134,238,583,161,123,159,,
M5005_Spy0807,87,115,100,80,77,83,83,79,134,127,125,115,,
M5005_Spy0808,181,239,212,265,221,246,207,177,361,246,255,253,,
M5005_Spy0809,102,103,92,97,116,122,87,83,151,136,139,120,,
M5005_Spy0810,184,219,145,147,198,177,112,204,387,190,183,165,,
M5005_Spy0811,3,11,8,4,14,13,6,10,17,10,7,16,,
M5005_Spy0812,21,44,23,13,11,15,13,24,28,27,18,30,,
M5005_Spy0817,2580,4792,2307,596,585,618,1675,3350,7020,2013,1800,2061,,
M5005_Spy0818,5008,8277,4353,1171,1355,974,4243,8310,17038,5365,3891,4302,,
M5005_Spy0819,265,157,339,51,68,37,406,189,194,365,277,191,,
M5005_Spy0820,16665,29633,11905,8405,8792,10991,10597,26230,71344,17746,18259,19772,,
M5005_Spy0821,6694,10856,6761,5356,5104,5399,6140,7999,18589,11672,11615,15069,,
M5005_Spy0822,5913,10753,5581,5297,5105,5629,4956,8081,18428,11933,11627,14967,,
M5005_Spy0823,2775,5678,2398,1986,1903,1890,1956,3768,6049,4138,4184,5440,,
M5005_Spy0824,9406,16088,8565,5633,5584,4887,6915,10325,26337,13308,12962,16981,,
M5005_Spy0825,3394,6363,3144,968,867,874,2174,4127,8514,1449,1343,1428,,
M5005_Spy0826,7102,12376,6401,2217,2111,2073,3795,7395,18201,3049,2580,3003,,
M5005_Spy0827,1825,3960,1729,539,598,603,933,1937,5835,824,680,833,,
M5005_Spy0828,2848,4856,2861,753,845,722,1430,2260,5532,917,826,952,,
M5005_Spy0829,8007,14321,7302,1785,1829,1517,3703,6321,15004,2184,2115,2470,,
M5005_Spy0830,186,342,215,145,132,132,142,231,458,150,104,145,,
M5005_Spy0831,754,1083,706,552,580,525,536,787,1428,678,510,556,,
M5005_Spy0832,82,209,87,85,88,112,53,100,347,71,50,53,,
M5005_Spy0833,98,162,73,79,74,75,44,92,256,45,51,56,,
M5005_Spy0834,118,361,115,901,919,1096,57,164,446,270,226,267,,
M5005_Spy0835,1080,1355,1021,5283,5478,7011,1349,1712,4433,2061,1982,1998,,
M5005_Spy0837,4931,7077,5114,483,497,386,3386,4697,9695,1175,984,718,,
M5005_Spy0838,1498,2665,1213,234,302,232,807,1291,3574,462,342,392,,
M5005_Spy0839,7445,11483,6650,2205,2360,2003,4983,8348,19191,3312,2805,3062,,
M5005_Spy0840,1102,1734,776,86,83,83,512,1669,3136,354,249,348,,
M5005_Spy0841,3253,4698,3294,382,398,364,2273,3789,7049,1577,1244,1388,,
M5005_Spy0842,6575,8069,6418,2731,3316,3025,5011,6197,12147,6436,5470,6368,,
M5005_Spy0843,1063,1443,1140,470,630,525,806,1100,1781,941,783,957,,
M5005_Spy0844,12267,21673,11142,5069,4851,4608,9256,15451,32750,10958,9450,10982,,
M5005_Spy0845,7039,10661,6709,3616,3832,3322,5260,9585,15264,7045,5906,6632,,
M5005_Spy0846,908,1311,912,147,217,166,640,1073,2080,765,621,621,,
M5005_Spy0847,3560,4673,3382,424,398,328,3246,4849,9571,3255,2727,2290,,
M5005_Spy0848,4829,5815,4815,562,555,408,4243,5241,10649,3888,3385,3081,,
M5005_Spy0849,1840,2907,2000,538,740,705,1518,2294,4088,1651,1313,1753,,
M5005_Spy0851,5499,10650,6206,10270,13397,14104,4748,7144,17599,13174,9049,16585,,
M5005_Spy0852,1276,2865,1054,4297,4416,4089,776,1774,3692,2148,2102,2355,,
M5005_Spy0853,243,685,231,753,805,713,167,491,1026,466,401,452,,
M5005_Spy0854,1371,2220,1147,4025,4592,4369,866,1672,3786,2640,2111,2602,,
M5005_Spy0855,1451,2688,1235,3455,3731,3754,1024,1974,4443,4250,3291,3303,,
M5005_Spy0856,2287,3817,1877,4100,4724,4572,1604,3411,6678,5031,3957,4012,,
M5005_Spy0857,167,201,175,84,66,81,592,568,938,370,387,324,,
M5005_Spy0858,2716,3687,2910,12,20,14,2291,3558,5497,77,58,62,,
M5005_Spy0859,11180,20112,10720,64,96,68,8317,15116,30683,340,298,265,,
M5005_Spy0860,826,1938,830,26,36,19,848,1933,4400,255,193,136,,
M5005_Spy0861,356,821,384,20,15,16,380,1154,2325,151,115,68,,
M5005_Spy0862,2659,3524,2601,183,173,163,2366,2833,5582,1384,1266,906,,
M5005_Spy0863,5886,8151,5972,966,997,846,5082,7364,12479,3703,3015,2733,,
M5005_Spy0864,5674,7652,5688,1959,1790,1506,4696,6139,12284,4032,3494,3032,,
M5005_Spy0865,3498,5844,2954,1524,1488,1353,2492,4438,9109,2977,2581,2379,,
M5005_Spy0866,1854,2582,1686,990,1058,933,1394,2298,3707,1862,1483,1492,,
M5005_Spy0867,3676,7188,2738,1455,1744,1203,2231,6643,13438,2649,2257,2068,,
M5005_Spy0868,8620,11231,7938,3995,4126,2973,6494,9368,17606,7349,5912,5872,,
M5005_Spy0869,4361,11212,3475,1185,1460,1190,2717,7675,14153,2987,2072,2344,,
M5005_Spy0870,5962,10375,5026,1943,2128,1970,3908,7836,17141,4263,3630,3396,,
M5005_Spy0871,3094,4949,2648,906,1022,981,1779,3675,6860,2131,1812,1796,,
M5005_Spy0872,5814,12343,5234,2569,3297,3046,3196,8452,14732,11549,8558,8689,,
M5005_Spy0873,10222,19045,8834,3616,4474,4217,7766,18146,37504,5984,4630,5100,,
M5005_Spy0874,18982,27174,17636,2990,3068,2376,14532,25347,44794,13382,12314,11474,,
M5005_Spy0875,11224,14729,10940,2904,2987,2108,8915,13132,24869,7976,7078,6960,,
M5005_Spy0876,933,1776,823,185,233,131,641,1501,3125,505,327,392,,
M5005_Spy0877,750,392,895,8802,9944,9032,1178,577,714,6194,6960,8524,,
M5005_Spy0878,6641,7356,5635,53172,57599,51982,7028,9046,19881,44274,39465,68282,,
M5005_Spy0879,2668,6268,2102,4362,5772,4892,1513,4758,10925,5551,3417,6517,,
M5005_Spy0880,1429,2181,1509,4523,5731,4804,867,1471,2498,2456,1182,4111,,
M5005_Spy0881,605,1423,573,1276,1683,1452,244,802,1453,773,343,1472,,
M5005_Spy0882,2354,3495,1835,553,621,625,1335,2671,5572,1590,1422,1509,,
M5005_Spy0883,3297,5494,3015,618,720,660,2063,3864,8128,2270,1818,1991,,
M5005_Spy0884,89,167,89,21,24,15,55,121,308,33,29,39,,
M5005_Spy0885,12044,18185,11425,1577,1353,1223,6085,11036,23490,4138,3742,2690,,
M5005_Spy0886,134,251,93,8,17,10,39,170,334,39,32,28,,
M5005_Spy0887,6,8,4,1,2,2,1,4,12,3,5,4,,
M5005_Spy0888,7,6,3,2,3,2,3,5,9,7,5,3,,
M5005_Spy0889,85,127,77,28,23,21,45,78,158,65,41,52,,
M5005_Spy0890,84,127,101,25,21,27,50,82,172,60,63,69,,
M5005_Spy0891,749,1146,694,214,296,238,355,685,1243,213,196,158,,
M5005_Spy0892,1137,2490,983,320,404,368,485,1170,2602,374,293,369,,
M5005_Spy0893,2275,4106,2348,606,573,507,1672,2846,12785,1289,1435,1224,,
M5005_Spy0894,648,1324,541,253,212,203,341,645,1654,300,332,239,,
M5005_Spy0895,264,325,262,117,109,109,160,202,486,144,128,117,,
M5005_Spy0896,211,551,160,74,64,73,87,280,767,71,68,65,,
M5005_Spy0897,1942,3595,1402,581,599,528,1100,2428,5984,804,648,616,,
M5005_Spy0898,761,1649,641,140,198,173,443,1068,2259,263,182,198,,
M5005_Spy0899,2432,2956,2190,731,694,595,1812,2159,5278,1108,867,692,,
M5005_Spy0900,98,104,125,178,179,145,75,66,101,89,75,48,,
M5005_Spy0901,42,31,58,441,410,470,51,26,34,251,180,203,,
M5005_Spy0902,217,281,200,1519,1282,1344,146,198,453,657,576,654,,
M5005_Spy0903,189,378,152,897,822,843,113,211,497,422,354,368,,
M5005_Spy0904,60,92,49,315,282,325,34,59,128,129,114,124,,
M5005_Spy0905,106,189,87,716,762,880,62,108,164,278,214,298,,
M5005_Spy0906,163,268,130,826,999,1067,80,171,371,296,220,320,,
