,JE84-1-05,JE84-2-05,JE84-3-05,JE84-1-15,JE84-2-15,JE84-3-15,WT-1-05,WT-2-05,WT-3-05,WT-1-15,WT-2-15,WT-3-15,,
M5005_SpyT0038,201,318,160,3,3,3,103,219,654,16,22,7,,
M5005_SpyT0039,227,286,181,9,9,11,107,221,654,26,31,16,,
M5005_SpyT0040,219,272,171,11,11,12,95,215,672,25,30,18,,
M5005_SpyT0041,171,208,149,11,11,9,81,175,584,25,27,16,,
M5005_Spy0073,211,538,278,93,74,98,150,203,264,94,115,121,,
M5005_Spy0074,45,67,53,45,67,55,37,53,100,98,80,60,,
M5005_Spy0075,66,120,104,86,104,103,76,83,143,116,135,89,,
M5005_Spy0076,528,698,457,412,327,418,346,512,1030,533,613,450,,
M5005_Spy0077,823,1190,956,671,737,735,783,939,1658,1225,1043,991,,
M5005_Spy0078,3194,4269,3492,1489,1654,1524,2911,4004,6798,2425,2131,2069,,
M5005_Spy0079,3216,4026,3090,2041,2450,1978,2318,3544,6193,2050,1839,1626,,
M5005_Spy0080,422,786,367,108,83,72,457,589,1700,122,121,88,,
M5005_Spy0081,7849,11785,7180,2065,2365,1403,8485,14398,25287,3873,2895,2093,,
M5005_Spy0082,8658,18463,7109,4310,4796,4846,6093,14142,35367,7108,7230,5779,,
M5005_Spy0083,20753,35425,20940,6540,6916,5492,19398,33309,66648,12029,9951,8783,,
M5005_Spy0084,37040,65868,32862,12522,12495,11495,34017,61087,155732,23144,19838,18001,,
M5005_Spy0085,276,665,251,233,381,405,179,598,1454,642,411,714,,
M5005_Spy0086,60,82,75,20,16,16,39,55,90,23,26,41,,
M5005_Spy0087,59,97,75,13,18,14,38,47,136,25,19,26,,
M5005_Spy0088,28,35,23,7,5,5,12,16,23,12,7,10,,
M5005_Spy0089,21,22,11,3,7,3,7,13,38,5,4,5,,
M5005_Spy0090,38,39,26,7,11,6,12,23,71,13,7,9,,
M5005_Spy0091,32,34,32,11,11,4,12,23,33,13,9,8,,
M5005_Spy0092,16,33,20,6,7,4,9,12,34,12,5,10,,
M5005_Spy0093,7716,10180,7332,478,530,503,5122,7457,13179,3347,2838,2312,,
M5005_Spy0094,15223,28555,13895,1463,1431,1517,10711,20163,46191,8401,6543,5876,,
M5005_Spy0095,323,646,232,44,40,30,150,332,1027,59,58,70,,
M5005_Spy0096,2465,5737,2371,2205,2065,2157,2141,4663,17580,3687,3128,3952,,
M5005_Spy0097,2524,5387,2564,2133,1887,1958,2135,3366,16415,3544,3440,3379,,
M5005_Spy0098,239,564,232,162,161,171,161,324,1170,438,341,355,,
M5005_Spy0099,1278,1658,1216,127,113,93,1047,1283,1969,1040,928,773,,
M5005_Spy0100,1375,2072,1248,98,109,83,1035,1823,2834,983,899,672,,
M5005_Spy0101,1571,3966,1523,174,188,185,1140,3016,6643,1255,969,1004,,
M5005_Spy0102,42,122,31,3,4,3,19,106,262,17,13,11,,
M5005_Spy0103,7271,10540,7403,2262,2100,1637,4615,6848,13877,3812,3279,3261,,
M5005_Spy0104,7474,12153,6778,2013,1945,1757,4321,8364,14664,3824,3308,3006,,
