,copY_Cu1,copY_Cu2,copY_Cu3,copY_Cu4
CHF17_RS06650,6024,9531,10143,7915
CHF17_RS06655,16477,8954,11992,9241
CHF17_RS06660,1990,1820,2104,1364
CHF17_RS06665,4638,5024,6397,3042
CHF17_RS06670,5519,2944,4202,3233
CHF17_RS06675,6546,6465,8976,5040
CHF17_RS06680,8762,6041,7903,6795
CHF17_RS06685,11634,7190,9977,8545
CHF17_RS06690,6179,3297,3688,4043
CHF17_RS06695,1325,1097,1260,858
CHF17_RS06700,7913,7999,8664,5881
CHF17_RS06705,13070,9290,9884,10776
CHF17_RS06710,1170,1768,2102,1619
CHF17_RS06715,256,380,456,387
CHF17_RS06720,1304,1536,1651,810
CHF17_RS06725,6647,22472,27640,9999
CHF17_RS06730,1188,1765,2646,744
CHF17_RS06735,965,1272,1721,505
CHF17_RS06740,368,459,657,204
CHF17_RS06745,94,138,258,69
CHF17_RS06750,30,48,87,25
CHF17_RS06755,383,662,979,316
CHF17_RS06760,543,744,904,390
CHF17_RS06765,1339,968,1750,920
CHF17_RS06770,11548,10866,12885,8516
CHF17_RS06775,405,451,383,225
CHF17_RS06780,108,209,321,142
CHF17_RS06785,433,592,712,454
CHF17_RS06790,274,215,316,221
CHF17_RS06795,3400,1818,2601,2031
CHF17_RS06800,11822,16226,23837,9512
CHF17_RS06805,4017,6555,9134,2850
CHF17_RS06810,6210,14016,17555,5620
CHF17_RS06815,79593,123114,135901,44569
CHF17_RS06820,150478,224430,253426,77118
CHF17_RS06825,1167,1970,3970,1132
CHF17_RS06830,1282,2145,2757,1777
CHF17_RS06835,1538,2546,3027,2335
CHF17_RS06840,167,309,360,176
CHF17_RS06845,269,427,518,244
CHF17_RS06850,16,48,55,18
CHF17_RS06855,545,662,702,372
CHF17_RS06860,7230,9795,9405,4617
CHF17_RS06865,16687,24553,26215,13068
CHF17_RS06870,1518,2253,2773,1328
CHF17_RS06875,5317,7613,8346,4638
CHF17_RS06880,4709,6786,7832,3590
CHF17_RS06885,7009,5628,6200,4324
CHF17_RS06890,8867,8532,8477,5049
CHF17_RS06895,458,5039,4863,523
CHF17_RS06900,807,16417,15423,1415
CHF17_RS06905,13136,31399,31084,10036
CHF17_RS06910,7497,6313,7412,5144
CHF17_RS06915,1285,1316,1589,842
CHF17_RS06920,6452,11169,12647,5132
CHF17_RS06925,4234,8115,9750,3691
CHF17_RS06930,3984,6156,7290,3354
CHF17_RS06935,3304,4067,4508,2184
CHF17_RS06940,10251,8433,10595,7111
CHF17_RS06945,6177,4937,5836,3546
CHF17_RS06950,4838,3398,4199,2532
CHF17_RS06955,3888,3318,4504,3290
CHF17_RS06960,3280,2688,3626,3216
CHF17_RS06965,1168,637,865,888
CHF17_RS06970,19046,24284,46721,32600
CHF17_RS06975,3808,4756,5747,3386
CHF17_RS06980,8162,12255,12646,6697
CHF17_RS06985,18234,11701,11375,13765
CHF17_RS06990,11639,15517,18017,10431
CHF17_RS06995,4676,10959,13061,6100
CHF17_RS07000,903,2265,2382,1035
CHF17_RS07005,4999,11483,14156,6621
CHF17_RS07010,2327,5568,6717,3107
CHF17_RS07015,24105,22540,27959,14514
CHF17_RS07020,10020,8907,10886,5716
CHF17_RS07025,1605,1584,1859,972
CHF17_RS07030,601,950,1196,428
CHF17_RS07035,6362,15824,17241,10810
CHF17_RS07040,2947,6262,6348,4080
CHF17_RS07045,2251,3548,3472,2216
CHF17_RS07050,24265,6578,11336,10728
CHF17_RS07055,42379,8325,12877,12209
CHF17_RS07060,7496,14072,16207,4902
CHF17_RS07065,6165,13588,15762,4799
CHF17_RS07070,1450,3700,4935,1145
CHF17_RS07075,1926,3647,4134,1010
CHF17_RS07080,831,1340,1453,421
CHF17_RS07085,19,35,36,8
CHF17_RS07090,37,53,71,23
CHF17_RS07095,6159,6699,8406,3490
CHF17_RS07100,67046,51965,63230,29599
CHF17_RS07105,87191,76001,89067,38154
CHF17_RS07110,12922,17595,21166,19933
CHF17_RS07115,1557,3426,4652,5281
CHF17_RS07120,8774,9531,12642,14763
CHF17_RS07125,23155,10465,15021,19785
CHF17_RS07130,6272,5268,7402,8641
CHF17_RS07135,4145,2284,3150,4525
CHF17_RS07140,5825,6842,7830,3899
CHF17_RS07145,2526,2446,3773,1725
CHF17_RS07150,5117,5494,7380,3656
CHF17_RS07155,8778,8361,7774,2177
CHF17_RS07160,46684,51867,62530,20019
CHF17_RS07165,41284,50981,55439,19779
CHF17_RS07170,5316,7777,9290,6853
CHF17_RS07175,5863,15254,19475,6743
CHF17_RS07180,7591,12784,15984,6383
CHF17_RS07185,3457,3057,2913,1960
CHF17_RS07190,5308,9593,11437,7821
CHF17_RS07195,3437,8139,11560,7692
CHF17_RS07200,2348,4594,5737,4018
CHF17_RS07205,4183,6711,9084,6096
CHF17_RS07210,2252,3708,4602,3153
CHF17_RS07215,3446,7742,10119,6459
CHF17_RS07220,1641,2365,3121,2043
CHF17_RS07225,6102,6882,9003,5718
CHF17_RS07230,7202,7293,9845,5628
CHF17_RS07235,4028,4006,4806,3098
CHF17_RS07240,109997,110557,140594,83969
CHF17_RS07245,7166,5543,6118,5171
CHF17_RS07250,3330,5172,5877,2839
CHF17_RS07255,1050,2057,2623,1225
CHF17_RS07260,16377,15783,21309,10483
CHF17_RS07265,34966,31549,43376,22631
CHF17_RS07270,34214,34745,40173,18966
CHF17_RS07275,18597,32119,45924,10655
CHF17_RS07280,16751,30298,39043,8422
CHF17_RS07285,44121,86664,111704,23889
CHF17_RS07290,18187,18356,20351,14131
CHF17_RS07295,10621,11268,14146,8623
CHF17_RS07300,2420,2600,2987,1460
CHF17_RS07305,9090,8354,10839,7234
CHF17_RS07310,26885,22124,27159,21159
CHF17_RS07315,16754,13368,15672,10993
CHF17_RS07320,16058,11624,13564,10802
CHF17_RS07325,39658,18980,26656,19582
CHF17_RS07330,71174,36934,55189,36968
CHF17_RS07335,21961,14746,20853,14069
CHF17_RS07340,13250,10953,15954,10711
CHF17_RS07345,8111,5108,6836,5466
CHF17_RS07350,60811,33435,36084,36640
CHF17_RS07355,3653,2733,3052,2197
CHF17_RS07360,24049,24598,29017,18275
CHF17_RS07365,819,1832,2279,1535
CHF17_RS07370,3298,3045,3629,3335
CHF17_RS07375,8526,5983,7889,7917
CHF17_RS07380,14626,7236,10361,6444
CHF17_RS07385,12650,5574,8639,5302
CHF17_RS07390,2306,2517,3679,2692
CHF17_RS07395,4004,4742,6775,4797
CHF17_RS07400,3300,3898,5692,4312
CHF17_RS07405,6780,8085,11633,10506
CHF17_RS07410,10055,8936,15847,16310
CHF17_RS07415,1604,757,1408,1267
CHF17_RS07420,606,289,576,554
CHF17_RS07425,14251,24032,27137,11513
CHF17_RS07430,8284,14900,18077,7164
CHF17_RS07435,13718,26396,31334,13070
CHF17_RS07440,10212,17505,21853,9897
CHF17_RS07445,7755,15230,18039,8263
CHF17_RS07450,7609,16512,18604,8561
CHF17_RS07455,8981,18208,21477,10185
CHF17_RS07460,5897,11850,13557,6664
CHF17_RS07465,5025,10105,11538,5422
CHF17_RS07470,11360,19014,23900,10850
CHF17_RS07475,1280,1932,2402,1100
CHF17_RS07480,2766,4019,4177,2000
CHF17_RS07485,6477,8278,9489,5246
CHF17_RS07490,8339,10652,11746,6317
CHF17_RS07495,15020,9726,10413,10402
CHF17_RS07500,4808,6023,7574,2992
CHF17_RS07505,16295,21868,26456,10317
CHF17_RS07510,17648,21774,28471,11325
CHF17_RS07515,5658,3713,4347,3819
CHF17_RS07520,6185,4102,4671,4041
CHF17_RS07525,6426,9771,8920,4324
CHF17_RS07530,2335,2834,2724,1651
CHF17_RS07535,677,622,785,437
CHF17_RS07540,266,238,244,174
CHF17_RS07545,607,541,663,414
CHF17_RS07550,19319,11807,16868,13166
CHF17_RS07555,1364,685,958,843
CHF17_RS07560,981,734,931,702
CHF17_RS07565,3406,3627,5198,2664
CHF17_RS07570,1258,1674,2345,1575
CHF17_RS07575,9920,6140,6962,6204
CHF17_RS07580,10862,7793,9316,7772
CHF17_RS07585,5339,5150,6631,4511
CHF17_RS07590,3641,3610,4666,3009
CHF17_RS07595,22694,14600,17859,13658
CHF17_RS07600,1420,1536,1762,1154
CHF17_RS07605,1198,1331,1683,910
CHF17_RS07610,441,1033,1359,455
CHF17_RS07615,1015,3516,4700,1228
CHF17_RS07620,10097,11297,12888,7719
CHF17_RS07625,17687,14514,19463,13501
CHF17_RS07630,88328,173009,193818,130919
CHF17_RS07635,36800,76583,86314,49982
CHF17_RS07640,2186,1314,1887,1322
CHF17_RS07645,1635,1233,1562,1142
CHF17_RS07650,18633,21337,25141,18796
CHF17_RS07655,1217,1418,1691,1251
CHF17_RS07660,10289,4557,5146,5100
CHF17_RS07665,3428,2606,2882,2258
CHF17_RS07670,2235,1868,2967,1459
CHF17_RS07675,409,855,1046,721
CHF17_RS07680,2431,1003,1370,1296
CHF17_RS07685,10246,3223,3970,5828
CHF17_RS07690,734,1333,1519,1638
CHF17_RS07695,4038,2243,2668,3565
CHF17_RS07700,2812,2306,2599,1961
CHF17_RS07705,15447,26026,30946,8113
CHF17_RS07710,2383,3976,5848,2444
CHF17_RS07715,12631,16620,22780,15038
CHF17_RS07720,6464,6251,7643,5703
CHF17_RS07725,1259,1701,1787,1175
CHF17_RS07730,5668,5628,6322,4058
CHF17_RS07735,4382,3048,4455,3380
CHF17_RS07740,3138,1830,2311,2083
CHF17_RS07745,653,756,820,489
CHF17_RS07750,1233,1345,1539,892
CHF17_RS07755,1038,799,1060,752
CHF17_RS07760,1564,818,1329,1181
CHF17_RS07765,148,96,143,109
CHF17_RS07770,95,111,109,59
CHF17_RS07775,62,122,130,47
CHF17_RS07780,21,42,62,18
CHF17_RS07785,96,296,391,109
CHF17_RS07790,194,535,739,237
CHF17_RS07795,81,195,261,102
CHF17_RS07800,4114,4303,6595,3343
CHF17_RS07805,11365,13936,15026,7805
CHF17_RS07810,3963,4059,5092,3068
CHF17_RS07815,9432,8153,9778,6641
CHF17_RS07820,2466,1541,2116,1752
CHF17_RS07825,89,62,79,60
CHF17_RS07830,2121,1476,1944,1436
CHF17_RS07835,6679,3989,4925,3647
CHF17_RS07840,18509,14330,13945,15300
CHF17_RS07845,6072,4660,5383,4424
CHF17_RS07850,2663,1910,2129,1742
CHF17_RS07855,6559,4831,5350,4448
CHF17_RS07860,12915,12113,15357,11237
CHF17_RS07865,28832,23341,27871,20197
CHF17_RS07870,34479,25464,28471,22247
CHF17_RS07875,192,185,262,164
CHF17_RS07880,78,168,159,88
CHF17_RS07885,62,109,122,84
CHF17_RS07890,126,176,234,146
CHF17_RS07895,236,293,291,217
CHF17_RS07900,82595,135873,154551,34338
CHF17_RS07905,83339,133669,154110,37403
CHF17_RS07910,483,1069,1293,882
CHF17_RS07915,3748,3504,5018,3471
CHF17_RS07920,2289,2666,3621,2664
CHF17_RS07925,3093,2169,2953,1848
CHF17_RS07930,1127,688,1128,666
CHF17_RS07935,738,1016,1131,636
CHF17_RS07940,7677,5907,7122,5245
CHF17_RS07945,13136,17105,20769,8911
CHF17_RS07950,7145,5177,5276,5217
CHF17_RS07955,6979,8839,9395,6898
CHF17_RS07960,4933,7926,7001,5304
CHF17_RS07965,25760,20263,17607,23225
CHF17_RS07970,4529,3440,4198,2855
CHF17_RS07975,3931,4593,4848,2926
CHF17_RS07980,789,1264,1475,657
CHF17_RS07985,2299,4234,5803,3262
CHF17_RS07990,5143,7834,10208,7283
CHF17_RS07995,128,105,121,91
CHF17_RS08000,162,142,170,150
CHF17_RS08005,5358,5859,6054,4185
CHF17_RS08010,1376,1733,1747,1213
CHF17_RS08015,668,1042,1056,611
CHF17_RS08020,1021,1448,1464,947
CHF17_RS08025,319,472,460,321
CHF17_RS08030,349,374,419,253
CHF17_RS08035,578,738,743,459
CHF17_RS08040,105,284,438,108
CHF17_RS08045,447,1484,1725,439
CHF17_RS08050,814,3525,4524,1053
CHF17_RS08055,432,1563,1866,436
CHF17_RS08060,345,723,846,253
CHF17_RS08065,474,799,951,351
CHF17_RS08070,12572,20897,23082,6516
CHF17_RS08075,62875,45687,53494,39205
CHF17_RS08080,4275,3166,3689,2941
CHF17_RS08085,783,1259,1606,424
CHF17_RS08090,51,120,143,39
CHF17_RS08095,12031,5492,7260,7592
CHF17_RS08100,12993,7318,9216,7649
CHF17_RS08105,17458,11534,12779,10131
CHF17_RS08110,2845,2390,2756,1845
CHF17_RS08115,2032,2268,2571,1510
CHF17_RS08120,24453,21539,30307,37078
CHF17_RS08125,12360,12434,17351,22293
CHF17_RS08130,27321,18869,26518,35835
CHF17_RS08135,1644,1377,1464,931
CHF17_RS08140,410,335,367,243
CHF17_RS08145,707,550,607,350
CHF17_RS08150,16123,13572,15824,10407
CHF17_RS08155,4829,3733,4729,3075
CHF17_RS08160,14965,10610,12616,10139
CHF17_RS08165,11586,8779,8748,7852
CHF17_RS08170,463,1039,1253,855
CHF17_RS08175,106,164,201,105
CHF17_RS08180,28,97,90,49
CHF17_RS08185,19,94,104,49
CHF17_RS08190,41,169,153,75
CHF17_RS08195,37,142,149,69
CHF17_RS08200,1395,3158,3524,905
CHF17_RS08205,1614,999,1279,1236
CHF17_RS08210,16492,10947,11899,11782
CHF17_RS08215,23921,11867,13155,15361
CHF17_RS08220,2857,2433,3060,2047
CHF17_RS08225,3003,2089,2405,1324
CHF17_RS08230,12732,16381,19074,7199
CHF17_RS08235,29845,18932,23368,21838
CHF17_RS08240,30691,22530,28269,22689
CHF17_RS08245,2363,2999,3973,2156
CHF17_RS08250,3715,8380,11581,4741
CHF17_RS08255,1754,4688,6635,3113
CHF17_RS08260,2594,6340,8266,4214
CHF17_RS08265,3009,5969,7800,3951
CHF17_RS08270,3700,6840,8659,4796
CHF17_RS08275,3015,5652,6505,3981
CHF17_RS08280,5227,8763,10728,6204
CHF17_RS08285,6251,8816,10165,5730
CHF17_RS08290,5671,4682,4551,3051
CHF17_RS08295,684,398,327,602
CHF17_RS08300,1690,1544,1616,1903
CHF17_RS08305,9549,11974,13317,7188
CHF17_RS08310,9002,12611,14894,6776
CHF17_RS08315,12372,16590,22117,10644
CHF17_RS08320,528,727,759,460
CHF17_RS08325,26521,21776,24976,12895
CHF17_RS08330,9033,6079,7994,4960
CHF17_RS08335,9874,6428,9394,5423
CHF17_RS08340,1668,1749,1907,1748
CHF17_RS08345,6187,11938,14683,4924
CHF17_RS08350,50998,75543,90940,41540
CHF17_RS08355,2271,6887,8356,3154
CHF17_RS08360,20652,27096,31125,15841
CHF17_RS08365,12933,13550,15353,8367
CHF17_RS08370,680,1060,1057,557
CHF17_RS08375,22913,31575,37615,17680
CHF17_RS08380,16096,22605,27250,11842
CHF17_RS08385,4056,7427,9401,4216
CHF17_RS08390,5590,7395,9639,4797
CHF17_RS08395,2342,2280,2421,1410
CHF17_RS08400,17659,29536,38199,13779
CHF17_RS08405,32978,46821,54196,23131
CHF17_RS08410,3051,4437,4018,1633
CHF17_RS08415,51921,27930,30983,31686
CHF17_RS08420,48439,24124,28711,32370
CHF17_RS08425,3792,3382,4055,3154
CHF17_RS08430,11593,12150,14529,9833
CHF17_RS08435,5495,6176,7457,4357
CHF17_RS08440,6035,11016,14844,4465
CHF17_RS08445,11071,19581,24787,7694
CHF17_RS08450,7176,7045,8754,4922
CHF17_RS08455,43477,31811,39108,24564
CHF17_RS08460,9378,25349,26709,4861
CHF17_RS08465,992,535,560,677
CHF17_RS08470,4473,5261,6297,3684
CHF17_RS08475,5363,6826,8304,4001
CHF17_RS08480,4080,5222,6527,3292
CHF17_RS08485,9420,5466,7912,7039
CHF17_RS08490,28605,10198,15249,19375
CHF17_RS08495,15594,5346,7935,10061
CHF17_RS08500,195,94,92,119
CHF17_RS08505,11312,11316,12815,7057
CHF17_RS08510,785,562,744,402
CHF17_RS08515,1158,725,1179,899
CHF17_RS08520,5111,3494,4431,3608
CHF17_RS08525,34,30,52,23
CHF17_RS08530,42,70,83,41
CHF17_RS08535,10,30,49,9
CHF17_RS08540,1621,1454,1633,964
CHF17_RS08545,500,341,541,396
CHF17_RS08550,16,34,50,17
CHF17_RS08555,75,440,480,213
CHF17_RS08560,52,433,359,173
CHF17_RS08565,69,346,330,135
CHF17_RS08570,197,825,712,270
CHF17_RS08575,4152,3291,2819,2905
CHF17_RS08580,975,2206,2767,805
CHF17_RS08585,2022,4538,5731,2002
CHF17_RS08590,560,1056,1432,512
CHF17_RS08595,1604,3001,3813,1503
CHF17_RS08600,2072,3709,3621,1201
CHF17_RS08605,5842,9074,11271,3880
CHF17_RS08610,6446,10833,12634,5138
CHF17_RS08615,8013,14118,16379,6530
CHF17_RS08620,2269,4666,6226,2143
CHF17_RS08625,5301,12097,17019,6063
CHF17_RS08630,2620,4740,5955,2492
CHF17_RS08635,1119,2428,3031,811
CHF17_RS08640,22152,36585,43853,22038
CHF17_RS08645,12393,25205,30564,16449
CHF17_RS08650,2880,4568,5379,3137
CHF17_RS08655,509,645,678,848
CHF17_RS08660,557,350,465,500
CHF17_RS08665,1048,660,781,831
CHF17_RS08670,991,571,723,848
CHF17_RS08675,6137,3850,4217,5180
CHF17_RS08680,50812,42095,43455,30387
CHF17_RS08685,25027,31239,28001,16149
CHF17_RS08690,3288,1864,1866,1976
CHF17_RS08695,7913,8032,9484,4828
CHF17_RS08700,1364,1945,2578,1697
CHF17_RS08705,1486,947,1081,954
CHF17_RS08710,2153,2281,2246,1348
CHF17_RS08715,8494,9148,10558,8016
CHF17_RS08720,72858,92568,105772,63196
CHF17_RS08725,1804,5825,6970,4070
CHF17_RS08730,344,1091,1193,571
CHF17_RS08735,2038,5814,7077,3696
CHF17_RS08740,94629,128233,154256,82352
CHF17_RS08745,7144,8443,9834,6871
CHF17_RS08750,98,125,161,78
CHF17_RS08755,375,349,462,216
CHF17_RS08760,2092,2533,3552,1771
CHF17_RS08765,1516,2333,3218,1509
CHF17_RS08770,21602,15026,17366,12728
CHF17_RS08775,33820,24024,27688,21695
CHF17_RS08780,46163,31527,38127,29445
CHF17_RS08785,893,1152,1153,787
CHF17_RS08790,534,718,1086,538
CHF17_RS08795,502,777,1074,505
CHF17_RS08800,96,136,202,72
CHF17_RS08805,366,395,648,376
CHF17_RS08810,430,528,799,471
CHF17_RS08815,530,519,1017,586
CHF17_RS08820,199,166,292,185
CHF17_RS08825,632,610,929,543
CHF17_RS08830,1121,1052,1161,890
CHF17_RS08835,5285,4288,5385,4728
CHF17_RS08840,1329,1080,1497,869
CHF17_RS08845,1646,1309,1762,1170
CHF17_RS08850,12,13,14,17
CHF17_RS08855,4725,6465,8142,6152
CHF17_RS08860,6608,12390,14529,3277
CHF17_RS08865,9648,17777,23163,4785
CHF17_RS08870,41521,51101,59434,17833
CHF17_RS08875,167036,219364,241915,83624
CHF17_RS08880,72990,91095,108541,35280
CHF17_RS08885,4369,3710,4048,2402
CHF17_RS08890,850,1037,1336,932
CHF17_RS08895,2217,2286,2451,1375
CHF17_RS08900,2422,3966,4992,2355
CHF17_RS08905,10265,15037,17226,9094
CHF17_RS08910,4210,3836,4647,3210
CHF17_RS08915,2884,2605,2812,2076
CHF17_RS08920,8555,6359,7603,5433
CHF17_RS08925,4568,3903,4257,2640
CHF17_RS08930,3734,7394,9119,2723
CHF17_RS08935,33866,23013,27172,21702
CHF17_RS08940,9905,8207,9583,7343
CHF17_RS08945,111812,73370,76447,60431
CHF17_RS08950,2060,2362,2753,1754
CHF17_RS08955,16184,10018,12169,9378
CHF17_RS08960,16594,9682,11033,9167
CHF17_RS08965,7888,6997,8109,4786
CHF17_RS08970,71600,50035,58174,29254
CHF17_RS08975,292,254,300,173
CHF17_RS08980,489,328,334,277
CHF17_RS08985,4680,2891,3726,2842
CHF17_RS08990,11598,13961,18339,12490
CHF17_RS08995,3307,3253,4759,2817
CHF17_RS09000,12364,11049,15100,9158
CHF17_RS09005,4472,9365,11174,5245
CHF17_RS09010,4944,8567,11451,5365
CHF17_RS09015,11722,14986,18253,10893
CHF17_RS09020,7949,13604,17713,9417
CHF17_RS09025,7531,10724,13727,7180
CHF17_RS09030,8465,9407,12986,7343
CHF17_RS09035,196,217,241,122
CHF17_RS09040,94,61,99,71
CHF17_RS09045,12,13,22,10
CHF17_RS09050,2621,2164,1672,755
CHF17_RS09055,7849,4784,6234,5211
CHF17_RS09060,2784,1719,2263,1747
CHF17_RS09065,1622,935,1257,946
CHF17_RS09070,14055,9498,10370,7952
CHF17_RS09075,5380,4325,5548,3591
CHF17_RS09080,2455,1789,2290,1743
CHF17_RS09085,4210,3873,3423,2774
CHF17_RS09090,4255,2546,3239,2722
CHF17_RS09095,4419,4081,4468,2552
CHF17_RS09100,2455,3505,4527,2390
CHF17_RS09105,1298,1457,2109,1202
CHF17_RS09110,3916,3234,3840,2873
CHF17_RS09115,2248,2512,2607,1609
CHF17_RS09120,58742,64244,72484,39508
CHF17_RS09125,3452,8619,7305,2723
CHF17_RS09130,62291,114465,141897,123626
CHF17_RS09135,14048,30373,37561,29001
CHF17_RS09140,1203,1690,1836,1291
CHF17_RS09145,221170,163022,172457,137166
CHF17_RS09150,3592,4381,5469,5084
CHF17_RS09155,1015126,651918,711140,655646
CHF17_RS09160,220717,393601,490959,199940
CHF17_RS09165,56966,98103,120606,34024
CHF17_RS09170,81260,134617,159332,42151
CHF17_RS09175,29021,24576,29093,21820
CHF17_RS09180,6121,9259,11125,7641
CHF17_RS09185,5972,9989,11403,9523
CHF17_RS09190,2764,4229,4900,4340
CHF17_RS09195,7693,10086,11500,7427
CHF17_RS09200,12905,14312,16530,11478
CHF17_RS09205,7153,7929,10348,5366
CHF17_RS09210,10911,11989,13888,8676
CHF17_RS09215,3403,3943,5088,2644
CHF17_RS09220,2402,3597,4005,2504
CHF17_RS09225,3325,3855,4726,2801
CHF17_RS09230,875,1534,1462,1009
CHF17_RS09235,1118,2027,2091,1351
CHF17_RS09240,2608,5685,5660,3791
CHF17_RS09245,642,1294,1191,710
CHF17_RS09250,111388,124203,156055,85358
CHF17_RS09255,15718,18635,23743,13246
CHF17_RS09260,86237,97271,127472,70986
CHF17_RS09265,126208,117292,145243,94886
CHF17_RS09270,8685,7127,8830,5180
CHF17_RS09275,81815,61006,80650,51237
CHF17_RS09280,57512,40856,50763,35057
CHF17_RS09285,8409,11757,11407,4671
CHF17_RS09290,10160,12461,16211,4618
CHF17_RS09295,527,1273,1519,951
CHF17_RS09300,4880,29601,36768,6425
CHF17_RS09305,3042,18080,21509,4421
CHF17_RS09310,13,129,94,14
CHF17_RS09315,197,329,415,198
CHF17_RS09320,418,307,346,287
CHF17_RS09325,15020,9966,12509,9326
CHF17_RS09330,68,100,92,51
CHF17_RS09335,40,83,97,35
CHF17_RS09340,27,58,78,24
CHF17_RS09345,36,71,127,34
CHF17_RS09350,344,380,410,202
CHF17_RS09355,256,174,232,150
CHF17_RS09360,3031,1695,2028,2016
CHF17_RS09365,102,41,44,96
CHF17_RS09370,82,28,31,70
CHF17_RS09375,53,24,30,155
CHF17_RS09380,29,15,6,118
CHF17_RS09385,75,5,8,206
CHF17_RS09390,102,12,7,165
CHF17_RS09395,713,62,69,1459
CHF17_RS09400,15899,9151,10680,15682
CHF17_RS09405,12660,5877,7478,13086
CHF17_RS09410,95148,45611,53678,89201
CHF17_RS09415,5084,3246,3985,2776
CHF17_RS09420,5253,3319,4428,3133
CHF17_RS09425,4499,7921,9002,6716
CHF17_RS09430,3210,2853,3449,2235
CHF17_RS09435,5806,6397,7491,3903
CHF17_RS09440,8396,8391,9016,5551
CHF17_RS09445,17602,16752,19048,11913
CHF17_RS09450,8379,9200,12241,6110
CHF17_RS09455,8717,9135,11731,6190
CHF17_RS09460,16684,26491,30383,17073
CHF17_RS09465,2702,2415,2701,2185
CHF17_RS09470,2658,3057,2645,2838
CHF17_RS09475,98592,109160,126221,45995
CHF17_RS09480,159156,181290,212581,78286
CHF17_RS09485,4813,7352,8550,5455
CHF17_RS09490,16823,33297,37285,21750
CHF17_RS09495,117,258,287,158
CHF17_RS09500,5618,6444,7576,4645
CHF17_RS09505,671,672,917,609
CHF17_RS09510,11800,4874,5337,7840
CHF17_RS09515,12701,20700,21182,13204
CHF17_RS09520,5545,3514,4167,3797
CHF17_RS09525,2001,2082,2791,1433
CHF17_RS09530,205,277,385,186
CHF17_RS09535,3571,3411,3864,2540
CHF17_RS09540,12576,10390,11286,7323
CHF17_RS09545,5586,4642,5219,3869
CHF17_RS09550,213,278,423,214
CHF17_RS09555,20,51,59,43
CHF17_RS09560,25,42,73,35
CHF17_RS09565,2,17,16,6
CHF17_RS09570,23,42,48,37
CHF17_RS09575,13,11,15,11
CHF17_RS09580,82,124,222,108
CHF17_RS09585,34,83,91,74
CHF17_RS09590,92,173,240,114
CHF17_RS09595,86,170,186,115
CHF17_RS09600,5193,5483,7110,7030
CHF17_RS09605,3420,5410,6899,2216
CHF17_RS09610,1583,2924,3789,993
CHF17_RS09615,19298,35874,43259,14601
CHF17_RS09620,1710,1787,1828,1406
CHF17_RS09625,22788,40089,42391,18338
CHF17_RS09630,7276,15707,16878,8781
CHF17_RS09635,2989,5511,6073,3955
CHF17_RS09640,5974,6993,7666,4991
CHF17_RS09645,50006,41158,38938,37388
CHF17_RS09650,8495,5477,5201,5567
CHF17_RS09655,55,74,47,68
CHF17_RS09660,33,71,88,36
CHF17_RS09665,41,79,91,70
CHF17_RS09670,2787,2487,3256,1873
CHF17_RS09675,1207,1066,1566,967
CHF17_RS09680,11273,8986,10759,7442
CHF17_RS09685,862,1536,1910,904
CHF17_RS09690,12920,8965,10049,8435
CHF17_RS09695,3818,2527,2924,2400
CHF17_RS09700,458,743,983,502
CHF17_RS09705,233,496,578,280
CHF17_RS09710,271,565,618,415
CHF17_RS09715,747,1092,1198,679
CHF17_RS09720,106,107,152,102
CHF17_RS09725,41,44,51,24
CHF17_RS09730,8525,5599,7258,4738
CHF17_RS09735,47,39,52,40
CHF17_RS09740,157,141,166,88
CHF17_RS09745,594,491,679,360
CHF17_RS09750,2761,1896,2137,1695
CHF17_RS09755,229,445,589,224
CHF17_RS09760,110,236,268,108
CHF17_RS09765,2431,2805,3271,1874
CHF17_RS09770,10457,13023,15702,9410
CHF17_RS09775,4191,10689,18164,12018
CHF17_RS09780,3933,2671,3617,2864
CHF17_RS09785,17216,9238,11555,10281
CHF17_RS09790,9157,5812,7068,5635
CHF17_RS09795,2286,2021,2499,1516
CHF17_RS09800,1857,1629,1884,1070
CHF17_RS09805,2299,1915,2656,1440
CHF17_RS09810,44,152,173,86
CHF17_RS09815,28,106,144,77
CHF17_RS09820,23,90,105,69
CHF17_RS09825,13,49,76,39
CHF17_RS09830,2854,2679,3094,4884
CHF17_RS09835,69,136,166,132
CHF17_RS09840,4798,7974,9631,8622
CHF17_RS09845,3562,5794,6445,6454
CHF17_RS09850,580,887,891,673
CHF17_RS09855,976,1421,1737,962
CHF17_RS09860,9379,10959,12761,7556
CHF17_RS09865,5463,4946,5885,4468
CHF17_RS09870,162,203,206,127
CHF17_RS09875,271,429,500,249
CHF17_RS09880,601,967,1096,584
CHF17_RS09885,3918,3569,4276,2653
CHF17_RS09890,1145,1057,1133,767
CHF17_RS09895,141,255,257,123
CHF17_RS09900,53,152,162,49
CHF17_RS09905,73,217,277,75
CHF17_RS09910,38,189,188,60
CHF17_RS09915,132,223,322,136
CHF17_RS09920,870,2177,2868,1085
CHF17_RS09925,677,2172,2362,1139
CHF17_RS09930,313,1181,1533,926
CHF17_RS09935,100,350,397,190
CHF17_RS09940,1234,1901,2353,1502
CHF17_RS09945,1370,1621,1797,1654
CHF17_RS09950,857,1254,1344,1450
CHF17_RS09955,149,254,243,253
CHF17_RS09960,1386,1667,1939,1871
CHF17_RS09965,1677,1531,1709,1222
CHF17_RS09970,7798,6879,7818,5125
