,copY_Cu1,copY_Cu2,copY_Cu3,copY_Cu4
CHF17_RS01105,1838,1439,1612,1341
CHF17_RS01110,2107,2523,2798,1646
CHF17_RS01115,9835,8221,9152,6615
CHF17_RS01120,7674,5356,5850,4695
CHF17_RS01125,5722,5619,5098,3712
CHF17_RS01130,743,1494,1886,1322
CHF17_RS01135,23325,29606,32629,15165
CHF17_RS01140,1112,1328,1536,882
CHF17_RS01145,235,278,384,252
CHF17_RS01150,308,421,521,275
CHF17_RS01155,72,102,113,52
CHF17_RS01160,116,165,173,87
CHF17_RS01165,131,186,201,79
CHF17_RS01170,3,6,5,1
CHF17_RS01175,92,120,136,74
CHF17_RS01180,49,65,99,50
CHF17_RS01185,2359,1720,2075,1474
CHF17_RS01190,5648,4717,5333,4086
CHF17_RS01195,88,165,167,79
CHF17_RS01200,85,141,175,75
CHF17_RS01205,354561,214423,216842,206252
CHF17_RS01210,46277,25925,26086,26526
CHF17_RS01215,4435,7029,5820,1696
CHF17_RS01220,8381,9794,9482,5141
CHF17_RS01225,71847,71548,73804,47579
CHF17_RS01230,20700,19129,18300,13495
CHF17_RS01235,3320,4300,3243,1705
CHF17_RS01240,769,774,1046,572
CHF17_RS01245,41742,28855,35371,21842
CHF17_RS01250,85208,50597,64226,49099
CHF17_RS01255,7648,6774,8117,4991
CHF17_RS01260,14859,9695,11036,10687
CHF17_RS01265,7621,7989,9063,5735
CHF17_RS01270,22335,27199,31329,17023
CHF17_RS01275,4031,3147,4055,3559
CHF17_RS01280,5853,6519,8253,7771
CHF17_RS01285,4667,6722,9016,7901
CHF17_RS01290,1511,2572,3242,2797
CHF17_RS01295,9435,12022,14908,11400
CHF17_RS01300,11523,9836,10508,7062
CHF17_RS01305,8831,5837,6715,5079
CHF17_RS01310,71015,80954,88853,65938
CHF17_RS01315,7784,21844,25707,11931
CHF17_RS01320,6536,26156,30791,12216
CHF17_RS01325,5502,26353,29533,9803
CHF17_RS01330,9041,37230,42676,13669
CHF17_RS01335,2243,4959,3465,1125
CHF17_RS01340,4,10,8,2
CHF17_RS01345,1535,888,555,313
CHF17_RS01350,8,9,5,2
CHF17_RS01355,4,2,2,2
CHF17_RS01360,2784,3234,3742,2727
CHF17_RS01365,4413,5684,7559,4682
CHF17_RS01370,5689,7939,9037,5443
CHF17_RS01375,7847,10500,12332,7102
CHF17_RS01380,814,690,900,638
CHF17_RS01385,41875,25100,29590,28446
CHF17_RS01390,11277,24369,30447,13149
CHF17_RS01395,63579,98798,127671,80939
CHF17_RS01400,55400,134171,177899,88698
CHF17_RS01405,1502,1046,1326,1428
CHF17_RS01410,2984,1260,2048,2416
CHF17_RS01415,873,407,655,671
CHF17_RS01420,131,87,131,84
CHF17_RS01425,78,47,93,68
CHF17_RS01430,87,52,84,74
CHF17_RS01435,18115,9584,11649,8662
CHF17_RS01440,69649,40822,47578,38460
CHF17_RS01445,630,477,496,371
CHF17_RS01450,313,275,348,182
CHF17_RS01455,1614,1169,1923,1049
CHF17_RS01460,7930,5790,7369,5460
CHF17_RS01465,6363,6861,8788,5885
CHF17_RS01470,7289,7763,9106,6759
CHF17_RS01475,590,508,723,442
CHF17_RS01480,463,434,426,225
CHF17_RS01485,2691,2007,2324,1269
CHF17_RS01490,11540,8218,9907,6756
CHF17_RS01495,3572,1878,2207,2425
CHF17_RS01500,108,107,153,140
CHF17_RS01505,755,740,705,561
CHF17_RS01510,2308,3026,3111,2337
CHF17_RS01515,1068,1316,1461,1034
CHF17_RS01520,56,75,87,58
CHF17_RS01525,61,73,88,74
CHF17_RS01530,2,2,3,1
CHF17_RS01535,3712,3502,3774,2158
CHF17_RS01540,557,676,801,521
CHF17_RS01545,226,434,487,408
CHF17_RS01550,186,471,526,450
CHF17_RS01555,224,437,527,341
CHF17_RS01560,217,247,324,176
CHF17_RS01565,711,634,704,469
CHF17_RS01570,152,325,399,155
CHF17_RS01575,19,68,59,30
CHF17_RS01580,101,233,281,127
CHF17_RS01585,132,295,332,139
CHF17_RS01590,184,383,411,149
CHF17_RS01595,810,712,854,468
CHF17_RS01600,39468,50334,51359,19469
CHF17_RS01605,15427,26983,31679,19277
CHF17_RS01610,3933,9162,11238,6794
CHF17_RS01615,3034,7418,8697,5874
CHF17_RS01620,1042,2647,3006,2021
CHF17_RS01625,5883,13936,16563,10851
CHF17_RS01630,3886,6871,7626,4452
CHF17_RS01635,3938,4131,5097,4075
CHF17_RS01640,3357,3389,4189,3021
CHF17_RS01645,36328,31989,37275,22990
CHF17_RS01650,235,265,415,282
CHF17_RS01655,303,341,532,364
CHF17_RS01660,77761,101344,116852,37901
CHF17_RS01665,91086,111377,130663,43247
CHF17_RS01670,12996,13784,16653,11707
CHF17_RS01675,2376,2564,3004,2697
CHF17_RS01680,42,56,98,23
CHF17_RS01685,192,243,361,140
CHF17_RS01690,60,86,153,52
CHF17_RS01695,28,39,73,23
CHF17_RS01700,12,28,34,9
CHF17_RS01705,1749,1323,1744,1209
CHF17_RS01710,11424,15736,16923,9014
CHF17_RS01715,9198,13876,19902,7709
CHF17_RS01720,4982,10058,12249,3964
CHF17_RS01725,14,15,30,11
CHF17_RS01730,17,22,28,13
CHF17_RS01735,363,237,294,292
CHF17_RS01740,1855,917,1109,1304
CHF17_RS01745,1698,714,934,1372
CHF17_RS01750,11985,10628,11763,8899
CHF17_RS01755,21152,19733,21950,15944
CHF17_RS01760,10211,9342,10273,8232
CHF17_RS01765,15709,11443,13274,11738
CHF17_RS01770,2243,4959,3465,1125
CHF17_RS01775,4,10,8,2
CHF17_RS01780,1535,888,555,313
CHF17_RS01785,8,9,5,1
CHF17_RS01790,12,41,24,7
CHF17_RS01795,50,110,86,27
CHF17_RS01800,127,201,203,65
CHF17_RS01805,145,179,213,71
CHF17_RS01810,158,163,218,77
CHF17_RS01815,94,92,125,41
CHF17_RS01820,88,103,127,49
CHF17_RS01825,102,131,159,58
CHF17_RS01830,99,140,164,66
CHF17_RS01835,130,229,245,95
CHF17_RS01840,207,390,404,159
CHF17_RS01845,234,450,471,185
CHF17_RS01850,468,479,642,425
CHF17_RS01855,1913,2313,2998,2244
CHF17_RS01860,766,1382,1798,1260
CHF17_RS01865,727,1392,1893,1164
CHF17_RS01870,1050,1679,2233,1464
CHF17_RS01875,1038,610,616,387
CHF17_RS01880,734,424,420,246
CHF17_RS01885,3207,1693,2174,1734
CHF17_RS01890,2690,1813,3013,2347
CHF17_RS01895,1166,959,1406,1035
CHF17_RS01900,195,137,199,113
CHF17_RS01905,770,502,718,626
CHF17_RS01910,1212,898,1222,950
CHF17_RS01915,677,459,567,558
CHF17_RS01920,1977,1308,1898,1185
CHF17_RS01925,471,357,388,243
CHF17_RS01930,30630,21634,26735,19710
CHF17_RS01935,11166,5977,7748,9575
CHF17_RS01940,369,287,286,295
CHF17_RS01945,18050,19268,20503,15907
CHF17_RS01950,11039,13825,16401,11005
CHF17_RS01955,29186,48311,51048,30249
CHF17_RS01960,3330,5902,6127,3203
CHF17_RS01965,947,1840,1566,956
CHF17_RS01970,124,382,421,260
CHF17_RS01975,219,719,876,413
CHF17_RS01980,188,469,512,261
CHF17_RS01985,940,1715,1945,996
CHF17_RS01990,1301,2154,2648,1457
CHF17_RS01995,79078,74815,83172,84590
CHF17_RS02000,3161,2983,3844,4975
CHF17_RS02005,17670,14742,17887,22746
CHF17_RS02010,54022,36780,49280,58152
CHF17_RS02015,3269,2514,3711,3402
CHF17_RS02020,3862,4157,5360,3289
CHF17_RS02025,7639,9520,11701,5994
CHF17_RS02030,7313,8089,8627,4665
CHF17_RS02035,3006,3646,4313,1987
CHF17_RS02040,14441,26381,30593,12092
CHF17_RS02045,7468,11885,15010,5207
CHF17_RS02050,29076,21495,25507,18213
CHF17_RS02055,40578,31196,40900,33008
CHF17_RS02060,66439,50775,70453,54575
CHF17_RS02065,83089,64725,86745,70302
CHF17_RS02070,2118,2076,2416,1607
CHF17_RS02075,11281,10083,11970,6815
CHF17_RS02080,12785,14667,18256,13275
CHF17_RS02085,10858,12623,14582,10621
CHF17_RS02090,21690,32086,34518,20413
CHF17_RS02095,29603,38045,48455,30307
CHF17_RS02100,12124,9587,12044,9190
CHF17_RS02105,420,518,540,318
CHF17_RS02110,100,93,123,57
CHF17_RS02115,7023,7124,7198,5200
CHF17_RS02120,18189,22242,18180,20074
CHF17_RS02125,8007,17662,17700,9253
CHF17_RS02130,35085,53612,60860,22230
CHF17_RS02135,12129,7649,8018,8051
CHF17_RS02140,22943,26735,30085,11173
CHF17_RS02145,993,1169,1285,555
CHF17_RS02150,1411,1278,1679,1844
CHF17_RS02155,1090,1144,1509,1784
CHF17_RS02160,3459,3184,4180,3911
CHF17_RS02165,2746,2640,2834,2539
CHF17_RS02170,3261,3139,3604,3011
CHF17_RS02175,30724,21540,24698,20152
CHF17_RS02180,24656,17210,21118,16213
CHF17_RS02185,8150,9660,12105,9131
CHF17_RS02190,1858,3251,4182,3715
CHF17_RS02195,2093,4666,6765,5429
CHF17_RS02200,5835,9122,10425,5702
CHF17_RS02205,40987,54253,64061,31221
CHF17_RS02210,1770,1262,1895,1408
CHF17_RS02215,5717,4718,5922,4531
CHF17_RS02220,2107,2045,2616,1599
CHF17_RS02225,20124,18966,22198,13425
CHF17_RS02230,9671,9088,10384,6441
CHF17_RS02235,1750,2163,2635,1318
CHF17_RS02240,1532,2231,2886,1378
CHF17_RS02245,2400,4129,5407,2536
CHF17_RS02250,16,37,54,6
CHF17_RS02255,9,52,79,16
CHF17_RS02260,284,468,500,210
CHF17_RS02265,381,990,1249,516
CHF17_RS02270,219,545,780,259
CHF17_RS02275,504,991,1315,463
CHF17_RS02280,139483,71868,84790,81290
CHF17_RS02285,2092,2286,2464,1692
CHF17_RS02290,99,149,166,50
CHF17_RS02295,14,17,17,4
CHF17_RS02300,11,17,18,4
CHF17_RS02305,5137,5087,4793,3420
CHF17_RS02310,2245,4961,3465,1126
CHF17_RS02315,4,10,8,2
CHF17_RS02320,1537,888,557,311
CHF17_RS02325,8,9,5,2
CHF17_RS02330,4,2,2,2
CHF17_RS02335,8059,5830,7033,4383
CHF17_RS02340,4075,2907,3673,2537
CHF17_RS02345,90555,132934,158316,101951
CHF17_RS02350,31737,47637,61614,38665
CHF17_RS02355,157133,206199,254737,186986
CHF17_RS02360,25784,35484,44441,35142
CHF17_RS02365,30761,64704,83463,91863
CHF17_RS02370,37555,82662,105768,124632
CHF17_RS02375,27445,60847,76455,86874
CHF17_RS02380,46454,113476,130669,137379
CHF17_RS02385,22156,61941,67862,72662
CHF17_RS02390,8274,24644,28707,28896
CHF17_RS02395,39991,114983,140772,119327
CHF17_RS02400,50530,129026,154930,116648
CHF17_RS02405,39282,87596,96070,69366
CHF17_RS02410,4464,5583,6635,3773
CHF17_RS02415,34967,22969,27349,21660
CHF17_RS02420,3178,3916,5297,2578
CHF17_RS02425,7700,7289,9230,6263
CHF17_RS02430,51010,97926,116309,64780
CHF17_RS02435,33191,74777,89861,50713
CHF17_RS02440,49094,82558,101025,61394
CHF17_RS02445,1047,2569,2423,1536
CHF17_RS02450,12668,8069,9384,7610
CHF17_RS02455,3473,2738,3459,2553
CHF17_RS02460,2938,2894,3194,2594
CHF17_RS02465,3136,7794,10875,3779
CHF17_RS02470,1953,2202,2319,1616
CHF17_RS02475,7180,7496,8299,4982
CHF17_RS02480,20783,24628,27778,14095
CHF17_RS02485,4251,3108,3648,2214
CHF17_RS02490,3971,2527,2681,1865
CHF17_RS02495,9462,10693,12561,8308
CHF17_RS02500,1715,1807,2164,1457
CHF17_RS02505,1869,1873,2087,1369
CHF17_RS02510,2732,3484,4582,2126
CHF17_RS02515,14141,16147,19327,10283
CHF17_RS02520,14819,13848,16398,9773
CHF17_RS02525,1037,813,817,455
CHF17_RS02530,2677,4609,4588,1732
CHF17_RS02535,10542,18962,22063,9630
CHF17_RS02540,1685,3998,5127,2345
CHF17_RS02545,1423,4039,5533,2686
CHF17_RS02550,17352,48068,59802,23660
CHF17_RS02555,4759,10506,12320,3847
CHF17_RS02560,3040,3564,4061,2623
CHF17_RS02565,1356,2775,2111,1183
CHF17_RS02570,401302,597835,684559,378412
