,Mn1,Mn2,Mn3,nor1 (GSM4653916),nor2 (GSM4653917),nor3 (GSM4653918)
SSUSC84_RS04675,1,0,0,0,0,0
SSUSC84_RS09785,224,178,223,2948,2064,2240
SSUSC84_RS06805,12648,11864,14195,10924,10114,9860
SSUSC84_RS03380,487,519,525,478,517,325
SSUSC84_RS10075,111,131,167,59,77,93
SSUSC84_RS04120,0,0,0,0,0,0
SSUSC84_RS08465,25560,23148,21246,23309,17682,13323
SSUSC84_RS05585,2088,2137,2166,1785,1633,1405
SSUSC84_RS09795,1653,1435,1581,3941,3768,2965
SSUSC84_RS10430,29,17,21,32,16,14
SSUSC84_RS04040,312,328,362,467,322,320
SSUSC84_RS07020,2467,2451,2516,2155,2119,1635
SSUSC84_RS02540,90,130,123,79,82,71
SSUSC84_RS07430,590,646,789,762,731,684
SSUSC84_RS10180,490,592,634,443,591,417
SSUSC84_RS08110,3366,3525,3619,2772,2930,2300
SSUSC84_RS05295,20,11,19,8,9,12
SSUSC84_RS09635,143,169,128,134,96,71
SSUSC84_RS04645,33,34,47,56,40,34
SSUSC84_RS09615,1,4,4,4,3,4
SSUSC84_RS04200,356,267,299,300,303,191
SSUSC84_RS00580,2386,2662,2762,2624,3064,2252
SSUSC84_RS02170,0,0,0,0,0,0
SSUSC84_RS09695,301,311,347,229,224,216
SSUSC84_RS04530,214,191,266,223,118,113
SSUSC84_RS01430,1966,2583,2952,1805,2060,1973
SSUSC84_RS04910,1221,1286,1362,1468,1569,1288
SSUSC84_RS02230,72,90,117,40,22,37
SSUSC84_RS02160,0,0,0,0,0,0
SSUSC84_RS09345,4050,3758,4347,3590,3435,2861
SSUSC84_RS09820,92,104,70,67,73,48
SSUSC84_RS06395,1693,1550,1693,2008,1658,1307
SSUSC84_RS04600,495,486,607,378,403,389
SSUSC84_RS08995,2,2,2,2,3,2
SSUSC84_RS05015,492,405,521,534,502,360
SSUSC84_RS05720,43,33,73,44,7,30
SSUSC84_RS05485,104,84,105,50,41,48
SSUSC84_RS01290,668,615,679,733,620,493
SSUSC84_RS06070,2950,2813,3239,2964,2370,2183
SSUSC84_RS07615,648,636,812,569,525,496
SSUSC84_RS10375,8636,9659,10616,6409,6316,5970
SSUSC84_RS06295,137,134,146,158,162,128
SSUSC84_RS10020,516,554,635,420,353,300
SSUSC84_RS10040,497,575,586,443,558,488
SSUSC84_RS02610,128370,129250,150131,134888,153535,117513
SSUSC84_RS07140,0,0,0,0,1,2
SSUSC84_RS03765,1337,1349,1270,1250,1203,928
SSUSC84_RS10360,4,11,6,10,5,6
SSUSC84_RS03390,942,892,953,731,630,544
SSUSC84_RS06065,1701,1739,1872,1711,1268,1225
SSUSC84_RS04385,21,21,39,37,33,17
SSUSC84_RS05370,199,205,245,198,163,129
SSUSC84_RS05180,717,654,790,582,607,556
SSUSC84_RS07595,154,153,189,129,87,98
SSUSC84_RS02620,1707,1388,1526,1555,1351,1152
SSUSC84_RS09010,44,37,38,48,39,37
SSUSC84_RS09005,2,3,1,1,1,4
SSUSC84_RS06730,879,944,1035,944,1034,925
SSUSC84_RS07735,1126,1167,1167,1076,946,802
SSUSC84_RS00475,173,217,172,134,110,111
SSUSC84_RS10415,30,23,29,10,13,5
SSUSC84_RS10165,19,43,33,37,51,25
SSUSC84_RS05555,2685,3077,3269,2637,2787,2591
SSUSC84_RS05915,2380,2431,2726,1999,1716,1360
SSUSC84_RS00495,3737,4188,4291,3044,3530,2878
SSUSC84_RS05780,101,76,126,60,14,34
SSUSC84_RS00430,513,557,664,632,622,587
SSUSC84_RS08080,872,905,1047,1209,1249,756
SSUSC84_RS10605,31,27,31,32,34,19
SSUSC84_RS09220,1339,1442,1281,2052,2230,1305
SSUSC84_RS00870,55,60,61,64,79,41
SSUSC84_RS08260,1937,2138,2199,1987,1765,1699
SSUSC84_RS09905,180,204,194,193,219,126
SSUSC84_RS04440,5,4,9,9,7,4
SSUSC84_RS05325,402,422,474,303,239,202
SSUSC84_RS07580,7,3,1,3,4,5
SSUSC84_RS02730,594,623,621,576,545,409
SSUSC84_RS07215,1123,1222,1217,1434,1326,966
SSUSC84_RS09305,150,137,172,939,370,464
SSUSC84_RS07960,16559,19075,18092,13940,15657,11008
SSUSC84_RS02200,88,79,86,101,58,53
SSUSC84_RS02675,23086,23714,25074,23753,25567,19837
SSUSC84_RS04805,4223,4126,4634,3512,3610,2958
SSUSC84_RS02940,5293,5155,5023,4759,4256,3343
SSUSC84_RS06090,1372,1368,1394,1759,1477,1246
SSUSC84_RS05435,5,9,10,4,4,4
SSUSC84_RS08405,82,104,96,72,62,45
SSUSC84_RS05615,235,213,226,203,196,193
SSUSC84_RS04685,2,0,4,0,0,1
SSUSC84_RS09225,4013,3290,4056,3913,3132,2654
SSUSC84_RS05710,6192,6306,6997,5517,5851,4605
SSUSC84_RS06780,1818,1576,1847,1619,1373,1155
SSUSC84_RS04150,34,28,39,36,29,35
SSUSC84_RS05465,1232,1238,1274,1191,1110,882
SSUSC84_RS09135,68,73,81,58,71,39
SSUSC84_RS04575,10,9,5,6,0,3
SSUSC84_RS08770,12811,15600,14506,12590,15347,10476
SSUSC84_RS01685,3,1,2,0,2,3
SSUSC84_RS09565,2453,2200,2629,2265,1784,1567
SSUSC84_RS06835,4555,3946,4208,4186,3773,2943
SSUSC84_RS02950,5336,4504,5011,4997,3992,3366
SSUSC84_RS04815,1089,1098,1270,921,830,732
SSUSC84_RS09890,129,160,133,131,105,76
SSUSC84_RS07385,135,115,143,141,158,113
SSUSC84_RS05950,1022,1012,1153,653,459,410
SSUSC84_RS00800,0,0,0,0,0,0
SSUSC84_RS06410,4183,3936,4149,3486,3152,2676
SSUSC84_RS04640,15,5,13,9,7,11
SSUSC84_RS05685,6,9,4,9,2,6
SSUSC84_RS09315,31,34,38,46,39,32
SSUSC84_RS03175,39,38,44,16,15,8
SSUSC84_RS01280,628,677,865,448,509,520
SSUSC84_RS00250,340,217,247,250,142,143
SSUSC84_RS04900,5903,5778,6471,4575,3170,3054
SSUSC84_RS01900,202,194,234,158,108,137
SSUSC84_RS01310,1069,844,823,1094,842,614
SSUSC84_RS09395,11,11,9,10,9,5
SSUSC84_RS03850,2686,2441,2969,2644,2341,1978
SSUSC84_RS08570,1346,1380,1431,1513,1602,1186
SSUSC84_RS06310,130,122,158,114,80,89
SSUSC84_RS00090,0,0,0,0,0,0
SSUSC84_RS10125,3475,3330,3630,3115,2946,2301
SSUSC84_RS04340,10,12,12,17,7,5
SSUSC84_RS01190,6776,5651,5967,5522,4870,3893
SSUSC84_RS03480,4,3,3,3,2,2
SSUSC84_RS05365,414,398,452,318,288,267
SSUSC84_RS03475,2,5,4,1,8,4
SSUSC84_RS06720,49,55,64,46,36,29
SSUSC84_RS07225,50,56,57,56,64,42
SSUSC84_RS04235,153,162,119,68,77,70
SSUSC84_RS00450,3778,4300,4678,3666,4016,3439
SSUSC84_RS03465,44,51,49,29,40,29
SSUSC84_RS04905,7073,6551,7275,4548,2891,2283
SSUSC84_RS03050,4904,4768,8970,2505,1913,3317
SSUSC84_RS01970,1014,1049,947,581,532,444
SSUSC84_RS08315,1189,1333,1269,1004,1125,767
SSUSC84_RS09755,12,18,16,9,4,6
SSUSC84_RS03675,604,610,587,564,699,493
SSUSC84_RS08815,1108,1041,1111,1099,867,732
SSUSC84_RS00500,1089,1168,1113,816,780,650
SSUSC84_RS04305,1922,1779,2040,1553,1267,1026
SSUSC84_RS10240,316,320,319,421,401,307
SSUSC84_RS09960,78,46,52,65,66,63
SSUSC84_RS00575,6751,6958,7157,7235,7586,5839
SSUSC84_RS06840,461,518,616,469,517,424
SSUSC84_RS05735,22,22,27,14,9,12
SSUSC84_RS03190,1070,941,1016,860,678,587
SSUSC84_RS00080,12,10,12,4,10,12
SSUSC84_RS08680,1741,1373,1656,1409,1131,961
SSUSC84_RS08250,736,891,902,565,514,533
SSUSC84_RS00420,12,13,16,10,5,15
SSUSC84_RS02520,6056,5338,5602,5710,5441,4276
SSUSC84_RS03845,1158,1071,1179,1367,1005,862
SSUSC84_RS00790,0,0,2,0,0,0
SSUSC84_RS03125,257,339,359,232,254,214
SSUSC84_RS00375,9,9,17,10,8,5
SSUSC84_RS09210,776,789,808,752,653,517
SSUSC84_RS05000,101,104,122,168,186,114
SSUSC84_RS03830,1151,1143,1179,1123,1249,914
SSUSC84_RS00180,0,0,0,0,0,0
SSUSC84_RS04230,490,468,534,350,307,260
SSUSC84_RS00560,21,19,14,19,13,5
SSUSC84_RS02910,0,0,0,1,0,0
SSUSC84_RS10115,320,346,308,265,284,247
SSUSC84_RS06185,495,477,596,520,513,430
SSUSC84_RS08885,10745,11380,13562,8744,7039,7551
SSUSC84_RS10355,9,3,6,10,1,9
SSUSC84_RS00105,0,0,0,0,0,0
SSUSC84_RS06580,366,320,395,260,172,202
SSUSC84_RS09510,175,213,189,169,163,157
SSUSC84_RS04260,49,60,50,72,69,48
SSUSC84_RS08335,547,680,619,715,882,551
SSUSC84_RS04375,99,83,96,86,69,68
SSUSC84_RS10190,769,722,747,614,406,321
SSUSC84_RS07700,1492,1302,1239,1524,1491,1085
