,Mn1,Mn2,Mn3,nor1 (GSM4653916),nor2 (GSM4653917),nor3 (GSM4653918)
SSUSC84_RS01380,1167,1334,1399,1826,1889,1347
SSUSC84_RS09140,68,68,59,53,49,31
SSUSC84_RS05035,1253,1077,1150,1356,1157,997
SSUSC84_RS08785,4424,4611,5100,3199,3368,2571
SSUSC84_RS01540,2073,1940,2475,1522,1067,1030
SSUSC84_RS01455,740,767,764,655,513,469
SSUSC84_RS02465,9,8,7,1,7,6
SSUSC84_RS01760,3341,3481,3305,2587,2643,2081
SSUSC84_RS00240,170,144,143,156,75,57
SSUSC84_RS06795,7862,7091,8682,6348,5525,5511
SSUSC84_RS03655,272,256,243,214,177,164
SSUSC84_RS05805,91,91,93,55,40,48
SSUSC84_RS01320,484,522,557,375,360,338
SSUSC84_RS07040,528,730,508,465,644,403
SSUSC84_RS10670,3,5,8,6,5,4
SSUSC84_RS01505,15,12,14,11,9,9
SSUSC84_RS10480,6,10,5,11,20,9
SSUSC84_RS05830,266,278,233,178,157,123
SSUSC84_RS02690,774,809,832,717,665,582
SSUSC84_RS09975,1840,2029,1992,1685,1400,1045
SSUSC84_RS09925,54,55,88,60,41,53
SSUSC84_RS07160,0,0,0,0,0,0
SSUSC84_RS03255,1199,1182,1277,1370,1450,995
SSUSC84_RS01140,45,47,71,23,25,30
SSUSC84_RS02120,0,2,2,1,6,0
SSUSC84_RS00710,117,110,108,156,103,98
SSUSC84_RS03750,1826,1764,1830,1911,1389,1339
SSUSC84_RS05575,969,1101,1326,1207,999,1054
SSUSC84_RS05620,6724,6389,6985,5215,4595,3657
SSUSC84_RS05905,1144,1292,1190,1088,1072,823
SSUSC84_RS09025,988,885,1020,810,540,489
SSUSC84_RS06015,17,26,22,18,20,23
SSUSC84_RS09985,7547,7651,7460,8457,8667,6279
SSUSC84_RS03525,7,7,7,4,4,4
SSUSC84_RS08965,47,59,59,50,47,50
SSUSC84_RS04185,108,111,124,144,90,103
SSUSC84_RS05430,309,271,290,252,283,178
SSUSC84_RS07345,369,322,380,387,414,323
SSUSC84_RS03140,195,173,209,181,178,163
SSUSC84_RS09580,3311,3051,3042,3255,3238,2407
SSUSC84_RS08950,687,670,710,715,696,608
SSUSC84_RS07105,789,723,760,890,733,642
SSUSC84_RS07650,1028,923,1007,613,343,273
SSUSC84_RS03770,527,576,578,537,538,436
SSUSC84_RS04130,20,24,6,18,17,18
SSUSC84_RS05730,48,26,64,40,13,28
SSUSC84_RS01465,969,933,1012,767,541,576
SSUSC84_RS08830,7422,8510,7385,6522,6935,4865
SSUSC84_RS02630,959,929,993,781,627,666
SSUSC84_RS01960,4143,4153,4058,5107,4766,3369
SSUSC84_RS05820,277,253,298,162,147,128
SSUSC84_RS06210,1063,1075,1123,1035,800,590
SSUSC84_RS07500,895,877,1015,698,564,539
SSUSC84_RS07670,4100,3880,4233,3626,2938,2405
SSUSC84_RS07585,5061,5718,5878,4586,4822,3969
SSUSC84_RS02475,60,86,81,63,71,57
SSUSC84_RS06905,756,723,830,571,333,376
SSUSC84_RS08200,111,81,77,92,65,53
SSUSC84_RS02555,279,257,265,289,221,181
SSUSC84_RS09850,1099,1026,1180,891,692,622
SSUSC84_RS04170,321,257,300,404,289,238
SSUSC84_RS08715,1027,800,820,675,644,431
SSUSC84_RS07275,547,576,500,477,440,332
SSUSC84_RS10600,0,0,0,0,0,0
SSUSC84_RS01000,1584,1683,2067,1373,1305,1253
SSUSC84_RS08245,420,545,546,367,402,334
SSUSC84_RS10005,785,923,888,496,430,377
SSUSC84_RS02300,1412,1530,1726,1412,1034,874
SSUSC84_RS02435,51,83,72,51,62,33
SSUSC84_RS09900,183,191,205,186,178,133
SSUSC84_RS07895,1422,1370,1586,1414,1326,1245
SSUSC84_RS05875,1977,1692,1755,1587,1259,1106
SSUSC84_RS01805,284,312,457,179,147,164
SSUSC84_RS10215,538,528,600,561,480,412
SSUSC84_RS06515,9207,9154,10553,6626,5475,4730
SSUSC84_RS07270,821,942,858,701,756,565
SSUSC84_RS05825,7,8,5,0,7,2
SSUSC84_RS01815,446,411,438,466,400,326
SSUSC84_RS01580,317,322,351,324,215,182
SSUSC84_RS01170,126,149,153,106,145,107
SSUSC84_RS06860,759,824,948,568,373,300
SSUSC84_RS09735,17,16,10,8,15,4
SSUSC84_RS00615,0,0,0,0,0,0
SSUSC84_RS00445,564,523,493,532,510,371
SSUSC84_RS07600,7643,7432,7922,6982,7310,5429
SSUSC84_RS06945,0,0,0,0,0,0
SSUSC84_RS03800,377,318,379,376,303,213
SSUSC84_RS04400,0,0,0,0,0,1
SSUSC84_RS09370,2281,1921,2102,2089,1705,1392
SSUSC84_RS07320,13,12,8,15,13,5
SSUSC84_RS05390,281,310,281,248,251,215
SSUSC84_RS10315,2,0,3,0,2,1
SSUSC84_RS01350,1111,1050,1155,894,774,811
SSUSC84_RS03090,106,119,82,122,120,66
SSUSC84_RS03935,4058,4020,5734,3082,2852,2755
SSUSC84_RS05635,7973,7228,7797,6236,4816,3980
SSUSC84_RS07945,140,142,124,93,52,49
SSUSC84_RS04660,12,2,10,4,3,1
SSUSC84_RS08170,4475,4053,4243,3705,3325,2805
SSUSC84_RS04495,297,277,319,242,220,210
SSUSC84_RS09080,358,367,412,384,404,293
SSUSC84_RS01575,1982,1700,1824,2163,2018,1563
SSUSC84_RS00955,661,583,527,517,522,382
SSUSC84_RS04250,216,245,256,194,203,159
SSUSC84_RS05480,101,98,172,100,64,64
SSUSC84_RS01420,819,823,799,779,658,518
SSUSC84_RS06995,55,94,72,64,70,61
SSUSC84_RS05020,8,3,2,4,4,6
SSUSC84_RS04430,0,0,1,1,3,0
SSUSC84_RS02500,710,815,753,649,742,465
SSUSC84_RS04255,79,70,58,75,66,44
SSUSC84_RS03795,389,365,359,386,250,261
SSUSC84_RS08755,3818,4443,4626,3624,3852,3308
SSUSC84_RS00535,1855,1913,1883,1362,1352,1192
SSUSC84_RS10135,2082,1990,2129,2168,1663,1439
SSUSC84_RS00210,866,776,857,804,566,462
SSUSC84_RS07380,171,167,182,150,168,124
SSUSC84_RS02635,523,472,574,444,368,360
SSUSC84_RS01355,422,467,448,349,370,285
SSUSC84_RS05515,2,4,6,4,3,0
SSUSC84_RS00895,18013,18489,21093,20056,20951,17409
SSUSC84_RS06385,3437,3024,3212,3305,3168,2510
SSUSC84_RS02080,750,676,654,725,633,450
SSUSC84_RS07440,404,321,349,280,269,205
SSUSC84_RS00175,0,0,0,0,0,0
SSUSC84_RS06045,4606,5049,5187,4147,3529,3097
SSUSC84_RS03330,707,780,661,617,474,432
SSUSC84_RS05715,3253,3252,2808,3151,3176,2078
SSUSC84_RS03620,50205,58438,62589,46860,55157,45453
SSUSC84_RS08580,974,995,1312,1251,1097,1017
SSUSC84_RS07070,793,776,859,526,373,338
SSUSC84_RS01390,161,220,199,153,174,106
SSUSC84_RS08565,5101,4908,5068,5512,5211,4113
SSUSC84_RS08410,77,46,65,41,34,38
SSUSC84_RS09090,364,411,424,336,278,253
SSUSC84_RS02740,968,1006,1055,834,755,548
SSUSC84_RS07530,946,943,971,790,630,482
SSUSC84_RS07525,571,601,614,438,411,306
SSUSC84_RS04525,173,147,163,138,95,112
SSUSC84_RS06885,483,457,464,367,478,304
SSUSC84_RS01775,323,298,375,293,300,243
SSUSC84_RS02935,1893,1690,1764,1735,1644,1113
SSUSC84_RS07145,1,0,0,4,0,1
SSUSC84_RS05475,197,205,296,156,111,146
SSUSC84_RS09640,23820,22940,24586,22162,23086,17534
SSUSC84_RS05395,239,210,186,162,192,138
SSUSC84_RS02020,1810,2101,1940,1951,1928,1327
SSUSC84_RS10080,629,1032,948,365,549,441
SSUSC84_RS06125,3758,3484,3793,3310,3030,2557
SSUSC84_RS03705,149,167,180,144,147,113
SSUSC84_RS07490,0,0,0,0,0,0
SSUSC84_RS04315,244,216,240,260,184,152
SSUSC84_RS01695,1530,1866,1445,1599,1757,1182
SSUSC84_RS05645,365,345,323,293,240,202
SSUSC84_RS03680,21,24,26,31,12,14
SSUSC84_RS05845,110,113,92,73,77,39
SSUSC84_RS05105,1221,1394,1445,1094,1277,914
SSUSC84_RS09145,290,331,255,240,270,176
SSUSC84_RS08685,587,509,681,556,402,402
SSUSC84_RS10530,1,2,4,3,4,8
SSUSC84_RS10205,333,313,309,265,184,144
SSUSC84_RS01600,848,1018,1191,818,786,716
SSUSC84_RS00120,0,0,0,0,0,0
SSUSC84_RS07450,2268,2252,2561,2147,2028,1643
SSUSC84_RS08450,21400,22376,22913,18753,16754,13756
SSUSC84_RS07060,115984,111686,127017,118650,122289,97592
SSUSC84_RS07965,2634,2859,3618,2202,2348,2299
SSUSC84_RS04195,159,116,153,148,130,95
SSUSC84_RS03045,4761,4736,8217,2342,1924,2957
SSUSC84_RS03715,1,7,0,4,2,6
SSUSC84_RS00275,472,360,380,328,144,116
SSUSC84_RS10090,427,466,514,439,484,426
SSUSC84_RS03985,1622,1519,1585,1202,776,675
SSUSC84_RS01080,2620,2607,2816,2596,2616,2034
SSUSC84_RS09495,305,313,310,381,346,258
SSUSC84_RS09045,2889,2573,2872,3041,2686,2257
SSUSC84_RS07210,838,805,927,948,862,729
SSUSC84_RS01730,2014,1847,2189,1502,966,916
SSUSC84_RS10665,7,4,5,61,38,51
SSUSC84_RS04790,295,272,273,189,125,112
SSUSC84_RS03285,87,99,97,116,110,88
SSUSC84_RS03725,979,951,990,1081,1117,793
SSUSC84_RS05760,124,120,147,69,35,60
SSUSC84_RS03840,1630,2005,1908,1848,2445,1516
SSUSC84_RS02450,0,2,2,0,1,1
SSUSC84_RS04435,1,0,1,0,0,0
SSUSC84_RS07350,106,108,112,102,92,64
SSUSC84_RS05655,169,169,168,184,185,175
SSUSC84_RS06710,442,523,494,584,569,426
SSUSC84_RS10440,7,10,8,17,13,14
SSUSC84_RS03590,720,767,759,661,625,532
SSUSC84_RS00315,894,930,971,789,556,465
SSUSC84_RS02065,4413,4164,4673,4054,3584,3188
SSUSC84_RS06100,1403,1314,1580,1126,1001,879
SSUSC84_RS05330,17,14,19,15,12,7
SSUSC84_RS02455,5,1,0,1,2,0
SSUSC84_RS00845,221,213,224,212,180,172
SSUSC84_RS01435,14541,19543,24087,9992,11275,13411
SSUSC84_RS06195,907,904,964,703,645,514
SSUSC84_RS04745,440,464,489,462,437,408
SSUSC84_RS03905,500,545,595,447,547,490
SSUSC84_RS04480,1466,1313,1460,1317,1039,992
SSUSC84_RS05660,0,0,0,0,0,0
SSUSC84_RS06645,0,0,0,2,0,0
SSUSC84_RS07485,11,8,13,14,8,3
SSUSC84_RS06335,283,398,369,295,362,251
SSUSC84_RS00505,1230,1184,1174,774,802,714
SSUSC84_RS05225,2707,2991,3160,2515,2937,2458
SSUSC84_RS06705,0,0,0,0,0,0
SSUSC84_RS09420,40,51,38,36,43,22
SSUSC84_RS06830,2134,2003,2127,1860,1543,1235
SSUSC84_RS07990,62,66,59,80,68,74
SSUSC84_RS01500,529,532,576,471,517,391
SSUSC84_RS07805,600,628,692,622,673,541
SSUSC84_RS01720,0,0,0,0,0,0
SSUSC84_RS09620,341,381,466,304,357,275
SSUSC84_RS05705,103,97,85,78,71,68
SSUSC84_RS00760,17627,16985,20192,16784,16384,14294
SSUSC84_RS01030,577,736,673,689,691,516
SSUSC84_RS07185,172,138,141,163,117,114
SSUSC84_RS03760,2324,2197,2407,2248,1924,1666
SSUSC84_RS07290,515,548,528,542,467,388
SSUSC84_RS09255,822,921,1207,828,960,888
SSUSC84_RS06085,791,760,859,1022,897,769
SSUSC84_RS03875,0,3,2,3,2,1
SSUSC84_RS01035,95,84,95,45,49,41
SSUSC84_RS09375,6,6,6,2,7,3
SSUSC84_RS01385,2648,2852,2934,2216,2258,1718
SSUSC84_RS02835,29646,33362,39329,22250,22471,21275
SSUSC84_RS06180,2628,2268,2869,2480,1958,1746
SSUSC84_RS02040,2367,2354,2611,3124,2698,2117
SSUSC84_RS04310,542,583,664,495,537,377
SSUSC84_RS00070,807,857,844,931,876,685
SSUSC84_RS10055,325,316,341,258,255,207
SSUSC84_RS10515,0,0,0,0,0,0
SSUSC84_RS02060,2269,2118,2229,2063,1638,1427
SSUSC84_RS10535,4,6,13,3,5,6
SSUSC84_RS05910,1301,1384,1299,1008,1029,765
SSUSC84_RS04935,436,447,488,358,420,287
SSUSC84_RS08720,3131,2664,2853,2553,1639,1395
SSUSC84_RS04290,254,235,247,264,200,145
SSUSC84_RS06545,208,193,193,230,221,124
SSUSC84_RS04550,90,91,104,90,71,65
SSUSC84_RS08125,7674,7378,8456,6841,6810,5891
SSUSC84_RS04850,1187,1369,1527,929,1087,881
SSUSC84_RS10475,295,264,341,334,272,273
SSUSC84_RS07125,0,0,0,0,0,0
SSUSC84_RS08985,2,5,4,0,5,2
SSUSC84_RS00215,1813,1745,1784,1401,674,578
SSUSC84_RS02665,11560,10381,11046,9233,7805,6847
SSUSC84_RS03735,2734,2840,2851,3370,3069,2392
SSUSC84_RS10455,8,11,13,3,7,2
SSUSC84_RS07355,75,92,78,42,46,40
SSUSC84_RS05110,469,499,574,477,390,397
SSUSC84_RS02880,61,34,42,23,28,26
SSUSC84_RS06050,1355,1337,1384,1161,947,937
SSUSC84_RS06975,57,59,61,34,19,14
SSUSC84_RS00910,39455,40508,42016,42364,45807,31951
SSUSC84_RS09865,52,83,56,35,43,36
SSUSC84_RS02825,1603,1749,1796,1010,886,894
SSUSC84_RS06245,408,417,502,281,225,205
SSUSC84_RS04140,173,164,239,253,243,222
SSUSC84_RS02445,1303,1292,1511,1223,949,783
SSUSC84_RS01705,0,0,0,0,0,0
SSUSC84_RS04055,831,745,834,722,657,604
SSUSC84_RS04225,981,973,1097,710,629,497
SSUSC84_RS02320,535,663,709,577,671,533
SSUSC84_RS07915,669,514,539,569,401,297
SSUSC84_RS09790,494,460,571,13403,10908,10792
SSUSC84_RS09160,2057,1969,2123,1766,1398,1266
SSUSC84_RS03645,956,926,969,849,734,662
SSUSC84_RS04145,6,9,11,10,2,6
SSUSC84_RS10280,75,74,70,71,64,63
SSUSC84_RS03685,16,24,40,16,14,22
SSUSC84_RS09310,270,253,358,360,314,280
SSUSC84_RS10655,0,0,0,0,0,0
SSUSC84_RS04500,0,1,0,0,0,0
SSUSC84_RS10130,715,730,746,621,528,422
SSUSC84_RS01275,1288,1412,1680,1053,1034,987
SSUSC84_RS08495,7522,6801,5891,8466,4738,3782
SSUSC84_RS03305,1459,1592,2036,1061,1049,1096
SSUSC84_RS03575,8,5,7,13,15,3
SSUSC84_RS10560,20,49,66,33,38,36
SSUSC84_RS06850,2414,2499,2968,1974,1776,1492
SSUSC84_RS01135,32,26,33,20,25,13
SSUSC84_RS06160,2411,2427,2540,2247,1988,1712
SSUSC84_RS00355,0,0,1,0,0,0
SSUSC84_RS08670,164,134,164,95,86,80
SSUSC84_RS07175,0,0,0,0,2,1
SSUSC84_RS09570,1369,1241,1464,1338,781,745
SSUSC84_RS04470,0,0,0,0,0,1
SSUSC84_RS03910,462,485,503,498,394,338
SSUSC84_RS09645,20,32,34,27,14,27
SSUSC84_RS02670,7316,7007,7427,7178,6091,5343
SSUSC84_RS04580,61,57,64,55,31,26
SSUSC84_RS04160,27,28,31,38,41,29
SSUSC84_RS02330,448,473,482,374,338,319
SSUSC84_RS06175,1309,1119,1467,976,859,824
SSUSC84_RS10060,777,815,768,663,561,494
SSUSC84_RS10435,2,1,5,2,1,0
SSUSC84_RS00735,2,0,3,2,1,0
SSUSC84_RS02175,0,0,0,0,0,0
SSUSC84_RS06375,1762,1700,1836,1760,1600,1255
SSUSC84_RS05270,1102,971,1030,1062,850,769
SSUSC84_RS10330,7,1,4,6,2,1
SSUSC84_RS07285,1408,1914,1649,1926,2619,1411
SSUSC84_RS06875,8804,8256,8788,8757,6897,5317
SSUSC84_RS09465,2489,2600,2769,2928,2717,2061
SSUSC84_RS09455,1253,1096,1089,1028,751,636
SSUSC84_RS01115,275,306,438,251,306,207
SSUSC84_RS04865,1653,1642,1874,1373,1240,1107
SSUSC84_RS02735,1428,1568,1646,1272,1144,958
SSUSC84_RS09800,201,231,195,187,217,172
SSUSC84_RS10220,295,281,313,367,315,234
SSUSC84_RS00775,69,100,105,94,95,80
SSUSC84_RS05410,9974,10307,10883,8885,8721,7858
SSUSC84_RS03515,2,2,1,5,2,3
SSUSC84_RS07860,2785,2533,2339,3188,2681,1832
SSUSC84_RS06775,1503,1233,1433,1323,980,944
SSUSC84_RS09520,2518,2527,2816,2984,2681,2064
SSUSC84_RS01250,11690,11828,11685,11905,11773,7682
SSUSC84_RS01605,598,703,617,546,587,461
SSUSC84_RS10295,0,0,0,0,0,0
SSUSC84_RS04930,514,486,558,491,438,377
SSUSC84_RS00865,150,136,139,120,109,84
SSUSC84_RS01375,608,551,583,768,587,537
SSUSC84_RS09355,4992,4727,5232,4370,3683,3336
SSUSC84_RS04775,672,663,747,607,484,406
SSUSC84_RS02410,8534,8561,9500,7413,7331,6264
SSUSC84_RS01880,640,672,808,497,423,451
SSUSC84_RS06965,1016,1000,1070,752,536,436
SSUSC84_RS08735,18375,19216,19729,16206,14871,12026
SSUSC84_RS02010,2279,2548,2372,2090,2544,1548
SSUSC84_RS03710,93,89,81,90,90,41
SSUSC84_RS02990,70,64,64,27,21,31
SSUSC84_RS07840,772,890,863,728,655,491
SSUSC84_RS10305,2,1,3,0,0,3
SSUSC84_RS03000,2450,2661,3030,1746,1187,1074
SSUSC84_RS00410,9282,8974,9272,8451,9142,6321
SSUSC84_RS00820,6171,5801,5994,6037,5791,4293
SSUSC84_RS09775,704,578,745,4788,3152,3828
SSUSC84_RS05895,85,101,91,112,126,56
SSUSC84_RS10255,2328,2348,2624,2197,2074,2020
SSUSC84_RS04695,0,0,0,0,0,0
SSUSC84_RS04595,175,179,225,150,129,139
SSUSC84_RS08520,422,474,492,384,375,360
SSUSC84_RS00300,6,15,15,8,7,6
SSUSC84_RS08005,1642,1568,1701,1306,1113,926
SSUSC84_RS07725,803,733,713,995,841,587
SSUSC84_RS03780,340,313,341,301,194,148
SSUSC84_RS02960,1144,799,848,1309,918,777
SSUSC84_RS08015,1406,1359,1452,990,822,778
SSUSC84_RS09885,11,14,2,6,8,2
SSUSC84_RS02140,0,0,0,0,0,0
SSUSC84_RS02480,222,230,210,292,268,172
SSUSC84_RS05445,713,874,849,775,918,514
SSUSC84_RS01670,36,17,45,61,41,49
SSUSC84_RS01530,2715,3336,4056,2795,3128,2905
SSUSC84_RS06930,3177,2581,3020,2881,2626,2145
SSUSC84_RS07635,1751,1897,2126,1631,1821,1444
SSUSC84_RS08640,9313,8602,10357,8051,7910,6112
SSUSC84_RS07825,390,501,474,491,555,402
SSUSC84_RS05630,1266,1020,1178,883,420,367
SSUSC84_RS01840,1085,956,1052,891,766,709
SSUSC84_RS05600,731,735,841,680,635,612
SSUSC84_RS10580,18,19,26,11,9,13
SSUSC84_RS08105,1319,1406,1431,1202,1168,943
SSUSC84_RS05375,430,486,496,355,328,276
SSUSC84_RS07745,92,119,101,117,152,106
SSUSC84_RS07090,8928,9176,10404,9861,10588,8337
SSUSC84_RS06825,781,726,716,607,503,416
SSUSC84_RS10635,0,0,0,0,0,0
SSUSC84_RS10555,151316,175236,204655,164977,213936,154334
SSUSC84_RS08855,1318,1419,1529,1201,1326,1017
SSUSC84_RS07050,60,84,60,70,57,63
SSUSC84_RS07300,6040,6408,6444,7511,8111,5831
SSUSC84_RS01270,874,1031,1206,652,520,518
SSUSC84_RS06845,390,456,508,373,333,322
SSUSC84_RS05565,450,450,542,435,492,471
SSUSC84_RS04010,1084,1102,1081,934,959,689
SSUSC84_RS03250,137,98,125,87,94,85
SSUSC84_RS00050,149,132,122,132,125,112
SSUSC84_RS03810,633,688,677,700,655,470
SSUSC84_RS08130,1018,1015,1006,732,706,743
SSUSC84_RS03065,1895,1797,1835,1705,1504,1286
SSUSC84_RS03690,122,127,129,164,106,149
SSUSC84_RS04115,74,66,75,113,65,77
SSUSC84_RS06650,539,539,532,507,475,358
SSUSC84_RS01560,36,44,40,19,36,44
SSUSC84_RS08775,316,365,336,372,386,264
SSUSC84_RS01075,8343,9257,9058,6744,6717,4913
SSUSC84_RS08275,534,500,523,637,610,420
SSUSC84_RS00085,0,0,0,0,0,0
SSUSC84_RS02460,0,1,1,1,1,2
SSUSC84_RS01415,138,141,126,149,101,80
SSUSC84_RS06115,2993,2853,2951,2475,2182,1879
SSUSC84_RS05870,5088,4566,4803,4462,3693,3313
SSUSC84_RS01150,27,20,25,17,21,21
SSUSC84_RS04870,59,79,67,78,131,79
SSUSC84_RS07190,687,592,697,726,633,530
SSUSC84_RS00805,1,1,4,1,0,0
SSUSC84_RS02350,885,995,1023,811,886,746
SSUSC84_RS01510,187,222,215,184,149,97
SSUSC84_RS02650,2529,2357,2544,1965,2020,1641
SSUSC84_RS00110,0,0,0,0,0,0
SSUSC84_RS01790,6096,5891,6675,5507,5579,4794
SSUSC84_RS02855,34476,36000,44509,26484,23378,23862
SSUSC84_RS05450,21,24,24,20,15,14
SSUSC84_RS08180,4716,4591,4863,4556,4357,3404
SSUSC84_RS03170,9,6,9,3,6,5
SSUSC84_RS03235,789,1132,906,836,1045,757
SSUSC84_RS01905,93,89,104,71,58,61
SSUSC84_RS06340,180,207,171,204,206,147
SSUSC84_RS05160,3692,3351,3937,2569,1803,1773
SSUSC84_RS03920,68,100,86,99,94,59
SSUSC84_RS02795,15486,16842,18210,13396,11172,10081
SSUSC84_RS01470,174,224,226,191,172,154
SSUSC84_RS06765,1844,1433,1707,1436,1152,1050
SSUSC84_RS00545,13990,15071,16109,11275,11649,9974
SSUSC84_RS09860,176,167,176,140,113,112
SSUSC84_RS08805,3475,3164,3359,3651,3368,2630
SSUSC84_RS08065,1087,1089,1092,1223,1153,832
SSUSC84_RS00290,1,1,7,1,3,3
SSUSC84_RS09540,3003,2747,2353,2044,1366,1047
SSUSC84_RS05885,14,24,21,18,11,13
SSUSC84_RS07970,2498,2549,3258,2062,2234,2070
SSUSC84_RS05090,348,370,320,465,412,335
SSUSC84_RS09675,0,0,1,2,2,0
SSUSC84_RS06000,1697,1611,1717,1797,1762,1452
SSUSC84_RS01200,2165,1921,2158,2046,1854,1473
SSUSC84_RS06270,959,921,932,1110,856,723
SSUSC84_RS04420,354,318,354,429,361,325
SSUSC84_RS04705,0,0,0,1,0,0
SSUSC84_RS03860,1195,1179,1360,981,937,921
SSUSC84_RS02580,32,37,44,36,31,40
SSUSC84_RS02615,10426,11474,13870,11998,13724,11045
SSUSC84_RS02765,14913,16118,17803,15674,15223,12884
SSUSC84_RS01835,5038,5123,5651,4736,4629,3997
SSUSC84_RS05650,639,664,707,696,693,576
SSUSC84_RS05740,116,90,180,67,31,64
SSUSC84_RS02295,897,872,1022,955,831,626
SSUSC84_RS06985,118,187,181,151,175,129
SSUSC84_RS08345,120,124,122,119,112,114
SSUSC84_RS01485,1828,1698,2183,1569,1126,1043
SSUSC84_RS09175,1128,1225,1377,717,640,665
SSUSC84_RS05155,37917,40160,49671,30710,29687,27849
SSUSC84_RS01330,407,462,488,351,290,253
SSUSC84_RS04175,3219,2952,3323,3831,3351,2670
SSUSC84_RS09130,115,114,131,87,92,83
SSUSC84_RS03540,21,27,26,14,4,4
SSUSC84_RS02920,124,118,139,161,133,127
SSUSC84_RS02660,860,813,793,668,747,537
SSUSC84_RS09290,2765,3309,3395,3709,4010,3167
SSUSC84_RS06590,6317,5782,6231,5516,5518,4103
SSUSC84_RS05495,47,52,82,29,34,24
SSUSC84_RS01590,167,157,152,120,99,92
SSUSC84_RS05275,1529,1378,1441,1541,1319,1092
SSUSC84_RS00980,159,169,137,123,98,73
SSUSC84_RS06585,1114,955,1222,841,749,716
SSUSC84_RS01825,1,3,5,4,3,1
SSUSC84_RS09360,1595,1435,1722,1340,1181,1069
SSUSC84_RS02315,3389,3656,3762,3905,4445,3130
SSUSC84_RS10150,108,130,96,93,61,58
SSUSC84_RS01495,1331,1313,1601,1093,1123,1056
SSUSC84_RS00525,3109,3432,3635,2518,2721,2130
SSUSC84_RS01130,729,598,611,914,631,582
SSUSC84_RS05265,1701,1828,2000,1462,1589,1330
SSUSC84_RS06745,702,1218,885,875,1197,733
SSUSC84_RS04015,96,110,101,113,77,68
SSUSC84_RS01950,27,23,15,16,26,13
SSUSC84_RS00225,95,53,59,44,30,20
SSUSC84_RS04590,127,133,171,116,93,73
SSUSC84_RS02850,11855,12270,14820,8539,6577,7060
SSUSC84_RS04970,54,65,73,57,44,38
SSUSC84_RS02680,9499,9697,10448,6254,6045,5075
SSUSC84_RS03580,1531,1496,1462,1717,1663,1313
SSUSC84_RS10000,155,138,104,138,101,91
SSUSC84_RS10485,26,15,21,26,21,22
SSUSC84_RS07260,475,492,517,425,335,292
SSUSC84_RS06570,2,0,2,3,1,0
SSUSC84_RS07980,508,478,505,573,569,418
SSUSC84_RS09365,3044,3022,3285,2553,2467,2153
SSUSC84_RS04475,0,0,0,1,0,0
SSUSC84_RS01255,13714,11615,12970,10853,8401,6916
SSUSC84_RS02915,0,0,0,0,1,0
SSUSC84_RS07850,8789,8194,8805,9257,9321,7383
SSUSC84_RS04620,34,39,41,35,35,35
SSUSC84_RS05835,0,0,1,1,0,0
SSUSC84_RS02790,14396,15050,16432,13027,10743,10046
SSUSC84_RS04395,0,0,1,1,0,0
SSUSC84_RS03950,2294,2087,2219,2316,1990,1615
SSUSC84_RS08560,2610,2464,2444,2355,2299,1849
SSUSC84_RS01740,773,779,820,699,595,455
SSUSC84_RS04895,68,43,50,36,29,37
SSUSC84_RS08790,10784,11547,12821,8317,9129,7150
SSUSC84_RS10045,1149,1189,1397,1113,1128,1082
SSUSC84_RS04365,16,12,17,12,10,14
SSUSC84_RS00440,1487,1636,1757,1455,1677,1368
SSUSC84_RS06095,1059,840,1089,1064,836,843
SSUSC84_RS08660,747,792,789,561,619,550
SSUSC84_RS09995,1544,2108,2141,1664,1944,1465
SSUSC84_RS07545,5577,5520,5865,4747,4771,3802
SSUSC84_RS04940,66,53,54,76,54,74
SSUSC84_RS06575,889,865,1040,703,349,393
SSUSC84_RS06620,6122,6544,8306,5647,4725,5201
SSUSC84_RS04100,36,37,44,49,41,38
SSUSC84_RS05560,4852,5234,5860,4873,5028,4688
SSUSC84_RS06925,5107,4314,4722,5357,4842,3947
SSUSC84_RS10160,405,348,408,375,319,234
SSUSC84_RS10590,19,20,14,7,10,10
SSUSC84_RS00295,0,5,5,0,3,0
SSUSC84_RS02365,1590,1350,1531,1429,1090,1004
SSUSC84_RS03570,1276,1264,1331,1284,1109,930
SSUSC84_RS01370,100,119,127,141,116,134
SSUSC84_RS08365,5917,6748,9203,4731,4453,4613
SSUSC84_RS07000,483,490,544,434,311,296
SSUSC84_RS10285,618,675,705,646,648,612
SSUSC84_RS06020,1028,1093,1116,1046,964,904
SSUSC84_RS09770,730,599,823,3644,2294,2796
SSUSC84_RS01850,2388,2417,2917,1925,1772,1585
SSUSC84_RS10650,4,3,3,4,3,2
SSUSC84_RS00415,28,33,27,31,15,11
SSUSC84_RS00550,490,555,602,445,542,394
SSUSC84_RS09990,66,60,48,31,28,16
SSUSC84_RS08665,8134,8003,8963,6659,6141,5385
SSUSC84_RS05050,550,642,643,466,425,440
SSUSC84_RS08375,7489,7638,10902,6032,5710,5853
SSUSC84_RS01995,526,678,584,534,452,467
SSUSC84_RS10615,0,0,0,0,0,0
SSUSC84_RS06435,60,38,61,56,75,47
SSUSC84_RS02625,2149,1709,1921,1797,1668,1386
SSUSC84_RS04990,3,14,7,9,3,6
SSUSC84_RS08750,4558,5701,5593,4650,4929,4137
SSUSC84_RS02525,1308,1191,1145,1230,904,746
SSUSC84_RS00900,6753,7153,6293,5933,6063,4054
