,sczA_Cu1,sczA_Cu2,sczA_Cu3,sczA_Cu4
CHF17_RS06705,28631,19759,15213,23878
CHF17_RS06710,955,1146,978,1179
CHF17_RS06715,193,176,203,296
CHF17_RS06720,2450,2354,1838,2049
CHF17_RS06725,7039,12379,10624,12345
CHF17_RS06730,1333,1821,1076,812
CHF17_RS06735,1372,1669,1005,887
CHF17_RS06740,576,664,418,424
CHF17_RS06745,165,229,163,129
CHF17_RS06750,49,74,56,40
CHF17_RS06755,534,680,561,538
CHF17_RS06760,881,856,657,651
CHF17_RS06765,1872,1436,940,1111
CHF17_RS06770,21865,19006,15347,16479
CHF17_RS06775,1141,601,428,304
CHF17_RS06780,118,201,167,167
CHF17_RS06785,633,616,542,563
CHF17_RS06790,402,329,287,305
CHF17_RS06795,4581,2658,1897,2384
CHF17_RS06800,12856,16592,13390,12378
CHF17_RS06805,4182,5529,4657,3881
CHF17_RS06810,6075,10108,9552,7785
CHF17_RS06815,89022,115382,98775,62732
CHF17_RS06820,157857,211198,177273,104293
CHF17_RS06825,2212,3639,2227,3099
CHF17_RS06830,1628,1516,1642,2528
CHF17_RS06835,1843,1610,1811,3069
CHF17_RS06840,206,312,237,278
CHF17_RS06845,361,456,342,383
CHF17_RS06850,50,61,37,49
CHF17_RS06855,999,955,700,689
CHF17_RS06860,11376,10286,8486,9777
CHF17_RS06865,22960,25608,23150,26700
CHF17_RS06870,2328,2799,2336,2810
CHF17_RS06875,8727,9660,8455,10287
CHF17_RS06880,7816,8843,7014,7999
CHF17_RS06885,13367,9410,7527,8580
CHF17_RS06890,15643,11650,9380,9837
CHF17_RS06895,25827,23200,16237,23591
CHF17_RS06900,62964,74338,58339,79562
CHF17_RS06905,88020,120120,92080,119754
CHF17_RS06910,14890,13423,11266,13506
CHF17_RS06915,1703,1403,1175,1237
CHF17_RS06920,7444,8773,7636,6673
CHF17_RS06925,4554,5643,5008,4773
CHF17_RS06930,4440,4561,4360,4412
CHF17_RS06935,4565,3632,3267,3298
CHF17_RS06940,12632,11686,8671,8793
CHF17_RS06945,7247,6707,5019,4257
CHF17_RS06950,6121,5454,3696,3328
CHF17_RS06955,3078,3126,2864,3951
CHF17_RS06960,2407,2505,2741,3818
CHF17_RS06965,964,741,698,1010
CHF17_RS06970,9869,10180,12301,8184
CHF17_RS06975,6221,6737,5223,5249
CHF17_RS06980,16110,19990,16867,15999
CHF17_RS06985,39098,22606,16719,25937
CHF17_RS06990,18131,16945,14124,14458
CHF17_RS06995,5943,9349,8187,8852
CHF17_RS07000,1065,1709,1476,1508
CHF17_RS07005,6362,9609,7851,9571
CHF17_RS07010,3091,3985,3333,4337
CHF17_RS07015,27395,20491,17224,19217
CHF17_RS07020,12013,8369,7196,7920
CHF17_RS07025,2816,1954,1594,1683
CHF17_RS07030,1920,1952,1180,1163
CHF17_RS07035,7360,10144,9629,15877
CHF17_RS07040,3230,4301,4093,6088
CHF17_RS07045,2769,2550,2560,3401
CHF17_RS07050,30538,11466,12329,21402
CHF17_RS07055,61996,20487,18279,26337
CHF17_RS07060,10296,15215,14189,9014
CHF17_RS07065,7937,13812,13306,9608
CHF17_RS07070,1415,2291,2161,1928
CHF17_RS07075,2174,2740,2265,1797
CHF17_RS07080,1177,1191,860,770
CHF17_RS07085,38,38,31,17
CHF17_RS07090,111,110,76,52
CHF17_RS07095,14429,13503,9395,8181
CHF17_RS07100,66826,62313,50042,41203
CHF17_RS07105,99593,87810,71016,55014
CHF17_RS07110,12580,13452,11236,14976
CHF17_RS07115,1504,1721,1474,3885
CHF17_RS07120,7551,6496,5771,10639
CHF17_RS07125,28540,8418,11111,22930
CHF17_RS07130,6108,3336,5256,10136
CHF17_RS07135,4811,1897,2842,4942
CHF17_RS07140,7256,7246,5783,5550
CHF17_RS07145,2887,2985,2265,2261
CHF17_RS07150,6370,6140,5205,5080
CHF17_RS07155,11624,8036,6012,3514
CHF17_RS07160,54450,55426,49974,34146
CHF17_RS07165,50460,48920,44313,30496
CHF17_RS07170,7472,9562,8385,11624
CHF17_RS07175,6173,11294,9473,9657
CHF17_RS07180,9767,11074,9291,9853
CHF17_RS07185,10622,7529,4687,5307
CHF17_RS07190,9285,8627,7291,10689
CHF17_RS07195,2425,3569,3119,4569
CHF17_RS07200,1477,2036,1806,2449
CHF17_RS07205,2719,3457,2794,4042
CHF17_RS07210,1615,1607,1385,2187
CHF17_RS07215,2328,2814,2542,4889
CHF17_RS07220,1103,1012,910,1643
CHF17_RS07225,4497,3195,2881,4626
CHF17_RS07230,5870,3968,2995,4993
CHF17_RS07235,3805,2319,1690,2856
CHF17_RS07240,51217,51272,46186,48637
CHF17_RS07245,15484,9794,6669,10378
CHF17_RS07250,3990,3754,3348,3663
CHF17_RS07255,1124,1233,1135,1662
CHF17_RS07260,17827,14879,13013,13444
CHF17_RS07265,38558,31035,26974,27698
CHF17_RS07270,68212,61705,45693,44011
CHF17_RS07275,17572,27291,29260,18578
CHF17_RS07280,16506,24667,23878,12236
CHF17_RS07285,44930,73265,64556,35918
CHF17_RS07290,20425,16536,14593,17220
CHF17_RS07295,12845,10961,8799,11189
CHF17_RS07300,3308,2535,1492,1512
CHF17_RS07305,10913,8708,7128,9098
CHF17_RS07310,32205,23965,20143,25551
CHF17_RS07315,26628,21502,18380,19866
CHF17_RS07320,20778,14013,11425,14002
CHF17_RS07325,36520,18677,19220,24637
CHF17_RS07330,65483,37796,36495,42951
CHF17_RS07335,19282,13695,14967,16913
CHF17_RS07340,11975,10179,10708,12799
CHF17_RS07345,9660,6161,4399,5920
CHF17_RS07350,78479,39553,34098,47488
CHF17_RS07355,4759,2871,2388,2745
CHF17_RS07360,32090,26501,20875,24507
CHF17_RS07365,759,944,1026,1576
CHF17_RS07370,3093,2129,2045,2912
CHF17_RS07375,7674,5178,5118,6859
CHF17_RS07380,19097,15792,12606,11046
CHF17_RS07385,16582,13187,10399,9349
CHF17_RS07390,2684,2497,2479,4380
CHF17_RS07395,4479,4625,4307,7513
CHF17_RS07400,3506,3521,3547,6800
CHF17_RS07405,7409,7015,7500,16372
CHF17_RS07410,13446,7622,9709,25682
CHF17_RS07415,2601,1090,1134,1881
CHF17_RS07420,1129,441,491,799
CHF17_RS07425,16452,24253,19413,14767
CHF17_RS07430,9028,15783,12321,9273
CHF17_RS07435,15300,27452,22641,18288
CHF17_RS07440,11199,17744,15842,14994
CHF17_RS07445,8742,15155,13346,12289
CHF17_RS07450,8436,15631,13974,13422
CHF17_RS07455,10472,18807,16722,17181
CHF17_RS07460,6932,11371,10212,11016
CHF17_RS07465,6063,9028,8346,8470
CHF17_RS07470,14488,18500,15823,17231
CHF17_RS07475,1827,1899,1544,1724
CHF17_RS07480,3505,3592,3093,3547
CHF17_RS07485,8137,8700,7744,9231
CHF17_RS07490,12158,11895,10387,11016
CHF17_RS07495,23913,13773,12651,15667
CHF17_RS07500,5235,5087,4242,4431
CHF17_RS07505,15758,16505,14384,13851
CHF17_RS07510,17826,18233,15674,15122
CHF17_RS07515,9301,6885,4262,5993
CHF17_RS07520,9548,6993,5209,5978
CHF17_RS07525,9897,8143,5768,5054
CHF17_RS07530,3419,2273,2023,1771
CHF17_RS07535,727,666,474,451
CHF17_RS07540,286,188,231,186
CHF17_RS07545,723,630,529,497
CHF17_RS07550,22516,15506,13013,16451
CHF17_RS07555,2978,1744,957,1612
CHF17_RS07560,1579,1030,952,1320
CHF17_RS07565,3158,2870,2716,3167
CHF17_RS07570,1066,1188,1278,1849
CHF17_RS07575,16163,8881,7535,10145
CHF17_RS07580,10251,6048,5795,6341
CHF17_RS07585,4249,4033,3802,3971
CHF17_RS07590,3201,3178,2720,2769
CHF17_RS07595,25967,16955,13728,15225
CHF17_RS07600,1850,1523,1487,1533
CHF17_RS07605,1996,1658,1294,1563
CHF17_RS07610,565,934,856,753
CHF17_RS07615,1436,2959,2487,1993
CHF17_RS07620,17306,19677,14254,15274
CHF17_RS07625,18731,14845,11827,14317
CHF17_RS07630,152491,237976,197912,148181
CHF17_RS07635,58481,102464,87573,57688
CHF17_RS07640,2495,1359,1114,1256
CHF17_RS07645,1655,1048,962,1342
CHF17_RS07650,20627,17746,15261,21374
CHF17_RS07655,1469,1084,952,1350
CHF17_RS07660,10942,4454,3530,5132
CHF17_RS07665,9433,6556,4058,5715
CHF17_RS07670,2530,1854,1502,2051
CHF17_RS07675,409,486,481,783
CHF17_RS07680,2736,1151,1062,1316
CHF17_RS07685,20360,10521,7186,14005
CHF17_RS07690,1507,1603,1225,3328
CHF17_RS07695,6522,3839,3055,6914
CHF17_RS07700,5721,3787,2771,3749
CHF17_RS07705,22861,32025,24248,16142
CHF17_RS07710,2236,3060,2905,2919
CHF17_RS07715,10733,12772,12260,14964
CHF17_RS07720,8800,6856,5417,8238
CHF17_RS07725,2363,2022,1457,1569
CHF17_RS07730,8232,7649,6785,6908
CHF17_RS07735,4224,3647,2986,3095
CHF17_RS07740,2881,2332,1722,1790
CHF17_RS07745,1123,986,785,941
CHF17_RS07750,1700,1937,1468,1667
CHF17_RS07755,1933,1493,1122,1457
CHF17_RS07760,2251,1466,1388,1615
CHF17_RS07765,189,120,151,166
CHF17_RS07770,126,128,100,94
CHF17_RS07775,129,163,95,83
CHF17_RS07780,55,77,35,33
CHF17_RS07785,132,342,265,217
CHF17_RS07790,274,717,468,483
CHF17_RS07795,121,263,163,208
CHF17_RS07800,6062,6227,4321,5444
CHF17_RS07805,17617,16478,12336,12541
CHF17_RS07810,5655,5317,4009,4805
CHF17_RS07815,14134,11810,8629,10671
CHF17_RS07820,3307,2300,1766,2283
CHF17_RS07825,145,86,55,56
CHF17_RS07830,3383,2046,1669,2012
CHF17_RS07835,11379,6838,4816,6114
CHF17_RS07840,37741,25922,19778,31096
CHF17_RS07845,20374,16176,13372,18112
CHF17_RS07850,4142,2612,1907,2530
CHF17_RS07855,11390,6887,5052,6379
CHF17_RS07860,11471,11804,11192,13889
CHF17_RS07865,29387,25390,21174,22694
CHF17_RS07870,33195,26029,24896,26463
CHF17_RS07875,265,193,174,207
CHF17_RS07880,100,102,102,140
CHF17_RS07885,57,74,75,89
CHF17_RS07890,124,151,147,172
CHF17_RS07895,252,260,205,255
CHF17_RS07900,94260,126829,110345,69911
CHF17_RS07905,99657,136616,111965,69544
CHF17_RS07910,477,575,583,928
CHF17_RS07915,3919,2722,2950,4552
CHF17_RS07920,2038,1884,2095,3167
CHF17_RS07925,3889,2883,1707,2094
CHF17_RS07930,1182,796,705,552
CHF17_RS07935,1038,984,901,931
CHF17_RS07940,9350,6615,5226,5898
CHF17_RS07945,14573,16349,14262,12100
CHF17_RS07950,12892,8702,6291,8351
CHF17_RS07955,8281,11046,10001,8580
CHF17_RS07960,5530,9005,7352,5303
CHF17_RS07965,32700,24446,20693,21010
CHF17_RS07970,7390,6483,3777,5245
CHF17_RS07975,5534,4274,3155,3550
CHF17_RS07980,1135,800,638,781
CHF17_RS07985,2682,2522,2372,4264
CHF17_RS07990,6151,4942,4508,8952
CHF17_RS07995,191,138,84,139
CHF17_RS08000,236,220,115,234
CHF17_RS08005,9065,7748,5866,7117
CHF17_RS08010,2133,2219,1847,2162
CHF17_RS08015,969,1362,1008,1122
CHF17_RS08020,1503,1961,1630,1842
CHF17_RS08025,588,673,510,599
CHF17_RS08030,748,641,381,457
CHF17_RS08035,1145,1013,741,850
CHF17_RS08040,129,311,129,96
CHF17_RS08045,457,1004,692,439
CHF17_RS08050,774,2065,1631,1184
CHF17_RS08055,428,840,626,442
CHF17_RS08060,288,467,323,221
CHF17_RS08065,418,559,360,310
CHF17_RS08070,19254,30744,23342,11464
CHF17_RS08075,77394,59127,53384,58142
CHF17_RS08080,7287,4520,3844,5051
CHF17_RS08085,909,1187,800,649
CHF17_RS08090,91,120,72,60
CHF17_RS08095,22627,13748,9678,14413
CHF17_RS08100,23438,15317,10943,14807
CHF17_RS08105,28300,19350,14294,19110
CHF17_RS08110,4666,3736,3055,3505
CHF17_RS08115,3757,3618,2493,2702
CHF17_RS08120,23746,15162,14740,29348
CHF17_RS08125,11089,8494,8027,16929
CHF17_RS08130,26114,14328,14062,27051
CHF17_RS08135,2633,1738,1474,1534
CHF17_RS08140,657,447,371,402
CHF17_RS08145,1156,731,556,628
CHF17_RS08150,18075,14254,10902,12131
CHF17_RS08155,5552,4253,3087,3626
CHF17_RS08160,15836,12009,9424,11183
CHF17_RS08165,15265,10480,7463,9584
CHF17_RS08170,463,565,560,888
CHF17_RS08175,134,199,147,133
CHF17_RS08180,35,68,60,76
CHF17_RS08185,48,78,67,67
CHF17_RS08190,44,130,120,108
CHF17_RS08195,48,165,113,72
CHF17_RS08200,1664,3748,2905,1128
CHF17_RS08205,2595,1597,1203,1967
CHF17_RS08210,28969,19041,15122,21093
CHF17_RS08215,26766,13468,13004,17717
CHF17_RS08220,6449,5720,4293,5089
CHF17_RS08225,3349,2184,1865,1515
CHF17_RS08230,16441,17180,12905,11931
CHF17_RS08235,35457,24757,20891,27473
CHF17_RS08240,34906,27402,22458,28667
CHF17_RS08245,2621,2482,2372,2840
CHF17_RS08250,3745,5138,4396,5424
CHF17_RS08255,1681,2515,2375,3454
CHF17_RS08260,2343,3540,3447,4979
CHF17_RS08265,3053,3970,3492,4623
CHF17_RS08270,3698,5064,4556,5754
CHF17_RS08275,3006,4079,3894,4968
CHF17_RS08280,5037,6962,6359,7763
CHF17_RS08285,6500,7031,6548,7364
CHF17_RS08290,7912,4204,3309,3670
CHF17_RS08295,590,291,239,352
CHF17_RS08300,2393,1981,1448,1921
CHF17_RS08305,18820,20071,14922,15936
CHF17_RS08310,16416,20189,15077,14157
CHF17_RS08315,16209,20670,17186,17474
CHF17_RS08320,1562,1305,763,770
CHF17_RS08325,37806,30222,24475,21815
CHF17_RS08330,7855,6061,5760,6156
CHF17_RS08335,9208,7304,6494,7037
CHF17_RS08340,2172,2241,1617,2126
CHF17_RS08345,7625,10843,7539,6677
CHF17_RS08350,52229,68123,51560,48545
CHF17_RS08355,2069,4559,4693,4702
CHF17_RS08360,23621,25135,21804,22320
CHF17_RS08365,17094,13765,12486,11951
CHF17_RS08370,1260,952,842,810
CHF17_RS08375,32441,40189,28927,31002
CHF17_RS08380,16830,17546,15902,16098
CHF17_RS08385,4201,5605,4634,5604
CHF17_RS08390,6126,6269,5560,6576
CHF17_RS08395,3177,2115,1853,1983
CHF17_RS08400,25815,32770,25207,25130
CHF17_RS08405,57185,63217,49846,44982
CHF17_RS08410,8776,6262,3708,2835
CHF17_RS08415,73547,38781,31821,48228
CHF17_RS08420,72646,37819,29024,44192
CHF17_RS08425,5837,4298,3636,4918
CHF17_RS08430,15385,14323,12027,14817
CHF17_RS08435,7438,6739,5415,6626
CHF17_RS08440,7450,11336,8060,6457
CHF17_RS08445,12811,19581,13795,11636
CHF17_RS08450,9094,7884,6005,7064
CHF17_RS08455,48397,34398,31132,29300
CHF17_RS08460,8843,27132,20130,5585
CHF17_RS08465,1042,544,482,493
CHF17_RS08470,5478,5016,4625,5108
CHF17_RS08475,6025,6646,5753,5633
CHF17_RS08480,4262,5124,4590,4642
CHF17_RS08485,9951,6329,5540,6641
CHF17_RS08490,29748,12999,12596,17568
CHF17_RS08495,15231,6270,6698,8964
CHF17_RS08500,320,85,81,84
CHF17_RS08505,14497,10744,10045,9802
CHF17_RS08510,1065,598,554,573
CHF17_RS08515,1703,1089,937,1211
CHF17_RS08520,7396,4737,4022,4705
CHF17_RS08525,48,46,30,28
CHF17_RS08530,85,80,74,55
CHF17_RS08535,33,46,33,25
CHF17_RS08540,2061,1664,1183,1372
CHF17_RS08545,660,536,379,461
CHF17_RS08550,28,36,29,21
CHF17_RS08555,173,461,244,372
CHF17_RS08560,155,361,167,323
CHF17_RS08565,150,449,144,260
CHF17_RS08570,395,994,420,616
CHF17_RS08575,9817,5184,3296,5344
CHF17_RS08580,956,1566,1213,974
CHF17_RS08585,1741,3155,3090,2354
CHF17_RS08590,528,777,771,615
CHF17_RS08595,1548,2224,2181,1853
CHF17_RS08600,2773,3137,2091,1642
CHF17_RS08605,6967,9140,6319,5382
CHF17_RS08610,7280,9772,7766,7281
CHF17_RS08615,9424,13224,9889,9225
CHF17_RS08620,2759,3910,3024,3019
CHF17_RS08625,5567,7710,6905,8088
CHF17_RS08630,3130,3198,3049,3865
CHF17_RS08635,1303,1574,1361,1064
CHF17_RS08640,25129,30194,27285,32337
CHF17_RS08645,12359,18687,18551,25155
CHF17_RS08650,3789,4030,3436,4896
CHF17_RS08655,657,469,416,1003
CHF17_RS08660,773,584,474,806
CHF17_RS08665,1442,1312,754,1052
CHF17_RS08670,2026,1476,1078,1520
CHF17_RS08675,8068,6031,4627,5882
CHF17_RS08680,71910,67396,51639,52787
CHF17_RS08685,55474,66086,47619,47139
CHF17_RS08690,5481,3035,2065,3501
CHF17_RS08695,10604,8887,7241,7274
CHF17_RS08700,1765,1399,1358,2163
CHF17_RS08705,2222,1416,1030,1131
CHF17_RS08710,6852,7315,4228,4406
CHF17_RS08715,13418,12589,10402,14017
CHF17_RS08720,109674,126208,104555,131571
CHF17_RS08725,2485,3750,3675,5895
CHF17_RS08730,486,623,467,725
CHF17_RS08735,2655,4253,3524,5119
CHF17_RS08740,90528,108730,97721,105518
CHF17_RS08745,10866,10201,9639,12199
CHF17_RS08750,155,144,108,107
CHF17_RS08755,637,503,445,401
CHF17_RS08760,2577,2127,2253,2527
CHF17_RS08765,1753,1945,1860,2075
CHF17_RS08770,24638,16337,13024,16344
CHF17_RS08775,39315,27732,21778,26453
CHF17_RS08780,51584,35674,28866,35667
CHF17_RS08785,1753,1305,915,985
CHF17_RS08790,664,1020,699,901
CHF17_RS08795,735,969,742,941
CHF17_RS08800,172,173,115,141
CHF17_RS08805,495,635,446,600
CHF17_RS08810,645,877,517,711
CHF17_RS08815,789,1016,649,945
CHF17_RS08820,254,284,232,311
CHF17_RS08825,839,921,640,957
CHF17_RS08830,1529,1212,1031,1350
CHF17_RS08835,6885,5508,4969,7322
CHF17_RS08840,1443,1137,1009,1256
CHF17_RS08845,1906,1482,1263,1863
CHF17_RS08850,25,17,10,20
CHF17_RS08855,8139,5077,4754,9459
CHF17_RS08860,9237,13422,9812,6716
CHF17_RS08865,13660,19146,14714,9767
CHF17_RS08870,46346,47171,44579,29807
CHF17_RS08875,196681,217687,188850,130331
CHF17_RS08880,87637,92945,79741,56304
CHF17_RS08885,5659,4077,3148,2937
CHF17_RS08890,1157,1407,981,1259
CHF17_RS08895,5230,3518,2248,2710
CHF17_RS08900,3228,3368,2874,3390
CHF17_RS08905,12872,12464,10350,12534
CHF17_RS08910,7122,5660,4202,5869
CHF17_RS08915,5466,4035,2838,3757
CHF17_RS08920,13525,9584,7999,9100
CHF17_RS08925,7525,5050,3879,4009
CHF17_RS08930,5651,7727,5630,5312
CHF17_RS08935,31646,23908,15475,18488
CHF17_RS08940,10370,8968,7160,7082
CHF17_RS08945,103451,72964,64995,77661
CHF17_RS08950,2157,2329,2145,1922
CHF17_RS08955,21032,11924,10401,12758
CHF17_RS08960,22858,11941,10056,11473
CHF17_RS08965,9200,6503,5376,5437
CHF17_RS08970,72867,53566,52109,37747
CHF17_RS08975,476,410,353,400
CHF17_RS08980,856,575,428,467
CHF17_RS08985,6804,4109,3349,4150
CHF17_RS08990,14210,13268,11849,18144
CHF17_RS08995,3971,3540,2970,3987
CHF17_RS09000,16246,12575,10240,12610
CHF17_RS09005,4080,6242,5915,6400
CHF17_RS09010,4599,6195,5890,6257
CHF17_RS09015,11478,12120,12664,14818
CHF17_RS09020,7823,10464,10822,13215
CHF17_RS09025,8915,10192,9913,11317
CHF17_RS09030,11724,11685,9813,11076
CHF17_RS09035,409,370,280,304
CHF17_RS09040,162,116,90,126
CHF17_RS09045,42,26,18,24
CHF17_RS09050,6545,3261,1781,1581
CHF17_RS09055,13302,8094,6770,8577
CHF17_RS09060,3434,2285,1896,2213
CHF17_RS09065,1592,960,899,981
CHF17_RS09070,16772,8980,6793,8077
CHF17_RS09075,7849,6342,4482,5642
CHF17_RS09080,2930,2233,1851,2291
CHF17_RS09085,6634,4994,2956,3459
CHF17_RS09090,4512,3923,3354,3065
CHF17_RS09095,6363,6313,4793,3608
CHF17_RS09100,3057,2925,2670,3770
CHF17_RS09105,1625,1430,1404,1796
CHF17_RS09110,5825,3729,3300,4530
CHF17_RS09115,4454,3231,2073,2481
CHF17_RS09120,78831,76333,62790,66420
CHF17_RS09125,5044,8939,5697,3325
CHF17_RS09130,95996,122364,116808,125074
CHF17_RS09135,22911,28666,30194,31848
CHF17_RS09140,2325,2182,1606,1734
CHF17_RS09145,300485,215546,202405,235981
CHF17_RS09150,4275,5456,4382,4949
CHF17_RS09155,1365375,891554,812609,902850
CHF17_RS09160,203319,317143,318626,287910
CHF17_RS09165,54026,76461,81781,54909
CHF17_RS09170,81653,116271,102654,60785
CHF17_RS09175,36142,26822,21438,28466
CHF17_RS09180,7394,9189,7989,11023
CHF17_RS09185,7250,8179,7603,12414
CHF17_RS09190,3618,3631,3185,5702
CHF17_RS09195,10197,10674,9013,11286
CHF17_RS09200,18216,16733,13863,17610
CHF17_RS09205,9934,9311,7189,7999
CHF17_RS09210,12847,13018,11939,13027
CHF17_RS09215,4036,4505,3514,3874
CHF17_RS09220,2464,3202,3275,3735
CHF17_RS09225,4029,3593,3752,4690
CHF17_RS09230,1714,2199,1621,2288
CHF17_RS09235,1961,3093,2332,3060
CHF17_RS09240,4615,7978,6951,9251
CHF17_RS09245,1276,1913,1423,1671
CHF17_RS09250,114046,115438,90240,96867
CHF17_RS09255,15814,16442,13223,14261
CHF17_RS09260,74543,81803,68186,76677
CHF17_RS09265,108734,102431,84845,100034
CHF17_RS09270,8506,6817,4934,5323
CHF17_RS09275,73818,56936,45900,54456
CHF17_RS09280,55975,38383,32377,36731
CHF17_RS09285,14252,10843,8412,8794
CHF17_RS09290,10716,11366,9426,6577
CHF17_RS09295,501,644,648,989
CHF17_RS09300,3732,10639,8492,6769
CHF17_RS09305,2586,6934,4707,4742
CHF17_RS09310,21,55,20,17
CHF17_RS09315,259,274,271,280
CHF17_RS09320,407,268,291,364
CHF17_RS09325,13216,8757,7663,8731
CHF17_RS09330,116,78,56,66
CHF17_RS09335,57,44,42,63
CHF17_RS09340,52,62,49,36
CHF17_RS09345,53,74,69,72
CHF17_RS09350,497,464,396,379
CHF17_RS09355,419,429,381,416
CHF17_RS09360,3543,1912,1427,2048
CHF17_RS09365,130,30,27,129
CHF17_RS09370,88,21,18,77
CHF17_RS09375,58,24,20,136
CHF17_RS09380,27,5,7,49
CHF17_RS09385,63,7,6,65
CHF17_RS09390,117,5,6,72
CHF17_RS09395,564,62,64,483
CHF17_RS09400,18986,11841,9818,16801
CHF17_RS09405,13808,7285,6014,11297
CHF17_RS09410,127306,65018,63025,98688
CHF17_RS09415,6960,3636,3514,3678
CHF17_RS09420,6562,4210,3497,4183
CHF17_RS09425,8774,8472,7388,12879
CHF17_RS09430,6677,4342,3334,4095
CHF17_RS09435,10898,7467,6718,8186
CHF17_RS09440,9588,7728,6437,6464
CHF17_RS09445,18386,16137,14269,14046
CHF17_RS09450,9807,9272,7283,7110
CHF17_RS09455,9685,8815,7038,7004
CHF17_RS09460,23145,27102,22509,27733
CHF17_RS09465,4667,3547,2746,3531
CHF17_RS09470,6183,4792,3312,5421
CHF17_RS09475,108056,123902,111648,77336
CHF17_RS09480,174147,203664,180671,128758
CHF17_RS09485,10269,12756,9244,15363
CHF17_RS09490,28999,46597,38072,60758
CHF17_RS09495,186,281,384,423
CHF17_RS09500,9207,9035,6709,7848
CHF17_RS09505,1341,1212,773,1009
CHF17_RS09510,20011,7781,6823,11515
CHF17_RS09515,15724,28162,20708,18863
CHF17_RS09520,15086,7662,6628,10620
CHF17_RS09525,3194,2411,2015,2666
CHF17_RS09530,350,333,262,302
CHF17_RS09535,8074,6402,4694,5251
CHF17_RS09540,21309,14721,11286,12239
CHF17_RS09545,9543,6481,4940,5340
CHF17_RS09550,384,396,270,314
CHF17_RS09555,37,31,33,48
CHF17_RS09560,29,38,36,65
CHF17_RS09565,13,8,6,7
CHF17_RS09570,51,26,32,41
CHF17_RS09575,12,26,18,28
CHF17_RS09580,123,150,126,220
CHF17_RS09585,52,74,71,110
CHF17_RS09590,127,198,155,237
CHF17_RS09595,162,179,125,206
CHF17_RS09600,5721,6847,3847,6134
CHF17_RS09605,3804,4843,3899,3166
CHF17_RS09610,1769,2383,2015,1431
CHF17_RS09615,24961,29247,25560,23598
CHF17_RS09620,4958,3841,2876,4033
CHF17_RS09625,27263,35536,29767,29994
CHF17_RS09630,8592,12532,11346,15018
CHF17_RS09635,3708,4230,4459,6591
CHF17_RS09640,7941,6391,5953,7613
CHF17_RS09645,100110,67387,48027,67147
CHF17_RS09650,15895,8871,6859,9149
CHF17_RS09655,181,91,83,111
CHF17_RS09660,45,70,36,72
CHF17_RS09665,73,65,61,108
CHF17_RS09670,3776,3267,2604,2495
CHF17_RS09675,1449,1386,1066,1174
CHF17_RS09680,20495,12380,10752,15701
CHF17_RS09685,958,1108,1113,1185
CHF17_RS09690,15800,10234,8110,10013
CHF17_RS09695,6219,3451,2880,3585
CHF17_RS09700,618,640,538,667
CHF17_RS09705,318,340,295,360
CHF17_RS09710,332,385,366,539
CHF17_RS09715,1029,1005,922,974
CHF17_RS09720,104,82,77,101
CHF17_RS09725,46,57,31,24
CHF17_RS09730,7537,4650,5065,4713
CHF17_RS09735,94,75,74,76
CHF17_RS09740,261,199,149,153
CHF17_RS09745,976,782,629,553
CHF17_RS09750,4979,3206,1976,2651
CHF17_RS09755,281,310,244,284
CHF17_RS09760,172,231,171,190
CHF17_RS09765,3388,2847,2260,2772
CHF17_RS09770,12103,11898,11126,14512
CHF17_RS09775,2763,3600,4056,4393
CHF17_RS09780,6739,3291,2854,3708
CHF17_RS09785,27328,13605,11914,14594
CHF17_RS09790,14859,7936,6820,8543
CHF17_RS09795,3729,2457,2033,2296
CHF17_RS09800,2560,1847,1599,1738
CHF17_RS09805,3065,2639,2060,2286
CHF17_RS09810,58,79,58,114
CHF17_RS09815,35,37,41,72
CHF17_RS09820,26,37,26,46
CHF17_RS09825,13,26,18,28
CHF17_RS09830,3078,2355,1714,2413
CHF17_RS09835,97,105,73,81
CHF17_RS09840,5212,6823,4610,5787
CHF17_RS09845,3618,4381,3208,3832
CHF17_RS09850,537,611,413,429
CHF17_RS09855,986,1202,947,1136
CHF17_RS09860,10741,11540,7226,8560
CHF17_RS09865,6520,5938,4077,5488
CHF17_RS09870,324,232,134,163
CHF17_RS09875,322,312,252,354
CHF17_RS09880,548,557,524,702
CHF17_RS09885,6498,5507,4086,4746
CHF17_RS09890,2168,1584,1244,1307
CHF17_RS09895,342,237,191,233
CHF17_RS09900,54,91,63,70
CHF17_RS09905,86,109,88,121
CHF17_RS09910,62,113,62,88
CHF17_RS09915,243,363,159,149
CHF17_RS09920,1058,1627,1318,1504
CHF17_RS09925,895,1205,1237,1703
CHF17_RS09930,458,460,592,1460
CHF17_RS09935,235,158,137,304
CHF17_RS09940,2232,1785,1576,2490
CHF17_RS09945,1887,1192,1306,2297
CHF17_RS09950,993,802,912,1773
CHF17_RS09955,198,145,176,312
CHF17_RS09960,1510,1249,1400,2226
CHF17_RS09965,2601,1819,1484,1888
CHF17_RS09970,9398,8126,6739,7235
CHF17_RS09975,4852,2217,2310,2496
CHF17_RS09980,1325,501,636,730
CHF17_RS09985,3234,2073,2070,2131
CHF17_RS09990,49,62,43,42
CHF17_RS09995,5015,2438,1677,2530
CHF17_RS10000,136,165,150,176
CHF17_RS10005,70,91,82,69
CHF17_RS10010,94,180,148,176
CHF17_RS10015,8005,5012,3347,5540
CHF17_RS10020,8641,6089,5922,6597
